Time Remaining,PCMB,Away Team Score,Play Team Indicator,Home Team Score,RCMBB12,Game Score,Team Indicator,Play,Period
15:07,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",1
--,"REBOUND DEF by SYDNESS,KENNY",,,,,,,"REBOUND DEF by SYDNESS,KENNY",1
14:45,"GOOD JUMPER by HENINGER,TOMMY",4,,10 (+6),,PCMB 4-10 (+6),,"GOOD JUMPER by HENINGER,TOMMY",1
--,"ASSIST  by MACDONALD,JUSTIN",,,,,,,"ASSIST  by MACDONALD,JUSTIN",1
14:33,,4,,12 (+8),"GOOD JUMPER by DUNAVANT,JOHN",RCMBB12 4-12 (+8),,"GOOD JUMPER by DUNAVANT,JOHN",1
--,,,,,"ASSIST  by HARTWELL,THEO",,,"ASSIST  by HARTWELL,THEO",1
14:19,"SUB IN by SEBRING,TOMMY",,,,,,,"SUB IN by SEBRING,TOMMY",1
14:19,"SUB OUT by ANGLE,COLIN",,,,,,,"SUB OUT by ANGLE,COLIN",1
14:19,,,,,"SUB IN by DAVIS,MAX",,,"SUB IN by DAVIS,MAX",1
14:19,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
14:19,,,,,"SUB IN by WATSON,SHANE",,,"SUB IN by WATSON,SHANE",1
14:19,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",1
14:19,,,,,"SUB IN by MILLER,JOEY",,,"SUB IN by MILLER,JOEY",1
14:19,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",1
14:19,,,,,"SUB OUT by DUNAVANT,JOHN",,,"SUB OUT by DUNAVANT,JOHN",1
14:19,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",1
14:19,,,,,"SUB OUT by CHIEN,KEVIN",,,"SUB OUT by CHIEN,KEVIN",1
14:19,,,,,"SUB OUT by KILPATRICK,KORY",,,"SUB OUT by KILPATRICK,KORY",1
13:59,"MISS JUMPER by MACDONALD,JUSTIN",,,,,,,"MISS JUMPER by MACDONALD,JUSTIN",1
--,,,,,"REBOUND DEF by WATSON,SHANE",,,"REBOUND DEF by WATSON,SHANE",1
13:41,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",,,"MISS 3PTR by GALLAGHER,MICHAEL",1
--,,,,,"REBOUND OFF by MILLER,JOEY",,,"REBOUND OFF by MILLER,JOEY",1
13:38,,,,,"MISS JUMPER by MILLER,JOEY",,,"MISS JUMPER by MILLER,JOEY",1
--,,,,,"REBOUND OFF by WATSON,SHANE",,,"REBOUND OFF by WATSON,SHANE",1
13:35,,4,,14 (+10),"GOOD JUMPER by WATSON,SHANE",RCMBB12 4-14 (+10),,"GOOD JUMPER by WATSON,SHANE",1
13:17,"GOOD JUMPER by JONE,MATT",6,,14 (+8),,PCMB 6-14 (+8),,"GOOD JUMPER by JONE,MATT",1
12:56,,,,,"TURNOVER  by GALLAGHER,MICHAEL",,,"TURNOVER  by GALLAGHER,MICHAEL",1
12:55,"STEAL  by MACDONALD,JUSTIN",,,,,,,"STEAL  by MACDONALD,JUSTIN",1
12:51,"SUB IN by ANGLE,COLIN",,,,,,,"SUB IN by ANGLE,COLIN",1
12:51,"SUB OUT by SEBRING,TOMMY",,,,,,,"SUB OUT by SEBRING,TOMMY",1
12:39,"TURNOVER  by HENINGER,TOMMY",,,,,,,"TURNOVER  by HENINGER,TOMMY",1
12:31,,6,,16 (+10),"GOOD JUMPER by MILLER,JOEY",RCMBB12 6-16 (+10),,"GOOD JUMPER by MILLER,JOEY",1
--,,,,,"ASSIST  by LIVSEY,GEOFF",,,"ASSIST  by LIVSEY,GEOFF",1
12:17,"MISS 3PTR by HENINGER,TOMMY",,,,,,,"MISS 3PTR by HENINGER,TOMMY",1
--,,,,,"REBOUND DEF by DAVIS,MAX",,,"REBOUND DEF by DAVIS,MAX",1
12:07,,6,,18 (+12),"GOOD JUMPER by LIVSEY,GEOFF",RCMBB12 6-18 (+12),,"GOOD JUMPER by LIVSEY,GEOFF",1
--,,,,,"ASSIST  by MILLER,JOEY",,,"ASSIST  by MILLER,JOEY",1
12:00,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
11:46,,,,,"FOUL  by DAVIS,MAX",,,"FOUL  by DAVIS,MAX",1
11:45,"TURNOVER  by ANGLE,COLIN",,,,,,,"TURNOVER  by ANGLE,COLIN",1
11:45,,,,,"STEAL  by DAVIS,MAX",,,"STEAL  by DAVIS,MAX",1
11:41,,6,,21 (+15),"GOOD 3PTR by DAVIS,MAX",RCMBB12 6-21 (+15),,"GOOD 3PTR by DAVIS,MAX",1
11:18,"MISS JUMPER by JONE,MATT",,,,,,,"MISS JUMPER by JONE,MATT",1
--,,,,,"REBOUND DEF by DAVIS,MAX",,,"REBOUND DEF by DAVIS,MAX",1
11:09,,6,,23 (+17),"GOOD JUMPER by WATSON,SHANE",RCMBB12 6-23 (+17),,"GOOD JUMPER by WATSON,SHANE",1
10:43,"MISS JUMPER by HENINGER,TOMMY",,,,,,,"MISS JUMPER by HENINGER,TOMMY",1
--,"REBOUND OFF by MACDONALD,JUSTIN",,,,,,,"REBOUND OFF by MACDONALD,JUSTIN",1
10:39,"GOOD JUMPER by MACDONALD,JUSTIN",8,,23 (+15),,PCMB 8-23 (+15),,"GOOD JUMPER by MACDONALD,JUSTIN",1
10:19,,,,,"FOUL  by WATSON,SHANE",,,"FOUL  by WATSON,SHANE",1
10:19,,,,,"SUB IN by DUNAVANT,JOHN",,,"SUB IN by DUNAVANT,JOHN",1
10:19,,,,,"SUB IN by KILPATRICK,KORY",,,"SUB IN by KILPATRICK,KORY",1
10:19,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",1
10:19,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",1
10:19,,,,,"SUB IN by CHIEN,KEVIN",,,"SUB IN by CHIEN,KEVIN",1
10:19,,,,,"SUB OUT by DAVIS,MAX",,,"SUB OUT by DAVIS,MAX",1
10:19,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
10:19,,,,,"SUB OUT by WATSON,SHANE",,,"SUB OUT by WATSON,SHANE",1
10:19,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",1
10:19,,,,,"SUB OUT by MILLER,JOEY",,,"SUB OUT by MILLER,JOEY",1
09:56,"MISS JUMPER by ANGLE,COLIN",,,,,,,"MISS JUMPER by ANGLE,COLIN",1
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",1
09:53,,,,,"TURNOVER  by KILPATRICK,KORY",,,"TURNOVER  by KILPATRICK,KORY",1
09:31,"MISS 3PTR by SYDNESS,KENNY",,,,,,,"MISS 3PTR by SYDNESS,KENNY",1
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",1
09:18,,8,,25 (+17),"GOOD JUMPER by HARTWELL,THEO",RCMBB12 8-25 (+17),,"GOOD JUMPER by HARTWELL,THEO",1
--,,,,,"ASSIST  by DUNAVANT,JOHN",,,"ASSIST  by DUNAVANT,JOHN",1
09:00,"MISS 3PTR by ANGLE,COLIN",,,,,,,"MISS 3PTR by ANGLE,COLIN",1
--,,,,,"REBOUND DEF by KILPATRICK,KORY",,,"REBOUND DEF by KILPATRICK,KORY",1
08:48,,8,,28 (+20),"GOOD 3PTR by CHIEN,KEVIN",RCMBB12 8-28 (+20),,"GOOD 3PTR by CHIEN,KEVIN",1
--,,,,,"ASSIST  by KILPATRICK,KORY",,,"ASSIST  by KILPATRICK,KORY",1
08:26,"TURNOVER  by SYDNESS,KENNY",,,,,,,"TURNOVER  by SYDNESS,KENNY",1
08:25,,,,,"STEAL  by HARTWELL,THEO",,,"STEAL  by HARTWELL,THEO",1
08:18,,,,,"MISS 3PTR by DUNAVANT,JOHN",,,"MISS 3PTR by DUNAVANT,JOHN",1
--,"REBOUND DEF by JONE,MATT",,,,,,,"REBOUND DEF by JONE,MATT",1
08:07,"MISS 3PTR by ANGLE,COLIN",,,,,,,"MISS 3PTR by ANGLE,COLIN",1
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",1
07:52,,8,,30 (+22),"GOOD JUMPER by GALOW,ANDREW",RCMBB12 8-30 (+22),,"GOOD JUMPER by GALOW,ANDREW",1
07:47,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
07:27,"MISS JUMPER by MACDONALD,JUSTIN",,,,,,,"MISS JUMPER by MACDONALD,JUSTIN",1
--,,,,,"REBOUND DEF by MILLER,JOEY",,,"REBOUND DEF by MILLER,JOEY",1
07:24,,,,,"SUB IN by DAVIS,MAX",,,"SUB IN by DAVIS,MAX",1
07:24,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
07:24,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",1
07:24,,,,,"SUB IN by MILLER,JOEY",,,"SUB IN by MILLER,JOEY",1
07:24,,,,,"SUB IN by WATSON,SHANE",,,"SUB IN by WATSON,SHANE",1
07:24,,,,,"SUB OUT by DUNAVANT,JOHN",,,"SUB OUT by DUNAVANT,JOHN",1
07:24,,,,,"SUB OUT by KILPATRICK,KORY",,,"SUB OUT by KILPATRICK,KORY",1
07:24,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",1
07:24,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",1
07:24,,,,,"SUB OUT by CHIEN,KEVIN",,,"SUB OUT by CHIEN,KEVIN",1
07:01,,,,,"MISS JUMPER by MILLER,JOEY",,,"MISS JUMPER by MILLER,JOEY",1
--,"REBOUND DEF by JONE,MATT",,,,,,,"REBOUND DEF by JONE,MATT",1
06:43,"MISS JUMPER by JONE,MATT",,,,,,,"MISS JUMPER by JONE,MATT",1
--,,,,,"REBOUND DEF by WATSON,SHANE",,,"REBOUND DEF by WATSON,SHANE",1
06:30,,,,,"TURNOVER  by DAVIS,MAX",,,"TURNOVER  by DAVIS,MAX",1
06:30,"TURNOVER  by JONE,MATT",,,,,,,"TURNOVER  by JONE,MATT",1
06:30,,8,,33 (+25),"GOOD 3PTR by GALLAGHER,MICHAEL",RCMBB12 8-33 (+25),,"GOOD 3PTR by GALLAGHER,MICHAEL",1
06:16,"GOOD JUMPER by MACDONALD,JUSTIN",10,,33 (+23),,PCMB 10-33 (+23),,"GOOD JUMPER by MACDONALD,JUSTIN",1
--,"ASSIST  by SYDNESS,KENNY",,,,,,,"ASSIST  by SYDNESS,KENNY",1
05:58,,,,,"TURNOVER  by GALLAGHER,MICHAEL",,,"TURNOVER  by GALLAGHER,MICHAEL",1
05:55,"STEAL  by MACDONALD,JUSTIN",,,,,,,"STEAL  by MACDONALD,JUSTIN",1
05:39,,,,,"FOUL  by DAVIS,MAX",,,"FOUL  by DAVIS,MAX",1
05:26,"GOOD JUMPER by SYDNESS,KENNY",12,,33 (+21),,PCMB 12-33 (+21),,"GOOD JUMPER by SYDNESS,KENNY",1
--,"ASSIST  by ELMORE,JAKE",,,,,,,"ASSIST  by ELMORE,JAKE",1
05:10,,,,,"TURNOVER  by WATSON,SHANE",,,"TURNOVER  by WATSON,SHANE",1
04:59,"GOOD 3PTR by JONE,MATT",15,,33 (+18),,PCMB 15-33 (+18),,"GOOD 3PTR by JONE,MATT",1
04:34,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",1
04:30,"GOOD JUMPER by MACDONALD,JUSTIN",17,,33 (+16),,PCMB 17-33 (+16),,"GOOD JUMPER by MACDONALD,JUSTIN",1
04:17,,,,,"MISS 3PTR by DAVIS,MAX",,,"MISS 3PTR by DAVIS,MAX",1
--,"REBOUND DEF by SYDNESS,KENNY",,,,,,,"REBOUND DEF by SYDNESS,KENNY",1
04:14,"SUB IN by ELMORE,JAKE",,,,,,,"SUB IN by ELMORE,JAKE",1
04:14,"SUB OUT by HENINGER,TOMMY",,,,,,,"SUB OUT by HENINGER,TOMMY",1
04:14,,,,,"SUB IN by DUNAVANT,JOHN",,,"SUB IN by DUNAVANT,JOHN",1
04:14,,,,,"SUB IN by KILPATRICK,KORY",,,"SUB IN by KILPATRICK,KORY",1
04:14,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",1
04:14,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",1
04:14,,,,,"SUB IN by CHIEN,KEVIN",,,"SUB IN by CHIEN,KEVIN",1
04:14,,,,,"SUB OUT by DAVIS,MAX",,,"SUB OUT by DAVIS,MAX",1
04:14,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
04:14,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",1
04:14,,,,,"SUB OUT by MILLER,JOEY",,,"SUB OUT by MILLER,JOEY",1
04:14,,,,,"SUB OUT by WATSON,SHANE",,,"SUB OUT by WATSON,SHANE",1
04:09,"MISS 3PTR by JONE,MATT",,,,,,,"MISS 3PTR by JONE,MATT",1
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",1
03:53,,,,,"MISS 3PTR by DUNAVANT,JOHN",,,"MISS 3PTR by DUNAVANT,JOHN",1
--,"REBOUND DEF by SYDNESS,KENNY",,,,,,,"REBOUND DEF by SYDNESS,KENNY",1
03:29,"MISS JUMPER by JONE,MATT",,,,,,,"MISS JUMPER by JONE,MATT",1
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",1
03:15,"FOUL  by JONE,MATT",,,,,,,"FOUL  by JONE,MATT",1
02:53,,17,,35 (+18),"GOOD JUMPER by HARTWELL,THEO",RCMBB12 17-35 (+18),,"GOOD JUMPER by HARTWELL,THEO",1
--,,,,,"ASSIST  by KILPATRICK,KORY",,,"ASSIST  by KILPATRICK,KORY",1
02:20,"MISS JUMPER by ANGLE,COLIN",,,,,,,"MISS JUMPER by ANGLE,COLIN",1
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",1
01:57,,17,,37 (+20),"GOOD JUMPER by GALOW,ANDREW",RCMBB12 17-37 (+20),,"GOOD JUMPER by GALOW,ANDREW",1
01:38,"SUB IN by HENINGER,TOMMY",,,,,,,"SUB IN by HENINGER,TOMMY",1
01:38,"SUB IN by SEBRING,TOMMY",,,,,,,"SUB IN by SEBRING,TOMMY",1
01:38,"SUB OUT by ANGLE,COLIN",,,,,,,"SUB OUT by ANGLE,COLIN",1
01:38,"SUB OUT by JONE,MATT",,,,,,,"SUB OUT by JONE,MATT",1
01:38,,,,,"SUB IN by DRUMMOND,TRIPP",,,"SUB IN by DRUMMOND,TRIPP",1
01:38,,,,,"SUB OUT by CHIEN,KEVIN",,,"SUB OUT by CHIEN,KEVIN",1
01:14,"TURNOVER  by SEBRING,TOMMY",,,,,,,"TURNOVER  by SEBRING,TOMMY",1
01:13,,,,,"MISS JUMPER by KILPATRICK,KORY",,,"MISS JUMPER by KILPATRICK,KORY",1
01:13,"BLOCK  by SYDNESS,KENNY",,,,,,,"BLOCK  by SYDNESS,KENNY",1
--,"REBOUND DEF by MACDONALD,JUSTIN",,,,,,,"REBOUND DEF by MACDONALD,JUSTIN",1
01:07,"MISS 3PTR by MACDONALD,JUSTIN",,,,,,,"MISS 3PTR by MACDONALD,JUSTIN",1
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",1
01:00,,17,,39 (+22),"GOOD JUMPER by KILPATRICK,KORY",RCMBB12 17-39 (+22),,"GOOD JUMPER by KILPATRICK,KORY",1
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",1
00:22,"MISS JUMPER by SYDNESS,KENNY",,,,,,,"MISS JUMPER by SYDNESS,KENNY",1
--,,,,,"REBOUND DEF by KILPATRICK,KORY",,,"REBOUND DEF by KILPATRICK,KORY",1
00:04,,,,,"TURNOVER  by GALOW,ANDREW",,,"TURNOVER  by GALOW,ANDREW",1
00:00,"MISS JUMPER by MACDONALD,JUSTIN",,,,,,,"MISS JUMPER by MACDONALD,JUSTIN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
19:34,,17,,41 (+24),"GOOD JUMPER by HARTWELL,THEO",RCMBB12 17-41 (+24),,"GOOD JUMPER by HARTWELL,THEO",2
19:04,,,,,"FOUL  by HARTWELL,THEO",,,"FOUL  by HARTWELL,THEO",2
19:01,,,,,"FOUL  by KILPATRICK,KORY",,,"FOUL  by KILPATRICK,KORY",2
18:47,"GOOD FT by SYDNESS,KENNY",18,,41 (+23),,PCMB 18-41 (+23),,"GOOD FT by SYDNESS,KENNY",2
18:44,"GOOD FT by SYDNESS,KENNY",19,,41 (+22),,PCMB 19-41 (+22),,"GOOD FT by SYDNESS,KENNY",2
18:33,,19,,43 (+24),"GOOD JUMPER by KILPATRICK,KORY",RCMBB12 19-43 (+24),,"GOOD JUMPER by KILPATRICK,KORY",2
17:55,"GOOD JUMPER by SYDNESS,KENNY",21,,43 (+22),,PCMB 21-43 (+22),,"GOOD JUMPER by SYDNESS,KENNY",2
--,"ASSIST  by ANGLE,COLIN",,,,,,,"ASSIST  by ANGLE,COLIN",2
17:31,,,,,"MISS 3PTR by DRUMMOND,TRIPP",,,"MISS 3PTR by DRUMMOND,TRIPP",2
--,,,,,"REBOUND OFF by HARTWELL,THEO",,,"REBOUND OFF by HARTWELL,THEO",2
17:28,,21,,45 (+24),"GOOD JUMPER by HARTWELL,THEO",RCMBB12 21-45 (+24),,"GOOD JUMPER by HARTWELL,THEO",2
17:17,"FOUL  by MACDONALD,JUSTIN",,,,,,,"FOUL  by MACDONALD,JUSTIN",2
17:17,,21,,46 (+25),"GOOD FT by HARTWELL,THEO",RCMBB12 21-46 (+25),,"GOOD FT by HARTWELL,THEO",2
17:17,"MISS JUMPER by JONE,MATT",,,,,,,"MISS JUMPER by JONE,MATT",2
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",2
17:17,"SUB IN by SEBRING,TOMMY",,,,,,,"SUB IN by SEBRING,TOMMY",2
17:17,"SUB IN by ELMORE,JAKE",,,,,,,"SUB IN by ELMORE,JAKE",2
17:17,"SUB OUT by ANGLE,COLIN",,,,,,,"SUB OUT by ANGLE,COLIN",2
17:17,"SUB OUT by HENINGER,TOMMY",,,,,,,"SUB OUT by HENINGER,TOMMY",2
17:11,,21,,48 (+27),"GOOD JUMPER by KILPATRICK,KORY",RCMBB12 21-48 (+27),,"GOOD JUMPER by KILPATRICK,KORY",2
16:56,"TURNOVER  by MACDONALD,JUSTIN",,,,,,,"TURNOVER  by MACDONALD,JUSTIN",2
16:54,,,,,"STEAL  by CHIEN,KEVIN",,,"STEAL  by CHIEN,KEVIN",2
16:45,,21,,50 (+29),"GOOD JUMPER by DUNAVANT,JOHN",RCMBB12 21-50 (+29),,"GOOD JUMPER by DUNAVANT,JOHN",2
16:22,"TURNOVER  by ELMORE,JAKE",,,,,,,"TURNOVER  by ELMORE,JAKE",2
16:21,,,,,"STEAL  by DUNAVANT,JOHN",,,"STEAL  by DUNAVANT,JOHN",2
16:20,,21,,52 (+31),"GOOD JUMPER by DUNAVANT,JOHN",RCMBB12 21-52 (+31),,"GOOD JUMPER by DUNAVANT,JOHN",2
16:12,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
16:12,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",2
16:12,,,,,"SUB IN by DRUMMOND,TRIPP",,,"SUB IN by DRUMMOND,TRIPP",2
16:12,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",2
16:12,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",2
16:12,,,,,"SUB IN by ZOGG,ALDEN",,,"SUB IN by ZOGG,ALDEN",2
16:12,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",2
16:12,,,,,"SUB OUT by DUNAVANT,JOHN",,,"SUB OUT by DUNAVANT,JOHN",2
16:12,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",2
16:12,,,,,"SUB OUT by CHIEN,KEVIN",,,"SUB OUT by CHIEN,KEVIN",2
16:12,,,,,"SUB OUT by KILPATRICK,KORY",,,"SUB OUT by KILPATRICK,KORY",2
15:58,,21,,54 (+33),"GOOD JUMPER by ZOGG,ALDEN",RCMBB12 21-54 (+33),,"GOOD JUMPER by ZOGG,ALDEN",2
15:36,"FOUL  by SEBRING,TOMMY",,,,,,,"FOUL  by SEBRING,TOMMY",2
15:34,,,,,"MISS FT by ZOGG,ALDEN",,,"MISS FT by ZOGG,ALDEN",2
--,"REBOUND DEF by ANGLE,COLIN",,,,,,,"REBOUND DEF by ANGLE,COLIN",2
15:26,,,,,"FOUL  by ZOGG,ALDEN",,,"FOUL  by ZOGG,ALDEN",2
15:26,"GOOD FT by HENINGER,TOMMY",22,,54 (+32),,PCMB 22-54 (+32),,"GOOD FT by HENINGER,TOMMY",2
15:26,"MISS FT by HENINGER,TOMMY",,,,,,,"MISS FT by HENINGER,TOMMY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
15:26,"SUB IN by HENINGER,TOMMY",,,,,,,"SUB IN by HENINGER,TOMMY",2
15:26,"SUB IN by ANGLE,COLIN",,,,,,,"SUB IN by ANGLE,COLIN",2
15:26,"SUB OUT by JONE,MATT",,,,,,,"SUB OUT by JONE,MATT",2
15:26,"SUB OUT by MACDONALD,JUSTIN",,,,,,,"SUB OUT by MACDONALD,JUSTIN",2
15:24,"TURNOVER  by JONE,MATT",,,,,,,"TURNOVER  by JONE,MATT",2
15:15,"MISS JUMPER by ANGLE,COLIN",,,,,,,"MISS JUMPER by ANGLE,COLIN",2
--,,,,,"REBOUND DEF by ZOGG,ALDEN",,,"REBOUND DEF by ZOGG,ALDEN",2
14:44,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",2
14:44,"SUB IN by MACDONALD,JUSTIN",,,,,,,"SUB IN by MACDONALD,JUSTIN",2
14:44,"SUB IN by JONE,MATT",,,,,,,"SUB IN by JONE,MATT",2
14:44,"SUB OUT by SEBRING,TOMMY",,,,,,,"SUB OUT by SEBRING,TOMMY",2
14:44,"SUB OUT by ELMORE,JAKE",,,,,,,"SUB OUT by ELMORE,JAKE",2
14:37,"GOOD JUMPER by SYDNESS,KENNY",24,,54 (+30),,PCMB 24-54 (+30),,"GOOD JUMPER by SYDNESS,KENNY",2
14:15,,,,,"MISS JUMPER by MCGRAIL,PATRICK",,,"MISS JUMPER by MCGRAIL,PATRICK",2
14:15,"BLOCK  by MACDONALD,JUSTIN",,,,,,,"BLOCK  by MACDONALD,JUSTIN",2
