Time Remaining,OWUM,Away Team Score,Play Team Indicator,Home Team Score,RCMBB12,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by ROGERS,REUEL",,,,,,,"REBOUND DEF by ROGERS,REUEL",1
14:40,"MISS 3PTR by WINTERS,ANDY",,,,,,,"MISS 3PTR by WINTERS,ANDY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
14:39,,,,,"MISS JUMPER by WATSON,SHANE",,,"MISS JUMPER by WATSON,SHANE",1
--,,,,,"REBOUND OFF by GALLAGHER,MICHAEL",,,"REBOUND OFF by GALLAGHER,MICHAEL",1
14:39,"SUB IN by REILICH,BILLY",,,,,,,"SUB IN by REILICH,BILLY",1
14:39,"SUB OUT by ROGERS,REUEL",,,,,,,"SUB OUT by ROGERS,REUEL",1
14:35,,10 (+5),,5,"GOOD 3PTR by KILPATRICK,KORY",RCMBB12 10-5 (-5),,"GOOD 3PTR by KILPATRICK,KORY",1
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",1
14:19,"TURNOVER  by SPAULDING,VAUGHN",,,,,,,"TURNOVER  by SPAULDING,VAUGHN",1
14:19,,,,,"SUB IN by DUNAVANT,JOHN",,,"SUB IN by DUNAVANT,JOHN",1
14:19,,,,,"SUB OUT by WATSON,SHANE",,,"SUB OUT by WATSON,SHANE",1
13:46,,,,,"MISS JUMPER by DUNAVANT,JOHN",,,"MISS JUMPER by DUNAVANT,JOHN",1
--,"REBOUND DEF by REILICH,BILLY",,,,,,,"REBOUND DEF by REILICH,BILLY",1
13:31,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
13:11,,,,,"MISS 3PTR by LIVSEY,GEOFF",,,"MISS 3PTR by LIVSEY,GEOFF",1
--,"REBOUND DEF by WINTERS,ANDY",,,,,,,"REBOUND DEF by WINTERS,ANDY",1
12:52,"TURNOVER  by REILICH,BILLY",,,,,,,"TURNOVER  by REILICH,BILLY",1
12:52,"FOUL  by REILICH,BILLY",,,,,,,"FOUL  by REILICH,BILLY",1
12:52,,,,,"SUB IN by CHIEN,KEVIN",,,"SUB IN by CHIEN,KEVIN",1
12:52,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",1
12:52,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",1
12:52,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",1
12:52,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
12:52,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",1
12:39,,,,,"MISS 3PTR by KILPATRICK,KORY",,,"MISS 3PTR by KILPATRICK,KORY",1
--,"REBOUND DEF by MORRIS,MARSHALL",,,,,,,"REBOUND DEF by MORRIS,MARSHALL",1
12:20,"MISS 3PTR by WINTERS,ANDY",,,,,,,"MISS 3PTR by WINTERS,ANDY",1
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",1
12:06,,,,,"MISS JUMPER by KILPATRICK,KORY",,,"MISS JUMPER by KILPATRICK,KORY",1
--,"REBOUND DEF by MORRIS,MARSHALL",,,,,,,"REBOUND DEF by MORRIS,MARSHALL",1
11:50,,,,,"FOUL  by MCGRAIL,PATRICK",,,"FOUL  by MCGRAIL,PATRICK",1
11:50,"MISS FT by BRADY,TIM",,,,,,,"MISS FT by BRADY,TIM",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
11:50,"GOOD FT by BRADY,TIM",11 (+6),,5,,OWUM 11-5 (-6),,"GOOD FT by BRADY,TIM",1
11:50,"SUB IN by WHITE,GREG",,,,,,,"SUB IN by WHITE,GREG",1
11:50,"SUB IN by SPENCE,ANJUWON",,,,,,,"SUB IN by SPENCE,ANJUWON",1
11:50,"SUB OUT by SPAULDING,VAUGHN",,,,,,,"SUB OUT by SPAULDING,VAUGHN",1
11:50,"SUB OUT by MORRIS,MARSHALL",,,,,,,"SUB OUT by MORRIS,MARSHALL",1
11:24,,,,,"MISS 3PTR by DUNAVANT,JOHN",,,"MISS 3PTR by DUNAVANT,JOHN",1
--,"REBOUND DEF by WINTERS,ANDY",,,,,,,"REBOUND DEF by WINTERS,ANDY",1
11:02,"MISS JUMPER by WINTERS,ANDY",,,,,,,"MISS JUMPER by WINTERS,ANDY",1
--,"REBOUND OFF by REILICH,BILLY",,,,,,,"REBOUND OFF by REILICH,BILLY",1
10:54,"MISS JUMPER by BRADY,TIM",,,,,,,"MISS JUMPER by BRADY,TIM",1
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",1
10:43,,11 (+4),,7,"GOOD JUMPER by KILPATRICK,KORY",RCMBB12 11-7 (-4),,"GOOD JUMPER by KILPATRICK,KORY",1
--,,,,,"ASSIST  by CHIEN,KEVIN",,,"ASSIST  by CHIEN,KEVIN",1
10:32,,,,,"FOUL  by HARTWELL,THEO",,,"FOUL  by HARTWELL,THEO",1
10:32,"SUB IN by ROGERS,REUEL",,,,,,,"SUB IN by ROGERS,REUEL",1
10:32,"SUB OUT by REILICH,BILLY",,,,,,,"SUB OUT by REILICH,BILLY",1
10:32,,,,,"SUB IN by ZOGG,ALDEN",,,"SUB IN by ZOGG,ALDEN",1
10:32,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",1
10:32,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
10:32,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",1
10:32,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",1
10:32,,,,,"SUB OUT by KILPATRICK,KORY",,,"SUB OUT by KILPATRICK,KORY",1
10:21,"GOOD JUMPER by WINTERS,ANDY",13 (+6),,7,,OWUM 13-7 (-6),,"GOOD JUMPER by WINTERS,ANDY",1
--,"ASSIST  by BRADY,TIM",,,,,,,"ASSIST  by BRADY,TIM",1
10:02,,,,,"MISS 3PTR by CHIEN,KEVIN",,,"MISS 3PTR by CHIEN,KEVIN",1
--,"REBOUND DEF by ROGERS,REUEL",,,,,,,"REBOUND DEF by ROGERS,REUEL",1
09:36,"GOOD JUMPER by ROGERS,REUEL",15 (+8),,7,,OWUM 15-7 (-8),,"GOOD JUMPER by ROGERS,REUEL",1
09:16,"FOUL  by WHITE,GREG",,,,,,,"FOUL  by WHITE,GREG",1
09:16,"SUB OUT by BRADY,TIM",,,,,,,"SUB OUT by BRADY,TIM",1
09:16,,,,,"SUB IN by KILPATRICK,KORY",,,"SUB IN by KILPATRICK,KORY",1
09:16,,,,,"SUB OUT by ZOGG,ALDEN",,,"SUB OUT by ZOGG,ALDEN",1
09:12,,15 (+6),,9,"GOOD JUMPER by KILPATRICK,KORY",RCMBB12 15-9 (-6),,"GOOD JUMPER by KILPATRICK,KORY",1
09:10,"FOUL  by ROGERS,REUEL",,,,,,,"FOUL  by ROGERS,REUEL",1
09:10,,,,,"MISS FT by KILPATRICK,KORY",,,"MISS FT by KILPATRICK,KORY",1
--,"REBOUND DEF by ROGERS,REUEL",,,,,,,"REBOUND DEF by ROGERS,REUEL",1
09:00,"SUB IN by FELHABER,NICK",,,,,,,"SUB IN by FELHABER,NICK",1
08:54,"TURNOVER  by WHITE,GREG",,,,,,,"TURNOVER  by WHITE,GREG",1
08:54,"FOUL  by WHITE,GREG",,,,,,,"FOUL  by WHITE,GREG",1
08:54,"SUB IN by MORRIS,MARSHALL",,,,,,,"SUB IN by MORRIS,MARSHALL",1
08:54,"SUB OUT by ROGERS,REUEL",,,,,,,"SUB OUT by ROGERS,REUEL",1
08:38,,,,,"MISS JUMPER by DUNAVANT,JOHN",,,"MISS JUMPER by DUNAVANT,JOHN",1
--,,,,,"REBOUND OFF by DUNAVANT,JOHN",,,"REBOUND OFF by DUNAVANT,JOHN",1
08:35,,,,,"TURNOVER  by DUNAVANT,JOHN",,,"TURNOVER  by DUNAVANT,JOHN",1
08:33,"STEAL  by WHITE,GREG",,,,,,,"STEAL  by WHITE,GREG",1
08:25,"GOOD 3PTR by WHITE,GREG",18 (+9),,9,,OWUM 18-9 (-9),,"GOOD 3PTR by WHITE,GREG",1
--,"ASSIST  by WINTERS,ANDY",,,,,,,"ASSIST  by WINTERS,ANDY",1
08:14,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",1
--,"REBOUND DEF by WHITE,GREG",,,,,,,"REBOUND DEF by WHITE,GREG",1
07:49,"GOOD JUMPER by WINTERS,ANDY",20 (+11),,9,,OWUM 20-9 (-11),,"GOOD JUMPER by WINTERS,ANDY",1
07:36,,,,,"TURNOVER  by CHIEN,KEVIN",,,"TURNOVER  by CHIEN,KEVIN",1
07:32,"STEAL  by FELHABER,NICK",,,,,,,"STEAL  by FELHABER,NICK",1
07:26,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",1
07:26,"TURNOVER  by MORRIS,MARSHALL",,,,,,,"TURNOVER  by MORRIS,MARSHALL",1
07:26,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
07:26,"GOOD FT by WHITE,GREG",21 (+12),,9,,OWUM 21-9 (-12),,"GOOD FT by WHITE,GREG",1
07:26,"GOOD FT by WHITE,GREG",22 (+13),,9,,OWUM 22-9 (-13),,"GOOD FT by WHITE,GREG",1
07:26,"SUB IN by EASLEY,ERIC",,,,,,,"SUB IN by EASLEY,ERIC",1
07:26,"SUB IN by REILICH,BILLY",,,,,,,"SUB IN by REILICH,BILLY",1
07:26,"SUB OUT by WINTERS,ANDY",,,,,,,"SUB OUT by WINTERS,ANDY",1
07:26,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",1
07:26,,,,,"SUB OUT by DUNAVANT,JOHN",,,"SUB OUT by DUNAVANT,JOHN",1
07:13,,22 (+11),,11,"GOOD JUMPER by KILPATRICK,KORY",RCMBB12 22-11 (-11),,"GOOD JUMPER by KILPATRICK,KORY",1
06:55,"TURNOVER  by SPENCE,ANJUWON",,,,,,,"TURNOVER  by SPENCE,ANJUWON",1
06:55,"FOUL  by SPENCE,ANJUWON",,,,,,,"FOUL  by SPENCE,ANJUWON",1
06:55,"SUB IN by BRADY,TIM",,,,,,,"SUB IN by BRADY,TIM",1
06:55,"SUB OUT by SPENCE,ANJUWON",,,,,,,"SUB OUT by SPENCE,ANJUWON",1
06:32,,,,,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",1
06:22,,,,,"FOUL  by GALOW,ANDREW",,,"FOUL  by GALOW,ANDREW",1
06:22,"GOOD FT by BRADY,TIM",23 (+12),,11,,OWUM 23-11 (-12),,"GOOD FT by BRADY,TIM",1
06:22,"GOOD FT by BRADY,TIM",24 (+13),,11,,OWUM 24-11 (-13),,"GOOD FT by BRADY,TIM",1
06:22,,,,,"SUB IN by DUNAVANT,JOHN",,,"SUB IN by DUNAVANT,JOHN",1
06:22,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",1
06:08,,24 (+11),,13,"GOOD JUMPER by CHIEN,KEVIN",RCMBB12 24-13 (-11),,"GOOD JUMPER by CHIEN,KEVIN",1
06:05,"MISS 3PTR by FELHABER,NICK",,,,,,,"MISS 3PTR by FELHABER,NICK",1
--,"REBOUND OFF by MORRIS,MARSHALL",,,,,,,"REBOUND OFF by MORRIS,MARSHALL",1
06:05,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",1
06:05,"GOOD FT by MORRIS,MARSHALL",25 (+12),,13,,OWUM 25-13 (-12),,"GOOD FT by MORRIS,MARSHALL",1
06:05,"GOOD FT by MORRIS,MARSHALL",26 (+13),,13,,OWUM 26-13 (-13),,"GOOD FT by MORRIS,MARSHALL",1
06:05,,,,,"SUB IN by ZOGG,ALDEN",,,"SUB IN by ZOGG,ALDEN",1
06:05,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",1
06:05,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",1
06:05,,,,,"SUB OUT by CHIEN,KEVIN",,,"SUB OUT by CHIEN,KEVIN",1
06:05,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
06:05,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",1
05:58,,,,,"TURNOVER  by GALLAGHER,MICHAEL",,,"TURNOVER  by GALLAGHER,MICHAEL",1
05:54,"GOOD JUMPER by BRADY,TIM",28 (+15),,13,,OWUM 28-13 (-15),,"GOOD JUMPER by BRADY,TIM",1
05:39,,,,,"TURNOVER  by MCGRAIL,PATRICK",,,"TURNOVER  by MCGRAIL,PATRICK",1
05:39,,,,,"FOUL  by MCGRAIL,PATRICK",,,"FOUL  by MCGRAIL,PATRICK",1
05:39,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",1
05:39,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",1
05:29,"TURNOVER  by REILICH,BILLY",,,,,,,"TURNOVER  by REILICH,BILLY",1
05:27,,,,,"STEAL  by GALOW,ANDREW",,,"STEAL  by GALOW,ANDREW",1
05:07,,,,,"MISS 3PTR by KILPATRICK,KORY",,,"MISS 3PTR by KILPATRICK,KORY",1
--,"REBOUND DEF by BRADY,TIM",,,,,,,"REBOUND DEF by BRADY,TIM",1
04:55,"TURNOVER  by EASLEY,ERIC",,,,,,,"TURNOVER  by EASLEY,ERIC",1
04:53,,,,,"SUB IN by CHIEN,KEVIN",,,"SUB IN by CHIEN,KEVIN",1
04:53,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",1
04:28,,28 (+12),,16,"GOOD 3PTR by DUNAVANT,JOHN",RCMBB12 28-16 (-12),,"GOOD 3PTR by DUNAVANT,JOHN",1
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",1
04:21,"MISS JUMPER by BRADY,TIM",,,,,,,"MISS JUMPER by BRADY,TIM",1
--,,,,,"REBOUND DEF by ZOGG,ALDEN",,,"REBOUND DEF by ZOGG,ALDEN",1
04:08,,28 (+10),,18,"GOOD JUMPER by GALOW,ANDREW",RCMBB12 28-18 (-10),,"GOOD JUMPER by GALOW,ANDREW",1
03:45,"GOOD 3PTR by FELHABER,NICK",31 (+13),,18,,OWUM 31-18 (-13),,"GOOD 3PTR by FELHABER,NICK",1
03:29,,31 (+10),,21,"GOOD 3PTR by DUNAVANT,JOHN",RCMBB12 31-21 (-10),,"GOOD 3PTR by DUNAVANT,JOHN",1
--,,,,,"ASSIST  by CHIEN,KEVIN",,,"ASSIST  by CHIEN,KEVIN",1
03:18,,,,,"FOUL  by CHIEN,KEVIN",,,"FOUL  by CHIEN,KEVIN",1
03:18,"GOOD FT by EASLEY,ERIC",32 (+11),,21,,OWUM 32-21 (-11),,"GOOD FT by EASLEY,ERIC",1
03:18,"GOOD FT by EASLEY,ERIC",33 (+12),,21,,OWUM 33-21 (-12),,"GOOD FT by EASLEY,ERIC",1
03:18,"SUB IN by SPAULDING,VAUGHN",,,,,,,"SUB IN by SPAULDING,VAUGHN",1
03:18,"SUB IN by WINTERS,ANDY",,,,,,,"SUB IN by WINTERS,ANDY",1
03:18,"SUB OUT by EASLEY,ERIC",,,,,,,"SUB OUT by EASLEY,ERIC",1
03:18,"SUB OUT by REILICH,BILLY",,,,,,,"SUB OUT by REILICH,BILLY",1
03:18,,,,,"SUB IN by MILLER,JOEY",,,"SUB IN by MILLER,JOEY",1
03:18,,,,,"SUB OUT by ZOGG,ALDEN",,,"SUB OUT by ZOGG,ALDEN",1
03:07,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",1
--,"REBOUND DEF by BRADY,TIM",,,,,,,"REBOUND DEF by BRADY,TIM",1
02:55,"TURNOVER  by SPAULDING,VAUGHN",,,,,,,"TURNOVER  by SPAULDING,VAUGHN",1
02:54,,,,,"STEAL  by GALOW,ANDREW",,,"STEAL  by GALOW,ANDREW",1
02:48,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
02:43,"TURNOVER  by BRADY,TIM",,,,,,,"TURNOVER  by BRADY,TIM",1
02:43,"FOUL  by BRADY,TIM",,,,,,,"FOUL  by BRADY,TIM",1
02:19,,,,,"MISS JUMPER by KILPATRICK,KORY",,,"MISS JUMPER by KILPATRICK,KORY",1
--,"REBOUND DEF by MORRIS,MARSHALL",,,,,,,"REBOUND DEF by MORRIS,MARSHALL",1
02:03,"MISS JUMPER by BRADY,TIM",,,,,,,"MISS JUMPER by BRADY,TIM",1
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",1
01:54,,33 (+10),,23,"GOOD JUMPER by GALOW,ANDREW",RCMBB12 33-23 (-10),,"GOOD JUMPER by GALOW,ANDREW",1
01:51,"FOUL  by BRADY,TIM",,,,,,,"FOUL  by BRADY,TIM",1
01:51,,33 (+9),,24,"GOOD FT by GALOW,ANDREW",RCMBB12 33-24 (-9),,"GOOD FT by GALOW,ANDREW",1
01:51,"SUB IN by FLANEGAN,DANNY",,,,,,,"SUB IN by FLANEGAN,DANNY",1
01:51,"SUB OUT by BRADY,TIM",,,,,,,"SUB OUT by BRADY,TIM",1
01:51,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",1
01:51,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",1
01:28,"MISS 3PTR by FELHABER,NICK",,,,,,,"MISS 3PTR by FELHABER,NICK",1
--,,,,,"REBOUND DEF by KILPATRICK,KORY",,,"REBOUND DEF by KILPATRICK,KORY",1
01:11,,33 (+7),,26,"GOOD JUMPER by DUNAVANT,JOHN",RCMBB12 33-26 (-7),,"GOOD JUMPER by DUNAVANT,JOHN",1
01:09,"FOUL  by FELHABER,NICK",,,,,,,"FOUL  by FELHABER,NICK",1
01:09,,33 (+6),,27,"GOOD FT by DUNAVANT,JOHN",RCMBB12 33-27 (-6),,"GOOD FT by DUNAVANT,JOHN",1
00:57,"TURNOVER  by WINTERS,ANDY",,,,,,,"TURNOVER  by WINTERS,ANDY",1
00:57,"FOUL  by WINTERS,ANDY",,,,,,,"FOUL  by WINTERS,ANDY",1
00:57,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",1
00:57,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",1
00:44,,33 (+4),,29,"GOOD JUMPER by CHIEN,KEVIN",RCMBB12 33-29 (-4),,"GOOD JUMPER by CHIEN,KEVIN",1
--,,,,,"ASSIST  by KILPATRICK,KORY",,,"ASSIST  by KILPATRICK,KORY",1
00:18,"MISS 3PTR by SPAULDING,VAUGHN",,,,,,,"MISS 3PTR by SPAULDING,VAUGHN",1
--,,,,,"REBOUND DEF by CHIEN,KEVIN",,,"REBOUND DEF by CHIEN,KEVIN",1
00:02,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",1
--,,,,,"REBOUND OFF by MILLER,JOEY",,,"REBOUND OFF by MILLER,JOEY",1
00:00,,,,,"MISS JUMPER by MILLER,JOEY",,,"MISS JUMPER by MILLER,JOEY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
19:48,,33 (+2),,31,"GOOD JUMPER by DUNAVANT,JOHN",RCMBB12 33-31 (-2),,"GOOD JUMPER by DUNAVANT,JOHN",2
19:26,"GOOD JUMPER by BRADY,TIM",35 (+4),,31,,OWUM 35-31 (-4),,"GOOD JUMPER by BRADY,TIM",2
19:24,,,,,"FOUL  by DUNAVANT,JOHN",,,"FOUL  by DUNAVANT,JOHN",2
19:24,"MISS FT by BRADY,TIM",,,,,,,"MISS FT by BRADY,TIM",2
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",2
19:07,"FOUL  by SPAULDING,VAUGHN",,,,,,,"FOUL  by SPAULDING,VAUGHN",2
18:44,,,,,"MISS JUMPER by KILPATRICK,KORY",,,"MISS JUMPER by KILPATRICK,KORY",2
--,"REBOUND DEF by MORRIS,MARSHALL",,,,,,,"REBOUND DEF by MORRIS,MARSHALL",2
18:22,,,,,"FOUL  by KILPATRICK,KORY",,,"FOUL  by KILPATRICK,KORY",2
18:22,"MISS FT by MORRIS,MARSHALL",,,,,,,"MISS FT by MORRIS,MARSHALL",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
18:22,"GOOD FT by MORRIS,MARSHALL",36 (+5),,31,,OWUM 36-31 (-5),,"GOOD FT by MORRIS,MARSHALL",2
18:06,,36 (+3),,33,"GOOD JUMPER by HARTWELL,THEO",RCMBB12 36-33 (-3),,"GOOD JUMPER by HARTWELL,THEO",2
17:45,"MISS JUMPER by ROGERS,REUEL",,,,,,,"MISS JUMPER by ROGERS,REUEL",2
--,,,,,"REBOUND DEF by CHIEN,KEVIN",,,"REBOUND DEF by CHIEN,KEVIN",2
17:37,,,,,"TURNOVER  by GALOW,ANDREW",,,"TURNOVER  by GALOW,ANDREW",2
17:33,"MISS 3PTR by WINTERS,ANDY",,,,,,,"MISS 3PTR by WINTERS,ANDY",2
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",2
17:27,,36 (+1),,35,"GOOD JUMPER by GALOW,ANDREW",RCMBB12 36-35 (-1),,"GOOD JUMPER by GALOW,ANDREW",2
17:10,"TURNOVER  by BRADY,TIM",,,,,,,"TURNOVER  by BRADY,TIM",2
17:08,,,,,"STEAL  by CHIEN,KEVIN",,,"STEAL  by CHIEN,KEVIN",2
16:52,,36,,38 (+2),"GOOD 3PTR by DUNAVANT,JOHN",RCMBB12 36-38 (+2),,"GOOD 3PTR by DUNAVANT,JOHN",2
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",2
