Time Remaining,OGLETHORPE,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
16:35,,,,,TIMEOUT FULL by TEAM,,,TIMEOUT FULL by TEAM,1
16:16,,,,,"TURNOVER  by CARTER,KESHONN",,,"TURNOVER  by CARTER,KESHONN",1
16:08,"GOOD LAYUP by JOVAAG,BRANDEN(in the paint)",10 (+10),,0,,OGLETHORPE 10-0 (-10),,"GOOD LAYUP by JOVAAG,BRANDEN(in the paint)",1
--,"ASSIST  by KINNEY,JORDAN",,,,,,,"ASSIST  by KINNEY,JORDAN",1
15:52,"FOUL  by DAVIS,ALEX",,,,,,,"FOUL  by DAVIS,ALEX",1
15:52,,,,,"SUB IN by AFFRONTI,LEWIS",,,"SUB IN by AFFRONTI,LEWIS",1
15:52,,,,,"SUB OUT by CALDWELL,MARCELLUS",,,"SUB OUT by CALDWELL,MARCELLUS",1
15:43,,,,,"MISS LAYUP by BROWN,TYLER",,,"MISS LAYUP by BROWN,TYLER",1
--,"REBOUND DEF by MOLINET,CHRISTIAN",,,,,,,"REBOUND DEF by MOLINET,CHRISTIAN",1
15:35,"GOOD LAYUP by MOLINET,CHRISTIAN(in the paint)",12 (+12),,0,,OGLETHORPE 12-0 (-12),,"GOOD LAYUP by MOLINET,CHRISTIAN(in the paint)",1
15:22,,,,,"TURNOVER  by CARTER,KESHONN",,,"TURNOVER  by CARTER,KESHONN",1
15:22,,,,,"SUB IN by HEATHERLY,GARRETT",,,"SUB IN by HEATHERLY,GARRETT",1
15:22,,,,,"SUB IN by BRYANT,VALENTINO",,,"SUB IN by BRYANT,VALENTINO",1
15:22,,,,,"SUB OUT by HODGE,NILAN",,,"SUB OUT by HODGE,NILAN",1
15:22,,,,,"SUB OUT by CARTER,KESHONN",,,"SUB OUT by CARTER,KESHONN",1
15:08,"GOOD LAYUP by KINNEY,JORDAN(in the paint)",14 (+14),,0,,OGLETHORPE 14-0 (-14),,"GOOD LAYUP by KINNEY,JORDAN(in the paint)",1
--,"ASSIST  by JOVAAG,BRANDEN",,,,,,,"ASSIST  by JOVAAG,BRANDEN",1
14:55,,,,,"MISS JUMPER by BRYANT,VALENTINO",,,"MISS JUMPER by BRYANT,VALENTINO",1
--,,,,,"REBOUND OFF by HEATHERLY,GARRETT",,,"REBOUND OFF by HEATHERLY,GARRETT",1
14:46,,,,,"TURNOVER  by HEATHERLY,GARRETT",,,"TURNOVER  by HEATHERLY,GARRETT",1
14:46,"SUB IN by COURSON,TYLER",,,,,,,"SUB IN by COURSON,TYLER",1
14:46,"SUB IN by JOVAAG,BRANDEN",,,,,,,"SUB IN by JOVAAG,BRANDEN",1
14:46,"SUB IN by HAMILTON,PRICE",,,,,,,"SUB IN by HAMILTON,PRICE",1
14:46,"SUB IN by MOLINET,CHRISTIAN",,,,,,,"SUB IN by MOLINET,CHRISTIAN",1
14:46,"SUB IN by BRYANT,MJ",,,,,,,"SUB IN by BRYANT,MJ",1
14:46,SUB OUT by TEAM,,,,,,,SUB OUT by TEAM,1
14:46,"SUB OUT by PURDY,SAM",,,,,,,"SUB OUT by PURDY,SAM",1
14:46,"SUB OUT by DAVIS,ALEX",,,,,,,"SUB OUT by DAVIS,ALEX",1
14:46,"SUB OUT by JOVAAG,BRANDEN",,,,,,,"SUB OUT by JOVAAG,BRANDEN",1
14:46,"SUB OUT by KINNEY,JORDAN",,,,,,,"SUB OUT by KINNEY,JORDAN",1
14:46,"SUB OUT by MOLINET,CHRISTIAN",,,,,,,"SUB OUT by MOLINET,CHRISTIAN",1
14:44,"MISS JUMPER by HAMILTON,PRICE",,,,,,,"MISS JUMPER by HAMILTON,PRICE",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
14:25,"FOUL  by MOLINET,CHRISTIAN",,,,,,,"FOUL  by MOLINET,CHRISTIAN",1
14:13,,,,,"MISS 3PTR by AFFRONTI,LEWIS",,,"MISS 3PTR by AFFRONTI,LEWIS",1
--,"REBOUND DEF by COURSON,TYLER",,,,,,,"REBOUND DEF by COURSON,TYLER",1
14:13,"MISS 3PTR by MOLINET,CHRISTIAN",,,,,,,"MISS 3PTR by MOLINET,CHRISTIAN",1
--,"REBOUND OFF by HAMILTON,PRICE",,,,,,,"REBOUND OFF by HAMILTON,PRICE",1
14:10,,,,,"FOUL  by AFFRONTI,LEWIS",,,"FOUL  by AFFRONTI,LEWIS",1
14:08,"MISS FT by HAMILTON,PRICE",,,,,,,"MISS FT by HAMILTON,PRICE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
14:08,"GOOD FT by HAMILTON,PRICE",15 (+15),,0,,OGLETHORPE 15-0 (-15),,"GOOD FT by HAMILTON,PRICE",1
14:08,"SUB IN by PATRICK,DREW",,,,,,,"SUB IN by PATRICK,DREW",1
14:08,"SUB OUT by JOVAAG,BRANDEN",,,,,,,"SUB OUT by JOVAAG,BRANDEN",1
14:08,,,,,"SUB IN by DOWNEY,WILL",,,"SUB IN by DOWNEY,WILL",1
14:08,,,,,"SUB OUT by BROWN,TYLER",,,"SUB OUT by BROWN,TYLER",1
13:58,,,,,"MISS 3PTR by AFFRONTI,LEWIS",,,"MISS 3PTR by AFFRONTI,LEWIS",1
--,"REBOUND DEF by DAVIS,ALEX",,,,,,,"REBOUND DEF by DAVIS,ALEX",1
13:48,"MISS JUMPER by DAVIS,ALEX",,,,,,,"MISS JUMPER by DAVIS,ALEX",1
--,"REBOUND OFF by DAVIS,ALEX",,,,,,,"REBOUND OFF by DAVIS,ALEX",1
13:40,"TURNOVER  by COURSON,TYLER",,,,,,,"TURNOVER  by COURSON,TYLER",1
13:35,"SUB IN by HAMILTON,PRICE",,,,,,,"SUB IN by HAMILTON,PRICE",1
13:35,"SUB IN by PATRICK,DREW",,,,,,,"SUB IN by PATRICK,DREW",1
13:35,"SUB IN by COURSON,TYLER",,,,,,,"SUB IN by COURSON,TYLER",1
13:35,"SUB IN by DAVIS,ALEX",,,,,,,"SUB IN by DAVIS,ALEX",1
13:35,"SUB IN by MOLINET,CHRISTIAN",,,,,,,"SUB IN by MOLINET,CHRISTIAN",1
13:35,"SUB OUT by HAMILTON,PRICE",,,,,,,"SUB OUT by HAMILTON,PRICE",1
13:35,"SUB OUT by BRYANT,MJ",,,,,,,"SUB OUT by BRYANT,MJ",1
13:35,"SUB OUT by COURSON,TYLER",,,,,,,"SUB OUT by COURSON,TYLER",1
13:35,"SUB OUT by PATRICK,DREW",,,,,,,"SUB OUT by PATRICK,DREW",1
13:35,"SUB OUT by MOLINET,CHRISTIAN",,,,,,,"SUB OUT by MOLINET,CHRISTIAN",1
13:34,,,,,"TURNOVER  by BOULDIN,BRETT",,,"TURNOVER  by BOULDIN,BRETT",1
13:33,"STEAL  by PATRICK,DREW",,,,,,,"STEAL  by PATRICK,DREW",1
13:18,,,,,"FOUL  by HEATHERLY,GARRETT",,,"FOUL  by HEATHERLY,GARRETT",1
13:18,"MISS FT by HAMILTON,PRICE",,,,,,,"MISS FT by HAMILTON,PRICE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
13:18,"GOOD FT by HAMILTON,PRICE",16 (+16),,0,,OGLETHORPE 16-0 (-16),,"GOOD FT by HAMILTON,PRICE",1
12:55,,,,,"TURNOVER  by BOULDIN,BRETT",,,"TURNOVER  by BOULDIN,BRETT",1
12:51,"STEAL  by DAVIS,ALEX",,,,,,,"STEAL  by DAVIS,ALEX",1
12:47,"MISS 3PTR by PITTS,ALEC",,,,,,,"MISS 3PTR by PITTS,ALEC",1
--,"REBOUND OFF by PITTS,ALEC",,,,,,,"REBOUND OFF by PITTS,ALEC",1
12:29,"GOOD 3PTR by COURSON,TYLER",19 (+19),,0,,OGLETHORPE 19-0 (-19),,"GOOD 3PTR by COURSON,TYLER",1
--,"ASSIST  by HAMILTON,PRICE",,,,,,,"ASSIST  by HAMILTON,PRICE",1
12:29,,,,,"SUB IN by CALDWELL,MARCELLUS",,,"SUB IN by CALDWELL,MARCELLUS",1
12:29,,,,,"SUB IN by HODGE,NILAN",,,"SUB IN by HODGE,NILAN",1
12:29,,,,,"SUB OUT by BOULDIN,BRETT",,,"SUB OUT by BOULDIN,BRETT",1
12:29,,,,,"SUB OUT by BRYANT,VALENTINO",,,"SUB OUT by BRYANT,VALENTINO",1
12:13,,,,,"MISS JUMPER by HODGE,NILAN",,,"MISS JUMPER by HODGE,NILAN",1
--,"REBOUND DEF by COURSON,TYLER",,,,,,,"REBOUND DEF by COURSON,TYLER",1
12:01,,,,,"SUB IN by BOULDIN,BRETT",,,"SUB IN by BOULDIN,BRETT",1
12:01,,,,,"SUB IN by CARTER,KESHONN",,,"SUB IN by CARTER,KESHONN",1
12:01,,,,,"SUB OUT by DOWNEY,WILL",,,"SUB OUT by DOWNEY,WILL",1
12:01,,,,,"SUB OUT by HEATHERLY,GARRETT",,,"SUB OUT by HEATHERLY,GARRETT",1
11:34,"FOUL  by PATRICK,DREW",,,,,,,"FOUL  by PATRICK,DREW",1
11:34,"SUB IN by DAVIS,ALEX",,,,,,,"SUB IN by DAVIS,ALEX",1
11:34,"SUB IN by JOVAAG,BRANDEN",,,,,,,"SUB IN by JOVAAG,BRANDEN",1
11:34,"SUB IN by PURDY,SAM",,,,,,,"SUB IN by PURDY,SAM",1
11:34,"SUB IN by KINNEY,JORDAN",,,,,,,"SUB IN by KINNEY,JORDAN",1
11:34,"SUB IN by MOLINET,CHRISTIAN",,,,,,,"SUB IN by MOLINET,CHRISTIAN",1
11:34,"SUB OUT by HAMILTON,PRICE",,,,,,,"SUB OUT by HAMILTON,PRICE",1
11:34,"SUB OUT by DAVIS,ALEX",,,,,,,"SUB OUT by DAVIS,ALEX",1
11:34,"SUB OUT by COURSON,TYLER",,,,,,,"SUB OUT by COURSON,TYLER",1
11:34,"SUB OUT by PATRICK,DREW",,,,,,,"SUB OUT by PATRICK,DREW",1
11:34,"SUB OUT by MOLINET,CHRISTIAN",,,,,,,"SUB OUT by MOLINET,CHRISTIAN",1
11:09,"FOUL  by MOLINET,CHRISTIAN",,,,,,,"FOUL  by MOLINET,CHRISTIAN",1
11:09,"SUB IN by BRYANT,MJ",,,,,,,"SUB IN by BRYANT,MJ",1
11:09,"SUB OUT by MOLINET,CHRISTIAN",,,,,,,"SUB OUT by MOLINET,CHRISTIAN",1
11:01,,19 (+17),,2,"GOOD JUMPER by HODGE,NILAN(in the paint)",SEWANEE 19-2 (-17),,"GOOD JUMPER by HODGE,NILAN(in the paint)",1
10:40,"MISS 3PTR by JOVAAG,BRANDEN",,,,,,,"MISS 3PTR by JOVAAG,BRANDEN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
10:38,,,,,"SUB IN by BROWN,TYLER",,,"SUB IN by BROWN,TYLER",1
10:38,,,,,"SUB OUT by CALDWELL,MARCELLUS",,,"SUB OUT by CALDWELL,MARCELLUS",1
10:18,,,,,"MISS 3PTR by BOULDIN,BRETT",,,"MISS 3PTR by BOULDIN,BRETT",1
--,,,,,"REBOUND OFF by CARTER,KESHONN",,,"REBOUND OFF by CARTER,KESHONN",1
9:53,,19 (+14),,5,"GOOD 3PTR by BOULDIN,BRETT",SEWANEE 19-5 (-14),,"GOOD 3PTR by BOULDIN,BRETT",1
--,,,,,"ASSIST  by CARTER,KESHONN",,,"ASSIST  by CARTER,KESHONN",1
9:41,"MISS 3PTR by PITTS,ALEC",,,,,,,"MISS 3PTR by PITTS,ALEC",1
--,,,,,"REBOUND DEF by BROWN,TYLER",,,"REBOUND DEF by BROWN,TYLER",1
--,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",,,"REBOUND DEF by CALDWELL,MARCELLUS",1
9:33,,,,,"MISS 3PTR by BOULDIN,BRETT",,,"MISS 3PTR by BOULDIN,BRETT",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
9:19,"TURNOVER  by KINNEY,JORDAN",,,,,,,"TURNOVER  by KINNEY,JORDAN",1
9:15,,,,,"STEAL  by CARTER,KESHONN",,,"STEAL  by CARTER,KESHONN",1
9:12,,19 (+12),,7,"GOOD DUNK by CARTER,KESHONN(fastbreak)(in the paint)",SEWANEE 19-7 (-12),,"GOOD DUNK by CARTER,KESHONN(fastbreak)(in the paint)",1
9:09,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
8:39,"GOOD JUMPER by DAVIS,ALEX",21 (+14),,7,,OGLETHORPE 21-7 (-14),,"GOOD JUMPER by DAVIS,ALEX",1
8:24,"FOUL  by PITTS,ALEC",,,,,,,"FOUL  by PITTS,ALEC",1
8:09,,,,,"MISS LAYUP by BROWN,TYLER",,,"MISS LAYUP by BROWN,TYLER",1
--,"REBOUND DEF by PURDY,SAM",,,,,,,"REBOUND DEF by PURDY,SAM",1
8:02,"GOOD 3PTR by PURDY,SAM",24 (+17),,7,,OGLETHORPE 24-7 (-17),,"GOOD 3PTR by PURDY,SAM",1
--,"ASSIST  by PITTS,ALEC",,,,,,,"ASSIST  by PITTS,ALEC",1
8:02,,,,,"FOUL  by BROWN,TYLER",,,"FOUL  by BROWN,TYLER",1
8:02,"GOOD FT by PURDY,SAM",25 (+18),,7,,OGLETHORPE 25-7 (-18),,"GOOD FT by PURDY,SAM",1
7:29,"FOUL  by HAMILTON,PRICE",,,,,,,"FOUL  by HAMILTON,PRICE",1
7:29,,,,,"MISS FT by BRYANT,VALENTINO",,,"MISS FT by BRYANT,VALENTINO",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
7:29,,25 (+17),,8,"GOOD FT by BRYANT,VALENTINO",SEWANEE 25-8 (-17),,"GOOD FT by BRYANT,VALENTINO",1
7:00,"MISS JUMPER by PITTS,ALEC",,,,,,,"MISS JUMPER by PITTS,ALEC",1
--,,,,,"REBOUND DEF by HODGE,NILAN",,,"REBOUND DEF by HODGE,NILAN",1
6:38,,,,,"MISS 3PTR by BOULDIN,BRETT",,,"MISS 3PTR by BOULDIN,BRETT",1
--,"REBOUND DEF by PATRICK,DREW",,,,,,,"REBOUND DEF by PATRICK,DREW",1
6:17,"MISS 3PTR by JOVAAG,BRANDEN",,,,,,,"MISS 3PTR by JOVAAG,BRANDEN",1
--,,,,,"REBOUND DEF by HODGE,NILAN",,,"REBOUND DEF by HODGE,NILAN",1
6:09,,,,,"MISS LAYUP by HODGE,NILAN",,,"MISS LAYUP by HODGE,NILAN",1
6:09,"BLOCK  by HAMILTON,PRICE",,,,,,,"BLOCK  by HAMILTON,PRICE",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
5:52,,25 (+15),,10,"GOOD JUMPER by HODGE,NILAN(in the paint)",SEWANEE 25-10 (-15),,"GOOD JUMPER by HODGE,NILAN(in the paint)",1
5:35,"MISS LAYUP by KINNEY,JORDAN",,,,,,,"MISS LAYUP by KINNEY,JORDAN",1
--,,,,,"REBOUND DEF by BRYANT,VALENTINO",,,"REBOUND DEF by BRYANT,VALENTINO",1
5:18,"FOUL  by PATRICK,DREW",,,,,,,"FOUL  by PATRICK,DREW",1
5:18,,25 (+14),,11,"GOOD FT by CARTER,KESHONN",SEWANEE 25-11 (-14),,"GOOD FT by CARTER,KESHONN",1
5:18,,25 (+13),,12,"GOOD FT by CARTER,KESHONN",SEWANEE 25-12 (-13),,"GOOD FT by CARTER,KESHONN",1
5:02,"GOOD LAYUP by KINNEY,JORDAN(in the paint)",27 (+15),,12,,OGLETHORPE 27-12 (-15),,"GOOD LAYUP by KINNEY,JORDAN(in the paint)",1
--,"ASSIST  by PATRICK,DREW",,,,,,,"ASSIST  by PATRICK,DREW",1
4:43,,,,,"TURNOVER  by AFFRONTI,LEWIS",,,"TURNOVER  by AFFRONTI,LEWIS",1
4:43,,,,,"FOUL  by AFFRONTI,LEWIS",,,"FOUL  by AFFRONTI,LEWIS",1
4:27,"MISS JUMPER by PURDY,SAM",,,,,,,"MISS JUMPER by PURDY,SAM",1
--,,,,,"REBOUND DEF by DOWNEY,WILL",,,"REBOUND DEF by DOWNEY,WILL",1
4:10,,,,,"MISS JUMPER by CALDWELL,MARCELLUS",,,"MISS JUMPER by CALDWELL,MARCELLUS",1
4:10,"BLOCK  by JOVAAG,BRANDEN",,,,,,,"BLOCK  by JOVAAG,BRANDEN",1
--,"REBOUND DEF by DAVIS,ALEX",,,,,,,"REBOUND DEF by DAVIS,ALEX",1
4:02,"MISS LAYUP by DAVIS,ALEX",,,,,,,"MISS LAYUP by DAVIS,ALEX",1
--,,,,,"REBOUND DEF by BOULDIN,BRETT",,,"REBOUND DEF by BOULDIN,BRETT",1
3:52,,27 (+13),,14,"GOOD JUMPER by BOULDIN,BRETT",SEWANEE 27-14 (-13),,"GOOD JUMPER by BOULDIN,BRETT",1
3:44,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
3:34,"GOOD LAYUP by KINNEY,JORDAN(in the paint)",29 (+15),,14,,OGLETHORPE 29-14 (-15),,"GOOD LAYUP by KINNEY,JORDAN(in the paint)",1
3:30,,,,,"FOUL  by HEATHERLY,GARRETT",,,"FOUL  by HEATHERLY,GARRETT",1
3:28,"GOOD FT by KINNEY,JORDAN",30 (+16),,14,,OGLETHORPE 30-14 (-16),,"GOOD FT by KINNEY,JORDAN",1
3:22,,,,,"TURNOVER  by CALDWELL,MARCELLUS",,,"TURNOVER  by CALDWELL,MARCELLUS",1
3:19,"STEAL  by KINNEY,JORDAN",,,,,,,"STEAL  by KINNEY,JORDAN",1
3:17,,,,,"FOUL  by CALDWELL,MARCELLUS",,,"FOUL  by CALDWELL,MARCELLUS",1
3:17,"GOOD FT by KINNEY,JORDAN",31 (+17),,14,,OGLETHORPE 31-14 (-17),,"GOOD FT by KINNEY,JORDAN",1
3:17,"GOOD FT by KINNEY,JORDAN",32 (+18),,14,,OGLETHORPE 32-14 (-18),,"GOOD FT by KINNEY,JORDAN",1
3:02,"FOUL  by PURDY,SAM",,,,,,,"FOUL  by PURDY,SAM",1
2:59,,,,,"MISS FT by BRYANT,VALENTINO",,,"MISS FT by BRYANT,VALENTINO",1
--,"REBOUND DEF by PURDY,SAM",,,,,,,"REBOUND DEF by PURDY,SAM",1
2:33,"MISS JUMPER by DAVIS,ALEX",,,,,,,"MISS JUMPER by DAVIS,ALEX",1
--,"REBOUND OFF by DAVIS,ALEX",,,,,,,"REBOUND OFF by DAVIS,ALEX",1
2:12,"GOOD JUMPER by PITTS,ALEC(in the paint)",34 (+20),,14,,OGLETHORPE 34-14 (-20),,"GOOD JUMPER by PITTS,ALEC(in the paint)",1
1:50,,,,,"MISS 3PTR by BRYANT,VALENTINO",,,"MISS 3PTR by BRYANT,VALENTINO",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
1:45,,,,,"MISS JUMPER by BOULDIN,BRETT",,,"MISS JUMPER by BOULDIN,BRETT",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
1:23,"MISS JUMPER by COURSON,TYLER",,,,,,,"MISS JUMPER by COURSON,TYLER",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
1:09,"MISS 3PTR by PURDY,SAM",,,,,,,"MISS 3PTR by PURDY,SAM",1
--,,,,,"REBOUND DEF by BRYANT,VALENTINO",,,"REBOUND DEF by BRYANT,VALENTINO",1
1:00,,34 (+18),,16,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",SEWANEE 34-16 (-18),,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",1
0:56,"FOUL  by PURDY,SAM",,,,,,,"FOUL  by PURDY,SAM",1
0:55,,,,,"MISS FT by BRYANT,VALENTINO",,,"MISS FT by BRYANT,VALENTINO",1
--,"REBOUND DEF by COURSON,TYLER",,,,,,,"REBOUND DEF by COURSON,TYLER",1
0:35,"GOOD JUMPER by KINNEY,JORDAN",36 (+20),,16,,OGLETHORPE 36-16 (-20),,"GOOD JUMPER by KINNEY,JORDAN",1
0:17,,,,,"MISS LAYUP by BRYANT,VALENTINO",,,"MISS LAYUP by BRYANT,VALENTINO",1
--,"REBOUND DEF by COURSON,TYLER",,,,,,,"REBOUND DEF by COURSON,TYLER",1
0:10,"MISS 3PTR by COURSON,TYLER",,,,,,,"MISS 3PTR by COURSON,TYLER",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
08:24,"SUB IN by PITTS,ALEC",,,,,,,"SUB IN by PITTS,ALEC",1
08:24,"SUB OUT by BRYANT,MJ",,,,,,,"SUB OUT by BRYANT,MJ",1
08:02,"SUB IN by PATRICK,DREW",,,,,,,"SUB IN by PATRICK,DREW",1
08:02,"SUB IN by COURSON,TYLER",,,,,,,"SUB IN by COURSON,TYLER",1
08:02,"SUB IN by BRYANT,MJ",,,,,,,"SUB IN by BRYANT,MJ",1
08:02,"SUB IN by PURDY,SAM",,,,,,,"SUB IN by PURDY,SAM",1
08:02,"SUB IN by HAMILTON,PRICE",,,,,,,"SUB IN by HAMILTON,PRICE",1
08:02,"SUB IN by JOVAAG,BRANDEN",,,,,,,"SUB IN by JOVAAG,BRANDEN",1
08:02,"SUB OUT by PURDY,SAM",,,,,,,"SUB OUT by PURDY,SAM",1
08:02,"SUB OUT by PURDY,SAM",,,,,,,"SUB OUT by PURDY,SAM",1
08:02,"SUB OUT by DAVIS,ALEX",,,,,,,"SUB OUT by DAVIS,ALEX",1
08:02,"SUB OUT by JOVAAG,BRANDEN",,,,,,,"SUB OUT by JOVAAG,BRANDEN",1
08:02,"SUB OUT by PITTS,ALEC",,,,,,,"SUB OUT by PITTS,ALEC",1
08:02,"SUB OUT by KINNEY,JORDAN",,,,,,,"SUB OUT by KINNEY,JORDAN",1
08:02,,,,,"SUB IN by BROWN,TYLER",,,"SUB IN by BROWN,TYLER",1
08:02,,,,,"SUB IN by HEATHERLY,GARRETT",,,"SUB IN by HEATHERLY,GARRETT",1
08:02,,,,,"SUB IN by HODGE,NILAN",,,"SUB IN by HODGE,NILAN",1
08:02,,,,,"SUB IN by BRYANT,VALENTINO",,,"SUB IN by BRYANT,VALENTINO",1
08:02,,,,,"SUB IN by BOULDIN,BRETT",,,"SUB IN by BOULDIN,BRETT",1
08:02,,,,,SUB OUT by TEAM,,,SUB OUT by TEAM,1
08:02,,,,,"SUB OUT by AFFRONTI,LEWIS",,,"SUB OUT by AFFRONTI,LEWIS",1
08:02,,,,,"SUB OUT by BOULDIN,BRETT",,,"SUB OUT by BOULDIN,BRETT",1
08:02,,,,,"SUB OUT by BROWN,TYLER",,,"SUB OUT by BROWN,TYLER",1
08:02,,,,,"SUB OUT by HODGE,NILAN",,,"SUB OUT by HODGE,NILAN",1
08:02,,,,,"SUB OUT by CARTER,KESHONN",,,"SUB OUT by CARTER,KESHONN",1
06:09,"SUB IN by PATRICK,DREW",,,,,,,"SUB IN by PATRICK,DREW",1
06:09,"SUB IN by COURSON,TYLER",,,,,,,"SUB IN by COURSON,TYLER",1
06:09,"SUB IN by KINNEY,JORDAN",,,,,,,"SUB IN by KINNEY,JORDAN",1
06:09,"SUB IN by DAVIS,ALEX",,,,,,,"SUB IN by DAVIS,ALEX",1
06:09,"SUB IN by JOVAAG,BRANDEN",,,,,,,"SUB IN by JOVAAG,BRANDEN",1
06:09,"SUB OUT by HAMILTON,PRICE",,,,,,,"SUB OUT by HAMILTON,PRICE",1
06:09,"SUB OUT by BRYANT,MJ",,,,,,,"SUB OUT by BRYANT,MJ",1
06:09,"SUB OUT by PURDY,SAM",,,,,,,"SUB OUT by PURDY,SAM",1
06:09,"SUB OUT by COURSON,TYLER",,,,,,,"SUB OUT by COURSON,TYLER",1
06:09,"SUB OUT by JOVAAG,BRANDEN",,,,,,,"SUB OUT by JOVAAG,BRANDEN",1
06:09,"SUB OUT by PATRICK,DREW",,,,,,,"SUB OUT by PATRICK,DREW",1
06:09,,,,,"SUB IN by HODGE,NILAN",,,"SUB IN by HODGE,NILAN",1
06:09,,,,,"SUB IN by CARTER,KESHONN",,,"SUB IN by CARTER,KESHONN",1
06:09,,,,,"SUB IN by CALDWELL,MARCELLUS",,,"SUB IN by CALDWELL,MARCELLUS",1
06:09,,,,,"SUB IN by AFFRONTI,LEWIS",,,"SUB IN by AFFRONTI,LEWIS",1
06:09,,,,,"SUB IN by BRYANT,VALENTINO",,,"SUB IN by BRYANT,VALENTINO",1
06:09,,,,,"SUB OUT by HEATHERLY,GARRETT",,,"SUB OUT by HEATHERLY,GARRETT",1
06:09,,,,,"SUB OUT by BOULDIN,BRETT",,,"SUB OUT by BOULDIN,BRETT",1
06:09,,,,,"SUB OUT by BROWN,TYLER",,,"SUB OUT by BROWN,TYLER",1
06:09,,,,,"SUB OUT by BRYANT,VALENTINO",,,"SUB OUT by BRYANT,VALENTINO",1
06:09,,,,,"SUB OUT by HODGE,NILAN",,,"SUB OUT by HODGE,NILAN",1
05:18,,,,,"SUB IN by BOULDIN,BRETT",,,"SUB IN by BOULDIN,BRETT",1
05:18,,,,,"SUB OUT by HODGE,NILAN",,,"SUB OUT by HODGE,NILAN",1
04:43,"SUB IN by PURDY,SAM",,,,,,,"SUB IN by PURDY,SAM",1
