Time Remaining,SEWM,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
08:09,"MISS LAYUP by BROWN,TYLER",,,,,,,"MISS LAYUP by BROWN,TYLER",1
--,"REBOUND OFF by BROWN,TYLER",,,,,,,"REBOUND OFF by BROWN,TYLER",1
08:00,"MISS LAYUP by BROWN,TYLER",,,,,,,"MISS LAYUP by BROWN,TYLER",1
--,,,,,"REBOUND DEF by MARSH,CODY",,,"REBOUND DEF by MARSH,CODY",1
07:52,,6,,16 (+10),"GOOD LAYUP by ABRAMS,JONATHAN(in the paint)",BCM 6-16 (-10),,"GOOD LAYUP by ABRAMS,JONATHAN(in the paint)",1
07:26,,,,,"FOUL  by WHALEN,MAC",,,"FOUL  by WHALEN,MAC",1
07:26,"GOOD FT by BOULDIN,BRETT",7,,16 (+9),,SEWM 7-16 (-9),,"GOOD FT by BOULDIN,BRETT",1
07:26,"GOOD FT by BOULDIN,BRETT",8,,16 (+8),,SEWM 8-16 (-8),,"GOOD FT by BOULDIN,BRETT",1
07:26,"SUB IN by VEAL,ROBERT",,,,,,,"SUB IN by VEAL,ROBERT",1
07:26,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",1
07:26,,,,,"SUB IN by MCCLOUD,LEE",,,"SUB IN by MCCLOUD,LEE",1
07:26,,,,,"SUB OUT by WHALEN,MAC",,,"SUB OUT by WHALEN,MAC",1
07:04,,,,,"MISS 3PTR by MCCLOUD,LEE",,,"MISS 3PTR by MCCLOUD,LEE",1
--,"REBOUND DEF by BOULDIN,BRETT",,,,,,,"REBOUND DEF by BOULDIN,BRETT",1
06:46,"GOOD LAYUP by VEAL,ROBERT(in the paint)",10,,16 (+6),,SEWM 10-16 (-6),,"GOOD LAYUP by VEAL,ROBERT(in the paint)",1
--,"ASSIST  by HODGE,NILAN",,,,,,,"ASSIST  by HODGE,NILAN",1
06:23,,,,,"MISS JUMPER by WRIGHT,JAKE",,,"MISS JUMPER by WRIGHT,JAKE",1
--,"REBOUND DEF by BROWN,TYLER",,,,,,,"REBOUND DEF by BROWN,TYLER",1
06:11,"MISS 3PTR by BOULDIN,BRETT",,,,,,,"MISS 3PTR by BOULDIN,BRETT",1
--,,,,,"REBOUND DEF by MARSH,CODY",,,"REBOUND DEF by MARSH,CODY",1
06:10,,,,,"SUB IN by GRAHAM,LAKE",,,"SUB IN by GRAHAM,LAKE",1
06:10,,,,,"SUB OUT by MARSH,CODY",,,"SUB OUT by MARSH,CODY",1
05:41,,,,,"MISS JUMPER by GRAHAM,LAKE",,,"MISS JUMPER by GRAHAM,LAKE",1
--,"REBOUND DEF by VEAL,ROBERT",,,,,,,"REBOUND DEF by VEAL,ROBERT",1
05:28,"TURNOVER  by BOULDIN,BRETT",,,,,,,"TURNOVER  by BOULDIN,BRETT",1
05:28,"SUB IN by BRYANT,VALENTINO",,,,,,,"SUB IN by BRYANT,VALENTINO",1
05:28,"SUB OUT by BOULDIN,BRETT",,,,,,,"SUB OUT by BOULDIN,BRETT",1
05:06,,,,,"MISS LAYUP by MCCLOUD,LEE",,,"MISS LAYUP by MCCLOUD,LEE",1
--,"REBOUND DEF by VEAL,ROBERT",,,,,,,"REBOUND DEF by VEAL,ROBERT",1
04:38,"GOOD JUMPER by HODGE,NILAN",12,,16 (+4),,SEWM 12-16 (-4),,"GOOD JUMPER by HODGE,NILAN",1
04:18,,,,,"MISS LAYUP by WRIGHT,JAKE",,,"MISS LAYUP by WRIGHT,JAKE",1
--,,,,,"REBOUND OFF by WRIGHT,JAKE",,,"REBOUND OFF by WRIGHT,JAKE",1
04:14,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
04:03,,12,,19 (+7),"GOOD 3PTR by MCCLOUD,LEE",BCM 12-19 (-7),,"GOOD 3PTR by MCCLOUD,LEE",1
--,,,,,"ASSIST  by ABRAMS,JONATHAN",,,"ASSIST  by ABRAMS,JONATHAN",1
03:59,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",1
03:59,"SUB OUT by BROWN,TYLER",,,,,,,"SUB OUT by BROWN,TYLER",1
03:59,,,,,"SUB IN by HOWARD,MAC",,,"SUB IN by HOWARD,MAC",1
03:59,,,,,"SUB OUT by GRAHAM,LAKE",,,"SUB OUT by GRAHAM,LAKE",1
03:44,"MISS LAYUP by CARTER,KESHONN",,,,,,,"MISS LAYUP by CARTER,KESHONN",1
--,"REBOUND OFF by BRYANT,VALENTINO",,,,,,,"REBOUND OFF by BRYANT,VALENTINO",1
03:30,"FOUL  by VEAL,ROBERT",,,,,,,"FOUL  by VEAL,ROBERT",1
03:30,"SUB IN by BOULDIN,BRETT",,,,,,,"SUB IN by BOULDIN,BRETT",1
03:30,"SUB OUT by HODGE,NILAN",,,,,,,"SUB OUT by HODGE,NILAN",1
02:58,,,,,"MISS JUMPER by HOWARD,MAC",,,"MISS JUMPER by HOWARD,MAC",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
02:41,"TURNOVER  by VEAL,ROBERT",,,,,,,"TURNOVER  by VEAL,ROBERT",1
02:40,,,,,"STEAL  by HOWARD,MAC",,,"STEAL  by HOWARD,MAC",1
02:38,,,,,"MISS LAYUP by SMOAK,HUNTER",,,"MISS LAYUP by SMOAK,HUNTER",1
--,,,,,"REBOUND OFF by WRIGHT,JAKE",,,"REBOUND OFF by WRIGHT,JAKE",1
02:34,,,,,"MISS LAYUP by WRIGHT,JAKE",,,"MISS LAYUP by WRIGHT,JAKE",1
--,,,,,"REBOUND OFF by MCCLOUD,LEE",,,"REBOUND OFF by MCCLOUD,LEE",1
02:32,,,,,"MISS LAYUP by MCCLOUD,LEE",,,"MISS LAYUP by MCCLOUD,LEE",1
--,,,,,"REBOUND OFF by HOWARD,MAC",,,"REBOUND OFF by HOWARD,MAC",1
02:31,"FOUL  by AFFRONTI,LEWIS",,,,,,,"FOUL  by AFFRONTI,LEWIS",1
02:31,"SUB IN by BROWN,TYLER",,,,,,,"SUB IN by BROWN,TYLER",1
02:31,"SUB OUT by VEAL,ROBERT",,,,,,,"SUB OUT by VEAL,ROBERT",1
02:09,,,,,"MISS JUMPER by HOWARD,MAC",,,"MISS JUMPER by HOWARD,MAC",1
--,"REBOUND DEF by BRYANT,VALENTINO",,,,,,,"REBOUND DEF by BRYANT,VALENTINO",1
01:33,"MISS LAYUP by BOULDIN,BRETT",,,,,,,"MISS LAYUP by BOULDIN,BRETT",1
--,,,,,"REBOUND DEF by MCCLOUD,LEE",,,"REBOUND DEF by MCCLOUD,LEE",1
01:26,,,,,"FOUL  by ABRAMS,JONATHAN",,,"FOUL  by ABRAMS,JONATHAN",1
01:26,,,,,"SUB IN by TUTEN,WALKER",,,"SUB IN by TUTEN,WALKER",1
01:26,,,,,"SUB IN by RANDOLPH,ZACH",,,"SUB IN by RANDOLPH,ZACH",1
01:26,,,,,"SUB OUT by MCCLOUD,LEE",,,"SUB OUT by MCCLOUD,LEE",1
01:26,,,,,"SUB OUT by TEEMS,JORDAN",,,"SUB OUT by TEEMS,JORDAN",1
00:59,"GOOD LAYUP by CARTER,KESHONN(in the paint)",14,,19 (+5),,SEWM 14-19 (-5),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",1
--,"ASSIST  by BRYANT,VALENTINO",,,,,,,"ASSIST  by BRYANT,VALENTINO",1
00:33,,,,,"TURNOVER  by RANDOLPH,ZACH",,,"TURNOVER  by RANDOLPH,ZACH",1
00:05,,,,,"FOUL  by ABRAMS,JONATHAN",,,"FOUL  by ABRAMS,JONATHAN",1
00:05,"MISS FT by BRYANT,VALENTINO",,,,,,,"MISS FT by BRYANT,VALENTINO",1
--,,,,,"REBOUND DEF by HOWARD,MAC",,,"REBOUND DEF by HOWARD,MAC",1
00:05,"FOUL  by BOULDIN,BRETT",,,,,,,"FOUL  by BOULDIN,BRETT",1
00:00,,,,,"MISS 3PTR by TUTEN,WALKER",,,"MISS 3PTR by TUTEN,WALKER",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
20:00,,,,,"SUB IN by TEEMS,JORDAN",,,"SUB IN by TEEMS,JORDAN",2
20:00,,,,,"SUB OUT by WHALEN,MAC",,,"SUB OUT by WHALEN,MAC",2
19:24,,,,,"MISS 3PTR by ABRAMS,JONATHAN",,,"MISS 3PTR by ABRAMS,JONATHAN",2
--,,,,,"REBOUND OFF by TEEMS,JORDAN",,,"REBOUND OFF by TEEMS,JORDAN",2
19:18,,,,,"TURNOVER  by TEEMS,JORDAN",,,"TURNOVER  by TEEMS,JORDAN",2
18:58,,,,,"FOUL  by WRIGHT,JAKE",,,"FOUL  by WRIGHT,JAKE",2
18:39,"MISS JUMPER by CARTER,KESHONN",,,,,,,"MISS JUMPER by CARTER,KESHONN",2
--,,,,,"REBOUND DEF by ABRAMS,JONATHAN",,,"REBOUND DEF by ABRAMS,JONATHAN",2
18:18,,14,,21 (+7),"GOOD LAYUP by GRAHAM,LAKE(in the paint)",BCM 14-21 (-7),,"GOOD LAYUP by GRAHAM,LAKE(in the paint)",2
--,"ASSIST  by CARTER,KESHONN",,,,,,,"ASSIST  by CARTER,KESHONN",2
18:18,,,,,"MISS FT by GRAHAM,LAKE",,,"MISS FT by GRAHAM,LAKE",2
--,,,,,"REBOUND OFF by WRIGHT,JAKE",,,"REBOUND OFF by WRIGHT,JAKE",2
18:16,,14,,23 (+9),"GOOD LAYUP by GRAHAM,LAKE(in the paint)",BCM 14-23 (-9),,"GOOD LAYUP by GRAHAM,LAKE(in the paint)",2
--,,,,,"ASSIST  by MCCLOUD,LEE",,,"ASSIST  by MCCLOUD,LEE",2
18:16,"FOUL  by CARTER,KESHONN",,,,,,,"FOUL  by CARTER,KESHONN",2
18:16,,,,,"MISS FT by GRAHAM,LAKE",,,"MISS FT by GRAHAM,LAKE",2
--,"REBOUND DEF by BORN,LEO",,,,,,,"REBOUND DEF by BORN,LEO",2
18:16,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",2
18:16,"SUB IN by HEATHERLY,GARRETT",,,,,,,"SUB IN by HEATHERLY,GARRETT",2
18:16,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",2
18:16,"SUB OUT by BROWN,TYLER",,,,,,,"SUB OUT by BROWN,TYLER",2
16:38,,14,,26 (+12),"GOOD 3PTR by WHALEN,MAC",BCM 14-26 (-12),,"GOOD 3PTR by WHALEN,MAC",2
--,,,,,"ASSIST  by MCCLOUD,LEE",,,"ASSIST  by MCCLOUD,LEE",2
16:30,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
16:30,,,,,"FOUL  by MCCLOUD,LEE",,,"FOUL  by MCCLOUD,LEE",2
16:27,"TURNOVER  by AFFRONTI,LEWIS",,,,,,,"TURNOVER  by AFFRONTI,LEWIS",2
16:24,,,,,"STEAL  by MCCLOUD,LEE",,,"STEAL  by MCCLOUD,LEE",2
16:20,"SUB IN by CALDWELL,MARCELLUS",,,,,,,"SUB IN by CALDWELL,MARCELLUS",2
16:20,"SUB OUT by AFFRONTI,LEWIS",,,,,,,"SUB OUT by AFFRONTI,LEWIS",2
15:37,,,,,"TURNOVER  by ABRAMS,JONATHAN",,,"TURNOVER  by ABRAMS,JONATHAN",2
15:35,"STEAL  by BORN,LEO",,,,,,,"STEAL  by BORN,LEO",2
15:32,"TURNOVER  by BORN,LEO",,,,,,,"TURNOVER  by BORN,LEO",2
15:31,,,,,"STEAL  by WHALEN,MAC",,,"STEAL  by WHALEN,MAC",2
15:02,,14,,28 (+14),"GOOD LAYUP by GRAHAM,LAKE(in the paint)",BCM 14-28 (-14),,"GOOD LAYUP by GRAHAM,LAKE(in the paint)",2
14:51,"MISS 3PTR by BOULDIN,BRETT",,,,,,,"MISS 3PTR by BOULDIN,BRETT",2
--,,,,,"REBOUND DEF by ABRAMS,JONATHAN",,,"REBOUND DEF by ABRAMS,JONATHAN",2
14:30,"FOUL  by HODGE,NILAN",,,,,,,"FOUL  by HODGE,NILAN",2
14:30,,14,,29 (+15),"GOOD FT by WRIGHT,JAKE",BCM 14-29 (-15),,"GOOD FT by WRIGHT,JAKE",2
14:30,,,,,"MISS FT by WRIGHT,JAKE",,,"MISS FT by WRIGHT,JAKE",2
--,,,,,"REBOUND OFF by WRIGHT,JAKE",,,"REBOUND OFF by WRIGHT,JAKE",2
14:30,,,,,"SUB IN by SMOAK,HUNTER",,,"SUB IN by SMOAK,HUNTER",2
14:30,,,,,"SUB OUT by MCCLOUD,LEE",,,"SUB OUT by MCCLOUD,LEE",2
14:14,,,,,"MISS 3PTR by SMOAK,HUNTER",,,"MISS 3PTR by SMOAK,HUNTER",2
--,"REBOUND DEF by CALDWELL,MARCELLUS",,,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",2
14:07,,,,,"FOUL  by ABRAMS,JONATHAN",,,"FOUL  by ABRAMS,JONATHAN",2
14:07,"MISS FT by BRYANT,VALENTINO",,,,,,,"MISS FT by BRYANT,VALENTINO",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
14:07,"MISS FT by BRYANT,VALENTINO",,,,,,,"MISS FT by BRYANT,VALENTINO",2
--,"REBOUND OFF by CARTER,KESHONN",,,,,,,"REBOUND OFF by CARTER,KESHONN",2
14:07,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",16,,29 (+13),,SEWM 16-29 (-13),,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",2
14:07,,,,,"FOUL  by SMOAK,HUNTER",,,"FOUL  by SMOAK,HUNTER",2
14:07,"MISS FT by BRYANT,VALENTINO",,,,,,,"MISS FT by BRYANT,VALENTINO",2
--,,,,,"REBOUND DEF by WHALEN,MAC",,,"REBOUND DEF by WHALEN,MAC",2
14:07,"SUB IN by HODGE,NILAN",,,,,,,"SUB IN by HODGE,NILAN",2
