Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
10:56,,,,,"MISS 3PTR by NIKOLOVSKI,DREW",,,"MISS 3PTR by NIKOLOVSKI,DREW",1
--,"REBOUND DEF by BROWN,SETH",,,,,,,"REBOUND DEF by BROWN,SETH",1
10:39,,,,,"FOUL  by PRIMM,COLTON",,,"FOUL  by PRIMM,COLTON",1
10:39,"MISS FT by BROWN,SETH",,,,,,,"MISS FT by BROWN,SETH",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
10:39,"GOOD FT by BROWN,SETH",18 (+7),,11,,SEWANEE 18-11 (+7),,"GOOD FT by BROWN,SETH",1
10:39,"SUB IN by HEATHERLY,GARRETT",,,,,,,"SUB IN by HEATHERLY,GARRETT",1
10:39,"SUB OUT by VEAL,ROBERT",,,,,,,"SUB OUT by VEAL,ROBERT",1
10:39,,,,,"SUB IN by CONARD,ALEC",,,"SUB IN by CONARD,ALEC",1
10:39,,,,,"SUB OUT by RILEY,JAREN",,,"SUB OUT by RILEY,JAREN",1
10:28,"FOUL  by HEATHERLY,GARRETT",,,,,,,"FOUL  by HEATHERLY,GARRETT",1
10:22,,,,,"MISS JUMPER by PRIMM,COLTON",,,"MISS JUMPER by PRIMM,COLTON",1
10:22,"BLOCK  by HEATHERLY,GARRETT",,,,,,,"BLOCK  by HEATHERLY,GARRETT",1
--,,,,,"REBOUND OFF by PRIMM,COLTON",,,"REBOUND OFF by PRIMM,COLTON",1
10:17,,,,,"MISS 3PTR by NIKOLOVSKI,DREW",,,"MISS 3PTR by NIKOLOVSKI,DREW",1
--,"REBOUND DEF by BORN,LEO",,,,,,,"REBOUND DEF by BORN,LEO",1
09:45,"GOOD LAYUP by HEATHERLY,GARRETT(in the paint)",20 (+9),,11,,SEWANEE 20-11 (+9),,"GOOD LAYUP by HEATHERLY,GARRETT(in the paint)",1
--,"ASSIST  by CALDWELL,MARCELLUS",,,,,,,"ASSIST  by CALDWELL,MARCELLUS",1
09:23,"FOUL  by BROWN,SETH",,,,,,,"FOUL  by BROWN,SETH",1
09:23,"SUB IN by AFFRONTI,LEWIS",,,,,,,"SUB IN by AFFRONTI,LEWIS",1
09:23,"SUB IN by BOULDIN,BRETT",,,,,,,"SUB IN by BOULDIN,BRETT",1
09:23,"SUB IN by BROWN,TYLER",,,,,,,"SUB IN by BROWN,TYLER",1
09:23,"SUB IN by BRYANT,VALENTINO",,,,,,,"SUB IN by BRYANT,VALENTINO",1
09:23,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",1
09:23,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",1
09:23,"SUB OUT by CALDWELL,MARCELLUS",,,,,,,"SUB OUT by CALDWELL,MARCELLUS",1
09:23,"SUB OUT by HODGE,NILAN",,,,,,,"SUB OUT by HODGE,NILAN",1
09:23,,,,,"SUB IN by GRAM,ANDY",,,"SUB IN by GRAM,ANDY",1
09:23,,,,,"SUB IN by BARRETT,JORDAN",,,"SUB IN by BARRETT,JORDAN",1
09:23,,,,,"SUB OUT by PRIMM,COLTON",,,"SUB OUT by PRIMM,COLTON",1
09:23,,,,,"SUB OUT by TAULTON,JORDAN",,,"SUB OUT by TAULTON,JORDAN",1
09:11,,20 (+7),,13,"GOOD LAYUP by BARRETT,JORDAN(in the paint)",HC 20-13 (+7),,"GOOD LAYUP by BARRETT,JORDAN(in the paint)",1
08:46,"MISS LAYUP by BRYANT,VALENTINO",,,,,,,"MISS LAYUP by BRYANT,VALENTINO",1
--,,,,,"REBOUND DEF by CONARD,ALEC",,,"REBOUND DEF by CONARD,ALEC",1
08:39,,,,,"TURNOVER  by BARRETT,JORDAN",,,"TURNOVER  by BARRETT,JORDAN",1
08:39,"STEAL  by HEATHERLY,GARRETT",,,,,,,"STEAL  by HEATHERLY,GARRETT",1
08:35,,,,,"FOUL  by NIKOLOVSKI,DREW",,,"FOUL  by NIKOLOVSKI,DREW",1
08:35,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",1
08:35,"SUB OUT by HEATHERLY,GARRETT",,,,,,,"SUB OUT by HEATHERLY,GARRETT",1
08:35,,,,,"SUB IN by RILEY,JAREN",,,"SUB IN by RILEY,JAREN",1
08:35,,,,,"SUB OUT by NIKOLOVSKI,DREW",,,"SUB OUT by NIKOLOVSKI,DREW",1
08:10,"MISS 3PTR by BRYANT,VALENTINO",,,,,,,"MISS 3PTR by BRYANT,VALENTINO",1
--,,,,,"REBOUND DEF by VANCE,LUKE",,,"REBOUND DEF by VANCE,LUKE",1
07:59,,20 (+5),,15,"GOOD JUMPER by CONARD,ALEC(fastbreak)",HC 20-15 (+5),,"GOOD JUMPER by CONARD,ALEC(fastbreak)",1
--,,,,,"ASSIST  by BARRETT,JORDAN",,,"ASSIST  by BARRETT,JORDAN",1
07:57,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
07:28,"GOOD JUMPER by CARTER,KESHONN(in the paint)",22 (+7),,15,,SEWANEE 22-15 (+7),,"GOOD JUMPER by CARTER,KESHONN(in the paint)",1
07:11,,,,,"MISS LAYUP by VANCE,LUKE",,,"MISS LAYUP by VANCE,LUKE",1
07:11,"BLOCK  by CARTER,KESHONN",,,,,,,"BLOCK  by CARTER,KESHONN",1
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",1
06:58,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",24 (+9),,15,,SEWANEE 24-15 (+9),,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",1
06:55,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
06:31,,,,,"MISS 3PTR by RILEY,JAREN",,,"MISS 3PTR by RILEY,JAREN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
06:13,"MISS 3PTR by AFFRONTI,LEWIS",,,,,,,"MISS 3PTR by AFFRONTI,LEWIS",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
06:10,,,,,"SUB IN by PRIMM,COLTON",,,"SUB IN by PRIMM,COLTON",1
06:10,,,,,"SUB OUT by GRAM,ANDY",,,"SUB OUT by GRAM,ANDY",1
05:34,,24 (+7),,17,"GOOD JUMPER by CONARD,ALEC",HC 24-17 (+7),,"GOOD JUMPER by CONARD,ALEC",1
05:18,"MISS LAYUP by CARTER,KESHONN",,,,,,,"MISS LAYUP by CARTER,KESHONN",1
--,,,,,"REBOUND DEF by CONARD,ALEC",,,"REBOUND DEF by CONARD,ALEC",1
05:09,,,,,"MISS LAYUP by BARRETT,JORDAN",,,"MISS LAYUP by BARRETT,JORDAN",1
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",1
04:42,"TURNOVER  by BROWN,TYLER",,,,,,,"TURNOVER  by BROWN,TYLER",1
04:42,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",1
04:42,"SUB OUT by AFFRONTI,LEWIS",,,,,,,"SUB OUT by AFFRONTI,LEWIS",1
04:28,,24 (+5),,19,"GOOD JUMPER by VANCE,LUKE(in the paint)",HC 24-19 (+5),,"GOOD JUMPER by VANCE,LUKE(in the paint)",1
