Time Remaining,TOCCOA,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
15:59,,7,,10 (+3),"GOOD 3PTR by BOULDIN,BRETT",SEWANEE 7-10 (+3),,"GOOD 3PTR by BOULDIN,BRETT",1
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",1
15:36,"MISS 3PTR by BARRETT,JOSH",,,,,,,"MISS 3PTR by BARRETT,JOSH",1
--,,,,,"REBOUND DEF by BROWN,TYLER",,,"REBOUND DEF by BROWN,TYLER",1
15:30,,,,,"TURNOVER  by BROWN,TYLER",,,"TURNOVER  by BROWN,TYLER",1
15:16,"MISS JUMPER by WESTFALL,DEREK",,,,,,,"MISS JUMPER by WESTFALL,DEREK",1
--,,,,,"REBOUND DEF by BOULDIN,BRETT",,,"REBOUND DEF by BOULDIN,BRETT",1
15:05,,,,,"MISS 3PTR by BOULDIN,BRETT",,,"MISS 3PTR by BOULDIN,BRETT",1
--,"REBOUND DEF by HARRELL,FREDDIE",,,,,,,"REBOUND DEF by HARRELL,FREDDIE",1
15:01,"TURNOVER  by HARRELL,FREDDIE",,,,,,,"TURNOVER  by HARRELL,FREDDIE",1
15:00,,,,,"STEAL  by BOULDIN,BRETT",,,"STEAL  by BOULDIN,BRETT",1
14:45,,,,,"TURNOVER  by BOULDIN,BRETT",,,"TURNOVER  by BOULDIN,BRETT",1
14:40,"MISS 3PTR by HARRELL,FREDDIE",,,,,,,"MISS 3PTR by HARRELL,FREDDIE",1
--,,,,,"REBOUND DEF by BOULDIN,BRETT",,,"REBOUND DEF by BOULDIN,BRETT",1
14:20,,,,,"MISS JUMPER by VEAL,ROBERT",,,"MISS JUMPER by VEAL,ROBERT",1
--,,,,,"REBOUND OFF by HODGE,NILAN",,,"REBOUND OFF by HODGE,NILAN",1
14:14,,7,,13 (+6),"GOOD 3PTR by BROWN,SETH",SEWANEE 7-13 (+6),,"GOOD 3PTR by BROWN,SETH",1
--,,,,,"ASSIST  by VEAL,ROBERT",,,"ASSIST  by VEAL,ROBERT",1
13:46,,,,,"FOUL  by VEAL,ROBERT",,,"FOUL  by VEAL,ROBERT",1
13:44,"GOOD FT by JOHNSON,JOSH",8,,13 (+5),,TOCCOA 8-13 (+5),,"GOOD FT by JOHNSON,JOSH",1
13:44,"GOOD FT by JOHNSON,JOSH",9,,13 (+4),,TOCCOA 9-13 (+4),,"GOOD FT by JOHNSON,JOSH",1
13:26,"FOUL  by HARRELL,FREDDIE",,,,,,,"FOUL  by HARRELL,FREDDIE",1
13:26,,,,,MISS FT by TEAM,,,MISS FT by TEAM,1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
13:26,,,,,"MISS FT by BORN,LEO",,,"MISS FT by BORN,LEO",1
--,,,,,"REBOUND OFF by NELSON,ANVIL",,,"REBOUND OFF by NELSON,ANVIL",1
13:00,MISS JUMPER by TEAM,,,,,,,MISS JUMPER by TEAM,1
--,"REBOUND DEF by SINCLAIR,JOHN",,,,,,,"REBOUND DEF by SINCLAIR,JOHN",1
12:32,"MISS 3PTR by BARRETT,JOSH",,,,,,,"MISS 3PTR by BARRETT,JOSH",1
--,,,,,"REBOUND DEF by HODGE,NILAN",,,"REBOUND DEF by HODGE,NILAN",1
12:12,,,,,"MISS 3PTR by BROWN,SETH",,,"MISS 3PTR by BROWN,SETH",1
--,,,,,"REBOUND OFF by CALDWELL,MARCELLUS",,,"REBOUND OFF by CALDWELL,MARCELLUS",1
11:54,,9,,15 (+6),"GOOD JUMPER by NELSON,ANVIL(in the paint)",SEWANEE 9-15 (+6),,"GOOD JUMPER by NELSON,ANVIL(in the paint)",1
11:31,"MISS JUMPER by HARRELL,FREDDIE",,,,,,,"MISS JUMPER by HARRELL,FREDDIE",1
--,,,,,"REBOUND DEF by HODGE,NILAN",,,"REBOUND DEF by HODGE,NILAN",1
11:16,,,,,"MISS 3PTR by BROWN,SETH",,,"MISS 3PTR by BROWN,SETH",1
--,"REBOUND DEF by HARRELL,FREDDIE",,,,,,,"REBOUND DEF by HARRELL,FREDDIE",1
11:00,"MISS JUMPER by HARRELL,FREDDIE",,,,,,,"MISS JUMPER by HARRELL,FREDDIE",1
11:00,,,,,"BLOCK  by BROWN,SETH",,,"BLOCK  by BROWN,SETH",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
10:51,,9,,17 (+8),"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",SEWANEE 9-17 (+8),,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",1
10:24,"GOOD LAYUP by WESTFALL,DEREK(in the paint)",11,,17 (+6),,TOCCOA 11-17 (+6),,"GOOD LAYUP by WESTFALL,DEREK(in the paint)",1
--,"ASSIST  by BARRETT,JOSH",,,,,,,"ASSIST  by BARRETT,JOSH",1
9:57,,11,,19 (+8),"GOOD JUMPER by CARTER,KESHONN",SEWANEE 11-19 (+8),,"GOOD JUMPER by CARTER,KESHONN",1
--,,,,,"ASSIST  by BOULDIN,BRETT",,,"ASSIST  by BOULDIN,BRETT",1
9:37,"MISS JUMPER by JOHNSON,JOSH",,,,,,,"MISS JUMPER by JOHNSON,JOSH",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
9:33,,,,,"MISS JUMPER by VEAL,ROBERT",,,"MISS JUMPER by VEAL,ROBERT",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
9:12,"MISS JUMPER by SINCLAIR,JOHN",,,,,,,"MISS JUMPER by SINCLAIR,JOHN",1
--,,,,,"REBOUND DEF by BROWN,TYLER",,,"REBOUND DEF by BROWN,TYLER",1
9:02,,,,,"MISS JUMPER by BROWN,TYLER",,,"MISS JUMPER by BROWN,TYLER",1
--,,,,,"REBOUND OFF by BROWN,TYLER",,,"REBOUND OFF by BROWN,TYLER",1
8:37,,,,,"TURNOVER  by BROWN,TYLER",,,"TURNOVER  by BROWN,TYLER",1
8:37,,,,,"FOUL  by BROWN,TYLER",,,"FOUL  by BROWN,TYLER",1
8:32,"MISS LAYUP by JOHNSON,JOSH",,,,,,,"MISS LAYUP by JOHNSON,JOSH",1
--,,,,,"REBOUND DEF by BRYANT,VALENTINO",,,"REBOUND DEF by BRYANT,VALENTINO",1
8:15,,11,,21 (+10),"GOOD JUMPER by VEAL,ROBERT(in the paint)",SEWANEE 11-21 (+10),,"GOOD JUMPER by VEAL,ROBERT(in the paint)",1
7:49,"MISS LAYUP by JOHNSON,JOSH",,,,,,,"MISS LAYUP by JOHNSON,JOSH",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
7:15,"MISS JUMPER by WESTFALL,DEREK",,,,,,,"MISS JUMPER by WESTFALL,DEREK",1
--,,,,,"REBOUND DEF by BROWN,TYLER",,,"REBOUND DEF by BROWN,TYLER",1
7:15,,,,,"TURNOVER  by BOULDIN,BRETT",,,"TURNOVER  by BOULDIN,BRETT",1
7:15,,,,,"FOUL  by BOULDIN,BRETT",,,"FOUL  by BOULDIN,BRETT",1
7:15,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
7:11,"MISS LAYUP by BARRETT,JOSH",,,,,,,"MISS LAYUP by BARRETT,JOSH",1
7:11,,,,,"BLOCK  by AFFRONTI,LEWIS",,,"BLOCK  by AFFRONTI,LEWIS",1
--,,,,,"REBOUND DEF by VEAL,ROBERT",,,"REBOUND DEF by VEAL,ROBERT",1
6:55,,,,,"MISS 3PTR by AFFRONTI,LEWIS",,,"MISS 3PTR by AFFRONTI,LEWIS",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
6:43,"MISS 3PTR by BARRETT,JOSH",,,,,,,"MISS 3PTR by BARRETT,JOSH",1
--,,,,,"REBOUND DEF by BROWN,TYLER",,,"REBOUND DEF by BROWN,TYLER",1
6:38,,11,,23 (+12),"GOOD LAYUP by BOULDIN,BRETT(fastbreak)(in the paint)",SEWANEE 11-23 (+12),,"GOOD LAYUP by BOULDIN,BRETT(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by BROWN,TYLER",,,"ASSIST  by BROWN,TYLER",1
6:01,"MISS 3PTR by SINCLAIR,JOHN",,,,,,,"MISS 3PTR by SINCLAIR,JOHN",1
--,"REBOUND OFF by WESTFALL,DEREK",,,,,,,"REBOUND OFF by WESTFALL,DEREK",1
5:49,"GOOD JUMPER by WESTFALL,DEREK",13,,23 (+10),,TOCCOA 13-23 (+10),,"GOOD JUMPER by WESTFALL,DEREK",1
5:39,,,,,"MISS 3PTR by BOULDIN,BRETT",,,"MISS 3PTR by BOULDIN,BRETT",1
--,"REBOUND DEF by BARRETT,JOSH",,,,,,,"REBOUND DEF by BARRETT,JOSH",1
5:24,"TURNOVER  by BARRETT,JOSH",,,,,,,"TURNOVER  by BARRETT,JOSH",1
5:22,,,,,"STEAL  by BOULDIN,BRETT",,,"STEAL  by BOULDIN,BRETT",1
5:14,,13,,25 (+12),"GOOD JUMPER by AFFRONTI,LEWIS",SEWANEE 13-25 (+12),,"GOOD JUMPER by AFFRONTI,LEWIS",1
5:14,"FOUL  by BARRETT,JOSH",,,,,,,"FOUL  by BARRETT,JOSH",1
5:14,,13,,26 (+13),"GOOD FT by AFFRONTI,LEWIS",SEWANEE 13-26 (+13),,"GOOD FT by AFFRONTI,LEWIS",1
4:59,"TURNOVER  by HARRELL,FREDDIE",,,,,,,"TURNOVER  by HARRELL,FREDDIE",1
4:48,,,,,"TURNOVER  by HODGE,NILAN",,,"TURNOVER  by HODGE,NILAN",1
4:44,"STEAL  by JOHNSON,JOSH",,,,,,,"STEAL  by JOHNSON,JOSH",1
4:41,"MISS JUMPER by HARRELL,FREDDIE",,,,,,,"MISS JUMPER by HARRELL,FREDDIE",1
--,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",,,"REBOUND DEF by CALDWELL,MARCELLUS",1
4:13,,,,,"MISS JUMPER by NELSON,ANVIL",,,"MISS JUMPER by NELSON,ANVIL",1
--,,,,,"REBOUND OFF by CALDWELL,MARCELLUS",,,"REBOUND OFF by CALDWELL,MARCELLUS",1
3:49,,,,,"TURNOVER  by NELSON,ANVIL",,,"TURNOVER  by NELSON,ANVIL",1
3:26,"MISS JUMPER by WESTFALL,DEREK",,,,,,,"MISS JUMPER by WESTFALL,DEREK",1
--,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",,,"REBOUND DEF by CALDWELL,MARCELLUS",1
3:03,,,,,"TURNOVER  by BORN,LEO",,,"TURNOVER  by BORN,LEO",1
2:51,"GOOD 3PTR by JOHNSON,JOSH",16,,26 (+10),,TOCCOA 16-26 (+10),,"GOOD 3PTR by JOHNSON,JOSH",1
2:03,,,,,"MISS 3PTR by BORN,LEO",,,"MISS 3PTR by BORN,LEO",1
--,"REBOUND DEF by HARRELL,FREDDIE",,,,,,,"REBOUND DEF by HARRELL,FREDDIE",1
1:58,,,,,"FOUL  by BORN,LEO",,,"FOUL  by BORN,LEO",1
1:52,"MISS JUMPER by JOHNSON,JOSH",,,,,,,"MISS JUMPER by JOHNSON,JOSH",1
--,,,,,"REBOUND DEF by CARTER,KESHONN",,,"REBOUND DEF by CARTER,KESHONN",1
1:38,,,,,"MISS 3PTR by AFFRONTI,LEWIS",,,"MISS 3PTR by AFFRONTI,LEWIS",1
--,"REBOUND DEF by HARRELL,FREDDIE",,,,,,,"REBOUND DEF by HARRELL,FREDDIE",1
1:26,"MISS JUMPER by HARRELL,FREDDIE",,,,,,,"MISS JUMPER by HARRELL,FREDDIE",1
--,,,,,"REBOUND DEF by BRYANT,VALENTINO",,,"REBOUND DEF by BRYANT,VALENTINO",1
1:16,"FOUL  by HAMLETT,CARLOS",,,,,,,"FOUL  by HAMLETT,CARLOS",1
1:01,,,,,"TURNOVER  by CARTER,KESHONN",,,"TURNOVER  by CARTER,KESHONN",1
0:35,"MISS JUMPER by WESTFALL,DEREK",,,,,,,"MISS JUMPER by WESTFALL,DEREK",1
--,,,,,"REBOUND DEF by CARTER,KESHONN",,,"REBOUND DEF by CARTER,KESHONN",1
0:03,"FOUL  by BARRETT,JOSH",,,,,,,"FOUL  by BARRETT,JOSH",1
0:03,,16,,27 (+11),"GOOD FT by BRYANT,VALENTINO",SEWANEE 16-27 (+11),,"GOOD FT by BRYANT,VALENTINO",1
0:03,,16,,28 (+12),"GOOD FT by BRYANT,VALENTINO",SEWANEE 16-28 (+12),,"GOOD FT by BRYANT,VALENTINO",1
0:01,"TURNOVER  by HARRELL,FREDDIE",,,,,,,"TURNOVER  by HARRELL,FREDDIE",1
19:30,,,,,"MISS 3PTR by BOULDIN,BRETT",,,"MISS 3PTR by BOULDIN,BRETT",2
--,"REBOUND DEF by WESTFALL,DEREK",,,,,,,"REBOUND DEF by WESTFALL,DEREK",2
19:22,"TURNOVER  by HAMLETT,CARLOS",,,,,,,"TURNOVER  by HAMLETT,CARLOS",2
19:19,,,,,"STEAL  by AFFRONTI,LEWIS",,,"STEAL  by AFFRONTI,LEWIS",2
19:16,,16,,30 (+14),"GOOD LAYUP by BROWN,TYLER(in the paint)",SEWANEE 16-30 (+14),,"GOOD LAYUP by BROWN,TYLER(in the paint)",2
--,,,,,"ASSIST  by CARTER,KESHONN",,,"ASSIST  by CARTER,KESHONN",2
19:00,"GOOD JUMPER by WESTFALL,DEREK",18,,30 (+12),,TOCCOA 18-30 (+12),,"GOOD JUMPER by WESTFALL,DEREK",2
--,"ASSIST  by JOHNSON,JOSH",,,,,,,"ASSIST  by JOHNSON,JOSH",2
18:41,,18,,32 (+14),"GOOD LAYUP by CARTER,KESHONN(in the paint)",SEWANEE 18-32 (+14),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",2
--,,,,,"ASSIST  by AFFRONTI,LEWIS",,,"ASSIST  by AFFRONTI,LEWIS",2
18:23,"GOOD JUMPER by HAMLETT,CARLOS",20,,32 (+12),,TOCCOA 20-32 (+12),,"GOOD JUMPER by HAMLETT,CARLOS",2
17:53,,,,,"MISS JUMPER by CARTER,KESHONN",,,"MISS JUMPER by CARTER,KESHONN",2
--,"REBOUND DEF by HARRELL,FREDDIE",,,,,,,"REBOUND DEF by HARRELL,FREDDIE",2
17:43,"TURNOVER  by BARRETT,JOSH",,,,,,,"TURNOVER  by BARRETT,JOSH",2
17:42,,,,,"STEAL  by BRYANT,VALENTINO",,,"STEAL  by BRYANT,VALENTINO",2
17:36,,20,,34 (+14),"GOOD LAYUP by BROWN,TYLER(in the paint)",SEWANEE 20-34 (+14),,"GOOD LAYUP by BROWN,TYLER(in the paint)",2
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",2
17:22,"MISS JUMPER by WESTFALL,DEREK",,,,,,,"MISS JUMPER by WESTFALL,DEREK",2
--,,,,,"REBOUND DEF by BOULDIN,BRETT",,,"REBOUND DEF by BOULDIN,BRETT",2
17:12,,,,,"TURNOVER  by BRYANT,VALENTINO",,,"TURNOVER  by BRYANT,VALENTINO",2
17:07,"STEAL  by WESTFALL,DEREK",,,,,,,"STEAL  by WESTFALL,DEREK",2
17:04,"TURNOVER  by WESTFALL,DEREK",,,,,,,"TURNOVER  by WESTFALL,DEREK",2
16:50,,20,,36 (+16),"GOOD LAYUP by CARTER,KESHONN(in the paint)",SEWANEE 20-36 (+16),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",2
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",2
16:19,"TURNOVER  by WESTFALL,DEREK",,,,,,,"TURNOVER  by WESTFALL,DEREK",2
16:07,"FOUL  by WESTFALL,DEREK",,,,,,,"FOUL  by WESTFALL,DEREK",2
15:57,,,,,"TURNOVER  by AFFRONTI,LEWIS",,,"TURNOVER  by AFFRONTI,LEWIS",2
15:57,,,,,"FOUL  by AFFRONTI,LEWIS",,,"FOUL  by AFFRONTI,LEWIS",2
15:41,"TURNOVER  by BARRETT,JOSH",,,,,,,"TURNOVER  by BARRETT,JOSH",2
15:39,,,,,"STEAL  by HODGE,NILAN",,,"STEAL  by HODGE,NILAN",2
15:36,,20,,38 (+18),"GOOD LAYUP by AFFRONTI,LEWIS(in the paint)",SEWANEE 20-38 (+18),,"GOOD LAYUP by AFFRONTI,LEWIS(in the paint)",2
15:31,,,,,"FOUL  by AFFRONTI,LEWIS",,,"FOUL  by AFFRONTI,LEWIS",2
15:31,"GOOD FT by JOHNSON,JOSH",21,,38 (+17),,TOCCOA 21-38 (+17),,"GOOD FT by JOHNSON,JOSH",2
15:31,"GOOD FT by JOHNSON,JOSH",22,,38 (+16),,TOCCOA 22-38 (+16),,"GOOD FT by JOHNSON,JOSH",2
15:25,"TURNOVER  by BARRETT,JOSH",,,,,,,"TURNOVER  by BARRETT,JOSH",2
15:23,,,,,"STEAL  by VEAL,ROBERT",,,"STEAL  by VEAL,ROBERT",2
15:11,,22,,40 (+18),"GOOD LAYUP by VEAL,ROBERT(in the paint)",SEWANEE 22-40 (+18),,"GOOD LAYUP by VEAL,ROBERT(in the paint)",2
--,,,,,"ASSIST  by HODGE,NILAN",,,"ASSIST  by HODGE,NILAN",2
15:11,"FOUL  by JOHNSON,JOSH",,,,,,,"FOUL  by JOHNSON,JOSH",2
15:11,,,,,"MISS FT by VEAL,ROBERT",,,"MISS FT by VEAL,ROBERT",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
15:01,,,,,"TURNOVER  by CALDWELL,MARCELLUS",,,"TURNOVER  by CALDWELL,MARCELLUS",2
14:59,"STEAL  by HARRELL,FREDDIE",,,,,,,"STEAL  by HARRELL,FREDDIE",2
14:44,"MISS JUMPER by WESTFALL,DEREK",,,,,,,"MISS JUMPER by WESTFALL,DEREK",2
14:44,,,,,"BLOCK  by VEAL,ROBERT",,,"BLOCK  by VEAL,ROBERT",2
--,,,,,"REBOUND DEF by VEAL,ROBERT",,,"REBOUND DEF by VEAL,ROBERT",2
14:36,,22,,42 (+20),"GOOD LAYUP by BROWN,SETH(in the paint)",SEWANEE 22-42 (+20),,"GOOD LAYUP by BROWN,SETH(in the paint)",2
--,,,,,"ASSIST  by HODGE,NILAN",,,"ASSIST  by HODGE,NILAN",2
14:32,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
14:01,"GOOD JUMPER by JOHNSON,JOSH",24,,42 (+18),,TOCCOA 24-42 (+18),,"GOOD JUMPER by JOHNSON,JOSH",2
13:41,,24,,44 (+20),"GOOD LAYUP by HODGE,NILAN(in the paint)",SEWANEE 24-44 (+20),,"GOOD LAYUP by HODGE,NILAN(in the paint)",2
13:26,"MISS JUMPER by HAMLETT,CARLOS",,,,,,,"MISS JUMPER by HAMLETT,CARLOS",2
13:26,,,,,"BLOCK  by CALDWELL,MARCELLUS",,,"BLOCK  by CALDWELL,MARCELLUS",2
--,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",,,"REBOUND DEF by CALDWELL,MARCELLUS",2
13:17,"FOUL  by WESTFALL,DEREK",,,,,,,"FOUL  by WESTFALL,DEREK",2
13:08,"FOUL  by HARRELL,FREDDIE",,,,,,,"FOUL  by HARRELL,FREDDIE",2
13:08,,,,,MISS FT by TEAM,,,MISS FT by TEAM,2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
13:08,,24,,45 (+21),"GOOD FT by BROWN,SETH",SEWANEE 24-45 (+21),,"GOOD FT by BROWN,SETH",2
12:40,,,,,"FOUL  by NELSON,ANVIL",,,"FOUL  by NELSON,ANVIL",2
12:40,"GOOD FT by HAMLETT,CARLOS",25,,45 (+20),,TOCCOA 25-45 (+20),,"GOOD FT by HAMLETT,CARLOS",2
12:40,"GOOD FT by HAMLETT,CARLOS",26,,45 (+19),,TOCCOA 26-45 (+19),,"GOOD FT by HAMLETT,CARLOS",2
12:23,,,,,"TURNOVER  by NELSON,ANVIL",,,"TURNOVER  by NELSON,ANVIL",2
12:19,"MISS LAYUP by HITEN,ADAM",,,,,,,"MISS LAYUP by HITEN,ADAM",2
--,,,,,"REBOUND DEF by NELSON,ANVIL",,,"REBOUND DEF by NELSON,ANVIL",2
11:57,,,,,"MISS JUMPER by DOWNEY,WILL",,,"MISS JUMPER by DOWNEY,WILL",2
--,,,,,"REBOUND OFF by BROWN,SETH",,,"REBOUND OFF by BROWN,SETH",2
11:57,"MISS JUMPER by WESTFALL,DEREK",,,,,,,"MISS JUMPER by WESTFALL,DEREK",2
--,"REBOUND OFF by WESTFALL,DEREK",,,,,,,"REBOUND OFF by WESTFALL,DEREK",2
11:57,"GOOD JUMPER by WESTFALL,DEREK(in the paint)",28,,45 (+17),,TOCCOA 28-45 (+17),,"GOOD JUMPER by WESTFALL,DEREK(in the paint)",2
11:57,,,,,"MISS 3PTR by BORN,LEO",,,"MISS 3PTR by BORN,LEO",2
--,,,,,"REBOUND OFF by BROWN,SETH",,,"REBOUND OFF by BROWN,SETH",2
11:57,"FOUL  by SINCLAIR,JOHN",,,,,,,"FOUL  by SINCLAIR,JOHN",2
11:57,,28,,46 (+18),"GOOD FT by BORN,LEO",SEWANEE 28-46 (+18),,"GOOD FT by BORN,LEO",2
11:57,,28,,49 (+21),"GOOD 3PTR by HODGE,NILAN",SEWANEE 28-49 (+21),,"GOOD 3PTR by HODGE,NILAN",2
11:56,,28,,50 (+22),"GOOD FT by BORN,LEO",SEWANEE 28-50 (+22),,"GOOD FT by BORN,LEO",2
11:41,"MISS 3PTR by HAMLETT,CARLOS",,,,,,,"MISS 3PTR by HAMLETT,CARLOS",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
11:33,,,,,"FOUL  by NELSON,ANVIL",,,"FOUL  by NELSON,ANVIL",2
11:32,"GOOD JUMPER by HAMLETT,CARLOS",30,,50 (+20),,TOCCOA 30-50 (+20),,"GOOD JUMPER by HAMLETT,CARLOS",2
11:32,,30,,52 (+22),"GOOD JUMPER by BORN,LEO",SEWANEE 30-52 (+22),,"GOOD JUMPER by BORN,LEO",2
11:32,"FOUL  by JOHNSON,JOSH",,,,,,,"FOUL  by JOHNSON,JOSH",2
11:32,,30,,53 (+23),"GOOD FT by BORN,LEO",SEWANEE 30-53 (+23),,"GOOD FT by BORN,LEO",2
11:32,,,,,"FOUL  by HEATHERLY,GARRETT",,,"FOUL  by HEATHERLY,GARRETT",2
11:29,"GOOD FT by JOHNSON,JOSH",31,,53 (+22),,TOCCOA 31-53 (+22),,"GOOD FT by JOHNSON,JOSH",2
11:29,MISS FT by TEAM,,,,,,,MISS FT by TEAM,2
--,,,,,"REBOUND DEF by BOULDIN,BRETT",,,"REBOUND DEF by BOULDIN,BRETT",2
11:00,,,,,"MISS 3PTR by BROWN,TYLER",,,"MISS 3PTR by BROWN,TYLER",2
--,"REBOUND DEF by JOHNSON,JOSH",,,,,,,"REBOUND DEF by JOHNSON,JOSH",2
10:44,"MISS 3PTR by JOHNSON,JOSH",,,,,,,"MISS 3PTR by JOHNSON,JOSH",2
--,,,,,"REBOUND DEF by BROWN,TYLER",,,"REBOUND DEF by BROWN,TYLER",2
10:23,"FOUL  by BARRETT,JOSH",,,,,,,"FOUL  by BARRETT,JOSH",2
10:23,,31,,54 (+23),"GOOD FT by BRYANT,VALENTINO",SEWANEE 31-54 (+23),,"GOOD FT by BRYANT,VALENTINO",2
10:23,,31,,55 (+24),"GOOD FT by BRYANT,VALENTINO",SEWANEE 31-55 (+24),,"GOOD FT by BRYANT,VALENTINO",2
9:47,"GOOD 3PTR by SINCLAIR,JOHN",34,,55 (+21),,TOCCOA 34-55 (+21),,"GOOD 3PTR by SINCLAIR,JOHN",2
--,"ASSIST  by JOHNSON,JOSH",,,,,,,"ASSIST  by JOHNSON,JOSH",2
9:39,,,,,"MISS 3PTR by AFFRONTI,LEWIS",,,"MISS 3PTR by AFFRONTI,LEWIS",2
--,,,,,"REBOUND OFF by BOULDIN,BRETT",,,"REBOUND OFF by BOULDIN,BRETT",2
9:24,"FOUL  by SINCLAIR,JOHN",,,,,,,"FOUL  by SINCLAIR,JOHN",2
8:51,,,,,MISS FT by TEAM,,,MISS FT by TEAM,2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
8:51,,34,,56 (+22),"GOOD FT by BROWN,TYLER",SEWANEE 34-56 (+22),,"GOOD FT by BROWN,TYLER",2
