Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
16:11,"MISS LAYUP by BOULDIN,BRETT",,,,,,,"MISS LAYUP by BOULDIN,BRETT",1
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",1
16:02,"FOUL  by CARTER,KESHONN",,,,,,,"FOUL  by CARTER,KESHONN",1
16:02,,0,,10 (+10),"GOOD FT by WESLEY,TYLER",CENTRE_M 0-10 (-10),,"GOOD FT by WESLEY,TYLER",1
16:02,,0,,11 (+11),"GOOD FT by WESLEY,TYLER",CENTRE_M 0-11 (-11),,"GOOD FT by WESLEY,TYLER",1
16:02,"SUB IN by BROWN,TYLER",,,,,,,"SUB IN by BROWN,TYLER",1
16:02,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",1
16:02,"SUB IN by CALDWELL,MARCELLUS",,,,,,,"SUB IN by CALDWELL,MARCELLUS",1
16:02,"SUB IN by HEATHERLY,GARRETT",,,,,,,"SUB IN by HEATHERLY,GARRETT",1
16:02,"SUB IN by BRYANT,VALENTINO",,,,,,,"SUB IN by BRYANT,VALENTINO",1
16:02,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",1
16:02,"SUB OUT by AFFRONTI,LEWIS",,,,,,,"SUB OUT by AFFRONTI,LEWIS",1
16:02,"SUB OUT by HODGE,NILAN",,,,,,,"SUB OUT by HODGE,NILAN",1
16:02,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",1
16:02,"SUB OUT by BOULDIN,BRETT",,,,,,,"SUB OUT by BOULDIN,BRETT",1
16:02,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",1
16:02,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",1
15:29,"MISS LAYUP by BROWN,TYLER",,,,,,,"MISS LAYUP by BROWN,TYLER",1
--,,,,,"REBOUND DEF by TAYLOR,CHRIS",,,"REBOUND DEF by TAYLOR,CHRIS",1
15:09,,0,,13 (+13),"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",CENTRE_M 0-13 (-13),,"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",1
15:09,"FOUL  by BRYANT,VALENTINO",,,,,,,"FOUL  by BRYANT,VALENTINO",1
15:09,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
15:09,,0,,14 (+14),"GOOD FT by LOPEZ,COLLIN",CENTRE_M 0-14 (-14),,"GOOD FT by LOPEZ,COLLIN",1
14:52,"GOOD LAYUP by HEATHERLY,GARRETT(in the paint)",2,,14 (+12),,SEWANEE 2-14 (-12),,"GOOD LAYUP by HEATHERLY,GARRETT(in the paint)",1
--,"ASSIST  by BRYANT,VALENTINO",,,,,,,"ASSIST  by BRYANT,VALENTINO",1
14:34,,,,,"MISS 3PTR by ELLIS,BRYON",,,"MISS 3PTR by ELLIS,BRYON",1
--,"REBOUND DEF by BRYANT,VALENTINO",,,,,,,"REBOUND DEF by BRYANT,VALENTINO",1
14:13,"MISS JUMPER by CALDWELL,MARCELLUS",,,,,,,"MISS JUMPER by CALDWELL,MARCELLUS",1
--,,,,,"REBOUND DEF by ELLIS,BRYON",,,"REBOUND DEF by ELLIS,BRYON",1
14:00,,2,,17 (+15),"GOOD 3PTR by ELLIS,BRYON",CENTRE_M 2-17 (-15),,"GOOD 3PTR by ELLIS,BRYON",1
13:36,"GOOD JUMPER by CALDWELL,MARCELLUS",4,,17 (+13),,SEWANEE 4-17 (-13),,"GOOD JUMPER by CALDWELL,MARCELLUS",1
13:17,,4,,19 (+15),"GOOD LAYUP by WESLEY,TYLER(in the paint)",CENTRE_M 4-19 (-15),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
13:05,"GOOD LAYUP by BROWN,TYLER(in the paint)",6,,19 (+13),,SEWANEE 6-19 (-13),,"GOOD LAYUP by BROWN,TYLER(in the paint)",1
--,"ASSIST  by BRYANT,VALENTINO",,,,,,,"ASSIST  by BRYANT,VALENTINO",1
12:46,,6,,22 (+16),"GOOD 3PTR by KARSNER,JOSH",CENTRE_M 6-22 (-16),,"GOOD 3PTR by KARSNER,JOSH",1
--,,,,,"ASSIST  by TAYLOR,CHRIS",,,"ASSIST  by TAYLOR,CHRIS",1
12:31,"MISS JUMPER by HEATHERLY,GARRETT",,,,,,,"MISS JUMPER by HEATHERLY,GARRETT",1
--,,,,,"REBOUND DEF by ELLIS,BRYON",,,"REBOUND DEF by ELLIS,BRYON",1
12:20,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",1
--,"REBOUND DEF by BROWN,TYLER",,,,,,,"REBOUND DEF by BROWN,TYLER",1
12:07,"MISS LAYUP by BROWN,TYLER",,,,,,,"MISS LAYUP by BROWN,TYLER",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
12:00,,,,,"TURNOVER  by TAYLOR,CHRIS",,,"TURNOVER  by TAYLOR,CHRIS",1
11:58,"STEAL  by CALDWELL,MARCELLUS",,,,,,,"STEAL  by CALDWELL,MARCELLUS",1
11:44,,,,,"FOUL  by TAYLOR,CHRIS",,,"FOUL  by TAYLOR,CHRIS",1
11:44,"SUB IN by BOULDIN,BRETT",,,,,,,"SUB IN by BOULDIN,BRETT",1
11:44,"SUB OUT by CALDWELL,MARCELLUS",,,,,,,"SUB OUT by CALDWELL,MARCELLUS",1
11:44,"SUB OUT by HEATHERLY,GARRETT",,,,,,,"SUB OUT by HEATHERLY,GARRETT",1
11:44,,,,,"SUB IN by HERTZEL,HOLDEN",,,"SUB IN by HERTZEL,HOLDEN",1
11:44,,,,,"SUB IN by NEWSOME,TAYLOR",,,"SUB IN by NEWSOME,TAYLOR",1
11:44,,,,,"SUB IN by GRIGGS,MATT",,,"SUB IN by GRIGGS,MATT",1
11:44,,,,,"SUB IN by SAGRAVES,AUSTIN",,,"SUB IN by SAGRAVES,AUSTIN",1
11:44,,,,,"SUB IN by WHITESIDE,DONOVAN",,,"SUB IN by WHITESIDE,DONOVAN",1
11:44,,,,,"SUB OUT by TAYLOR,CHRIS",,,"SUB OUT by TAYLOR,CHRIS",1
11:44,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
11:44,,,,,"SUB OUT by ELLIS,BRYON",,,"SUB OUT by ELLIS,BRYON",1
11:44,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
11:44,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",1
11:42,"MISS 3PTR by HODGE,NILAN",,,,,,,"MISS 3PTR by HODGE,NILAN",1
--,,,,,"REBOUND DEF by HERTZEL,HOLDEN",,,"REBOUND DEF by HERTZEL,HOLDEN",1
11:27,,6,,24 (+18),"GOOD JUMPER by HERTZEL,HOLDEN",CENTRE_M 6-24 (-18),,"GOOD JUMPER by HERTZEL,HOLDEN",1
11:18,"SUB IN by HEATHERLY,GARRETT",,,,,,,"SUB IN by HEATHERLY,GARRETT",1
11:12,"MISS JUMPER by BOULDIN,BRETT",,,,,,,"MISS JUMPER by BOULDIN,BRETT",1
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",1
11:06,"FOUL  by BRYANT,VALENTINO",,,,,,,"FOUL  by BRYANT,VALENTINO",1
10:48,,6,,25 (+19),"GOOD FT by WHITESIDE,DONOVAN",CENTRE_M 6-25 (-19),,"GOOD FT by WHITESIDE,DONOVAN",1
10:48,,6,,26 (+20),"GOOD FT by WHITESIDE,DONOVAN",CENTRE_M 6-26 (-20),,"GOOD FT by WHITESIDE,DONOVAN",1
10:48,"SUB IN by HODGE,NILAN",,,,,,,"SUB IN by HODGE,NILAN",1
10:48,"SUB IN by VEAL,ROBERT",,,,,,,"SUB IN by VEAL,ROBERT",1
10:48,"SUB OUT by BROWN,TYLER",,,,,,,"SUB OUT by BROWN,TYLER",1
10:48,"SUB OUT by BRYANT,VALENTINO",,,,,,,"SUB OUT by BRYANT,VALENTINO",1
10:36,"MISS JUMPER by HODGE,NILAN",,,,,,,"MISS JUMPER by HODGE,NILAN",1
--,,,,,"REBOUND DEF by NEWSOME,TAYLOR",,,"REBOUND DEF by NEWSOME,TAYLOR",1
10:17,,,,,"MISS JUMPER by NEWSOME,TAYLOR",,,"MISS JUMPER by NEWSOME,TAYLOR",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
10:14,"SUB IN by NELSON,ANVIL",,,,,,,"SUB IN by NELSON,ANVIL",1
10:14,"SUB OUT by HEATHERLY,GARRETT",,,,,,,"SUB OUT by HEATHERLY,GARRETT",1
10:14,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
10:14,,,,,"SUB OUT by HERTZEL,HOLDEN",,,"SUB OUT by HERTZEL,HOLDEN",1
09:53,"MISS LAYUP by BROWN,SETH",,,,,,,"MISS LAYUP by BROWN,SETH",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
09:29,,6,,28 (+22),"GOOD LAYUP by WESLEY,TYLER(in the paint)",CENTRE_M 6-28 (-22),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
09:25,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
09:25,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
09:25,,,,,"SUB OUT by NEWSOME,TAYLOR",,,"SUB OUT by NEWSOME,TAYLOR",1
09:03,"TURNOVER  by BROWN,TYLER",,,,,,,"TURNOVER  by BROWN,TYLER",1
09:02,,,,,"STEAL  by WHITESIDE,DONOVAN",,,"STEAL  by WHITESIDE,DONOVAN",1
09:00,,,,,"MISS LAYUP by SAGRAVES,AUSTIN",,,"MISS LAYUP by SAGRAVES,AUSTIN",1
09:00,"BLOCK  by VEAL,ROBERT",,,,,,,"BLOCK  by VEAL,ROBERT",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
08:52,"SUB IN by BROWN,TYLER",,,,,,,"SUB IN by BROWN,TYLER",1
08:52,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",1
08:52,,,,,"SUB IN by ELLIS,BRYON",,,"SUB IN by ELLIS,BRYON",1
08:52,,,,,"SUB OUT by SAGRAVES,AUSTIN",,,"SUB OUT by SAGRAVES,AUSTIN",1
08:44,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",1
--,"REBOUND DEF by BROWN,TYLER",,,,,,,"REBOUND DEF by BROWN,TYLER",1
08:41,,,,,"FOUL  by WHITESIDE,DONOVAN",,,"FOUL  by WHITESIDE,DONOVAN",1
08:41,"SUB IN by CALDWELL,MARCELLUS",,,,,,,"SUB IN by CALDWELL,MARCELLUS",1
08:41,"SUB OUT by VEAL,ROBERT",,,,,,,"SUB OUT by VEAL,ROBERT",1
08:41,,,,,"SUB IN by LOHR,MATT",,,"SUB IN by LOHR,MATT",1
08:41,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",1
08:20,"GOOD 3PTR by BOULDIN,BRETT",9,,28 (+19),,SEWANEE 9-28 (-19),,"GOOD 3PTR by BOULDIN,BRETT",1
--,"ASSIST  by BROWN,TYLER",,,,,,,"ASSIST  by BROWN,TYLER",1
07:52,,,,,"SUB IN by TAYLOR,CHRIS",,,"SUB IN by TAYLOR,CHRIS",1
07:52,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",1
07:52,,,,,"SUB OUT by LOHR,MATT",,,"SUB OUT by LOHR,MATT",1
07:52,,,,,"SUB OUT by GRIGGS,MATT",,,"SUB OUT by GRIGGS,MATT",1
07:40,,,,,"MISS LAYUP by KARSNER,JOSH",,,"MISS LAYUP by KARSNER,JOSH",1
--,"REBOUND DEF by CALDWELL,MARCELLUS",,,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",1
07:21,"TURNOVER  by HODGE,NILAN",,,,,,,"TURNOVER  by HODGE,NILAN",1
07:21,"SUB IN by BRYANT,VALENTINO",,,,,,,"SUB IN by BRYANT,VALENTINO",1
07:21,"SUB OUT by HODGE,NILAN",,,,,,,"SUB OUT by HODGE,NILAN",1
07:06,,,,,"MISS LAYUP by WESLEY,TYLER",,,"MISS LAYUP by WESLEY,TYLER",1
--,"REBOUND DEF by NELSON,ANVIL",,,,,,,"REBOUND DEF by NELSON,ANVIL",1
06:57,"TURNOVER  by BRYANT,VALENTINO",,,,,,,"TURNOVER  by BRYANT,VALENTINO",1
06:55,,,,,"STEAL  by KARSNER,JOSH",,,"STEAL  by KARSNER,JOSH",1
06:32,,,,,"MISS LAYUP by WESLEY,TYLER",,,"MISS LAYUP by WESLEY,TYLER",1
--,"REBOUND DEF by NELSON,ANVIL",,,,,,,"REBOUND DEF by NELSON,ANVIL",1
06:07,"MISS LAYUP by NELSON,ANVIL",,,,,,,"MISS LAYUP by NELSON,ANVIL",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
05:55,,,,,"MISS 3PTR by LOPEZ,COLLIN",,,"MISS 3PTR by LOPEZ,COLLIN",1
--,"REBOUND DEF by BRYANT,VALENTINO",,,,,,,"REBOUND DEF by BRYANT,VALENTINO",1
05:53,,,,,"FOUL  by WESLEY,TYLER",,,"FOUL  by WESLEY,TYLER",1
05:53,"SUB IN by AFFRONTI,LEWIS",,,,,,,"SUB IN by AFFRONTI,LEWIS",1
05:53,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",1
05:53,"SUB IN by HEATHERLY,GARRETT",,,,,,,"SUB IN by HEATHERLY,GARRETT",1
05:53,"SUB OUT by NELSON,ANVIL",,,,,,,"SUB OUT by NELSON,ANVIL",1
05:53,"SUB OUT by BROWN,TYLER",,,,,,,"SUB OUT by BROWN,TYLER",1
05:53,"SUB OUT by BOULDIN,BRETT",,,,,,,"SUB OUT by BOULDIN,BRETT",1
05:53,,,,,"SUB IN by NEWSOME,TAYLOR",,,"SUB IN by NEWSOME,TAYLOR",1
05:53,,,,,"SUB IN by HERTZEL,HOLDEN",,,"SUB IN by HERTZEL,HOLDEN",1
05:53,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
05:53,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
05:31,"GOOD JUMPER by CALDWELL,MARCELLUS",11,,28 (+17),,SEWANEE 11-28 (-17),,"GOOD JUMPER by CALDWELL,MARCELLUS",1
05:11,,,,,"FOUL  by NEWSOME,TAYLOR",,,"FOUL  by NEWSOME,TAYLOR",1
05:11,,,,,"TURNOVER  by NEWSOME,TAYLOR",,,"TURNOVER  by NEWSOME,TAYLOR",1
04:50,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",13,,28 (+15),,SEWANEE 13-28 (-15),,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",1
04:43,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
04:26,,13,,30 (+17),"GOOD LAYUP by HERTZEL,HOLDEN(in the paint)",CENTRE_M 13-30 (-17),,"GOOD LAYUP by HERTZEL,HOLDEN(in the paint)",1
04:08,"GOOD JUMPER by BRYANT,VALENTINO",15,,30 (+15),,SEWANEE 15-30 (-15),,"GOOD JUMPER by BRYANT,VALENTINO",1
03:51,,,,,"MISS 3PTR by ELLIS,BRYON",,,"MISS 3PTR by ELLIS,BRYON",1
--,"REBOUND DEF by HEATHERLY,GARRETT",,,,,,,"REBOUND DEF by HEATHERLY,GARRETT",1
03:37,"MISS 3PTR by CALDWELL,MARCELLUS",,,,,,,"MISS 3PTR by CALDWELL,MARCELLUS",1
--,,,,,"REBOUND DEF by TAYLOR,CHRIS",,,"REBOUND DEF by TAYLOR,CHRIS",1
03:08,,,,,"MISS 3PTR by ELLIS,BRYON",,,"MISS 3PTR by ELLIS,BRYON",1
--,"REBOUND DEF by HEATHERLY,GARRETT",,,,,,,"REBOUND DEF by HEATHERLY,GARRETT",1
02:56,,,,,"FOUL  by TAYLOR,CHRIS",,,"FOUL  by TAYLOR,CHRIS",1
02:56,"SUB IN by VEAL,ROBERT",,,,,,,"SUB IN by VEAL,ROBERT",1
02:56,"SUB IN by HODGE,NILAN",,,,,,,"SUB IN by HODGE,NILAN",1
02:56,"SUB IN by BROWN,TYLER",,,,,,,"SUB IN by BROWN,TYLER",1
02:56,"SUB OUT by AFFRONTI,LEWIS",,,,,,,"SUB OUT by AFFRONTI,LEWIS",1
02:56,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",1
02:56,"SUB OUT by HEATHERLY,GARRETT",,,,,,,"SUB OUT by HEATHERLY,GARRETT",1
02:56,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
02:56,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
02:56,,,,,"SUB IN by GRIGGS,MATT",,,"SUB IN by GRIGGS,MATT",1
02:56,,,,,"SUB OUT by NEWSOME,TAYLOR",,,"SUB OUT by NEWSOME,TAYLOR",1
02:56,,,,,"SUB OUT by TAYLOR,CHRIS",,,"SUB OUT by TAYLOR,CHRIS",1
02:56,,,,,"SUB OUT by HERTZEL,HOLDEN",,,"SUB OUT by HERTZEL,HOLDEN",1
02:42,"GOOD LAYUP by CALDWELL,MARCELLUS(in the paint)",17,,30 (+13),,SEWANEE 17-30 (-13),,"GOOD LAYUP by CALDWELL,MARCELLUS(in the paint)",1
--,"ASSIST  by VEAL,ROBERT",,,,,,,"ASSIST  by VEAL,ROBERT",1
02:11,,17,,33 (+16),"GOOD 3PTR by LOPEZ,COLLIN",CENTRE_M 17-33 (-16),,"GOOD 3PTR by LOPEZ,COLLIN",1
--,,,,,"ASSIST  by GRIGGS,MATT",,,"ASSIST  by GRIGGS,MATT",1
01:46,"MISS LAYUP by BROWN,TYLER",,,,,,,"MISS LAYUP by BROWN,TYLER",1
--,"REBOUND OFF by HODGE,NILAN",,,,,,,"REBOUND OFF by HODGE,NILAN",1
01:39,"MISS 3PTR by BRYANT,VALENTINO",,,,,,,"MISS 3PTR by BRYANT,VALENTINO",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
01:20,,,,,"MISS JUMPER by GRIGGS,MATT",,,"MISS JUMPER by GRIGGS,MATT",1
--,"REBOUND DEF by BRYANT,VALENTINO",,,,,,,"REBOUND DEF by BRYANT,VALENTINO",1
01:03,"MISS LAYUP by VEAL,ROBERT",,,,,,,"MISS LAYUP by VEAL,ROBERT",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
00:50,,,,,"MISS LAYUP by WESLEY,TYLER",,,"MISS LAYUP by WESLEY,TYLER",1
--,"REBOUND DEF by CALDWELL,MARCELLUS",,,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",1
00:40,"TURNOVER  by BRYANT,VALENTINO",,,,,,,"TURNOVER  by BRYANT,VALENTINO",1
00:40,"SUB IN by BOULDIN,BRETT",,,,,,,"SUB IN by BOULDIN,BRETT",1
00:40,"SUB OUT by CALDWELL,MARCELLUS",,,,,,,"SUB OUT by CALDWELL,MARCELLUS",1
00:40,,,,,"SUB IN by HERTZEL,HOLDEN",,,"SUB IN by HERTZEL,HOLDEN",1
00:40,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
00:13,,,,,"MISS JUMPER by KARSNER,JOSH",,,"MISS JUMPER by KARSNER,JOSH",1
--,,,,,"REBOUND OFF by HERTZEL,HOLDEN",,,"REBOUND OFF by HERTZEL,HOLDEN",1
00:09,,,,,"MISS LAYUP by HERTZEL,HOLDEN",,,"MISS LAYUP by HERTZEL,HOLDEN",1
00:09,"BLOCK  by VEAL,ROBERT",,,,,,,"BLOCK  by VEAL,ROBERT",1
--,"REBOUND DEF by HODGE,NILAN",,,,,,,"REBOUND DEF by HODGE,NILAN",1
00:00,"GOOD 3PTR by BRYANT,VALENTINO",20,,33 (+13),,SEWANEE 20-33 (-13),,"GOOD 3PTR by BRYANT,VALENTINO",1
20:00,"SUB IN by BRYANT,VALENTINO",,,,,,,"SUB IN by BRYANT,VALENTINO",2
20:00,"SUB IN by CALDWELL,MARCELLUS",,,,,,,"SUB IN by CALDWELL,MARCELLUS",2
20:00,"SUB OUT by HODGE,NILAN",,,,,,,"SUB OUT by HODGE,NILAN",2
20:00,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",2
19:53,"TURNOVER  by BRYANT,VALENTINO",,,,,,,"TURNOVER  by BRYANT,VALENTINO",2
19:32,,,,,"TURNOVER  by WESLEY,TYLER",,,"TURNOVER  by WESLEY,TYLER",2
19:30,"STEAL  by CALDWELL,MARCELLUS",,,,,,,"STEAL  by CALDWELL,MARCELLUS",2
19:22,"MISS JUMPER by BOULDIN,BRETT",,,,,,,"MISS JUMPER by BOULDIN,BRETT",2
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",2
19:04,,20,,35 (+15),"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",CENTRE_M 20-35 (-15),,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",2
18:48,,,,,"FOUL  by TAYLOR,CHRIS",,,"FOUL  by TAYLOR,CHRIS",2
18:48,,,,,"SUB IN by GRIGGS,MATT",,,"SUB IN by GRIGGS,MATT",2
18:48,,,,,"SUB OUT by TAYLOR,CHRIS",,,"SUB OUT by TAYLOR,CHRIS",2
18:45,"MISS JUMPER by CARTER,KESHONN",,,,,,,"MISS JUMPER by CARTER,KESHONN",2
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",2
18:21,,,,,"MISS JUMPER by GRIGGS,MATT",,,"MISS JUMPER by GRIGGS,MATT",2
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",2
17:53,,,,,"MISS JUMPER by ELLIS,BRYON",,,"MISS JUMPER by ELLIS,BRYON",2
--,"REBOUND DEF by AFFRONTI,LEWIS",,,,,,,"REBOUND DEF by AFFRONTI,LEWIS",2
17:39,"MISS 3PTR by AFFRONTI,LEWIS",,,,,,,"MISS 3PTR by AFFRONTI,LEWIS",2
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",2
17:27,,,,,"MISS JUMPER by WESLEY,TYLER",,,"MISS JUMPER by WESLEY,TYLER",2
--,"REBOUND DEF by CALDWELL,MARCELLUS",,,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",2
17:18,"MISS 3PTR by AFFRONTI,LEWIS",,,,,,,"MISS 3PTR by AFFRONTI,LEWIS",2
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",2
17:11,,20,,37 (+17),"GOOD LAYUP by GRIGGS,MATT(in the paint)",CENTRE_M 20-37 (-17),,"GOOD LAYUP by GRIGGS,MATT(in the paint)",2
--,,,,,"ASSIST  by KARSNER,JOSH",,,"ASSIST  by KARSNER,JOSH",2
16:51,"TURNOVER  by CALDWELL,MARCELLUS",,,,,,,"TURNOVER  by CALDWELL,MARCELLUS",2
16:50,,,,,"STEAL  by WHITESIDE,DONOVAN",,,"STEAL  by WHITESIDE,DONOVAN",2
16:47,,20,,39 (+19),"GOOD LAYUP by ELLIS,BRYON(in the paint)",CENTRE_M 20-39 (-19),,"GOOD LAYUP by ELLIS,BRYON(in the paint)",2
--,,,,,"ASSIST  by WHITESIDE,DONOVAN",,,"ASSIST  by WHITESIDE,DONOVAN",2
16:45,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
16:45,"SUB IN by BROWN,TYLER",,,,,,,"SUB IN by BROWN,TYLER",2
16:45,"SUB IN by HODGE,NILAN",,,,,,,"SUB IN by HODGE,NILAN",2
16:45,"SUB OUT by AFFRONTI,LEWIS",,,,,,,"SUB OUT by AFFRONTI,LEWIS",2
16:45,"SUB OUT by CALDWELL,MARCELLUS",,,,,,,"SUB OUT by CALDWELL,MARCELLUS",2
