Time Remaining,SEWANE~2,Away Team Score,Play Team Indicator,Home Team Score,RCMBB13,Game Score,Team Indicator,Play,Period
13:12,"FOUL  by VEAL,ROBERT",,,,,,,"FOUL  by VEAL,ROBERT",2
13:12,"SUB IN by BROWN,TYLER",,,,,,,"SUB IN by BROWN,TYLER",2
13:12,"SUB IN by BRYANT,VALENTINO",,,,,,,"SUB IN by BRYANT,VALENTINO",2
13:12,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",2
13:12,"SUB OUT by BOULDIN,BRETT",,,,,,,"SUB OUT by BOULDIN,BRETT",2
13:12,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",2
13:12,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",2
12:57,,,,,"MISS LAYUP by GALOW,ANDREW",,,"MISS LAYUP by GALOW,ANDREW",2
--,"REBOUND DEF by BROWN,TYLER",,,,,,,"REBOUND DEF by BROWN,TYLER",2
12:26,"MISS 3PTR by BRYANT,VALENTINO",,,,,,,"MISS 3PTR by BRYANT,VALENTINO",2
--,"REBOUND OFF by VEAL,ROBERT",,,,,,,"REBOUND OFF by VEAL,ROBERT",2
12:22,"GOOD LAYUP by VEAL,ROBERT(in the paint)",36,,39 (+3),,SEWANE~2 36-39 (-3),,"GOOD LAYUP by VEAL,ROBERT(in the paint)",2
12:05,"FOUL  by VEAL,ROBERT",,,,,,,"FOUL  by VEAL,ROBERT",2
12:05,,36,,40 (+4),"GOOD FT by HARTWELL,THEO",RCMBB13 36-40 (-4),,"GOOD FT by HARTWELL,THEO",2
12:05,,,,,"MISS FT by HARTWELL,THEO",,,"MISS FT by HARTWELL,THEO",2
--,"REBOUND DEF by VEAL,ROBERT",,,,,,,"REBOUND DEF by VEAL,ROBERT",2
12:05,"SUB IN by CALDWELL,MARCELLUS",,,,,,,"SUB IN by CALDWELL,MARCELLUS",2
12:05,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",2
12:05,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",2
12:05,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",2
12:05,,,,,"SUB OUT by CHIEN,KEVIN",,,"SUB OUT by CHIEN,KEVIN",2
12:05,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",2
11:42,"GOOD LAYUP by BROWN,TYLER(in the paint)",38,,40 (+2),,SEWANE~2 38-40 (-2),,"GOOD LAYUP by BROWN,TYLER(in the paint)",2
--,"ASSIST  by CALDWELL,MARCELLUS",,,,,,,"ASSIST  by CALDWELL,MARCELLUS",2
11:19,,,,,"MISS JUMPER by GALOW,ANDREW",,,"MISS JUMPER by GALOW,ANDREW",2
--,,,,,"REBOUND OFF by MILLER,DREW",,,"REBOUND OFF by MILLER,DREW",2
11:07,,38,,42 (+4),"GOOD LAYUP by HARTWELL,THEO(in the paint)",RCMBB13 38-42 (-4),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",2
10:42,"TURNOVER  by BRYANT,VALENTINO",,,,,,,"TURNOVER  by BRYANT,VALENTINO",2
10:42,"SUB IN by BOULDIN,BRETT",,,,,,,"SUB IN by BOULDIN,BRETT",2
10:42,"SUB IN by AFFRONTI,LEWIS",,,,,,,"SUB IN by AFFRONTI,LEWIS",2
10:42,"SUB OUT by HODGE,NILAN",,,,,,,"SUB OUT by HODGE,NILAN",2
10:42,"SUB OUT by CALDWELL,MARCELLUS",,,,,,,"SUB OUT by CALDWELL,MARCELLUS",2
10:29,,,,,"MISS 3PTR by MILLER,DREW",,,"MISS 3PTR by MILLER,DREW",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
10:27,,,,,"SUB IN by SLEDGE,TATE",,,"SUB IN by SLEDGE,TATE",2
10:27,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",2
10:04,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",,,"MISS 3PTR by GALLAGHER,MICHAEL",2
--,"REBOUND DEF by VEAL,ROBERT",,,,,,,"REBOUND DEF by VEAL,ROBERT",2
09:41,"MISS 3PTR by BRYANT,VALENTINO",,,,,,,"MISS 3PTR by BRYANT,VALENTINO",2
--,,,,,"REBOUND DEF by GALLAGHER,MICHAEL",,,"REBOUND DEF by GALLAGHER,MICHAEL",2
09:24,,,,,"TURNOVER  by MILLER,DREW",,,"TURNOVER  by MILLER,DREW",2
09:24,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",2
09:24,"SUB OUT by VEAL,ROBERT",,,,,,,"SUB OUT by VEAL,ROBERT",2
09:24,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",2
09:24,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",2
09:03,"GOOD 3PTR by BROWN,TYLER",41,,42 (+1),,SEWANE~2 41-42 (-1),,"GOOD 3PTR by BROWN,TYLER",2
--,"ASSIST  by BRYANT,VALENTINO",,,,,,,"ASSIST  by BRYANT,VALENTINO",2
09:01,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
08:53,,41,,44 (+3),"GOOD LAYUP by HARTWELL,THEO(in the paint)",RCMBB13 41-44 (-3),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",2
--,,,,,"ASSIST  by MILLER,DREW",,,"ASSIST  by MILLER,DREW",2
08:28,"MISS JUMPER by CARTER,KESHONN",,,,,,,"MISS JUMPER by CARTER,KESHONN",2
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",2
08:03,,,,,"TURNOVER  by GALOW,ANDREW",,,"TURNOVER  by GALOW,ANDREW",2
08:02,"STEAL  by BOULDIN,BRETT",,,,,,,"STEAL  by BOULDIN,BRETT",2
07:59,"GOOD LAYUP by BOULDIN,BRETT(fastbreak)(in the paint)",43,,44 (+1),,SEWANE~2 43-44 (-1),,"GOOD LAYUP by BOULDIN,BRETT(fastbreak)(in the paint)",2
07:59,,,,,"FOUL  by MCGRAIL,PATRICK",,,"FOUL  by MCGRAIL,PATRICK",2
07:59,"GOOD FT by BOULDIN,BRETT",44,,44,,SEWANE~2 44-44 (0),,"GOOD FT by BOULDIN,BRETT",2
07:42,,,,,"MISS 3PTR by MILLER,DREW",,,"MISS 3PTR by MILLER,DREW",2
--,,,,,"REBOUND OFF by MILLER,DREW",,,"REBOUND OFF by MILLER,DREW",2
07:39,,44,,46 (+2),"GOOD LAYUP by MILLER,DREW(in the paint)",RCMBB13 44-46 (-2),,"GOOD LAYUP by MILLER,DREW(in the paint)",2
07:23,"MISS LAYUP by BRYANT,VALENTINO",,,,,,,"MISS LAYUP by BRYANT,VALENTINO",2
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",2
07:08,,,,,"MISS LAYUP by MILLER,DREW",,,"MISS LAYUP by MILLER,DREW",2
--,,,,,"REBOUND OFF by HARTWELL,THEO",,,"REBOUND OFF by HARTWELL,THEO",2
06:55,,,,,"MISS LAYUP by GALOW,ANDREW",,,"MISS LAYUP by GALOW,ANDREW",2
06:55,"BLOCK  by BROWN,TYLER",,,,,,,"BLOCK  by BROWN,TYLER",2
--,"REBOUND DEF by AFFRONTI,LEWIS",,,,,,,"REBOUND DEF by AFFRONTI,LEWIS",2
06:40,"MISS LAYUP by AFFRONTI,LEWIS",,,,,,,"MISS LAYUP by AFFRONTI,LEWIS",2
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",2
06:36,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
06:36,"SUB IN by HODGE,NILAN",,,,,,,"SUB IN by HODGE,NILAN",2
06:36,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",2
06:36,"SUB IN by VEAL,ROBERT",,,,,,,"SUB IN by VEAL,ROBERT",2
06:36,"SUB OUT by BROWN,TYLER",,,,,,,"SUB OUT by BROWN,TYLER",2
06:36,"SUB OUT by BRYANT,VALENTINO",,,,,,,"SUB OUT by BRYANT,VALENTINO",2
06:36,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",2
06:36,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",2
06:36,,,,,"SUB IN by CHIEN,KEVIN",,,"SUB IN by CHIEN,KEVIN",2
06:36,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",2
06:36,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",2
06:36,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",2
06:36,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",2
06:20,,,,,"MISS 3PTR by MCGRAIL,PATRICK",,,"MISS 3PTR by MCGRAIL,PATRICK",2
06:20,"BLOCK  by BOULDIN,BRETT",,,,,,,"BLOCK  by BOULDIN,BRETT",2
--,,,,,"REBOUND OFF by HOECK,RYAN VAN",,,"REBOUND OFF by HOECK,RYAN VAN",2
06:16,,44,,48 (+4),"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",RCMBB13 44-48 (-4),,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",2
05:59,"MISS 3PTR by BOULDIN,BRETT",,,,,,,"MISS 3PTR by BOULDIN,BRETT",2
--,"REBOUND OFF by VEAL,ROBERT",,,,,,,"REBOUND OFF by VEAL,ROBERT",2
05:39,,,,,"FOUL  by GALLAGHER,MICHAEL",,,"FOUL  by GALLAGHER,MICHAEL",2
05:39,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",2
05:39,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",2
05:39,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",2
05:39,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",2
05:39,,,,,"SUB OUT by CHIEN,KEVIN",,,"SUB OUT by CHIEN,KEVIN",2
05:39,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",2
05:39,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",2
05:39,,,,,"SUB OUT by SLEDGE,TATE",,,"SUB OUT by SLEDGE,TATE",2
05:17,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",2
05:17,"SUB IN by BRYANT,VALENTINO",,,,,,,"SUB IN by BRYANT,VALENTINO",2
05:17,"SUB OUT by BOULDIN,BRETT",,,,,,,"SUB OUT by BOULDIN,BRETT",2
04:48,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",46,,48 (+2),,SEWANE~2 46-48 (-2),,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",2
04:36,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",,,"MISS 3PTR by GALLAGHER,MICHAEL",2
--,"REBOUND DEF by BRYANT,VALENTINO",,,,,,,"REBOUND DEF by BRYANT,VALENTINO",2
04:26,"MISS 3PTR by BROWN,SETH",,,,,,,"MISS 3PTR by BROWN,SETH",2
--,"REBOUND OFF by VEAL,ROBERT",,,,,,,"REBOUND OFF by VEAL,ROBERT",2
04:24,"GOOD LAYUP by BROWN,SETH(in the paint)",48,,48,,SEWANE~2 48-48 (0),,"GOOD LAYUP by BROWN,SETH(in the paint)",2
--,"ASSIST  by VEAL,ROBERT",,,,,,,"ASSIST  by VEAL,ROBERT",2
04:18,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
04:18,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",2
04:18,"SUB IN by BOULDIN,BRETT",,,,,,,"SUB IN by BOULDIN,BRETT",2
04:18,"SUB IN by BROWN,TYLER",,,,,,,"SUB IN by BROWN,TYLER",2
04:18,"SUB OUT by HODGE,NILAN",,,,,,,"SUB OUT by HODGE,NILAN",2
04:18,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",2
04:18,"SUB OUT by VEAL,ROBERT",,,,,,,"SUB OUT by VEAL,ROBERT",2
04:18,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",2
04:18,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",2
04:07,,,,,"MISS 3PTR by MILLER,DREW",,,"MISS 3PTR by MILLER,DREW",2
--,"REBOUND DEF by BROWN,TYLER",,,,,,,"REBOUND DEF by BROWN,TYLER",2
03:52,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",50 (+2),,48,,SEWANE~2 50-48 (+2),,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",2
03:38,,50,,50,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RCMBB13 50-50 (0),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",2
--,,,,,"ASSIST  by MILLER,DREW",,,"ASSIST  by MILLER,DREW",2
03:19,"TURNOVER  by BRYANT,VALENTINO",,,,,,,"TURNOVER  by BRYANT,VALENTINO",2
02:59,,,,,"MISS JUMPER by MILLER,DREW",,,"MISS JUMPER by MILLER,DREW",2
02:59,"BLOCK  by CARTER,KESHONN",,,,,,,"BLOCK  by CARTER,KESHONN",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
02:44,,50,,52 (+2),"GOOD LAYUP by HARTWELL,THEO(in the paint)",RCMBB13 50-52 (-2),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",2
02:29,"TURNOVER  by BRYANT,VALENTINO",,,,,,,"TURNOVER  by BRYANT,VALENTINO",2
02:28,,,,,"STEAL  by HARTWELL,THEO",,,"STEAL  by HARTWELL,THEO",2
02:25,"FOUL  by BROWN,TYLER",,,,,,,"FOUL  by BROWN,TYLER",2
02:25,,50,,53 (+3),"GOOD FT by GALOW,ANDREW",RCMBB13 50-53 (-3),,"GOOD FT by GALOW,ANDREW",2
02:25,,50,,54 (+4),"GOOD FT by GALOW,ANDREW",RCMBB13 50-54 (-4),,"GOOD FT by GALOW,ANDREW",2
02:08,,,,,"FOUL  by MCGRAIL,PATRICK",,,"FOUL  by MCGRAIL,PATRICK",2
02:04,"MISS 3PTR by BOULDIN,BRETT",,,,,,,"MISS 3PTR by BOULDIN,BRETT",2
--,"REBOUND OFF by BROWN,TYLER",,,,,,,"REBOUND OFF by BROWN,TYLER",2
02:00,"MISS LAYUP by BROWN,TYLER",,,,,,,"MISS LAYUP by BROWN,TYLER",2
--,,,,,"REBOUND DEF by MILLER,DREW",,,"REBOUND DEF by MILLER,DREW",2
01:59,"FOUL  by BROWN,TYLER",,,,,,,"FOUL  by BROWN,TYLER",2
01:59,,50,,55 (+5),"GOOD FT by MILLER,DREW",RCMBB13 50-55 (-5),,"GOOD FT by MILLER,DREW",2
01:59,,50,,56 (+6),"GOOD FT by MILLER,DREW",RCMBB13 50-56 (-6),,"GOOD FT by MILLER,DREW",2
01:49,"GOOD LAYUP by CARTER,KESHONN(in the paint)",52,,56 (+4),,SEWANE~2 52-56 (-4),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",2
01:48,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
01:21,,52,,59 (+7),"GOOD 3PTR by MILLER,DREW",RCMBB13 52-59 (-7),,"GOOD 3PTR by MILLER,DREW",2
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",2
01:00,"MISS JUMPER by BOULDIN,BRETT",,,,,,,"MISS JUMPER by BOULDIN,BRETT",2
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",2
00:58,"FOUL  by BOULDIN,BRETT",,,,,,,"FOUL  by BOULDIN,BRETT",2
00:58,,52,,60 (+8),"GOOD FT by HARTWELL,THEO",RCMBB13 52-60 (-8),,"GOOD FT by HARTWELL,THEO",2
00:58,,52,,61 (+9),"GOOD FT by HARTWELL,THEO",RCMBB13 52-61 (-9),,"GOOD FT by HARTWELL,THEO",2
00:58,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",2
00:58,"SUB IN by ARNOLD,ALEX",,,,,,,"SUB IN by ARNOLD,ALEX",2
00:58,"SUB OUT by BROWN,TYLER",,,,,,,"SUB OUT by BROWN,TYLER",2
00:58,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",2
00:58,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",2
00:50,"GOOD 3PTR by AFFRONTI,LEWIS",55,,61 (+6),,SEWANE~2 55-61 (-6),,"GOOD 3PTR by AFFRONTI,LEWIS",2
--,"ASSIST  by BROWN,SETH",,,,,,,"ASSIST  by BROWN,SETH",2
00:50,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:50,"SUB OUT by ARNOLD,ALEX",,,,,,,"SUB OUT by ARNOLD,ALEX",2
00:47,"FOUL  by AFFRONTI,LEWIS",,,,,,,"FOUL  by AFFRONTI,LEWIS",2
00:47,,55,,62 (+7),"GOOD FT by GALOW,ANDREW",RCMBB13 55-62 (-7),,"GOOD FT by GALOW,ANDREW",2
00:47,,55,,63 (+8),"GOOD FT by GALOW,ANDREW",RCMBB13 55-63 (-8),,"GOOD FT by GALOW,ANDREW",2
00:28,"GOOD 3PTR by AFFRONTI,LEWIS",58,,63 (+5),,SEWANE~2 58-63 (-5),,"GOOD 3PTR by AFFRONTI,LEWIS",2
--,"ASSIST  by BROWN,SETH",,,,,,,"ASSIST  by BROWN,SETH",2
00:25,"FOUL  by BOULDIN,BRETT",,,,,,,"FOUL  by BOULDIN,BRETT",2
00:25,,58,,64 (+6),"GOOD FT by MCGRAIL,PATRICK",RCMBB13 58-64 (-6),,"GOOD FT by MCGRAIL,PATRICK",2
00:25,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:25,,,,,"MISS FT by MCGRAIL,PATRICK",,,"MISS FT by MCGRAIL,PATRICK",2
--,"REBOUND DEF by VEAL,ROBERT",,,,,,,"REBOUND DEF by VEAL,ROBERT",2
00:25,"SUB IN by VEAL,ROBERT",,,,,,,"SUB IN by VEAL,ROBERT",2
00:25,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",2
00:17,"MISS LAYUP by BRYANT,VALENTINO",,,,,,,"MISS LAYUP by BRYANT,VALENTINO",2
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",2
00:14,"FOUL  by BROWN,SETH",,,,,,,"FOUL  by BROWN,SETH",2
00:14,,58,,65 (+7),"GOOD FT by GALOW,ANDREW",RCMBB13 58-65 (-7),,"GOOD FT by GALOW,ANDREW",2
00:14,,58,,66 (+8),"GOOD FT by GALOW,ANDREW",RCMBB13 58-66 (-8),,"GOOD FT by GALOW,ANDREW",2
00:09,"MISS 3PTR by BRYANT,VALENTINO",,,,,,,"MISS 3PTR by BRYANT,VALENTINO",2
--,"REBOUND OFF by BROWN,SETH",,,,,,,"REBOUND OFF by BROWN,SETH",2
00:00,"MISS JUMPER by VEAL,ROBERT",,,,,,,"MISS JUMPER by VEAL,ROBERT",2
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",2
