Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,MER,Game Score,Team Indicator,Play,Period
11:03,,,,,"SUB OUT by CANEVARI,KEVIN",,,"SUB OUT by CANEVARI,KEVIN",1
10:44,"FOUL  by NELSON,ANVIL",,,,,,,"FOUL  by NELSON,ANVIL",1
10:44,,,,,"MISS FT by HALLICE,TJ",,,"MISS FT by HALLICE,TJ",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
10:44,,8,,16 (+8),"GOOD FT by HALLICE,TJ",MER 8-16 (-8),,"GOOD FT by HALLICE,TJ",1
10:44,,,,,"SUB IN by CANEVARI,KEVIN",,,"SUB IN by CANEVARI,KEVIN",1
10:44,,,,,"SUB OUT by SMITH,TRAVIS",,,"SUB OUT by SMITH,TRAVIS",1
10:33,"TURNOVER  by BOULDIN,BRETT",,,,,,,"TURNOVER  by BOULDIN,BRETT",1
10:27,,,,,"MISS 3PTR by WHITE,ANTHONY JR",,,"MISS 3PTR by WHITE,ANTHONY JR",1
--,"REBOUND DEF by HODGE,NILAN",,,,,,,"REBOUND DEF by HODGE,NILAN",1
10:27,,,,,"SUB IN by SMITH,TRAVIS",,,"SUB IN by SMITH,TRAVIS",1
10:27,,,,,"SUB OUT by WHITE,ANTHONY JR",,,"SUB OUT by WHITE,ANTHONY JR",1
10:27,,,,,"SUB OUT by CANEVARI,KEVIN",,,"SUB OUT by CANEVARI,KEVIN",1
09:55,"MISS JUMPER by BORN,LEO",,,,,,,"MISS JUMPER by BORN,LEO",1
09:55,,,,,"BLOCK  by THOMAS,BUD",,,"BLOCK  by THOMAS,BUD",1
--,,,,,"REBOUND DEF by WHITE,ANTHONY JR",,,"REBOUND DEF by WHITE,ANTHONY JR",1
09:31,,,,,"MISS JUMPER by SMITH,TRAVIS",,,"MISS JUMPER by SMITH,TRAVIS",1
--,,,,,"REBOUND OFF by WHITE,ANTHONY JR",,,"REBOUND OFF by WHITE,ANTHONY JR",1
09:28,,,,,"MISS JUMPER by WHITE,ANTHONY JR",,,"MISS JUMPER by WHITE,ANTHONY JR",1
--,"REBOUND DEF by BORN,LEO",,,,,,,"REBOUND DEF by BORN,LEO",1
09:09,"MISS 3PTR by HODGE,NILAN",,,,,,,"MISS 3PTR by HODGE,NILAN",1
--,,,,,"REBOUND DEF by WHITE,ANTHONY JR",,,"REBOUND DEF by WHITE,ANTHONY JR",1
08:46,,,,,"TURNOVER  by SMITH,TRAVIS",,,"TURNOVER  by SMITH,TRAVIS",1
08:46,"SUB IN by BROWN,TYLER",,,,,,,"SUB IN by BROWN,TYLER",1
08:46,"SUB IN by BRYANT,VALENTINO",,,,,,,"SUB IN by BRYANT,VALENTINO",1
08:46,"SUB IN by AFFRONTI,LEWIS",,,,,,,"SUB IN by AFFRONTI,LEWIS",1
08:46,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",1
08:46,"SUB OUT by NELSON,ANVIL",,,,,,,"SUB OUT by NELSON,ANVIL",1
08:46,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",1
08:46,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",1
08:46,"SUB OUT by HODGE,NILAN",,,,,,,"SUB OUT by HODGE,NILAN",1
08:46,,,,,"SUB IN by SMITH,CHRIS",,,"SUB IN by SMITH,CHRIS",1
08:35,"GOOD LAYUP by CARTER,KESHONN(in the paint)",10,,16 (+6),,SEWANEE 10-16 (-6),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",1
08:16,,10,,18 (+8),"GOOD LAYUP by HALLICE,TJ(in the paint)",MER 10-18 (-8),,"GOOD LAYUP by HALLICE,TJ(in the paint)",1
--,,,,,"ASSIST  by SMITH,TRAVIS",,,"ASSIST  by SMITH,TRAVIS",1
07:56,"GOOD 3PTR by BOULDIN,BRETT",13,,18 (+5),,SEWANEE 13-18 (-5),,"GOOD 3PTR by BOULDIN,BRETT",1
--,"ASSIST  by BRYANT,VALENTINO",,,,,,,"ASSIST  by BRYANT,VALENTINO",1
07:40,,,,,"MISS 3PTR by SMITH,TRAVIS",,,"MISS 3PTR by SMITH,TRAVIS",1
--,,,,,"REBOUND OFF by THOMAS,BUD",,,"REBOUND OFF by THOMAS,BUD",1
07:36,,13,,20 (+7),"GOOD TIPIN by THOMAS,BUD(in the paint)",MER 13-20 (-7),,"GOOD TIPIN by THOMAS,BUD(in the paint)",1
07:09,"MISS 3PTR by BRYANT,VALENTINO",,,,,,,"MISS 3PTR by BRYANT,VALENTINO",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
07:02,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
07:02,,,,,"SUB IN by BROWN,MONTY",,,"SUB IN by BROWN,MONTY",1
07:02,,,,,"SUB OUT by HALLICE,TJ",,,"SUB OUT by HALLICE,TJ",1
06:44,,,,,"MISS LAYUP by BROWN,MONTY",,,"MISS LAYUP by BROWN,MONTY",1
--,"REBOUND DEF by BRYANT,VALENTINO",,,,,,,"REBOUND DEF by BRYANT,VALENTINO",1
06:42,,,,,"FOUL  by GOLLON,JAKOB",,,"FOUL  by GOLLON,JAKOB",1
06:23,"TURNOVER  by BOULDIN,BRETT",,,,,,,"TURNOVER  by BOULDIN,BRETT",1
06:23,,,,,"SUB IN by MOTEN,DARIOUS",,,"SUB IN by MOTEN,DARIOUS",1
06:23,,,,,"SUB OUT by GOLLON,JAKOB",,,"SUB OUT by GOLLON,JAKOB",1
06:14,,,,,"MISS 3PTR by THOMAS,BUD",,,"MISS 3PTR by THOMAS,BUD",1
--,"REBOUND DEF by AFFRONTI,LEWIS",,,,,,,"REBOUND DEF by AFFRONTI,LEWIS",1
06:12,,,,,"FOUL  by SMITH,CHRIS",,,"FOUL  by SMITH,CHRIS",1
05:53,"TURNOVER  by BRYANT,VALENTINO",,,,,,,"TURNOVER  by BRYANT,VALENTINO",1
05:53,,,,,"STEAL  by THOMAS,BUD",,,"STEAL  by THOMAS,BUD",1
05:49,,13,,22 (+9),"GOOD DUNK by SMITH,CHRIS(fastbreak)(in the paint)",MER 13-22 (-9),,"GOOD DUNK by SMITH,CHRIS(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by SMITH,TRAVIS",,,"ASSIST  by SMITH,TRAVIS",1
05:21,"MISS 3PTR by AFFRONTI,LEWIS",,,,,,,"MISS 3PTR by AFFRONTI,LEWIS",1
--,,,,,"REBOUND DEF by SMITH,TRAVIS",,,"REBOUND DEF by SMITH,TRAVIS",1
05:17,"FOUL  by CARTER,KESHONN",,,,,,,"FOUL  by CARTER,KESHONN",1
05:17,"SUB IN by CALDWELL,MARCELLUS",,,,,,,"SUB IN by CALDWELL,MARCELLUS",1
05:17,"SUB OUT by BOULDIN,BRETT",,,,,,,"SUB OUT by BOULDIN,BRETT",1
05:17,,,,,"SUB IN by WHITE,ANTHONY JR",,,"SUB IN by WHITE,ANTHONY JR",1
05:17,,,,,"SUB OUT by SMITH,CHRIS",,,"SUB OUT by SMITH,CHRIS",1
05:01,,13,,24 (+11),"GOOD LAYUP by SMITH,TRAVIS(in the paint)",MER 13-24 (-11),,"GOOD LAYUP by SMITH,TRAVIS(in the paint)",1
04:38,"MISS JUMPER by CALDWELL,MARCELLUS",,,,,,,"MISS JUMPER by CALDWELL,MARCELLUS",1
--,,,,,"REBOUND DEF by BROWN,MONTY",,,"REBOUND DEF by BROWN,MONTY",1
04:30,,,,,"TURNOVER  by SMITH,TRAVIS",,,"TURNOVER  by SMITH,TRAVIS",1
04:30,"SUB IN by HODGE,NILAN",,,,,,,"SUB IN by HODGE,NILAN",1
04:30,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",1
04:30,"SUB OUT by BROWN,TYLER",,,,,,,"SUB OUT by BROWN,TYLER",1
04:30,"SUB OUT by BRYANT,VALENTINO",,,,,,,"SUB OUT by BRYANT,VALENTINO",1
04:30,,,,,"SUB IN by BRYAN,JIBRI",,,"SUB IN by BRYAN,JIBRI",1
04:30,,,,,"SUB IN by POSTON,DYLAN",,,"SUB IN by POSTON,DYLAN",1
04:30,,,,,"SUB IN by HALLICE,TJ",,,"SUB IN by HALLICE,TJ",1
04:30,,,,,"SUB OUT by WHITE,ANTHONY JR",,,"SUB OUT by WHITE,ANTHONY JR",1
04:30,,,,,"SUB OUT by THOMAS,BUD",,,"SUB OUT by THOMAS,BUD",1
04:30,,,,,"SUB OUT by BROWN,MONTY",,,"SUB OUT by BROWN,MONTY",1
04:17,"GOOD 3PTR by HODGE,NILAN",16,,24 (+8),,SEWANEE 16-24 (-8),,"GOOD 3PTR by HODGE,NILAN",1
--,"ASSIST  by AFFRONTI,LEWIS",,,,,,,"ASSIST  by AFFRONTI,LEWIS",1
03:55,"FOUL  by CARTER,KESHONN",,,,,,,"FOUL  by CARTER,KESHONN",1
03:55,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
03:55,,16,,25 (+9),"GOOD FT by MOTEN,DARIOUS",MER 16-25 (-9),,"GOOD FT by MOTEN,DARIOUS",1
03:55,,,,,"MISS FT by MOTEN,DARIOUS",,,"MISS FT by MOTEN,DARIOUS",1
--,"REBOUND DEF by CALDWELL,MARCELLUS",,,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",1
03:55,"SUB IN by VEAL,ROBERT",,,,,,,"SUB IN by VEAL,ROBERT",1
03:55,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",1
03:55,,,,,"SUB IN by CANEVARI,KEVIN",,,"SUB IN by CANEVARI,KEVIN",1
03:55,,,,,"SUB OUT by SMITH,TRAVIS",,,"SUB OUT by SMITH,TRAVIS",1
03:35,"TURNOVER  by BROWN,SETH",,,,,,,"TURNOVER  by BROWN,SETH",1
03:31,,,,,"SUB IN by THOMAS,BUD",,,"SUB IN by THOMAS,BUD",1
03:31,,,,,"SUB IN by SMITH,TRAVIS",,,"SUB IN by SMITH,TRAVIS",1
03:31,,,,,"SUB OUT by BRYAN,JIBRI",,,"SUB OUT by BRYAN,JIBRI",1
03:31,,,,,"SUB OUT by POSTON,DYLAN",,,"SUB OUT by POSTON,DYLAN",1
03:00,,,,,"TURNOVER  by MOTEN,DARIOUS",,,"TURNOVER  by MOTEN,DARIOUS",1
02:59,"STEAL  by VEAL,ROBERT",,,,,,,"STEAL  by VEAL,ROBERT",1
02:40,"MISS LAYUP by VEAL,ROBERT",,,,,,,"MISS LAYUP by VEAL,ROBERT",1
--,,,,,"REBOUND DEF by HALLICE,TJ",,,"REBOUND DEF by HALLICE,TJ",1
02:18,,16,,27 (+11),"GOOD LAYUP by MOTEN,DARIOUS(in the paint)",MER 16-27 (-11),,"GOOD LAYUP by MOTEN,DARIOUS(in the paint)",1
--,,,,,"ASSIST  by CANEVARI,KEVIN",,,"ASSIST  by CANEVARI,KEVIN",1
02:18,"FOUL  by AFFRONTI,LEWIS",,,,,,,"FOUL  by AFFRONTI,LEWIS",1
02:18,,16,,28 (+12),"GOOD FT by MOTEN,DARIOUS",MER 16-28 (-12),,"GOOD FT by MOTEN,DARIOUS",1
02:18,"SUB IN by BROWN,TYLER",,,,,,,"SUB IN by BROWN,TYLER",1
02:18,"SUB IN by BRYANT,VALENTINO",,,,,,,"SUB IN by BRYANT,VALENTINO",1
02:18,"SUB IN by BOULDIN,BRETT",,,,,,,"SUB IN by BOULDIN,BRETT",1
02:18,"SUB OUT by HODGE,NILAN",,,,,,,"SUB OUT by HODGE,NILAN",1
02:18,"SUB OUT by AFFRONTI,LEWIS",,,,,,,"SUB OUT by AFFRONTI,LEWIS",1
02:18,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",1
02:18,,,,,"SUB IN by BROWN,LAWRENCE",,,"SUB IN by BROWN,LAWRENCE",1
02:18,,,,,"SUB OUT by HALLICE,TJ",,,"SUB OUT by HALLICE,TJ",1
02:10,"MISS JUMPER by VEAL,ROBERT",,,,,,,"MISS JUMPER by VEAL,ROBERT",1
--,,,,,"REBOUND DEF by MOTEN,DARIOUS",,,"REBOUND DEF by MOTEN,DARIOUS",1
01:43,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
01:43,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",1
01:43,"SUB OUT by CALDWELL,MARCELLUS",,,,,,,"SUB OUT by CALDWELL,MARCELLUS",1
01:34,,,,,"MISS 3PTR by SMITH,TRAVIS",,,"MISS 3PTR by SMITH,TRAVIS",1
--,,,,,"REBOUND OFF by BROWN,LAWRENCE",,,"REBOUND OFF by BROWN,LAWRENCE",1
01:30,,,,,"MISS JUMPER by BROWN,LAWRENCE",,,"MISS JUMPER by BROWN,LAWRENCE",1
--,"REBOUND DEF by BOULDIN,BRETT",,,,,,,"REBOUND DEF by BOULDIN,BRETT",1
01:18,"TURNOVER  by BROWN,SETH",,,,,,,"TURNOVER  by BROWN,SETH",1
01:18,"SUB IN by NELSON,ANVIL",,,,,,,"SUB IN by NELSON,ANVIL",1
01:18,"SUB OUT by VEAL,ROBERT",,,,,,,"SUB OUT by VEAL,ROBERT",1
01:18,,,,,"SUB IN by BROWN,MONTY",,,"SUB IN by BROWN,MONTY",1
01:18,,,,,"SUB IN by HALLICE,TJ",,,"SUB IN by HALLICE,TJ",1
01:18,,,,,"SUB OUT by MOTEN,DARIOUS",,,"SUB OUT by MOTEN,DARIOUS",1
01:18,,,,,"SUB OUT by BROWN,LAWRENCE",,,"SUB OUT by BROWN,LAWRENCE",1
01:04,,,,,"TURNOVER  by BROWN,MONTY",,,"TURNOVER  by BROWN,MONTY",1
01:04,,,,,"FOUL  by BROWN,MONTY",,,"FOUL  by BROWN,MONTY",1
01:04,,,,,"SUB IN by MOTEN,DARIOUS",,,"SUB IN by MOTEN,DARIOUS",1
01:04,,,,,"SUB OUT by BROWN,MONTY",,,"SUB OUT by BROWN,MONTY",1
00:41,"GOOD JUMPER by BROWN,TYLER",18,,28 (+10),,SEWANEE 18-28 (-10),,"GOOD JUMPER by BROWN,TYLER",1
00:28,,18,,30 (+12),"GOOD LAYUP by SMITH,TRAVIS(in the paint)",MER 18-30 (-12),,"GOOD LAYUP by SMITH,TRAVIS(in the paint)",1
00:23,,,,,"SUB IN by POSTON,DYLAN",,,"SUB IN by POSTON,DYLAN",1
00:23,,,,,"SUB IN by WHITE,ANTHONY JR",,,"SUB IN by WHITE,ANTHONY JR",1
00:23,,,,,"SUB IN by BRYAN,JIBRI",,,"SUB IN by BRYAN,JIBRI",1
00:23,,,,,"SUB IN by SMITH,CHRIS",,,"SUB IN by SMITH,CHRIS",1
00:23,,,,,"SUB OUT by THOMAS,BUD",,,"SUB OUT by THOMAS,BUD",1
00:23,,,,,"SUB OUT by CANEVARI,KEVIN",,,"SUB OUT by CANEVARI,KEVIN",1
00:23,,,,,"SUB OUT by MOTEN,DARIOUS",,,"SUB OUT by MOTEN,DARIOUS",1
00:23,,,,,"SUB OUT by SMITH,TRAVIS",,,"SUB OUT by SMITH,TRAVIS",1
00:23,,,,,"SUB OUT by HALLICE,TJ",,,"SUB OUT by HALLICE,TJ",1
00:02,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:02,,,,,"SUB IN by BROWN,MONTY",,,"SUB IN by BROWN,MONTY",1
00:02,,,,,"SUB IN by CANEVARI,KEVIN",,,"SUB IN by CANEVARI,KEVIN",1
00:02,,,,,"SUB OUT by POSTON,DYLAN",,,"SUB OUT by POSTON,DYLAN",1
19:52,"TURNOVER  by BRYANT,VALENTINO",,,,,,,"TURNOVER  by BRYANT,VALENTINO",2
19:32,,,,,"TURNOVER  by SMITH,TRAVIS",,,"TURNOVER  by SMITH,TRAVIS",2
19:30,"STEAL  by BOULDIN,BRETT",,,,,,,"STEAL  by BOULDIN,BRETT",2
19:15,"GOOD JUMPER by CARTER,KESHONN",20,,30 (+10),,SEWANEE 20-30 (-10),,"GOOD JUMPER by CARTER,KESHONN",2
--,"ASSIST  by BRYANT,VALENTINO",,,,,,,"ASSIST  by BRYANT,VALENTINO",2
18:52,,20,,33 (+13),"GOOD 3PTR by SMITH,CHRIS",MER 20-33 (-13),,"GOOD 3PTR by SMITH,CHRIS",2
--,,,,,"ASSIST  by GOLLON,JAKOB",,,"ASSIST  by GOLLON,JAKOB",2
18:17,"MISS 3PTR by AFFRONTI,LEWIS",,,,,,,"MISS 3PTR by AFFRONTI,LEWIS",2
--,,,,,"REBOUND DEF by SMITH,CHRIS",,,"REBOUND DEF by SMITH,CHRIS",2
17:57,,20,,35 (+15),"GOOD LAYUP by BROWN,MONTY(in the paint)",MER 20-35 (-15),,"GOOD LAYUP by BROWN,MONTY(in the paint)",2
--,,,,,"ASSIST  by SMITH,TRAVIS",,,"ASSIST  by SMITH,TRAVIS",2
17:36,"TURNOVER  by CARTER,KESHONN",,,,,,,"TURNOVER  by CARTER,KESHONN",2
17:34,,,,,"STEAL  by THOMAS,BUD",,,"STEAL  by THOMAS,BUD",2
17:32,,20,,37 (+17),"GOOD DUNK by THOMAS,BUD(fastbreak)(in the paint)",MER 20-37 (-17),,"GOOD DUNK by THOMAS,BUD(fastbreak)(in the paint)",2
17:12,"MISS 3PTR by BROWN,TYLER",,,,,,,"MISS 3PTR by BROWN,TYLER",2
--,"REBOUND OFF by AFFRONTI,LEWIS",,,,,,,"REBOUND OFF by AFFRONTI,LEWIS",2
17:08,"MISS 3PTR by BOULDIN,BRETT",,,,,,,"MISS 3PTR by BOULDIN,BRETT",2
--,,,,,"REBOUND DEF by SMITH,TRAVIS",,,"REBOUND DEF by SMITH,TRAVIS",2
16:50,,,,,"MISS 3PTR by SMITH,CHRIS",,,"MISS 3PTR by SMITH,CHRIS",2
--,"REBOUND DEF by BRYANT,VALENTINO",,,,,,,"REBOUND DEF by BRYANT,VALENTINO",2
