Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,MCMB,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by GUTHRIE, DYLAN",,,"REBOUND DEF by GUTHRIE, DYLAN",1
14:54,,,,,"TURNOVER  by GUTHRIE, DYLAN",,,"TURNOVER  by GUTHRIE, DYLAN",1
14:45,"MISS JUMPER by BROWN,SETH",,,,,,,"MISS JUMPER by BROWN,SETH",1
--,,,,,"REBOUND DEF by BISHOP, LUKE",,,"REBOUND DEF by BISHOP, LUKE",1
14:31,"FOUL  by VEAL,ROBERT",,,,,,,"FOUL  by VEAL,ROBERT",1
14:24,"SUB IN by HODGE,NILAN",,,,,,,"SUB IN by HODGE,NILAN",1
14:24,"SUB OUT by BRYANT,VALENTINO",,,,,,,"SUB OUT by BRYANT,VALENTINO",1
14:24,,,,,"SUB IN by BUSCH, COLE",,,"SUB IN by BUSCH, COLE",1
14:24,,,,,"SUB IN by SUTTON, HUNTER",,,"SUB IN by SUTTON, HUNTER",1
14:24,,,,,"SUB OUT by WHITLOCK, CLAYTON",,,"SUB OUT by WHITLOCK, CLAYTON",1
14:24,,,,,"SUB OUT by SLAGLE, BRADY",,,"SUB OUT by SLAGLE, BRADY",1
14:16,"SUB IN by CALDWELL,MARCELLUS",,,,,,,"SUB IN by CALDWELL,MARCELLUS",1
14:13,"SUB OUT by CALDWELL,MARCELLUS",,,,,,,"SUB OUT by CALDWELL,MARCELLUS",1
14:11,,11,,13 (+2),"GOOD 3PTR by BEST, CODY",MCMB 11-13 (-2),,"GOOD 3PTR by BEST, CODY",1
13:50,"MISS JUMPER by HODGE,NILAN",,,,,,,"MISS JUMPER by HODGE,NILAN",1
--,,,,,"REBOUND DEF by SUTTON, HUNTER",,,"REBOUND DEF by SUTTON, HUNTER",1
13:20,,,,,"MISS JUMPER by GUTHRIE, DYLAN",,,"MISS JUMPER by GUTHRIE, DYLAN",1
--,"REBOUND DEF by VEAL,ROBERT",,,,,,,"REBOUND DEF by VEAL,ROBERT",1
13:14,"MISS 3PTR by BOULDIN,BRETT",,,,,,,"MISS 3PTR by BOULDIN,BRETT",1
--,"REBOUND OFF by BROWN,SETH",,,,,,,"REBOUND OFF by BROWN,SETH",1
13:02,"MISS 3PTR by HODGE,NILAN",,,,,,,"MISS 3PTR by HODGE,NILAN",1
--,,,,,"REBOUND DEF by PRATT, SPENCER",,,"REBOUND DEF by PRATT, SPENCER",1
12:54,,,,,"MISS 3PTR by GUTHRIE, DYLAN",,,"MISS 3PTR by GUTHRIE, DYLAN",1
--,"REBOUND DEF by AFFRONTI,LEWIS",,,,,,,"REBOUND DEF by AFFRONTI,LEWIS",1
12:46,"SUB IN by CALDWELL,MARCELLUS",,,,,,,"SUB IN by CALDWELL,MARCELLUS",1
12:46,"SUB OUT by BOULDIN,BRETT",,,,,,,"SUB OUT by BOULDIN,BRETT",1
12:19,,,,,"FOUL  by PRATT, SPENCER",,,"FOUL  by PRATT, SPENCER",1
11:54,"MISS 3PTR by AFFRONTI,LEWIS",,,,,,,"MISS 3PTR by AFFRONTI,LEWIS",1
--,,,,,"REBOUND DEF by SUTTON, HUNTER",,,"REBOUND DEF by SUTTON, HUNTER",1
11:49,,11,,15 (+4),"GOOD JUMPER by GUTHRIE, DYLAN",MCMB 11-15 (-4),,"GOOD JUMPER by GUTHRIE, DYLAN",1
--,,,,,"ASSIST  by BEST, CODY",,,"ASSIST  by BEST, CODY",1
11:30,"GOOD 3PTR by AFFRONTI,LEWIS",14,,15 (+1),,SEWANEE 14-15 (-1),,"GOOD 3PTR by AFFRONTI,LEWIS",1
--,"ASSIST  by HODGE,NILAN",,,,,,,"ASSIST  by HODGE,NILAN",1
11:09,,,,,"MISS JUMPER by BUSCH, COLE",,,"MISS JUMPER by BUSCH, COLE",1
11:09,"BLOCK  by BROWN,SETH",,,,,,,"BLOCK  by BROWN,SETH",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
11:09,"SUB IN by NELSON,ANVIL",,,,,,,"SUB IN by NELSON,ANVIL",1
11:09,"SUB IN by BROWN,TYLER",,,,,,,"SUB IN by BROWN,TYLER",1
11:09,"SUB OUT by AFFRONTI,LEWIS",,,,,,,"SUB OUT by AFFRONTI,LEWIS",1
11:09,"SUB OUT by VEAL,ROBERT",,,,,,,"SUB OUT by VEAL,ROBERT",1
11:01,,,,,"FOUL  by SUTTON, HUNTER",,,"FOUL  by SUTTON, HUNTER",1
11:01,,,,,"TURNOVER  by SUTTON, HUNTER",,,"TURNOVER  by SUTTON, HUNTER",1
10:40,,,,,"SUB IN by WHITLOCK, CLAYTON",,,"SUB IN by WHITLOCK, CLAYTON",1
10:40,,,,,"SUB IN by SLAGLE, BRADY",,,"SUB IN by SLAGLE, BRADY",1
10:40,,,,,"SUB IN by PRATT, SPENCER",,,"SUB IN by PRATT, SPENCER",1
10:40,,,,,"SUB IN by COLUMBIA, JAKE",,,"SUB IN by COLUMBIA, JAKE",1
10:40,,,,,"SUB OUT by BEST, CODY",,,"SUB OUT by BEST, CODY",1
10:40,,,,,"SUB OUT by BUSCH, COLE",,,"SUB OUT by BUSCH, COLE",1
10:40,,,,,"SUB OUT by SUTTON, HUNTER",,,"SUB OUT by SUTTON, HUNTER",1
10:40,,,,,"SUB OUT by GUTHRIE, DYLAN",,,"SUB OUT by GUTHRIE, DYLAN",1
10:32,"MISS JUMPER by BROWN,TYLER",,,,,,,"MISS JUMPER by BROWN,TYLER",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
10:32,"SUB IN by BRYANT,VALENTINO",,,,,,,"SUB IN by BRYANT,VALENTINO",1
10:32,"SUB OUT by CALDWELL,MARCELLUS",,,,,,,"SUB OUT by CALDWELL,MARCELLUS",1
10:23,"MISS 3PTR by BROWN,SETH",,,,,,,"MISS 3PTR by BROWN,SETH",1
--,,,,,"REBOUND DEF by COLUMBIA, JAKE",,,"REBOUND DEF by COLUMBIA, JAKE",1
10:01,,14,,17 (+3),"GOOD JUMPER by PRATT, SPENCER",MCMB 14-17 (-3),,"GOOD JUMPER by PRATT, SPENCER",1
09:31,"TURNOVER  by BROWN,TYLER",,,,,,,"TURNOVER  by BROWN,TYLER",1
09:30,,,,,"STEAL  by BISHOP, LUKE",,,"STEAL  by BISHOP, LUKE",1
09:06,,,,,"MISS JUMPER by WHITLOCK, CLAYTON",,,"MISS JUMPER by WHITLOCK, CLAYTON",1
--,"REBOUND DEF by BROWN,TYLER",,,,,,,"REBOUND DEF by BROWN,TYLER",1
09:05,,,,,"FOUL  by SLAGLE, BRADY",,,"FOUL  by SLAGLE, BRADY",1
09:05,"SUB IN by AFFRONTI,LEWIS",,,,,,,"SUB IN by AFFRONTI,LEWIS",1
09:05,"SUB IN by BOULDIN,BRETT",,,,,,,"SUB IN by BOULDIN,BRETT",1
09:05,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",1
09:05,"SUB OUT by HODGE,NILAN",,,,,,,"SUB OUT by HODGE,NILAN",1
08:48,"MISS JUMPER by AFFRONTI,LEWIS",,,,,,,"MISS JUMPER by AFFRONTI,LEWIS",1
--,,,,,"REBOUND DEF by SLAGLE, BRADY",,,"REBOUND DEF by SLAGLE, BRADY",1
08:19,,,,,"MISS JUMPER by SLAGLE, BRADY",,,"MISS JUMPER by SLAGLE, BRADY",1
--,"REBOUND DEF by NELSON,ANVIL",,,,,,,"REBOUND DEF by NELSON,ANVIL",1
08:09,"MISS JUMPER by BRYANT,VALENTINO",,,,,,,"MISS JUMPER by BRYANT,VALENTINO",1
--,,,,,"REBOUND DEF by SLAGLE, BRADY",,,"REBOUND DEF by SLAGLE, BRADY",1
07:56,,14,,19 (+5),"GOOD JUMPER by PRATT, SPENCER",MCMB 14-19 (-5),,"GOOD JUMPER by PRATT, SPENCER",1
--,,,,,"ASSIST  by BISHOP, LUKE",,,"ASSIST  by BISHOP, LUKE",1
07:37,"MISS JUMPER by NELSON,ANVIL",,,,,,,"MISS JUMPER by NELSON,ANVIL",1
--,"REBOUND OFF by BROWN,TYLER",,,,,,,"REBOUND OFF by BROWN,TYLER",1
07:35,"GOOD JUMPER by BROWN,TYLER",16,,19 (+3),,SEWANEE 16-19 (-3),,"GOOD JUMPER by BROWN,TYLER",1
07:35,,,,,"FOUL  by SLAGLE, BRADY",,,"FOUL  by SLAGLE, BRADY",1
07:35,"GOOD FT by BROWN,TYLER",17,,19 (+2),,SEWANEE 17-19 (-2),,"GOOD FT by BROWN,TYLER",1
07:35,,,,,"SUB IN by SUTTON, HUNTER",,,"SUB IN by SUTTON, HUNTER",1
07:35,,,,,"SUB OUT by SLAGLE, BRADY",,,"SUB OUT by SLAGLE, BRADY",1
07:25,,17,,21 (+4),"GOOD JUMPER by PRATT, SPENCER",MCMB 17-21 (-4),,"GOOD JUMPER by PRATT, SPENCER",1
07:09,"GOOD 3PTR by BOULDIN,BRETT",20,,21 (+1),,SEWANEE 20-21 (-1),,"GOOD 3PTR by BOULDIN,BRETT",1
--,"ASSIST  by AFFRONTI,LEWIS",,,,,,,"ASSIST  by AFFRONTI,LEWIS",1
07:05,,,,,"FOUL  by PRATT, SPENCER",,,"FOUL  by PRATT, SPENCER",1
07:05,"MISS FT by BOULDIN,BRETT",,,,,,,"MISS FT by BOULDIN,BRETT",1
--,"REBOUND OFF by NELSON,ANVIL",,,,,,,"REBOUND OFF by NELSON,ANVIL",1
07:03,"MISS JUMPER by NELSON,ANVIL",,,,,,,"MISS JUMPER by NELSON,ANVIL",1
--,,,,,"REBOUND DEF by SUTTON, HUNTER",,,"REBOUND DEF by SUTTON, HUNTER",1
06:37,,,,,"MISS JUMPER by SUTTON, HUNTER",,,"MISS JUMPER by SUTTON, HUNTER",1
--,,,,,"REBOUND OFF by SUTTON, HUNTER",,,"REBOUND OFF by SUTTON, HUNTER",1
06:37,"FOUL  by AFFRONTI,LEWIS",,,,,,,"FOUL  by AFFRONTI,LEWIS",1
06:37,,20,,22 (+2),"GOOD FT by SUTTON, HUNTER",MCMB 20-22 (-2),,"GOOD FT by SUTTON, HUNTER",1
06:37,,20,,23 (+3),"GOOD FT by SUTTON, HUNTER",MCMB 20-23 (-3),,"GOOD FT by SUTTON, HUNTER",1
06:37,,,,,"SUB IN by KELTNER, KOLLIN",,,"SUB IN by KELTNER, KOLLIN",1
06:37,,,,,"SUB IN by GUTHRIE, DYLAN",,,"SUB IN by GUTHRIE, DYLAN",1
06:37,,,,,"SUB OUT by PRATT, SPENCER",,,"SUB OUT by PRATT, SPENCER",1
06:37,,,,,"SUB OUT by COLUMBIA, JAKE",,,"SUB OUT by COLUMBIA, JAKE",1
06:23,"TURNOVER  by AFFRONTI,LEWIS",,,,,,,"TURNOVER  by AFFRONTI,LEWIS",1
06:16,,,,,"STEAL  by SUTTON, HUNTER",,,"STEAL  by SUTTON, HUNTER",1
06:02,,,,,"MISS JUMPER by SUTTON, HUNTER",,,"MISS JUMPER by SUTTON, HUNTER",1
--,"REBOUND DEF by BROWN,TYLER",,,,,,,"REBOUND DEF by BROWN,TYLER",1
05:40,"GOOD JUMPER by NELSON,ANVIL",22,,23 (+1),,SEWANEE 22-23 (-1),,"GOOD JUMPER by NELSON,ANVIL",1
--,"ASSIST  by BOULDIN,BRETT",,,,,,,"ASSIST  by BOULDIN,BRETT",1
05:14,,22,,25 (+3),"GOOD JUMPER by WHITLOCK, CLAYTON",MCMB 22-25 (-3),,"GOOD JUMPER by WHITLOCK, CLAYTON",1
04:58,"GOOD 3PTR by AFFRONTI,LEWIS",25,,25,,SEWANEE 25-25 (0),,"GOOD 3PTR by AFFRONTI,LEWIS",1
--,"ASSIST  by BRYANT,VALENTINO",,,,,,,"ASSIST  by BRYANT,VALENTINO",1
04:37,,,,,"TURNOVER  by GUTHRIE, DYLAN",,,"TURNOVER  by GUTHRIE, DYLAN",1
04:34,"STEAL  by BRYANT,VALENTINO",,,,,,,"STEAL  by BRYANT,VALENTINO",1
04:22,"MISS JUMPER by AFFRONTI,LEWIS",,,,,,,"MISS JUMPER by AFFRONTI,LEWIS",1
--,,,,,"REBOUND DEF by SUTTON, HUNTER",,,"REBOUND DEF by SUTTON, HUNTER",1
04:20,"FOUL  by AFFRONTI,LEWIS",,,,,,,"FOUL  by AFFRONTI,LEWIS",1
04:20,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",1
04:20,"SUB IN by VEAL,ROBERT",,,,,,,"SUB IN by VEAL,ROBERT",1
04:20,"SUB IN by HODGE,NILAN",,,,,,,"SUB IN by HODGE,NILAN",1
04:20,"SUB OUT by AFFRONTI,LEWIS",,,,,,,"SUB OUT by AFFRONTI,LEWIS",1
04:20,"SUB OUT by NELSON,ANVIL",,,,,,,"SUB OUT by NELSON,ANVIL",1
04:20,"SUB OUT by BROWN,TYLER",,,,,,,"SUB OUT by BROWN,TYLER",1
04:20,,,,,"SUB IN by BEST, CODY",,,"SUB IN by BEST, CODY",1
04:20,,,,,"SUB OUT by BISHOP, LUKE",,,"SUB OUT by BISHOP, LUKE",1
04:00,"FOUL  by VEAL,ROBERT",,,,,,,"FOUL  by VEAL,ROBERT",1
03:51,,,,,"MISS JUMPER by SUTTON, HUNTER",,,"MISS JUMPER by SUTTON, HUNTER",1
03:51,"BLOCK  by VEAL,ROBERT",,,,,,,"BLOCK  by VEAL,ROBERT",1
--,,,,,"REBOUND OFF by SUTTON, HUNTER",,,"REBOUND OFF by SUTTON, HUNTER",1
03:47,,25,,27 (+2),"GOOD JUMPER by SUTTON, HUNTER",MCMB 25-27 (-2),,"GOOD JUMPER by SUTTON, HUNTER",1
03:32,"GOOD JUMPER by BROWN,SETH",27,,27,,SEWANEE 27-27 (0),,"GOOD JUMPER by BROWN,SETH",1
--,"ASSIST  by VEAL,ROBERT",,,,,,,"ASSIST  by VEAL,ROBERT",1
03:24,,,,,"SUB IN by BISHOP, LUKE",,,"SUB IN by BISHOP, LUKE",1
03:24,,,,,"SUB OUT by KELTNER, KOLLIN",,,"SUB OUT by KELTNER, KOLLIN",1
03:23,,,,,"TURNOVER  by GUTHRIE, DYLAN",,,"TURNOVER  by GUTHRIE, DYLAN",1
03:04,"TURNOVER  by BRYANT,VALENTINO",,,,,,,"TURNOVER  by BRYANT,VALENTINO",1
03:03,,,,,"STEAL  by BEST, CODY",,,"STEAL  by BEST, CODY",1
02:54,,,,,"MISS JUMPER by WHITLOCK, CLAYTON",,,"MISS JUMPER by WHITLOCK, CLAYTON",1
--,"REBOUND DEF by BROWN,SETH",,,,,,,"REBOUND DEF by BROWN,SETH",1
02:46,"MISS 3PTR by BOULDIN,BRETT",,,,,,,"MISS 3PTR by BOULDIN,BRETT",1
--,,,,,"REBOUND DEF by WHITLOCK, CLAYTON",,,"REBOUND DEF by WHITLOCK, CLAYTON",1
02:40,,,,,"FOUL  by BEST, CODY",,,"FOUL  by BEST, CODY",1
02:40,,,,,"TURNOVER  by BEST, CODY",,,"TURNOVER  by BEST, CODY",1
02:22,"MISS 3PTR by HODGE,NILAN",,,,,,,"MISS 3PTR by HODGE,NILAN",1
--,,,,,"REBOUND DEF by WHITLOCK, CLAYTON",,,"REBOUND DEF by WHITLOCK, CLAYTON",1
02:01,,,,,"MISS JUMPER by WHITLOCK, CLAYTON",,,"MISS JUMPER by WHITLOCK, CLAYTON",1
--,"REBOUND DEF by BRYANT,VALENTINO",,,,,,,"REBOUND DEF by BRYANT,VALENTINO",1
02:01,,,,,"FOUL  by GUTHRIE, DYLAN",,,"FOUL  by GUTHRIE, DYLAN",1
02:01,"MISS FT by HODGE,NILAN",,,,,,,"MISS FT by HODGE,NILAN",1
--,,,,,"REBOUND DEF by BUSCH, COLE",,,"REBOUND DEF by BUSCH, COLE",1
02:01,,,,,"SUB IN by BUSCH, COLE",,,"SUB IN by BUSCH, COLE",1
02:01,,,,,"SUB OUT by WHITLOCK, CLAYTON",,,"SUB OUT by WHITLOCK, CLAYTON",1
01:37,,27,,29 (+2),"GOOD JUMPER by SUTTON, HUNTER",MCMB 27-29 (-2),,"GOOD JUMPER by SUTTON, HUNTER",1
01:25,"TURNOVER  by BROWN,SETH",,,,,,,"TURNOVER  by BROWN,SETH",1
01:24,,,,,"STEAL  by BEST, CODY",,,"STEAL  by BEST, CODY",1
01:24,"FOUL  by BROWN,SETH",,,,,,,"FOUL  by BROWN,SETH",1
01:24,,27,,30 (+3),"GOOD FT by BEST, CODY",MCMB 27-30 (-3),,"GOOD FT by BEST, CODY",1
01:24,,27,,31 (+4),"GOOD FT by BEST, CODY",MCMB 27-31 (-4),,"GOOD FT by BEST, CODY",1
01:24,"SUB IN by BROWN,TYLER",,,,,,,"SUB IN by BROWN,TYLER",1
01:24,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",1
01:05,"MISS 3PTR by BRYANT,VALENTINO",,,,,,,"MISS 3PTR by BRYANT,VALENTINO",1
--,,,,,"REBOUND DEF by BISHOP, LUKE",,,"REBOUND DEF by BISHOP, LUKE",1
00:52,,,,,"MISS JUMPER by SUTTON, HUNTER",,,"MISS JUMPER by SUTTON, HUNTER",1
--,"REBOUND DEF by VEAL,ROBERT",,,,,,,"REBOUND DEF by VEAL,ROBERT",1
00:31,"TURNOVER  by BROWN,TYLER",,,,,,,"TURNOVER  by BROWN,TYLER",1
00:19,,,,,"TURNOVER  by BEST, CODY",,,"TURNOVER  by BEST, CODY",1
00:18,"STEAL  by BRYANT,VALENTINO",,,,,,,"STEAL  by BRYANT,VALENTINO",1
00:14,"GOOD JUMPER by BRYANT,VALENTINO",29,,31 (+2),,SEWANEE 29-31 (-2),,"GOOD JUMPER by BRYANT,VALENTINO",1
00:07,,,,,"TURNOVER  by BEST, CODY",,,"TURNOVER  by BEST, CODY",1
00:05,"STEAL  by BOULDIN,BRETT",,,,,,,"STEAL  by BOULDIN,BRETT",1
00:04,"TURNOVER  by BOULDIN,BRETT",,,,,,,"TURNOVER  by BOULDIN,BRETT",1
19:50,,,,,"MISS JUMPER by BEST, CODY",,,"MISS JUMPER by BEST, CODY",2
19:50,"BLOCK  by BRYANT,VALENTINO",,,,,,,"BLOCK  by BRYANT,VALENTINO",2
--,"REBOUND DEF by AFFRONTI,LEWIS",,,,,,,"REBOUND DEF by AFFRONTI,LEWIS",2
19:42,"TURNOVER  by BRYANT,VALENTINO",,,,,,,"TURNOVER  by BRYANT,VALENTINO",2
19:29,,29,,33 (+4),"GOOD JUMPER by SLAGLE, BRADY",MCMB 29-33 (-4),,"GOOD JUMPER by SLAGLE, BRADY",2
--,,,,,"ASSIST  by GUTHRIE, DYLAN",,,"ASSIST  by GUTHRIE, DYLAN",2
19:11,"GOOD JUMPER by CARTER,KESHONN",31,,33 (+2),,SEWANEE 31-33 (-2),,"GOOD JUMPER by CARTER,KESHONN",2
18:55,,,,,"MISS JUMPER by WHITLOCK, CLAYTON",,,"MISS JUMPER by WHITLOCK, CLAYTON",2
--,"REBOUND DEF by BROWN,TYLER",,,,,,,"REBOUND DEF by BROWN,TYLER",2
18:40,"MISS 3PTR by BRYANT,VALENTINO",,,,,,,"MISS 3PTR by BRYANT,VALENTINO",2
--,"REBOUND OFF by AFFRONTI,LEWIS",,,,,,,"REBOUND OFF by AFFRONTI,LEWIS",2
18:38,,,,,"FOUL  by WHITLOCK, CLAYTON",,,"FOUL  by WHITLOCK, CLAYTON",2
18:38,"GOOD FT by AFFRONTI,LEWIS",32,,33 (+1),,SEWANEE 32-33 (-1),,"GOOD FT by AFFRONTI,LEWIS",2
18:38,"GOOD FT by AFFRONTI,LEWIS",33,,33,,SEWANEE 33-33 (0),,"GOOD FT by AFFRONTI,LEWIS",2
18:00,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
17:44,"TURNOVER  by BOULDIN,BRETT",,,,,,,"TURNOVER  by BOULDIN,BRETT",2
17:34,"FOUL  by BROWN,TYLER",,,,,,,"FOUL  by BROWN,TYLER",2
17:29,,,,,"TURNOVER  by BISHOP, LUKE",,,"TURNOVER  by BISHOP, LUKE",2
17:24,"STEAL  by CARTER,KESHONN",,,,,,,"STEAL  by CARTER,KESHONN",2
17:14,"GOOD JUMPER by BROWN,TYLER",35 (+2),,33,,SEWANEE 35-33 (+2),,"GOOD JUMPER by BROWN,TYLER",2
--,"ASSIST  by BRYANT,VALENTINO",,,,,,,"ASSIST  by BRYANT,VALENTINO",2
17:03,"FOUL  by BROWN,TYLER",,,,,,,"FOUL  by BROWN,TYLER",2
17:03,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",2
17:03,"SUB OUT by BROWN,TYLER",,,,,,,"SUB OUT by BROWN,TYLER",2
16:46,,,,,"MISS JUMPER by SLAGLE, BRADY",,,"MISS JUMPER by SLAGLE, BRADY",2
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",2
16:40,"GOOD JUMPER by BRYANT,VALENTINO",37 (+4),,33,,SEWANEE 37-33 (+4),,"GOOD JUMPER by BRYANT,VALENTINO",2
16:21,,,,,"TURNOVER  by WHITLOCK, CLAYTON",,,"TURNOVER  by WHITLOCK, CLAYTON",2
16:21,"SUB IN by HODGE,NILAN",,,,,,,"SUB IN by HODGE,NILAN",2
16:21,"SUB OUT by BOULDIN,BRETT",,,,,,,"SUB OUT by BOULDIN,BRETT",2
16:02,"MISS JUMPER by BRYANT,VALENTINO",,,,,,,"MISS JUMPER by BRYANT,VALENTINO",2
--,,,,,"REBOUND DEF by BEST, CODY",,,"REBOUND DEF by BEST, CODY",2
15:55,,37 (+1),,36,"GOOD 3PTR by BISHOP, LUKE",MCMB 37-36 (+1),,"GOOD 3PTR by BISHOP, LUKE",2
--,,,,,"ASSIST  by BEST, CODY",,,"ASSIST  by BEST, CODY",2
15:32,"GOOD JUMPER by BRYANT,VALENTINO",39 (+3),,36,,SEWANEE 39-36 (+3),,"GOOD JUMPER by BRYANT,VALENTINO",2
15:22,,,,,"FOUL  by WHITLOCK, CLAYTON",,,"FOUL  by WHITLOCK, CLAYTON",2
15:04,"MISS FT by BRYANT,VALENTINO",,,,,,,"MISS FT by BRYANT,VALENTINO",2
--,"REBOUND OFF by BRYANT,VALENTINO",,,,,,,"REBOUND OFF by BRYANT,VALENTINO",2
15:01,"GOOD 3PTR by AFFRONTI,LEWIS",42 (+6),,36,,SEWANEE 42-36 (+6),,"GOOD 3PTR by AFFRONTI,LEWIS",2
--,"ASSIST  by BRYANT,VALENTINO",,,,,,,"ASSIST  by BRYANT,VALENTINO",2
14:57,"SUB IN by BOULDIN,BRETT",,,,,,,"SUB IN by BOULDIN,BRETT",2
14:57,"SUB OUT by AFFRONTI,LEWIS",,,,,,,"SUB OUT by AFFRONTI,LEWIS",2
14:53,,,,,"SUB IN by PRATT, SPENCER",,,"SUB IN by PRATT, SPENCER",2
14:53,,,,,"SUB OUT by BEST, CODY",,,"SUB OUT by BEST, CODY",2
14:45,,,,,"TURNOVER  by PRATT, SPENCER",,,"TURNOVER  by PRATT, SPENCER",2
14:43,"STEAL  by CARTER,KESHONN",,,,,,,"STEAL  by CARTER,KESHONN",2
14:23,"MISS JUMPER by HODGE,NILAN",,,,,,,"MISS JUMPER by HODGE,NILAN",2
