Time Remaining,HIWASSEE,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by GOLDEN,JEFF",,,,,,,"REBOUND DEF by GOLDEN,JEFF",1
15:11,"MISS JUMPER by BAILEY,JOEL",,,,,,,"MISS JUMPER by BAILEY,JOEL",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
15:05,"SUB IN by MEADOWS,HOWIE",,,,,,,"SUB IN by MEADOWS,HOWIE",1
15:05,"SUB OUT by GOLDEN,JEFF",,,,,,,"SUB OUT by GOLDEN,JEFF",1
15:05,,,,,"SUB IN by HEATHERLY,GARRETT",,,"SUB IN by HEATHERLY,GARRETT",1
15:05,,,,,"SUB IN by BROWN,SETH",,,"SUB IN by BROWN,SETH",1
15:05,,,,,"SUB OUT by CARTER,KESHONN",,,"SUB OUT by CARTER,KESHONN",1
15:05,,,,,"SUB OUT by BROWN,TYLER",,,"SUB OUT by BROWN,TYLER",1
15:02,"GOOD 3PTR by BROWNER,JUSTIN",12 (+3),,9,,HIWASSEE 12-9 (-3),,"GOOD 3PTR by BROWNER,JUSTIN",1
14:37,,,,,"TURNOVER  by AFFRONTI,LEWIS",,,"TURNOVER  by AFFRONTI,LEWIS",1
14:37,,,,,"SUB IN by BORN,LEO",,,"SUB IN by BORN,LEO",1
14:37,,,,,"SUB IN by HODGE,NILAN",,,"SUB IN by HODGE,NILAN",1
14:37,,,,,"SUB OUT by AFFRONTI,LEWIS",,,"SUB OUT by AFFRONTI,LEWIS",1
14:37,,,,,"SUB OUT by BRYANT,VALENTINO",,,"SUB OUT by BRYANT,VALENTINO",1
14:21,"TURNOVER  by BAILEY,JOEL",,,,,,,"TURNOVER  by BAILEY,JOEL",1
14:18,,,,,"STEAL  by BOULDIN,BRETT",,,"STEAL  by BOULDIN,BRETT",1
14:00,,12 (+1),,11,"GOOD LAYUP by HEATHERLY,GARRETT(in the paint)",SEWANEE 12-11 (-1),,"GOOD LAYUP by HEATHERLY,GARRETT(in the paint)",1
13:35,"MISS 3PTR by MEADOWS,HOWIE",,,,,,,"MISS 3PTR by MEADOWS,HOWIE",1
--,"REBOUND OFF by BAILEY,JOEL",,,,,,,"REBOUND OFF by BAILEY,JOEL",1
13:28,"MISS LAYUP by BAILEY,JOEL",,,,,,,"MISS LAYUP by BAILEY,JOEL",1
--,,,,,"REBOUND DEF by HODGE,NILAN",,,"REBOUND DEF by HODGE,NILAN",1
13:18,"SUB IN by HIGH,JEULIAN",,,,,,,"SUB IN by HIGH,JEULIAN",1
13:18,"SUB IN by DAVIDSON,KASEEM",,,,,,,"SUB IN by DAVIDSON,KASEEM",1
13:18,"SUB OUT by BOYD,LAZERICK",,,,,,,"SUB OUT by BOYD,LAZERICK",1
13:18,"SUB OUT by CARSON,CODY",,,,,,,"SUB OUT by CARSON,CODY",1
13:18,,,,,"SUB IN by CALDWELL,MARCELLUS",,,"SUB IN by CALDWELL,MARCELLUS",1
13:18,,,,,"SUB OUT by BOULDIN,BRETT",,,"SUB OUT by BOULDIN,BRETT",1
12:53,,,,,"MISS LAYUP by HEATHERLY,GARRETT",,,"MISS LAYUP by HEATHERLY,GARRETT",1
--,,,,,"REBOUND OFF by BROWN,SETH",,,"REBOUND OFF by BROWN,SETH",1
12:50,,,,,"MISS JUMPER by BROWN,SETH",,,"MISS JUMPER by BROWN,SETH",1
--,,,,,"REBOUND OFF by BROWN,SETH",,,"REBOUND OFF by BROWN,SETH",1
12:45,,12,,13 (+1),"GOOD LAYUP by BROWN,SETH(in the paint)",SEWANEE 12-13 (+1),,"GOOD LAYUP by BROWN,SETH(in the paint)",1
12:26,"MISS JUMPER by DAVIDSON,KASEEM",,,,,,,"MISS JUMPER by DAVIDSON,KASEEM",1
--,"REBOUND OFF by MEADOWS,HOWIE",,,,,,,"REBOUND OFF by MEADOWS,HOWIE",1
12:20,"GOOD LAYUP by MEADOWS,HOWIE(in the paint)",14 (+1),,13,,HIWASSEE 14-13 (-1),,"GOOD LAYUP by MEADOWS,HOWIE(in the paint)",1
12:03,,14,,15 (+1),"GOOD LAYUP by HEATHERLY,GARRETT(in the paint)",SEWANEE 14-15 (+1),,"GOOD LAYUP by HEATHERLY,GARRETT(in the paint)",1
11:35,"TURNOVER  by HIGH,TSHOMBE",,,,,,,"TURNOVER  by HIGH,TSHOMBE",1
11:35,"SUB IN by BROWNER,JUSTIN",,,,,,,"SUB IN by BROWNER,JUSTIN",1
11:35,"SUB OUT by BAILEY,JOEL",,,,,,,"SUB OUT by BAILEY,JOEL",1
11:16,,,,,"MISS 3PTR by BORN,LEO",,,"MISS 3PTR by BORN,LEO",1
--,"REBOUND DEF by DAVIDSON,KASEEM",,,,,,,"REBOUND DEF by DAVIDSON,KASEEM",1
11:04,"MISS JUMPER by HIGH,JEULIAN",,,,,,,"MISS JUMPER by HIGH,JEULIAN",1
--,,,,,"REBOUND DEF by BROWN,SETH",,,"REBOUND DEF by BROWN,SETH",1
10:46,"SUB IN by BOYD,LAZERICK",,,,,,,"SUB IN by BOYD,LAZERICK",1
10:46,"SUB OUT by MEADOWS,HOWIE",,,,,,,"SUB OUT by MEADOWS,HOWIE",1
10:46,,,,,"SUB IN by DOWNEY,WILL",,,"SUB IN by DOWNEY,WILL",1
10:46,,,,,"SUB OUT by CALDWELL,MARCELLUS",,,"SUB OUT by CALDWELL,MARCELLUS",1
10:33,,14,,17 (+3),"GOOD LAYUP by BORN,LEO(in the paint)",SEWANEE 14-17 (+3),,"GOOD LAYUP by BORN,LEO(in the paint)",1
--,,,,,"ASSIST  by HODGE,NILAN",,,"ASSIST  by HODGE,NILAN",1
10:01,"TURNOVER  by DAVIDSON,KASEEM",,,,,,,"TURNOVER  by DAVIDSON,KASEEM",1
9:42,,14,,20 (+6),"GOOD 3PTR by BROWN,SETH",SEWANEE 14-20 (+6),,"GOOD 3PTR by BROWN,SETH",1
--,,,,,"ASSIST  by BORN,LEO",,,"ASSIST  by BORN,LEO",1
9:10,"MISS 3PTR by CARSON,CODY",,,,,,,"MISS 3PTR by CARSON,CODY",1
--,,,,,"REBOUND DEF by BROWN,SETH",,,"REBOUND DEF by BROWN,SETH",1
9:00,,,,,"MISS 3PTR by BROWN,SETH",,,"MISS 3PTR by BROWN,SETH",1
--,,,,,"REBOUND OFF by HEATHERLY,GARRETT",,,"REBOUND OFF by HEATHERLY,GARRETT",1
8:58,"FOUL  by BOYD,LAZERICK",,,,,,,"FOUL  by BOYD,LAZERICK",1
8:58,,14,,21 (+7),"GOOD FT by HEATHERLY,GARRETT",SEWANEE 14-21 (+7),,"GOOD FT by HEATHERLY,GARRETT",1
8:58,,,,,"MISS FT by HEATHERLY,GARRETT",,,"MISS FT by HEATHERLY,GARRETT",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
8:57,,14,,24 (+10),"GOOD 3PTR by AFFRONTI,LEWIS",SEWANEE 14-24 (+10),,"GOOD 3PTR by AFFRONTI,LEWIS",1
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",1
8:32,"GOOD LAYUP by GOLDEN,JEFF(in the paint)",16,,24 (+8),,HIWASSEE 16-24 (+8),,"GOOD LAYUP by GOLDEN,JEFF(in the paint)",1
--,"ASSIST  by BOYD,LAZERICK",,,,,,,"ASSIST  by BOYD,LAZERICK",1
8:13,,,,,"MISS JUMPER by CARTER,KESHONN",,,"MISS JUMPER by CARTER,KESHONN",1
--,"REBOUND DEF by BAILEY,JOEL",,,,,,,"REBOUND DEF by BAILEY,JOEL",1
7:58,"MISS JUMPER by CARSON,CODY",,,,,,,"MISS JUMPER by CARSON,CODY",1
--,,,,,"REBOUND DEF by CARTER,KESHONN",,,"REBOUND DEF by CARTER,KESHONN",1
7:57,"FOUL  by GOLDEN,JEFF",,,,,,,"FOUL  by GOLDEN,JEFF",1
7:37,,16,,26 (+10),"GOOD LAYUP by VEAL,ROBERT(in the paint)",SEWANEE 16-26 (+10),,"GOOD LAYUP by VEAL,ROBERT(in the paint)",1
--,,,,,"ASSIST  by AFFRONTI,LEWIS",,,"ASSIST  by AFFRONTI,LEWIS",1
7:22,"MISS JUMPER by BAILEY,JOEL",,,,,,,"MISS JUMPER by BAILEY,JOEL",1
--,"REBOUND OFF by BAILEY,JOEL",,,,,,,"REBOUND OFF by BAILEY,JOEL",1
7:19,"GOOD JUMPER by BAILEY,JOEL(in the paint)",18,,26 (+8),,HIWASSEE 18-26 (+8),,"GOOD JUMPER by BAILEY,JOEL(in the paint)",1
7:19,,,,,"FOUL  by VEAL,ROBERT",,,"FOUL  by VEAL,ROBERT",1
7:19,"MISS FT by BAILEY,JOEL",,,,,,,"MISS FT by BAILEY,JOEL",1
--,"REBOUND OFF by GOLDEN,JEFF",,,,,,,"REBOUND OFF by GOLDEN,JEFF",1
7:06,"TURNOVER  by GOLDEN,JEFF",,,,,,,"TURNOVER  by GOLDEN,JEFF",1
6:54,,,,,"TURNOVER  by HODGE,NILAN",,,"TURNOVER  by HODGE,NILAN",1
6:51,"STEAL  by DAVIDSON,KASEEM",,,,,,,"STEAL  by DAVIDSON,KASEEM",1
6:47,"GOOD LAYUP by DAVIDSON,KASEEM(in the paint)",20,,26 (+6),,HIWASSEE 20-26 (+6),,"GOOD LAYUP by DAVIDSON,KASEEM(in the paint)",1
6:37,,,,,"MISS JUMPER by BROWN,SETH",,,"MISS JUMPER by BROWN,SETH",1
--,,,,,"REBOUND OFF by BROWN,SETH",,,"REBOUND OFF by BROWN,SETH",1
6:34,,,,,"MISS 3PTR by AFFRONTI,LEWIS",,,"MISS 3PTR by AFFRONTI,LEWIS",1
--,"REBOUND DEF by BAILEY,JOEL",,,,,,,"REBOUND DEF by BAILEY,JOEL",1
6:32,,,,,"FOUL  by BOULDIN,BRETT",,,"FOUL  by BOULDIN,BRETT",1
6:08,,,,,"FOUL  by AFFRONTI,LEWIS",,,"FOUL  by AFFRONTI,LEWIS",1
6:08,"MISS FT by BOYD,LAZERICK",,,,,,,"MISS FT by BOYD,LAZERICK",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
6:08,"MISS FT by BOYD,LAZERICK",,,,,,,"MISS FT by BOYD,LAZERICK",1
--,,,,,"REBOUND DEF by BOULDIN,BRETT",,,"REBOUND DEF by BOULDIN,BRETT",1
5:54,,20,,29 (+9),"GOOD 3PTR by BOULDIN,BRETT",SEWANEE 20-29 (+9),,"GOOD 3PTR by BOULDIN,BRETT",1
--,,,,,"ASSIST  by AFFRONTI,LEWIS",,,"ASSIST  by AFFRONTI,LEWIS",1
5:36,"MISS LAYUP by BOYD,LAZERICK",,,,,,,"MISS LAYUP by BOYD,LAZERICK",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
5:26,"GOOD 3PTR by DAVIDSON,KASEEM",23,,29 (+6),,HIWASSEE 23-29 (+6),,"GOOD 3PTR by DAVIDSON,KASEEM",1
--,"ASSIST  by BOYD,LAZERICK",,,,,,,"ASSIST  by BOYD,LAZERICK",1
5:03,,,,,"MISS 3PTR by BOULDIN,BRETT",,,"MISS 3PTR by BOULDIN,BRETT",1
--,"REBOUND DEF by BAILEY,JOEL",,,,,,,"REBOUND DEF by BAILEY,JOEL",1
4:40,"GOOD JUMPER by BOYD,LAZERICK(in the paint)",25,,29 (+4),,HIWASSEE 25-29 (+4),,"GOOD JUMPER by BOYD,LAZERICK(in the paint)",1
4:40,,,,,"FOUL  by AFFRONTI,LEWIS",,,"FOUL  by AFFRONTI,LEWIS",1
4:40,"GOOD FT by BOYD,LAZERICK",26,,29 (+3),,HIWASSEE 26-29 (+3),,"GOOD FT by BOYD,LAZERICK",1
4:28,,26,,32 (+6),"GOOD 3PTR by BROWN,SETH",SEWANEE 26-32 (+6),,"GOOD 3PTR by BROWN,SETH",1
--,,,,,"ASSIST  by HEATHERLY,GARRETT",,,"ASSIST  by HEATHERLY,GARRETT",1
4:06,"MISS 3PTR by HIGH,TSHOMBE",,,,,,,"MISS 3PTR by HIGH,TSHOMBE",1
--,,,,,"REBOUND DEF by BRYANT,VALENTINO",,,"REBOUND DEF by BRYANT,VALENTINO",1
3:30,,,,,"MISS JUMPER by BRYANT,VALENTINO",,,"MISS JUMPER by BRYANT,VALENTINO",1
--,"REBOUND DEF by BOYD,LAZERICK",,,,,,,"REBOUND DEF by BOYD,LAZERICK",1
3:11,"MISS LAYUP by DAVIDSON,KASEEM",,,,,,,"MISS LAYUP by DAVIDSON,KASEEM",1
3:11,,,,,"BLOCK  by HEATHERLY,GARRETT",,,"BLOCK  by HEATHERLY,GARRETT",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
2:33,"MISS 3PTR by BROWNER,JUSTIN",,,,,,,"MISS 3PTR by BROWNER,JUSTIN",1
--,,,,,"REBOUND DEF by BROWN,SETH",,,"REBOUND DEF by BROWN,SETH",1
2:29,,,,,"MISS 3PTR by BORN,LEO",,,"MISS 3PTR by BORN,LEO",1
--,,,,,"REBOUND OFF by CARTER,KESHONN",,,"REBOUND OFF by CARTER,KESHONN",1
2:12,,,,,"MISS 3PTR by CALDWELL,MARCELLUS",,,"MISS 3PTR by CALDWELL,MARCELLUS",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
1:51,,,,,"MISS LAYUP by BRYANT,VALENTINO",,,"MISS LAYUP by BRYANT,VALENTINO",1
--,,,,,"REBOUND OFF by BRYANT,VALENTINO",,,"REBOUND OFF by BRYANT,VALENTINO",1
1:45,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
1:41,"FOUL  by BROWNER,JUSTIN",,,,,,,"FOUL  by BROWNER,JUSTIN",1
1:25,,26,,34 (+8),"GOOD JUMPER by BOULDIN,BRETT(in the paint)",SEWANEE 26-34 (+8),,"GOOD JUMPER by BOULDIN,BRETT(in the paint)",1
10:01,"SUB IN by GOLDEN,JEFF",,,,,,,"SUB IN by GOLDEN,JEFF",1
10:01,"SUB IN by CARSON,CODY",,,,,,,"SUB IN by CARSON,CODY",1
10:01,"SUB OUT by DAVIDSON,KASEEM",,,,,,,"SUB OUT by DAVIDSON,KASEEM",1
10:01,"SUB OUT by HIGH,JEULIAN",,,,,,,"SUB OUT by HIGH,JEULIAN",1
0:51,"TURNOVER  by HIGH,JEULIAN",,,,,,,"TURNOVER  by HIGH,JEULIAN",1
0:28,,,,,"TURNOVER  by CARTER,KESHONN",,,"TURNOVER  by CARTER,KESHONN",1
0:26,"STEAL  by BROWNER,JUSTIN",,,,,,,"STEAL  by BROWNER,JUSTIN",1
0:22,"MISS LAYUP by HIGH,JEULIAN",,,,,,,"MISS LAYUP by HIGH,JEULIAN",1
0:22,,,,,"BLOCK  by CARTER,KESHONN",,,"BLOCK  by CARTER,KESHONN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
0:00,"TURNOVER  by BROWNER,JUSTIN",,,,,,,"TURNOVER  by BROWNER,JUSTIN",1
0:00,,,,,"STEAL  by BRYANT,VALENTINO",,,"STEAL  by BRYANT,VALENTINO",1
08:58,"SUB IN by BAILEY,JOEL",,,,,,,"SUB IN by BAILEY,JOEL",1
08:58,"SUB OUT by HIGH,TSHOMBE",,,,,,,"SUB OUT by HIGH,TSHOMBE",1
08:58,,,,,"SUB IN by CARTER,KESHONN",,,"SUB IN by CARTER,KESHONN",1
08:58,,,,,"SUB IN by AFFRONTI,LEWIS",,,"SUB IN by AFFRONTI,LEWIS",1
08:58,,,,,"SUB IN by BROWN,TYLER",,,"SUB IN by BROWN,TYLER",1
08:58,,,,,"SUB IN by BRYANT,VALENTINO",,,"SUB IN by BRYANT,VALENTINO",1
08:58,,,,,"SUB IN by BOULDIN,BRETT",,,"SUB IN by BOULDIN,BRETT",1
08:58,,,,,"SUB IN by HEATHERLY,GARRETT",,,"SUB IN by HEATHERLY,GARRETT",1
08:58,,,,,"SUB OUT by HEATHERLY,GARRETT",,,"SUB OUT by HEATHERLY,GARRETT",1
08:58,,,,,SUB OUT by TEAM,,,SUB OUT by TEAM,1
08:58,,,,,"SUB OUT by HEATHERLY,GARRETT",,,"SUB OUT by HEATHERLY,GARRETT",1
08:58,,,,,"SUB OUT by BROWN,SETH",,,"SUB OUT by BROWN,SETH",1
08:58,,,,,"SUB OUT by BORN,LEO",,,"SUB OUT by BORN,LEO",1
08:58,,,,,"SUB OUT by DOWNEY,WILL",,,"SUB OUT by DOWNEY,WILL",1
08:58,,,,,"SUB OUT by HODGE,NILAN",,,"SUB OUT by HODGE,NILAN",1
07:57,"SUB IN by DAVIDSON,KASEEM",,,,,,,"SUB IN by DAVIDSON,KASEEM",1
07:57,"SUB OUT by CARSON,CODY",,,,,,,"SUB OUT by CARSON,CODY",1
07:57,,,,,"SUB IN by VEAL,ROBERT",,,"SUB IN by VEAL,ROBERT",1
07:57,,,,,"SUB OUT by CARTER,KESHONN",,,"SUB OUT by CARTER,KESHONN",1
07:19,,,,,"SUB IN by HODGE,NILAN",,,"SUB IN by HODGE,NILAN",1
07:19,,,,,"SUB OUT by BRYANT,VALENTINO",,,"SUB OUT by BRYANT,VALENTINO",1
07:06,"SUB IN by MEADOWS,HOWIE",,,,,,,"SUB IN by MEADOWS,HOWIE",1
07:06,"SUB OUT by GOLDEN,JEFF",,,,,,,"SUB OUT by GOLDEN,JEFF",1
06:44,,,,,"SUB IN by BROWN,SETH",,,"SUB IN by BROWN,SETH",1
06:44,,,,,"SUB OUT by BROWN,TYLER",,,"SUB OUT by BROWN,TYLER",1
05:34,"SUB IN by HIGH,TSHOMBE",,,,,,,"SUB IN by HIGH,TSHOMBE",1
05:34,"SUB OUT by MEADOWS,HOWIE",,,,,,,"SUB OUT by MEADOWS,HOWIE",1
04:40,"SUB IN by CARSON,CODY",,,,,,,"SUB IN by CARSON,CODY",1
04:40,"SUB OUT by BROWNER,JUSTIN",,,,,,,"SUB OUT by BROWNER,JUSTIN",1
04:40,,,,,"SUB IN by BROWN,SETH",,,"SUB IN by BROWN,SETH",1
04:40,,,,,"SUB IN by HEATHERLY,GARRETT",,,"SUB IN by HEATHERLY,GARRETT",1
04:40,,,,,"SUB IN by BORN,LEO",,,"SUB IN by BORN,LEO",1
04:40,,,,,"SUB IN by HODGE,NILAN",,,"SUB IN by HODGE,NILAN",1
04:40,,,,,"SUB IN by BRYANT,VALENTINO",,,"SUB IN by BRYANT,VALENTINO",1
04:40,,,,,"SUB OUT by HEATHERLY,GARRETT",,,"SUB OUT by HEATHERLY,GARRETT",1
04:40,,,,,"SUB OUT by AFFRONTI,LEWIS",,,"SUB OUT by AFFRONTI,LEWIS",1
04:40,,,,,"SUB OUT by BROWN,SETH",,,"SUB OUT by BROWN,SETH",1
04:40,,,,,"SUB OUT by VEAL,ROBERT",,,"SUB OUT by VEAL,ROBERT",1
04:40,,,,,"SUB OUT by BOULDIN,BRETT",,,"SUB OUT by BOULDIN,BRETT",1
04:40,,,,,"SUB OUT by HODGE,NILAN",,,"SUB OUT by HODGE,NILAN",1
02:51,,,,,"SUB IN by CARTER,KESHONN",,,"SUB IN by CARTER,KESHONN",1
02:51,,,,,"SUB IN by CALDWELL,MARCELLUS",,,"SUB IN by CALDWELL,MARCELLUS",1
02:51,,,,,"SUB OUT by BRYANT,VALENTINO",,,"SUB OUT by BRYANT,VALENTINO",1
02:51,,,,,"SUB OUT by HODGE,NILAN",,,"SUB OUT by HODGE,NILAN",1
02:36,"SUB IN by CARSON,CODY",,,,,,,"SUB IN by CARSON,CODY",1
02:36,"SUB IN by MEADOWS,HOWIE",,,,,,,"SUB IN by MEADOWS,HOWIE",1
02:36,"SUB IN by DAVIDSON,KASEEM",,,,,,,"SUB IN by DAVIDSON,KASEEM",1
02:36,"SUB IN by GOLDEN,JEFF",,,,,,,"SUB IN by GOLDEN,JEFF",1
02:36,"SUB IN by BROWNER,JUSTIN",,,,,,,"SUB IN by BROWNER,JUSTIN",1
02:36,SUB OUT by TEAM,,,,,,,SUB OUT by TEAM,1
02:36,"SUB OUT by BAILEY,JOEL",,,,,,,"SUB OUT by BAILEY,JOEL",1
02:36,"SUB OUT by DAVIDSON,KASEEM",,,,,,,"SUB OUT by DAVIDSON,KASEEM",1
02:36,"SUB OUT by BOYD,LAZERICK",,,,,,,"SUB OUT by BOYD,LAZERICK",1
02:36,"SUB OUT by CARSON,CODY",,,,,,,"SUB OUT by CARSON,CODY",1
02:36,"SUB OUT by HIGH,TSHOMBE",,,,,,,"SUB OUT by HIGH,TSHOMBE",1
02:08,"SUB IN by HIGH,JEULIAN",,,,,,,"SUB IN by HIGH,JEULIAN",1
02:08,"SUB OUT by DAVIDSON,KASEEM",,,,,,,"SUB OUT by DAVIDSON,KASEEM",1
02:08,,,,,"SUB IN by BROWN,TYLER",,,"SUB IN by BROWN,TYLER",1
02:08,,,,,"SUB OUT by BROWN,SETH",,,"SUB OUT by BROWN,SETH",1
01:04,,,,,"SUB IN by AFFRONTI,LEWIS",,,"SUB IN by AFFRONTI,LEWIS",1
01:04,,,,,"SUB OUT by CALDWELL,MARCELLUS",,,"SUB OUT by CALDWELL,MARCELLUS",1
00:19,"SUB IN by DAVIDSON,KASEEM",,,,,,,"SUB IN by DAVIDSON,KASEEM",1
00:19,"SUB IN by BAILEY,JOEL",,,,,,,"SUB IN by BAILEY,JOEL",1
00:19,"SUB OUT by MEADOWS,HOWIE",,,,,,,"SUB OUT by MEADOWS,HOWIE",1
00:19,"SUB OUT by HIGH,JEULIAN",,,,,,,"SUB OUT by HIGH,JEULIAN",1
19:31,"FOUL  by GOLDEN,JEFF",,,,,,,"FOUL  by GOLDEN,JEFF",2
19:30,,,,,"MISS FT by CARTER,KESHONN",,,"MISS FT by CARTER,KESHONN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
19:30,,26,,35 (+9),"GOOD FT by CARTER,KESHONN",SEWANEE 26-35 (+9),,"GOOD FT by CARTER,KESHONN",2
19:14,"TURNOVER  by BOYD,LAZERICK",,,,,,,"TURNOVER  by BOYD,LAZERICK",2
18:58,,,,,"MISS LAYUP by CARTER,KESHONN",,,"MISS LAYUP by CARTER,KESHONN",2
--,"REBOUND DEF by GOLDEN,JEFF",,,,,,,"REBOUND DEF by GOLDEN,JEFF",2
18:55,"TURNOVER  by BAILEY,JOEL",,,,,,,"TURNOVER  by BAILEY,JOEL",2
18:55,"SUB IN by DAVIDSON,KASEEM",,,,,,,"SUB IN by DAVIDSON,KASEEM",2
18:55,"SUB OUT by CARSON,CODY",,,,,,,"SUB OUT by CARSON,CODY",2
18:41,,,,,"MISS 3PTR by BRYANT,VALENTINO",,,"MISS 3PTR by BRYANT,VALENTINO",2
--,,,,,"REBOUND OFF by AFFRONTI,LEWIS",,,"REBOUND OFF by AFFRONTI,LEWIS",2
18:36,,,,,"MISS LAYUP by CARTER,KESHONN",,,"MISS LAYUP by CARTER,KESHONN",2
--,"REBOUND DEF by BOYD,LAZERICK",,,,,,,"REBOUND DEF by BOYD,LAZERICK",2
18:28,,,,,"FOUL  by BOULDIN,BRETT",,,"FOUL  by BOULDIN,BRETT",2
18:12,"MISS JUMPER by BAILEY,JOEL",,,,,,,"MISS JUMPER by BAILEY,JOEL",2
--,,,,,"REBOUND DEF by BROWN,TYLER",,,"REBOUND DEF by BROWN,TYLER",2
18:05,,,,,"MISS JUMPER by BRYANT,VALENTINO",,,"MISS JUMPER by BRYANT,VALENTINO",2
--,,,,,"REBOUND OFF by BROWN,TYLER",,,"REBOUND OFF by BROWN,TYLER",2
18:02,,26,,37 (+11),"GOOD LAYUP by BROWN,TYLER(in the paint)",SEWANEE 26-37 (+11),,"GOOD LAYUP by BROWN,TYLER(in the paint)",2
17:39,"MISS 3PTR by BROWNER,JUSTIN",,,,,,,"MISS 3PTR by BROWNER,JUSTIN",2
--,,,,,"REBOUND DEF by AFFRONTI,LEWIS",,,"REBOUND DEF by AFFRONTI,LEWIS",2
