Time Remaining,HENDRIX,Away Team Score,Play Team Indicator,Home Team Score,BERRY,Game Score,Team Indicator,Play,Period
06:37,"FOUL  by II,ROD CUMMINGS",,,,,,,"FOUL  by II,ROD CUMMINGS",1
06:37,,24 (+1),,23,"GOOD FT by JONES,DREW(fastbreak)",BERRY 24-23 (+1),,"GOOD FT by JONES,DREW(fastbreak)",1
06:37,,24,,24,"GOOD FT by JONES,DREW(fastbreak)",BERRY 24-24 (0),,"GOOD FT by JONES,DREW(fastbreak)",1
06:37,"SUB IN by RYAN,JONATHAN",,,,,,,"SUB IN by RYAN,JONATHAN",1
06:37,"SUB OUT by II,ROD CUMMINGS",,,,,,,"SUB OUT by II,ROD CUMMINGS",1
06:37,,,,,"SUB IN by ELLIS,CHASE",,,"SUB IN by ELLIS,CHASE",1
06:37,,,,,"SUB OUT by BROOKS,AUSTIN",,,"SUB OUT by BROOKS,AUSTIN",1
06:21,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",26 (+2),,24,,HENDRIX 26-24 (+2),,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",1
05:48,,,,,"MISS JUMPER by JOHNSON,MICAH",,,"MISS JUMPER by JOHNSON,MICAH",1
05:48,"BLOCK  by STANLEY,SETH",,,,,,,"BLOCK  by STANLEY,SETH",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
05:36,"GOOD JUMPER by STANLEY,SETH",28 (+4),,24,,HENDRIX 28-24 (+4),,"GOOD JUMPER by STANLEY,SETH",1
05:17,,,,,"MISS LAYUP by ELLIS,CHASE",,,"MISS LAYUP by ELLIS,CHASE",1
05:17,"BLOCK  by STANLEY,SETH",,,,,,,"BLOCK  by STANLEY,SETH",1
--,"REBOUND DEF by COMAN,SEAN",,,,,,,"REBOUND DEF by COMAN,SEAN",1
04:48,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND DEF by ELLIS,CHASE",,,"REBOUND DEF by ELLIS,CHASE",1
04:48,,,,,"SUB IN by JOHNSON,MICHAEL",,,"SUB IN by JOHNSON,MICHAEL",1
04:48,,,,,"SUB IN by ESTES,DJ",,,"SUB IN by ESTES,DJ",1
04:48,,,,,"SUB OUT by HONROTH,OWEN",,,"SUB OUT by HONROTH,OWEN",1
04:48,,,,,"SUB OUT by JOHNSON,MICAH",,,"SUB OUT by JOHNSON,MICAH",1
04:28,"SUB IN by MCMULLIN,COLTON",,,,,,,"SUB IN by MCMULLIN,COLTON",1
04:28,"SUB OUT by PARKS,JACKSON",,,,,,,"SUB OUT by PARKS,JACKSON",1
04:20,"FOUL  by DEITHLOFF,TYLER",,,,,,,"FOUL  by DEITHLOFF,TYLER",1
04:09,,28 (+2),,26,"GOOD JUMPER by JONES,DREW(in the paint)",BERRY 28-26 (+2),,"GOOD JUMPER by JONES,DREW(in the paint)",1
03:47,"MISS 3PTR by MCMULLIN,COLTON",,,,,,,"MISS 3PTR by MCMULLIN,COLTON",1
--,,,,,"REBOUND DEF by JOHNSON,MICHAEL",,,"REBOUND DEF by JOHNSON,MICHAEL",1
03:40,,28,,28,"GOOD LAYUP by ELLIS,CHASE(fastbreak)(in the paint)",BERRY 28-28 (0),,"GOOD LAYUP by ELLIS,CHASE(fastbreak)(in the paint)",1
03:18,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:18,"TURNOVER  by STANLEY,SETH",,,,,,,"TURNOVER  by STANLEY,SETH",1
03:18,"SUB IN by JOHNSON,DAMECKO",,,,,,,"SUB IN by JOHNSON,DAMECKO",1
03:18,"SUB IN by PARKS,JACKSON",,,,,,,"SUB IN by PARKS,JACKSON",1
03:18,"SUB OUT by RYAN,JONATHAN",,,,,,,"SUB OUT by RYAN,JONATHAN",1
03:18,"SUB OUT by MCMULLIN,COLTON",,,,,,,"SUB OUT by MCMULLIN,COLTON",1
03:18,,,,,"SUB IN by BROOKS,AUSTIN",,,"SUB IN by BROOKS,AUSTIN",1
03:18,,,,,"SUB OUT by JONES,DREW",,,"SUB OUT by JONES,DREW",1
03:06,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",1
03:06,"SUB OUT by PARKS,JACKSON",,,,,,,"SUB OUT by PARKS,JACKSON",1
03:01,,,,,"MISS 3PTR by MBENOUN,ROB",,,"MISS 3PTR by MBENOUN,ROB",1
--,"REBOUND DEF by CONRAD,ALEX",,,,,,,"REBOUND DEF by CONRAD,ALEX",1
02:46,,,,,"FOUL  by ELLIS,CHASE",,,"FOUL  by ELLIS,CHASE",1
02:35,"GOOD JUMPER by COMAN,SEAN",30 (+2),,28,,HENDRIX 30-28 (+2),,"GOOD JUMPER by COMAN,SEAN",1
02:20,,,,,"TURNOVER  by ELLIS,CHASE",,,"TURNOVER  by ELLIS,CHASE",1
02:20,"STEAL  by CONRAD,ALEX",,,,,,,"STEAL  by CONRAD,ALEX",1
02:08,"MISS LAYUP by CONRAD,ALEX",,,,,,,"MISS LAYUP by CONRAD,ALEX",1
02:08,,,,,"BLOCK  by BROOKS,AUSTIN",,,"BLOCK  by BROOKS,AUSTIN",1
--,,,,,"REBOUND DEF by BROOKS,AUSTIN",,,"REBOUND DEF by BROOKS,AUSTIN",1
01:59,,,,,"TURNOVER  by JOHNSON,MICHAEL",,,"TURNOVER  by JOHNSON,MICHAEL",1
01:59,,,,,"SUB IN by WEHUNT,DAWSON",,,"SUB IN by WEHUNT,DAWSON",1
01:59,,,,,"SUB IN by JOHNSON,MICAH",,,"SUB IN by JOHNSON,MICAH",1
01:59,,,,,"SUB IN by JONES,DREW",,,"SUB IN by JONES,DREW",1
01:59,,,,,"SUB OUT by ELLIS,CHASE",,,"SUB OUT by ELLIS,CHASE",1
01:59,,,,,"SUB OUT by JOHNSON,MICHAEL",,,"SUB OUT by JOHNSON,MICHAEL",1
01:59,,,,,"SUB OUT by ESTES,DJ",,,"SUB OUT by ESTES,DJ",1
01:42,"MISS LAYUP by CONRAD,ALEX",,,,,,,"MISS LAYUP by CONRAD,ALEX",1
--,"REBOUND OFF by CONRAD,ALEX",,,,,,,"REBOUND OFF by CONRAD,ALEX",1
01:30,"TURNOVER  by JOHNSON,DAMECKO",,,,,,,"TURNOVER  by JOHNSON,DAMECKO",1
01:30,,,,,"STEAL  by MBENOUN,ROB",,,"STEAL  by MBENOUN,ROB",1
01:24,,,,,"MISS LAYUP by JONES,DREW",,,"MISS LAYUP by JONES,DREW",1
--,"REBOUND DEF by COMAN,SEAN",,,,,,,"REBOUND DEF by COMAN,SEAN",1
01:18,,,,,"FOUL  by WEHUNT,DAWSON",,,"FOUL  by WEHUNT,DAWSON",1
01:18,"MISS FT by DEITHLOFF,TYLER",,,,,,,"MISS FT by DEITHLOFF,TYLER",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
01:18,"GOOD FT by DEITHLOFF,TYLER(fastbreak)",31 (+3),,28,,HENDRIX 31-28 (+3),,"GOOD FT by DEITHLOFF,TYLER(fastbreak)",1
01:03,"FOUL  by DEITHLOFF,TYLER",,,,,,,"FOUL  by DEITHLOFF,TYLER",1
01:03,,31 (+2),,29,"GOOD FT by JOHNSON,MICAH",BERRY 31-29 (+2),,"GOOD FT by JOHNSON,MICAH",1
01:03,,,,,"MISS FT by JOHNSON,MICAH",,,"MISS FT by JOHNSON,MICAH",1
--,,,,,"REBOUND OFF by BROOKS,AUSTIN",,,"REBOUND OFF by BROOKS,AUSTIN",1
01:03,"SUB IN by PHILLIP,ADAM",,,,,,,"SUB IN by PHILLIP,ADAM",1
01:03,"SUB OUT by DEITHLOFF,TYLER",,,,,,,"SUB OUT by DEITHLOFF,TYLER",1
01:01,,,,,"TURNOVER  by JOHNSON,MICAH",,,"TURNOVER  by JOHNSON,MICAH",1
00:50,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:50,"SUB IN by RYAN,JONATHAN",,,,,,,"SUB IN by RYAN,JONATHAN",1
00:50,"SUB OUT by JOHNSON,DAMECKO",,,,,,,"SUB OUT by JOHNSON,DAMECKO",1
00:44,"TURNOVER  by PHILLIP,ADAM",,,,,,,"TURNOVER  by PHILLIP,ADAM",1
00:44,,,,,"STEAL  by MBENOUN,ROB",,,"STEAL  by MBENOUN,ROB",1
00:22,,,,,"MISS LAYUP by BROOKS,AUSTIN",,,"MISS LAYUP by BROOKS,AUSTIN",1
--,,,,,"REBOUND OFF by BROOKS,AUSTIN",,,"REBOUND OFF by BROOKS,AUSTIN",1
00:20,"FOUL  by CONRAD,ALEX",,,,,,,"FOUL  by CONRAD,ALEX",1
00:20,,,,,"MISS FT by BROOKS,AUSTIN",,,"MISS FT by BROOKS,AUSTIN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
00:20,,,,,"MISS FT by BROOKS,AUSTIN",,,"MISS FT by BROOKS,AUSTIN",1
00:20,,,,,"SUB IN by KRUEGER,JORDAN",,,"SUB IN by KRUEGER,JORDAN",1
00:20,,,,,"SUB OUT by WEHUNT,DAWSON",,,"SUB OUT by WEHUNT,DAWSON",1
--,"REBOUND DEF by CONRAD,ALEX",,,,,,,"REBOUND DEF by CONRAD,ALEX",1
