Time Remaining,MILLSAPS,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
02:13,"SUB OUT by MILLER,JOSHUA",,,,,,,"SUB OUT by MILLER,JOSHUA",1
02:13,"SUB OUT by EVANS,CHRISTIAN",,,,,,,"SUB OUT by EVANS,CHRISTIAN",1
02:06,,,,,"TURNOVER  by II,ROD CUMMINGS",,,"TURNOVER  by II,ROD CUMMINGS",1
02:03,"STEAL  by BASS,XAVIER",,,,,,,"STEAL  by BASS,XAVIER",1
02:00,"MISS LAYUP by WILLIAMS,CAMERON",,,,,,,"MISS LAYUP by WILLIAMS,CAMERON",1
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1
01:55,,34 (+5),,29,"GOOD LAYUP by II,ROD CUMMINGS(fastbreak)(in the paint)",HENDRIX 34-29 (-5),,"GOOD LAYUP by II,ROD CUMMINGS(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by COMAN,SEAN",,,"ASSIST  by COMAN,SEAN",1
01:37,"GOOD JUMPER by WILLIAMS,CAMERON",36 (+7),,29,,MILLSAPS 36-29 (-7),,"GOOD JUMPER by WILLIAMS,CAMERON",1
--,"ASSIST  by RUCKER,CAM",,,,,,,"ASSIST  by RUCKER,CAM",1
01:26,,,,,"MISS 3PTR by II,ROD CUMMINGS",,,"MISS 3PTR by II,ROD CUMMINGS",1
--,"REBOUND DEF by WILLIAMS,CAMERON",,,,,,,"REBOUND DEF by WILLIAMS,CAMERON",1
01:09,"MISS LAYUP by RUCKER,CAM",,,,,,,"MISS LAYUP by RUCKER,CAM",1
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1
00:58,"FOUL  by WATSON,DOUG",,,,,,,"FOUL  by WATSON,DOUG",1
00:58,,,,,"MISS FT by COMAN,SEAN",,,"MISS FT by COMAN,SEAN",1
--,"REBOUND DEF by BASS,XAVIER",,,,,,,"REBOUND DEF by BASS,XAVIER",1
00:58,"SUB IN by HAUPT,KYLE",,,,,,,"SUB IN by HAUPT,KYLE",1
00:58,"SUB OUT by RUCKER,CAM",,,,,,,"SUB OUT by RUCKER,CAM",1
00:58,,,,,"SUB IN by PARKS,JACKSON",,,"SUB IN by PARKS,JACKSON",1
00:58,,,,,"SUB OUT by PHILLIP,ADAM",,,"SUB OUT by PHILLIP,ADAM",1
00:41,"MISS JUMPER by BASS,XAVIER",,,,,,,"MISS JUMPER by BASS,XAVIER",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
00:38,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:38,"TURNOVER  by WATSON,DOUG",,,,,,,"TURNOVER  by WATSON,DOUG",1
00:38,"SUB IN by BURNETT,DREW",,,,,,,"SUB IN by BURNETT,DREW",1
00:38,"SUB IN by GILLIHAN,NEWLON",,,,,,,"SUB IN by GILLIHAN,NEWLON",1
00:38,"SUB OUT by BUSH,RODREEKAS",,,,,,,"SUB OUT by BUSH,RODREEKAS",1
00:38,"SUB OUT by BASS,XAVIER",,,,,,,"SUB OUT by BASS,XAVIER",1
00:30,,,,,"STEAL  by PARKS,JACKSON",,,"STEAL  by PARKS,JACKSON",1
00:24,,36 (+5),,31,"GOOD LAYUP by PARKS,JACKSON(in the paint)",HENDRIX 36-31 (-5),,"GOOD LAYUP by PARKS,JACKSON(in the paint)",1
00:20,"MISS JUMPER by WILLIAMS,CAMERON",,,,,,,"MISS JUMPER by WILLIAMS,CAMERON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
19:50,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",2
--,"REBOUND DEF by WILLIAMS,CAMERON",,,,,,,"REBOUND DEF by WILLIAMS,CAMERON",2
19:26,"MISS 3PTR by WATSON,DOUG",,,,,,,"MISS 3PTR by WATSON,DOUG",2
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",2
19:06,,36 (+2),,34,"GOOD 3PTR by COMAN,SEAN",HENDRIX 36-34 (-2),,"GOOD 3PTR by COMAN,SEAN",2
18:45,"GOOD 3PTR by MILLER,JOSHUA",39 (+5),,34,,MILLSAPS 39-34 (-5),,"GOOD 3PTR by MILLER,JOSHUA",2
--,"ASSIST  by GILLIHAN,NEWLON",,,,,,,"ASSIST  by GILLIHAN,NEWLON",2
18:30,,,,,"MISS LAYUP by FITCH,CARL",,,"MISS LAYUP by FITCH,CARL",2
18:30,"BLOCK  by BURNETT,DREW",,,,,,,"BLOCK  by BURNETT,DREW",2
--,"REBOUND DEF by WATSON,DOUG",,,,,,,"REBOUND DEF by WATSON,DOUG",2
18:21,"MISS LAYUP by WATSON,DOUG",,,,,,,"MISS LAYUP by WATSON,DOUG",2
18:21,,,,,"BLOCK  by II,ROD CUMMINGS",,,"BLOCK  by II,ROD CUMMINGS",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
18:13,"GOOD 3PTR by WATSON,DOUG",42 (+8),,34,,MILLSAPS 42-34 (-8),,"GOOD 3PTR by WATSON,DOUG",2
--,"ASSIST  by WILLIAMS,CAMERON",,,,,,,"ASSIST  by WILLIAMS,CAMERON",2
17:54,"FOUL  by WATSON,DOUG",,,,,,,"FOUL  by WATSON,DOUG",2
17:39,,,,,"MISS LAYUP by FITCH,CARL",,,"MISS LAYUP by FITCH,CARL",2
--,,,,,"REBOUND OFF by FITCH,CARL",,,"REBOUND OFF by FITCH,CARL",2
17:35,,42 (+6),,36,"GOOD LAYUP by FITCH,CARL(in the paint)",HENDRIX 42-36 (-6),,"GOOD LAYUP by FITCH,CARL(in the paint)",2
17:22,"TURNOVER  by WILLIAMS,CAMERON",,,,,,,"TURNOVER  by WILLIAMS,CAMERON",2
17:21,,,,,"STEAL  by FITCH,CARL",,,"STEAL  by FITCH,CARL",2
16:56,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",2
--,"REBOUND DEF by GILLIHAN,NEWLON",,,,,,,"REBOUND DEF by GILLIHAN,NEWLON",2
16:54,"GOOD LAYUP by GILLIHAN,NEWLON(in the paint)",44 (+8),,36,,MILLSAPS 44-36 (-8),,"GOOD LAYUP by GILLIHAN,NEWLON(in the paint)",2
16:47,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
16:37,"SUB IN by BUSH,RODREEKAS",,,,,,,"SUB IN by BUSH,RODREEKAS",2
16:37,"SUB IN by RUCKER,CAM",,,,,,,"SUB IN by RUCKER,CAM",2
16:37,"SUB IN by EVANS,CHRISTIAN",,,,,,,"SUB IN by EVANS,CHRISTIAN",2
16:37,"SUB IN by BASS,XAVIER",,,,,,,"SUB IN by BASS,XAVIER",2
16:37,"SUB OUT by WATSON,DOUG",,,,,,,"SUB OUT by WATSON,DOUG",2
16:37,"SUB OUT by MILLER,JOSHUA",,,,,,,"SUB OUT by MILLER,JOSHUA",2
16:37,"SUB OUT by BURNETT,DREW",,,,,,,"SUB OUT by BURNETT,DREW",2
16:37,"SUB OUT by GILLIHAN,NEWLON",,,,,,,"SUB OUT by GILLIHAN,NEWLON",2
16:23,,44 (+6),,38,"GOOD LAYUP by STANLEY,SETH(in the paint)",HENDRIX 44-38 (-6),,"GOOD LAYUP by STANLEY,SETH(in the paint)",2
16:03,"TURNOVER  by EVANS,CHRISTIAN",,,,,,,"TURNOVER  by EVANS,CHRISTIAN",2
16:00,,,,,"STEAL  by FITCH,CARL",,,"STEAL  by FITCH,CARL",2
15:54,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",2
--,"REBOUND DEF by BASS,XAVIER",,,,,,,"REBOUND DEF by BASS,XAVIER",2
15:44,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",2
15:44,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:44,"SUB IN by BURNETT,DREW",,,,,,,"SUB IN by BURNETT,DREW",2
15:44,"SUB IN by GILLIHAN,NEWLON",,,,,,,"SUB IN by GILLIHAN,NEWLON",2
15:44,"SUB OUT by EVANS,CHRISTIAN",,,,,,,"SUB OUT by EVANS,CHRISTIAN",2
15:44,"SUB OUT by BASS,XAVIER",,,,,,,"SUB OUT by BASS,XAVIER",2
15:44,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",2
15:44,,,,,"SUB IN by PHILLIP,ADAM",,,"SUB IN by PHILLIP,ADAM",2
15:44,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",2
15:44,,,,,"SUB OUT by DEITHLOFF,TYLER",,,"SUB OUT by DEITHLOFF,TYLER",2
15:40,"MISS 3PTR by GILLIHAN,NEWLON",,,,,,,"MISS 3PTR by GILLIHAN,NEWLON",2
--,"REBOUND OFF by WILLIAMS,CAMERON",,,,,,,"REBOUND OFF by WILLIAMS,CAMERON",2
15:27,"MISS LAYUP by WILLIAMS,CAMERON",,,,,,,"MISS LAYUP by WILLIAMS,CAMERON",2
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",2
15:25,,,,,"TURNOVER  by COMAN,SEAN",,,"TURNOVER  by COMAN,SEAN",2
15:25,,,,,"SUB IN by PARKS,JACKSON",,,"SUB IN by PARKS,JACKSON",2
15:25,,,,,"SUB OUT by STANLEY,SETH",,,"SUB OUT by STANLEY,SETH",2
15:17,"GOOD JUMPER by BUSH,RODREEKAS(in the paint)",46 (+8),,38,,MILLSAPS 46-38 (-8),,"GOOD JUMPER by BUSH,RODREEKAS(in the paint)",2
15:02,,,,,"MISS JUMPER by II,ROD CUMMINGS",,,"MISS JUMPER by II,ROD CUMMINGS",2
--,"REBOUND DEF by WILLIAMS,CAMERON",,,,,,,"REBOUND DEF by WILLIAMS,CAMERON",2
14:54,"MISS LAYUP by RUCKER,CAM",,,,,,,"MISS LAYUP by RUCKER,CAM",2
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",2
14:40,,,,,"MISS LAYUP by PHILLIP,ADAM",,,"MISS LAYUP by PHILLIP,ADAM",2
--,"REBOUND DEF by HAUPT,KYLE",,,,,,,"REBOUND DEF by HAUPT,KYLE",2
14:40,"SUB IN by DIMITRIOS,DYLAN",,,,,,,"SUB IN by DIMITRIOS,DYLAN",2
14:40,"SUB OUT by WILLIAMS,CAMERON",,,,,,,"SUB OUT by WILLIAMS,CAMERON",2
14:24,"MISS 3PTR by RUCKER,CAM",,,,,,,"MISS 3PTR by RUCKER,CAM",2
--,,,,,"REBOUND DEF by PARKS,JACKSON",,,"REBOUND DEF by PARKS,JACKSON",2
14:09,"FOUL  by GILLIHAN,NEWLON",,,,,,,"FOUL  by GILLIHAN,NEWLON",2
14:09,,46 (+7),,39,"GOOD FT by PHILLIP,ADAM",HENDRIX 46-39 (-7),,"GOOD FT by PHILLIP,ADAM",2
14:09,,46 (+6),,40,"GOOD FT by PHILLIP,ADAM",HENDRIX 46-40 (-6),,"GOOD FT by PHILLIP,ADAM",2
14:09,"TURNOVER  by BUSH,RODREEKAS",,,,,,,"TURNOVER  by BUSH,RODREEKAS",2
14:09,,,,,"STEAL  by JOHNSON,DAMECKO",,,"STEAL  by JOHNSON,DAMECKO",2
14:09,,,,,"MISS LAYUP by JOHNSON,DAMECKO",,,"MISS LAYUP by JOHNSON,DAMECKO",2
--,"REBOUND DEF by BUSH,RODREEKAS",,,,,,,"REBOUND DEF by BUSH,RODREEKAS",2
14:09,,,,,"SUB IN by JOHNSON,DAMECKO",,,"SUB IN by JOHNSON,DAMECKO",2
14:09,,,,,"SUB IN by II,CRAIG COLLIER",,,"SUB IN by II,CRAIG COLLIER",2
14:09,,,,,"SUB OUT by II,ROD CUMMINGS",,,"SUB OUT by II,ROD CUMMINGS",2
14:09,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",2
13:22,"MISS JUMPER by BURNETT,DREW",,,,,,,"MISS JUMPER by BURNETT,DREW",2
--,,,,,"REBOUND DEF by JOHNSON,DAMECKO",,,"REBOUND DEF by JOHNSON,DAMECKO",2
13:14,"FOUL  by DIMITRIOS,DYLAN",,,,,,,"FOUL  by DIMITRIOS,DYLAN",2
13:14,"SUB IN by WATSON,DOUG",,,,,,,"SUB IN by WATSON,DOUG",2
13:14,"SUB IN by MILLER,JOSHUA",,,,,,,"SUB IN by MILLER,JOSHUA",2
13:14,"SUB OUT by BUSH,RODREEKAS",,,,,,,"SUB OUT by BUSH,RODREEKAS",2
13:14,"SUB OUT by RUCKER,CAM",,,,,,,"SUB OUT by RUCKER,CAM",2
13:11,,,,,"MISS LAYUP by CONRAD,ALEX",,,"MISS LAYUP by CONRAD,ALEX",2
--,"REBOUND DEF by BURNETT,DREW",,,,,,,"REBOUND DEF by BURNETT,DREW",2
12:54,"MISS 3PTR by MILLER,JOSHUA",,,,,,,"MISS 3PTR by MILLER,JOSHUA",2
--,,,,,"REBOUND DEF by PARKS,JACKSON",,,"REBOUND DEF by PARKS,JACKSON",2
12:27,,46 (+4),,42,"GOOD LAYUP by JOHNSON,DAMECKO(in the paint)",HENDRIX 46-42 (-4),,"GOOD LAYUP by JOHNSON,DAMECKO(in the paint)",2
--,,,,,"ASSIST  by PHILLIP,ADAM",,,"ASSIST  by PHILLIP,ADAM",2
12:19,"FOUL  by WATSON,DOUG",,,,,,,"FOUL  by WATSON,DOUG",2
12:19,"TURNOVER  by WATSON,DOUG",,,,,,,"TURNOVER  by WATSON,DOUG",2
12:19,"SUB IN by WILLIAMS,CAMERON",,,,,,,"SUB IN by WILLIAMS,CAMERON",2
12:19,"SUB OUT by DIMITRIOS,DYLAN",,,,,,,"SUB OUT by DIMITRIOS,DYLAN",2
12:09,,46 (+2),,44,"GOOD JUMPER by II,CRAIG COLLIER",HENDRIX 46-44 (-2),,"GOOD JUMPER by II,CRAIG COLLIER",2
11:46,"FOUL  by GILLIHAN,NEWLON",,,,,,,"FOUL  by GILLIHAN,NEWLON",2
11:46,"TURNOVER  by GILLIHAN,NEWLON",,,,,,,"TURNOVER  by GILLIHAN,NEWLON",2
11:46,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
11:31,,,,,"MISS 3PTR by PHILLIP,ADAM",,,"MISS 3PTR by PHILLIP,ADAM",2
--,"REBOUND DEF by WILLIAMS,CAMERON",,,,,,,"REBOUND DEF by WILLIAMS,CAMERON",2
11:12,"GOOD 3PTR by BURNETT,DREW",49 (+5),,44,,MILLSAPS 49-44 (-5),,"GOOD 3PTR by BURNETT,DREW",2
10:57,,49 (+3),,46,"GOOD JUMPER by II,CRAIG COLLIER(in the paint)",HENDRIX 49-46 (-3),,"GOOD JUMPER by II,CRAIG COLLIER(in the paint)",2
10:50,"TURNOVER  by MILLER,JOSHUA",,,,,,,"TURNOVER  by MILLER,JOSHUA",2
10:42,,,,,"MISS JUMPER by II,CRAIG COLLIER",,,"MISS JUMPER by II,CRAIG COLLIER",2
--,"REBOUND DEF by BURNETT,DREW",,,,,,,"REBOUND DEF by BURNETT,DREW",2
10:33,"TURNOVER  by WATSON,DOUG",,,,,,,"TURNOVER  by WATSON,DOUG",2
10:31,,,,,"STEAL  by II,CRAIG COLLIER",,,"STEAL  by II,CRAIG COLLIER",2
10:19,,,,,"MISS 3PTR by PHILLIP,ADAM",,,"MISS 3PTR by PHILLIP,ADAM",2
--,"REBOUND DEF by WILLIAMS,CAMERON",,,,,,,"REBOUND DEF by WILLIAMS,CAMERON",2
10:09,"TURNOVER  by WILLIAMS,CAMERON",,,,,,,"TURNOVER  by WILLIAMS,CAMERON",2
10:09,"SUB IN by RUCKER,CAM",,,,,,,"SUB IN by RUCKER,CAM",2
10:09,"SUB OUT by WILLIAMS,CAMERON",,,,,,,"SUB OUT by WILLIAMS,CAMERON",2
09:56,,,,,"MISS JUMPER by PARKS,JACKSON",,,"MISS JUMPER by PARKS,JACKSON",2
--,"REBOUND DEF by MILLER,JOSHUA",,,,,,,"REBOUND DEF by MILLER,JOSHUA",2
09:41,"MISS 3PTR by BURNETT,DREW",,,,,,,"MISS 3PTR by BURNETT,DREW",2
--,,,,,"REBOUND DEF by PARKS,JACKSON",,,"REBOUND DEF by PARKS,JACKSON",2
09:27,,,,,"MISS LAYUP by CONRAD,ALEX",,,"MISS LAYUP by CONRAD,ALEX",2
--,"REBOUND DEF by MILLER,JOSHUA",,,,,,,"REBOUND DEF by MILLER,JOSHUA",2
09:20,,,,,"FOUL  by PARKS,JACKSON",,,"FOUL  by PARKS,JACKSON",2
09:20,"GOOD FT by MILLER,JOSHUA",50 (+4),,46,,MILLSAPS 50-46 (-4),,"GOOD FT by MILLER,JOSHUA",2
09:20,"GOOD FT by MILLER,JOSHUA",51 (+5),,46,,MILLSAPS 51-46 (-5),,"GOOD FT by MILLER,JOSHUA",2
09:20,"SUB IN by BASS,XAVIER",,,,,,,"SUB IN by BASS,XAVIER",2
09:20,"SUB IN by WILLIAMS,CAMERON",,,,,,,"SUB IN by WILLIAMS,CAMERON",2
09:20,"SUB OUT by MILLER,JOSHUA",,,,,,,"SUB OUT by MILLER,JOSHUA",2
09:20,"SUB OUT by GILLIHAN,NEWLON",,,,,,,"SUB OUT by GILLIHAN,NEWLON",2
09:20,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",2
09:20,,,,,"SUB IN by II,ROD CUMMINGS",,,"SUB IN by II,ROD CUMMINGS",2
09:20,,,,,"SUB IN by STANLEY,SETH",,,"SUB IN by STANLEY,SETH",2
09:20,,,,,"SUB IN by COMAN,SEAN",,,"SUB IN by COMAN,SEAN",2
09:20,,,,,"SUB OUT by JOHNSON,DAMECKO",,,"SUB OUT by JOHNSON,DAMECKO",2
09:20,,,,,"SUB OUT by II,CRAIG COLLIER",,,"SUB OUT by II,CRAIG COLLIER",2
09:20,,,,,"SUB OUT by CONRAD,ALEX",,,"SUB OUT by CONRAD,ALEX",2
09:20,,,,,"SUB OUT by PHILLIP,ADAM",,,"SUB OUT by PHILLIP,ADAM",2
08:54,,,,,"MISS JUMPER by PARKS,JACKSON",,,"MISS JUMPER by PARKS,JACKSON",2
--,"REBOUND DEF by WILLIAMS,CAMERON",,,,,,,"REBOUND DEF by WILLIAMS,CAMERON",2
08:45,"MISS JUMPER by WILLIAMS,CAMERON",,,,,,,"MISS JUMPER by WILLIAMS,CAMERON",2
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",2
08:33,,51 (+3),,48,"GOOD JUMPER by STANLEY,SETH(in the paint)",HENDRIX 51-48 (-3),,"GOOD JUMPER by STANLEY,SETH(in the paint)",2
08:12,"GOOD 3PTR by WATSON,DOUG",54 (+6),,48,,MILLSAPS 54-48 (-6),,"GOOD 3PTR by WATSON,DOUG",2
08:01,,54 (+4),,50,"GOOD JUMPER by II,ROD CUMMINGS(in the paint)",HENDRIX 54-50 (-4),,"GOOD JUMPER by II,ROD CUMMINGS(in the paint)",2
07:51,"GOOD 3PTR by RUCKER,CAM",57 (+7),,50,,MILLSAPS 57-50 (-7),,"GOOD 3PTR by RUCKER,CAM",2
07:39,,,,,"MISS JUMPER by II,ROD CUMMINGS",,,"MISS JUMPER by II,ROD CUMMINGS",2
--,,,,,"REBOUND OFF by II,ROD CUMMINGS",,,"REBOUND OFF by II,ROD CUMMINGS",2
07:31,,57 (+4),,53,"GOOD 3PTR by COMAN,SEAN",HENDRIX 57-53 (-4),,"GOOD 3PTR by COMAN,SEAN",2
--,,,,,"ASSIST  by STANLEY,SETH",,,"ASSIST  by STANLEY,SETH",2
07:22,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
07:22,"SUB IN by MILLER,JOSHUA",,,,,,,"SUB IN by MILLER,JOSHUA",2
07:22,"SUB IN by BUSH,RODREEKAS",,,,,,,"SUB IN by BUSH,RODREEKAS",2
07:22,"SUB OUT by BURNETT,DREW",,,,,,,"SUB OUT by BURNETT,DREW",2
07:22,"SUB OUT by WILLIAMS,CAMERON",,,,,,,"SUB OUT by WILLIAMS,CAMERON",2
07:09,"MISS 3PTR by BUSH,RODREEKAS",,,,,,,"MISS 3PTR by BUSH,RODREEKAS",2
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",2
06:59,,,,,"TURNOVER  by PARKS,JACKSON",,,"TURNOVER  by PARKS,JACKSON",2
06:56,"STEAL  by MILLER,JOSHUA",,,,,,,"STEAL  by MILLER,JOSHUA",2
06:56,,,,,"FOUL  by PARKS,JACKSON",,,"FOUL  by PARKS,JACKSON",2
06:39,"MISS 3PTR by MILLER,JOSHUA",,,,,,,"MISS 3PTR by MILLER,JOSHUA",2
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",2
06:28,,57 (+2),,55,"GOOD JUMPER by II,ROD CUMMINGS",HENDRIX 57-55 (-2),,"GOOD JUMPER by II,ROD CUMMINGS",2
06:14,"MISS LAYUP by RUCKER,CAM",,,,,,,"MISS LAYUP by RUCKER,CAM",2
--,,,,,"REBOUND DEF by PARKS,JACKSON",,,"REBOUND DEF by PARKS,JACKSON",2
06:07,,,,,"MISS LAYUP by II,ROD CUMMINGS",,,"MISS LAYUP by II,ROD CUMMINGS",2
06:07,"BLOCK  by BASS,XAVIER",,,,,,,"BLOCK  by BASS,XAVIER",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
06:01,"SUB IN by BURNETT,DREW",,,,,,,"SUB IN by BURNETT,DREW",2
06:01,"SUB IN by GILLIHAN,NEWLON",,,,,,,"SUB IN by GILLIHAN,NEWLON",2
06:01,"SUB OUT by BASS,XAVIER",,,,,,,"SUB OUT by BASS,XAVIER",2
06:01,"SUB OUT by BUSH,RODREEKAS",,,,,,,"SUB OUT by BUSH,RODREEKAS",2
06:01,,,,,"SUB IN by DEITHLOFF,TYLER",,,"SUB IN by DEITHLOFF,TYLER",2
06:01,,,,,"SUB OUT by PARKS,JACKSON",,,"SUB OUT by PARKS,JACKSON",2
06:00,,,,,"TURNOVER  by II,ROD CUMMINGS",,,"TURNOVER  by II,ROD CUMMINGS",2
06:00,"STEAL  by WATSON,DOUG",,,,,,,"STEAL  by WATSON,DOUG",2
06:00,,,,,"FOUL  by COMAN,SEAN",,,"FOUL  by COMAN,SEAN",2
05:58,"GOOD LAYUP by WATSON,DOUG(in the paint)",59 (+4),,55,,MILLSAPS 59-55 (-4),,"GOOD LAYUP by WATSON,DOUG(in the paint)",2
05:46,,,,,"TURNOVER  by DEITHLOFF,TYLER",,,"TURNOVER  by DEITHLOFF,TYLER",2
05:23,"GOOD JUMPER by RUCKER,CAM(in the paint)",61 (+6),,55,,MILLSAPS 61-55 (-6),,"GOOD JUMPER by RUCKER,CAM(in the paint)",2
04:50,"FOUL  by RUCKER,CAM",,,,,,,"FOUL  by RUCKER,CAM",2
04:50,,61 (+5),,56,"GOOD FT by II,ROD CUMMINGS",HENDRIX 61-56 (-5),,"GOOD FT by II,ROD CUMMINGS",2
04:50,,,,,"MISS FT by II,ROD CUMMINGS",,,"MISS FT by II,ROD CUMMINGS",2
--,"REBOUND DEF by BURNETT,DREW",,,,,,,"REBOUND DEF by BURNETT,DREW",2
04:40,"MISS 3PTR by RUCKER,CAM",,,,,,,"MISS 3PTR by RUCKER,CAM",2
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",2
04:31,,61 (+2),,59,"GOOD 3PTR by DEITHLOFF,TYLER",HENDRIX 61-59 (-2),,"GOOD 3PTR by DEITHLOFF,TYLER",2
--,,,,,"ASSIST  by COMAN,SEAN",,,"ASSIST  by COMAN,SEAN",2
04:14,"TURNOVER  by WATSON,DOUG",,,,,,,"TURNOVER  by WATSON,DOUG",2
04:12,,,,,"STEAL  by FITCH,CARL",,,"STEAL  by FITCH,CARL",2
04:08,,,,,"TURNOVER  by COMAN,SEAN",,,"TURNOVER  by COMAN,SEAN",2
04:04,"STEAL  by GILLIHAN,NEWLON",,,,,,,"STEAL  by GILLIHAN,NEWLON",2
03:46,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
03:46,,,,,"FOUL  by STANLEY,SETH",,,"FOUL  by STANLEY,SETH",2
03:46,"MISS FT by MILLER,JOSHUA",,,,,,,"MISS FT by MILLER,JOSHUA",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
03:46,"MISS FT by MILLER,JOSHUA",,,,,,,"MISS FT by MILLER,JOSHUA",2
--,,,,,"REBOUND DEF by DEITHLOFF,TYLER",,,"REBOUND DEF by DEITHLOFF,TYLER",2
03:46,"SUB IN by WILLIAMS,CAMERON",,,,,,,"SUB IN by WILLIAMS,CAMERON",2
03:46,"SUB OUT by BURNETT,DREW",,,,,,,"SUB OUT by BURNETT,DREW",2
03:34,"FOUL  by RUCKER,CAM",,,,,,,"FOUL  by RUCKER,CAM",2
03:34,,61 (+1),,60,"GOOD FT by FITCH,CARL",HENDRIX 61-60 (-1),,"GOOD FT by FITCH,CARL",2
03:34,,,,,"MISS FT by FITCH,CARL",,,"MISS FT by FITCH,CARL",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
03:06,"GOOD 3PTR by GILLIHAN,NEWLON",64 (+4),,60,,MILLSAPS 64-60 (-4),,"GOOD 3PTR by GILLIHAN,NEWLON",2
--,"ASSIST  by WILLIAMS,CAMERON",,,,,,,"ASSIST  by WILLIAMS,CAMERON",2
02:48,,64 (+2),,62,"GOOD LAYUP by FITCH,CARL(in the paint)",HENDRIX 64-62 (-2),,"GOOD LAYUP by FITCH,CARL(in the paint)",2
02:31,"MISS 3PTR by WATSON,DOUG",,,,,,,"MISS 3PTR by WATSON,DOUG",2
--,,,,,"REBOUND DEF by DEITHLOFF,TYLER",,,"REBOUND DEF by DEITHLOFF,TYLER",2
02:18,,64,,65 (+1),"GOOD 3PTR by DEITHLOFF,TYLER",HENDRIX 64-65 (+1),,"GOOD 3PTR by DEITHLOFF,TYLER",2
--,,,,,"ASSIST  by COMAN,SEAN",,,"ASSIST  by COMAN,SEAN",2
01:52,"MISS 3PTR by WILLIAMS,CAMERON",,,,,,,"MISS 3PTR by WILLIAMS,CAMERON",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
01:37,,,,,"FOUL  by STANLEY,SETH",,,"FOUL  by STANLEY,SETH",2
01:37,"GOOD FT by RUCKER,CAM",65,,65,,MILLSAPS 65-65 (0),,"GOOD FT by RUCKER,CAM",2
01:37,"GOOD FT by RUCKER,CAM",66 (+1),,65,,MILLSAPS 66-65 (-1),,"GOOD FT by RUCKER,CAM",2
01:37,"SUB IN by BURNETT,DREW",,,,,,,"SUB IN by BURNETT,DREW",2
01:37,"SUB OUT by WATSON,DOUG",,,,,,,"SUB OUT by WATSON,DOUG",2
01:33,,66,,68 (+2),"GOOD 3PTR by COMAN,SEAN",HENDRIX 66-68 (+2),,"GOOD 3PTR by COMAN,SEAN",2
--,,,,,"ASSIST  by STANLEY,SETH",,,"ASSIST  by STANLEY,SETH",2
01:23,"TURNOVER  by MILLER,JOSHUA",,,,,,,"TURNOVER  by MILLER,JOSHUA",2
00:56,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",2
--,"REBOUND DEF by MILLER,JOSHUA",,,,,,,"REBOUND DEF by MILLER,JOSHUA",2
