Time Remaining,FCM13,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
15:58,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",1
15:58,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
15:58,,,,,"SUB OUT by ELLIS,BRYON",,,"SUB OUT by ELLIS,BRYON",1
15:43,,,,,"FOUL  by TAYLOR,CHRIS",,,"FOUL  by TAYLOR,CHRIS",1
15:43,"GOOD FT by SMITH,DION",7,,8 (+1),,FCM13 7-8 (+1),,"GOOD FT by SMITH,DION",1
15:43,"GOOD FT by SMITH,DION",8,,8,,FCM13 8-8 (0),,"GOOD FT by SMITH,DION",1
15:30,"FOUL  by SMITH,DION",,,,,,,"FOUL  by SMITH,DION",1
15:30,,,,,"MISS FT by LOPEZ,COLLIN",,,"MISS FT by LOPEZ,COLLIN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
15:30,,8,,9 (+1),"GOOD FT by LOPEZ,COLLIN",CENTRE_M 8-9 (+1),,"GOOD FT by LOPEZ,COLLIN",1
15:19,"MISS 3PTR by HOWARD,BAILEY",,,,,,,"MISS 3PTR by HOWARD,BAILEY",1
--,,,,,"REBOUND DEF by TAYLOR,CHRIS",,,"REBOUND DEF by TAYLOR,CHRIS",1
15:01,,8,,11 (+3),"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",CENTRE_M 8-11 (+3),,"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",1
14:50,"TURNOVER  by HOWARD,BAILEY",,,,,,,"TURNOVER  by HOWARD,BAILEY",1
14:48,,,,,"STEAL  by TAYLOR,CHRIS",,,"STEAL  by TAYLOR,CHRIS",1
14:43,,,,,"TURNOVER  by WHITESIDE,DONOVAN",,,"TURNOVER  by WHITESIDE,DONOVAN",1
14:42,"STEAL  by BARTON,JT",,,,,,,"STEAL  by BARTON,JT",1
14:38,"TURNOVER  by BARTON,JT",,,,,,,"TURNOVER  by BARTON,JT",1
14:38,,,,,"SUB IN by ELLIS,BRYON",,,"SUB IN by ELLIS,BRYON",1
14:38,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",1
14:27,,8,,13 (+5),"GOOD LAYUP by ELLIS,BRYON(in the paint)",CENTRE_M 8-13 (+5),,"GOOD LAYUP by ELLIS,BRYON(in the paint)",1
14:02,"MISS LAYUP by BARTON,JT",,,,,,,"MISS LAYUP by BARTON,JT",1
14:02,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by TAYLOR,CHRIS",,,"REBOUND DEF by TAYLOR,CHRIS",1
13:55,,,,,"TURNOVER  by LOPEZ,COLLIN",,,"TURNOVER  by LOPEZ,COLLIN",1
13:54,"STEAL  by SMITH,DION",,,,,,,"STEAL  by SMITH,DION",1
13:50,"MISS LAYUP by ERWIN,GUNNER",,,,,,,"MISS LAYUP by ERWIN,GUNNER",1
13:50,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
13:41,,,,,"MISS LAYUP by SCINTA,BLAKE",,,"MISS LAYUP by SCINTA,BLAKE",1
13:41,"BLOCK  by ERWIN,GUNNER",,,,,,,"BLOCK  by ERWIN,GUNNER",1
--,,,,,"REBOUND OFF by SCINTA,BLAKE",,,"REBOUND OFF by SCINTA,BLAKE",1
13:29,"SUB IN by ELLIS,PATRICK",,,,,,,"SUB IN by ELLIS,PATRICK",1
13:29,"SUB IN by KWIATKOWSKI,MARK",,,,,,,"SUB IN by KWIATKOWSKI,MARK",1
13:29,"SUB OUT by SARGENT,TERRY",,,,,,,"SUB OUT by SARGENT,TERRY",1
13:29,"SUB OUT by PORTER,TROY",,,,,,,"SUB OUT by PORTER,TROY",1
13:29,,,,,"SUB IN by NEWSOME,TAYLOR",,,"SUB IN by NEWSOME,TAYLOR",1
13:29,,,,,"SUB IN by GRIGGS,MATT",,,"SUB IN by GRIGGS,MATT",1
13:29,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
13:29,,,,,"SUB OUT by TAYLOR,CHRIS",,,"SUB OUT by TAYLOR,CHRIS",1
13:19,,,,,"MISS 3PTR by LOPEZ,COLLIN",,,"MISS 3PTR by LOPEZ,COLLIN",1
--,"REBOUND DEF by ERWIN,GUNNER",,,,,,,"REBOUND DEF by ERWIN,GUNNER",1
13:12,"GOOD 3PTR by HOWARD,BAILEY",11,,13 (+2),,FCM13 11-13 (+2),,"GOOD 3PTR by HOWARD,BAILEY",1
12:32,,11,,15 (+4),"GOOD JUMPER by GRIGGS,MATT",CENTRE_M 11-15 (+4),,"GOOD JUMPER by GRIGGS,MATT",1
12:16,,,,,"FOUL  by SCINTA,BLAKE",,,"FOUL  by SCINTA,BLAKE",1
12:16,"SUB IN by PORTER,TROY",,,,,,,"SUB IN by PORTER,TROY",1
12:16,"SUB OUT by ERWIN,GUNNER",,,,,,,"SUB OUT by ERWIN,GUNNER",1
12:05,"MISS LAYUP by SMITH,DION",,,,,,,"MISS LAYUP by SMITH,DION",1
12:05,,,,,"BLOCK  by SCINTA,BLAKE",,,"BLOCK  by SCINTA,BLAKE",1
--,"REBOUND OFF by SMITH,DION",,,,,,,"REBOUND OFF by SMITH,DION",1
12:00,"GOOD LAYUP by SMITH,DION(in the paint)",13,,15 (+2),,FCM13 13-15 (+2),,"GOOD LAYUP by SMITH,DION(in the paint)",1
11:40,,13,,17 (+4),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE_M 13-17 (+4),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
11:40,"FOUL  by SMITH,DION",,,,,,,"FOUL  by SMITH,DION",1
11:40,,13,,18 (+5),"GOOD FT by SCINTA,BLAKE",CENTRE_M 13-18 (+5),,"GOOD FT by SCINTA,BLAKE",1
11:40,"SUB IN by ERWIN,GUNNER",,,,,,,"SUB IN by ERWIN,GUNNER",1
11:40,"SUB IN by BARTON,JT",,,,,,,"SUB IN by BARTON,JT",1
11:40,"SUB OUT by SMITH,DION",,,,,,,"SUB OUT by SMITH,DION",1
11:40,"SUB OUT by PORTER,TROY",,,,,,,"SUB OUT by PORTER,TROY",1
11:40,,,,,"SUB IN by SAGRAVES,AUSTIN",,,"SUB IN by SAGRAVES,AUSTIN",1
11:40,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
11:40,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
11:40,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",1
11:21,"MISS 3PTR by ERWIN,GUNNER",,,,,,,"MISS 3PTR by ERWIN,GUNNER",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
10:55,,,,,"FOUL  by SAGRAVES,AUSTIN",,,"FOUL  by SAGRAVES,AUSTIN",1
10:55,,,,,"TURNOVER  by SAGRAVES,AUSTIN",,,"TURNOVER  by SAGRAVES,AUSTIN",1
10:45,"MISS LAYUP by KWIATKOWSKI,MARK",,,,,,,"MISS LAYUP by KWIATKOWSKI,MARK",1
10:45,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by NEWSOME,TAYLOR",,,"REBOUND DEF by NEWSOME,TAYLOR",1
10:39,,,,,"TURNOVER  by NEWSOME,TAYLOR",,,"TURNOVER  by NEWSOME,TAYLOR",1
10:38,"STEAL  by BARTON,JT",,,,,,,"STEAL  by BARTON,JT",1
10:34,"GOOD LAYUP by BARTON,JT(in the paint)",15,,18 (+3),,FCM13 15-18 (+3),,"GOOD LAYUP by BARTON,JT(in the paint)",1
--,"ASSIST  by HOWARD,BAILEY",,,,,,,"ASSIST  by HOWARD,BAILEY",1
09:55,,,,,"TURNOVER  by SAGRAVES,AUSTIN",,,"TURNOVER  by SAGRAVES,AUSTIN",1
09:55,"SUB IN by PORTER,TROY",,,,,,,"SUB IN by PORTER,TROY",1
09:55,"SUB OUT by HOWARD,BAILEY",,,,,,,"SUB OUT by HOWARD,BAILEY",1
09:55,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
09:55,,,,,"SUB OUT by NEWSOME,TAYLOR",,,"SUB OUT by NEWSOME,TAYLOR",1
09:31,"GOOD 3PTR by PORTER,TROY",18,,18,,FCM13 18-18 (0),,"GOOD 3PTR by PORTER,TROY",1
--,"ASSIST  by BARTON,JT",,,,,,,"ASSIST  by BARTON,JT",1
09:01,"FOUL  by PORTER,TROY",,,,,,,"FOUL  by PORTER,TROY",1
09:01,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",1
09:01,,,,,"SUB IN by WHITESIDE,DONOVAN",,,"SUB IN by WHITESIDE,DONOVAN",1
09:01,,,,,"SUB IN by TAYLOR,CHRIS",,,"SUB IN by TAYLOR,CHRIS",1
09:01,,,,,"SUB OUT by SAGRAVES,AUSTIN",,,"SUB OUT by SAGRAVES,AUSTIN",1
09:01,,,,,"SUB OUT by ELLIS,BRYON",,,"SUB OUT by ELLIS,BRYON",1
09:01,,,,,"SUB OUT by GRIGGS,MATT",,,"SUB OUT by GRIGGS,MATT",1
08:52,,18,,20 (+2),"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",CENTRE_M 18-20 (+2),,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",1
--,,,,,"ASSIST  by WESLEY,TYLER",,,"ASSIST  by WESLEY,TYLER",1
08:30,"MISS LAYUP by BARTON,JT",,,,,,,"MISS LAYUP by BARTON,JT",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
08:12,,18,,22 (+4),"GOOD LAYUP by WESLEY,TYLER(in the paint)",CENTRE_M 18-22 (+4),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
--,,,,,"ASSIST  by WHITESIDE,DONOVAN",,,"ASSIST  by WHITESIDE,DONOVAN",1
08:03,"GOOD 3PTR by BARTON,JT",21,,22 (+1),,FCM13 21-22 (+1),,"GOOD 3PTR by BARTON,JT",1
--,"ASSIST  by KWIATKOWSKI,MARK",,,,,,,"ASSIST  by KWIATKOWSKI,MARK",1
07:33,,,,,"MISS LAYUP by LOPEZ,COLLIN",,,"MISS LAYUP by LOPEZ,COLLIN",1
07:33,"BLOCK  by KWIATKOWSKI,MARK",,,,,,,"BLOCK  by KWIATKOWSKI,MARK",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
07:31,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
07:31,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
07:16,"GOOD LAYUP by ERWIN,GUNNER(in the paint)",23 (+1),,22,,FCM13 23-22 (-1),,"GOOD LAYUP by ERWIN,GUNNER(in the paint)",1
07:10,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
07:10,,23,,24 (+1),"GOOD DUNK by WHITESIDE,DONOVAN(in the paint)",CENTRE_M 23-24 (+1),,"GOOD DUNK by WHITESIDE,DONOVAN(in the paint)",1
--,,,,,"ASSIST  by SCINTA,BLAKE",,,"ASSIST  by SCINTA,BLAKE",1
07:10,"SUB IN by SARGENT,TERRY",,,,,,,"SUB IN by SARGENT,TERRY",1
07:10,"SUB OUT by ELLIS,PATRICK",,,,,,,"SUB OUT by ELLIS,PATRICK",1
07:10,"SUB OUT by ERWIN,GUNNER",,,,,,,"SUB OUT by ERWIN,GUNNER",1
07:10,"SUB OUT by PORTER,TROY",,,,,,,"SUB OUT by PORTER,TROY",1
07:10,"SUB OUT by BARTON,JT",,,,,,,"SUB OUT by BARTON,JT",1
06:52,"MISS 3PTR by SARGENT,TERRY",,,,,,,"MISS 3PTR by SARGENT,TERRY",1
--,,,,,"REBOUND DEF by LOPEZ,COLLIN",,,"REBOUND DEF by LOPEZ,COLLIN",1
06:39,,,,,"TURNOVER  by WESLEY,TYLER",,,"TURNOVER  by WESLEY,TYLER",1
06:39,"SUB IN by ERWIN,GUNNER",,,,,,,"SUB IN by ERWIN,GUNNER",1
06:39,"SUB IN by BARTON,JT",,,,,,,"SUB IN by BARTON,JT",1
06:39,"SUB IN by HOWARD,BAILEY",,,,,,,"SUB IN by HOWARD,BAILEY",1
06:39,"SUB IN by ELLIS,PATRICK",,,,,,,"SUB IN by ELLIS,PATRICK",1
06:39,"SUB OUT by KWIATKOWSKI,MARK",,,,,,,"SUB OUT by KWIATKOWSKI,MARK",1
06:39,,,,,"SUB IN by ELLIS,BRYON",,,"SUB IN by ELLIS,BRYON",1
06:39,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",1
05:57,,,,,"FOUL  by WESLEY,TYLER",,,"FOUL  by WESLEY,TYLER",1
05:57,"GOOD FT by BARTON,JT",24,,24,,FCM13 24-24 (0),,"GOOD FT by BARTON,JT",1
05:57,"GOOD FT by BARTON,JT",25 (+1),,24,,FCM13 25-24 (-1),,"GOOD FT by BARTON,JT",1
05:34,,,,,"TURNOVER  by WESLEY,TYLER",,,"TURNOVER  by WESLEY,TYLER",1
05:34,"SUB IN by WASHINGTON,TRAE",,,,,,,"SUB IN by WASHINGTON,TRAE",1
05:34,"SUB OUT by ELLIS,PATRICK",,,,,,,"SUB OUT by ELLIS,PATRICK",1
05:16,"MISS LAYUP by ERWIN,GUNNER",,,,,,,"MISS LAYUP by ERWIN,GUNNER",1
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",1
05:13,"FOUL  by ERWIN,GUNNER",,,,,,,"FOUL  by ERWIN,GUNNER",1
04:50,,,,,"FOUL  by WESLEY,TYLER",,,"FOUL  by WESLEY,TYLER",1
04:50,,,,,"TURNOVER  by WESLEY,TYLER",,,"TURNOVER  by WESLEY,TYLER",1
04:50,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
04:50,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
04:38,"MISS 3PTR by HOWARD,BAILEY",,,,,,,"MISS 3PTR by HOWARD,BAILEY",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
04:22,,25,,26 (+1),"GOOD LAYUP by TAYLOR,CHRIS(in the paint)",CENTRE_M 25-26 (+1),,"GOOD LAYUP by TAYLOR,CHRIS(in the paint)",1
04:05,"MISS JUMPER by ERWIN,GUNNER",,,,,,,"MISS JUMPER by ERWIN,GUNNER",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
03:56,,,,,"MISS JUMPER by WHITESIDE,DONOVAN",,,"MISS JUMPER by WHITESIDE,DONOVAN",1
--,"REBOUND DEF by ERWIN,GUNNER",,,,,,,"REBOUND DEF by ERWIN,GUNNER",1
03:38,"MISS LAYUP by SARGENT,TERRY",,,,,,,"MISS LAYUP by SARGENT,TERRY",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
03:31,,25,,28 (+3),"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",CENTRE_M 25-28 (+3),,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",1
--,,,,,"ASSIST  by TAYLOR,CHRIS",,,"ASSIST  by TAYLOR,CHRIS",1
03:08,"MISS JUMPER by HOWARD,BAILEY",,,,,,,"MISS JUMPER by HOWARD,BAILEY",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
02:49,,25,,30 (+5),"GOOD JUMPER by SCINTA,BLAKE",CENTRE_M 25-30 (+5),,"GOOD JUMPER by SCINTA,BLAKE",1
--,,,,,"ASSIST  by TAYLOR,CHRIS",,,"ASSIST  by TAYLOR,CHRIS",1
02:40,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
02:23,"TURNOVER  by WASHINGTON,TRAE",,,,,,,"TURNOVER  by WASHINGTON,TRAE",1
02:23,,,,,"STEAL  by TAYLOR,CHRIS",,,"STEAL  by TAYLOR,CHRIS",1
02:09,,,,,"MISS LAYUP by SCINTA,BLAKE",,,"MISS LAYUP by SCINTA,BLAKE",1
--,"REBOUND DEF by HOWARD,BAILEY",,,,,,,"REBOUND DEF by HOWARD,BAILEY",1
02:02,,,,,"FOUL  by ELLIS,BRYON",,,"FOUL  by ELLIS,BRYON",1
01:55,"MISS JUMPER by HOWARD,BAILEY",,,,,,,"MISS JUMPER by HOWARD,BAILEY",1
--,"REBOUND OFF by HOWARD,BAILEY",,,,,,,"REBOUND OFF by HOWARD,BAILEY",1
01:51,"GOOD JUMPER by HOWARD,BAILEY",27,,30 (+3),,FCM13 27-30 (+3),,"GOOD JUMPER by HOWARD,BAILEY",1
01:33,,,,,"TURNOVER  by SCINTA,BLAKE",,,"TURNOVER  by SCINTA,BLAKE",1
01:31,"STEAL  by SARGENT,TERRY",,,,,,,"STEAL  by SARGENT,TERRY",1
01:29,,,,,"FOUL  by KARSNER,JOSH",,,"FOUL  by KARSNER,JOSH",1
01:29,"GOOD FT by BARTON,JT",28,,30 (+2),,FCM13 28-30 (+2),,"GOOD FT by BARTON,JT",1
01:29,"GOOD FT by BARTON,JT",29,,30 (+1),,FCM13 29-30 (+1),,"GOOD FT by BARTON,JT",1
01:14,,,,,"MISS 3PTR by LOPEZ,COLLIN",,,"MISS 3PTR by LOPEZ,COLLIN",1
--,"REBOUND DEF by HOWARD,BAILEY",,,,,,,"REBOUND DEF by HOWARD,BAILEY",1
01:06,"MISS LAYUP by HOWARD,BAILEY",,,,,,,"MISS LAYUP by HOWARD,BAILEY",1
01:06,,,,,"BLOCK  by SCINTA,BLAKE",,,"BLOCK  by SCINTA,BLAKE",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
01:06,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",1
01:06,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",1
01:01,"FOUL  by SARGENT,TERRY",,,,,,,"FOUL  by SARGENT,TERRY",1
01:01,"TURNOVER  by SARGENT,TERRY",,,,,,,"TURNOVER  by SARGENT,TERRY",1
01:01,"FOUL  by BARTON,JT",,,,,,,"FOUL  by BARTON,JT",1
01:01,,29,,31 (+2),"GOOD FT by KARSNER,JOSH",CENTRE_M 29-31 (+2),,"GOOD FT by KARSNER,JOSH",1
01:01,,29,,32 (+3),"GOOD FT by KARSNER,JOSH",CENTRE_M 29-32 (+3),,"GOOD FT by KARSNER,JOSH",1
01:01,"SUB IN by KWIATKOWSKI,MARK",,,,,,,"SUB IN by KWIATKOWSKI,MARK",1
01:01,"SUB OUT by BARTON,JT",,,,,,,"SUB OUT by BARTON,JT",1
01:01,,,,,"SUB IN by SAGRAVES,AUSTIN",,,"SUB IN by SAGRAVES,AUSTIN",1
01:01,,,,,"SUB IN by NEWSOME,TAYLOR",,,"SUB IN by NEWSOME,TAYLOR",1
01:01,,,,,"SUB OUT by ELLIS,BRYON",,,"SUB OUT by ELLIS,BRYON",1
01:01,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
00:46,"TURNOVER  by SARGENT,TERRY",,,,,,,"TURNOVER  by SARGENT,TERRY",1
00:46,"SUB IN by THOMAS,WADE",,,,,,,"SUB IN by THOMAS,WADE",1
00:46,"SUB OUT by ERWIN,GUNNER",,,,,,,"SUB OUT by ERWIN,GUNNER",1
00:46,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
00:46,,,,,"SUB OUT by NEWSOME,TAYLOR",,,"SUB OUT by NEWSOME,TAYLOR",1
00:24,,,,,"TURNOVER  by KARSNER,JOSH",,,"TURNOVER  by KARSNER,JOSH",1
00:22,"STEAL  by WASHINGTON,TRAE",,,,,,,"STEAL  by WASHINGTON,TRAE",1
00:15,"GOOD LAYUP by THOMAS,WADE(in the paint)",31,,32 (+1),,FCM13 31-32 (+1),,"GOOD LAYUP by THOMAS,WADE(in the paint)",1
--,"ASSIST  by HOWARD,BAILEY",,,,,,,"ASSIST  by HOWARD,BAILEY",1
00:05,,,,,"MISS 3PTR by SAGRAVES,AUSTIN",,,"MISS 3PTR by SAGRAVES,AUSTIN",1
--,"REBOUND DEF by SARGENT,TERRY",,,,,,,"REBOUND DEF by SARGENT,TERRY",1
00:00,"MISS 3PTR by SARGENT,TERRY",,,,,,,"MISS 3PTR by SARGENT,TERRY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
19:48,"GOOD JUMPER by HOWARD,BAILEY",33 (+1),,32,,FCM13 33-32 (-1),,"GOOD JUMPER by HOWARD,BAILEY",2
19:22,,33,,35 (+2),"GOOD 3PTR by ELLIS,BRYON",CENTRE_M 33-35 (+2),,"GOOD 3PTR by ELLIS,BRYON",2
--,,,,,"ASSIST  by WHITESIDE,DONOVAN",,,"ASSIST  by WHITESIDE,DONOVAN",2
18:47,,,,,"FOUL  by WHITESIDE,DONOVAN",,,"FOUL  by WHITESIDE,DONOVAN",2
18:47,"MISS FT by SARGENT,TERRY",,,,,,,"MISS FT by SARGENT,TERRY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
18:47,"GOOD FT by SARGENT,TERRY",34,,35 (+1),,FCM13 34-35 (+1),,"GOOD FT by SARGENT,TERRY",2
18:29,,34,,37 (+3),"GOOD JUMPER by KARSNER,JOSH",CENTRE_M 34-37 (+3),,"GOOD JUMPER by KARSNER,JOSH",2
18:00,,,,,"FOUL  by KARSNER,JOSH",,,"FOUL  by KARSNER,JOSH",2
18:00,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",2
18:00,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",2
17:51,"MISS 3PTR by SARGENT,TERRY",,,,,,,"MISS 3PTR by SARGENT,TERRY",2
--,"REBOUND OFF by BARTON,JT",,,,,,,"REBOUND OFF by BARTON,JT",2
17:46,"TURNOVER  by BARTON,JT",,,,,,,"TURNOVER  by BARTON,JT",2
17:45,,,,,"STEAL  by SCINTA,BLAKE",,,"STEAL  by SCINTA,BLAKE",2
17:40,"FOUL  by SARGENT,TERRY",,,,,,,"FOUL  by SARGENT,TERRY",2
17:40,,,,,"MISS FT by TAYLOR,CHRIS",,,"MISS FT by TAYLOR,CHRIS",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
17:40,,34,,38 (+4),"GOOD FT by TAYLOR,CHRIS",CENTRE_M 34-38 (+4),,"GOOD FT by TAYLOR,CHRIS",2
17:17,"MISS LAYUP by BARTON,JT",,,,,,,"MISS LAYUP by BARTON,JT",2
17:17,,,,,"BLOCK  by SCINTA,BLAKE",,,"BLOCK  by SCINTA,BLAKE",2
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",2
17:09,,,,,"MISS JUMPER by WHITESIDE,DONOVAN",,,"MISS JUMPER by WHITESIDE,DONOVAN",2
--,,,,,"REBOUND OFF by WHITESIDE,DONOVAN",,,"REBOUND OFF by WHITESIDE,DONOVAN",2
17:05,,,,,"TURNOVER  by WHITESIDE,DONOVAN",,,"TURNOVER  by WHITESIDE,DONOVAN",2
17:04,"STEAL  by ELLIS,PATRICK",,,,,,,"STEAL  by ELLIS,PATRICK",2
16:57,,,,,"FOUL  by WESLEY,TYLER",,,"FOUL  by WESLEY,TYLER",2
16:57,"GOOD FT by SARGENT,TERRY",35,,38 (+3),,FCM13 35-38 (+3),,"GOOD FT by SARGENT,TERRY",2
16:57,"GOOD FT by SARGENT,TERRY",36,,38 (+2),,FCM13 36-38 (+2),,"GOOD FT by SARGENT,TERRY",2
16:57,"SUB IN by HUGHES,CALLAN",,,,,,,"SUB IN by HUGHES,CALLAN",2
