Time Remaining,CENTRE_M,Away Team Score,Play Team Indicator,Home Team Score,HANOVER,Game Score,Team Indicator,Play,Period
--,"ASSIST  by TAYLOR,CHRIS",,,,,,,"ASSIST  by TAYLOR,CHRIS",1
07:55,,13,,23 (+10),"GOOD 3PTR by HENDRICKS, DRAKE",HANOVER 13-23 (-10),,"GOOD 3PTR by HENDRICKS, DRAKE",1
--,,,,,"ASSIST  by NOWICKI, RYAN",,,"ASSIST  by NOWICKI, RYAN",1
07:32,"MISS JUMPER by KARSNER,JOSH",,,,,,,"MISS JUMPER by KARSNER,JOSH",1
07:32,,,,,"BLOCK  by STEINHART, JACOB",,,"BLOCK  by STEINHART, JACOB",1
--,,,,,"REBOUND DEF by HENDRICKS, DRAKE",,,"REBOUND DEF by HENDRICKS, DRAKE",1
07:27,,,,,"MISS 3PTR by KRING, MICHAEL",,,"MISS 3PTR by KRING, MICHAEL",1
--,,,,,"REBOUND OFF by STEINHART, JACOB",,,"REBOUND OFF by STEINHART, JACOB",1
07:24,"FOUL  by WESLEY,TYLER",,,,,,,"FOUL  by WESLEY,TYLER",1
07:24,,,,,"MISS FT by STEINHART, JACOB",,,"MISS FT by STEINHART, JACOB",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
07:24,,13,,24 (+11),"GOOD FT by STEINHART, JACOB",HANOVER 13-24 (-11),,"GOOD FT by STEINHART, JACOB",1
07:24,,,,,"SUB IN by GUNTER, BRIAN",,,"SUB IN by GUNTER, BRIAN",1
07:24,,,,,"SUB IN by JAMES, KYLE",,,"SUB IN by JAMES, KYLE",1
07:24,,,,,"SUB OUT by STEINHART, JACOB",,,"SUB OUT by STEINHART, JACOB",1
07:24,,,,,"SUB OUT by HENDRICKS, DRAKE",,,"SUB OUT by HENDRICKS, DRAKE",1
07:12,"GOOD JUMPER by WESLEY,TYLER(in the paint)",15,,24 (+9),,CENTRE_M 15-24 (-9),,"GOOD JUMPER by WESLEY,TYLER(in the paint)",1
06:52,,,,,"MISS LAYUP by MARKS, DESMOND",,,"MISS LAYUP by MARKS, DESMOND",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
06:32,,,,,"SUB IN by VAN KLEUNEN, MICHAEL",,,"SUB IN by VAN KLEUNEN, MICHAEL",1
06:32,,,,,"SUB OUT by MARKS, DESMOND",,,"SUB OUT by MARKS, DESMOND",1
06:30,"GOOD 3PTR by KARSNER,JOSH",18,,24 (+6),,CENTRE_M 18-24 (-6),,"GOOD 3PTR by KARSNER,JOSH",1
--,"ASSIST  by WESLEY,TYLER",,,,,,,"ASSIST  by WESLEY,TYLER",1
06:16,,,,,"MISS JUMPER by VAN KLEUNEN, MICHAEL",,,"MISS JUMPER by VAN KLEUNEN, MICHAEL",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
06:15,,,,,"FOUL  by VAN KLEUNEN, MICHAEL",,,"FOUL  by VAN KLEUNEN, MICHAEL",1
06:15,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
06:15,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",1
06:15,,,,,"SUB IN by BASS, TIM",,,"SUB IN by BASS, TIM",1
06:15,,,,,"SUB OUT by KRING, MICHAEL",,,"SUB OUT by KRING, MICHAEL",1
05:50,"MISS JUMPER by TAYLOR,CHRIS",,,,,,,"MISS JUMPER by TAYLOR,CHRIS",1
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",1
05:41,"TURNOVER  by WESLEY,TYLER",,,,,,,"TURNOVER  by WESLEY,TYLER",1
05:32,,,,,"MISS JUMPER by VAN KLEUNEN, MICHAEL",,,"MISS JUMPER by VAN KLEUNEN, MICHAEL",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
05:17,"GOOD 3PTR by ELLIS,BRYON",21,,24 (+3),,CENTRE_M 21-24 (-3),,"GOOD 3PTR by ELLIS,BRYON",1
--,"ASSIST  by SCINTA,BLAKE",,,,,,,"ASSIST  by SCINTA,BLAKE",1
05:06,,21,,27 (+6),"GOOD 3PTR by JAMES, KYLE",HANOVER 21-27 (-6),,"GOOD 3PTR by JAMES, KYLE",1
04:27,"MISS JUMPER by SCINTA,BLAKE",,,,,,,"MISS JUMPER by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by GUNTER, BRIAN",,,"REBOUND DEF by GUNTER, BRIAN",1
04:13,,21,,29 (+8),"GOOD JUMPER by GUNTER, BRIAN(in the paint)",HANOVER 21-29 (-8),,"GOOD JUMPER by GUNTER, BRIAN(in the paint)",1
03:41,"TURNOVER  by ELLIS,BRYON",,,,,,,"TURNOVER  by ELLIS,BRYON",1
03:41,"SUB IN by WHITESIDE,DONOVAN",,,,,,,"SUB IN by WHITESIDE,DONOVAN",1
03:41,"SUB IN by GRIGGS,MATT",,,,,,,"SUB IN by GRIGGS,MATT",1
03:41,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
03:41,"SUB OUT by TAYLOR,CHRIS",,,,,,,"SUB OUT by TAYLOR,CHRIS",1
03:41,,,,,"SUB IN by MARKS, DESMOND",,,"SUB IN by MARKS, DESMOND",1
03:41,,,,,"SUB IN by WEHNER, MATT",,,"SUB IN by WEHNER, MATT",1
03:41,,,,,"SUB OUT by VAN KLEUNEN, MICHAEL",,,"SUB OUT by VAN KLEUNEN, MICHAEL",1
03:41,,,,,"SUB OUT by NOWICKI, RYAN",,,"SUB OUT by NOWICKI, RYAN",1
03:22,,,,,"MISS 3PTR by WEHNER, MATT",,,"MISS 3PTR by WEHNER, MATT",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
03:13,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",23,,29 (+6),,CENTRE_M 23-29 (-6),,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",1
03:03,,,,,"MISS JUMPER by JAMES, KYLE",,,"MISS JUMPER by JAMES, KYLE",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
02:43,"MISS JUMPER by GRIGGS,MATT",,,,,,,"MISS JUMPER by GRIGGS,MATT",1
--,,,,,"REBOUND DEF by WEHNER, MATT",,,"REBOUND DEF by WEHNER, MATT",1
02:22,,,,,"MISS 3PTR by JAMES, KYLE",,,"MISS 3PTR by JAMES, KYLE",1
--,,,,,"REBOUND OFF by BASS, TIM",,,"REBOUND OFF by BASS, TIM",1
02:10,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
02:10,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
02:10,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",1
02:10,,,,,"SUB IN by STEINHART, JACOB",,,"SUB IN by STEINHART, JACOB",1
02:10,,,,,"SUB IN by HENDRICKS, DRAKE",,,"SUB IN by HENDRICKS, DRAKE",1
02:10,,,,,"SUB OUT by GUNTER, BRIAN",,,"SUB OUT by GUNTER, BRIAN",1
02:10,,,,,"SUB OUT by JAMES, KYLE",,,"SUB OUT by JAMES, KYLE",1
01:46,,,,,"MISS JUMPER by BASS, TIM",,,"MISS JUMPER by BASS, TIM",1
--,"REBOUND DEF by GRIGGS,MATT",,,,,,,"REBOUND DEF by GRIGGS,MATT",1
01:29,"MISS LAYUP by SCINTA,BLAKE",,,,,,,"MISS LAYUP by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by STEINHART, JACOB",,,"REBOUND DEF by STEINHART, JACOB",1
01:12,,23,,31 (+8),"GOOD LAYUP by MARKS, DESMOND(in the paint)",HANOVER 23-31 (-8),,"GOOD LAYUP by MARKS, DESMOND(in the paint)",1
00:48,"TURNOVER  by WHITESIDE,DONOVAN",,,,,,,"TURNOVER  by WHITESIDE,DONOVAN",1
00:48,"SUB IN by NEWSOME,TAYLOR",,,,,,,"SUB IN by NEWSOME,TAYLOR",1
00:48,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
00:36,,,,,"FOUL  by WEHNER, MATT",,,"FOUL  by WEHNER, MATT",1
00:36,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",1
00:36,"SUB IN by GEEGAN,MIKE",,,,,,,"SUB IN by GEEGAN,MIKE",1
00:36,"SUB IN by TAYLOR,CHRIS",,,,,,,"SUB IN by TAYLOR,CHRIS",1
00:36,"SUB OUT by NEWSOME,TAYLOR",,,,,,,"SUB OUT by NEWSOME,TAYLOR",1
00:36,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",1
00:36,"SUB OUT by GRIGGS,MATT",,,,,,,"SUB OUT by GRIGGS,MATT",1
00:17,,,,,"FOUL  by BASS, TIM",,,"FOUL  by BASS, TIM",1
00:17,,,,,"SUB IN by KRING, MICHAEL",,,"SUB IN by KRING, MICHAEL",1
00:17,,,,,"SUB OUT by BASS, TIM",,,"SUB OUT by BASS, TIM",1
00:06,"MISS JUMPER by KARSNER,JOSH",,,,,,,"MISS JUMPER by KARSNER,JOSH",1
00:06,,,,,"BLOCK  by STEINHART, JACOB",,,"BLOCK  by STEINHART, JACOB",1
--,"REBOUND OFF by KARSNER,JOSH",,,,,,,"REBOUND OFF by KARSNER,JOSH",1
00:01,,,,,"FOUL  by KRING, MICHAEL",,,"FOUL  by KRING, MICHAEL",1
00:01,"MISS FT by KARSNER,JOSH",,,,,,,"MISS FT by KARSNER,JOSH",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
00:01,"GOOD FT by KARSNER,JOSH",24,,31 (+7),,CENTRE_M 24-31 (-7),,"GOOD FT by KARSNER,JOSH",1
00:01,"SUB IN by NEWSOME,TAYLOR",,,,,,,"SUB IN by NEWSOME,TAYLOR",1
00:01,"SUB IN by LOHR,MATT",,,,,,,"SUB IN by LOHR,MATT",1
00:01,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",1
00:01,"SUB OUT by GEEGAN,MIKE",,,,,,,"SUB OUT by GEEGAN,MIKE",1
19:40,,,,,"MISS JUMPER by MARKS, DESMOND",,,"MISS JUMPER by MARKS, DESMOND",2
19:40,"BLOCK  by WESLEY,TYLER",,,,,,,"BLOCK  by WESLEY,TYLER",2
--,,,,,"REBOUND OFF by MARKS, DESMOND",,,"REBOUND OFF by MARKS, DESMOND",2
19:31,,,,,"MISS 3PTR by NOWICKI, RYAN",,,"MISS 3PTR by NOWICKI, RYAN",2
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",2
18:58,"MISS LAYUP by WHITESIDE,DONOVAN",,,,,,,"MISS LAYUP by WHITESIDE,DONOVAN",2
--,,,,,"REBOUND DEF by GUNTER, BRIAN",,,"REBOUND DEF by GUNTER, BRIAN",2
18:51,,24,,33 (+9),"GOOD LAYUP by BASS, TIM(fastbreak)(in the paint)",HANOVER 24-33 (-9),,"GOOD LAYUP by BASS, TIM(fastbreak)(in the paint)",2
18:30,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",2
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",2
18:26,"GOOD LAYUP by WESLEY,TYLER(in the paint)",26,,33 (+7),,CENTRE_M 26-33 (-7),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",2
18:06,,26,,35 (+9),"GOOD JUMPER by MARKS, DESMOND(in the paint)",HANOVER 26-35 (-9),,"GOOD JUMPER by MARKS, DESMOND(in the paint)",2
17:30,"MISS 3PTR by ELLIS,BRYON",,,,,,,"MISS 3PTR by ELLIS,BRYON",2
--,,,,,"REBOUND DEF by GUNTER, BRIAN",,,"REBOUND DEF by GUNTER, BRIAN",2
17:22,,,,,"MISS JUMPER by BASS, TIM",,,"MISS JUMPER by BASS, TIM",2
17:22,"BLOCK  by WESLEY,TYLER",,,,,,,"BLOCK  by WESLEY,TYLER",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
17:15,,,,,"MISS JUMPER by BASS, TIM",,,"MISS JUMPER by BASS, TIM",2
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",2
17:02,,,,,"FOUL  by MARKS, DESMOND",,,"FOUL  by MARKS, DESMOND",2
17:02,"GOOD FT by WESLEY,TYLER",27,,35 (+8),,CENTRE_M 27-35 (-8),,"GOOD FT by WESLEY,TYLER",2
17:02,"GOOD FT by WESLEY,TYLER",28,,35 (+7),,CENTRE_M 28-35 (-7),,"GOOD FT by WESLEY,TYLER",2
16:35,,,,,"MISS LAYUP by NOWICKI, RYAN",,,"MISS LAYUP by NOWICKI, RYAN",2
16:35,"BLOCK  by KARSNER,JOSH",,,,,,,"BLOCK  by KARSNER,JOSH",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
16:29,,,,,"MISS JUMPER by HENDRICKS, DRAKE",,,"MISS JUMPER by HENDRICKS, DRAKE",2
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",2
16:19,,,,,"SUB IN by VAN KLEUNEN, MICHAEL",,,"SUB IN by VAN KLEUNEN, MICHAEL",2
16:19,,,,,"SUB OUT by MARKS, DESMOND",,,"SUB OUT by MARKS, DESMOND",2
16:09,"GOOD 3PTR by KARSNER,JOSH",31,,35 (+4),,CENTRE_M 31-35 (-4),,"GOOD 3PTR by KARSNER,JOSH",2
--,"ASSIST  by WHITESIDE,DONOVAN",,,,,,,"ASSIST  by WHITESIDE,DONOVAN",2
16:02,"FOUL  by TAYLOR,CHRIS",,,,,,,"FOUL  by TAYLOR,CHRIS",2
16:02,,31,,36 (+5),"GOOD FT by BASS, TIM",HANOVER 31-36 (-5),,"GOOD FT by BASS, TIM",2
16:02,,,,,"MISS FT by BASS, TIM",,,"MISS FT by BASS, TIM",2
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",2
15:35,"MISS LAYUP by WESLEY,TYLER",,,,,,,"MISS LAYUP by WESLEY,TYLER",2
