Time Remaining,MUM,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by MARTIN,DEWAYNE",,,,,,,"REBOUND DEF by MARTIN,DEWAYNE",1
07:32,"TURNOVER  by HILL,ERIC",,,,,,,"TURNOVER  by HILL,ERIC",1
07:30,"SUB IN by WOODS,JEFF",,,,,,,"SUB IN by WOODS,JEFF",1
07:30,"SUB OUT by HILL,ERIC",,,,,,,"SUB OUT by HILL,ERIC",1
07:30,,,,,"SUB IN by NEWSOME,TAYLOR",,,"SUB IN by NEWSOME,TAYLOR",1
07:30,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
07:13,,,,,"MISS LAYUP by LOHR,MATT",,,"MISS LAYUP by LOHR,MATT",1
07:13,"BLOCK  by MARTIN,DEWAYNE",,,,,,,"BLOCK  by MARTIN,DEWAYNE",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
07:05,,,,,"MISS LAYUP by TAYLOR,CHRIS",,,"MISS LAYUP by TAYLOR,CHRIS",1
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",1
06:48,,,,,"MISS LAYUP by NEWSOME,TAYLOR",,,"MISS LAYUP by NEWSOME,TAYLOR",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
06:21,,,,,"FOUL  by NEWSOME,TAYLOR",,,"FOUL  by NEWSOME,TAYLOR",1
06:21,"GOOD FT by MONTGOMERY,VERNON",19 (+7),,12,,MUM 19-12 (-7),,"GOOD FT by MONTGOMERY,VERNON",1
06:21,"GOOD FT by MONTGOMERY,VERNON",20 (+8),,12,,MUM 20-12 (-8),,"GOOD FT by MONTGOMERY,VERNON",1
06:21,,,,,"SUB IN by WHITESIDE,DONOVAN",,,"SUB IN by WHITESIDE,DONOVAN",1
06:21,,,,,"SUB IN by HERTZEL,HOLDEN",,,"SUB IN by HERTZEL,HOLDEN",1
06:21,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
06:21,,,,,"SUB OUT by LOHR,MATT",,,"SUB OUT by LOHR,MATT",1
06:01,,,,,"MISS 3PTR by WHITESIDE,DONOVAN",,,"MISS 3PTR by WHITESIDE,DONOVAN",1
--,"REBOUND DEF by MARTIN,DEWAYNE",,,,,,,"REBOUND DEF by MARTIN,DEWAYNE",1
05:41,"MISS LAYUP by MONTGOMERY,VERNON",,,,,,,"MISS LAYUP by MONTGOMERY,VERNON",1
05:41,,,,,"BLOCK  by NEWSOME,TAYLOR",,,"BLOCK  by NEWSOME,TAYLOR",1
--,,,,,"REBOUND DEF by NEWSOME,TAYLOR",,,"REBOUND DEF by NEWSOME,TAYLOR",1
05:32,,20 (+6),,14,"GOOD LAYUP by HERTZEL,HOLDEN(in the paint)",CENTRE_M 20-14 (-6),,"GOOD LAYUP by HERTZEL,HOLDEN(in the paint)",1
--,,,,,"ASSIST  by WHITESIDE,DONOVAN",,,"ASSIST  by WHITESIDE,DONOVAN",1
05:17,"MISS 3PTR by MARTIN,DEWAYNE",,,,,,,"MISS 3PTR by MARTIN,DEWAYNE",1
--,,,,,"REBOUND DEF by NEWSOME,TAYLOR",,,"REBOUND DEF by NEWSOME,TAYLOR",1
05:09,"SUB IN by FRAZIER,MICHAEL",,,,,,,"SUB IN by FRAZIER,MICHAEL",1
05:09,"SUB IN by ANTONIO FERRELL,JR",,,,,,,"SUB IN by ANTONIO FERRELL,JR",1
05:09,"SUB OUT by MONTGOMERY,VERNON",,,,,,,"SUB OUT by MONTGOMERY,VERNON",1
05:09,"SUB OUT by WOODS,JEFF",,,,,,,"SUB OUT by WOODS,JEFF",1
05:09,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",1
05:09,,,,,"SUB OUT by ELLIS,BRYON",,,"SUB OUT by ELLIS,BRYON",1
04:52,,20 (+4),,16,"GOOD LAYUP by TAYLOR,CHRIS(in the paint)",CENTRE_M 20-16 (-4),,"GOOD LAYUP by TAYLOR,CHRIS(in the paint)",1
04:52,"FOUL  by MARTINEZ,ZACH",,,,,,,"FOUL  by MARTINEZ,ZACH",1
04:52,,20 (+3),,17,"GOOD FT by TAYLOR,CHRIS",CENTRE_M 20-17 (-3),,"GOOD FT by TAYLOR,CHRIS",1
04:31,"TURNOVER  by ANTONIO FERRELL,JR",,,,,,,"TURNOVER  by ANTONIO FERRELL,JR",1
04:29,,,,,"STEAL  by HERTZEL,HOLDEN",,,"STEAL  by HERTZEL,HOLDEN",1
04:13,,,,,"MISS LAYUP by WHITESIDE,DONOVAN",,,"MISS LAYUP by WHITESIDE,DONOVAN",1
--,"REBOUND DEF by MARTIN,DEWAYNE",,,,,,,"REBOUND DEF by MARTIN,DEWAYNE",1
04:07,"TURNOVER  by MARTIN,DEWAYNE",,,,,,,"TURNOVER  by MARTIN,DEWAYNE",1
04:06,,,,,"STEAL  by WHITESIDE,DONOVAN",,,"STEAL  by WHITESIDE,DONOVAN",1
04:01,,,,,"TURNOVER  by LOPEZ,COLLIN",,,"TURNOVER  by LOPEZ,COLLIN",1
03:58,"STEAL  by MARTINEZ,ZACH",,,,,,,"STEAL  by MARTINEZ,ZACH",1
03:55,"GOOD LAYUP by ZUKOWITZ,MAX(fastbreak)(in the paint)",22 (+5),,17,,MUM 22-17 (-5),,"GOOD LAYUP by ZUKOWITZ,MAX(fastbreak)(in the paint)",1
--,"ASSIST  by ANTONIO FERRELL,JR",,,,,,,"ASSIST  by ANTONIO FERRELL,JR",1
03:26,"FOUL  by FRAZIER,MICHAEL",,,,,,,"FOUL  by FRAZIER,MICHAEL",1
03:26,,22 (+4),,18,"GOOD FT by HERTZEL,HOLDEN",CENTRE_M 22-18 (-4),,"GOOD FT by HERTZEL,HOLDEN",1
03:26,,22 (+3),,19,"GOOD FT by HERTZEL,HOLDEN",CENTRE_M 22-19 (-3),,"GOOD FT by HERTZEL,HOLDEN",1
03:26,"SUB IN by WOODS,JEFF",,,,,,,"SUB IN by WOODS,JEFF",1
03:26,"SUB IN by TAYLOR,CJ",,,,,,,"SUB IN by TAYLOR,CJ",1
03:26,"SUB OUT by MARTINEZ,ZACH",,,,,,,"SUB OUT by MARTINEZ,ZACH",1
03:26,"SUB OUT by MARTIN,DEWAYNE",,,,,,,"SUB OUT by MARTIN,DEWAYNE",1
03:26,,,,,"SUB IN by ELLIS,BRYON",,,"SUB IN by ELLIS,BRYON",1
03:26,,,,,"SUB IN by SAGRAVES,AUSTIN",,,"SUB IN by SAGRAVES,AUSTIN",1
03:26,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
03:26,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
03:26,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",1
03:26,,,,,"SUB OUT by NEWSOME,TAYLOR",,,"SUB OUT by NEWSOME,TAYLOR",1
03:26,,,,,"SUB OUT by HERTZEL,HOLDEN",,,"SUB OUT by HERTZEL,HOLDEN",1
03:26,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",1
03:15,"MISS 3PTR by ZUKOWITZ,MAX",,,,,,,"MISS 3PTR by ZUKOWITZ,MAX",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
02:43,"FOUL  by ANTONIO FERRELL,JR",,,,,,,"FOUL  by ANTONIO FERRELL,JR",1
02:43,,,,,"MISS FT by WESLEY,TYLER",,,"MISS FT by WESLEY,TYLER",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
02:43,,22 (+2),,20,"GOOD FT by WESLEY,TYLER",CENTRE_M 22-20 (-2),,"GOOD FT by WESLEY,TYLER",1
02:27,"MISS 3PTR by WOODS,JEFF",,,,,,,"MISS 3PTR by WOODS,JEFF",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
02:19,"SUB IN by MARTIN,DEWAYNE",,,,,,,"SUB IN by MARTIN,DEWAYNE",1
02:19,"SUB OUT by FRAZIER,MICHAEL",,,,,,,"SUB OUT by FRAZIER,MICHAEL",1
02:19,,,,,"SUB IN by GRIGGS,MATT",,,"SUB IN by GRIGGS,MATT",1
02:19,,,,,"SUB OUT by TAYLOR,CHRIS",,,"SUB OUT by TAYLOR,CHRIS",1
02:08,,,,,"MISS 3PTR by ELLIS,BRYON",,,"MISS 3PTR by ELLIS,BRYON",1
--,"REBOUND DEF by ANTONIO FERRELL,JR",,,,,,,"REBOUND DEF by ANTONIO FERRELL,JR",1
01:45,"MISS JUMPER by ZUKOWITZ,MAX",,,,,,,"MISS JUMPER by ZUKOWITZ,MAX",1
--,"REBOUND OFF by WOODS,JEFF",,,,,,,"REBOUND OFF by WOODS,JEFF",1
01:40,,,,,"FOUL  by SAGRAVES,AUSTIN",,,"FOUL  by SAGRAVES,AUSTIN",1
01:40,"MISS FT by WOODS,JEFF",,,,,,,"MISS FT by WOODS,JEFF",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
01:40,"GOOD FT by WOODS,JEFF",23 (+3),,20,,MUM 23-20 (-3),,"GOOD FT by WOODS,JEFF",1
01:20,,23,,23,"GOOD 3PTR by SAGRAVES,AUSTIN",CENTRE_M 23-23 (0),,"GOOD 3PTR by SAGRAVES,AUSTIN",1
--,,,,,"ASSIST  by GRIGGS,MATT",,,"ASSIST  by GRIGGS,MATT",1
01:02,,,,,"FOUL  by WESLEY,TYLER",,,"FOUL  by WESLEY,TYLER",1
01:02,"MISS FT by MARTIN,DEWAYNE",,,,,,,"MISS FT by MARTIN,DEWAYNE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
01:02,"MISS FT by MARTIN,DEWAYNE",,,,,,,"MISS FT by MARTIN,DEWAYNE",1
--,,,,,"REBOUND DEF by HERTZEL,HOLDEN",,,"REBOUND DEF by HERTZEL,HOLDEN",1
01:02,,,,,"SUB IN by HERTZEL,HOLDEN",,,"SUB IN by HERTZEL,HOLDEN",1
01:02,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
00:46,,,,,"TURNOVER  by HERTZEL,HOLDEN",,,"TURNOVER  by HERTZEL,HOLDEN",1
00:44,"STEAL  by TAYLOR,CJ",,,,,,,"STEAL  by TAYLOR,CJ",1
00:40,,,,,"FOUL  by GRIGGS,MATT",,,"FOUL  by GRIGGS,MATT",1
00:40,"GOOD FT by TAYLOR,CJ",24 (+1),,23,,MUM 24-23 (-1),,"GOOD FT by TAYLOR,CJ",1
00:40,"GOOD FT by TAYLOR,CJ",25 (+2),,23,,MUM 25-23 (-2),,"GOOD FT by TAYLOR,CJ",1
00:08,,,,,"MISS 3PTR by ELLIS,BRYON",,,"MISS 3PTR by ELLIS,BRYON",1
--,,,,,"REBOUND OFF by SAGRAVES,AUSTIN",,,"REBOUND OFF by SAGRAVES,AUSTIN",1
00:03,,,,,"MISS 3PTR by GRIGGS,MATT",,,"MISS 3PTR by GRIGGS,MATT",1
--,,,,,"REBOUND OFF by ELLIS,BRYON",,,"REBOUND OFF by ELLIS,BRYON",1
00:00,,,,,"MISS 3PTR by ELLIS,BRYON",,,"MISS 3PTR by ELLIS,BRYON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
19:47,"MISS LAYUP by MARTIN,DEWAYNE",,,,,,,"MISS LAYUP by MARTIN,DEWAYNE",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
19:39,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",2
--,"REBOUND DEF by WOODS,JEFF",,,,,,,"REBOUND DEF by WOODS,JEFF",2
19:09,"TURNOVER  by ANTONIO FERRELL,JR",,,,,,,"TURNOVER  by ANTONIO FERRELL,JR",2
19:07,,,,,"STEAL  by ELLIS,BRYON",,,"STEAL  by ELLIS,BRYON",2
