Time Remaining,BRESCIA,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
08:57,,,,,"MISS FT by WHITESIDE,DONOVAN",,,"MISS FT by WHITESIDE,DONOVAN",1
--,"REBOUND DEF by LANGLEY,JERMAIN",,,,,,,"REBOUND DEF by LANGLEY,JERMAIN",1
08:57,"SUB IN by ROWE,HUNTER",,,,,,,"SUB IN by ROWE,HUNTER",1
08:57,"SUB IN by LANGLEY,JERMAIN",,,,,,,"SUB IN by LANGLEY,JERMAIN",1
08:57,"SUB IN by WILGUS,KYLE",,,,,,,"SUB IN by WILGUS,KYLE",1
08:57,"SUB OUT by JACKSON,BRETT",,,,,,,"SUB OUT by JACKSON,BRETT",1
08:57,"SUB OUT by NIXON,KYLE",,,,,,,"SUB OUT by NIXON,KYLE",1
08:57,"SUB OUT by CHRISTIAN,MYRON",,,,,,,"SUB OUT by CHRISTIAN,MYRON",1
08:57,,,,,"SUB IN by GRIGGS,MATT",,,"SUB IN by GRIGGS,MATT",1
08:57,,,,,"SUB IN by LOHR,MATT",,,"SUB IN by LOHR,MATT",1
08:57,,,,,"SUB IN by HERTZEL,HOLDEN",,,"SUB IN by HERTZEL,HOLDEN",1
08:57,,,,,"SUB IN by NEWSOME,TAYLOR",,,"SUB IN by NEWSOME,TAYLOR",1
08:57,,,,,"SUB OUT by SAGRAVES,AUSTIN",,,"SUB OUT by SAGRAVES,AUSTIN",1
08:57,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
08:57,,,,,"SUB OUT by TAYLOR,CHRIS",,,"SUB OUT by TAYLOR,CHRIS",1
08:57,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
08:44,,,,,"FOUL  by WHITESIDE,DONOVAN",,,"FOUL  by WHITESIDE,DONOVAN",1
08:44,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",1
08:44,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",1
08:43,"GOOD LAYUP by ROWE,HUNTER(in the paint)",8,,12 (+4),,BRESCIA 8-12 (+4),,"GOOD LAYUP by ROWE,HUNTER(in the paint)",1
--,"ASSIST  by HALCOMB,TROY",,,,,,,"ASSIST  by HALCOMB,TROY",1
08:32,,,,,"MISS LAYUP by HERTZEL,HOLDEN",,,"MISS LAYUP by HERTZEL,HOLDEN",1
--,"REBOUND DEF by ROWE,HUNTER",,,,,,,"REBOUND DEF by ROWE,HUNTER",1
