Time Remaining,TRANSY,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
14:32,"GOOD 3PTR by BOTKIN,TAYLOR",13 (+6),,7,,TRANSY 13-7 (-6),,"GOOD 3PTR by BOTKIN,TAYLOR",1
14:28,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
--,"ASSIST  by FUDGE,NICK",,,,,,,"ASSIST  by FUDGE,NICK",1
14:24,,,,,"SUB IN by GRIGGS,MATT",,,"SUB IN by GRIGGS,MATT",1
14:24,,,,,"SUB OUT by TAYLOR,CHRIS",,,"SUB OUT by TAYLOR,CHRIS",1
14:16,"BLOCK  by BOTKIN,TAYLOR",,,,,,,"BLOCK  by BOTKIN,TAYLOR",1
14:16,,,,,"MISS LAYUP by WHITESIDE,DONOVAN",,,"MISS LAYUP by WHITESIDE,DONOVAN",1
--,"REBOUND DEF by STANSBERRY,PARKER",,,,,,,"REBOUND DEF by STANSBERRY,PARKER",1
13:59,"SUB IN by SPURLIN,ETHAN",,,,,,,"SUB IN by SPURLIN,ETHAN",1
13:59,"SUB OUT by RASH,BRANDON",,,,,,,"SUB OUT by RASH,BRANDON",1
13:56,,,,,"SUB IN by NEWSOME,TAYLOR",,,"SUB IN by NEWSOME,TAYLOR",1
13:56,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
13:52,"GOOD JUMPER by SPURLIN,ETHAN",15 (+8),,7,,TRANSY 15-7 (-8),,"GOOD JUMPER by SPURLIN,ETHAN",1
--,"ASSIST  by FUDGE,NICK",,,,,,,"ASSIST  by FUDGE,NICK",1
13:23,,,,,"TURNOVER  by SCINTA,BLAKE",,,"TURNOVER  by SCINTA,BLAKE",1
13:22,"STEAL  by FUDGE,NICK",,,,,,,"STEAL  by FUDGE,NICK",1
13:13,"MISS LAYUP by MEYER,BARRETT",,,,,,,"MISS LAYUP by MEYER,BARRETT",1
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",1
12:49,,,,,"TURNOVER  by SCINTA,BLAKE",,,"TURNOVER  by SCINTA,BLAKE",1
12:49,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
12:49,"SUB IN by BEUTTEL,TREY",,,,,,,"SUB IN by BEUTTEL,TREY",1
12:49,"SUB OUT by STANSBERRY,PARKER",,,,,,,"SUB OUT by STANSBERRY,PARKER",1
12:35,"GOOD LAYUP by SPURLIN,ETHAN(in the paint)",17 (+10),,7,,TRANSY 17-7 (-10),,"GOOD LAYUP by SPURLIN,ETHAN(in the paint)",1
12:35,,,,,"FOUL  by SCINTA,BLAKE",,,"FOUL  by SCINTA,BLAKE",1
12:35,"GOOD FT by SPURLIN,ETHAN",18 (+11),,7,,TRANSY 18-7 (-11),,"GOOD FT by SPURLIN,ETHAN",1
12:35,"SUB IN by SIRKIN,TOMMY",,,,,,,"SUB IN by SIRKIN,TOMMY",1
12:35,"SUB OUT by FUDGE,NICK",,,,,,,"SUB OUT by FUDGE,NICK",1
12:35,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
12:35,,,,,"SUB OUT by NEWSOME,TAYLOR",,,"SUB OUT by NEWSOME,TAYLOR",1
12:27,,,,,"TURNOVER  by GRIGGS,MATT",,,"TURNOVER  by GRIGGS,MATT",1
12:27,,,,,"SUB IN by TAYLOR,CHRIS",,,"SUB IN by TAYLOR,CHRIS",1
12:27,,,,,"SUB OUT by GRIGGS,MATT",,,"SUB OUT by GRIGGS,MATT",1
12:11,"MISS 3PTR by BEUTTEL,TREY",,,,,,,"MISS 3PTR by BEUTTEL,TREY",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
11:53,,18 (+9),,9,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE_M 18-9 (-9),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
11:38,"TURNOVER  by SIRKIN,TOMMY",,,,,,,"TURNOVER  by SIRKIN,TOMMY",1
11:36,,,,,"STEAL  by WHITESIDE,DONOVAN",,,"STEAL  by WHITESIDE,DONOVAN",1
11:33,,,,,"MISS LAYUP by WHITESIDE,DONOVAN",,,"MISS LAYUP by WHITESIDE,DONOVAN",1
--,"REBOUND DEF by MEYER,BARRETT",,,,,,,"REBOUND DEF by MEYER,BARRETT",1
11:30,,,,,"FOUL  by TAYLOR,CHRIS",,,"FOUL  by TAYLOR,CHRIS",1
11:30,"SUB IN by RASH,BRANDON",,,,,,,"SUB IN by RASH,BRANDON",1
11:30,"SUB IN by FUDGE,NICK",,,,,,,"SUB IN by FUDGE,NICK",1
11:30,"SUB OUT by MEYER,BARRETT",,,,,,,"SUB OUT by MEYER,BARRETT",1
11:30,"SUB OUT by SIRKIN,TOMMY",,,,,,,"SUB OUT by SIRKIN,TOMMY",1
11:30,,,,,"SUB IN by WHITESIDE,DONOVAN",,,"SUB IN by WHITESIDE,DONOVAN",1
11:30,,,,,"SUB IN by GEEGAN,MIKE",,,"SUB IN by GEEGAN,MIKE",1
11:30,,,,,"SUB OUT by ELLIS,BRYON",,,"SUB OUT by ELLIS,BRYON",1
11:30,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
11:19,"MISS 3PTR by BEUTTEL,TREY",,,,,,,"MISS 3PTR by BEUTTEL,TREY",1
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",1
11:03,"STEAL  by FUDGE,NICK",,,,,,,"STEAL  by FUDGE,NICK",1
11:01,,,,,"TURNOVER  by TAYLOR,CHRIS",,,"TURNOVER  by TAYLOR,CHRIS",1
10:59,"MISS LAYUP by FUDGE,NICK",,,,,,,"MISS LAYUP by FUDGE,NICK",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
10:27,,,,,"MISS LAYUP by TAYLOR,CHRIS",,,"MISS LAYUP by TAYLOR,CHRIS",1
--,"REBOUND DEF by SPURLIN,ETHAN",,,,,,,"REBOUND DEF by SPURLIN,ETHAN",1
10:13,"MISS 3PTR by FUDGE,NICK",,,,,,,"MISS 3PTR by FUDGE,NICK",1
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",1
09:54,,,,,"MISS 3PTR by GEEGAN,MIKE",,,"MISS 3PTR by GEEGAN,MIKE",1
--,"REBOUND DEF by FUDGE,NICK",,,,,,,"REBOUND DEF by FUDGE,NICK",1
09:30,"MISS JUMPER by SPURLIN,ETHAN",,,,,,,"MISS JUMPER by SPURLIN,ETHAN",1
--,,,,,"REBOUND DEF by TAYLOR,CHRIS",,,"REBOUND DEF by TAYLOR,CHRIS",1
09:21,,18 (+6),,12,"GOOD 3PTR by WHITESIDE,DONOVAN",CENTRE_M 18-12 (-6),,"GOOD 3PTR by WHITESIDE,DONOVAN",1
--,,,,,"ASSIST  by TAYLOR,CHRIS",,,"ASSIST  by TAYLOR,CHRIS",1
08:56,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
08:39,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
08:39,"SUB IN by MEYER,BARRETT",,,,,,,"SUB IN by MEYER,BARRETT",1
08:39,"SUB OUT by BOTKIN,TAYLOR",,,,,,,"SUB OUT by BOTKIN,TAYLOR",1
08:39,,,,,"SUB IN by ELLIS,BRYON",,,"SUB IN by ELLIS,BRYON",1
08:39,,,,,"SUB OUT by GEEGAN,MIKE",,,"SUB OUT by GEEGAN,MIKE",1
08:24,,,,,"MISS 3PTR by ELLIS,BRYON",,,"MISS 3PTR by ELLIS,BRYON",1
--,"REBOUND DEF by MEYER,BARRETT",,,,,,,"REBOUND DEF by MEYER,BARRETT",1
07:57,"GOOD LAYUP by SPURLIN,ETHAN(in the paint)",20 (+8),,12,,TRANSY 20-12 (-8),,"GOOD LAYUP by SPURLIN,ETHAN(in the paint)",1
07:43,,20 (+6),,14,"GOOD LAYUP by KARSNER,JOSH(in the paint)",CENTRE_M 20-14 (-6),,"GOOD LAYUP by KARSNER,JOSH(in the paint)",1
--,,,,,"ASSIST  by WESLEY,TYLER",,,"ASSIST  by WESLEY,TYLER",1
07:43,"SUB IN by STANSBERRY,PARKER",,,,,,,"SUB IN by STANSBERRY,PARKER",1
07:43,"SUB OUT by MEYER,BARRETT",,,,,,,"SUB OUT by MEYER,BARRETT",1
07:32,,,,,"FOUL  by WESLEY,TYLER",,,"FOUL  by WESLEY,TYLER",1
07:32,"GOOD FT by SPURLIN,ETHAN",21 (+7),,14,,TRANSY 21-14 (-7),,"GOOD FT by SPURLIN,ETHAN",1
07:32,"GOOD FT by SPURLIN,ETHAN",22 (+8),,14,,TRANSY 22-14 (-8),,"GOOD FT by SPURLIN,ETHAN",1
07:32,"SUB IN by SIRKIN,TOMMY",,,,,,,"SUB IN by SIRKIN,TOMMY",1
07:32,"SUB IN by MORRISON,LEAVITT",,,,,,,"SUB IN by MORRISON,LEAVITT",1
07:32,"SUB OUT by RASH,BRANDON",,,,,,,"SUB OUT by RASH,BRANDON",1
07:32,"SUB OUT by FUDGE,NICK",,,,,,,"SUB OUT by FUDGE,NICK",1
07:32,,,,,"SUB IN by GEEGAN,MIKE",,,"SUB IN by GEEGAN,MIKE",1
07:32,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
07:32,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",1
07:32,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
07:17,"FOUL  by SIRKIN,TOMMY",,,,,,,"FOUL  by SIRKIN,TOMMY",1
07:17,"SUB IN by FUDGE,NICK",,,,,,,"SUB IN by FUDGE,NICK",1
07:17,"SUB OUT by SIRKIN,TOMMY",,,,,,,"SUB OUT by SIRKIN,TOMMY",1
07:00,,,,,"FOUL  by SCINTA,BLAKE",,,"FOUL  by SCINTA,BLAKE",1
07:00,,,,,"TURNOVER  by SCINTA,BLAKE",,,"TURNOVER  by SCINTA,BLAKE",1
07:00,"SUB IN by RASH,BRANDON",,,,,,,"SUB IN by RASH,BRANDON",1
07:00,"SUB OUT by MORRISON,LEAVITT",,,,,,,"SUB OUT by MORRISON,LEAVITT",1
06:38,"MISS LAYUP by SPURLIN,ETHAN",,,,,,,"MISS LAYUP by SPURLIN,ETHAN",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
06:22,,,,,"TURNOVER  by SCINTA,BLAKE",,,"TURNOVER  by SCINTA,BLAKE",1
06:22,,,,,"SUB IN by NEWSOME,TAYLOR",,,"SUB IN by NEWSOME,TAYLOR",1
06:22,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
05:51,"GOOD 3PTR by STANSBERRY,PARKER",25 (+11),,14,,TRANSY 25-14 (-11),,"GOOD 3PTR by STANSBERRY,PARKER",1
--,"ASSIST  by SPURLIN,ETHAN",,,,,,,"ASSIST  by SPURLIN,ETHAN",1
05:36,,,,,"TURNOVER  by TAYLOR,CHRIS",,,"TURNOVER  by TAYLOR,CHRIS",1
05:34,"STEAL  by FUDGE,NICK",,,,,,,"STEAL  by FUDGE,NICK",1
05:30,"MISS 3PTR by MEYER,BARRETT",,,,,,,"MISS 3PTR by MEYER,BARRETT",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
05:27,,,,,"FOUL  by ELLIS,BRYON",,,"FOUL  by ELLIS,BRYON",1
05:27,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
05:27,"MISS FT by SPURLIN,ETHAN",,,,,,,"MISS FT by SPURLIN,ETHAN",1
--,,,,,"REBOUND DEF by ELLIS,BRYON",,,"REBOUND DEF by ELLIS,BRYON",1
05:27,"SUB IN by SIRKIN,TOMMY",,,,,,,"SUB IN by SIRKIN,TOMMY",1
05:27,"SUB IN by MEYER,BARRETT",,,,,,,"SUB IN by MEYER,BARRETT",1
05:27,"SUB IN by MORRISON,LEAVITT",,,,,,,"SUB IN by MORRISON,LEAVITT",1
05:27,"SUB OUT by FUDGE,NICK",,,,,,,"SUB OUT by FUDGE,NICK",1
05:27,"SUB OUT by BEUTTEL,TREY",,,,,,,"SUB OUT by BEUTTEL,TREY",1
05:27,"SUB OUT by RASH,BRANDON",,,,,,,"SUB OUT by RASH,BRANDON",1
05:27,,,,,"SUB IN by GRIGGS,MATT",,,"SUB IN by GRIGGS,MATT",1
05:27,,,,,"SUB OUT by TAYLOR,CHRIS",,,"SUB OUT by TAYLOR,CHRIS",1
05:12,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",1
--,"REBOUND DEF by MEYER,BARRETT",,,,,,,"REBOUND DEF by MEYER,BARRETT",1
04:49,"GOOD JUMPER by SIRKIN,TOMMY",27 (+13),,14,,TRANSY 27-14 (-13),,"GOOD JUMPER by SIRKIN,TOMMY",1
--,"ASSIST  by MEYER,BARRETT",,,,,,,"ASSIST  by MEYER,BARRETT",1
04:38,,,,,"TURNOVER  by ELLIS,BRYON",,,"TURNOVER  by ELLIS,BRYON",1
04:38,"SUB IN by BOTKIN,TAYLOR",,,,,,,"SUB IN by BOTKIN,TAYLOR",1
04:38,"SUB OUT by MORRISON,LEAVITT",,,,,,,"SUB OUT by MORRISON,LEAVITT",1
04:38,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
04:38,,,,,"SUB OUT by NEWSOME,TAYLOR",,,"SUB OUT by NEWSOME,TAYLOR",1
04:24,"GOOD 3PTR by STANSBERRY,PARKER",30 (+16),,14,,TRANSY 30-14 (-16),,"GOOD 3PTR by STANSBERRY,PARKER",1
--,"ASSIST  by SIRKIN,TOMMY",,,,,,,"ASSIST  by SIRKIN,TOMMY",1
04:09,,30 (+13),,17,"GOOD 3PTR by KARSNER,JOSH",CENTRE_M 30-17 (-13),,"GOOD 3PTR by KARSNER,JOSH",1
--,,,,,"ASSIST  by WESLEY,TYLER",,,"ASSIST  by WESLEY,TYLER",1
03:49,"FOUL  by STANSBERRY,PARKER",,,,,,,"FOUL  by STANSBERRY,PARKER",1
03:49,"TURNOVER  by STANSBERRY,PARKER",,,,,,,"TURNOVER  by STANSBERRY,PARKER",1
03:49,"SUB IN by BEUTTEL,TREY",,,,,,,"SUB IN by BEUTTEL,TREY",1
03:49,"SUB OUT by STANSBERRY,PARKER",,,,,,,"SUB OUT by STANSBERRY,PARKER",1
03:44,"FOUL  by SIRKIN,TOMMY",,,,,,,"FOUL  by SIRKIN,TOMMY",1
03:44,,,,,"SUB IN by WHITESIDE,DONOVAN",,,"SUB IN by WHITESIDE,DONOVAN",1
03:44,,,,,"SUB OUT by GEEGAN,MIKE",,,"SUB OUT by GEEGAN,MIKE",1
03:34,"FOUL  by MEYER,BARRETT",,,,,,,"FOUL  by MEYER,BARRETT",1
03:34,,30 (+12),,18,"GOOD FT by WESLEY,TYLER",CENTRE_M 30-18 (-12),,"GOOD FT by WESLEY,TYLER",1
03:34,,30 (+11),,19,"GOOD FT by WESLEY,TYLER",CENTRE_M 30-19 (-11),,"GOOD FT by WESLEY,TYLER",1
03:34,"SUB IN by RASH,BRANDON",,,,,,,"SUB IN by RASH,BRANDON",1
03:34,"SUB IN by FUDGE,NICK",,,,,,,"SUB IN by FUDGE,NICK",1
03:34,"SUB OUT by SIRKIN,TOMMY",,,,,,,"SUB OUT by SIRKIN,TOMMY",1
03:34,"SUB OUT by BEUTTEL,TREY",,,,,,,"SUB OUT by BEUTTEL,TREY",1
03:34,,,,,"SUB IN by NEWSOME,TAYLOR",,,"SUB IN by NEWSOME,TAYLOR",1
03:34,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
03:05,"TURNOVER  by FUDGE,NICK",,,,,,,"TURNOVER  by FUDGE,NICK",1
03:05,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
03:05,,,,,"SUB OUT by NEWSOME,TAYLOR",,,"SUB OUT by NEWSOME,TAYLOR",1
02:43,,,,,"MISS JUMPER by WHITESIDE,DONOVAN",,,"MISS JUMPER by WHITESIDE,DONOVAN",1
--,"REBOUND DEF by SPURLIN,ETHAN",,,,,,,"REBOUND DEF by SPURLIN,ETHAN",1
02:35,"TURNOVER  by MEYER,BARRETT",,,,,,,"TURNOVER  by MEYER,BARRETT",1
02:21,,,,,"MISS 3PTR by GRIGGS,MATT",,,"MISS 3PTR by GRIGGS,MATT",1
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",1
02:16,,,,,"MISS LAYUP by WESLEY,TYLER",,,"MISS LAYUP by WESLEY,TYLER",1
--,"REBOUND DEF by RASH,BRANDON",,,,,,,"REBOUND DEF by RASH,BRANDON",1
02:08,"FOUL  by MEYER,BARRETT",,,,,,,"FOUL  by MEYER,BARRETT",1
02:08,"TURNOVER  by MEYER,BARRETT",,,,,,,"TURNOVER  by MEYER,BARRETT",1
02:07,"SUB IN by STANSBERRY,PARKER",,,,,,,"SUB IN by STANSBERRY,PARKER",1
02:07,"SUB OUT by MEYER,BARRETT",,,,,,,"SUB OUT by MEYER,BARRETT",1
01:54,,30 (+8),,22,"GOOD 3PTR by KARSNER,JOSH",CENTRE_M 30-22 (-8),,"GOOD 3PTR by KARSNER,JOSH",1
--,,,,,"ASSIST  by GRIGGS,MATT",,,"ASSIST  by GRIGGS,MATT",1
01:35,"GOOD JUMPER by SPURLIN,ETHAN",32 (+10),,22,,TRANSY 32-22 (-10),,"GOOD JUMPER by SPURLIN,ETHAN",1
01:12,,32 (+7),,25,"GOOD 3PTR by GRIGGS,MATT",CENTRE_M 32-25 (-7),,"GOOD 3PTR by GRIGGS,MATT",1
--,,,,,"ASSIST  by ELLIS,BRYON",,,"ASSIST  by ELLIS,BRYON",1
00:53,"GOOD LAYUP by RASH,BRANDON(in the paint)",34 (+9),,25,,TRANSY 34-25 (-9),,"GOOD LAYUP by RASH,BRANDON(in the paint)",1
00:40,,,,,"FOUL  by KARSNER,JOSH",,,"FOUL  by KARSNER,JOSH",1
00:40,,,,,"TURNOVER  by KARSNER,JOSH",,,"TURNOVER  by KARSNER,JOSH",1
00:40,,,,,"SUB IN by NEWSOME,TAYLOR",,,"SUB IN by NEWSOME,TAYLOR",1
00:40,,,,,"SUB IN by GEEGAN,MIKE",,,"SUB IN by GEEGAN,MIKE",1
00:40,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
00:40,,,,,"SUB OUT by ELLIS,BRYON",,,"SUB OUT by ELLIS,BRYON",1
00:08,"MISS JUMPER by BOTKIN,TAYLOR",,,,,,,"MISS JUMPER by BOTKIN,TAYLOR",1
--,,,,,"REBOUND DEF by GRIGGS,MATT",,,"REBOUND DEF by GRIGGS,MATT",1
00:02,,,,,"MISS 3PTR by GRIGGS,MATT",,,"MISS 3PTR by GRIGGS,MATT",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
19:38,"FOUL  by RASH,BRANDON",,,,,,,"FOUL  by RASH,BRANDON",2
19:24,,,,,"MISS JUMPER by WHITESIDE,DONOVAN",,,"MISS JUMPER by WHITESIDE,DONOVAN",2
--,"REBOUND DEF by SPURLIN,ETHAN",,,,,,,"REBOUND DEF by SPURLIN,ETHAN",2
19:18,"MISS 3PTR by STANSBERRY,PARKER",,,,,,,"MISS 3PTR by STANSBERRY,PARKER",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
19:14,"FOUL  by FUDGE,NICK",,,,,,,"FOUL  by FUDGE,NICK",2
19:03,"FOUL  by SPURLIN,ETHAN",,,,,,,"FOUL  by SPURLIN,ETHAN",2
18:59,,,,,"TURNOVER  by WHITESIDE,DONOVAN",,,"TURNOVER  by WHITESIDE,DONOVAN",2
18:57,"STEAL  by RASH,BRANDON",,,,,,,"STEAL  by RASH,BRANDON",2
18:30,"MISS LAYUP by FUDGE,NICK",,,,,,,"MISS LAYUP by FUDGE,NICK",2
--,,,,,"REBOUND DEF by TAYLOR,CHRIS",,,"REBOUND DEF by TAYLOR,CHRIS",2
18:17,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",2
18:17,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",2
18:02,,,,,"MISS 3PTR by ELLIS,BRYON",,,"MISS 3PTR by ELLIS,BRYON",2
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",2
17:55,,34 (+7),,27,"GOOD LAYUP by WESLEY,TYLER(in the paint)",CENTRE_M 34-27 (-7),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",2
17:26,"MISS JUMPER by MEYER,BARRETT",,,,,,,"MISS JUMPER by MEYER,BARRETT",2
17:26,,,,,"BLOCK  by SCINTA,BLAKE",,,"BLOCK  by SCINTA,BLAKE",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
17:19,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
16:52,"FOUL  by SPURLIN,ETHAN",,,,,,,"FOUL  by SPURLIN,ETHAN",2
