Time Remaining,CENTRE_M,Away Team Score,Play Team Indicator,Home Team Score,MVCM,Game Score,Team Indicator,Play,Period
17:47,,,,,"FOUL  by AGOSTO,JOSE",,,"FOUL  by AGOSTO,JOSE",1
17:27,"MISS LAYUP by KARSNER,JOSH",,,,,,,"MISS LAYUP by KARSNER,JOSH",1
17:27,,,,,"BLOCK  by BODEWIG,JOEY",,,"BLOCK  by BODEWIG,JOEY",1
--,"REBOUND OFF by KARSNER,JOSH",,,,,,,"REBOUND OFF by KARSNER,JOSH",1
17:22,"TURNOVER  by KARSNER,JOSH",,,,,,,"TURNOVER  by KARSNER,JOSH",1
17:21,,,,,"STEAL  by LAMBERT,WES",,,"STEAL  by LAMBERT,WES",1
17:04,,,,,"MISS JUMPER by AGOSTO,JOSE",,,"MISS JUMPER by AGOSTO,JOSE",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
17:04,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
17:04,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",1
16:47,"TURNOVER  by ELLIS,BRYON",,,,,,,"TURNOVER  by ELLIS,BRYON",1
16:45,,,,,"STEAL  by FORD,CHRISTIAN",,,"STEAL  by FORD,CHRISTIAN",1
16:38,,,,,"MISS JUMPER by BODEWIG,JOEY",,,"MISS JUMPER by BODEWIG,JOEY",1
--,"REBOUND DEF by TAYLOR,CHRIS",,,,,,,"REBOUND DEF by TAYLOR,CHRIS",1
16:28,"MISS JUMPER by SCINTA,BLAKE",,,,,,,"MISS JUMPER by SCINTA,BLAKE",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
16:27,,,,,"SUB IN by MBIMI,ISAAC",,,"SUB IN by MBIMI,ISAAC",1
16:27,,,,,"SUB OUT by AGOSTO,JOSE",,,"SUB OUT by AGOSTO,JOSE",1
16:22,"MISS 3PTR by WHITESIDE,DONOVAN",,,,,,,"MISS 3PTR by WHITESIDE,DONOVAN",1
--,,,,,"REBOUND DEF by FORD,CHRISTIAN",,,"REBOUND DEF by FORD,CHRISTIAN",1
16:13,,,,,"MISS 3PTR by LAMBERT,WES",,,"MISS 3PTR by LAMBERT,WES",1
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",1
15:51,"MISS JUMPER by TAYLOR,CHRIS",,,,,,,"MISS JUMPER by TAYLOR,CHRIS",1
--,,,,,"REBOUND DEF by MBIMI,ISAAC",,,"REBOUND DEF by MBIMI,ISAAC",1
15:36,,,,,"MISS JUMPER by BODEWIG,JOEY",,,"MISS JUMPER by BODEWIG,JOEY",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
15:15,"MISS LAYUP by SCINTA,BLAKE",,,,,,,"MISS LAYUP by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by MBIMI,ISAAC",,,"REBOUND DEF by MBIMI,ISAAC",1
14:57,,,,,"TURNOVER  by FORD,CHRISTIAN",,,"TURNOVER  by FORD,CHRISTIAN",1
14:56,"STEAL  by WHITESIDE,DONOVAN",,,,,,,"STEAL  by WHITESIDE,DONOVAN",1
14:53,"MISS LAYUP by WHITESIDE,DONOVAN",,,,,,,"MISS LAYUP by WHITESIDE,DONOVAN",1
--,,,,,"REBOUND DEF by FORD,CHRISTIAN",,,"REBOUND DEF by FORD,CHRISTIAN",1
14:49,,,,,"TURNOVER  by FORD,CHRISTIAN",,,"TURNOVER  by FORD,CHRISTIAN",1
14:48,"STEAL  by WHITESIDE,DONOVAN",,,,,,,"STEAL  by WHITESIDE,DONOVAN",1
14:46,"MISS JUMPER by ELLIS,BRYON",,,,,,,"MISS JUMPER by ELLIS,BRYON",1
--,,,,,"REBOUND DEF by MBIMI,ISAAC",,,"REBOUND DEF by MBIMI,ISAAC",1
14:13,,3,,5 (+2),"GOOD LAYUP by BODEWIG,JOEY(in the paint)",MVCM 3-5 (-2),,"GOOD LAYUP by BODEWIG,JOEY(in the paint)",1
--,,,,,"ASSIST  by MBIMI,ISAAC",,,"ASSIST  by MBIMI,ISAAC",1
13:37,"MISS JUMPER by SCINTA,BLAKE",,,,,,,"MISS JUMPER by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by MBIMI,ISAAC",,,"REBOUND DEF by MBIMI,ISAAC",1
13:25,,3,,8 (+5),"GOOD 3PTR by BUTLER,OSCAR",MVCM 3-8 (-5),,"GOOD 3PTR by BUTLER,OSCAR",1
--,,,,,"ASSIST  by MBIMI,ISAAC",,,"ASSIST  by MBIMI,ISAAC",1
13:22,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
13:22,"SUB IN by GRIGGS,MATT",,,,,,,"SUB IN by GRIGGS,MATT",1
13:22,"SUB IN by NEWSOME,TAYLOR",,,,,,,"SUB IN by NEWSOME,TAYLOR",1
13:22,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",1
13:22,"SUB IN by LOHR,MATT",,,,,,,"SUB IN by LOHR,MATT",1
13:22,"SUB OUT by TAYLOR,CHRIS",,,,,,,"SUB OUT by TAYLOR,CHRIS",1
13:22,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
13:22,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
13:22,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",1
13:22,,,,,"SUB IN by RAYE,CRAIG",,,"SUB IN by RAYE,CRAIG",1
13:22,,,,,"SUB IN by BURRIS,JP",,,"SUB IN by BURRIS,JP",1
13:22,,,,,"SUB IN by GRIFFIN,JETHRO",,,"SUB IN by GRIFFIN,JETHRO",1
13:22,,,,,"SUB IN by BYRD,JAUMONEE",,,"SUB IN by BYRD,JAUMONEE",1
13:22,,,,,"SUB OUT by BODEWIG,JOEY",,,"SUB OUT by BODEWIG,JOEY",1
13:22,,,,,"SUB OUT by BUTLER,OSCAR",,,"SUB OUT by BUTLER,OSCAR",1
13:22,,,,,"SUB OUT by LAMBERT,WES",,,"SUB OUT by LAMBERT,WES",1
13:22,,,,,"SUB OUT by FORD,CHRISTIAN",,,"SUB OUT by FORD,CHRISTIAN",1
12:48,"TURNOVER  by LOHR,MATT",,,,,,,"TURNOVER  by LOHR,MATT",1
12:48,,,,,"STEAL  by RAYE,CRAIG",,,"STEAL  by RAYE,CRAIG",1
12:24,,,,,"MISS JUMPER by RAYE,CRAIG",,,"MISS JUMPER by RAYE,CRAIG",1
--,,,,,"REBOUND OFF by BYRD,JAUMONEE",,,"REBOUND OFF by BYRD,JAUMONEE",1
12:22,,3,,10 (+7),"GOOD LAYUP by BYRD,JAUMONEE(in the paint)",MVCM 3-10 (-7),,"GOOD LAYUP by BYRD,JAUMONEE(in the paint)",1
12:04,,,,,"FOUL  by MBIMI,ISAAC",,,"FOUL  by MBIMI,ISAAC",1
12:04,"MISS FT by LOHR,MATT",,,,,,,"MISS FT by LOHR,MATT",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
12:04,"GOOD FT by LOHR,MATT",4,,10 (+6),,CENTRE_M 4-10 (-6),,"GOOD FT by LOHR,MATT",1
12:04,,,,,"SUB IN by AGOSTO,JOSE",,,"SUB IN by AGOSTO,JOSE",1
12:04,,,,,"SUB OUT by MBIMI,ISAAC",,,"SUB OUT by MBIMI,ISAAC",1
11:51,,,,,"MISS JUMPER by RAYE,CRAIG",,,"MISS JUMPER by RAYE,CRAIG",1
--,"REBOUND DEF by LOHR,MATT",,,,,,,"REBOUND DEF by LOHR,MATT",1
11:17,"MISS 3PTR by ELLIS,BRYON",,,,,,,"MISS 3PTR by ELLIS,BRYON",1
--,"REBOUND OFF by GRIGGS,MATT",,,,,,,"REBOUND OFF by GRIGGS,MATT",1
11:14,"GOOD JUMPER by GRIGGS,MATT",6,,10 (+4),,CENTRE_M 6-10 (-4),,"GOOD JUMPER by GRIGGS,MATT",1
10:37,,,,,"MISS 3PTR by BURRIS,JP",,,"MISS 3PTR by BURRIS,JP",1
--,"REBOUND DEF by NEWSOME,TAYLOR",,,,,,,"REBOUND DEF by NEWSOME,TAYLOR",1
10:22,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",1
--,,,,,"REBOUND DEF by GRIFFIN,JETHRO",,,"REBOUND DEF by GRIFFIN,JETHRO",1
10:15,,,,,"FOUL  by RAYE,CRAIG",,,"FOUL  by RAYE,CRAIG",1
10:15,,,,,"TURNOVER  by RAYE,CRAIG",,,"TURNOVER  by RAYE,CRAIG",1
10:15,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
10:15,"SUB IN by SAGRAVES,AUSTIN",,,,,,,"SUB IN by SAGRAVES,AUSTIN",1
10:15,"SUB IN by WHITESIDE,DONOVAN",,,,,,,"SUB IN by WHITESIDE,DONOVAN",1
10:15,"SUB OUT by NEWSOME,TAYLOR",,,,,,,"SUB OUT by NEWSOME,TAYLOR",1
10:15,"SUB OUT by LOHR,MATT",,,,,,,"SUB OUT by LOHR,MATT",1
10:15,"SUB OUT by ELLIS,BRYON",,,,,,,"SUB OUT by ELLIS,BRYON",1
10:15,,,,,"SUB IN by BODEWIG,JOEY",,,"SUB IN by BODEWIG,JOEY",1
10:15,,,,,"SUB IN by BUTLER,OSCAR",,,"SUB IN by BUTLER,OSCAR",1
10:15,,,,,"SUB IN by LAMBERT,WES",,,"SUB IN by LAMBERT,WES",1
10:15,,,,,"SUB IN by FORD,CHRISTIAN",,,"SUB IN by FORD,CHRISTIAN",1
10:15,,,,,"SUB OUT by RAYE,CRAIG",,,"SUB OUT by RAYE,CRAIG",1
10:15,,,,,"SUB OUT by BURRIS,JP",,,"SUB OUT by BURRIS,JP",1
10:15,,,,,"SUB OUT by GRIFFIN,JETHRO",,,"SUB OUT by GRIFFIN,JETHRO",1
10:15,,,,,"SUB OUT by BYRD,JAUMONEE",,,"SUB OUT by BYRD,JAUMONEE",1
09:54,"GOOD 3PTR by KARSNER,JOSH",9,,10 (+1),,CENTRE_M 9-10 (-1),,"GOOD 3PTR by KARSNER,JOSH",1
--,"ASSIST  by GRIGGS,MATT",,,,,,,"ASSIST  by GRIGGS,MATT",1
09:38,,9,,12 (+3),"GOOD JUMPER by AGOSTO,JOSE",MVCM 9-12 (-3),,"GOOD JUMPER by AGOSTO,JOSE",1
--,,,,,"ASSIST  by BUTLER,OSCAR",,,"ASSIST  by BUTLER,OSCAR",1
09:25,"GOOD 3PTR by KARSNER,JOSH",12,,12,,CENTRE_M 12-12 (0),,"GOOD 3PTR by KARSNER,JOSH",1
--,"ASSIST  by GRIGGS,MATT",,,,,,,"ASSIST  by GRIGGS,MATT",1
09:07,,,,,"MISS JUMPER by BODEWIG,JOEY",,,"MISS JUMPER by BODEWIG,JOEY",1
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",1
08:52,,,,,"FOUL  by BODEWIG,JOEY",,,"FOUL  by BODEWIG,JOEY",1
08:52,"GOOD FT by WHITESIDE,DONOVAN",13 (+1),,12,,CENTRE_M 13-12 (+1),,"GOOD FT by WHITESIDE,DONOVAN",1
08:52,"GOOD FT by WHITESIDE,DONOVAN",14 (+2),,12,,CENTRE_M 14-12 (+2),,"GOOD FT by WHITESIDE,DONOVAN",1
08:34,,,,,"MISS 3PTR by BUTLER,OSCAR",,,"MISS 3PTR by BUTLER,OSCAR",1
--,,,,,"REBOUND OFF by AGOSTO,JOSE",,,"REBOUND OFF by AGOSTO,JOSE",1
08:30,"FOUL  by WHITESIDE,DONOVAN",,,,,,,"FOUL  by WHITESIDE,DONOVAN",1
08:30,,14 (+1),,13,"GOOD FT by AGOSTO,JOSE",MVCM 14-13 (+1),,"GOOD FT by AGOSTO,JOSE",1
08:30,,,,,"MISS FT by AGOSTO,JOSE",,,"MISS FT by AGOSTO,JOSE",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
08:30,,,,,"FOUL  by BODEWIG,JOEY",,,"FOUL  by BODEWIG,JOEY",1
08:30,"SUB IN by LOHR,MATT",,,,,,,"SUB IN by LOHR,MATT",1
08:30,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",1
08:17,,,,,"FOUL  by LAMBERT,WES",,,"FOUL  by LAMBERT,WES",1
07:57,"MISS JUMPER by SAGRAVES,AUSTIN",,,,,,,"MISS JUMPER by SAGRAVES,AUSTIN",1
07:57,,,,,"BLOCK  by BUTLER,OSCAR",,,"BLOCK  by BUTLER,OSCAR",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
07:57,"SUB IN by TAYLOR,CHRIS",,,,,,,"SUB IN by TAYLOR,CHRIS",1
07:57,"SUB IN by ELLIS,BRYON",,,,,,,"SUB IN by ELLIS,BRYON",1
07:57,"SUB OUT by SAGRAVES,AUSTIN",,,,,,,"SUB OUT by SAGRAVES,AUSTIN",1
07:57,"SUB OUT by GRIGGS,MATT",,,,,,,"SUB OUT by GRIGGS,MATT",1
07:56,,,,,"SUB IN by MBIMI,ISAAC",,,"SUB IN by MBIMI,ISAAC",1
07:56,,,,,"SUB OUT by AGOSTO,JOSE",,,"SUB OUT by AGOSTO,JOSE",1
07:45,"GOOD 3PTR by KARSNER,JOSH",17 (+4),,13,,CENTRE_M 17-13 (+4),,"GOOD 3PTR by KARSNER,JOSH",1
--,"ASSIST  by ELLIS,BRYON",,,,,,,"ASSIST  by ELLIS,BRYON",1
07:14,,,,,"MISS 3PTR by FORD,CHRISTIAN",,,"MISS 3PTR by FORD,CHRISTIAN",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
06:48,"MISS LAYUP by WESLEY,TYLER",,,,,,,"MISS LAYUP by WESLEY,TYLER",1
06:48,,,,,"BLOCK  by BUTLER,OSCAR",,,"BLOCK  by BUTLER,OSCAR",1
--,,,,,"REBOUND DEF by FORD,CHRISTIAN",,,"REBOUND DEF by FORD,CHRISTIAN",1
06:42,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",1
06:42,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
06:42,"SUB OUT by LOHR,MATT",,,,,,,"SUB OUT by LOHR,MATT",1
06:42,,,,,"SUB IN by BYRD,JAUMONEE",,,"SUB IN by BYRD,JAUMONEE",1
06:42,,,,,"SUB OUT by BODEWIG,JOEY",,,"SUB OUT by BODEWIG,JOEY",1
06:39,,17 (+2),,15,"GOOD JUMPER by BYRD,JAUMONEE(in the paint)",MVCM 17-15 (+2),,"GOOD JUMPER by BYRD,JAUMONEE(in the paint)",1
--,,,,,"ASSIST  by BUTLER,OSCAR",,,"ASSIST  by BUTLER,OSCAR",1
06:16,"TURNOVER  by SCINTA,BLAKE",,,,,,,"TURNOVER  by SCINTA,BLAKE",1
06:15,,,,,"STEAL  by BUTLER,OSCAR",,,"STEAL  by BUTLER,OSCAR",1
06:04,,,,,"TURNOVER  by BYRD,JAUMONEE",,,"TURNOVER  by BYRD,JAUMONEE",1
06:04,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
06:04,"SUB IN by LOHR,MATT",,,,,,,"SUB IN by LOHR,MATT",1
06:04,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",1
05:51,,,,,"FOUL  by LAMBERT,WES",,,"FOUL  by LAMBERT,WES",1
05:51,"GOOD FT by SCINTA,BLAKE",18 (+3),,15,,CENTRE_M 18-15 (+3),,"GOOD FT by SCINTA,BLAKE",1
05:51,"GOOD FT by SCINTA,BLAKE",19 (+4),,15,,CENTRE_M 19-15 (+4),,"GOOD FT by SCINTA,BLAKE",1
05:51,,,,,"SUB IN by RAYE,CRAIG",,,"SUB IN by RAYE,CRAIG",1
05:51,,,,,"SUB OUT by BUTLER,OSCAR",,,"SUB OUT by BUTLER,OSCAR",1
05:38,,19 (+1),,18,"GOOD 3PTR by LAMBERT,WES",MVCM 19-18 (+1),,"GOOD 3PTR by LAMBERT,WES",1
--,,,,,"ASSIST  by RAYE,CRAIG",,,"ASSIST  by RAYE,CRAIG",1
05:23,"GOOD LAYUP by TAYLOR,CHRIS(in the paint)",21 (+3),,18,,CENTRE_M 21-18 (+3),,"GOOD LAYUP by TAYLOR,CHRIS(in the paint)",1
05:05,,,,,"TURNOVER  by BYRD,JAUMONEE",,,"TURNOVER  by BYRD,JAUMONEE",1
05:04,"STEAL  by SCINTA,BLAKE",,,,,,,"STEAL  by SCINTA,BLAKE",1
04:57,"MISS 3PTR by SCINTA,BLAKE",,,,,,,"MISS 3PTR by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by FORD,CHRISTIAN",,,"REBOUND DEF by FORD,CHRISTIAN",1
04:49,,,,,"TURNOVER  by FORD,CHRISTIAN",,,"TURNOVER  by FORD,CHRISTIAN",1
04:48,"STEAL  by WESLEY,TYLER",,,,,,,"STEAL  by WESLEY,TYLER",1
04:25,"MISS JUMPER by TAYLOR,CHRIS",,,,,,,"MISS JUMPER by TAYLOR,CHRIS",1
--,,,,,"REBOUND DEF by FORD,CHRISTIAN",,,"REBOUND DEF by FORD,CHRISTIAN",1
04:12,,21,,21,"GOOD 3PTR by LAMBERT,WES",MVCM 21-21 (0),,"GOOD 3PTR by LAMBERT,WES",1
--,,,,,"ASSIST  by FORD,CHRISTIAN",,,"ASSIST  by FORD,CHRISTIAN",1
03:48,"MISS LAYUP by SCINTA,BLAKE",,,,,,,"MISS LAYUP by SCINTA,BLAKE",1
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",1
03:44,"GOOD LAYUP by WESLEY,TYLER(in the paint)",23 (+2),,21,,CENTRE_M 23-21 (+2),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
03:33,,,,,"MISS 3PTR by LAMBERT,WES",,,"MISS 3PTR by LAMBERT,WES",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
03:33,"SUB IN by GRIGGS,MATT",,,,,,,"SUB IN by GRIGGS,MATT",1
03:33,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
03:33,"SUB OUT by LOHR,MATT",,,,,,,"SUB OUT by LOHR,MATT",1
03:33,"SUB OUT by TAYLOR,CHRIS",,,,,,,"SUB OUT by TAYLOR,CHRIS",1
03:33,,,,,"SUB IN by BURRIS,JP",,,"SUB IN by BURRIS,JP",1
03:33,,,,,"SUB IN by AGOSTO,JOSE",,,"SUB IN by AGOSTO,JOSE",1
03:33,,,,,"SUB OUT by MBIMI,ISAAC",,,"SUB OUT by MBIMI,ISAAC",1
03:33,,,,,"SUB OUT by FORD,CHRISTIAN",,,"SUB OUT by FORD,CHRISTIAN",1
03:19,"GOOD LAYUP by LOHR,MATT(in the paint)",25 (+4),,21,,CENTRE_M 25-21 (+4),,"GOOD LAYUP by LOHR,MATT(in the paint)",1
--,"ASSIST  by SCINTA,BLAKE",,,,,,,"ASSIST  by SCINTA,BLAKE",1
03:13,"SUB IN by NEWSOME,TAYLOR",,,,,,,"SUB IN by NEWSOME,TAYLOR",1
03:13,"SUB IN by LOHR,MATT",,,,,,,"SUB IN by LOHR,MATT",1
02:58,"FOUL  by LOHR,MATT",,,,,,,"FOUL  by LOHR,MATT",1
02:52,,,,,"MISS FT by RAYE,CRAIG",,,"MISS FT by RAYE,CRAIG",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
02:52,,25 (+3),,22,"GOOD FT by RAYE,CRAIG",MVCM 25-22 (+3),,"GOOD FT by RAYE,CRAIG",1
02:52,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",1
02:52,"SUB OUT by NEWSOME,TAYLOR",,,,,,,"SUB OUT by NEWSOME,TAYLOR",1
02:34,,,,,"SUB IN by GRIFFIN,JETHRO",,,"SUB IN by GRIFFIN,JETHRO",1
02:34,,,,,"SUB OUT by LAMBERT,WES",,,"SUB OUT by LAMBERT,WES",1
02:15,"TURNOVER  by ELLIS,BRYON",,,,,,,"TURNOVER  by ELLIS,BRYON",1
02:00,,,,,"MISS LAYUP by AGOSTO,JOSE",,,"MISS LAYUP by AGOSTO,JOSE",1
02:00,"BLOCK  by KARSNER,JOSH",,,,,,,"BLOCK  by KARSNER,JOSH",1
--,,,,,"REBOUND OFF by GRIFFIN,JETHRO",,,"REBOUND OFF by GRIFFIN,JETHRO",1
01:56,,25 (+1),,24,"GOOD JUMPER by GRIFFIN,JETHRO",MVCM 25-24 (+1),,"GOOD JUMPER by GRIFFIN,JETHRO",1
01:41,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
01:41,"SUB IN by SAGRAVES,AUSTIN",,,,,,,"SUB IN by SAGRAVES,AUSTIN",1
01:41,"SUB OUT by LOHR,MATT",,,,,,,"SUB OUT by LOHR,MATT",1
01:41,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
01:23,"MISS JUMPER by WESLEY,TYLER",,,,,,,"MISS JUMPER by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by BYRD,JAUMONEE",,,"REBOUND DEF by BYRD,JAUMONEE",1
01:11,,,,,"MISS JUMPER by RAYE,CRAIG",,,"MISS JUMPER by RAYE,CRAIG",1
01:11,"BLOCK  by WESLEY,TYLER",,,,,,,"BLOCK  by WESLEY,TYLER",1
--,,,,,"REBOUND OFF by RAYE,CRAIG",,,"REBOUND OFF by RAYE,CRAIG",1
01:05,,,,,"TURNOVER  by RAYE,CRAIG",,,"TURNOVER  by RAYE,CRAIG",1
01:04,"STEAL  by GRIGGS,MATT",,,,,,,"STEAL  by GRIGGS,MATT",1
00:58,"MISS JUMPER by WESLEY,TYLER",,,,,,,"MISS JUMPER by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by RAYE,CRAIG",,,"REBOUND DEF by RAYE,CRAIG",1
00:50,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",1
00:50,,25,,25,"GOOD FT by BYRD,JAUMONEE",MVCM 25-25 (0),,"GOOD FT by BYRD,JAUMONEE",1
--,,,,,"ASSIST  by BURRIS,JP",,,"ASSIST  by BURRIS,JP",1
00:50,,25,,26 (+1),"GOOD FT by BYRD,JAUMONEE",MVCM 25-26 (-1),,"GOOD FT by BYRD,JAUMONEE",1
00:50,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
00:50,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",1
00:50,,,,,"SUB IN by FORD,CHRISTIAN",,,"SUB IN by FORD,CHRISTIAN",1
00:50,,,,,"SUB IN by BUTLER,OSCAR",,,"SUB IN by BUTLER,OSCAR",1
00:50,,,,,"SUB OUT by BURRIS,JP",,,"SUB OUT by BURRIS,JP",1
00:50,,,,,"SUB OUT by AGOSTO,JOSE",,,"SUB OUT by AGOSTO,JOSE",1
00:35,"MISS 3PTR by SCINTA,BLAKE",,,,,,,"MISS 3PTR by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by FORD,CHRISTIAN",,,"REBOUND DEF by FORD,CHRISTIAN",1
00:15,,,,,"MISS 3PTR by BUTLER,OSCAR",,,"MISS 3PTR by BUTLER,OSCAR",1
--,,,,,"REBOUND OFF by BYRD,JAUMONEE",,,"REBOUND OFF by BYRD,JAUMONEE",1
00:12,"FOUL  by SCINTA,BLAKE",,,,,,,"FOUL  by SCINTA,BLAKE",1
00:12,,,,,"SUB IN by LAMBERT,WES",,,"SUB IN by LAMBERT,WES",1
00:12,,,,,"SUB OUT by GRIFFIN,JETHRO",,,"SUB OUT by GRIFFIN,JETHRO",1
00:05,,,,,"MISS 3PTR by RAYE,CRAIG",,,"MISS 3PTR by RAYE,CRAIG",1
--,"REBOUND DEF by ELLIS,BRYON",,,,,,,"REBOUND DEF by ELLIS,BRYON",1
19:40,"GOOD 3PTR by KARSNER,JOSH",28 (+2),,26,,CENTRE_M 28-26 (+2),,"GOOD 3PTR by KARSNER,JOSH",2
--,"ASSIST  by WESLEY,TYLER",,,,,,,"ASSIST  by WESLEY,TYLER",2
19:22,,28,,29 (+1),"GOOD 3PTR by LAMBERT,WES",MVCM 28-29 (-1),,"GOOD 3PTR by LAMBERT,WES",2
--,,,,,"ASSIST  by BODEWIG,JOEY",,,"ASSIST  by BODEWIG,JOEY",2
19:06,"TURNOVER  by WESLEY,TYLER",,,,,,,"TURNOVER  by WESLEY,TYLER",2
19:04,,,,,"STEAL  by BUTLER,OSCAR",,,"STEAL  by BUTLER,OSCAR",2
18:57,,,,,"MISS JUMPER by AGOSTO,JOSE",,,"MISS JUMPER by AGOSTO,JOSE",2
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",2
18:43,,,,,"FOUL  by BUTLER,OSCAR",,,"FOUL  by BUTLER,OSCAR",2
18:43,"MISS FT by WESLEY,TYLER",,,,,,,"MISS FT by WESLEY,TYLER",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
