Time Remaining,AU,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
14:53,,,,,"TURNOVER  by KARSNER,JOSH",,,"TURNOVER  by KARSNER,JOSH",2
14:51,"STEAL  by DELPH,ADAM",,,,,,,"STEAL  by DELPH,ADAM",2
14:34,"GOOD JUMPER by JONES,JUSTIN",37,,43 (+6),,AU 37-43 (+6),,"GOOD JUMPER by JONES,JUSTIN",2
14:21,"FOUL  by BAIR,KYLE",,,,,,,"FOUL  by BAIR,KYLE",2
14:21,"SUB IN by MCLEISH,MITCH",,,,,,,"SUB IN by MCLEISH,MITCH",2
14:21,"SUB OUT by EUTON,DAKOTAH",,,,,,,"SUB OUT by EUTON,DAKOTAH",2
14:21,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",2
14:21,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",2
14:20,"SUB IN by MORRIS,LEE'VAUGHN",,,,,,,"SUB IN by MORRIS,LEE'VAUGHN",2
14:20,"SUB OUT by BAIR,KYLE",,,,,,,"SUB OUT by BAIR,KYLE",2
13:50,,,,,"MISS JUMPER by WESLEY,TYLER",,,"MISS JUMPER by WESLEY,TYLER",2
13:50,"BLOCK  by MORRIS,LEE'VAUGHN",,,,,,,"BLOCK  by MORRIS,LEE'VAUGHN",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
13:50,,,,,"SUB IN by GEEGAN,MIKE",,,"SUB IN by GEEGAN,MIKE",2
13:50,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",2
13:47,,,,,"MISS 3PTR by ELLIS,BRYON",,,"MISS 3PTR by ELLIS,BRYON",2
--,,,,,"REBOUND OFF by GEEGAN,MIKE",,,"REBOUND OFF by GEEGAN,MIKE",2
13:40,,,,,"TURNOVER  by GEEGAN,MIKE",,,"TURNOVER  by GEEGAN,MIKE",2
13:39,"STEAL  by MCLEISH,MITCH",,,,,,,"STEAL  by MCLEISH,MITCH",2
13:37,"MISS LAYUP by MCLEISH,MITCH",,,,,,,"MISS LAYUP by MCLEISH,MITCH",2
--,,,,,"REBOUND DEF by GEEGAN,MIKE",,,"REBOUND DEF by GEEGAN,MIKE",2
13:05,,37,,45 (+8),"GOOD LAYUP by TAYLOR,CHRIS(in the paint)",CENTRE_M 37-45 (+8),,"GOOD LAYUP by TAYLOR,CHRIS(in the paint)",2
12:57,"GOOD JUMPER by MCLEISH,MITCH",39,,45 (+6),,AU 39-45 (+6),,"GOOD JUMPER by MCLEISH,MITCH",2
--,"ASSIST  by FLANNERY,AUSTIN",,,,,,,"ASSIST  by FLANNERY,AUSTIN",2
12:40,,39,,48 (+9),"GOOD 3PTR by GEEGAN,MIKE",CENTRE_M 39-48 (+9),,"GOOD 3PTR by GEEGAN,MIKE",2
--,,,,,"ASSIST  by ELLIS,BRYON",,,"ASSIST  by ELLIS,BRYON",2
12:27,"MISS 3PTR by FLANNERY,AUSTIN",,,,,,,"MISS 3PTR by FLANNERY,AUSTIN",2
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",2
12:02,,39,,50 (+11),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE_M 39-50 (+11),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
11:43,"SUB IN by EUTON,DAKOTAH",,,,,,,"SUB IN by EUTON,DAKOTAH",2
11:43,"SUB OUT by JONES,JUSTIN",,,,,,,"SUB OUT by JONES,JUSTIN",2
11:43,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",2
11:43,,,,,"SUB IN by WHITESIDE,DONOVAN",,,"SUB IN by WHITESIDE,DONOVAN",2
11:43,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",2
11:43,,,,,"SUB OUT by GEEGAN,MIKE",,,"SUB OUT by GEEGAN,MIKE",2
11:38,"MISS LAYUP by EUTON,DAKOTAH",,,,,,,"MISS LAYUP by EUTON,DAKOTAH",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
11:15,,,,,"TURNOVER  by GRIGGS,MATT",,,"TURNOVER  by GRIGGS,MATT",2
11:00,"GOOD JUMPER by DELPH,ADAM",41,,50 (+9),,AU 41-50 (+9),,"GOOD JUMPER by DELPH,ADAM",2
10:55,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
10:45,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
10:33,,41,,52 (+11),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE_M 41-52 (+11),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
--,,,,,"ASSIST  by GRIGGS,MATT",,,"ASSIST  by GRIGGS,MATT",2
10:21,"MISS LAYUP by DELPH,ADAM",,,,,,,"MISS LAYUP by DELPH,ADAM",2
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",2
09:56,,41,,54 (+13),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE_M 41-54 (+13),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
09:31,"MISS 3PTR by MORRIS,LEE'VAUGHN",,,,,,,"MISS 3PTR by MORRIS,LEE'VAUGHN",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
09:14,,,,,"TURNOVER  by GRIGGS,MATT",,,"TURNOVER  by GRIGGS,MATT",2
09:14,"SUB IN by JONES,JUSTIN",,,,,,,"SUB IN by JONES,JUSTIN",2
09:14,"SUB IN by BRAUNER,SHAWN",,,,,,,"SUB IN by BRAUNER,SHAWN",2
09:14,"SUB OUT by MORRIS,LEE'VAUGHN",,,,,,,"SUB OUT by MORRIS,LEE'VAUGHN",2
09:14,"SUB OUT by MCLEISH,MITCH",,,,,,,"SUB OUT by MCLEISH,MITCH",2
09:14,,,,,"SUB IN by GRIGGS,MATT",,,"SUB IN by GRIGGS,MATT",2
09:14,,,,,"SUB OUT by TAYLOR,CHRIS",,,"SUB OUT by TAYLOR,CHRIS",2
09:10,"GOOD JUMPER by DELPH,ADAM",43,,54 (+11),,AU 43-54 (+11),,"GOOD JUMPER by DELPH,ADAM",2
09:01,,,,,"MISS 3PTR by GEEGAN,MIKE",,,"MISS 3PTR by GEEGAN,MIKE",2
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",2
08:52,,,,,"TURNOVER  by SCINTA,BLAKE",,,"TURNOVER  by SCINTA,BLAKE",2
08:50,"STEAL  by JONES,JUSTIN",,,,,,,"STEAL  by JONES,JUSTIN",2
08:40,"MISS JUMPER by FLANNERY,AUSTIN",,,,,,,"MISS JUMPER by FLANNERY,AUSTIN",2
--,"REBOUND OFF by JONES,JUSTIN",,,,,,,"REBOUND OFF by JONES,JUSTIN",2
08:26,"MISS JUMPER by JONES,JUSTIN",,,,,,,"MISS JUMPER by JONES,JUSTIN",2
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",2
08:12,,,,,"MISS 3PTR by SCINTA,BLAKE",,,"MISS 3PTR by SCINTA,BLAKE",2
--,"REBOUND DEF by FLANNERY,AUSTIN",,,,,,,"REBOUND DEF by FLANNERY,AUSTIN",2
07:58,"MISS JUMPER by JONES,JUSTIN",,,,,,,"MISS JUMPER by JONES,JUSTIN",2
--,,,,,"REBOUND DEF by TAYLOR,CHRIS",,,"REBOUND DEF by TAYLOR,CHRIS",2
07:30,,,,,"MISS LAYUP by TAYLOR,CHRIS",,,"MISS LAYUP by TAYLOR,CHRIS",2
--,"REBOUND DEF by JONES,JUSTIN",,,,,,,"REBOUND DEF by JONES,JUSTIN",2
07:24,"GOOD 3PTR by FLANNERY,AUSTIN",46,,54 (+8),,AU 46-54 (+8),,"GOOD 3PTR by FLANNERY,AUSTIN",2
--,"ASSIST  by BRAUNER,SHAWN",,,,,,,"ASSIST  by BRAUNER,SHAWN",2
07:01,,,,,"MISS JUMPER by WESLEY,TYLER",,,"MISS JUMPER by WESLEY,TYLER",2
--,"REBOUND DEF by FLANNERY,AUSTIN",,,,,,,"REBOUND DEF by FLANNERY,AUSTIN",2
06:51,"GOOD LAYUP by JONES,JUSTIN(in the paint)",48,,54 (+6),,AU 48-54 (+6),,"GOOD LAYUP by JONES,JUSTIN(in the paint)",2
--,"ASSIST  by DELPH,ADAM",,,,,,,"ASSIST  by DELPH,ADAM",2
06:43,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",2
06:43,,,,,"SUB IN by TAYLOR,CHRIS",,,"SUB IN by TAYLOR,CHRIS",2
06:43,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",2
06:43,,,,,"SUB OUT by GRIGGS,MATT",,,"SUB OUT by GRIGGS,MATT",2
06:35,,,,,"MISS 3PTR by WHITESIDE,DONOVAN",,,"MISS 3PTR by WHITESIDE,DONOVAN",2
--,"REBOUND DEF by JONES,JUSTIN",,,,,,,"REBOUND DEF by JONES,JUSTIN",2
06:24,"TURNOVER  by DELPH,ADAM",,,,,,,"TURNOVER  by DELPH,ADAM",2
06:22,,,,,"STEAL  by ELLIS,BRYON",,,"STEAL  by ELLIS,BRYON",2
06:02,"FOUL  by GORDON,DEQUANN",,,,,,,"FOUL  by GORDON,DEQUANN",2
06:02,"SUB IN by GORDON,DEQUANN",,,,,,,"SUB IN by GORDON,DEQUANN",2
06:02,"SUB OUT by EUTON,DAKOTAH",,,,,,,"SUB OUT by EUTON,DAKOTAH",2
05:59,,,,,"MISS JUMPER by WHITESIDE,DONOVAN",,,"MISS JUMPER by WHITESIDE,DONOVAN",2
--,"REBOUND DEF by DELPH,ADAM",,,,,,,"REBOUND DEF by DELPH,ADAM",2
05:48,"MISS JUMPER by BRAUNER,SHAWN",,,,,,,"MISS JUMPER by BRAUNER,SHAWN",2
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",2
05:30,"FOUL  by GORDON,DEQUANN",,,,,,,"FOUL  by GORDON,DEQUANN",2
05:30,"SUB IN by MCLEISH,MITCH",,,,,,,"SUB IN by MCLEISH,MITCH",2
05:30,"SUB OUT by FLANNERY,AUSTIN",,,,,,,"SUB OUT by FLANNERY,AUSTIN",2
05:19,"FOUL  by JONES,JUSTIN",,,,,,,"FOUL  by JONES,JUSTIN",2
05:19,,48,,55 (+7),"GOOD FT by SCINTA,BLAKE",CENTRE_M 48-55 (+7),,"GOOD FT by SCINTA,BLAKE",2
05:19,,48,,56 (+8),"GOOD FT by SCINTA,BLAKE",CENTRE_M 48-56 (+8),,"GOOD FT by SCINTA,BLAKE",2
05:05,"MISS 3PTR by MCLEISH,MITCH",,,,,,,"MISS 3PTR by MCLEISH,MITCH",2
--,"REBOUND OFF by BRAUNER,SHAWN",,,,,,,"REBOUND OFF by BRAUNER,SHAWN",2
04:54,"GOOD LAYUP by DELPH,ADAM(in the paint)",50,,56 (+6),,AU 50-56 (+6),,"GOOD LAYUP by DELPH,ADAM(in the paint)",2
04:44,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
04:23,,,,,"MISS 3PTR by ELLIS,BRYON",,,"MISS 3PTR by ELLIS,BRYON",2
--,"REBOUND DEF by DELPH,ADAM",,,,,,,"REBOUND DEF by DELPH,ADAM",2
04:11,"MISS 3PTR by DELPH,ADAM",,,,,,,"MISS 3PTR by DELPH,ADAM",2
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",2
03:58,"FOUL  by GORDON,DEQUANN",,,,,,,"FOUL  by GORDON,DEQUANN",2
03:58,,,,,"MISS FT by SCINTA,BLAKE",,,"MISS FT by SCINTA,BLAKE",2
--,"REBOUND DEF by JONES,JUSTIN",,,,,,,"REBOUND DEF by JONES,JUSTIN",2
03:58,"SUB IN by BAIR,KYLE",,,,,,,"SUB IN by BAIR,KYLE",2
03:58,"SUB IN by FLANNERY,AUSTIN",,,,,,,"SUB IN by FLANNERY,AUSTIN",2
03:58,"SUB OUT by BRAUNER,SHAWN",,,,,,,"SUB OUT by BRAUNER,SHAWN",2
03:58,"SUB OUT by GORDON,DEQUANN",,,,,,,"SUB OUT by GORDON,DEQUANN",2
03:55,"TURNOVER  by MCLEISH,MITCH",,,,,,,"TURNOVER  by MCLEISH,MITCH",2
03:46,,,,,"TURNOVER  by WHITESIDE,DONOVAN",,,"TURNOVER  by WHITESIDE,DONOVAN",2
03:39,"GOOD LAYUP by DELPH,ADAM(in the paint)",52,,56 (+4),,AU 52-56 (+4),,"GOOD LAYUP by DELPH,ADAM(in the paint)",2
03:15,,,,,"TURNOVER  by TAYLOR,CHRIS",,,"TURNOVER  by TAYLOR,CHRIS",2
03:13,"STEAL  by DELPH,ADAM",,,,,,,"STEAL  by DELPH,ADAM",2
03:12,"GOOD LAYUP by DELPH,ADAM(in the paint)",54,,56 (+2),,AU 54-56 (+2),,"GOOD LAYUP by DELPH,ADAM(in the paint)",2
03:09,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:56,"FOUL  by MCLEISH,MITCH",,,,,,,"FOUL  by MCLEISH,MITCH",2
02:56,,54,,57 (+3),"GOOD FT by KARSNER,JOSH",CENTRE_M 54-57 (+3),,"GOOD FT by KARSNER,JOSH",2
02:56,,54,,58 (+4),"GOOD FT by KARSNER,JOSH",CENTRE_M 54-58 (+4),,"GOOD FT by KARSNER,JOSH",2
02:56,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",2
02:56,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",2
02:46,"GOOD LAYUP by JONES,JUSTIN(in the paint)",56,,58 (+2),,AU 56-58 (+2),,"GOOD LAYUP by JONES,JUSTIN(in the paint)",2
--,"ASSIST  by DELPH,ADAM",,,,,,,"ASSIST  by DELPH,ADAM",2
02:23,,,,,"TURNOVER  by TAYLOR,CHRIS",,,"TURNOVER  by TAYLOR,CHRIS",2
02:16,"MISS JUMPER by DELPH,ADAM",,,,,,,"MISS JUMPER by DELPH,ADAM",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
01:57,,56,,61 (+5),"GOOD 3PTR by KARSNER,JOSH",CENTRE_M 56-61 (+5),,"GOOD 3PTR by KARSNER,JOSH",2
--,,,,,"ASSIST  by ELLIS,BRYON",,,"ASSIST  by ELLIS,BRYON",2
01:45,"TURNOVER  by DELPH,ADAM",,,,,,,"TURNOVER  by DELPH,ADAM",2
01:34,,,,,"TURNOVER  by WHITESIDE,DONOVAN",,,"TURNOVER  by WHITESIDE,DONOVAN",2
01:32,"STEAL  by MCLEISH,MITCH",,,,,,,"STEAL  by MCLEISH,MITCH",2
01:30,"MISS LAYUP by MCLEISH,MITCH",,,,,,,"MISS LAYUP by MCLEISH,MITCH",2
--,,,,,"REBOUND DEF by TAYLOR,CHRIS",,,"REBOUND DEF by TAYLOR,CHRIS",2
00:58,,56,,64 (+8),"GOOD 3PTR by ELLIS,BRYON",CENTRE_M 56-64 (+8),,"GOOD 3PTR by ELLIS,BRYON",2
--,,,,,"ASSIST  by KARSNER,JOSH",,,"ASSIST  by KARSNER,JOSH",2
00:55,"SUB IN by EUTON,DAKOTAH",,,,,,,"SUB IN by EUTON,DAKOTAH",2
00:55,"SUB OUT by MCLEISH,MITCH",,,,,,,"SUB OUT by MCLEISH,MITCH",2
00:55,,,,,"SUB IN by GRIGGS,MATT",,,"SUB IN by GRIGGS,MATT",2
00:55,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",2
00:55,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",2
00:55,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",2
00:52,,,,,"FOUL  by GRIGGS,MATT",,,"FOUL  by GRIGGS,MATT",2
00:52,"MISS JUMPER by DELPH,ADAM",,,,,,,"MISS JUMPER by DELPH,ADAM",2
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",2
00:52,"FOUL  by BAIR,KYLE",,,,,,,"FOUL  by BAIR,KYLE",2
00:52,,56,,65 (+9),"GOOD FT by GRIGGS,MATT",CENTRE_M 56-65 (+9),,"GOOD FT by GRIGGS,MATT",2
00:52,,,,,"MISS FT by GRIGGS,MATT",,,"MISS FT by GRIGGS,MATT",2
--,"REBOUND DEF by BRAUNER,SHAWN",,,,,,,"REBOUND DEF by BRAUNER,SHAWN",2
00:24,"GOOD 3PTR by JONES,JUSTIN",59,,65 (+6),,AU 59-65 (+6),,"GOOD 3PTR by JONES,JUSTIN",2
--,"ASSIST  by BRAUNER,SHAWN",,,,,,,"ASSIST  by BRAUNER,SHAWN",2
00:24,"FOUL  by DELPH,ADAM",,,,,,,"FOUL  by DELPH,ADAM",2
00:24,,,,,"MISS FT by SCINTA,BLAKE",,,"MISS FT by SCINTA,BLAKE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:24,,59,,66 (+7),"GOOD FT by SCINTA,BLAKE",CENTRE_M 59-66 (+7),,"GOOD FT by SCINTA,BLAKE",2
00:24,"SUB OUT by BAIR,KYLE",,,,,,,"SUB OUT by BAIR,KYLE",2
00:20,"MISS 3PTR by FLANNERY,AUSTIN",,,,,,,"MISS 3PTR by FLANNERY,AUSTIN",2
--,"REBOUND OFF by DELPH,ADAM",,,,,,,"REBOUND OFF by DELPH,ADAM",2
00:16,"MISS LAYUP by DELPH,ADAM",,,,,,,"MISS LAYUP by DELPH,ADAM",2
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",2
00:00,"SUB IN by BRAUNER,SHAWN",,,,,,,"SUB IN by BRAUNER,SHAWN",2
