Time Remaining,CENTRE_M,Away Team Score,Play Team Indicator,Home Team Score,CCU,Game Score,Team Indicator,Play,Period
13:54,"GOOD JUMPER by HERTZEL,HOLDEN",40 (+12),,28,,CENTRE_M 40-28 (+12),,"GOOD JUMPER by HERTZEL,HOLDEN",2
13:35,,40 (+10),,30,"GOOD JUMPER by IRRER,AUSTIN(in the paint)",CCU 40-30 (+10),,"GOOD JUMPER by IRRER,AUSTIN(in the paint)",2
13:10,"FOUL  by HERTZEL,HOLDEN",,,,,,,"FOUL  by HERTZEL,HOLDEN",2
13:10,"TURNOVER  by HERTZEL,HOLDEN",,,,,,,"TURNOVER  by HERTZEL,HOLDEN",2
13:10,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
13:10,"SUB IN by WHITESIDE,DONOVAN",,,,,,,"SUB IN by WHITESIDE,DONOVAN",2
13:10,"SUB IN by GRIGGS,MATT",,,,,,,"SUB IN by GRIGGS,MATT",2
13:10,"SUB OUT by TAYLOR,CHRIS",,,,,,,"SUB OUT by TAYLOR,CHRIS",2
13:10,"SUB OUT by SAGRAVES,AUSTIN",,,,,,,"SUB OUT by SAGRAVES,AUSTIN",2
13:10,,,,,"SUB IN by MASSE,WILL",,,"SUB IN by MASSE,WILL",2
13:10,,,,,"SUB OUT by WAKE,NICK",,,"SUB OUT by WAKE,NICK",2
12:43,,40 (+8),,32,"GOOD JUMPER by GAYNOR,KENNY(in the paint)",CCU 40-32 (+8),,"GOOD JUMPER by GAYNOR,KENNY(in the paint)",2
--,,,,,"ASSIST  by MCCOMMONS,DJ",,,"ASSIST  by MCCOMMONS,DJ",2
12:28,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",42 (+10),,32,,CENTRE_M 42-32 (+10),,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",2
12:09,,,,,"TURNOVER  by IRRER,AUSTIN",,,"TURNOVER  by IRRER,AUSTIN",2
12:08,"STEAL  by WHITESIDE,DONOVAN",,,,,,,"STEAL  by WHITESIDE,DONOVAN",2
12:05,"GOOD LAYUP by LOPEZ,COLLIN(fastbreak)(in the paint)",44 (+12),,32,,CENTRE_M 44-32 (+12),,"GOOD LAYUP by LOPEZ,COLLIN(fastbreak)(in the paint)",2
--,"ASSIST  by WHITESIDE,DONOVAN",,,,,,,"ASSIST  by WHITESIDE,DONOVAN",2
11:39,,,,,"MISS 3PTR by MCCLINTIC,JEFF",,,"MISS 3PTR by MCCLINTIC,JEFF",2
--,"REBOUND DEF by NEWSOME,TAYLOR",,,,,,,"REBOUND DEF by NEWSOME,TAYLOR",2
11:16,"MISS LAYUP by HERTZEL,HOLDEN",,,,,,,"MISS LAYUP by HERTZEL,HOLDEN",2
--,,,,,"REBOUND DEF by GAYNOR,KENNY",,,"REBOUND DEF by GAYNOR,KENNY",2
11:15,"FOUL  by HERTZEL,HOLDEN",,,,,,,"FOUL  by HERTZEL,HOLDEN",2
11:15,"SUB IN by ELLIS,BRYON",,,,,,,"SUB IN by ELLIS,BRYON",2
11:15,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",2
11:15,"SUB OUT by LOPEZ,COLLIN",,,,,,,"SUB OUT by LOPEZ,COLLIN",2
11:15,"SUB OUT by HERTZEL,HOLDEN",,,,,,,"SUB OUT by HERTZEL,HOLDEN",2
11:15,,,,,"SUB IN by SHELLMAN,JOE",,,"SUB IN by SHELLMAN,JOE",2
11:15,,,,,"SUB OUT by IRRER,AUSTIN",,,"SUB OUT by IRRER,AUSTIN",2
10:55,,44 (+10),,34,"GOOD JUMPER by GAYNOR,KENNY(in the paint)",CCU 44-34 (+10),,"GOOD JUMPER by GAYNOR,KENNY(in the paint)",2
--,,,,,"ASSIST  by MCCOMMONS,DJ",,,"ASSIST  by MCCOMMONS,DJ",2
10:30,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",2
--,,,,,"REBOUND DEF by MCCOMMONS,DJ",,,"REBOUND DEF by MCCOMMONS,DJ",2
10:08,"FOUL  by ELLIS,BRYON",,,,,,,"FOUL  by ELLIS,BRYON",2
10:08,,,,,"MISS FT by SHELLMAN,JOE",,,"MISS FT by SHELLMAN,JOE",2
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",2
09:34,"MISS 3PTR by WHITESIDE,DONOVAN",,,,,,,"MISS 3PTR by WHITESIDE,DONOVAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
09:32,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
09:32,"SUB IN by TAYLOR,CHRIS",,,,,,,"SUB IN by TAYLOR,CHRIS",2
09:32,"SUB OUT by GRIGGS,MATT",,,,,,,"SUB OUT by GRIGGS,MATT",2
09:32,,,,,"SUB IN by WAKE,NICK",,,"SUB IN by WAKE,NICK",2
09:32,,,,,"SUB OUT by MCCLINTIC,JEFF",,,"SUB OUT by MCCLINTIC,JEFF",2
09:18,,,,,"TURNOVER  by MCCOMMONS,DJ",,,"TURNOVER  by MCCOMMONS,DJ",2
09:04,"TURNOVER  by NEWSOME,TAYLOR",,,,,,,"TURNOVER  by NEWSOME,TAYLOR",2
08:42,,,,,"TURNOVER  by GAYNOR,KENNY",,,"TURNOVER  by GAYNOR,KENNY",2
08:41,"STEAL  by ELLIS,BRYON",,,,,,,"STEAL  by ELLIS,BRYON",2
08:38,"GOOD LAYUP by TAYLOR,CHRIS(fastbreak)(in the paint)",46 (+12),,34,,CENTRE_M 46-34 (+12),,"GOOD LAYUP by TAYLOR,CHRIS(fastbreak)(in the paint)",2
--,"ASSIST  by ELLIS,BRYON",,,,,,,"ASSIST  by ELLIS,BRYON",2
08:22,,,,,"TURNOVER  by GAYNOR,KENNY",,,"TURNOVER  by GAYNOR,KENNY",2
08:20,"STEAL  by WHITESIDE,DONOVAN",,,,,,,"STEAL  by WHITESIDE,DONOVAN",2
08:17,"MISS LAYUP by WHITESIDE,DONOVAN",,,,,,,"MISS LAYUP by WHITESIDE,DONOVAN",2
--,,,,,"REBOUND DEF by GAYNOR,KENNY",,,"REBOUND DEF by GAYNOR,KENNY",2
08:12,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
08:12,,,,,"SUB IN by IRRER,AUSTIN",,,"SUB IN by IRRER,AUSTIN",2
08:12,,,,,"SUB OUT by MASSE,WILL",,,"SUB OUT by MASSE,WILL",2
07:54,,,,,"MISS LAYUP by IRRER,AUSTIN",,,"MISS LAYUP by IRRER,AUSTIN",2
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",2
07:46,"GOOD LAYUP by NEWSOME,TAYLOR(fastbreak)(in the paint)",48 (+14),,34,,CENTRE_M 48-34 (+14),,"GOOD LAYUP by NEWSOME,TAYLOR(fastbreak)(in the paint)",2
--,"ASSIST  by ELLIS,BRYON",,,,,,,"ASSIST  by ELLIS,BRYON",2
07:29,,,,,"MISS JUMPER by MCCOMMONS,DJ",,,"MISS JUMPER by MCCOMMONS,DJ",2
--,"REBOUND DEF by ELLIS,BRYON",,,,,,,"REBOUND DEF by ELLIS,BRYON",2
07:19,"GOOD LAYUP by NEWSOME,TAYLOR(in the paint)",50 (+16),,34,,CENTRE_M 50-34 (+16),,"GOOD LAYUP by NEWSOME,TAYLOR(in the paint)",2
--,"ASSIST  by KARSNER,JOSH",,,,,,,"ASSIST  by KARSNER,JOSH",2
06:53,,50 (+14),,36,"GOOD JUMPER by MCCOMMONS,DJ(in the paint)",CCU 50-36 (+14),,"GOOD JUMPER by MCCOMMONS,DJ(in the paint)",2
06:53,"FOUL  by TAYLOR,CHRIS",,,,,,,"FOUL  by TAYLOR,CHRIS",2
06:53,,50 (+13),,37,"GOOD FT by MCCOMMONS,DJ",CCU 50-37 (+13),,"GOOD FT by MCCOMMONS,DJ",2
06:36,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",2
--,,,,,"REBOUND DEF by GAYNOR,KENNY",,,"REBOUND DEF by GAYNOR,KENNY",2
06:19,,,,,"TURNOVER  by GAYNOR,KENNY",,,"TURNOVER  by GAYNOR,KENNY",2
05:57,"MISS 3PTR by ELLIS,BRYON",,,,,,,"MISS 3PTR by ELLIS,BRYON",2
--,,,,,"REBOUND DEF by SHELLMAN,JOE",,,"REBOUND DEF by SHELLMAN,JOE",2
05:45,,,,,"TURNOVER  by GAYNOR,KENNY",,,"TURNOVER  by GAYNOR,KENNY",2
05:45,,,,,"SUB IN by MCCLINTIC,JEFF",,,"SUB IN by MCCLINTIC,JEFF",2
05:45,,,,,"SUB OUT by SHELLMAN,JOE",,,"SUB OUT by SHELLMAN,JOE",2
05:29,"MISS LAYUP by ELLIS,BRYON",,,,,,,"MISS LAYUP by ELLIS,BRYON",2
--,,,,,"REBOUND DEF by IRRER,AUSTIN",,,"REBOUND DEF by IRRER,AUSTIN",2
05:19,"FOUL  by NEWSOME,TAYLOR",,,,,,,"FOUL  by NEWSOME,TAYLOR",2
05:19,,,,,"MISS FT by GAYNOR,KENNY",,,"MISS FT by GAYNOR,KENNY",2
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",2
05:05,"GOOD 3PTR by KARSNER,JOSH",53 (+16),,37,,CENTRE_M 53-37 (+16),,"GOOD 3PTR by KARSNER,JOSH",2
--,"ASSIST  by TAYLOR,CHRIS",,,,,,,"ASSIST  by TAYLOR,CHRIS",2
05:05,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
04:48,,,,,"MISS JUMPER by GAYNOR,KENNY",,,"MISS JUMPER by GAYNOR,KENNY",2
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",2
04:24,"MISS JUMPER by TAYLOR,CHRIS",,,,,,,"MISS JUMPER by TAYLOR,CHRIS",2
--,"REBOUND OFF by WHITESIDE,DONOVAN",,,,,,,"REBOUND OFF by WHITESIDE,DONOVAN",2
03:53,"MISS JUMPER by KARSNER,JOSH",,,,,,,"MISS JUMPER by KARSNER,JOSH",2
--,,,,,"REBOUND DEF by GAYNOR,KENNY",,,"REBOUND DEF by GAYNOR,KENNY",2
03:41,,53 (+14),,39,"GOOD JUMPER by MCCOMMONS,DJ(in the paint)",CCU 53-39 (+14),,"GOOD JUMPER by MCCOMMONS,DJ(in the paint)",2
03:17,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",55 (+16),,39,,CENTRE_M 55-39 (+16),,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",2
--,"ASSIST  by ELLIS,BRYON",,,,,,,"ASSIST  by ELLIS,BRYON",2
03:03,,,,,"MISS 3PTR by WAKE,NICK",,,"MISS 3PTR by WAKE,NICK",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
03:02,,,,,"FOUL  by IRRER,AUSTIN",,,"FOUL  by IRRER,AUSTIN",2
02:52,,,,,"FOUL  by IRRER,AUSTIN",,,"FOUL  by IRRER,AUSTIN",2
02:22,,,,,"FOUL  by IRRER,AUSTIN",,,"FOUL  by IRRER,AUSTIN",2
02:22,"GOOD FT by NEWSOME,TAYLOR",56 (+17),,39,,CENTRE_M 56-39 (+17),,"GOOD FT by NEWSOME,TAYLOR",2
02:22,"GOOD FT by NEWSOME,TAYLOR",57 (+18),,39,,CENTRE_M 57-39 (+18),,"GOOD FT by NEWSOME,TAYLOR",2
02:06,,57 (+15),,42,"GOOD 3PTR by MCCLINTIC,JEFF",CCU 57-42 (+15),,"GOOD 3PTR by MCCLINTIC,JEFF",2
--,,,,,"ASSIST  by WAKE,NICK",,,"ASSIST  by WAKE,NICK",2
02:06,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:06,,,,,"SUB IN by MASSE,WILL",,,"SUB IN by MASSE,WILL",2
02:06,,,,,"SUB IN by SHELLMAN,JOE",,,"SUB IN by SHELLMAN,JOE",2
02:06,,,,,"SUB IN by LEATHERMAN,BEN",,,"SUB IN by LEATHERMAN,BEN",2
02:06,,,,,"SUB OUT by GAYNOR,KENNY",,,"SUB OUT by GAYNOR,KENNY",2
02:06,,,,,"SUB OUT by IRRER,AUSTIN",,,"SUB OUT by IRRER,AUSTIN",2
02:06,,,,,"SUB OUT by MCCLINTIC,JEFF",,,"SUB OUT by MCCLINTIC,JEFF",2
01:57,,,,,"FOUL  by MCCOMMONS,DJ",,,"FOUL  by MCCOMMONS,DJ",2
01:49,,,,,"FOUL  by MCCOMMONS,DJ",,,"FOUL  by MCCOMMONS,DJ",2
01:49,"SUB IN by GRIGGS,MATT",,,,,,,"SUB IN by GRIGGS,MATT",2
01:49,"SUB OUT by TAYLOR,CHRIS",,,,,,,"SUB OUT by TAYLOR,CHRIS",2
01:38,,,,,"FOUL  by SHELLMAN,JOE",,,"FOUL  by SHELLMAN,JOE",2
01:38,"GOOD FT by WHITESIDE,DONOVAN",58 (+16),,42,,CENTRE_M 58-42 (+16),,"GOOD FT by WHITESIDE,DONOVAN",2
01:38,"GOOD FT by WHITESIDE,DONOVAN",59 (+17),,42,,CENTRE_M 59-42 (+17),,"GOOD FT by WHITESIDE,DONOVAN",2
01:38,"SUB IN by TAYLOR,CHRIS",,,,,,,"SUB IN by TAYLOR,CHRIS",2
01:38,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",2
01:38,,,,,"SUB IN by MCCLINTIC,JEFF",,,"SUB IN by MCCLINTIC,JEFF",2
01:38,,,,,"SUB IN by IRRER,AUSTIN",,,"SUB IN by IRRER,AUSTIN",2
01:38,,,,,"SUB IN by GAYNOR,KENNY",,,"SUB IN by GAYNOR,KENNY",2
01:38,,,,,"SUB OUT by MASSE,WILL",,,"SUB OUT by MASSE,WILL",2
01:38,,,,,"SUB OUT by SHELLMAN,JOE",,,"SUB OUT by SHELLMAN,JOE",2
01:38,,,,,"SUB OUT by LEATHERMAN,BEN",,,"SUB OUT by LEATHERMAN,BEN",2
01:25,,,,,"MISS JUMPER by GAYNOR,KENNY",,,"MISS JUMPER by GAYNOR,KENNY",2
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",2
00:48,"TURNOVER  by NEWSOME,TAYLOR",,,,,,,"TURNOVER  by NEWSOME,TAYLOR",2
00:47,,,,,"STEAL  by IRRER,AUSTIN",,,"STEAL  by IRRER,AUSTIN",2
00:42,,59 (+15),,44,"GOOD LAYUP by WAKE,NICK(in the paint)",CCU 59-44 (+15),,"GOOD LAYUP by WAKE,NICK(in the paint)",2
00:41,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:25,,,,,"FOUL  by MCCLINTIC,JEFF",,,"FOUL  by MCCLINTIC,JEFF",2
00:25,"GOOD FT by GRIGGS,MATT",60 (+16),,44,,CENTRE_M 60-44 (+16),,"GOOD FT by GRIGGS,MATT",2
00:25,"MISS FT by GRIGGS,MATT",,,,,,,"MISS FT by GRIGGS,MATT",2
--,,,,,"REBOUND DEF by IRRER,AUSTIN",,,"REBOUND DEF by IRRER,AUSTIN",2
00:25,"SUB IN by WRIGHT,SPENCER",,,,,,,"SUB IN by WRIGHT,SPENCER",2
00:25,"SUB IN by CAHALL,CALVIN",,,,,,,"SUB IN by CAHALL,CALVIN",2
00:25,"SUB IN by LOPEZ,COLLIN",,,,,,,"SUB IN by LOPEZ,COLLIN",2
00:25,"SUB OUT by ELLIS,BRYON",,,,,,,"SUB OUT by ELLIS,BRYON",2
00:25,"SUB OUT by TAYLOR,CHRIS",,,,,,,"SUB OUT by TAYLOR,CHRIS",2
00:25,"SUB OUT by NEWSOME,TAYLOR",,,,,,,"SUB OUT by NEWSOME,TAYLOR",2
00:25,,,,,"SUB IN by KOORS,BRYAN",,,"SUB IN by KOORS,BRYAN",2
00:25,,,,,"SUB OUT by WAKE,NICK",,,"SUB OUT by WAKE,NICK",2
00:17,,60 (+13),,47,"GOOD 3PTR by WAKE,NICK",CCU 60-47 (+13),,"GOOD 3PTR by WAKE,NICK",2
--,,,,,"ASSIST  by LEATHERMAN,BEN",,,"ASSIST  by LEATHERMAN,BEN",2
