Time Remaining,CENTRE_M,Away Team Score,Play Team Indicator,Home Team Score,NCC,Game Score,Team Indicator,Play,Period
18:47,"MISS JUMPER by WESLEY,TYLER",,,,,,,"MISS JUMPER by WESLEY,TYLER",2
--,,,,,"REBOUND DEF by GAMBLE,LANDON",,,"REBOUND DEF by GAMBLE,LANDON",2
18:23,,,,,"MISS JUMPER by GAMBLE,LANDON",,,"MISS JUMPER by GAMBLE,LANDON",2
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",2
18:06,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",2
--,"REBOUND OFF by SCINTA,BLAKE",,,,,,,"REBOUND OFF by SCINTA,BLAKE",2
18:02,"GOOD JUMPER by SCINTA,BLAKE",23,,30 (+7),,CENTRE_M 23-30 (-7),,"GOOD JUMPER by SCINTA,BLAKE",2
17:36,,,,,"MISS JUMPER by GAMBLE,LANDON",,,"MISS JUMPER by GAMBLE,LANDON",2
--,,,,,"REBOUND OFF by GAMBLE,LANDON",,,"REBOUND OFF by GAMBLE,LANDON",2
17:32,"SUB IN by WHITESIDE,DONOVAN",,,,,,,"SUB IN by WHITESIDE,DONOVAN",2
17:32,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",2
17:17,,23,,32 (+9),"GOOD JUMPER by GAMBLE,LANDON(in the paint)",NCC 23-32 (-9),,"GOOD JUMPER by GAMBLE,LANDON(in the paint)",2
16:48,"MISS JUMPER by WESLEY,TYLER",,,,,,,"MISS JUMPER by WESLEY,TYLER",2
--,"REBOUND OFF by SCINTA,BLAKE",,,,,,,"REBOUND OFF by SCINTA,BLAKE",2
16:36,"MISS JUMPER by SCINTA,BLAKE",,,,,,,"MISS JUMPER by SCINTA,BLAKE",2
--,,,,,"REBOUND DEF by TIKNIS,AARON",,,"REBOUND DEF by TIKNIS,AARON",2
16:23,,23,,34 (+11),"GOOD LAYUP by TIKNIS,AARON(in the paint)",NCC 23-34 (-11),,"GOOD LAYUP by TIKNIS,AARON(in the paint)",2
--,,,,,"ASSIST  by GAMBLE,LANDON",,,"ASSIST  by GAMBLE,LANDON",2
16:03,,,,,"FOUL  by RARIDON,DEREK",,,"FOUL  by RARIDON,DEREK",2
16:03,"SUB IN by HERTZEL,HOLDEN",,,,,,,"SUB IN by HERTZEL,HOLDEN",2
16:03,"SUB IN by GRIGGS,MATT",,,,,,,"SUB IN by GRIGGS,MATT",2
16:03,"SUB OUT by TAYLOR,CHRIS",,,,,,,"SUB OUT by TAYLOR,CHRIS",2
16:03,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",2
16:03,,,,,"SUB IN by MERRITHEY,JACK",,,"SUB IN by MERRITHEY,JACK",2
16:03,,,,,"SUB OUT by ROURKE,PAT",,,"SUB OUT by ROURKE,PAT",2
15:44,"MISS 3PTR by WHITESIDE,DONOVAN",,,,,,,"MISS 3PTR by WHITESIDE,DONOVAN",2
--,"REBOUND OFF by SCINTA,BLAKE",,,,,,,"REBOUND OFF by SCINTA,BLAKE",2
15:40,"GOOD JUMPER by SCINTA,BLAKE(in the paint)",25,,34 (+9),,CENTRE_M 25-34 (-9),,"GOOD JUMPER by SCINTA,BLAKE(in the paint)",2
15:13,,25,,36 (+11),"GOOD LAYUP by MERRITHEY,JACK(in the paint)",NCC 25-36 (-11),,"GOOD LAYUP by MERRITHEY,JACK(in the paint)",2
--,,,,,"ASSIST  by TIKNIS,AARON",,,"ASSIST  by TIKNIS,AARON",2
15:03,"MISS 3PTR by SCINTA,BLAKE",,,,,,,"MISS 3PTR by SCINTA,BLAKE",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
14:58,,,,,"FOUL  by GAMBLE,LANDON",,,"FOUL  by GAMBLE,LANDON",2
14:58,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
14:44,"MISS JUMPER by HERTZEL,HOLDEN",,,,,,,"MISS JUMPER by HERTZEL,HOLDEN",2
--,,,,,"REBOUND DEF by MERRITHEY,JACK",,,"REBOUND DEF by MERRITHEY,JACK",2
14:34,"FOUL  by HERTZEL,HOLDEN",,,,,,,"FOUL  by HERTZEL,HOLDEN",2
14:34,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",2
14:34,"SUB OUT by HERTZEL,HOLDEN",,,,,,,"SUB OUT by HERTZEL,HOLDEN",2
14:34,,,,,"SUB IN by ROSENBERG,CHARLIE",,,"SUB IN by ROSENBERG,CHARLIE",2
14:34,,,,,"SUB OUT by GAMBLE,LANDON",,,"SUB OUT by GAMBLE,LANDON",2
14:30,,,,,"MISS JUMPER by RARIDON,DEREK",,,"MISS JUMPER by RARIDON,DEREK",2
--,,,,,"REBOUND OFF by ROSENBERG,CHARLIE",,,"REBOUND OFF by ROSENBERG,CHARLIE",2
14:13,,,,,"MISS JUMPER by TIKNIS,AARON",,,"MISS JUMPER by TIKNIS,AARON",2
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",2
13:54,,,,,"SUB IN by BURCHETT,JACK",,,"SUB IN by BURCHETT,JACK",2
13:54,,,,,"SUB OUT by TIKNIS,AARON",,,"SUB OUT by TIKNIS,AARON",2
13:50,"TURNOVER  by SCINTA,BLAKE",,,,,,,"TURNOVER  by SCINTA,BLAKE",2
13:48,,,,,"STEAL  by MERRITHEY,JACK",,,"STEAL  by MERRITHEY,JACK",2
13:32,,25,,38 (+13),"GOOD LAYUP by ROSENBERG,CHARLIE(in the paint)",NCC 25-38 (-13),,"GOOD LAYUP by ROSENBERG,CHARLIE(in the paint)",2
13:18,"MISS 3PTR by ELLIS,BRYON",,,,,,,"MISS 3PTR by ELLIS,BRYON",2
--,,,,,"REBOUND DEF by MERRITHEY,JACK",,,"REBOUND DEF by MERRITHEY,JACK",2
12:56,,,,,"MISS LAYUP by ROSENBERG,CHARLIE",,,"MISS LAYUP by ROSENBERG,CHARLIE",2
--,,,,,"REBOUND OFF by ROSENBERG,CHARLIE",,,"REBOUND OFF by ROSENBERG,CHARLIE",2
12:52,,25,,40 (+15),"GOOD LAYUP by ROSENBERG,CHARLIE(in the paint)",NCC 25-40 (-15),,"GOOD LAYUP by ROSENBERG,CHARLIE(in the paint)",2
12:49,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
12:49,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",2
12:49,"SUB IN by LOPEZ,COLLIN",,,,,,,"SUB IN by LOPEZ,COLLIN",2
12:49,"SUB OUT by ELLIS,BRYON",,,,,,,"SUB OUT by ELLIS,BRYON",2
12:49,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",2
12:34,,,,,"FOUL  by RARIDON,DEREK",,,"FOUL  by RARIDON,DEREK",2
12:34,"GOOD FT by WHITESIDE,DONOVAN",26,,40 (+14),,CENTRE_M 26-40 (-14),,"GOOD FT by WHITESIDE,DONOVAN",2
12:34,"GOOD FT by WHITESIDE,DONOVAN",27,,40 (+13),,CENTRE_M 27-40 (-13),,"GOOD FT by WHITESIDE,DONOVAN",2
12:24,"FOUL  by LOPEZ,COLLIN",,,,,,,"FOUL  by LOPEZ,COLLIN",2
12:24,,27,,41 (+14),"GOOD FT by KMIEC,VINCE",NCC 27-41 (-14),,"GOOD FT by KMIEC,VINCE",2
12:24,,27,,42 (+15),"GOOD FT by KMIEC,VINCE",NCC 27-42 (-15),,"GOOD FT by KMIEC,VINCE",2
12:12,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",29,,42 (+13),,CENTRE_M 29-42 (-13),,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",2
11:58,"FOUL  by WHITESIDE,DONOVAN",,,,,,,"FOUL  by WHITESIDE,DONOVAN",2
11:58,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
11:53,,29,,44 (+15),"GOOD JUMPER by RARIDON,DEREK",NCC 29-44 (-15),,"GOOD JUMPER by RARIDON,DEREK",2
--,,,,,"ASSIST  by MERRITHEY,JACK",,,"ASSIST  by MERRITHEY,JACK",2
11:37,"TURNOVER  by LOPEZ,COLLIN",,,,,,,"TURNOVER  by LOPEZ,COLLIN",2
11:09,,,,,"TURNOVER  by BURCHETT,JACK",,,"TURNOVER  by BURCHETT,JACK",2
11:09,,,,,"FOUL  by BURCHETT,JACK",,,"FOUL  by BURCHETT,JACK",2
10:50,"TURNOVER  by WHITESIDE,DONOVAN",,,,,,,"TURNOVER  by WHITESIDE,DONOVAN",2
10:49,,,,,"STEAL  by ROSENBERG,CHARLIE",,,"STEAL  by ROSENBERG,CHARLIE",2
10:36,,,,,"TURNOVER  by RARIDON,DEREK",,,"TURNOVER  by RARIDON,DEREK",2
10:35,"STEAL  by WHITESIDE,DONOVAN",,,,,,,"STEAL  by WHITESIDE,DONOVAN",2
10:31,"TURNOVER  by WHITESIDE,DONOVAN",,,,,,,"TURNOVER  by WHITESIDE,DONOVAN",2
10:31,"SUB IN by TAYLOR,CHRIS",,,,,,,"SUB IN by TAYLOR,CHRIS",2
10:31,"SUB OUT by GRIGGS,MATT",,,,,,,"SUB OUT by GRIGGS,MATT",2
10:31,,,,,"SUB IN by TIKNIS,AARON",,,"SUB IN by TIKNIS,AARON",2
10:31,,,,,"SUB IN by GAMBLE,LANDON",,,"SUB IN by GAMBLE,LANDON",2
10:31,,,,,"SUB OUT by BURCHETT,JACK",,,"SUB OUT by BURCHETT,JACK",2
10:31,,,,,"SUB OUT by ROSENBERG,CHARLIE",,,"SUB OUT by ROSENBERG,CHARLIE",2
10:11,,29,,46 (+17),"GOOD LAYUP by MERRITHEY,JACK(in the paint)",NCC 29-46 (-17),,"GOOD LAYUP by MERRITHEY,JACK(in the paint)",2
09:47,"MISS JUMPER by LOPEZ,COLLIN",,,,,,,"MISS JUMPER by LOPEZ,COLLIN",2
--,"REBOUND OFF by KARSNER,JOSH",,,,,,,"REBOUND OFF by KARSNER,JOSH",2
09:43,"GOOD JUMPER by KARSNER,JOSH",31,,46 (+15),,CENTRE_M 31-46 (-15),,"GOOD JUMPER by KARSNER,JOSH",2
09:27,,,,,"TURNOVER  by TIKNIS,AARON",,,"TURNOVER  by TIKNIS,AARON",2
09:26,"STEAL  by WHITESIDE,DONOVAN",,,,,,,"STEAL  by WHITESIDE,DONOVAN",2
09:24,"GOOD DUNK by WHITESIDE,DONOVAN(fastbreak)(in the paint)",33,,46 (+13),,CENTRE_M 33-46 (-13),,"GOOD DUNK by WHITESIDE,DONOVAN(fastbreak)(in the paint)",2
09:05,,33,,48 (+15),"GOOD JUMPER by TIKNIS,AARON(in the paint)",NCC 33-48 (-15),,"GOOD JUMPER by TIKNIS,AARON(in the paint)",2
--,,,,,"ASSIST  by KMIEC,VINCE",,,"ASSIST  by KMIEC,VINCE",2
08:51,"MISS LAYUP by TAYLOR,CHRIS",,,,,,,"MISS LAYUP by TAYLOR,CHRIS",2
--,,,,,"REBOUND DEF by GAMBLE,LANDON",,,"REBOUND DEF by GAMBLE,LANDON",2
08:33,,33,,50 (+17),"GOOD JUMPER by GAMBLE,LANDON(in the paint)",NCC 33-50 (-17),,"GOOD JUMPER by GAMBLE,LANDON(in the paint)",2
08:26,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
08:26,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",2
08:26,"SUB IN by ELLIS,BRYON",,,,,,,"SUB IN by ELLIS,BRYON",2
08:26,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",2
08:26,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",2
08:26,,,,,"SUB IN by ROURKE,PAT",,,"SUB IN by ROURKE,PAT",2
08:26,,,,,"SUB OUT by MERRITHEY,JACK",,,"SUB OUT by MERRITHEY,JACK",2
08:16,"GOOD JUMPER by LOPEZ,COLLIN(in the paint)",35,,50 (+15),,CENTRE_M 35-50 (-15),,"GOOD JUMPER by LOPEZ,COLLIN(in the paint)",2
07:53,"FOUL  by TAYLOR,CHRIS",,,,,,,"FOUL  by TAYLOR,CHRIS",2
07:53,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
07:35,,,,,"TURNOVER  by TIKNIS,AARON",,,"TURNOVER  by TIKNIS,AARON",2
07:35,,,,,"FOUL  by TIKNIS,AARON",,,"FOUL  by TIKNIS,AARON",2
07:35,"SUB IN by WHITESIDE,DONOVAN",,,,,,,"SUB IN by WHITESIDE,DONOVAN",2
07:35,"SUB OUT by LOPEZ,COLLIN",,,,,,,"SUB OUT by LOPEZ,COLLIN",2
07:10,"GOOD LAYUP by TAYLOR,CHRIS(in the paint)",37,,50 (+13),,CENTRE_M 37-50 (-13),,"GOOD LAYUP by TAYLOR,CHRIS(in the paint)",2
07:10,,,,,"FOUL  by ROURKE,PAT",,,"FOUL  by ROURKE,PAT",2
07:10,"MISS FT by TAYLOR,CHRIS",,,,,,,"MISS FT by TAYLOR,CHRIS",2
--,,,,,"REBOUND DEF by KMIEC,VINCE",,,"REBOUND DEF by KMIEC,VINCE",2
07:10,,,,,"SUB IN by MERRITHEY,JACK",,,"SUB IN by MERRITHEY,JACK",2
07:10,,,,,"SUB OUT by ROURKE,PAT",,,"SUB OUT by ROURKE,PAT",2
06:57,,37,,52 (+15),"GOOD JUMPER by RARIDON,DEREK",NCC 37-52 (-15),,"GOOD JUMPER by RARIDON,DEREK",2
--,,,,,"ASSIST  by GAMBLE,LANDON",,,"ASSIST  by GAMBLE,LANDON",2
06:42,"GOOD LAYUP by TAYLOR,CHRIS(in the paint)",39,,52 (+13),,CENTRE_M 39-52 (-13),,"GOOD LAYUP by TAYLOR,CHRIS(in the paint)",2
06:14,,,,,"MISS LAYUP by GAMBLE,LANDON",,,"MISS LAYUP by GAMBLE,LANDON",2
--,"REBOUND DEF by TAYLOR,CHRIS",,,,,,,"REBOUND DEF by TAYLOR,CHRIS",2
06:02,"MISS 3PTR by ELLIS,BRYON",,,,,,,"MISS 3PTR by ELLIS,BRYON",2
--,,,,,"REBOUND DEF by TIKNIS,AARON",,,"REBOUND DEF by TIKNIS,AARON",2
05:44,,39,,54 (+15),"GOOD LAYUP by GAMBLE,LANDON(in the paint)",NCC 39-54 (-15),,"GOOD LAYUP by GAMBLE,LANDON(in the paint)",2
--,,,,,"ASSIST  by RARIDON,DEREK",,,"ASSIST  by RARIDON,DEREK",2
05:12,"GOOD 3PTR by WHITESIDE,DONOVAN",42,,54 (+12),,CENTRE_M 42-54 (-12),,"GOOD 3PTR by WHITESIDE,DONOVAN",2
--,"ASSIST  by KARSNER,JOSH",,,,,,,"ASSIST  by KARSNER,JOSH",2
04:54,,42,,56 (+14),"GOOD LAYUP by GAMBLE,LANDON(in the paint)",NCC 42-56 (-14),,"GOOD LAYUP by GAMBLE,LANDON(in the paint)",2
--,,,,,"ASSIST  by TIKNIS,AARON",,,"ASSIST  by TIKNIS,AARON",2
04:49,"TURNOVER  by SCINTA,BLAKE",,,,,,,"TURNOVER  by SCINTA,BLAKE",2
04:48,,,,,"STEAL  by KMIEC,VINCE",,,"STEAL  by KMIEC,VINCE",2
04:33,,42,,59 (+17),"GOOD 3PTR by RARIDON,DEREK",NCC 42-59 (-17),,"GOOD 3PTR by RARIDON,DEREK",2
--,,,,,"ASSIST  by MERRITHEY,JACK",,,"ASSIST  by MERRITHEY,JACK",2
04:23,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
04:16,,,,,"SUB IN by ROSENBERG,CHARLIE",,,"SUB IN by ROSENBERG,CHARLIE",2
04:16,,,,,"SUB OUT by GAMBLE,LANDON",,,"SUB OUT by GAMBLE,LANDON",2
04:07,"GOOD JUMPER by KARSNER,JOSH(in the paint)",44,,59 (+15),,CENTRE_M 44-59 (-15),,"GOOD JUMPER by KARSNER,JOSH(in the paint)",2
--,"ASSIST  by TAYLOR,CHRIS",,,,,,,"ASSIST  by TAYLOR,CHRIS",2
03:40,,,,,"MISS JUMPER by ROSENBERG,CHARLIE",,,"MISS JUMPER by ROSENBERG,CHARLIE",2
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",2
03:28,"TURNOVER  by SCINTA,BLAKE",,,,,,,"TURNOVER  by SCINTA,BLAKE",2
03:28,,,,,"STEAL  by MERRITHEY,JACK",,,"STEAL  by MERRITHEY,JACK",2
03:28,"FOUL  by ELLIS,BRYON",,,,,,,"FOUL  by ELLIS,BRYON",2
03:28,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
03:01,"FOUL  by SCINTA,BLAKE",,,,,,,"FOUL  by SCINTA,BLAKE",2
03:01,,,,,"SUB IN by GAMBLE,LANDON",,,"SUB IN by GAMBLE,LANDON",2
03:01,,,,,"SUB OUT by ROSENBERG,CHARLIE",,,"SUB OUT by ROSENBERG,CHARLIE",2
02:50,"FOUL  by TAYLOR,CHRIS",,,,,,,"FOUL  by TAYLOR,CHRIS",2
02:50,,,,,"MISS FT by GAMBLE,LANDON",,,"MISS FT by GAMBLE,LANDON",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
02:50,,44,,60 (+16),"GOOD FT by GAMBLE,LANDON",NCC 44-60 (-16),,"GOOD FT by GAMBLE,LANDON",2
02:36,"TURNOVER  by WHITESIDE,DONOVAN",,,,,,,"TURNOVER  by WHITESIDE,DONOVAN",2
02:36,,,,,"STEAL  by TIKNIS,AARON",,,"STEAL  by TIKNIS,AARON",2
02:36,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
02:28,,44,,62 (+18),"GOOD LAYUP by TIKNIS,AARON(fastbreak)(in the paint)",NCC 44-62 (-18),,"GOOD LAYUP by TIKNIS,AARON(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by GAMBLE,LANDON",,,"ASSIST  by GAMBLE,LANDON",2
02:07,"TURNOVER  by WHITESIDE,DONOVAN",,,,,,,"TURNOVER  by WHITESIDE,DONOVAN",2
02:07,,,,,"STEAL  by RARIDON,DEREK",,,"STEAL  by RARIDON,DEREK",2
02:07,,,,,"TURNOVER  by RARIDON,DEREK",,,"TURNOVER  by RARIDON,DEREK",2
02:07,"STEAL  by WHITESIDE,DONOVAN",,,,,,,"STEAL  by WHITESIDE,DONOVAN",2
01:59,"GOOD LAYUP by TAYLOR,CHRIS(in the paint)",46,,62 (+16),,CENTRE_M 46-62 (-16),,"GOOD LAYUP by TAYLOR,CHRIS(in the paint)",2
--,"ASSIST  by SCINTA,BLAKE",,,,,,,"ASSIST  by SCINTA,BLAKE",2
01:48,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",2
01:48,,46,,63 (+17),"GOOD FT by KMIEC,VINCE",NCC 46-63 (-17),,"GOOD FT by KMIEC,VINCE",2
01:48,,46,,64 (+18),"GOOD FT by KMIEC,VINCE",NCC 46-64 (-18),,"GOOD FT by KMIEC,VINCE",2
01:48,,,,,"SUB IN by BURCHETT,JACK",,,"SUB IN by BURCHETT,JACK",2
01:48,,,,,"SUB OUT by GAMBLE,LANDON",,,"SUB OUT by GAMBLE,LANDON",2
01:40,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",48,,64 (+16),,CENTRE_M 48-64 (-16),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
--,"ASSIST  by TAYLOR,CHRIS",,,,,,,"ASSIST  by TAYLOR,CHRIS",2
01:35,"FOUL  by TAYLOR,CHRIS",,,,,,,"FOUL  by TAYLOR,CHRIS",2
01:35,,48,,65 (+17),"GOOD FT by MERRITHEY,JACK",NCC 48-65 (-17),,"GOOD FT by MERRITHEY,JACK",2
01:35,,48,,66 (+18),"GOOD FT by MERRITHEY,JACK",NCC 48-66 (-18),,"GOOD FT by MERRITHEY,JACK",2
01:35,"SUB IN by GRIGGS,MATT",,,,,,,"SUB IN by GRIGGS,MATT",2
01:35,"SUB OUT by TAYLOR,CHRIS",,,,,,,"SUB OUT by TAYLOR,CHRIS",2
01:24,"MISS 3PTR by ELLIS,BRYON",,,,,,,"MISS 3PTR by ELLIS,BRYON",2
--,,,,,"REBOUND DEF by BURCHETT,JACK",,,"REBOUND DEF by BURCHETT,JACK",2
01:11,,,,,"TURNOVER  by MERRITHEY,JACK",,,"TURNOVER  by MERRITHEY,JACK",2
01:00,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",50,,66 (+16),,CENTRE_M 50-66 (-16),,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",2
00:35,,,,,"TURNOVER  by BURCHETT,JACK",,,"TURNOVER  by BURCHETT,JACK",2
00:35,"SUB IN by WRIGHT,SPENCER",,,,,,,"SUB IN by WRIGHT,SPENCER",2
00:35,"SUB IN by CAHALL,CALVIN",,,,,,,"SUB IN by CAHALL,CALVIN",2
00:35,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",2
00:35,"SUB OUT by ELLIS,BRYON",,,,,,,"SUB OUT by ELLIS,BRYON",2
00:35,,,,,"SUB IN by ROSENBERG,CHARLIE",,,"SUB IN by ROSENBERG,CHARLIE",2
00:35,,,,,"SUB OUT by BURCHETT,JACK",,,"SUB OUT by BURCHETT,JACK",2
00:29,"MISS JUMPER by GRIGGS,MATT",,,,,,,"MISS JUMPER by GRIGGS,MATT",2
--,"REBOUND OFF by WRIGHT,SPENCER",,,,,,,"REBOUND OFF by WRIGHT,SPENCER",2
00:20,"MISS LAYUP by CAHALL,CALVIN",,,,,,,"MISS LAYUP by CAHALL,CALVIN",2
--,"REBOUND OFF by GRIGGS,MATT",,,,,,,"REBOUND OFF by GRIGGS,MATT",2
00:17,"MISS JUMPER by GRIGGS,MATT",,,,,,,"MISS JUMPER by GRIGGS,MATT",2
--,,,,,"REBOUND DEF by ROSENBERG,CHARLIE",,,"REBOUND DEF by ROSENBERG,CHARLIE",2
