Time Remaining,BCM,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-M,Game Score,Team Indicator,Play,Period
02:45,"BLOCK  by HIRSH,ELIJAH",,,,,,,"BLOCK  by HIRSH,ELIJAH",1
--,"REBOUND DEF by HIRSH,ELIJAH",,,,,,,"REBOUND DEF by HIRSH,ELIJAH",1
02:01,"GOOD LAYUP by HASLAM,ETHAN(in the paint)",29 (+2),,27,,BCM 29-27 (-2),,"GOOD LAYUP by HASLAM,ETHAN(in the paint)",1
01:31,,29,,30 (+1),"GOOD 3PTR by GRIFFIN,JAROD",CENTRE-M 29-30 (+1),,"GOOD 3PTR by GRIFFIN,JAROD",1
--,,,,,"ASSIST  by WALKER,ART",,,"ASSIST  by WALKER,ART",1
01:06,"GOOD JUMPER by JOHNSON,CORY",31 (+1),,30,,BCM 31-30 (-1),,"GOOD JUMPER by JOHNSON,CORY",1
00:45,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",1
--,"REBOUND DEF by HIRSH,ELIJAH",,,,,,,"REBOUND DEF by HIRSH,ELIJAH",1
00:29,,,,,"FOUL  by WALKER,ART",,,"FOUL  by WALKER,ART",1
00:29,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",1
00:29,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",1
00:29,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",1
00:29,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",1
00:29,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
00:29,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",1
00:24,"GOOD JUMPER by JOHNSON,CORY",33 (+3),,30,,BCM 33-30 (-3),,"GOOD JUMPER by JOHNSON,CORY",1
00:01,,,,,"MISS LAYUP by CRUMP,DAWSON",,,"MISS LAYUP by CRUMP,DAWSON",1
00:01,"BLOCK  by MOORE,MYLES",,,,,,,"BLOCK  by MOORE,MYLES",1
--,"REBOUND DEF by HASLAM,ETHAN",,,,,,,"REBOUND DEF by HASLAM,ETHAN",1
00:00,"MISS 3PTR by HASLAM,ETHAN",,,,,,,"MISS 3PTR by HASLAM,ETHAN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
20:00,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",2
20:00,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",2
20:00,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",2
20:00,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",2
19:44,,33 (+1),,32,"GOOD LAYUP by AYERS,PERRY(in the paint)",CENTRE-M 33-32 (-1),,"GOOD LAYUP by AYERS,PERRY(in the paint)",2
19:15,"MISS LAYUP by HAYNES,CALEB",,,,,,,"MISS LAYUP by HAYNES,CALEB",2
19:15,,,,,"BLOCK  by SINE,TUCKER",,,"BLOCK  by SINE,TUCKER",2
--,,,,,"REBOUND DEF by SPITZER,JAKOB",,,"REBOUND DEF by SPITZER,JAKOB",2
18:43,,33,,35 (+2),"GOOD 3PTR by AYERS,PERRY",CENTRE-M 33-35 (+2),,"GOOD 3PTR by AYERS,PERRY",2
--,,,,,"ASSIST  by WALKER,ART",,,"ASSIST  by WALKER,ART",2
18:27,,,,,"FOUL  by SPITZER,JAKOB",,,"FOUL  by SPITZER,JAKOB",2
18:21,,,,,"FOUL  by AYERS,PERRY",,,"FOUL  by AYERS,PERRY",2
18:21,"MISS FT by MOORE,MYLES",,,,,,,"MISS FT by MOORE,MYLES",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
18:21,"GOOD FT by MOORE,MYLES",34,,35 (+1),,BCM 34-35 (+1),,"GOOD FT by MOORE,MYLES",2
18:07,,,,,"MISS 3PTR by AYERS,PERRY",,,"MISS 3PTR by AYERS,PERRY",2
--,"REBOUND DEF by JOHNSON,CORY",,,,,,,"REBOUND DEF by JOHNSON,CORY",2
17:47,"MISS 3PTR by HIRSH,ELIJAH",,,,,,,"MISS 3PTR by HIRSH,ELIJAH",2
--,,,,,"REBOUND DEF by SPITZER,JAKOB",,,"REBOUND DEF by SPITZER,JAKOB",2
17:38,,,,,"MISS LAYUP by RAKES,BAILEY",,,"MISS LAYUP by RAKES,BAILEY",2
--,"REBOUND DEF by JOHNSON,CORY",,,,,,,"REBOUND DEF by JOHNSON,CORY",2
17:24,"MISS 3PTR by MOORE,MYLES",,,,,,,"MISS 3PTR by MOORE,MYLES",2
--,,,,,"REBOUND DEF by RAKES,BAILEY",,,"REBOUND DEF by RAKES,BAILEY",2
17:21,,,,,"TURNOVER  by RAKES,BAILEY",,,"TURNOVER  by RAKES,BAILEY",2
17:21,"STEAL  by JOHNSON,CORY",,,,,,,"STEAL  by JOHNSON,CORY",2
17:08,"GOOD 3PTR by JOHNSON,CORY",37 (+2),,35,,BCM 37-35 (-2),,"GOOD 3PTR by JOHNSON,CORY",2
--,"ASSIST  by HAYNES,CALEB",,,,,,,"ASSIST  by HAYNES,CALEB",2
16:41,,37,,38 (+1),"GOOD 3PTR by SINE,TUCKER",CENTRE-M 37-38 (+1),,"GOOD 3PTR by SINE,TUCKER",2
16:19,"TURNOVER  by CLARK,ETHAN",,,,,,,"TURNOVER  by CLARK,ETHAN",2
16:17,,,,,"STEAL  by RAKES,BAILEY",,,"STEAL  by RAKES,BAILEY",2
16:09,"FOUL  by HIRSH,ELIJAH",,,,,,,"FOUL  by HIRSH,ELIJAH",2
16:09,,,,,"MISS FT by AYERS,PERRY",,,"MISS FT by AYERS,PERRY",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
16:09,,37,,39 (+2),"GOOD FT by AYERS,PERRY",CENTRE-M 37-39 (+2),,"GOOD FT by AYERS,PERRY",2
16:09,"SUB IN by ATKINSON,QUINN",,,,,,,"SUB IN by ATKINSON,QUINN",2
16:09,"SUB OUT by HIRSH,ELIJAH",,,,,,,"SUB OUT by HIRSH,ELIJAH",2
16:09,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",2
16:09,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",2
15:59,"TURNOVER  by CLARK,ETHAN",,,,,,,"TURNOVER  by CLARK,ETHAN",2
15:59,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
15:59,"SUB IN by HASLAM,ETHAN",,,,,,,"SUB IN by HASLAM,ETHAN",2
15:59,"SUB OUT by CLARK,ETHAN",,,,,,,"SUB OUT by CLARK,ETHAN",2
15:59,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",2
15:59,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",2
15:39,"FOUL  by ATKINSON,QUINN",,,,,,,"FOUL  by ATKINSON,QUINN",2
15:33,,,,,"MISS LAYUP by BATES,JACOB",,,"MISS LAYUP by BATES,JACOB",2
--,"REBOUND DEF by HAYNES,CALEB",,,,,,,"REBOUND DEF by HAYNES,CALEB",2
15:17,"MISS LAYUP by MOORE,MYLES",,,,,,,"MISS LAYUP by MOORE,MYLES",2
--,,,,,"REBOUND DEF by SINE,TUCKER",,,"REBOUND DEF by SINE,TUCKER",2
15:04,,37,,42 (+5),"GOOD 3PTR by RAKES,BAILEY",CENTRE-M 37-42 (+5),,"GOOD 3PTR by RAKES,BAILEY",2
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",2
14:34,"MISS JUMPER by ATKINSON,QUINN",,,,,,,"MISS JUMPER by ATKINSON,QUINN",2
--,,,,,"REBOUND DEF by SINE,TUCKER",,,"REBOUND DEF by SINE,TUCKER",2
14:06,,37,,44 (+7),"GOOD JUMPER by RAKES,BAILEY(in the paint)",CENTRE-M 37-44 (+7),,"GOOD JUMPER by RAKES,BAILEY(in the paint)",2
13:59,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
13:59,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",2
13:59,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",2
13:44,"MISS LAYUP by ATKINSON,QUINN",,,,,,,"MISS LAYUP by ATKINSON,QUINN",2
--,,,,,"REBOUND DEF by PURVIS,KC",,,"REBOUND DEF by PURVIS,KC",2
13:20,,37,,47 (+10),"GOOD 3PTR by RAKES,BAILEY",CENTRE-M 37-47 (+10),,"GOOD 3PTR by RAKES,BAILEY",2
--,,,,,"ASSIST  by GRIFFIN,JAROD",,,"ASSIST  by GRIFFIN,JAROD",2
13:05,"GOOD LAYUP by ATKINSON,QUINN(in the paint)",39,,47 (+8),,BCM 39-47 (+8),,"GOOD LAYUP by ATKINSON,QUINN(in the paint)",2
13:05,,,,,"FOUL  by BATES,JACOB",,,"FOUL  by BATES,JACOB",2
13:05,"GOOD FT by ATKINSON,QUINN",40,,47 (+7),,BCM 40-47 (+7),,"GOOD FT by ATKINSON,QUINN",2
13:05,"SUB IN by HIRSH,ELIJAH",,,,,,,"SUB IN by HIRSH,ELIJAH",2
