Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,BC,Game Score,Team Indicator,Play,Period
17:50,,54 (+20),,34,"GOOD FT by CALDWELL,AJ",BC 54-34 (+20),,"GOOD FT by CALDWELL,AJ",2
17:37,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",2
--,,,,,"REBOUND DEF by MINNICK-TUCKER,DEMET",,,"REBOUND DEF by MINNICK-TUCKER,DEMET",2
17:24,,,,,"MISS LAYUP by KIRBY,KEVIN",,,"MISS LAYUP by KIRBY,KEVIN",2
--,,,,,"REBOUND OFF by ALEXAKOS,LEONIDAS",,,"REBOUND OFF by ALEXAKOS,LEONIDAS",2
17:09,,,,,"MISS JUMPER by MINNICK-TUCKER,DEMET",,,"MISS JUMPER by MINNICK-TUCKER,DEMET",2
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",2
17:01,"MISS 3PTR by RAKES,BAILEY",,,,,,,"MISS 3PTR by RAKES,BAILEY",2
--,"REBOUND OFF by AYERS,PERRY",,,,,,,"REBOUND OFF by AYERS,PERRY",2
16:49,"GOOD 3PTR by WALKER,ART",57 (+23),,34,,CENTRE-M 57-34 (+23),,"GOOD 3PTR by WALKER,ART",2
--,"ASSIST  by RAKES,BAILEY",,,,,,,"ASSIST  by RAKES,BAILEY",2
16:33,,,,,"MISS 3PTR by BENHAM,BAILEY",,,"MISS 3PTR by BENHAM,BAILEY",2
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",2
16:23,"MISS LAYUP by WALKER,ART",,,,,,,"MISS LAYUP by WALKER,ART",2
16:23,,,,,"BLOCK  by BENHAM,BAILEY",,,"BLOCK  by BENHAM,BAILEY",2
--,,,,,"REBOUND DEF by BENHAM,BAILEY",,,"REBOUND DEF by BENHAM,BAILEY",2
16:11,,,,,"MISS LAYUP by CALDWELL,AJ",,,"MISS LAYUP by CALDWELL,AJ",2
--,"REBOUND DEF by PURVIS,KC",,,,,,,"REBOUND DEF by PURVIS,KC",2
16:05,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",2
--,,,,,"REBOUND DEF by ALEXAKOS,LEONIDAS",,,"REBOUND DEF by ALEXAKOS,LEONIDAS",2
15:47,,,,,"MISS 3PTR by CALDWELL,AJ",,,"MISS 3PTR by CALDWELL,AJ",2
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",2
15:31,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",2
--,"REBOUND OFF by SINE,TUCKER",,,,,,,"REBOUND OFF by SINE,TUCKER",2
15:25,"GOOD LAYUP by PURVIS,KC(in the paint)",59 (+25),,34,,CENTRE-M 59-34 (+25),,"GOOD LAYUP by PURVIS,KC(in the paint)",2
--,"ASSIST  by SINE,TUCKER",,,,,,,"ASSIST  by SINE,TUCKER",2
15:07,,,,,"MISS 3PTR by CALDWELL,AJ",,,"MISS 3PTR by CALDWELL,AJ",2
--,"REBOUND DEF by PURVIS,KC",,,,,,,"REBOUND DEF by PURVIS,KC",2
14:59,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
14:15,"SUB IN by BROWNLEY,HOGAN",,,,,,,"SUB IN by BROWNLEY,HOGAN",2
14:15,"SUB IN by GERALD,DUSTIN",,,,,,,"SUB IN by GERALD,DUSTIN",2
14:15,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",2
14:15,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",2
14:15,,,,,"SUB IN by GIBSON,ISAAC",,,"SUB IN by GIBSON,ISAAC",2
14:15,,,,,"SUB IN by HAMBY,RONYELL",,,"SUB IN by HAMBY,RONYELL",2
14:15,,,,,"SUB IN by TURNER,NICKOLAS",,,"SUB IN by TURNER,NICKOLAS",2
14:14,"MISS LAYUP by BROWNLEY,HOGAN",,,,,,,"MISS LAYUP by BROWNLEY,HOGAN",2
14:14,,,,,"BLOCK  by BENHAM,BAILEY",,,"BLOCK  by BENHAM,BAILEY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
14:01,"MISS 3PTR by GERALD,DUSTIN",,,,,,,"MISS 3PTR by GERALD,DUSTIN",2
--,,,,,"REBOUND DEF by TURNER,NICKOLAS",,,"REBOUND DEF by TURNER,NICKOLAS",2
13:47,,59 (+22),,37,"GOOD 3PTR by BENHAM,BAILEY",BC 59-37 (+22),,"GOOD 3PTR by BENHAM,BAILEY",2
--,,,,,"ASSIST  by KIRBY,KEVIN",,,"ASSIST  by KIRBY,KEVIN",2
13:28,"GOOD LAYUP by PURVIS,KC(in the paint)",61 (+24),,37,,CENTRE-M 61-37 (+24),,"GOOD LAYUP by PURVIS,KC(in the paint)",2
--,"ASSIST  by GERALD,DUSTIN",,,,,,,"ASSIST  by GERALD,DUSTIN",2
13:09,,61 (+22),,39,"GOOD LAYUP by KIRBY,KEVIN(in the paint)",BC 61-39 (+22),,"GOOD LAYUP by KIRBY,KEVIN(in the paint)",2
--,,,,,"ASSIST  by GIBSON,ISAAC",,,"ASSIST  by GIBSON,ISAAC",2
12:54,"GOOD 3PTR by GRIFFIN,JAROD",64 (+25),,39,,CENTRE-M 64-39 (+25),,"GOOD 3PTR by GRIFFIN,JAROD",2
--,"ASSIST  by CRUMP,DAWSON",,,,,,,"ASSIST  by CRUMP,DAWSON",2
12:49,"FOUL  by CRUMP,DAWSON",,,,,,,"FOUL  by CRUMP,DAWSON",2
12:40,,,,,"MISS JUMPER by NAUERT,TYLER",,,"MISS JUMPER by NAUERT,TYLER",2
--,,,,,"REBOUND OFF by BENHAM,BAILEY",,,"REBOUND OFF by BENHAM,BAILEY",2
12:38,,,,,"TURNOVER  by BENHAM,BAILEY",,,"TURNOVER  by BENHAM,BAILEY",2
12:37,"STEAL  by GRIFFIN,JAROD",,,,,,,"STEAL  by GRIFFIN,JAROD",2
12:34,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",2
12:34,"SUB OUT by PURVIS,KC",,,,,,,"SUB OUT by PURVIS,KC",2
12:34,,,,,"SUB IN by NAUERT,TYLER",,,"SUB IN by NAUERT,TYLER",2
12:34,,,,,"SUB IN by KAYS,SAM",,,"SUB IN by KAYS,SAM",2
12:33,"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",66 (+27),,39,,CENTRE-M 66-39 (+27),,"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",2
12:27,,,,,"MISS 3PTR by GIBSON,ISAAC",,,"MISS 3PTR by GIBSON,ISAAC",2
--,"REBOUND DEF by CRUMP,DAWSON",,,,,,,"REBOUND DEF by CRUMP,DAWSON",2
12:19,"MISS 3PTR by GERALD,DUSTIN",,,,,,,"MISS 3PTR by GERALD,DUSTIN",2
--,,,,,"REBOUND DEF by BENHAM,BAILEY",,,"REBOUND DEF by BENHAM,BAILEY",2
12:10,"FOUL  by GERALD,DUSTIN",,,,,,,"FOUL  by GERALD,DUSTIN",2
11:50,,,,,"SUB IN by WRIGHT,SCOTT",,,"SUB IN by WRIGHT,SCOTT",2
11:50,,,,,"SUB OUT by GIBSON,ISAAC",,,"SUB OUT by GIBSON,ISAAC",2
11:40,,,,,"MISS LAYUP by KAYS,SAM",,,"MISS LAYUP by KAYS,SAM",2
--,,,,,"REBOUND OFF by KAYS,SAM",,,"REBOUND OFF by KAYS,SAM",2
11:36,,,,,"TURNOVER  by HAMBY,RONYELL",,,"TURNOVER  by HAMBY,RONYELL",2
11:33,"STEAL  by CRUMP,DAWSON",,,,,,,"STEAL  by CRUMP,DAWSON",2
11:31,"GOOD LAYUP by GERALD,DUSTIN(fastbreak)(in the paint)",68 (+29),,39,,CENTRE-M 68-39 (+29),,"GOOD LAYUP by GERALD,DUSTIN(fastbreak)(in the paint)",2
--,"ASSIST  by CRUMP,DAWSON",,,,,,,"ASSIST  by CRUMP,DAWSON",2
11:23,,,,,"MISS JUMPER by BENHAM,BAILEY",,,"MISS JUMPER by BENHAM,BAILEY",2
--,"REBOUND DEF by GERALD,DUSTIN",,,,,,,"REBOUND DEF by GERALD,DUSTIN",2
11:03,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",70 (+31),,39,,CENTRE-M 70-39 (+31),,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",2
10:47,,70 (+29),,41,"GOOD JUMPER by KAYS,SAM(in the paint)",BC 70-41 (+29),,"GOOD JUMPER by KAYS,SAM(in the paint)",2
10:21,"GOOD 3PTR by GRIFFIN,JAROD",73 (+32),,41,,CENTRE-M 73-41 (+32),,"GOOD 3PTR by GRIFFIN,JAROD",2
--,"ASSIST  by GERALD,DUSTIN",,,,,,,"ASSIST  by GERALD,DUSTIN",2
10:07,,,,,"MISS LAYUP by BENHAM,BAILEY",,,"MISS LAYUP by BENHAM,BAILEY",2
--,"REBOUND DEF by GERALD,DUSTIN",,,,,,,"REBOUND DEF by GERALD,DUSTIN",2
09:56,"MISS 3PTR by BROWNLEY,HOGAN",,,,,,,"MISS 3PTR by BROWNLEY,HOGAN",2
--,"REBOUND OFF by GERALD,DUSTIN",,,,,,,"REBOUND OFF by GERALD,DUSTIN",2
09:51,"GOOD LAYUP by GERALD,DUSTIN(in the paint)",75 (+34),,41,,CENTRE-M 75-41 (+34),,"GOOD LAYUP by GERALD,DUSTIN(in the paint)",2
09:37,,,,,"MISS 3PTR by NAUERT,TYLER",,,"MISS 3PTR by NAUERT,TYLER",2
--,,,,,"REBOUND OFF by HAMBY,RONYELL",,,"REBOUND OFF by HAMBY,RONYELL",2
09:36,,,,,"MISS JUMPER by HAMBY,RONYELL",,,"MISS JUMPER by HAMBY,RONYELL",2
--,"REBOUND DEF by SPITZER,JAKOB",,,,,,,"REBOUND DEF by SPITZER,JAKOB",2
09:10,,,,,"FOUL  by NAUERT,TYLER",,,"FOUL  by NAUERT,TYLER",2
09:10,"GOOD FT by CRUMP,DAWSON",76 (+35),,41,,CENTRE-M 76-41 (+35),,"GOOD FT by CRUMP,DAWSON",2
09:10,"GOOD FT by CRUMP,DAWSON",77 (+36),,41,,CENTRE-M 77-41 (+36),,"GOOD FT by CRUMP,DAWSON",2
09:10,"SUB IN by SMITH,RJ",,,,,,,"SUB IN by SMITH,RJ",2
09:10,"SUB OUT by BROWNLEY,HOGAN",,,,,,,"SUB OUT by BROWNLEY,HOGAN",2
09:10,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",2
09:10,,,,,"SUB IN by GULLEY,JAXSON",,,"SUB IN by GULLEY,JAXSON",2
09:10,,,,,"SUB OUT by HAMBY,RONYELL",,,"SUB OUT by HAMBY,RONYELL",2
08:56,,77 (+34),,43,"GOOD LAYUP by TURNER,NICKOLAS(in the paint)",BC 77-43 (+34),,"GOOD LAYUP by TURNER,NICKOLAS(in the paint)",2
08:32,"SUB IN by WILLIAMS,JALEN",,,,,,,"SUB IN by WILLIAMS,JALEN",2
08:32,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",2
08:25,"TURNOVER  by WILLIAMS,JALEN",,,,,,,"TURNOVER  by WILLIAMS,JALEN",2
08:23,,,,,"STEAL  by KIRBY,KEVIN",,,"STEAL  by KIRBY,KEVIN",2
08:14,,,,,"FOUL  by KIRBY,KEVIN",,,"FOUL  by KIRBY,KEVIN",2
08:14,,,,,"TURNOVER  by KIRBY,KEVIN",,,"TURNOVER  by KIRBY,KEVIN",2
08:14,"SUB IN by DURBIN,TYLER",,,,,,,"SUB IN by DURBIN,TYLER",2
08:14,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",2
07:56,"GOOD LAYUP by WILLIAMS,JALEN(in the paint)",79 (+36),,43,,CENTRE-M 79-43 (+36),,"GOOD LAYUP by WILLIAMS,JALEN(in the paint)",2
07:34,,79 (+34),,45,"GOOD LAYUP by GULLEY,JAXSON(in the paint)",BC 79-45 (+34),,"GOOD LAYUP by GULLEY,JAXSON(in the paint)",2
--,,,,,"ASSIST  by KIRBY,KEVIN",,,"ASSIST  by KIRBY,KEVIN",2
07:19,"MISS JUMPER by SPITZER,JAKOB",,,,,,,"MISS JUMPER by SPITZER,JAKOB",2
--,"REBOUND OFF by SMITH,RJ",,,,,,,"REBOUND OFF by SMITH,RJ",2
07:11,"GOOD TIPIN by SMITH,RJ(in the paint)",81 (+36),,45,,CENTRE-M 81-45 (+36),,"GOOD TIPIN by SMITH,RJ(in the paint)",2
06:59,,,,,"MISS 3PTR by NAUERT,TYLER",,,"MISS 3PTR by NAUERT,TYLER",2
--,"REBOUND DEF by SMITH,RJ",,,,,,,"REBOUND DEF by SMITH,RJ",2
06:43,"TURNOVER  by SPITZER,JAKOB",,,,,,,"TURNOVER  by SPITZER,JAKOB",2
06:43,,,,,"SUB IN by COYLE,HUNTER",,,"SUB IN by COYLE,HUNTER",2
06:43,,,,,"SUB OUT by GULLEY,JAXSON",,,"SUB OUT by GULLEY,JAXSON",2
06:25,,,,,"MISS LAYUP by TURNER,NICKOLAS",,,"MISS LAYUP by TURNER,NICKOLAS",2
--,"REBOUND DEF by SPITZER,JAKOB",,,,,,,"REBOUND DEF by SPITZER,JAKOB",2
06:13,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",83 (+38),,45,,CENTRE-M 83-45 (+38),,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",2
05:59,,,,,"MISS 3PTR by NAUERT,TYLER",,,"MISS 3PTR by NAUERT,TYLER",2
--,"REBOUND DEF by SMITH,RJ",,,,,,,"REBOUND DEF by SMITH,RJ",2
05:45,"MISS 3PTR by WILLIAMS,JALEN",,,,,,,"MISS 3PTR by WILLIAMS,JALEN",2
--,,,,,"REBOUND DEF by ALEXAKOS,LEONIDAS",,,"REBOUND DEF by ALEXAKOS,LEONIDAS",2
05:21,,,,,"FOUL  by ALEXAKOS,LEONIDAS",,,"FOUL  by ALEXAKOS,LEONIDAS",2
05:21,,,,,"TURNOVER  by ALEXAKOS,LEONIDAS",,,"TURNOVER  by ALEXAKOS,LEONIDAS",2
05:21,"SUB IN by TERRY,CHRISTIAN",,,,,,,"SUB IN by TERRY,CHRISTIAN",2
05:21,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",2
05:21,,,,,"SUB IN by HAMBY,RONYELL",,,"SUB IN by HAMBY,RONYELL",2
05:18,"TURNOVER  by GERALD,DUSTIN",,,,,,,"TURNOVER  by GERALD,DUSTIN",2
04:55,,,,,"MISS 3PTR by WRIGHT,SCOTT",,,"MISS 3PTR by WRIGHT,SCOTT",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
04:33,,,,,"FOUL  by MINNICK-TUCKER,DEMET",,,"FOUL  by MINNICK-TUCKER,DEMET",2
04:33,"SUB IN by JACKSON,BRAYDEN",,,,,,,"SUB IN by JACKSON,BRAYDEN",2
04:33,"SUB OUT by GERALD,DUSTIN",,,,,,,"SUB OUT by GERALD,DUSTIN",2
04:33,,,,,"SUB IN by GULLEY,JAXSON",,,"SUB IN by GULLEY,JAXSON",2
04:33,,,,,"SUB OUT by WRIGHT,SCOTT",,,"SUB OUT by WRIGHT,SCOTT",2
04:21,"GOOD LAYUP by WILLIAMS,JALEN(in the paint)",85 (+40),,45,,CENTRE-M 85-45 (+40),,"GOOD LAYUP by WILLIAMS,JALEN(in the paint)",2
--,"ASSIST  by DURBIN,TYLER",,,,,,,"ASSIST  by DURBIN,TYLER",2
04:13,,,,,"TURNOVER  by COYLE,HUNTER",,,"TURNOVER  by COYLE,HUNTER",2
04:12,"SUB IN by WEIKERT,DREW",,,,,,,"SUB IN by WEIKERT,DREW",2
04:12,"SUB IN by MORETTE,MATT",,,,,,,"SUB IN by MORETTE,MATT",2
04:12,"SUB IN by SNYDER,CALEB",,,,,,,"SUB IN by SNYDER,CALEB",2
04:03,"TURNOVER  by TERRY,CHRISTIAN",,,,,,,"TURNOVER  by TERRY,CHRISTIAN",2
03:58,,,,,"STEAL  by HAMBY,RONYELL",,,"STEAL  by HAMBY,RONYELL",2
03:56,,85 (+38),,47,"GOOD LAYUP by HAMBY,RONYELL(fastbreak)(in the paint)",BC 85-47 (+38),,"GOOD LAYUP by HAMBY,RONYELL(fastbreak)(in the paint)",2
03:45,"MISS 3PTR by JACKSON,BRAYDEN",,,,,,,"MISS 3PTR by JACKSON,BRAYDEN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
03:45,"FOUL  by TERRY,CHRISTIAN",,,,,,,"FOUL  by TERRY,CHRISTIAN",2
03:41,,,,,"MISS 3PTR by HAMBY,RONYELL",,,"MISS 3PTR by HAMBY,RONYELL",2
--,"REBOUND DEF by MORETTE,MATT",,,,,,,"REBOUND DEF by MORETTE,MATT",2
03:38,,,,,"SUB IN by ROSA,COLSON",,,"SUB IN by ROSA,COLSON",2
03:36,"GOOD 3PTR by MORETTE,MATT",88 (+41),,47,,CENTRE-M 88-47 (+41),,"GOOD 3PTR by MORETTE,MATT",2
--,"ASSIST  by WEIKERT,DREW",,,,,,,"ASSIST  by WEIKERT,DREW",2
03:33,,88 (+39),,49,"GOOD LAYUP by KIRBY,KEVIN(in the paint)",BC 88-49 (+39),,"GOOD LAYUP by KIRBY,KEVIN(in the paint)",2
03:31,"GOOD 3PTR by SNYDER,CALEB",91 (+42),,49,,CENTRE-M 91-49 (+42),,"GOOD 3PTR by SNYDER,CALEB",2
--,"ASSIST  by MORETTE,MATT",,,,,,,"ASSIST  by MORETTE,MATT",2
03:30,"FOUL  by WEIKERT,DREW",,,,,,,"FOUL  by WEIKERT,DREW",2
03:29,,91 (+40),,51,"GOOD LAYUP by HAMBY,RONYELL(in the paint)",BC 91-51 (+40),,"GOOD LAYUP by HAMBY,RONYELL(in the paint)",2
03:27,"MISS 3PTR by SNYDER,CALEB",,,,,,,"MISS 3PTR by SNYDER,CALEB",2
--,,,,,"REBOUND DEF by COYLE,HUNTER",,,"REBOUND DEF by COYLE,HUNTER",2
03:26,,,,,"MISS LAYUP by KAYS,SAM",,,"MISS LAYUP by KAYS,SAM",2
--,"REBOUND DEF by JACKSON,BRAYDEN",,,,,,,"REBOUND DEF by JACKSON,BRAYDEN",2
01:39,"GOOD JUMPER by MORETTE,MATT",93 (+42),,51,,CENTRE-M 93-51 (+42),,"GOOD JUMPER by MORETTE,MATT",2
01:30,,,,,"TURNOVER  by GULLEY,JAXSON",,,"TURNOVER  by GULLEY,JAXSON",2
01:30,"STEAL  by WEIKERT,DREW",,,,,,,"STEAL  by WEIKERT,DREW",2
01:10,"TURNOVER  by SNYDER,CALEB",,,,,,,"TURNOVER  by SNYDER,CALEB",2
01:09,,,,,"STEAL  by COYLE,HUNTER",,,"STEAL  by COYLE,HUNTER",2
01:07,,,,,"MISS LAYUP by COYLE,HUNTER",,,"MISS LAYUP by COYLE,HUNTER",2
--,"REBOUND DEF by WEIKERT,DREW",,,,,,,"REBOUND DEF by WEIKERT,DREW",2
01:02,"TURNOVER  by WEIKERT,DREW",,,,,,,"TURNOVER  by WEIKERT,DREW",2
01:01,,,,,"STEAL  by WRIGHT,SCOTT",,,"STEAL  by WRIGHT,SCOTT",2
00:54,,,,,"MISS LAYUP by WRIGHT,SCOTT",,,"MISS LAYUP by WRIGHT,SCOTT",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:53,,,,,"TURNOVER  by HAMBY,RONYELL",,,"TURNOVER  by HAMBY,RONYELL",2
00:41,"MISS 3PTR by JACKSON,BRAYDEN",,,,,,,"MISS 3PTR by JACKSON,BRAYDEN",2
--,,,,,"REBOUND DEF by COYLE,HUNTER",,,"REBOUND DEF by COYLE,HUNTER",2
00:29,,,,,"MISS JUMPER by GULLEY,JAXSON",,,"MISS JUMPER by GULLEY,JAXSON",2
--,"REBOUND DEF by WEIKERT,DREW",,,,,,,"REBOUND DEF by WEIKERT,DREW",2
00:16,"MISS 3PTR by MORETTE,MATT",,,,,,,"MISS 3PTR by MORETTE,MATT",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
00:02,,,,,"MISS 3PTR by COYLE,HUNTER",,,"MISS 3PTR by COYLE,HUNTER",2
--,"REBOUND DEF by JACKSON,BRAYDEN",,,,,,,"REBOUND DEF by JACKSON,BRAYDEN",2
