Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,CCM,Game Score,Team Indicator,Play,Period
10:11,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",15 (+6),,9,,CENTRE-M 15-9 (+6),,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",1
--,"ASSIST  by CRUMP,DAWSON",,,,,,,"ASSIST  by CRUMP,DAWSON",1
10:03,,15 (+4),,11,"GOOD LAYUP by CRUMLY,WILL(in the paint)",CCM 15-11 (+4),,"GOOD LAYUP by CRUMLY,WILL(in the paint)",1
10:03,"FOUL  by BROWNLEY,HOGAN",,,,,,,"FOUL  by BROWNLEY,HOGAN",1
10:03,,15 (+3),,12,"GOOD FT by CRUMLY,WILL",CCM 15-12 (+3),,"GOOD FT by CRUMLY,WILL",1
10:03,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
10:03,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
10:03,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
10:03,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",1
10:03,,,,,"SUB IN by SPRAGG,BAILEY",,,"SUB IN by SPRAGG,BAILEY",1
10:03,,,,,"SUB IN by JAUCH,JARED",,,"SUB IN by JAUCH,JARED",1
10:03,,,,,"SUB OUT by PALMER,NICK",,,"SUB OUT by PALMER,NICK",1
10:03,,,,,"SUB OUT by HENRY,GAGE",,,"SUB OUT by HENRY,GAGE",1
09:56,"MISS 3PTR by GERALD,DUSTIN",,,,,,,"MISS 3PTR by GERALD,DUSTIN",1
--,,,,,"REBOUND DEF by SPRAGG,BAILEY",,,"REBOUND DEF by SPRAGG,BAILEY",1
09:42,,15 (+1),,14,"GOOD DUNK by CRUMLY,WILL(in the paint)",CCM 15-14 (+1),,"GOOD DUNK by CRUMLY,WILL(in the paint)",1
--,,,,,"ASSIST  by JAUCH,JARED",,,"ASSIST  by JAUCH,JARED",1
09:21,"GOOD 3PTR by SINE,TUCKER",18 (+4),,14,,CENTRE-M 18-14 (+4),,"GOOD 3PTR by SINE,TUCKER",1
--,"ASSIST  by RAKES,BAILEY",,,,,,,"ASSIST  by RAKES,BAILEY",1
09:09,,,,,"MISS 3PTR by GILBERT,RYAN",,,"MISS 3PTR by GILBERT,RYAN",1
--,,,,,"REBOUND OFF by CRUMLY,WILL",,,"REBOUND OFF by CRUMLY,WILL",1
09:04,,,,,"TURNOVER  by CRUMLY,WILL",,,"TURNOVER  by CRUMLY,WILL",1
09:04,"STEAL  by BROWNLEY,HOGAN",,,,,,,"STEAL  by BROWNLEY,HOGAN",1
08:41,"GOOD JUMPER by GERALD,DUSTIN(in the paint)",20 (+6),,14,,CENTRE-M 20-14 (+6),,"GOOD JUMPER by GERALD,DUSTIN(in the paint)",1
08:18,,20 (+3),,17,"GOOD 3PTR by SPRAGG,BAILEY",CCM 20-17 (+3),,"GOOD 3PTR by SPRAGG,BAILEY",1
--,,,,,"ASSIST  by CRUMLY,WILL",,,"ASSIST  by CRUMLY,WILL",1
07:51,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",1
--,,,,,"REBOUND DEF by SPRAGG,BAILEY",,,"REBOUND DEF by SPRAGG,BAILEY",1
07:41,,,,,"MISS 3PTR by GILBERT,RYAN",,,"MISS 3PTR by GILBERT,RYAN",1
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",1
07:25,"TURNOVER  by BROWNLEY,HOGAN",,,,,,,"TURNOVER  by BROWNLEY,HOGAN",1
07:25,,,,,"STEAL  by GILBERT,RYAN",,,"STEAL  by GILBERT,RYAN",1
07:19,,,,,"MISS 3PTR by CRUMLY,WILL",,,"MISS 3PTR by CRUMLY,WILL",1
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",1
07:12,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
07:12,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
07:12,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
07:12,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
07:12,"SUB OUT by BROWNLEY,HOGAN",,,,,,,"SUB OUT by BROWNLEY,HOGAN",1
07:12,"SUB OUT by GERALD,DUSTIN",,,,,,,"SUB OUT by GERALD,DUSTIN",1
07:12,,,,,"SUB IN by BRYAN,WILLIAM",,,"SUB IN by BRYAN,WILLIAM",1
07:12,,,,,"SUB IN by HOLLIS,MITCHELL",,,"SUB IN by HOLLIS,MITCHELL",1
07:12,,,,,"SUB IN by OETJEN,NOAH",,,"SUB IN by OETJEN,NOAH",1
07:12,,,,,"SUB OUT by CRUMLY,WILL",,,"SUB OUT by CRUMLY,WILL",1
07:12,,,,,"SUB OUT by MITCHELL,JAMES",,,"SUB OUT by MITCHELL,JAMES",1
07:12,,,,,"SUB OUT by GILBERT,RYAN",,,"SUB OUT by GILBERT,RYAN",1
06:51,"MISS JUMPER by RAKES,BAILEY",,,,,,,"MISS JUMPER by RAKES,BAILEY",1
--,,,,,"REBOUND DEF by OETJEN,NOAH",,,"REBOUND DEF by OETJEN,NOAH",1
