Time Remaining,CEN,Away Team Score,Play Team Indicator,Home Team Score,WLU,Game Score,Team Indicator,Play,Period
15:50,,,,,"SUB OUT by MCMILLAN,ROY",,,"SUB OUT by MCMILLAN,ROY",1
15:50,,,,,"SUB IN by DENNIN,KEVIN",,,"SUB IN by DENNIN,KEVIN",1
15:50,,,,,"SUB OUT by MITCHELL,CURTIS",,,"SUB OUT by MITCHELL,CURTIS",1
15:50,,,,,"SUB IN by CROUGHAN,MARK",,,"SUB IN by CROUGHAN,MARK",1
15:39,,,,,"FOUL  by CROUGHAN,MARK",,,"FOUL  by CROUGHAN,MARK",1
15:39,,,,,"TURNOVER  by CROUGHAN,MARK",,,"TURNOVER  by CROUGHAN,MARK",1
15:22,"GOOD LAYUP by BATES,JACOB(in the paint)",18 (+11),,7,,CEN 18-7 (+11),,"GOOD LAYUP by BATES,JACOB(in the paint)",1
15:22,,,,,"FOUL  by CROUGHAN,MARK(in the paint)",,,"FOUL  by CROUGHAN,MARK(in the paint)",1
15:22,"GOOD FT by BATES,JACOB",19 (+12),,7,,CEN 19-7 (+12),,"GOOD FT by BATES,JACOB",1
15:22,,,,,"SUB OUT by CROUGHAN,MARK",,,"SUB OUT by CROUGHAN,MARK",1
15:22,,,,,"SUB IN by MCMILLAN,ROY",,,"SUB IN by MCMILLAN,ROY",1
15:11,,,,,"MISS 3PTR by BRUEGGEMAN,WILLIAM",,,"MISS 3PTR by BRUEGGEMAN,WILLIAM",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
14:47,"MISS JUMPER by RAKES,BAILEY(in the paint)",,,,,,,"MISS JUMPER by RAKES,BAILEY(in the paint)",1
--,,,,,"REBOUND DEF by STARR,ALEX",,,"REBOUND DEF by STARR,ALEX",1
14:40,,,,,"MISS JUMPER by BRUEGGEMAN,WILLIAM",,,"MISS JUMPER by BRUEGGEMAN,WILLIAM",1
--,,,,,"REBOUND OFF by MCMILLAN,ROY",,,"REBOUND OFF by MCMILLAN,ROY",1
14:32,,19 (+10),,9,"GOOD LAYUP by MCMILLAN,ROY",WLU 19-9 (+10),,"GOOD LAYUP by MCMILLAN,ROY",1
14:14,"MISS LAYUP by BATES,JACOB",,,,,,,"MISS LAYUP by BATES,JACOB",1
14:14,,,,,"BLOCK  by MCMILLAN,ROY",,,"BLOCK  by MCMILLAN,ROY",1
--,"REBOUND OFF by BATES,JACOB",,,,,,,"REBOUND OFF by BATES,JACOB",1
14:05,"MISS DUNK by BATES,JACOB",,,,,,,"MISS DUNK by BATES,JACOB",1
--,,,,,"REBOUND DEF by BRUEGGEMAN,WILLIAM",,,"REBOUND DEF by BRUEGGEMAN,WILLIAM",1
14:02,,19 (+7),,12,"GOOD 3PTR by MCMILLAN,ROY",WLU 19-12 (+7),,"GOOD 3PTR by MCMILLAN,ROY",1
--,,,,,"ASSIST  by KEARNS,DEVIN",,,"ASSIST  by KEARNS,DEVIN",1
14:02,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
14:02,,,,,"SUB OUT by BRUEGGEMAN,WILLIAM",,,"SUB OUT by BRUEGGEMAN,WILLIAM",1
14:02,,,,,"SUB IN by PANCHAL,TEVIN",,,"SUB IN by PANCHAL,TEVIN",1
14:02,,,,,"SUB OUT by KEARNS,DEVIN",,,"SUB OUT by KEARNS,DEVIN",1
14:02,,,,,"SUB IN by MITCHELL,CURTIS",,,"SUB IN by MITCHELL,CURTIS",1
14:02,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
14:02,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
14:02,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
14:02,"SUB IN by GERALD,DUSTIN",,,,,,,"SUB IN by GERALD,DUSTIN",1
14:02,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
14:02,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",1
14:02,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
14:02,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",1
13:41,"GOOD 3PTR by WALKER,ART",22 (+10),,12,,CEN 22-12 (+10),,"GOOD 3PTR by WALKER,ART",1
--,"ASSIST  by CRUMP,DAWSON",,,,,,,"ASSIST  by CRUMP,DAWSON",1
13:25,,22 (+8),,14,"GOOD LAYUP by DENNIN,KEVIN",WLU 22-14 (+8),,"GOOD LAYUP by DENNIN,KEVIN",1
--,,,,,"ASSIST  by MITCHELL,CURTIS",,,"ASSIST  by MITCHELL,CURTIS",1
13:04,"GOOD 3PTR by WALKER,ART",25 (+11),,14,,CEN 25-14 (+11),,"GOOD 3PTR by WALKER,ART",1
--,"ASSIST  by GERALD,DUSTIN",,,,,,,"ASSIST  by GERALD,DUSTIN",1
12:53,,,,,"FOUL  by DENNIN,KEVIN",,,"FOUL  by DENNIN,KEVIN",1
12:53,,,,,"TURNOVER  by DENNIN,KEVIN",,,"TURNOVER  by DENNIN,KEVIN",1
12:53,,,,,"SUB OUT by STARR,ALEX",,,"SUB OUT by STARR,ALEX",1
12:53,,,,,"SUB IN by LAMENDOLA,MARK",,,"SUB IN by LAMENDOLA,MARK",1
12:53,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
12:30,"MISS LAYUP by WALKER,ART(in the paint)",,,,,,,"MISS LAYUP by WALKER,ART(in the paint)",1
12:30,,,,,"BLOCK  by MCMILLAN,ROY",,,"BLOCK  by MCMILLAN,ROY",1
--,"REBOUND OFF by PURVIS,KC",,,,,,,"REBOUND OFF by PURVIS,KC",1
12:29,,,,,"SUB OUT by PANCHAL,TEVIN",,,"SUB OUT by PANCHAL,TEVIN",1
12:29,,,,,"SUB IN by KEARNS,DEVIN",,,"SUB IN by KEARNS,DEVIN",1
12:29,,,,,"SUB OUT by MCMILLAN,ROY",,,"SUB OUT by MCMILLAN,ROY",1
12:29,,,,,"SUB IN by BRUEGGEMAN,WILLIAM",,,"SUB IN by BRUEGGEMAN,WILLIAM",1
12:29,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
12:29,"SUB IN by BROWNLEY,HOGAN",,,,,,,"SUB IN by BROWNLEY,HOGAN",1
12:24,"GOOD  by PURVIS,KC(in the paint)",27 (+13),,14,,CEN 27-14 (+13),,"GOOD  by PURVIS,KC(in the paint)",1
12:17,,,,,"TURNOVER  by KEARNS,DEVIN",,,"TURNOVER  by KEARNS,DEVIN",1
12:02,"GOOD 3PTR by CRUMP,DAWSON",30 (+16),,14,,CEN 30-14 (+16),,"GOOD 3PTR by CRUMP,DAWSON",1
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",1
11:51,,,,,"MISS 3PTR by BRUEGGEMAN,WILLIAM",,,"MISS 3PTR by BRUEGGEMAN,WILLIAM",1
--,,,,,"REBOUND OFF by MITCHELL,CURTIS",,,"REBOUND OFF by MITCHELL,CURTIS",1
11:45,,,,,"MISS JUMPER by DENNIN,KEVIN",,,"MISS JUMPER by DENNIN,KEVIN",1
--,"REBOUND DEF by CRUMP,DAWSON",,,,,,,"REBOUND DEF by CRUMP,DAWSON",1
11:15,"GOOD JUMPER by GERALD,DUSTIN(in the paint)",32 (+18),,14,,CEN 32-14 (+18),,"GOOD JUMPER by GERALD,DUSTIN(in the paint)",1
10:57,,32 (+15),,17,"GOOD 3PTR by DENNIN,KEVIN",WLU 32-17 (+15),,"GOOD 3PTR by DENNIN,KEVIN",1
--,,,,,"ASSIST  by MITCHELL,CURTIS",,,"ASSIST  by MITCHELL,CURTIS",1
10:55,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
10:30,"GOOD LAYUP by GERALD,DUSTIN",34 (+17),,17,,CEN 34-17 (+17),,"GOOD LAYUP by GERALD,DUSTIN",1
--,"ASSIST  by CRUMP,DAWSON",,,,,,,"ASSIST  by CRUMP,DAWSON",1
10:14,,34 (+15),,19,"GOOD JUMPER by KEARNS,DEVIN",WLU 34-19 (+15),,"GOOD JUMPER by KEARNS,DEVIN",1
09:47,"TURNOVER  by CRUMP,DAWSON",,,,,,,"TURNOVER  by CRUMP,DAWSON",1
09:47,,,,,"SUB OUT by DENNIN,KEVIN",,,"SUB OUT by DENNIN,KEVIN",1
09:47,,,,,"SUB IN by MCMILLAN,ROY",,,"SUB IN by MCMILLAN,ROY",1
09:47,"SUB OUT by PURVIS,KC",,,,,,,"SUB OUT by PURVIS,KC",1
09:47,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
09:47,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",1
09:47,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
09:40,"FOUL  by BROWNLEY,HOGAN(in the paint)",,,,,,,"FOUL  by BROWNLEY,HOGAN(in the paint)",1
09:40,,,,,"MISS FT by KEARNS,DEVIN(fastbreak)",,,"MISS FT by KEARNS,DEVIN(fastbreak)",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
09:40,,34 (+14),,20,"GOOD FT by KEARNS,DEVIN(fastbreak)",WLU 34-20 (+14),,"GOOD FT by KEARNS,DEVIN(fastbreak)",1
09:40,,,,,"SUB OUT by BRUEGGEMAN,WILLIAM",,,"SUB OUT by BRUEGGEMAN,WILLIAM",1
09:40,,,,,"SUB IN by STARR,ALEX",,,"SUB IN by STARR,ALEX",1
09:40,,,,,"SUB OUT by MITCHELL,CURTIS",,,"SUB OUT by MITCHELL,CURTIS",1
09:40,,,,,"SUB IN by CROUGHAN,MARK",,,"SUB IN by CROUGHAN,MARK",1
09:22,"MISS JUMPER by GRIFFIN,JAROD(in the paint)",,,,,,,"MISS JUMPER by GRIFFIN,JAROD(in the paint)",1
--,,,,,"REBOUND DEF by LAMENDOLA,MARK",,,"REBOUND DEF by LAMENDOLA,MARK",1
09:15,,,,,"MISS JUMPER by STARR,ALEX",,,"MISS JUMPER by STARR,ALEX",1
--,"REBOUND DEF by BROWNLEY,HOGAN",,,,,,,"REBOUND DEF by BROWNLEY,HOGAN",1
09:04,"GOOD JUMPER by RAKES,BAILEY",36 (+16),,20,,CEN 36-20 (+16),,"GOOD JUMPER by RAKES,BAILEY",1
08:50,,,,,"TURNOVER  by LAMENDOLA,MARK(in the paint)",,,"TURNOVER  by LAMENDOLA,MARK(in the paint)",1
08:50,"STEAL  by GERALD,DUSTIN",,,,,,,"STEAL  by GERALD,DUSTIN",1
08:42,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",1
08:42,"TURNOVER  by SPITZER,JAKOB",,,,,,,"TURNOVER  by SPITZER,JAKOB",1
08:42,,,,,"SUB OUT by LAMENDOLA,MARK",,,"SUB OUT by LAMENDOLA,MARK",1
08:42,,,,,"SUB IN by LEWIS,TREY",,,"SUB IN by LEWIS,TREY",1
08:42,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
08:42,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
08:42,"SUB OUT by GERALD,DUSTIN",,,,,,,"SUB OUT by GERALD,DUSTIN",1
08:42,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
08:42,"SUB OUT by BROWNLEY,HOGAN",,,,,,,"SUB OUT by BROWNLEY,HOGAN",1
08:42,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
08:32,,,,,"MISS LAYUP by KEARNS,DEVIN(in the paint)",,,"MISS LAYUP by KEARNS,DEVIN(in the paint)",1
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",1
08:11,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",1
08:11,"TURNOVER  by SPITZER,JAKOB",,,,,,,"TURNOVER  by SPITZER,JAKOB",1
08:11,,,,,"SUB OUT by KEARNS,DEVIN",,,"SUB OUT by KEARNS,DEVIN",1
08:11,,,,,"SUB IN by PANCHAL,TEVIN",,,"SUB IN by PANCHAL,TEVIN",1
08:11,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
08:11,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
07:55,,36 (+14),,22,"GOOD LAYUP by MCMILLAN,ROY(in the paint)",WLU 36-22 (+14),,"GOOD LAYUP by MCMILLAN,ROY(in the paint)",1
07:41,"GOOD 3PTR by WALKER,ART",39 (+17),,22,,CEN 39-22 (+17),,"GOOD 3PTR by WALKER,ART",1
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",1
07:23,,39 (+15),,24,"GOOD JUMPER by MCMILLAN,ROY",WLU 39-24 (+15),,"GOOD JUMPER by MCMILLAN,ROY",1
--,,,,,"ASSIST  by CROUGHAN,MARK",,,"ASSIST  by CROUGHAN,MARK",1
07:00,"TURNOVER  by AYERS,PERRY",,,,,,,"TURNOVER  by AYERS,PERRY",1
07:00,,,,,"STEAL  by LEWIS,TREY",,,"STEAL  by LEWIS,TREY",1
06:51,,39 (+12),,27,"GOOD 3PTR by PANCHAL,TEVIN",WLU 39-27 (+12),,"GOOD 3PTR by PANCHAL,TEVIN",1
--,,,,,"ASSIST  by LEWIS,TREY",,,"ASSIST  by LEWIS,TREY",1
06:34,,,,,"FOUL  by LEWIS,TREY",,,"FOUL  by LEWIS,TREY",1
06:33,"GOOD FT by WALKER,ART",40 (+13),,27,,CEN 40-27 (+13),,"GOOD FT by WALKER,ART",1
06:33,,,,,"SUB OUT by STARR,ALEX",,,"SUB OUT by STARR,ALEX",1
06:33,,,,,"SUB IN by DENNIN,KEVIN",,,"SUB IN by DENNIN,KEVIN",1
06:33,,,,,"SUB OUT by CROUGHAN,MARK",,,"SUB OUT by CROUGHAN,MARK",1
06:33,,,,,"SUB IN by BRUEGGEMAN,WILLIAM",,,"SUB IN by BRUEGGEMAN,WILLIAM",1
06:33,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
06:33,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",1
06:33,"GOOD FT by WALKER,ART",41 (+14),,27,,CEN 41-27 (+14),,"GOOD FT by WALKER,ART",1
06:17,,41 (+11),,30,"GOOD 3PTR by MCMILLAN,ROY",WLU 41-30 (+11),,"GOOD 3PTR by MCMILLAN,ROY",1
06:08,"GOOD LAYUP by BATES,JACOB",43 (+13),,30,,CEN 43-30 (+13),,"GOOD LAYUP by BATES,JACOB",1
--,"ASSIST  by CRUMP,DAWSON",,,,,,,"ASSIST  by CRUMP,DAWSON",1
05:50,,,,,"MISS 3PTR by PANCHAL,TEVIN",,,"MISS 3PTR by PANCHAL,TEVIN",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
05:37,"FOUL  by AYERS,PERRY",,,,,,,"FOUL  by AYERS,PERRY",1
05:37,"TURNOVER  by AYERS,PERRY",,,,,,,"TURNOVER  by AYERS,PERRY",1
05:37,,,,,"SUB OUT by PANCHAL,TEVIN",,,"SUB OUT by PANCHAL,TEVIN",1
05:37,,,,,"SUB IN by STARR,ALEX",,,"SUB IN by STARR,ALEX",1
05:37,,,,,"SUB OUT by LEWIS,TREY",,,"SUB OUT by LEWIS,TREY",1
05:37,,,,,"SUB IN by MITCHELL,CURTIS",,,"SUB IN by MITCHELL,CURTIS",1
05:37,,,,,"SUB OUT by MCMILLAN,ROY",,,"SUB OUT by MCMILLAN,ROY",1
05:37,,,,,"SUB IN by KEARNS,DEVIN",,,"SUB IN by KEARNS,DEVIN",1
05:30,,,,,"MISS JUMPER by KEARNS,DEVIN",,,"MISS JUMPER by KEARNS,DEVIN",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
05:11,,,,,"FOUL  by BRUEGGEMAN,WILLIAM(in the paint)",,,"FOUL  by BRUEGGEMAN,WILLIAM(in the paint)",1
05:10,"MISS FT by AYERS,PERRY",,,,,,,"MISS FT by AYERS,PERRY",1
--,,,,,"REBOUND DEF by MITCHELL,CURTIS",,,"REBOUND DEF by MITCHELL,CURTIS",1
04:44,,,,,"MISS LAYUP by STARR,ALEX(in the paint)",,,"MISS LAYUP by STARR,ALEX(in the paint)",1
--,,,,,"REBOUND OFF by MITCHELL,CURTIS",,,"REBOUND OFF by MITCHELL,CURTIS",1
04:43,"FOUL  by CRUMP,DAWSON(in the paint)",,,,,,,"FOUL  by CRUMP,DAWSON(in the paint)",1
04:43,,,,,"SUB OUT by BRUEGGEMAN,WILLIAM",,,"SUB OUT by BRUEGGEMAN,WILLIAM",1
04:43,,,,,"SUB IN by MCMILLAN,ROY",,,"SUB IN by MCMILLAN,ROY",1
04:43,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
04:43,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
04:34,,,,,"TURNOVER  by MCMILLAN,ROY(in the paint)",,,"TURNOVER  by MCMILLAN,ROY(in the paint)",1
04:34,"STEAL  by GRIFFIN,JAROD",,,,,,,"STEAL  by GRIFFIN,JAROD",1
04:27,"GOOD LAYUP by SINE,TUCKER(fastbreak)",45 (+15),,30,,CEN 45-30 (+15),,"GOOD LAYUP by SINE,TUCKER(fastbreak)",1
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",1
04:11,,45 (+12),,33,"GOOD 3PTR by MCMILLAN,ROY",WLU 45-33 (+12),,"GOOD 3PTR by MCMILLAN,ROY",1
--,,,,,"ASSIST  by STARR,ALEX",,,"ASSIST  by STARR,ALEX",1
03:48,"MISS LAYUP by GRIFFIN,JAROD",,,,,,,"MISS LAYUP by GRIFFIN,JAROD",1
03:48,,,,,"BLOCK  by MCMILLAN,ROY",,,"BLOCK  by MCMILLAN,ROY",1
--,"REBOUND OFF by WALKER,ART",,,,,,,"REBOUND OFF by WALKER,ART",1
03:40,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",1
--,,,,,"REBOUND DEF by MCMILLAN,ROY",,,"REBOUND DEF by MCMILLAN,ROY",1
03:34,,,,,"TURNOVER  by KEARNS,DEVIN",,,"TURNOVER  by KEARNS,DEVIN",1
03:34,"STEAL  by WALKER,ART",,,,,,,"STEAL  by WALKER,ART",1
03:27,"GOOD 3PTR by WALKER,ART(fastbreak)",48 (+15),,33,,CEN 48-33 (+15),,"GOOD 3PTR by WALKER,ART(fastbreak)",1
03:17,,,,,"MISS 3PTR by KEARNS,DEVIN",,,"MISS 3PTR by KEARNS,DEVIN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
03:15,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
03:15,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
03:15,"SUB IN by GERALD,DUSTIN",,,,,,,"SUB IN by GERALD,DUSTIN",1
03:06,,,,,"MISS LAYUP by MITCHELL,CURTIS",,,"MISS LAYUP by MITCHELL,CURTIS",1
--,,,,,"REBOUND OFF by MCMILLAN,ROY",,,"REBOUND OFF by MCMILLAN,ROY",1
02:59,,,,,"MISS LAYUP by MCMILLAN,ROY",,,"MISS LAYUP by MCMILLAN,ROY",1
--,"REBOUND DEF by GERALD,DUSTIN",,,,,,,"REBOUND DEF by GERALD,DUSTIN",1
02:47,"FOUL  by GERALD,DUSTIN",,,,,,,"FOUL  by GERALD,DUSTIN",1
02:47,"TURNOVER  by GERALD,DUSTIN",,,,,,,"TURNOVER  by GERALD,DUSTIN",1
02:47,,,,,"SUB OUT by DENNIN,KEVIN",,,"SUB OUT by DENNIN,KEVIN",1
02:47,,,,,"SUB IN by LEWIS,TREY",,,"SUB IN by LEWIS,TREY",1
02:47,,,,,"SUB OUT by STARR,ALEX",,,"SUB OUT by STARR,ALEX",1
02:47,,,,,"SUB IN by LAMENDOLA,MARK",,,"SUB IN by LAMENDOLA,MARK",1
02:29,,48 (+12),,36,"GOOD 3PTR by LAMENDOLA,MARK",WLU 48-36 (+12),,"GOOD 3PTR by LAMENDOLA,MARK",1
--,,,,,"ASSIST  by KEARNS,DEVIN",,,"ASSIST  by KEARNS,DEVIN",1
02:02,"MISS LAYUP by BATES,JACOB",,,,,,,"MISS LAYUP by BATES,JACOB",1
02:02,,,,,"BLOCK  by MITCHELL,CURTIS",,,"BLOCK  by MITCHELL,CURTIS",1
--,,,,,"REBOUND DEF by KEARNS,DEVIN",,,"REBOUND DEF by KEARNS,DEVIN",1
01:54,,,,,"MISS LAYUP by KEARNS,DEVIN",,,"MISS LAYUP by KEARNS,DEVIN",1
--,,,,,"REBOUND OFF by MCMILLAN,ROY",,,"REBOUND OFF by MCMILLAN,ROY",1
01:54,"FOUL  by GERALD,DUSTIN(in the paint)",,,,,,,"FOUL  by GERALD,DUSTIN(in the paint)",1
01:54,,48 (+11),,37,"GOOD FT by MCMILLAN,ROY",WLU 48-37 (+11),,"GOOD FT by MCMILLAN,ROY",1
01:54,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
01:54,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
01:54,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
01:54,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",1
01:54,"SUB OUT by GERALD,DUSTIN",,,,,,,"SUB OUT by GERALD,DUSTIN",1
01:54,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
01:54,,,,,"MISS FT by MCMILLAN,ROY",,,"MISS FT by MCMILLAN,ROY",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
01:33,"MISS 3PTR by AYERS,PERRY",,,,,,,"MISS 3PTR by AYERS,PERRY",1
--,,,,,"REBOUND DEF by LEWIS,TREY",,,"REBOUND DEF by LEWIS,TREY",1
01:15,,48 (+9),,39,"GOOD JUMPER by LEWIS,TREY",WLU 48-39 (+9),,"GOOD JUMPER by LEWIS,TREY",1
00:48,"GOOD LAYUP by AYERS,PERRY",50 (+11),,39,,CEN 50-39 (+11),,"GOOD LAYUP by AYERS,PERRY",1
00:36,,,,,"MISS 3PTR by LAMENDOLA,MARK",,,"MISS 3PTR by LAMENDOLA,MARK",1
