Time Remaining,OU-M,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-M,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by GERALD,DUSTIN",,,"REBOUND DEF by GERALD,DUSTIN",1
10:00,,10,,21 (+11),"GOOD 3PTR by GRIFFIN,JAROD",CENTRE-M 10-21 (+11),,"GOOD 3PTR by GRIFFIN,JAROD",1
--,,,,,"ASSIST  by PURVIS,KC",,,"ASSIST  by PURVIS,KC",1
09:30,"GOOD JUMPER by KOCH,WILL",12,,21 (+9),,OU-M 12-21 (+9),,"GOOD JUMPER by KOCH,WILL",1
09:10,,12,,23 (+11),"GOOD LAYUP by RAKES,BAILEY(in the paint)",CENTRE-M 12-23 (+11),,"GOOD LAYUP by RAKES,BAILEY(in the paint)",1
08:48,"GOOD LAYUP by JENEI,RYAN(in the paint)",14,,23 (+9),,OU-M 14-23 (+9),,"GOOD LAYUP by JENEI,RYAN(in the paint)",1
08:20,"SUB IN by PERRY,WILL",,,,,,,"SUB IN by PERRY,WILL",1
08:20,"SUB IN by FOSTER,LANE",,,,,,,"SUB IN by FOSTER,LANE",1
08:20,"SUB OUT by JENEI,RYAN",,,,,,,"SUB OUT by JENEI,RYAN",1
08:20,"SUB OUT by BREATHWAITE,ZACH",,,,,,,"SUB OUT by BREATHWAITE,ZACH",1
08:20,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",1
08:20,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",1
08:20,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",1
08:20,,,,,"SUB OUT by GERALD,DUSTIN",,,"SUB OUT by GERALD,DUSTIN",1
08:17,"SUB IN by BREATHWAITE,ZACH",,,,,,,"SUB IN by BREATHWAITE,ZACH",1
08:17,"SUB OUT by FOSTER,LANE",,,,,,,"SUB OUT by FOSTER,LANE",1
08:15,,,,,"MISS 3PTR by AYERS,PERRY",,,"MISS 3PTR by AYERS,PERRY",1
--,"REBOUND DEF by INUNGU,TOM",,,,,,,"REBOUND DEF by INUNGU,TOM",1
08:07,"TURNOVER  by INUNGU,TOM",,,,,,,"TURNOVER  by INUNGU,TOM",1
08:05,,,,,"STEAL  by SPITZER,JAKOB",,,"STEAL  by SPITZER,JAKOB",1
08:03,,14,,25 (+11),"GOOD LAYUP by SPITZER,JAKOB(fastbreak)(in the paint)",CENTRE-M 14-25 (+11),,"GOOD LAYUP by SPITZER,JAKOB(fastbreak)(in the paint)",1
07:54,"MISS LAYUP by BREATHWAITE,ZACH",,,,,,,"MISS LAYUP by BREATHWAITE,ZACH",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
07:52,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:52,"SUB IN by INUNGU,TOM",,,,,,,"SUB IN by INUNGU,TOM",1
07:52,"SUB OUT by RICE,TRE'",,,,,,,"SUB OUT by RICE,TRE'",1
07:46,,,,,"FOUL  by SPITZER,JAKOB",,,"FOUL  by SPITZER,JAKOB",1
07:46,"GOOD FT by INUNGU,TOM",15,,25 (+10),,OU-M 15-25 (+10),,"GOOD FT by INUNGU,TOM",1
07:46,"GOOD FT by INUNGU,TOM",16,,25 (+9),,OU-M 16-25 (+9),,"GOOD FT by INUNGU,TOM",1
07:46,"SUB IN by FOSTER,LANE",,,,,,,"SUB IN by FOSTER,LANE",1
07:46,"SUB OUT by BREATHWAITE,ZACH",,,,,,,"SUB OUT by BREATHWAITE,ZACH",1
07:46,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",1
07:46,,,,,"SUB OUT by PURVIS,KC",,,"SUB OUT by PURVIS,KC",1
07:17,,16,,27 (+11),"GOOD JUMPER by RAKES,BAILEY",CENTRE-M 16-27 (+11),,"GOOD JUMPER by RAKES,BAILEY",1
06:50,"MISS 3PTR by FOSTER,LANE",,,,,,,"MISS 3PTR by FOSTER,LANE",1
--,,,,,"REBOUND DEF by WALKER,ART",,,"REBOUND DEF by WALKER,ART",1
06:35,,,,,"MISS JUMPER by SPITZER,JAKOB",,,"MISS JUMPER by SPITZER,JAKOB",1
--,"REBOUND DEF by KOCH,WILL",,,,,,,"REBOUND DEF by KOCH,WILL",1
06:16,"GOOD LAYUP by PERRY,WILL(in the paint)",18,,27 (+9),,OU-M 18-27 (+9),,"GOOD LAYUP by PERRY,WILL(in the paint)",1
05:58,,,,,"MISS 3PTR by SINE,TUCKER",,,"MISS 3PTR by SINE,TUCKER",1
--,"REBOUND DEF by SONE,CARLOS",,,,,,,"REBOUND DEF by SONE,CARLOS",1
05:44,"MISS 3PTR by KOCH,WILL",,,,,,,"MISS 3PTR by KOCH,WILL",1
--,,,,,"REBOUND DEF by SPITZER,JAKOB",,,"REBOUND DEF by SPITZER,JAKOB",1
05:29,,18,,29 (+11),"GOOD LAYUP by SPITZER,JAKOB(in the paint)",CENTRE-M 18-29 (+11),,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",1
--,,,,,"ASSIST  by SINE,TUCKER",,,"ASSIST  by SINE,TUCKER",1
05:09,"TURNOVER  by INUNGU,TOM",,,,,,,"TURNOVER  by INUNGU,TOM",1
05:09,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",1
05:09,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
05:09,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",1
05:09,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",1
05:09,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",1
05:09,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
04:49,,,,,"MISS 3PTR by SINE,TUCKER",,,"MISS 3PTR by SINE,TUCKER",1
--,"REBOUND DEF by INUNGU,TOM",,,,,,,"REBOUND DEF by INUNGU,TOM",1
04:45,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",1
04:45,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
04:30,"TURNOVER  by PERRY,WILL",,,,,,,"TURNOVER  by PERRY,WILL",1
04:28,,,,,"STEAL  by CRUMP,DAWSON",,,"STEAL  by CRUMP,DAWSON",1
04:25,,,,,"MISS LAYUP by CRUMP,DAWSON",,,"MISS LAYUP by CRUMP,DAWSON",1
--,,,,,"REBOUND OFF by SPITZER,JAKOB",,,"REBOUND OFF by SPITZER,JAKOB",1
04:16,,18,,31 (+13),"GOOD TIPIN by SPITZER,JAKOB(in the paint)",CENTRE-M 18-31 (+13),,"GOOD TIPIN by SPITZER,JAKOB(in the paint)",1
04:01,"MISS LAYUP by KOCH,WILL",,,,,,,"MISS LAYUP by KOCH,WILL",1
--,,,,,"REBOUND DEF by SINE,TUCKER",,,"REBOUND DEF by SINE,TUCKER",1
03:54,"FOUL  by KOCH,WILL",,,,,,,"FOUL  by KOCH,WILL",1
03:54,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
03:54,,18,,32 (+14),"GOOD FT by WALKER,ART",CENTRE-M 18-32 (+14),,"GOOD FT by WALKER,ART",1
03:54,,18,,33 (+15),"GOOD FT by WALKER,ART",CENTRE-M 18-33 (+15),,"GOOD FT by WALKER,ART",1
