Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,OUMBB,Game Score,Team Indicator,Play,Period
00:14,,38 (+7),,31,"GOOD LAYUP by MURRAH,JACK(in the paint)",OUMBB 38-31 (+7),,"GOOD LAYUP by MURRAH,JACK(in the paint)",1
00:01,"MISS 3PTR by GLOVER,CAMERON",,,,,,,"MISS 3PTR by GLOVER,CAMERON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
19:49,,38 (+5),,33,"GOOD LAYUP by CHAMBERS,DIMETRI(in the paint)",OUMBB 38-33 (+5),,"GOOD LAYUP by CHAMBERS,DIMETRI(in the paint)",2
19:38,"MISS 3PTR by FITZGERALD,PAUL",,,,,,,"MISS 3PTR by FITZGERALD,PAUL",2
--,"REBOUND OFF by STEWART,CHRISTIAN",,,,,,,"REBOUND OFF by STEWART,CHRISTIAN",2
19:20,"MISS 3PTR by GILLISPIE,JAY",,,,,,,"MISS 3PTR by GILLISPIE,JAY",2
--,,,,,"REBOUND DEF by MURRAH,JACK",,,"REBOUND DEF by MURRAH,JACK",2
19:17,"FOUL  by FITZGERALD,PAUL",,,,,,,"FOUL  by FITZGERALD,PAUL",2
19:05,,38 (+2),,36,"GOOD 3PTR by CHAMBERS,DIMETRI",OUMBB 38-36 (+2),,"GOOD 3PTR by CHAMBERS,DIMETRI",2
--,,,,,"ASSIST  by MURRAH,JACK",,,"ASSIST  by MURRAH,JACK",2
18:49,"TURNOVER  by STEWART,CHRISTIAN",,,,,,,"TURNOVER  by STEWART,CHRISTIAN",2
18:48,,,,,"STEAL  by MURRAH,JACK",,,"STEAL  by MURRAH,JACK",2
18:41,,,,,"MISS LAYUP by FOSTER,LANE",,,"MISS LAYUP by FOSTER,LANE",2
18:41,"BLOCK  by STEWART,CHRISTIAN",,,,,,,"BLOCK  by STEWART,CHRISTIAN",2
--,"REBOUND DEF by SIGLER,EVAN",,,,,,,"REBOUND DEF by SIGLER,EVAN",2
18:33,"GOOD JUMPER by GLOVER,CAMERON",40 (+4),,36,,BSC 40-36 (+4),,"GOOD JUMPER by GLOVER,CAMERON",2
--,"ASSIST  by SIGLER,EVAN",,,,,,,"ASSIST  by SIGLER,EVAN",2
18:12,,,,,"MISS JUMPER by CHAMBERS,DIMETRI",,,"MISS JUMPER by CHAMBERS,DIMETRI",2
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",2
17:55,"GOOD LAYUP by GILLISPIE,JAY(in the paint)",42 (+6),,36,,BSC 42-36 (+6),,"GOOD LAYUP by GILLISPIE,JAY(in the paint)",2
--,"ASSIST  by FITZGERALD,PAUL",,,,,,,"ASSIST  by FITZGERALD,PAUL",2
17:38,,42 (+3),,39,"GOOD 3PTR by EZIGBO,UBA",OUMBB 42-39 (+3),,"GOOD 3PTR by EZIGBO,UBA",2
--,,,,,"ASSIST  by JENEI,RYAN",,,"ASSIST  by JENEI,RYAN",2
17:24,,,,,"FOUL  by EZIGBO,UBA",,,"FOUL  by EZIGBO,UBA",2
17:08,"TURNOVER  by FITZGERALD,PAUL",,,,,,,"TURNOVER  by FITZGERALD,PAUL",2
17:07,,,,,"STEAL  by EZIGBO,UBA",,,"STEAL  by EZIGBO,UBA",2
17:05,,42 (+1),,41,"GOOD LAYUP by MURRAH,JACK(fastbreak)(in the paint)",OUMBB 42-41 (+1),,"GOOD LAYUP by MURRAH,JACK(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by EZIGBO,UBA",,,"ASSIST  by EZIGBO,UBA",2
16:40,"SUB IN by STEPHENS,TROY",,,,,,,"SUB IN by STEPHENS,TROY",2
16:40,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",2
16:40,"SUB OUT by FITZGERALD,PAUL",,,,,,,"SUB OUT by FITZGERALD,PAUL",2
16:40,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",2
16:39,"TURNOVER  by GLOVER,CAMERON",,,,,,,"TURNOVER  by GLOVER,CAMERON",2
16:38,,,,,"STEAL  by CHAMBERS,DIMETRI",,,"STEAL  by CHAMBERS,DIMETRI",2
16:36,,42,,43 (+1),"GOOD LAYUP by MURRAH,JACK(fastbreak)(in the paint)",OUMBB 42-43 (-1),,"GOOD LAYUP by MURRAH,JACK(fastbreak)(in the paint)",2
16:19,"MISS 3PTR by GLOVER,CAMERON",,,,,,,"MISS 3PTR by GLOVER,CAMERON",2
--,,,,,"REBOUND DEF by FOSTER,LANE",,,"REBOUND DEF by FOSTER,LANE",2
16:09,,42,,45 (+3),"GOOD JUMPER by CHAMBERS,DIMETRI",OUMBB 42-45 (-3),,"GOOD JUMPER by CHAMBERS,DIMETRI",2
16:05,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
16:05,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,2
16:05,,,,,"SUB IN by KOCH,WILL",,,"SUB IN by KOCH,WILL",2
16:05,,,,,"SUB OUT by EZIGBO,UBA",,,"SUB OUT by EZIGBO,UBA",2
15:59,,,,,"FOUL  by JENEI,RYAN",,,"FOUL  by JENEI,RYAN",2
15:59,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,2
15:59,"GOOD FT by GILLISPIE,JAY",43,,45 (+2),,BSC 43-45 (-2),,"GOOD FT by GILLISPIE,JAY",2
15:59,"GOOD FT by GILLISPIE,JAY",44,,45 (+1),,BSC 44-45 (-1),,"GOOD FT by GILLISPIE,JAY",2
15:59,"SUB IN by WILLIAMS,JU'QUAN",,,,,,,"SUB IN by WILLIAMS,JU'QUAN",2
15:59,"SUB OUT by SIGLER,EVAN",,,,,,,"SUB OUT by SIGLER,EVAN",2
15:52,,,,,"TURNOVER  by FOSTER,LANE",,,"TURNOVER  by FOSTER,LANE",2
15:40,"MISS 3PTR by STEPHENS,TROY",,,,,,,"MISS 3PTR by STEPHENS,TROY",2
--,,,,,"REBOUND DEF by MURRAH,JACK",,,"REBOUND DEF by MURRAH,JACK",2
15:31,,44,,47 (+3),"GOOD LAYUP by MURRAH,JACK(in the paint)",OUMBB 44-47 (-3),,"GOOD LAYUP by MURRAH,JACK(in the paint)",2
15:19,"MISS LAYUP by WILLIAMS,JU'QUAN",,,,,,,"MISS LAYUP by WILLIAMS,JU'QUAN",2
--,,,,,"REBOUND DEF by MURRAH,JACK",,,"REBOUND DEF by MURRAH,JACK",2
15:15,,44,,49 (+5),"GOOD LAYUP by CHAMBERS,DIMETRI(fastbreak)(in the paint)",OUMBB 44-49 (-5),,"GOOD LAYUP by CHAMBERS,DIMETRI(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by MURRAH,JACK",,,"ASSIST  by MURRAH,JACK",2
14:52,"TURNOVER  by GILLISPIE,JAY",,,,,,,"TURNOVER  by GILLISPIE,JAY",2
14:50,,,,,"STEAL  by MURRAH,JACK",,,"STEAL  by MURRAH,JACK",2
14:36,,,,,"MISS 3PTR by MURRAH,JACK",,,"MISS 3PTR by MURRAH,JACK",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
14:15,,44,,51 (+7),"GOOD LAYUP by JENEI,RYAN(in the paint)",OUMBB 44-51 (-7),,"GOOD LAYUP by JENEI,RYAN(in the paint)",2
--,,,,,"ASSIST  by MURRAH,JACK",,,"ASSIST  by MURRAH,JACK",2
13:57,"TURNOVER  by GILLISPIE,JAY",,,,,,,"TURNOVER  by GILLISPIE,JAY",2
13:56,,,,,"STEAL  by CHAMBERS,DIMETRI",,,"STEAL  by CHAMBERS,DIMETRI",2
13:54,,44,,53 (+9),"GOOD LAYUP by CHAMBERS,DIMETRI(fastbreak)(in the paint)",OUMBB 44-53 (-9),,"GOOD LAYUP by CHAMBERS,DIMETRI(fastbreak)(in the paint)",2
13:38,"TURNOVER  by GLOVER,CAMERON",,,,,,,"TURNOVER  by GLOVER,CAMERON",2
13:37,,,,,"STEAL  by CHAMBERS,DIMETRI",,,"STEAL  by CHAMBERS,DIMETRI",2
13:35,"SUB IN by TOULIATOS,LUKE",,,,,,,"SUB IN by TOULIATOS,LUKE",2
13:35,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",2
13:35,"SUB IN by GARRIDO,BRANDAN",,,,,,,"SUB IN by GARRIDO,BRANDAN",2
13:35,"SUB IN by GLOVER,COLIN",,,,,,,"SUB IN by GLOVER,COLIN",2
13:35,"SUB OUT by STEPHENS,TROY",,,,,,,"SUB OUT by STEPHENS,TROY",2
13:35,"SUB OUT by GLOVER,CAMERON",,,,,,,"SUB OUT by GLOVER,CAMERON",2
13:35,"SUB OUT by GILLISPIE,JAY",,,,,,,"SUB OUT by GILLISPIE,JAY",2
13:35,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",2
13:34,,,,,"TURNOVER  by MURRAH,JACK",,,"TURNOVER  by MURRAH,JACK",2
13:34,"STEAL  by WILLIAMS,JU'QUAN",,,,,,,"STEAL  by WILLIAMS,JU'QUAN",2
13:29,"MISS LAYUP by STEWART,CHRISTIAN",,,,,,,"MISS LAYUP by STEWART,CHRISTIAN",2
--,"REBOUND OFF by WILLIAMS,JU'QUAN",,,,,,,"REBOUND OFF by WILLIAMS,JU'QUAN",2
13:21,"MISS 3PTR by WILLIAMS,JU'QUAN",,,,,,,"MISS 3PTR by WILLIAMS,JU'QUAN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
13:18,"SUB IN by SIGLER,EVAN",,,,,,,"SUB IN by SIGLER,EVAN",2
13:18,"SUB OUT by WILLIAMS,JU'QUAN",,,,,,,"SUB OUT by WILLIAMS,JU'QUAN",2
13:05,,44,,55 (+11),"GOOD LAYUP by KOCH,WILL(in the paint)",OUMBB 44-55 (-11),,"GOOD LAYUP by KOCH,WILL(in the paint)",2
13:04,"FOUL  by STEWART,CHRISTIAN",,,,,,,"FOUL  by STEWART,CHRISTIAN",2
13:04,,44,,56 (+12),"GOOD FT by KOCH,WILL",OUMBB 44-56 (-12),,"GOOD FT by KOCH,WILL",2
12:44,"TURNOVER  by STEWART,CHRISTIAN",,,,,,,"TURNOVER  by STEWART,CHRISTIAN",2
12:42,,,,,"STEAL  by FOSTER,LANE",,,"STEAL  by FOSTER,LANE",2
12:38,,,,,"MISS 3PTR by EZIGBO,UBA",,,"MISS 3PTR by EZIGBO,UBA",2
--,"REBOUND DEF by GARRIDO,BRANDAN",,,,,,,"REBOUND DEF by GARRIDO,BRANDAN",2
12:31,"TURNOVER  by GARRIDO,BRANDAN",,,,,,,"TURNOVER  by GARRIDO,BRANDAN",2
12:30,,,,,"STEAL  by CHAMBERS,DIMETRI",,,"STEAL  by CHAMBERS,DIMETRI",2
12:28,,44,,58 (+14),"GOOD LAYUP by CHAMBERS,DIMETRI(fastbreak)(in the paint)",OUMBB 44-58 (-14),,"GOOD LAYUP by CHAMBERS,DIMETRI(fastbreak)(in the paint)",2
12:17,"TURNOVER  by TOULIATOS,LUKE",,,,,,,"TURNOVER  by TOULIATOS,LUKE",2
12:17,,,,,"STEAL  by FOSTER,LANE",,,"STEAL  by FOSTER,LANE",2
12:14,,,,,"MISS 3PTR by CHAMBERS,DIMETRI",,,"MISS 3PTR by CHAMBERS,DIMETRI",2
--,"REBOUND DEF by SIGLER,EVAN",,,,,,,"REBOUND DEF by SIGLER,EVAN",2
12:10,,,,,"FOUL  by JENEI,RYAN",,,"FOUL  by JENEI,RYAN",2
12:10,"SUB IN by GLOVER,CAMERON",,,,,,,"SUB IN by GLOVER,CAMERON",2
12:10,"SUB OUT by GARRIDO,BRANDAN",,,,,,,"SUB OUT by GARRIDO,BRANDAN",2
12:10,,,,,"SUB IN by EZIGBO,UBA",,,"SUB IN by EZIGBO,UBA",2
12:10,,,,,"SUB OUT by JENEI,RYAN",,,"SUB OUT by JENEI,RYAN",2
11:51,,,,,"FOUL  by EZIGBO,UBA",,,"FOUL  by EZIGBO,UBA",2
11:51,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:51,"GOOD FT by GLOVER,COLIN",45,,58 (+13),,BSC 45-58 (-13),,"GOOD FT by GLOVER,COLIN",2
11:51,"GOOD FT by GLOVER,COLIN",46,,58 (+12),,BSC 46-58 (-12),,"GOOD FT by GLOVER,COLIN",2
11:51,"SUB IN by FITZGERALD,PAUL",,,,,,,"SUB IN by FITZGERALD,PAUL",2
11:51,"SUB OUT by GLOVER,COLIN",,,,,,,"SUB OUT by GLOVER,COLIN",2
11:46,,,,,"MISS 3PTR by MURRAH,JACK",,,"MISS 3PTR by MURRAH,JACK",2
--,,,,,"REBOUND OFF by KOCH,WILL",,,"REBOUND OFF by KOCH,WILL",2
11:42,,46,,60 (+14),"GOOD DUNK by KOCH,WILL(in the paint)",OUMBB 46-60 (-14),,"GOOD DUNK by KOCH,WILL(in the paint)",2
11:28,"GOOD LAYUP by FITZGERALD,PAUL(in the paint)",48,,60 (+12),,BSC 48-60 (-12),,"GOOD LAYUP by FITZGERALD,PAUL(in the paint)",2
--,"ASSIST  by STEWART,CHRISTIAN",,,,,,,"ASSIST  by STEWART,CHRISTIAN",2
11:20,"FOUL  by FITZGERALD,PAUL",,,,,,,"FOUL  by FITZGERALD,PAUL",2
11:00,,,,,"MISS 3PTR by EZIGBO,UBA",,,"MISS 3PTR by EZIGBO,UBA",2
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",2
10:50,"TURNOVER  by FITZGERALD,PAUL",,,,,,,"TURNOVER  by FITZGERALD,PAUL",2
10:49,,,,,"STEAL  by FOSTER,LANE",,,"STEAL  by FOSTER,LANE",2
10:45,,48,,62 (+14),"GOOD LAYUP by CHAMBERS,DIMETRI(fastbreak)(in the paint)",OUMBB 48-62 (-14),,"GOOD LAYUP by CHAMBERS,DIMETRI(fastbreak)(in the paint)",2
10:23,"MISS LAYUP by TOULIATOS,LUKE",,,,,,,"MISS LAYUP by TOULIATOS,LUKE",2
--,,,,,"REBOUND DEF by KOCH,WILL",,,"REBOUND DEF by KOCH,WILL",2
10:17,,,,,"MISS 3PTR by CHAMBERS,DIMETRI",,,"MISS 3PTR by CHAMBERS,DIMETRI",2
--,"REBOUND DEF by FITZGERALD,PAUL",,,,,,,"REBOUND DEF by FITZGERALD,PAUL",2
10:08,"MISS 3PTR by TOULIATOS,LUKE",,,,,,,"MISS 3PTR by TOULIATOS,LUKE",2
--,,,,,"REBOUND DEF by KOCH,WILL",,,"REBOUND DEF by KOCH,WILL",2
09:42,,48,,64 (+16),"GOOD LAYUP by CHAMBERS,DIMETRI(in the paint)",OUMBB 48-64 (-16),,"GOOD LAYUP by CHAMBERS,DIMETRI(in the paint)",2
09:27,"TURNOVER  by FITZGERALD,PAUL",,,,,,,"TURNOVER  by FITZGERALD,PAUL",2
09:26,,,,,"STEAL  by CHAMBERS,DIMETRI",,,"STEAL  by CHAMBERS,DIMETRI",2
09:20,"FOUL  by TOULIATOS,LUKE",,,,,,,"FOUL  by TOULIATOS,LUKE",2
09:20,,48,,65 (+17),"GOOD FT by CHAMBERS,DIMETRI",OUMBB 48-65 (-17),,"GOOD FT by CHAMBERS,DIMETRI",2
09:20,,48,,66 (+18),"GOOD FT by CHAMBERS,DIMETRI",OUMBB 48-66 (-18),,"GOOD FT by CHAMBERS,DIMETRI",2
09:20,"SUB IN by GILLISPIE,JAY",,,,,,,"SUB IN by GILLISPIE,JAY",2
09:20,"SUB OUT by TOULIATOS,LUKE",,,,,,,"SUB OUT by TOULIATOS,LUKE",2
09:20,,,,,"SUB IN by ETIWE,TOJU",,,"SUB IN by ETIWE,TOJU",2
09:20,,,,,"SUB IN by BENNEFIELD,DYLAN",,,"SUB IN by BENNEFIELD,DYLAN",2
09:20,,,,,"SUB IN by JENEI,RYAN",,,"SUB IN by JENEI,RYAN",2
09:20,,,,,"SUB OUT by FOSTER,LANE",,,"SUB OUT by FOSTER,LANE",2
09:20,,,,,"SUB OUT by KOCH,WILL",,,"SUB OUT by KOCH,WILL",2
09:20,,,,,"SUB OUT by EZIGBO,UBA",,,"SUB OUT by EZIGBO,UBA",2
09:09,,,,,"FOUL  by ETIWE,TOJU",,,"FOUL  by ETIWE,TOJU",2
09:06,"MISS LAYUP by STEWART,CHRISTIAN",,,,,,,"MISS LAYUP by STEWART,CHRISTIAN",2
--,"REBOUND OFF by SIGLER,EVAN",,,,,,,"REBOUND OFF by SIGLER,EVAN",2
09:02,"GOOD LAYUP by SIGLER,EVAN(in the paint)",50,,66 (+16),,BSC 50-66 (-16),,"GOOD LAYUP by SIGLER,EVAN(in the paint)",2
08:49,,,,,"TURNOVER  by ETIWE,TOJU",,,"TURNOVER  by ETIWE,TOJU",2
08:48,"STEAL  by GLOVER,CAMERON",,,,,,,"STEAL  by GLOVER,CAMERON",2
08:44,"MISS 3PTR by GILLISPIE,JAY",,,,,,,"MISS 3PTR by GILLISPIE,JAY",2
--,"REBOUND OFF by FITZGERALD,PAUL",,,,,,,"REBOUND OFF by FITZGERALD,PAUL",2
08:31,"FOUL  by FITZGERALD,PAUL",,,,,,,"FOUL  by FITZGERALD,PAUL",2
08:31,"TURNOVER  by FITZGERALD,PAUL",,,,,,,"TURNOVER  by FITZGERALD,PAUL",2
08:19,"FOUL  by GILLISPIE,JAY",,,,,,,"FOUL  by GILLISPIE,JAY",2
08:19,,50,,67 (+17),"GOOD FT by BENNEFIELD,DYLAN",OUMBB 50-67 (-17),,"GOOD FT by BENNEFIELD,DYLAN",2
08:19,,50,,68 (+18),"GOOD FT by BENNEFIELD,DYLAN",OUMBB 50-68 (-18),,"GOOD FT by BENNEFIELD,DYLAN",2
08:19,,,,,"SUB IN by KOCH,WILL",,,"SUB IN by KOCH,WILL",2
08:19,,,,,"SUB IN by FOSTER,LANE",,,"SUB IN by FOSTER,LANE",2
08:19,,,,,"SUB OUT by CHAMBERS,DIMETRI",,,"SUB OUT by CHAMBERS,DIMETRI",2
08:19,,,,,"SUB OUT by BENNEFIELD,DYLAN",,,"SUB OUT by BENNEFIELD,DYLAN",2
08:06,"MISS LAYUP by SIGLER,EVAN",,,,,,,"MISS LAYUP by SIGLER,EVAN",2
08:06,,,,,"BLOCK  by FOSTER,LANE",,,"BLOCK  by FOSTER,LANE",2
--,,,,,"REBOUND DEF by FOSTER,LANE",,,"REBOUND DEF by FOSTER,LANE",2
07:42,,,,,"MISS 3PTR by MURRAH,JACK",,,"MISS 3PTR by MURRAH,JACK",2
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",2
07:35,,,,,"FOUL  by JENEI,RYAN",,,"FOUL  by JENEI,RYAN",2
07:35,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
07:35,"SUB IN by TOULIATOS,LUKE",,,,,,,"SUB IN by TOULIATOS,LUKE",2
07:35,"SUB IN by GLOVER,COLIN",,,,,,,"SUB IN by GLOVER,COLIN",2
07:35,"SUB OUT by GILLISPIE,JAY",,,,,,,"SUB OUT by GILLISPIE,JAY",2
07:35,"SUB OUT by FITZGERALD,PAUL",,,,,,,"SUB OUT by FITZGERALD,PAUL",2
07:19,"MISS LAYUP by TOULIATOS,LUKE",,,,,,,"MISS LAYUP by TOULIATOS,LUKE",2
--,,,,,"REBOUND DEF by ETIWE,TOJU",,,"REBOUND DEF by ETIWE,TOJU",2
06:50,,,,,"MISS JUMPER by FOSTER,LANE",,,"MISS JUMPER by FOSTER,LANE",2
--,"REBOUND DEF by GLOVER,COLIN",,,,,,,"REBOUND DEF by GLOVER,COLIN",2
06:42,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",52,,68 (+16),,BSC 52-68 (-16),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",2
06:42,,,,,"FOUL  by ETIWE,TOJU",,,"FOUL  by ETIWE,TOJU",2
06:42,"GOOD FT by STEWART,CHRISTIAN",53,,68 (+15),,BSC 53-68 (-15),,"GOOD FT by STEWART,CHRISTIAN",2
06:42,,,,,"SUB IN by CHAMBERS,DIMETRI",,,"SUB IN by CHAMBERS,DIMETRI",2
06:42,,,,,"SUB IN by EZIGBO,UBA",,,"SUB IN by EZIGBO,UBA",2
06:42,,,,,"SUB OUT by ETIWE,TOJU",,,"SUB OUT by ETIWE,TOJU",2
06:42,,,,,"SUB OUT by MURRAH,JACK",,,"SUB OUT by MURRAH,JACK",2
06:28,,,,,"TURNOVER  by FOSTER,LANE",,,"TURNOVER  by FOSTER,LANE",2
06:27,"STEAL  by GLOVER,COLIN",,,,,,,"STEAL  by GLOVER,COLIN",2
06:26,,,,,"FOUL  by JENEI,RYAN",,,"FOUL  by JENEI,RYAN",2
06:26,"GOOD FT by GLOVER,COLIN",54,,68 (+14),,BSC 54-68 (-14),,"GOOD FT by GLOVER,COLIN",2
06:26,"MISS FT by GLOVER,COLIN",,,,,,,"MISS FT by GLOVER,COLIN",2
--,,,,,"REBOUND DEF by FOSTER,LANE",,,"REBOUND DEF by FOSTER,LANE",2
06:26,,,,,"SUB IN by MURRAH,JACK",,,"SUB IN by MURRAH,JACK",2
06:26,,,,,"SUB OUT by JENEI,RYAN",,,"SUB OUT by JENEI,RYAN",2
06:08,,54,,71 (+17),"GOOD 3PTR by EZIGBO,UBA",OUMBB 54-71 (-17),,"GOOD 3PTR by EZIGBO,UBA",2
--,,,,,"ASSIST  by FOSTER,LANE",,,"ASSIST  by FOSTER,LANE",2
05:55,"MISS 3PTR by GLOVER,CAMERON",,,,,,,"MISS 3PTR by GLOVER,CAMERON",2
--,,,,,"REBOUND DEF by EZIGBO,UBA",,,"REBOUND DEF by EZIGBO,UBA",2
05:41,,,,,"MISS 3PTR by EZIGBO,UBA",,,"MISS 3PTR by EZIGBO,UBA",2
--,,,,,"REBOUND OFF by CHAMBERS,DIMETRI",,,"REBOUND OFF by CHAMBERS,DIMETRI",2
05:32,,,,,"MISS LAYUP by CHAMBERS,DIMETRI",,,"MISS LAYUP by CHAMBERS,DIMETRI",2
--,"REBOUND DEF by GLOVER,CAMERON",,,,,,,"REBOUND DEF by GLOVER,CAMERON",2
05:23,"MISS 3PTR by TOULIATOS,LUKE",,,,,,,"MISS 3PTR by TOULIATOS,LUKE",2
--,,,,,"REBOUND DEF by FOSTER,LANE",,,"REBOUND DEF by FOSTER,LANE",2
05:15,,54,,74 (+20),"GOOD 3PTR by CHAMBERS,DIMETRI(fastbreak)",OUMBB 54-74 (-20),,"GOOD 3PTR by CHAMBERS,DIMETRI(fastbreak)",2
--,,,,,"ASSIST  by FOSTER,LANE",,,"ASSIST  by FOSTER,LANE",2
05:02,"TURNOVER  by STEWART,CHRISTIAN",,,,,,,"TURNOVER  by STEWART,CHRISTIAN",2
05:01,,,,,"STEAL  by FOSTER,LANE",,,"STEAL  by FOSTER,LANE",2
04:52,,,,,"TURNOVER  by FOSTER,LANE",,,"TURNOVER  by FOSTER,LANE",2
04:51,"STEAL  by SIGLER,EVAN",,,,,,,"STEAL  by SIGLER,EVAN",2
04:49,"MISS LAYUP by SIGLER,EVAN",,,,,,,"MISS LAYUP by SIGLER,EVAN",2
--,"REBOUND OFF by GLOVER,CAMERON",,,,,,,"REBOUND OFF by GLOVER,CAMERON",2
04:47,"GOOD TIPIN by GLOVER,CAMERON(in the paint)",56,,74 (+18),,BSC 56-74 (-18),,"GOOD TIPIN by GLOVER,CAMERON(in the paint)",2
04:41,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",2
04:41,"SUB IN by GILLISPIE,JAY",,,,,,,"SUB IN by GILLISPIE,JAY",2
04:41,"SUB IN by FITZGERALD,PAUL",,,,,,,"SUB IN by FITZGERALD,PAUL",2
04:41,"SUB OUT by TOULIATOS,LUKE",,,,,,,"SUB OUT by TOULIATOS,LUKE",2
04:41,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",2
04:41,"SUB OUT by GLOVER,COLIN",,,,,,,"SUB OUT by GLOVER,COLIN",2
04:41,,,,,"SUB IN by JENEI,RYAN",,,"SUB IN by JENEI,RYAN",2
04:41,,,,,"SUB OUT by KOCH,WILL",,,"SUB OUT by KOCH,WILL",2
04:36,,,,,"TURNOVER  by CHAMBERS,DIMETRI",,,"TURNOVER  by CHAMBERS,DIMETRI",2
04:22,"GOOD JUMPER by GLOVER,CAMERON",58,,74 (+16),,BSC 58-74 (-16),,"GOOD JUMPER by GLOVER,CAMERON",2
04:00,"FOUL  by FITZGERALD,PAUL",,,,,,,"FOUL  by FITZGERALD,PAUL",2
04:00,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,2
04:00,,58,,75 (+17),"GOOD FT by EZIGBO,UBA",OUMBB 58-75 (-17),,"GOOD FT by EZIGBO,UBA",2
04:00,,58,,76 (+18),"GOOD FT by EZIGBO,UBA",OUMBB 58-76 (-18),,"GOOD FT by EZIGBO,UBA",2
04:00,"SUB IN by WILLIAMS,JU'QUAN",,,,,,,"SUB IN by WILLIAMS,JU'QUAN",2
04:00,"SUB IN by GLOVER,COLIN",,,,,,,"SUB IN by GLOVER,COLIN",2
04:00,"SUB OUT by GILLISPIE,JAY",,,,,,,"SUB OUT by GILLISPIE,JAY",2
04:00,"SUB OUT by FITZGERALD,PAUL",,,,,,,"SUB OUT by FITZGERALD,PAUL",2
04:00,,,,,"SUB IN by KOCH,WILL",,,"SUB IN by KOCH,WILL",2
04:00,,,,,"SUB OUT by EZIGBO,UBA",,,"SUB OUT by EZIGBO,UBA",2
03:52,"TURNOVER  by GLOVER,CAMERON",,,,,,,"TURNOVER  by GLOVER,CAMERON",2
03:48,,,,,"STEAL  by KOCH,WILL",,,"STEAL  by KOCH,WILL",2
03:46,,,,,"TURNOVER  by KOCH,WILL",,,"TURNOVER  by KOCH,WILL",2
03:45,"STEAL  by GLOVER,CAMERON",,,,,,,"STEAL  by GLOVER,CAMERON",2
03:42,"MISS 3PTR by GLOVER,CAMERON",,,,,,,"MISS 3PTR by GLOVER,CAMERON",2
--,,,,,"REBOUND DEF by KOCH,WILL",,,"REBOUND DEF by KOCH,WILL",2
03:24,,,,,"MISS 3PTR by JENEI,RYAN",,,"MISS 3PTR by JENEI,RYAN",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
03:21,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",2
03:21,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",2
03:20,,,,,"MISS 3PTR by MURRAH,JACK",,,"MISS 3PTR by MURRAH,JACK",2
--,"REBOUND DEF by GLOVER,CAMERON",,,,,,,"REBOUND DEF by GLOVER,CAMERON",2
03:10,"MISS 3PTR by GLOVER,COLIN",,,,,,,"MISS 3PTR by GLOVER,COLIN",2
--,,,,,"REBOUND DEF by FOSTER,LANE",,,"REBOUND DEF by FOSTER,LANE",2
03:01,,58,,78 (+20),"GOOD LAYUP by JENEI,RYAN(in the paint)",OUMBB 58-78 (-20),,"GOOD LAYUP by JENEI,RYAN(in the paint)",2
--,,,,,"ASSIST  by MURRAH,JACK",,,"ASSIST  by MURRAH,JACK",2
02:49,"MISS 3PTR by SIGLER,EVAN",,,,,,,"MISS 3PTR by SIGLER,EVAN",2
--,,,,,"REBOUND DEF by JENEI,RYAN",,,"REBOUND DEF by JENEI,RYAN",2
02:38,,,,,"MISS 3PTR by KOCH,WILL",,,"MISS 3PTR by KOCH,WILL",2
