Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,SU,Game Score,Team Indicator,Play,Period
02:05,,,,,"SUB OUT by BLACK,ZAC",,,"SUB OUT by BLACK,ZAC",1
02:05,,,,,"SUB OUT by TOUSSAINT,LEO",,,"SUB OUT by TOUSSAINT,LEO",1
02:05,,,,,"SUB IN by SMITH,CHRIS",,,"SUB IN by SMITH,CHRIS",1
02:05,,,,,"SUB IN by LUECHTEFELD,BROCK",,,"SUB IN by LUECHTEFELD,BROCK",1
01:56,,,,,"TURNOVER  by HESTER,JACOB",,,"TURNOVER  by HESTER,JACOB",1
01:27,"GOOD JUMPER by CHILDERS,JOSH(in the paint)",39 (+4),,35,,BSC 39-35 (+4),,"GOOD JUMPER by CHILDERS,JOSH(in the paint)",1
00:58,,,,,"MISS LAYUP by LUECHTEFELD,BROCK(in the paint)",,,"MISS LAYUP by LUECHTEFELD,BROCK(in the paint)",1
00:58,"BLOCK  by CHILDERS,JOSH",,,,,,,"BLOCK  by CHILDERS,JOSH",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
00:33,"MISS 3PTR by FITZGERALD,PAUL",,,,,,,"MISS 3PTR by FITZGERALD,PAUL",1
--,"REBOUND OFF by CHILDERS,JOSH",,,,,,,"REBOUND OFF by CHILDERS,JOSH",1
00:29,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",39 (+2),,37,,BSC 39-37 (+2),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",1
00:21,,,,,"TURNOVER  by SMITH,CHRIS",,,"TURNOVER  by SMITH,CHRIS",1
00:21,"STEAL  by GLOVER,CAMERON",,,,,,,"STEAL  by GLOVER,CAMERON",1
00:03,"GOOD 3PTR by SIGLER,EVAN",39,,40 (+1),,BSC 39-40 (-1),,"GOOD 3PTR by SIGLER,EVAN",1
--,"ASSIST  by GILLISPIE,JAY",,,,,,,"ASSIST  by GILLISPIE,JAY",1
20:00,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",2
20:00,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",2
20:00,,,,,"SUB OUT by HANNAH,PRESTON",,,"SUB OUT by HANNAH,PRESTON",2
20:00,,,,,"SUB IN by POERSCHKE,KYLE",,,"SUB IN by POERSCHKE,KYLE",2
19:50,,,,,"TURNOVER  by JONES,JOSH",,,"TURNOVER  by JONES,JOSH",2
19:50,"STEAL  by STEWART,CHRISTIAN",,,,,,,"STEAL  by STEWART,CHRISTIAN",2
19:42,"GOOD LAYUP by GILLISPIE,JAY(in the paint)",39,,42 (+3),,BSC 39-42 (-3),,"GOOD LAYUP by GILLISPIE,JAY(in the paint)",2
--,"ASSIST  by FITZGERALD,PAUL",,,,,,,"ASSIST  by FITZGERALD,PAUL",2
19:27,,,,,"TURNOVER  by HESTER,JACOB",,,"TURNOVER  by HESTER,JACOB",2
19:27,"STEAL  by GILLISPIE,JAY",,,,,,,"STEAL  by GILLISPIE,JAY",2
19:22,"MISS LAYUP by SIGLER,EVAN(in the paint)",,,,,,,"MISS LAYUP by SIGLER,EVAN(in the paint)",2
19:22,,,,,"BLOCK  by SMITH,CHRIS",,,"BLOCK  by SMITH,CHRIS",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
19:11,"GOOD 3PTR by FITZGERALD,PAUL",39,,45 (+6),,BSC 39-45 (-6),,"GOOD 3PTR by FITZGERALD,PAUL",2
--,"ASSIST  by GILLISPIE,JAY",,,,,,,"ASSIST  by GILLISPIE,JAY",2
18:55,,,,,"MISS JUMPER by POERSCHKE,KYLE",,,"MISS JUMPER by POERSCHKE,KYLE",2
--,"REBOUND DEF by GILLISPIE,JAY",,,,,,,"REBOUND DEF by GILLISPIE,JAY",2
18:47,"GOOD 3PTR by GLOVER,CAMERON",39,,48 (+9),,BSC 39-48 (-9),,"GOOD 3PTR by GLOVER,CAMERON",2
18:45,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
18:45,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
18:28,"FOUL  by GILLISPIE,JAY",,,,,,,"FOUL  by GILLISPIE,JAY",2
18:28,,40,,48 (+8),"GOOD FT by LUECHTEFELD,BROCK",SU 40-48 (-8),,"GOOD FT by LUECHTEFELD,BROCK",2
18:28,,41,,48 (+7),"GOOD FT by LUECHTEFELD,BROCK",SU 41-48 (-7),,"GOOD FT by LUECHTEFELD,BROCK",2
18:05,"FOUL  by FITZGERALD,PAUL",,,,,,,"FOUL  by FITZGERALD,PAUL",2
18:05,"TURNOVER  by FITZGERALD,PAUL",,,,,,,"TURNOVER  by FITZGERALD,PAUL",2
17:51,,,,,"MISS 3PTR by SMITH,CHRIS",,,"MISS 3PTR by SMITH,CHRIS",2
--,"REBOUND DEF by GILLISPIE,JAY",,,,,,,"REBOUND DEF by GILLISPIE,JAY",2
17:41,"MISS 3PTR by SIGLER,EVAN",,,,,,,"MISS 3PTR by SIGLER,EVAN",2
--,"REBOUND OFF by GILLISPIE,JAY",,,,,,,"REBOUND OFF by GILLISPIE,JAY",2
17:31,,,,,"FOUL  by POERSCHKE,KYLE",,,"FOUL  by POERSCHKE,KYLE",2
17:31,"GOOD FT by GILLISPIE,JAY",41,,49 (+8),,BSC 41-49 (-8),,"GOOD FT by GILLISPIE,JAY",2
17:31,"GOOD FT by GILLISPIE,JAY",41,,50 (+9),,BSC 41-50 (-9),,"GOOD FT by GILLISPIE,JAY",2
17:22,"FOUL  by SIGLER,EVAN",,,,,,,"FOUL  by SIGLER,EVAN",2
17:16,,,,,"MISS LAYUP by JONES,JOSH(in the paint)",,,"MISS LAYUP by JONES,JOSH(in the paint)",2
--,"REBOUND DEF by FITZGERALD,PAUL",,,,,,,"REBOUND DEF by FITZGERALD,PAUL",2
16:59,"FOUL  by GILLISPIE,JAY",,,,,,,"FOUL  by GILLISPIE,JAY",2
16:59,"TURNOVER  by GILLISPIE,JAY",,,,,,,"TURNOVER  by GILLISPIE,JAY",2
16:59,"SUB OUT by FITZGERALD,PAUL",,,,,,,"SUB OUT by FITZGERALD,PAUL",2
16:59,"SUB OUT by GLOVER,CAMERON",,,,,,,"SUB OUT by GLOVER,CAMERON",2
16:59,"SUB OUT by GILLISPIE,JAY",,,,,,,"SUB OUT by GILLISPIE,JAY",2
16:59,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",2
16:59,"SUB OUT by SIGLER,EVAN",,,,,,,"SUB OUT by SIGLER,EVAN",2
16:59,"SUB IN by WILLIAMS,JU'QUAN",,,,,,,"SUB IN by WILLIAMS,JU'QUAN",2
16:59,"SUB IN by GLOVER,COLIN",,,,,,,"SUB IN by GLOVER,COLIN",2
16:59,"SUB IN by GREEN,KALEB",,,,,,,"SUB IN by GREEN,KALEB",2
16:59,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",2
16:59,"SUB IN by SPENCE,SAM",,,,,,,"SUB IN by SPENCE,SAM",2
16:30,"TURNOVER  by CHILDERS,JOSH",,,,,,,"TURNOVER  by CHILDERS,JOSH",2
16:13,,43,,50 (+7),"GOOD JUMPER by SMITH,CHRIS",SU 43-50 (-7),,"GOOD JUMPER by SMITH,CHRIS",2
15:57,"MISS 3PTR by WILLIAMS,JU'QUAN",,,,,,,"MISS 3PTR by WILLIAMS,JU'QUAN",2
--,,,,,"REBOUND DEF by HESTER,JACOB",,,"REBOUND DEF by HESTER,JACOB",2
15:49,,,,,"FOUL  by POERSCHKE,KYLE",,,"FOUL  by POERSCHKE,KYLE",2
15:49,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:49,"SUB OUT by GREEN,KALEB",,,,,,,"SUB OUT by GREEN,KALEB",2
15:49,"SUB IN by GARRIDO,BRANDAN",,,,,,,"SUB IN by GARRIDO,BRANDAN",2
15:49,,,,,"SUB OUT by HESTER,JACOB",,,"SUB OUT by HESTER,JACOB",2
15:49,,,,,"SUB OUT by POERSCHKE,KYLE",,,"SUB OUT by POERSCHKE,KYLE",2
15:49,,,,,"SUB IN by LACY,SAM",,,"SUB IN by LACY,SAM",2
15:49,,,,,"SUB IN by HANNAH,PRESTON",,,"SUB IN by HANNAH,PRESTON",2
15:31,"TURNOVER  by GARRIDO,BRANDAN",,,,,,,"TURNOVER  by GARRIDO,BRANDAN",2
15:31,,,,,"STEAL  by HANNAH,PRESTON",,,"STEAL  by HANNAH,PRESTON",2
15:23,,,,,"MISS LAYUP by JONES,JOSH(in the paint)",,,"MISS LAYUP by JONES,JOSH(in the paint)",2
15:23,"BLOCK  by CHILDERS,JOSH",,,,,,,"BLOCK  by CHILDERS,JOSH",2
--,"REBOUND DEF by GLOVER,COLIN",,,,,,,"REBOUND DEF by GLOVER,COLIN",2
15:21,,,,,"FOUL  by SMITH,CHRIS",,,"FOUL  by SMITH,CHRIS",2
15:07,"TURNOVER  by GARRIDO,BRANDAN",,,,,,,"TURNOVER  by GARRIDO,BRANDAN",2
14:56,,,,,"TURNOVER  by LACY,SAM",,,"TURNOVER  by LACY,SAM",2
14:56,"STEAL  by CHILDERS,JOSH",,,,,,,"STEAL  by CHILDERS,JOSH",2
14:50,"MISS LAYUP by GLOVER,COLIN(in the paint)",,,,,,,"MISS LAYUP by GLOVER,COLIN(in the paint)",2
--,"REBOUND OFF by CHILDERS,JOSH",,,,,,,"REBOUND OFF by CHILDERS,JOSH",2
14:45,"MISS 3PTR by WILLIAMS,JU'QUAN",,,,,,,"MISS 3PTR by WILLIAMS,JU'QUAN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
14:37,,,,,"FOUL  by LUECHTEFELD,BROCK",,,"FOUL  by LUECHTEFELD,BROCK",2
14:37,"MISS FT by CHILDERS,JOSH",,,,,,,"MISS FT by CHILDERS,JOSH",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
14:37,,,,,"SUB OUT by SMITH,CHRIS",,,"SUB OUT by SMITH,CHRIS",2
14:37,,,,,"SUB IN by TOUSSAINT,LEO",,,"SUB IN by TOUSSAINT,LEO",2
14:37,"MISS FT by CHILDERS,JOSH",,,,,,,"MISS FT by CHILDERS,JOSH",2
--,,,,,"REBOUND DEF by LACY,SAM",,,"REBOUND DEF by LACY,SAM",2
14:29,,45,,50 (+5),"GOOD LAYUP by LUECHTEFELD,BROCK(fastbreak)(in the paint)",SU 45-50 (-5),,"GOOD LAYUP by LUECHTEFELD,BROCK(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by LACY,SAM",,,"ASSIST  by LACY,SAM",2
14:18,"GOOD 3PTR by GLOVER,COLIN",45,,53 (+8),,BSC 45-53 (-8),,"GOOD 3PTR by GLOVER,COLIN",2
--,"ASSIST  by GARRIDO,BRANDAN",,,,,,,"ASSIST  by GARRIDO,BRANDAN",2
14:09,"FOUL  by WILLIAMS,JU'QUAN",,,,,,,"FOUL  by WILLIAMS,JU'QUAN",2
14:09,"SUB OUT by WILLIAMS,JU'QUAN",,,,,,,"SUB OUT by WILLIAMS,JU'QUAN",2
14:09,"SUB OUT by GLOVER,COLIN",,,,,,,"SUB OUT by GLOVER,COLIN",2
14:09,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",2
14:09,"SUB OUT by SPENCE,SAM",,,,,,,"SUB OUT by SPENCE,SAM",2
14:09,"SUB IN by KANE,DENMAN",,,,,,,"SUB IN by KANE,DENMAN",2
14:09,"SUB IN by JACKSON,MARTISE",,,,,,,"SUB IN by JACKSON,MARTISE",2
14:09,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",2
14:09,"SUB IN by TOULIATOS,LUKE",,,,,,,"SUB IN by TOULIATOS,LUKE",2
13:56,,,,,"MISS JUMPER by JONES,JOSH(in the paint)",,,"MISS JUMPER by JONES,JOSH(in the paint)",2
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",2
13:49,"MISS 3PTR by KANE,DENMAN",,,,,,,"MISS 3PTR by KANE,DENMAN",2
--,,,,,"REBOUND DEF by LUECHTEFELD,BROCK",,,"REBOUND DEF by LUECHTEFELD,BROCK",2
13:37,,47,,53 (+6),"GOOD LAYUP by LUECHTEFELD,BROCK(in the paint)",SU 47-53 (-6),,"GOOD LAYUP by LUECHTEFELD,BROCK(in the paint)",2
13:16,"MISS JUMPER by JACKSON,MARTISE(in the paint)",,,,,,,"MISS JUMPER by JACKSON,MARTISE(in the paint)",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
13:11,,,,,"SUB OUT by JONES,JOSH",,,"SUB OUT by JONES,JOSH",2
13:11,,,,,"SUB IN by HESTER,JACOB",,,"SUB IN by HESTER,JACOB",2
13:05,"GOOD 3PTR by KANE,DENMAN",47,,56 (+9),,BSC 47-56 (-9),,"GOOD 3PTR by KANE,DENMAN",2
--,"ASSIST  by GARRIDO,BRANDAN",,,,,,,"ASSIST  by GARRIDO,BRANDAN",2
12:49,"FOUL  by TOULIATOS,LUKE",,,,,,,"FOUL  by TOULIATOS,LUKE",2
12:40,,49,,56 (+7),"GOOD LAYUP by LUECHTEFELD,BROCK(in the paint)",SU 49-56 (-7),,"GOOD LAYUP by LUECHTEFELD,BROCK(in the paint)",2
12:39,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
12:29,"TURNOVER  by GARRIDO,BRANDAN",,,,,,,"TURNOVER  by GARRIDO,BRANDAN",2
12:20,,51,,56 (+5),"GOOD LAYUP by LUECHTEFELD,BROCK(in the paint)",SU 51-56 (-5),,"GOOD LAYUP by LUECHTEFELD,BROCK(in the paint)",2
12:11,"MISS 3PTR by TOULIATOS,LUKE",,,,,,,"MISS 3PTR by TOULIATOS,LUKE",2
--,"REBOUND OFF by STEWART,CHRISTIAN",,,,,,,"REBOUND OFF by STEWART,CHRISTIAN",2
12:08,,,,,"FOUL  by TOUSSAINT,LEO",,,"FOUL  by TOUSSAINT,LEO",2
12:08,"SUB OUT by GARRIDO,BRANDAN",,,,,,,"SUB OUT by GARRIDO,BRANDAN",2
12:08,"SUB IN by GLOVER,CAMERON",,,,,,,"SUB IN by GLOVER,CAMERON",2
12:08,,,,,"SUB OUT by LUECHTEFELD,BROCK",,,"SUB OUT by LUECHTEFELD,BROCK",2
12:08,,,,,"SUB OUT by TOUSSAINT,LEO",,,"SUB OUT by TOUSSAINT,LEO",2
12:08,,,,,"SUB IN by BLACK,ZAC",,,"SUB IN by BLACK,ZAC",2
12:08,,,,,"SUB IN by SMITH,CHRIS",,,"SUB IN by SMITH,CHRIS",2
12:06,"MISS 3PTR by KANE,DENMAN",,,,,,,"MISS 3PTR by KANE,DENMAN",2
--,,,,,"REBOUND DEF by HANNAH,PRESTON",,,"REBOUND DEF by HANNAH,PRESTON",2
11:43,,53,,56 (+3),"GOOD JUMPER by HANNAH,PRESTON",SU 53-56 (-3),,"GOOD JUMPER by HANNAH,PRESTON",2
11:22,,,,,"FOUL  by HANNAH,PRESTON",,,"FOUL  by HANNAH,PRESTON",2
11:22,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:22,,,,,"SUB OUT by HANNAH,PRESTON",,,"SUB OUT by HANNAH,PRESTON",2
11:22,,,,,"SUB IN by JONES,JOSH",,,"SUB IN by JONES,JOSH",2
11:22,"GOOD FT by GLOVER,CAMERON",53,,57 (+4),,BSC 53-57 (-4),,"GOOD FT by GLOVER,CAMERON",2
11:22,"GOOD FT by GLOVER,CAMERON",53,,58 (+5),,BSC 53-58 (-5),,"GOOD FT by GLOVER,CAMERON",2
11:02,,,,,"MISS 3PTR by JONES,JOSH",,,"MISS 3PTR by JONES,JOSH",2
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",2
10:53,"MISS LAYUP by GLOVER,CAMERON(in the paint)",,,,,,,"MISS LAYUP by GLOVER,CAMERON(in the paint)",2
--,"REBOUND OFF by STEWART,CHRISTIAN",,,,,,,"REBOUND OFF by STEWART,CHRISTIAN",2
10:48,"MISS LAYUP by STEWART,CHRISTIAN(in the paint)",,,,,,,"MISS LAYUP by STEWART,CHRISTIAN(in the paint)",2
--,"REBOUND OFF by STEWART,CHRISTIAN",,,,,,,"REBOUND OFF by STEWART,CHRISTIAN",2
10:47,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",53,,60 (+7),,BSC 53-60 (-7),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",2
10:43,"FOUL  by KANE,DENMAN",,,,,,,"FOUL  by KANE,DENMAN",2
10:43,"SUB OUT by KANE,DENMAN",,,,,,,"SUB OUT by KANE,DENMAN",2
10:43,"SUB OUT by JACKSON,MARTISE",,,,,,,"SUB OUT by JACKSON,MARTISE",2
10:43,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",2
10:43,"SUB OUT by TOULIATOS,LUKE",,,,,,,"SUB OUT by TOULIATOS,LUKE",2
10:43,"SUB IN by FITZGERALD,PAUL",,,,,,,"SUB IN by FITZGERALD,PAUL",2
10:43,"SUB IN by GILLISPIE,JAY",,,,,,,"SUB IN by GILLISPIE,JAY",2
10:43,"SUB IN by SIGLER,EVAN",,,,,,,"SUB IN by SIGLER,EVAN",2
10:43,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",2
10:43,,,,,"MISS FT by HESTER,JACOB(fastbreak)",,,"MISS FT by HESTER,JACOB(fastbreak)",2
--,"REBOUND DEF by CHILDERS,JOSH",,,,,,,"REBOUND DEF by CHILDERS,JOSH",2
10:28,,,,,"SUB OUT by BLACK,ZAC",,,"SUB OUT by BLACK,ZAC",2
10:28,,,,,"SUB OUT by LACY,SAM",,,"SUB OUT by LACY,SAM",2
10:28,,,,,"SUB IN by HANNAH,PRESTON",,,"SUB IN by HANNAH,PRESTON",2
10:28,,,,,"SUB IN by LUECHTEFELD,BROCK",,,"SUB IN by LUECHTEFELD,BROCK",2
10:27,"MISS LAYUP by CHILDERS,JOSH(in the paint)",,,,,,,"MISS LAYUP by CHILDERS,JOSH(in the paint)",2
10:27,,,,,"BLOCK  by HANNAH,PRESTON",,,"BLOCK  by HANNAH,PRESTON",2
--,,,,,"REBOUND DEF by HESTER,JACOB",,,"REBOUND DEF by HESTER,JACOB",2
10:24,"FOUL  by GILLISPIE,JAY",,,,,,,"FOUL  by GILLISPIE,JAY",2
10:24,,54,,60 (+6),"GOOD FT by HESTER,JACOB(fastbreak)",SU 54-60 (-6),,"GOOD FT by HESTER,JACOB(fastbreak)",2
10:24,,55,,60 (+5),"GOOD FT by HESTER,JACOB(fastbreak)",SU 55-60 (-5),,"GOOD FT by HESTER,JACOB(fastbreak)",2
10:13,"TURNOVER  by GILLISPIE,JAY",,,,,,,"TURNOVER  by GILLISPIE,JAY",2
10:02,,57,,60 (+3),"GOOD JUMPER by HANNAH,PRESTON",SU 57-60 (-3),,"GOOD JUMPER by HANNAH,PRESTON",2
09:43,,,,,"FOUL  by HESTER,JACOB",,,"FOUL  by HESTER,JACOB",2
09:43,"MISS FT by GILLISPIE,JAY",,,,,,,"MISS FT by GILLISPIE,JAY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
09:43,"GOOD FT by GILLISPIE,JAY",57,,61 (+4),,BSC 57-61 (-4),,"GOOD FT by GILLISPIE,JAY",2
09:29,,,,,"MISS DUNK by SMITH,CHRIS(in the paint)",,,"MISS DUNK by SMITH,CHRIS(in the paint)",2
--,"REBOUND DEF by CHILDERS,JOSH",,,,,,,"REBOUND DEF by CHILDERS,JOSH",2
09:14,,,,,"FOUL  by HESTER,JACOB",,,"FOUL  by HESTER,JACOB",2
09:14,"GOOD FT by CHILDERS,JOSH",57,,62 (+5),,BSC 57-62 (-5),,"GOOD FT by CHILDERS,JOSH",2
09:14,,,,,"SUB OUT by HESTER,JACOB",,,"SUB OUT by HESTER,JACOB",2
09:14,,,,,"SUB IN by LACY,SAM",,,"SUB IN by LACY,SAM",2
09:14,"GOOD FT by CHILDERS,JOSH",57,,63 (+6),,BSC 57-63 (-6),,"GOOD FT by CHILDERS,JOSH",2
08:59,,59,,63 (+4),"GOOD DUNK by SMITH,CHRIS(in the paint)",SU 59-63 (-4),,"GOOD DUNK by SMITH,CHRIS(in the paint)",2
--,,,,,"ASSIST  by JONES,JOSH",,,"ASSIST  by JONES,JOSH",2
08:44,"MISS 3PTR by SIGLER,EVAN",,,,,,,"MISS 3PTR by SIGLER,EVAN",2
--,"REBOUND OFF by SIGLER,EVAN",,,,,,,"REBOUND OFF by SIGLER,EVAN",2
08:37,"MISS LAYUP by SIGLER,EVAN(in the paint)",,,,,,,"MISS LAYUP by SIGLER,EVAN(in the paint)",2
--,,,,,"REBOUND DEF by LUECHTEFELD,BROCK",,,"REBOUND DEF by LUECHTEFELD,BROCK",2
08:14,,,,,"TURNOVER  by SMITH,CHRIS",,,"TURNOVER  by SMITH,CHRIS",2
07:52,"MISS 3PTR by FITZGERALD,PAUL",,,,,,,"MISS 3PTR by FITZGERALD,PAUL",2
--,,,,,"REBOUND DEF by JONES,JOSH",,,"REBOUND DEF by JONES,JOSH",2
07:44,"FOUL  by GLOVER,CAMERON",,,,,,,"FOUL  by GLOVER,CAMERON",2
07:44,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
07:44,"SUB OUT by FITZGERALD,PAUL",,,,,,,"SUB OUT by FITZGERALD,PAUL",2
07:44,"SUB OUT by GLOVER,CAMERON",,,,,,,"SUB OUT by GLOVER,CAMERON",2
07:44,"SUB OUT by GILLISPIE,JAY",,,,,,,"SUB OUT by GILLISPIE,JAY",2
07:44,"SUB OUT by SIGLER,EVAN",,,,,,,"SUB OUT by SIGLER,EVAN",2
07:44,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",2
07:44,"SUB IN by WILLIAMS,JU'QUAN",,,,,,,"SUB IN by WILLIAMS,JU'QUAN",2
07:44,"SUB IN by GLOVER,COLIN",,,,,,,"SUB IN by GLOVER,COLIN",2
07:44,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",2
07:44,"SUB IN by GREEN,KALEB",,,,,,,"SUB IN by GREEN,KALEB",2
07:44,"SUB IN by SPENCE,SAM",,,,,,,"SUB IN by SPENCE,SAM",2
07:44,,60,,63 (+3),"GOOD FT by JONES,JOSH(fastbreak)",SU 60-63 (-3),,"GOOD FT by JONES,JOSH(fastbreak)",2
07:44,,61,,63 (+2),"GOOD FT by JONES,JOSH(fastbreak)",SU 61-63 (-2),,"GOOD FT by JONES,JOSH(fastbreak)",2
07:29,,,,,"FOUL  by LUECHTEFELD,BROCK",,,"FOUL  by LUECHTEFELD,BROCK",2
07:29,"GOOD FT by STEWART,CHRISTIAN",61,,64 (+3),,BSC 61-64 (-3),,"GOOD FT by STEWART,CHRISTIAN",2
07:29,"GOOD FT by STEWART,CHRISTIAN",61,,65 (+4),,BSC 61-65 (-4),,"GOOD FT by STEWART,CHRISTIAN",2
07:14,,,,,"MISS 3PTR by HANNAH,PRESTON",,,"MISS 3PTR by HANNAH,PRESTON",2
--,,,,,"REBOUND OFF by SMITH,CHRIS",,,"REBOUND OFF by SMITH,CHRIS",2
07:08,,,,,"MISS LAYUP by SMITH,CHRIS(in the paint)",,,"MISS LAYUP by SMITH,CHRIS(in the paint)",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
06:55,,,,,"MISS LAYUP by LUECHTEFELD,BROCK(in the paint)",,,"MISS LAYUP by LUECHTEFELD,BROCK(in the paint)",2
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",2
06:32,"MISS 3PTR by WILLIAMS,JU'QUAN",,,,,,,"MISS 3PTR by WILLIAMS,JU'QUAN",2
--,,,,,"REBOUND DEF by LACY,SAM",,,"REBOUND DEF by LACY,SAM",2
06:25,"FOUL  by GLOVER,COLIN",,,,,,,"FOUL  by GLOVER,COLIN",2
06:25,,62,,65 (+3),"GOOD FT by HANNAH,PRESTON(fastbreak)",SU 62-65 (-3),,"GOOD FT by HANNAH,PRESTON(fastbreak)",2
06:25,,63,,65 (+2),"GOOD FT by HANNAH,PRESTON(fastbreak)",SU 63-65 (-2),,"GOOD FT by HANNAH,PRESTON(fastbreak)",2
06:15,"MISS 3PTR by GLOVER,COLIN",,,,,,,"MISS 3PTR by GLOVER,COLIN",2
--,,,,,"REBOUND DEF by JONES,JOSH",,,"REBOUND DEF by JONES,JOSH",2
06:05,,,,,"MISS 3PTR by LACY,SAM",,,"MISS 3PTR by LACY,SAM",2
--,,,,,"REBOUND OFF by LACY,SAM",,,"REBOUND OFF by LACY,SAM",2
05:59,,65,,65,"GOOD LAYUP by SMITH,CHRIS(in the paint)",SU 65-65 (0),,"GOOD LAYUP by SMITH,CHRIS(in the paint)",2
--,,,,,"ASSIST  by LACY,SAM",,,"ASSIST  by LACY,SAM",2
05:46,"GOOD 3PTR by GREEN,KALEB",65,,68 (+3),,BSC 65-68 (-3),,"GOOD 3PTR by GREEN,KALEB",2
--,"ASSIST  by STEWART,CHRISTIAN",,,,,,,"ASSIST  by STEWART,CHRISTIAN",2
05:43,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
05:43,"SUB OUT by WILLIAMS,JU'QUAN",,,,,,,"SUB OUT by WILLIAMS,JU'QUAN",2
05:43,"SUB OUT by GLOVER,COLIN",,,,,,,"SUB OUT by GLOVER,COLIN",2
05:43,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",2
05:43,"SUB OUT by GREEN,KALEB",,,,,,,"SUB OUT by GREEN,KALEB",2
05:43,"SUB OUT by SPENCE,SAM",,,,,,,"SUB OUT by SPENCE,SAM",2
05:43,"SUB IN by FITZGERALD,PAUL",,,,,,,"SUB IN by FITZGERALD,PAUL",2
05:43,"SUB IN by GLOVER,CAMERON",,,,,,,"SUB IN by GLOVER,CAMERON",2
05:43,"SUB IN by GILLISPIE,JAY",,,,,,,"SUB IN by GILLISPIE,JAY",2
05:43,"SUB IN by SIGLER,EVAN",,,,,,,"SUB IN by SIGLER,EVAN",2
05:43,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",2
05:27,,,,,"MISS LAYUP by HANNAH,PRESTON(in the paint)",,,"MISS LAYUP by HANNAH,PRESTON(in the paint)",2
05:27,"BLOCK  by CHILDERS,JOSH",,,,,,,"BLOCK  by CHILDERS,JOSH",2
--,"REBOUND DEF by CHILDERS,JOSH",,,,,,,"REBOUND DEF by CHILDERS,JOSH",2
05:00,"MISS JUMPER by CHILDERS,JOSH(in the paint)",,,,,,,"MISS JUMPER by CHILDERS,JOSH(in the paint)",2
--,,,,,"REBOUND DEF by LUECHTEFELD,BROCK",,,"REBOUND DEF by LUECHTEFELD,BROCK",2
04:41,,,,,"MISS JUMPER by LACY,SAM(in the paint)",,,"MISS JUMPER by LACY,SAM(in the paint)",2
04:41,"BLOCK  by FITZGERALD,PAUL",,,,,,,"BLOCK  by FITZGERALD,PAUL",2
--,"REBOUND DEF by GLOVER,CAMERON",,,,,,,"REBOUND DEF by GLOVER,CAMERON",2
04:31,"TURNOVER  by FITZGERALD,PAUL",,,,,,,"TURNOVER  by FITZGERALD,PAUL",2
