Time Remaining,BIRMINGH,Away Team Score,Play Team Indicator,Home Team Score,HUNTINGD,Game Score,Team Indicator,Play,Period
13:35,,,,,"MISS 3PTR by JOHNS,NATE",,,"MISS 3PTR by JOHNS,NATE",1
--,"REBOUND DEF by KANE,DENMAN",,,,,,,"REBOUND DEF by KANE,DENMAN",1
13:25,"MISS 3PTR by STEPHENS,TROY",,,,,,,"MISS 3PTR by STEPHENS,TROY",1
--,"REBOUND OFF by GARRIDO,BRANDAN",,,,,,,"REBOUND OFF by GARRIDO,BRANDAN",1
13:16,"MISS LAYUP by GARRIDO,BRANDAN",,,,,,,"MISS LAYUP by GARRIDO,BRANDAN",1
13:16,,,,,"BLOCK  by JOHNS,NATE",,,"BLOCK  by JOHNS,NATE",1
--,"REBOUND OFF by STEPHENS,TROY",,,,,,,"REBOUND OFF by STEPHENS,TROY",1
13:04,"MISS LAYUP by STEPHENS,TROY",,,,,,,"MISS LAYUP by STEPHENS,TROY",1
--,,,,,"REBOUND DEF by MADISON,DAMIEN",,,"REBOUND DEF by MADISON,DAMIEN",1
12:59,"SUB IN by WILLIAMS,JU'QUAN",,,,,,,"SUB IN by WILLIAMS,JU'QUAN",1
12:59,"SUB IN by JACKSON,MARTISE",,,,,,,"SUB IN by JACKSON,MARTISE",1
12:59,"SUB IN by SPENCE,SAM",,,,,,,"SUB IN by SPENCE,SAM",1
12:59,"SUB IN by DAVIS,BRODY",,,,,,,"SUB IN by DAVIS,BRODY",1
12:59,"SUB IN by GLOVER,COLIN",,,,,,,"SUB IN by GLOVER,COLIN",1
12:59,"SUB OUT by KANE,DENMAN",,,,,,,"SUB OUT by KANE,DENMAN",1
12:59,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",1
12:59,"SUB OUT by TOULIATOS,LUKE",,,,,,,"SUB OUT by TOULIATOS,LUKE",1
12:59,"SUB OUT by STEPHENS,TROY",,,,,,,"SUB OUT by STEPHENS,TROY",1
12:59,"SUB OUT by GARRIDO,BRANDAN",,,,,,,"SUB OUT by GARRIDO,BRANDAN",1
12:59,,,,,"SUB IN by JOHNSON,HORACE",,,"SUB IN by JOHNSON,HORACE",1
12:59,,,,,"SUB IN by HAWKINS,DAQUAN",,,"SUB IN by HAWKINS,DAQUAN",1
12:59,,,,,"SUB OUT by GOOLESBY,TATE",,,"SUB OUT by GOOLESBY,TATE",1
12:59,,,,,"SUB OUT by MADISON,DAMIEN",,,"SUB OUT by MADISON,DAMIEN",1
12:48,,,,,"MISS 3PTR by JOHNSON,HORACE",,,"MISS 3PTR by JOHNSON,HORACE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:30,,,,,"MISS JUMPER by LITTLE,JAMES",,,"MISS JUMPER by LITTLE,JAMES",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:12,,,,,"FOUL  by LITTLE,JAMES",,,"FOUL  by LITTLE,JAMES",1
12:10,"GOOD LAYUP by JACKSON,MARTISE(in the paint)",14 (+7),,7,,BIRMINGH 14-7 (+7),,"GOOD LAYUP by JACKSON,MARTISE(in the paint)",1
12:08,"MISS 3PTR by WILLIAMS,JU'QUAN",,,,,,,"MISS 3PTR by WILLIAMS,JU'QUAN",1
--,,,,,"REBOUND DEF by JOHNS,NATE",,,"REBOUND DEF by JOHNS,NATE",1
12:02,,,,,"MISS LAYUP by JOHNSON,HORACE",,,"MISS LAYUP by JOHNSON,HORACE",1
--,,,,,"REBOUND OFF by LITTLE,JAMES",,,"REBOUND OFF by LITTLE,JAMES",1
11:58,,14 (+5),,9,"GOOD LAYUP by LITTLE,JAMES(in the paint)",HUNTINGD 14-9 (+5),,"GOOD LAYUP by LITTLE,JAMES(in the paint)",1
11:53,,,,,"FOUL  by JOHNSON,HORACE",,,"FOUL  by JOHNSON,HORACE",1
11:53,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
11:46,"MISS 3PTR by GLOVER,COLIN",,,,,,,"MISS 3PTR by GLOVER,COLIN",1
--,"REBOUND OFF by SPENCE,SAM",,,,,,,"REBOUND OFF by SPENCE,SAM",1
--,"ASSIST  by SPENCE,SAM",,,,,,,"ASSIST  by SPENCE,SAM",1
11:30,"GOOD JUMPER by WILLIAMS,JU'QUAN",16 (+7),,9,,BIRMINGH 16-9 (+7),,"GOOD JUMPER by WILLIAMS,JU'QUAN",1
11:20,,,,,"SUB IN by DAVIS,KEONDRE",,,"SUB IN by DAVIS,KEONDRE",1
11:20,,,,,"SUB IN by BOHLING,DYLAN",,,"SUB IN by BOHLING,DYLAN",1
11:20,,,,,"SUB OUT by JOHNS,NATE",,,"SUB OUT by JOHNS,NATE",1
11:20,,,,,"SUB OUT by LINVILLE,AUSTIN",,,"SUB OUT by LINVILLE,AUSTIN",1
11:16,"MISS 3PTR by WILLIAMS,JU'QUAN",,,,,,,"MISS 3PTR by WILLIAMS,JU'QUAN",1
--,"REBOUND OFF by SPENCE,SAM",,,,,,,"REBOUND OFF by SPENCE,SAM",1
11:09,,,,,"FOUL  by HAWKINS,DAQUAN",,,"FOUL  by HAWKINS,DAQUAN",1
11:09,"FOUL  by JACKSON,MARTISE",,,,,,,"FOUL  by JACKSON,MARTISE",1
10:56,,,,,"TURNOVER  by HAWKINS,DAQUAN",,,"TURNOVER  by HAWKINS,DAQUAN",1
10:48,"MISS LAYUP by DAVIS,BRODY",,,,,,,"MISS LAYUP by DAVIS,BRODY",1
--,"REBOUND OFF by WILLIAMS,JU'QUAN",,,,,,,"REBOUND OFF by WILLIAMS,JU'QUAN",1
10:42,,,,,"STEAL  by LITTLE,JAMES",,,"STEAL  by LITTLE,JAMES",1
10:37,"FOUL  by GLOVER,COLIN",,,,,,,"FOUL  by GLOVER,COLIN",1
10:37,,16 (+6),,10,"GOOD FT by LITTLE,JAMES",HUNTINGD 16-10 (+6),,"GOOD FT by LITTLE,JAMES",1
10:37,,,,,"MISS FT by LITTLE,JAMES",,,"MISS FT by LITTLE,JAMES",1
--,"REBOUND DEF by GILLISPIE,JAY",,,,,,,"REBOUND DEF by GILLISPIE,JAY",1
10:37,"SUB IN by SIGLER,EVAN",,,,,,,"SUB IN by SIGLER,EVAN",1
10:37,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",1
10:37,"SUB IN by GILLISPIE,JAY",,,,,,,"SUB IN by GILLISPIE,JAY",1
10:37,"SUB IN by GLOVER,CAMERON",,,,,,,"SUB IN by GLOVER,CAMERON",1
10:37,"SUB IN by FITZGERALD,PAUL",,,,,,,"SUB IN by FITZGERALD,PAUL",1
10:37,"SUB OUT by DAVIS,BRODY",,,,,,,"SUB OUT by DAVIS,BRODY",1
10:37,"SUB OUT by SPENCE,SAM",,,,,,,"SUB OUT by SPENCE,SAM",1
10:37,"SUB OUT by WILLIAMS,JU'QUAN",,,,,,,"SUB OUT by WILLIAMS,JU'QUAN",1
10:37,"SUB OUT by GLOVER,COLIN",,,,,,,"SUB OUT by GLOVER,COLIN",1
10:37,"SUB OUT by JACKSON,MARTISE",,,,,,,"SUB OUT by JACKSON,MARTISE",1
10:37,,,,,"SUB IN by TONEY,CALEB",,,"SUB IN by TONEY,CALEB",1
10:37,,,,,"SUB IN by MADISON,DAMIEN",,,"SUB IN by MADISON,DAMIEN",1
10:37,,,,,"SUB OUT by JOHNSON,HORACE",,,"SUB OUT by JOHNSON,HORACE",1
10:37,,,,,"SUB OUT by HAWKINS,DAQUAN",,,"SUB OUT by HAWKINS,DAQUAN",1
10:21,"TURNOVER  by GLOVER,CAMERON",,,,,,,"TURNOVER  by GLOVER,CAMERON",1
10:11,,,,,"MISS LAYUP by LITTLE,JAMES",,,"MISS LAYUP by LITTLE,JAMES",1
--,"REBOUND DEF by GLOVER,CAMERON",,,,,,,"REBOUND DEF by GLOVER,CAMERON",1
10:03,"GOOD LAYUP by GLOVER,CAMERON(in the paint)",18 (+8),,10,,BIRMINGH 18-10 (+8),,"GOOD LAYUP by GLOVER,CAMERON(in the paint)",1
09:58,"FOUL  by GILLISPIE,JAY",,,,,,,"FOUL  by GILLISPIE,JAY",1
09:58,"FOUL  by STEWART,CHRISTIAN",,,,,,,"FOUL  by STEWART,CHRISTIAN",1
09:49,,18 (+7),,11,"GOOD FT by MADISON,DAMIEN",HUNTINGD 18-11 (+7),,"GOOD FT by MADISON,DAMIEN",1
09:49,,,,,"MISS FT by MADISON,DAMIEN",,,"MISS FT by MADISON,DAMIEN",1
--,"REBOUND DEF by FITZGERALD,PAUL",,,,,,,"REBOUND DEF by FITZGERALD,PAUL",1
09:49,,,,,"SUB IN by PAGE,SAM",,,"SUB IN by PAGE,SAM",1
09:49,,,,,"SUB OUT by LITTLE,JAMES",,,"SUB OUT by LITTLE,JAMES",1
09:43,"MISS LAYUP by STEWART,CHRISTIAN",,,,,,,"MISS LAYUP by STEWART,CHRISTIAN",1
--,,,,,"REBOUND DEF by BOHLING,DYLAN",,,"REBOUND DEF by BOHLING,DYLAN",1
09:30,,18 (+5),,13,"GOOD LAYUP by TONEY,CALEB(in the paint)",HUNTINGD 18-13 (+5),,"GOOD LAYUP by TONEY,CALEB(in the paint)",1
09:18,"GOOD 3PTR by FITZGERALD,PAUL",21 (+8),,13,,BIRMINGH 21-13 (+8),,"GOOD 3PTR by FITZGERALD,PAUL",1
--,"ASSIST  by GILLISPIE,JAY",,,,,,,"ASSIST  by GILLISPIE,JAY",1
08:48,,,,,"TURNOVER  by PAGE,SAM",,,"TURNOVER  by PAGE,SAM",1
08:46,"STEAL  by SIGLER,EVAN",,,,,,,"STEAL  by SIGLER,EVAN",1
08:42,,,,,"STEAL  by TONEY,CALEB",,,"STEAL  by TONEY,CALEB",1
08:35,,21 (+5),,16,"GOOD 3PTR by DAVIS,KEONDRE",HUNTINGD 21-16 (+5),,"GOOD 3PTR by DAVIS,KEONDRE",1
08:17,,,,,"FOUL  by BOHLING,DYLAN",,,"FOUL  by BOHLING,DYLAN",1
08:13,"GOOD LAYUP by GILLISPIE,JAY(in the paint)",23 (+7),,16,,BIRMINGH 23-16 (+7),,"GOOD LAYUP by GILLISPIE,JAY(in the paint)",1
--,"ASSIST  by GLOVER,CAMERON",,,,,,,"ASSIST  by GLOVER,CAMERON",1
07:53,"FOUL  by FITZGERALD,PAUL",,,,,,,"FOUL  by FITZGERALD,PAUL",1
07:51,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
07:46,,23 (+6),,17,"GOOD FT by TONEY,CALEB",HUNTINGD 23-17 (+6),,"GOOD FT by TONEY,CALEB",1
07:46,,,,,"MISS FT by TONEY,CALEB",,,"MISS FT by TONEY,CALEB",1
--,"REBOUND DEF by CHILDERS,JOSH",,,,,,,"REBOUND DEF by CHILDERS,JOSH",1
07:46,"SUB IN by TOULIATOS,LUKE",,,,,,,"SUB IN by TOULIATOS,LUKE",1
07:46,"SUB IN by KANE,DENMAN",,,,,,,"SUB IN by KANE,DENMAN",1
07:46,"SUB IN by STEPHENS,TROY",,,,,,,"SUB IN by STEPHENS,TROY",1
07:46,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",1
07:46,"SUB IN by GARRIDO,BRANDAN",,,,,,,"SUB IN by GARRIDO,BRANDAN",1
07:46,"SUB OUT by GLOVER,CAMERON",,,,,,,"SUB OUT by GLOVER,CAMERON",1
07:46,"SUB OUT by SIGLER,EVAN",,,,,,,"SUB OUT by SIGLER,EVAN",1
07:46,"SUB OUT by FITZGERALD,PAUL",,,,,,,"SUB OUT by FITZGERALD,PAUL",1
07:46,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",1
07:46,"SUB OUT by GILLISPIE,JAY",,,,,,,"SUB OUT by GILLISPIE,JAY",1
07:46,,,,,"SUB IN by GARDNER,MAX",,,"SUB IN by GARDNER,MAX",1
07:46,,,,,"SUB OUT by DAVIS,KEONDRE",,,"SUB OUT by DAVIS,KEONDRE",1
07:27,,,,,"SUB IN by JOHNS,NATE",,,"SUB IN by JOHNS,NATE",1
07:27,,,,,"SUB OUT by BOHLING,DYLAN",,,"SUB OUT by BOHLING,DYLAN",1
07:15,"MISS 3PTR by TOULIATOS,LUKE",,,,,,,"MISS 3PTR by TOULIATOS,LUKE",1
--,"REBOUND OFF by CHILDERS,JOSH",,,,,,,"REBOUND OFF by CHILDERS,JOSH",1
07:07,,,,,"STEAL  by TONEY,CALEB",,,"STEAL  by TONEY,CALEB",1
07:02,,,,,"MISS LAYUP by GARDNER,MAX",,,"MISS LAYUP by GARDNER,MAX",1
--,,,,,"REBOUND OFF by TONEY,CALEB",,,"REBOUND OFF by TONEY,CALEB",1
06:57,,23 (+4),,19,"GOOD LAYUP by TONEY,CALEB(in the paint)",HUNTINGD 23-19 (+4),,"GOOD LAYUP by TONEY,CALEB(in the paint)",1
06:48,"MISS JUMPER by TOULIATOS,LUKE",,,,,,,"MISS JUMPER by TOULIATOS,LUKE",1
--,,,,,"REBOUND DEF by GARDNER,MAX",,,"REBOUND DEF by GARDNER,MAX",1
06:40,"STEAL  by STEPHENS,TROY",,,,,,,"STEAL  by STEPHENS,TROY",1
06:36,"GOOD LAYUP by TOULIATOS,LUKE(in the paint)",25 (+6),,19,,BIRMINGH 25-19 (+6),,"GOOD LAYUP by TOULIATOS,LUKE(in the paint)",1
06:28,,,,,"MISS LAYUP by MADISON,DAMIEN",,,"MISS LAYUP by MADISON,DAMIEN",1
--,"REBOUND DEF by CHILDERS,JOSH",,,,,,,"REBOUND DEF by CHILDERS,JOSH",1
06:19,,,,,"SUB IN by GOOLESBY,TATE",,,"SUB IN by GOOLESBY,TATE",1
06:19,,,,,"SUB OUT by PAGE,SAM",,,"SUB OUT by PAGE,SAM",1
06:08,,,,,"MISS JUMPER by MADISON,DAMIEN",,,"MISS JUMPER by MADISON,DAMIEN",1
--,"REBOUND DEF by KANE,DENMAN",,,,,,,"REBOUND DEF by KANE,DENMAN",1
05:55,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
05:52,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",27 (+8),,19,,BIRMINGH 27-19 (+8),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",1
--,"ASSIST  by TOULIATOS,LUKE",,,,,,,"ASSIST  by TOULIATOS,LUKE",1
05:36,,,,,"MISS JUMPER by TONEY,CALEB",,,"MISS JUMPER by TONEY,CALEB",1
--,,,,,"REBOUND OFF by MADISON,DAMIEN",,,"REBOUND OFF by MADISON,DAMIEN",1
05:27,,27 (+6),,21,"GOOD LAYUP by MADISON,DAMIEN(in the paint)",HUNTINGD 27-21 (+6),,"GOOD LAYUP by MADISON,DAMIEN(in the paint)",1
05:17,"MISS LAYUP by GARRIDO,BRANDAN",,,,,,,"MISS LAYUP by GARRIDO,BRANDAN",1
--,,,,,"REBOUND DEF by GOOLESBY,TATE",,,"REBOUND DEF by GOOLESBY,TATE",1
04:59,,,,,"MISS LAYUP by TONEY,CALEB",,,"MISS LAYUP by TONEY,CALEB",1
--,"REBOUND DEF by TOULIATOS,LUKE",,,,,,,"REBOUND DEF by TOULIATOS,LUKE",1
04:51,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",29 (+8),,21,,BIRMINGH 29-21 (+8),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",1
04:34,,29 (+6),,23,"GOOD LAYUP by GOOLESBY,TATE(in the paint)",HUNTINGD 29-23 (+6),,"GOOD LAYUP by GOOLESBY,TATE(in the paint)",1
--,,,,,"ASSIST  by MADISON,DAMIEN",,,"ASSIST  by MADISON,DAMIEN",1
04:29,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
04:29,"SUB IN by GREEN,KALEB",,,,,,,"SUB IN by GREEN,KALEB",1
04:29,"SUB IN by WILLIAMS,JU'QUAN",,,,,,,"SUB IN by WILLIAMS,JU'QUAN",1
04:29,"SUB IN by JACKSON,MARTISE",,,,,,,"SUB IN by JACKSON,MARTISE",1
04:29,"SUB OUT by KANE,DENMAN",,,,,,,"SUB OUT by KANE,DENMAN",1
04:29,"SUB OUT by STEPHENS,TROY",,,,,,,"SUB OUT by STEPHENS,TROY",1
04:29,"SUB OUT by GARRIDO,BRANDAN",,,,,,,"SUB OUT by GARRIDO,BRANDAN",1
04:23,"MISS 3PTR by WILLIAMS,JU'QUAN",,,,,,,"MISS 3PTR by WILLIAMS,JU'QUAN",1
--,"REBOUND OFF by JACKSON,MARTISE",,,,,,,"REBOUND OFF by JACKSON,MARTISE",1
04:17,"MISS LAYUP by JACKSON,MARTISE",,,,,,,"MISS LAYUP by JACKSON,MARTISE",1
--,,,,,"REBOUND DEF by JOHNS,NATE",,,"REBOUND DEF by JOHNS,NATE",1
04:08,,,,,"SUB IN by LITTLE,JAMES",,,"SUB IN by LITTLE,JAMES",1
04:08,,,,,"SUB OUT by TONEY,CALEB",,,"SUB OUT by TONEY,CALEB",1
04:05,"STEAL  by WILLIAMS,JU'QUAN",,,,,,,"STEAL  by WILLIAMS,JU'QUAN",1
04:01,"GOOD LAYUP by JACKSON,MARTISE(in the paint)",31 (+8),,23,,BIRMINGH 31-23 (+8),,"GOOD LAYUP by JACKSON,MARTISE(in the paint)",1
--,"ASSIST  by CHILDERS,JOSH",,,,,,,"ASSIST  by CHILDERS,JOSH",1
03:52,"FOUL  by TOULIATOS,LUKE",,,,,,,"FOUL  by TOULIATOS,LUKE",1
03:52,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
03:52,,,,,"MISS FT by GARDNER,MAX",,,"MISS FT by GARDNER,MAX",1
--,"REBOUND DEF by GILLISPIE,JAY",,,,,,,"REBOUND DEF by GILLISPIE,JAY",1
03:52,"SUB IN by GLOVER,CAMERON",,,,,,,"SUB IN by GLOVER,CAMERON",1
03:52,"SUB IN by GILLISPIE,JAY",,,,,,,"SUB IN by GILLISPIE,JAY",1
03:52,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",1
03:52,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",1
03:52,"SUB OUT by TOULIATOS,LUKE",,,,,,,"SUB OUT by TOULIATOS,LUKE",1
03:52,"SUB OUT by GREEN,KALEB",,,,,,,"SUB OUT by GREEN,KALEB",1
03:40,"MISS LAYUP by STEWART,CHRISTIAN",,,,,,,"MISS LAYUP by STEWART,CHRISTIAN",1
--,,,,,"REBOUND DEF by JOHNS,NATE",,,"REBOUND DEF by JOHNS,NATE",1
03:32,,31 (+6),,25,"GOOD LAYUP by LITTLE,JAMES(in the paint)",HUNTINGD 31-25 (+6),,"GOOD LAYUP by LITTLE,JAMES(in the paint)",1
03:32,"FOUL  by JACKSON,MARTISE",,,,,,,"FOUL  by JACKSON,MARTISE",1
03:32,,31 (+5),,26,"GOOD FT by LITTLE,JAMES",HUNTINGD 31-26 (+5),,"GOOD FT by LITTLE,JAMES",1
03:32,,,,,"SUB IN by BOHLING,DYLAN",,,"SUB IN by BOHLING,DYLAN",1
03:32,,,,,"SUB IN by JOHNSON,JUSTIN",,,"SUB IN by JOHNSON,JUSTIN",1
03:32,,,,,"SUB OUT by GOOLESBY,TATE",,,"SUB OUT by GOOLESBY,TATE",1
03:32,,,,,"SUB OUT by JOHNS,NATE",,,"SUB OUT by JOHNS,NATE",1
03:19,"MISS 3PTR by WILLIAMS,JU'QUAN",,,,,,,"MISS 3PTR by WILLIAMS,JU'QUAN",1
--,,,,,"REBOUND DEF by GARDNER,MAX",,,"REBOUND DEF by GARDNER,MAX",1
03:12,,,,,"MISS 3PTR by JOHNSON,JUSTIN",,,"MISS 3PTR by JOHNSON,JUSTIN",1
--,,,,,"REBOUND OFF by LITTLE,JAMES",,,"REBOUND OFF by LITTLE,JAMES",1
02:56,,,,,"MISS JUMPER by LITTLE,JAMES",,,"MISS JUMPER by LITTLE,JAMES",1
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",1
02:47,,,,,"FOUL  by LITTLE,JAMES",,,"FOUL  by LITTLE,JAMES",1
02:47,"MISS FT by STEWART,CHRISTIAN",,,,,,,"MISS FT by STEWART,CHRISTIAN",1
--,,,,,"REBOUND DEF by GARDNER,MAX",,,"REBOUND DEF by GARDNER,MAX",1
02:47,,,,,"SUB IN by JOHNSON,HORACE",,,"SUB IN by JOHNSON,HORACE",1
02:47,,,,,"SUB OUT by LITTLE,JAMES",,,"SUB OUT by LITTLE,JAMES",1
