Time Remaining,Berry,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
15:35,,,,,"FOUL  by FITZGERALD,PAUL",,,"FOUL  by FITZGERALD,PAUL",1
15:35,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:35,,,,,"SUB OUT by FITZGERALD,PAUL",,,"SUB OUT by FITZGERALD,PAUL",1
15:35,,,,,"SUB OUT by GILLISPIE,JAY",,,"SUB OUT by GILLISPIE,JAY",1
15:35,,,,,"SUB OUT by STEWART,CHRISTIAN",,,"SUB OUT by STEWART,CHRISTIAN",1
15:35,,,,,"SUB OUT by SIGLER,EVAN",,,"SUB OUT by SIGLER,EVAN",1
15:35,,,,,"SUB IN by WILLIAMS,JU'QUAN",,,"SUB IN by WILLIAMS,JU'QUAN",1
15:35,,,,,"SUB IN by STEPHENS,TROY",,,"SUB IN by STEPHENS,TROY",1
15:35,,,,,"SUB IN by TOULIATOS,LUKE",,,"SUB IN by TOULIATOS,LUKE",1
15:35,,,,,"SUB IN by CHILDERS,JOSH",,,"SUB IN by CHILDERS,JOSH",1
15:35,"SUB OUT by RUSCIANO,ROBBIE",,,,,,,"SUB OUT by RUSCIANO,ROBBIE",1
15:35,"SUB IN by CARTER,COLBY",,,,,,,"SUB IN by CARTER,COLBY",1
15:35,"MISS FT by ELLIS,CHASE",,,,,,,"MISS FT by ELLIS,CHASE",1
--,,,,,"REBOUND DEF by TOULIATOS,LUKE",,,"REBOUND DEF by TOULIATOS,LUKE",1
15:19,,11 (+3),,8,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",BSC 11-8 (-3),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",1
15:04,"MISS 3PTR by KRUEGER,JORDAN",,,,,,,"MISS 3PTR by KRUEGER,JORDAN",1
--,"REBOUND OFF by JOHNSON,MICHAEL",,,,,,,"REBOUND OFF by JOHNSON,MICHAEL",1
14:58,"MISS LAYUP by JOHNSON,MICHAEL(in the paint)",,,,,,,"MISS LAYUP by JOHNSON,MICHAEL(in the paint)",1
14:58,,,,,"BLOCK  by STEPHENS,TROY",,,"BLOCK  by STEPHENS,TROY",1
--,,,,,"REBOUND DEF by CHILDERS,JOSH",,,"REBOUND DEF by CHILDERS,JOSH",1
14:50,,11 (+1),,10,"GOOD LAYUP by WILLIAMS,JU'QUAN(fastbreak)(in the paint)",BSC 11-10 (-1),,"GOOD LAYUP by WILLIAMS,JU'QUAN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by CHILDERS,JOSH",,,"ASSIST  by CHILDERS,JOSH",1
14:36,"MISS 3PTR by KRUEGER,JORDAN",,,,,,,"MISS 3PTR by KRUEGER,JORDAN",1
--,,,,,"REBOUND DEF by CHILDERS,JOSH",,,"REBOUND DEF by CHILDERS,JOSH",1
14:31,"SUB OUT by KRUEGER,JORDAN",,,,,,,"SUB OUT by KRUEGER,JORDAN",1
14:31,"SUB OUT by CRAFT,JAKE",,,,,,,"SUB OUT by CRAFT,JAKE",1
14:31,"SUB IN by MCEWEN,DEVAN",,,,,,,"SUB IN by MCEWEN,DEVAN",1
14:31,"SUB IN by CLARK,BRYCE",,,,,,,"SUB IN by CLARK,BRYCE",1
14:31,"SUB OUT by ELLIS,CHASE",,,,,,,"SUB OUT by ELLIS,CHASE",1
14:31,"SUB IN by BENHAM,BRAXTON",,,,,,,"SUB IN by BENHAM,BRAXTON",1
14:17,,,,,"TURNOVER  by GLOVER,CAMERON",,,"TURNOVER  by GLOVER,CAMERON",1
14:17,"STEAL  by MCEWEN,DEVAN",,,,,,,"STEAL  by MCEWEN,DEVAN",1
13:46,"MISS 3PTR by MCEWEN,DEVAN",,,,,,,"MISS 3PTR by MCEWEN,DEVAN",1
--,,,,,"REBOUND DEF by TOULIATOS,LUKE",,,"REBOUND DEF by TOULIATOS,LUKE",1
13:22,"FOUL  by CARTER,COLBY",,,,,,,"FOUL  by CARTER,COLBY",1
13:22,,,,,"MISS FT by STEPHENS,TROY",,,"MISS FT by STEPHENS,TROY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
13:22,,,,,"SUB OUT by GLOVER,CAMERON",,,"SUB OUT by GLOVER,CAMERON",1
13:22,,,,,"SUB IN by GARRIDO,BRANDAN",,,"SUB IN by GARRIDO,BRANDAN",1
13:22,,11,,11,"GOOD FT by STEPHENS,TROY",BSC 11-11 (0),,"GOOD FT by STEPHENS,TROY",1
13:06,"MISS LAYUP by BENHAM,BRAXTON(in the paint)",,,,,,,"MISS LAYUP by BENHAM,BRAXTON(in the paint)",1
13:06,,,,,"BLOCK  by CHILDERS,JOSH",,,"BLOCK  by CHILDERS,JOSH",1
--,,,,,"REBOUND DEF by CHILDERS,JOSH",,,"REBOUND DEF by CHILDERS,JOSH",1
13:00,,11,,14 (+3),"GOOD 3PTR by STEPHENS,TROY(fastbreak)",BSC 11-14 (+3),,"GOOD 3PTR by STEPHENS,TROY(fastbreak)",1
12:43,"GOOD LAYUP by CLARK,BRYCE(in the paint)",13,,14 (+1),,Berry 13-14 (+1),,"GOOD LAYUP by CLARK,BRYCE(in the paint)",1
--,"ASSIST  by BENHAM,BRAXTON",,,,,,,"ASSIST  by BENHAM,BRAXTON",1
12:24,,,,,"MISS LAYUP by CHILDERS,JOSH(in the paint)",,,"MISS LAYUP by CHILDERS,JOSH(in the paint)",1
--,"REBOUND DEF by CARTER,COLBY",,,,,,,"REBOUND DEF by CARTER,COLBY",1
11:55,"GOOD LAYUP by BENHAM,BRAXTON(in the paint)",15 (+1),,14,,Berry 15-14 (-1),,"GOOD LAYUP by BENHAM,BRAXTON(in the paint)",1
11:42,,,,,"FOUL  by STEPHENS,TROY",,,"FOUL  by STEPHENS,TROY",1
11:42,,,,,"TURNOVER  by STEPHENS,TROY",,,"TURNOVER  by STEPHENS,TROY",1
11:42,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:42,,,,,"SUB OUT by WILLIAMS,JU'QUAN",,,"SUB OUT by WILLIAMS,JU'QUAN",1
11:42,,,,,"SUB OUT by STEPHENS,TROY",,,"SUB OUT by STEPHENS,TROY",1
11:42,,,,,"SUB OUT by CHILDERS,JOSH",,,"SUB OUT by CHILDERS,JOSH",1
11:42,,,,,"SUB IN by GLOVER,CAMERON",,,"SUB IN by GLOVER,CAMERON",1
11:42,,,,,"SUB IN by STEWART,CHRISTIAN",,,"SUB IN by STEWART,CHRISTIAN",1
11:42,,,,,"SUB IN by SIGLER,EVAN",,,"SUB IN by SIGLER,EVAN",1
11:42,"SUB OUT by CARTER,COLBY",,,,,,,"SUB OUT by CARTER,COLBY",1
11:42,"SUB OUT by CLARK,BRYCE",,,,,,,"SUB OUT by CLARK,BRYCE",1
11:42,"SUB IN by ELLIS,CHASE",,,,,,,"SUB IN by ELLIS,CHASE",1
11:42,"SUB IN by RUSCIANO,ROBBIE",,,,,,,"SUB IN by RUSCIANO,ROBBIE",1
11:24,"MISS LAYUP by RUSCIANO,ROBBIE(in the paint)",,,,,,,"MISS LAYUP by RUSCIANO,ROBBIE(in the paint)",1
--,,,,,"REBOUND DEF by TOULIATOS,LUKE",,,"REBOUND DEF by TOULIATOS,LUKE",1
11:13,,15,,16 (+1),"GOOD LAYUP by GARRIDO,BRANDAN(in the paint)",BSC 15-16 (+1),,"GOOD LAYUP by GARRIDO,BRANDAN(in the paint)",1
10:55,,,,,"SUB OUT by TOULIATOS,LUKE",,,"SUB OUT by TOULIATOS,LUKE",1
10:55,,,,,"SUB IN by GILLISPIE,JAY",,,"SUB IN by GILLISPIE,JAY",1
10:40,"MISS LAYUP by JOHNSON,MICHAEL(in the paint)",,,,,,,"MISS LAYUP by JOHNSON,MICHAEL(in the paint)",1
--,,,,,"REBOUND DEF by GILLISPIE,JAY",,,"REBOUND DEF by GILLISPIE,JAY",1
10:33,,,,,"TURNOVER  by GARRIDO,BRANDAN",,,"TURNOVER  by GARRIDO,BRANDAN",1
10:17,"MISS 3PTR by BENHAM,BRAXTON",,,,,,,"MISS 3PTR by BENHAM,BRAXTON",1
--,"REBOUND OFF by RUSCIANO,ROBBIE",,,,,,,"REBOUND OFF by RUSCIANO,ROBBIE",1
10:08,"GOOD LAYUP by MCEWEN,DEVAN(in the paint)",17 (+1),,16,,Berry 17-16 (-1),,"GOOD LAYUP by MCEWEN,DEVAN(in the paint)",1
--,"ASSIST  by RUSCIANO,ROBBIE",,,,,,,"ASSIST  by RUSCIANO,ROBBIE",1
09:52,,,,,"MISS JUMPER by STEWART,CHRISTIAN",,,"MISS JUMPER by STEWART,CHRISTIAN",1
--,"REBOUND DEF by RUSCIANO,ROBBIE",,,,,,,"REBOUND DEF by RUSCIANO,ROBBIE",1
09:44,"MISS LAYUP by ELLIS,CHASE(in the paint)",,,,,,,"MISS LAYUP by ELLIS,CHASE(in the paint)",1
--,,,,,"REBOUND DEF by STEWART,CHRISTIAN",,,"REBOUND DEF by STEWART,CHRISTIAN",1
09:37,,,,,"MISS 3PTR by SIGLER,EVAN",,,"MISS 3PTR by SIGLER,EVAN",1
--,"REBOUND DEF by RUSCIANO,ROBBIE",,,,,,,"REBOUND DEF by RUSCIANO,ROBBIE",1
09:33,"GOOD DUNK by ELLIS,CHASE(fastbreak)(in the paint)",19 (+3),,16,,Berry 19-16 (-3),,"GOOD DUNK by ELLIS,CHASE(fastbreak)(in the paint)",1
--,"ASSIST  by RUSCIANO,ROBBIE",,,,,,,"ASSIST  by RUSCIANO,ROBBIE",1
09:04,,,,,"MISS 3PTR by SIGLER,EVAN",,,"MISS 3PTR by SIGLER,EVAN",1
--,,,,,"REBOUND OFF by GILLISPIE,JAY",,,"REBOUND OFF by GILLISPIE,JAY",1
08:59,"FOUL  by MCEWEN,DEVAN",,,,,,,"FOUL  by MCEWEN,DEVAN",1
08:59,,,,,"MISS FT by GILLISPIE,JAY",,,"MISS FT by GILLISPIE,JAY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
08:59,,,,,"SUB OUT by GARRIDO,BRANDAN",,,"SUB OUT by GARRIDO,BRANDAN",1
08:59,,,,,"SUB IN by FITZGERALD,PAUL",,,"SUB IN by FITZGERALD,PAUL",1
08:59,"SUB OUT by JOHNSON,MICHAEL",,,,,,,"SUB OUT by JOHNSON,MICHAEL",1
08:59,"SUB OUT by RUSCIANO,ROBBIE",,,,,,,"SUB OUT by RUSCIANO,ROBBIE",1
08:59,"SUB IN by CRAFT,JAKE",,,,,,,"SUB IN by CRAFT,JAKE",1
08:59,"SUB IN by CARTER,COLBY",,,,,,,"SUB IN by CARTER,COLBY",1
08:59,,,,,"MISS FT by GILLISPIE,JAY",,,"MISS FT by GILLISPIE,JAY",1
--,"REBOUND DEF by ELLIS,CHASE",,,,,,,"REBOUND DEF by ELLIS,CHASE",1
08:41,,,,,"FOUL  by GILLISPIE,JAY",,,"FOUL  by GILLISPIE,JAY",1
08:41,"GOOD FT by ELLIS,CHASE",20 (+4),,16,,Berry 20-16 (-4),,"GOOD FT by ELLIS,CHASE",1
08:41,"GOOD FT by ELLIS,CHASE",21 (+5),,16,,Berry 21-16 (-5),,"GOOD FT by ELLIS,CHASE",1
08:26,"FOUL  by CARTER,COLBY",,,,,,,"FOUL  by CARTER,COLBY",1
08:26,,21 (+4),,17,"GOOD FT by GILLISPIE,JAY",BSC 21-17 (-4),,"GOOD FT by GILLISPIE,JAY",1
08:26,"SUB OUT by CARTER,COLBY",,,,,,,"SUB OUT by CARTER,COLBY",1
08:26,"SUB IN by RUSCIANO,ROBBIE",,,,,,,"SUB IN by RUSCIANO,ROBBIE",1
08:26,,21 (+3),,18,"GOOD FT by GILLISPIE,JAY",BSC 21-18 (-3),,"GOOD FT by GILLISPIE,JAY",1
08:10,"GOOD JUMPER by ELLIS,CHASE",23 (+5),,18,,Berry 23-18 (-5),,"GOOD JUMPER by ELLIS,CHASE",1
07:57,"FOUL  by ELLIS,CHASE",,,,,,,"FOUL  by ELLIS,CHASE",1
07:57,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:57,,,,,"SUB OUT by GLOVER,CAMERON",,,"SUB OUT by GLOVER,CAMERON",1
07:57,,,,,"SUB OUT by GILLISPIE,JAY",,,"SUB OUT by GILLISPIE,JAY",1
07:57,,,,,"SUB OUT by STEWART,CHRISTIAN",,,"SUB OUT by STEWART,CHRISTIAN",1
07:57,,,,,"SUB IN by GARRIDO,BRANDAN",,,"SUB IN by GARRIDO,BRANDAN",1
07:57,,,,,"SUB IN by TOULIATOS,LUKE",,,"SUB IN by TOULIATOS,LUKE",1
07:57,,,,,"SUB IN by CHILDERS,JOSH",,,"SUB IN by CHILDERS,JOSH",1
07:57,"SUB OUT by ELLIS,CHASE",,,,,,,"SUB OUT by ELLIS,CHASE",1
07:57,"SUB OUT by RUSCIANO,ROBBIE",,,,,,,"SUB OUT by RUSCIANO,ROBBIE",1
07:57,"SUB IN by DALLIMORE,CALEB",,,,,,,"SUB IN by DALLIMORE,CALEB",1
07:57,"SUB IN by CLARK,BRYCE",,,,,,,"SUB IN by CLARK,BRYCE",1
07:57,"SUB OUT by DALLIMORE,CALEB",,,,,,,"SUB OUT by DALLIMORE,CALEB",1
07:57,"SUB IN by RUSCIANO,ROBBIE",,,,,,,"SUB IN by RUSCIANO,ROBBIE",1
07:53,,,,,"TURNOVER  by GARRIDO,BRANDAN",,,"TURNOVER  by GARRIDO,BRANDAN",1
07:53,"STEAL  by BENHAM,BRAXTON",,,,,,,"STEAL  by BENHAM,BRAXTON",1
07:48,"MISS LAYUP by BENHAM,BRAXTON(in the paint)",,,,,,,"MISS LAYUP by BENHAM,BRAXTON(in the paint)",1
07:48,,,,,"BLOCK  by FITZGERALD,PAUL",,,"BLOCK  by FITZGERALD,PAUL",1
--,,,,,"REBOUND DEF by SIGLER,EVAN",,,"REBOUND DEF by SIGLER,EVAN",1
07:40,,,,,"TURNOVER  by GARRIDO,BRANDAN",,,"TURNOVER  by GARRIDO,BRANDAN",1
07:28,"MISS 3PTR by CRAFT,JAKE",,,,,,,"MISS 3PTR by CRAFT,JAKE",1
--,,,,,"REBOUND DEF by FITZGERALD,PAUL",,,"REBOUND DEF by FITZGERALD,PAUL",1
07:18,,23 (+2),,21,"GOOD 3PTR by TOULIATOS,LUKE",BSC 23-21 (-2),,"GOOD 3PTR by TOULIATOS,LUKE",1
--,,,,,"ASSIST  by SIGLER,EVAN",,,"ASSIST  by SIGLER,EVAN",1
07:08,,,,,"SUB OUT by FITZGERALD,PAUL",,,"SUB OUT by FITZGERALD,PAUL",1
07:08,,,,,"SUB OUT by SIGLER,EVAN",,,"SUB OUT by SIGLER,EVAN",1
07:08,,,,,"SUB IN by KANE,DENMAN",,,"SUB IN by KANE,DENMAN",1
07:08,,,,,"SUB IN by STEPHENS,TROY",,,"SUB IN by STEPHENS,TROY",1
06:57,"TURNOVER  by BENHAM,BRAXTON",,,,,,,"TURNOVER  by BENHAM,BRAXTON",1
06:57,,,,,"STEAL  by STEPHENS,TROY",,,"STEAL  by STEPHENS,TROY",1
06:52,,,,,"MISS LAYUP by STEPHENS,TROY(in the paint)",,,"MISS LAYUP by STEPHENS,TROY(in the paint)",1
--,"REBOUND DEF by BENHAM,BRAXTON",,,,,,,"REBOUND DEF by BENHAM,BRAXTON",1
06:46,"SUB OUT by BENHAM,BRAXTON",,,,,,,"SUB OUT by BENHAM,BRAXTON",1
06:46,"SUB IN by JOHNSON,MICHAEL",,,,,,,"SUB IN by JOHNSON,MICHAEL",1
06:46,,,,,"FOUL  by KANE,DENMAN",,,"FOUL  by KANE,DENMAN",1
06:38,"FOUL  by CLARK,BRYCE",,,,,,,"FOUL  by CLARK,BRYCE",1
06:38,"TURNOVER  by CLARK,BRYCE",,,,,,,"TURNOVER  by CLARK,BRYCE",1
06:23,,,,,"MISS 3PTR by STEPHENS,TROY",,,"MISS 3PTR by STEPHENS,TROY",1
--,"REBOUND DEF by JOHNSON,MICHAEL",,,,,,,"REBOUND DEF by JOHNSON,MICHAEL",1
06:06,"GOOD JUMPER by CLARK,BRYCE",25 (+4),,21,,Berry 25-21 (-4),,"GOOD JUMPER by CLARK,BRYCE",1
05:54,,25 (+2),,23,"GOOD LAYUP by TOULIATOS,LUKE(in the paint)",BSC 25-23 (-2),,"GOOD LAYUP by TOULIATOS,LUKE(in the paint)",1
--,,,,,"ASSIST  by GARRIDO,BRANDAN",,,"ASSIST  by GARRIDO,BRANDAN",1
05:38,"MISS 3PTR by RUSCIANO,ROBBIE",,,,,,,"MISS 3PTR by RUSCIANO,ROBBIE",1
--,,,,,"REBOUND DEF by STEPHENS,TROY",,,"REBOUND DEF by STEPHENS,TROY",1
05:25,,25,,25,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",BSC 25-25 (0),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",1
05:06,"GOOD JUMPER by CRAFT,JAKE",27 (+2),,25,,Berry 27-25 (-2),,"GOOD JUMPER by CRAFT,JAKE",1
04:45,,,,,"MISS JUMPER by GARRIDO,BRANDAN(in the paint)",,,"MISS JUMPER by GARRIDO,BRANDAN(in the paint)",1
--,,,,,"REBOUND OFF by CHILDERS,JOSH",,,"REBOUND OFF by CHILDERS,JOSH",1
04:40,,27,,27,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",BSC 27-27 (0),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",1
04:30,"GOOD JUMPER by RUSCIANO,ROBBIE(in the paint)",29 (+2),,27,,Berry 29-27 (-2),,"GOOD JUMPER by RUSCIANO,ROBBIE(in the paint)",1
04:19,,29,,30 (+1),"GOOD 3PTR by TOULIATOS,LUKE",BSC 29-30 (+1),,"GOOD 3PTR by TOULIATOS,LUKE",1
--,,,,,"ASSIST  by GARRIDO,BRANDAN",,,"ASSIST  by GARRIDO,BRANDAN",1
04:01,,,,,"FOUL  by CHILDERS,JOSH",,,"FOUL  by CHILDERS,JOSH",1
04:01,"GOOD FT by JOHNSON,MICHAEL",30,,30,,Berry 30-30 (0),,"GOOD FT by JOHNSON,MICHAEL",1
04:01,,,,,"SUB OUT by GARRIDO,BRANDAN",,,"SUB OUT by GARRIDO,BRANDAN",1
04:01,,,,,"SUB OUT by CHILDERS,JOSH",,,"SUB OUT by CHILDERS,JOSH",1
04:01,,,,,"SUB IN by GLOVER,CAMERON",,,"SUB IN by GLOVER,CAMERON",1
04:01,,,,,"SUB IN by STEWART,CHRISTIAN",,,"SUB IN by STEWART,CHRISTIAN",1
04:01,"GOOD FT by JOHNSON,MICHAEL",31 (+1),,30,,Berry 31-30 (-1),,"GOOD FT by JOHNSON,MICHAEL",1
03:45,,31,,32 (+1),"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",BSC 31-32 (+1),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
03:31,"MISS 3PTR by MCEWEN,DEVAN",,,,,,,"MISS 3PTR by MCEWEN,DEVAN",1
--,,,,,"REBOUND DEF by STEPHENS,TROY",,,"REBOUND DEF by STEPHENS,TROY",1
03:23,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:23,,,,,"SUB OUT by KANE,DENMAN",,,"SUB OUT by KANE,DENMAN",1
03:23,,,,,"SUB OUT by STEPHENS,TROY",,,"SUB OUT by STEPHENS,TROY",1
03:23,,,,,"SUB IN by FITZGERALD,PAUL",,,"SUB IN by FITZGERALD,PAUL",1
03:23,,,,,"SUB IN by SIGLER,EVAN",,,"SUB IN by SIGLER,EVAN",1
03:23,"SUB OUT by CLARK,BRYCE",,,,,,,"SUB OUT by CLARK,BRYCE",1
03:23,"SUB IN by ELLIS,CHASE",,,,,,,"SUB IN by ELLIS,CHASE",1
03:11,"FOUL  by JOHNSON,MICHAEL",,,,,,,"FOUL  by JOHNSON,MICHAEL",1
03:11,,31,,33 (+2),"GOOD FT by GLOVER,CAMERON",BSC 31-33 (+2),,"GOOD FT by GLOVER,CAMERON",1
03:11,,31,,34 (+3),"GOOD FT by GLOVER,CAMERON",BSC 31-34 (+3),,"GOOD FT by GLOVER,CAMERON",1
02:55,"MISS JUMPER by RUSCIANO,ROBBIE",,,,,,,"MISS JUMPER by RUSCIANO,ROBBIE",1
--,,,,,"REBOUND DEF by GLOVER,CAMERON",,,"REBOUND DEF by GLOVER,CAMERON",1
02:48,,,,,"MISS 3PTR by GLOVER,CAMERON",,,"MISS 3PTR by GLOVER,CAMERON",1
--,,,,,"REBOUND OFF by STEWART,CHRISTIAN",,,"REBOUND OFF by STEWART,CHRISTIAN",1
02:42,,31,,36 (+5),"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",BSC 31-36 (+5),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
02:30,"GOOD 3PTR by MCEWEN,DEVAN",34,,36 (+2),,Berry 34-36 (+2),,"GOOD 3PTR by MCEWEN,DEVAN",1
--,"ASSIST  by JOHNSON,MICHAEL",,,,,,,"ASSIST  by JOHNSON,MICHAEL",1
02:15,,,,,"MISS JUMPER by TOULIATOS,LUKE(in the paint)",,,"MISS JUMPER by TOULIATOS,LUKE(in the paint)",1
--,"REBOUND DEF by JOHNSON,MICHAEL",,,,,,,"REBOUND DEF by JOHNSON,MICHAEL",1
01:53,"GOOD JUMPER by JOHNSON,MICHAEL(in the paint)",36,,36,,Berry 36-36 (0),,"GOOD JUMPER by JOHNSON,MICHAEL(in the paint)",1
01:30,,36,,39 (+3),"GOOD 3PTR by TOULIATOS,LUKE",BSC 36-39 (+3),,"GOOD 3PTR by TOULIATOS,LUKE",1
--,,,,,"ASSIST  by GLOVER,CAMERON",,,"ASSIST  by GLOVER,CAMERON",1
01:30,"FOUL  by MCEWEN,DEVAN",,,,,,,"FOUL  by MCEWEN,DEVAN",1
01:30,,,,,"MISS FT by FITZGERALD,PAUL",,,"MISS FT by FITZGERALD,PAUL",1
--,"REBOUND DEF by RUSCIANO,ROBBIE",,,,,,,"REBOUND DEF by RUSCIANO,ROBBIE",1
01:15,"MISS 3PTR by ELLIS,CHASE",,,,,,,"MISS 3PTR by ELLIS,CHASE",1
--,"REBOUND OFF by JOHNSON,MICHAEL",,,,,,,"REBOUND OFF by JOHNSON,MICHAEL",1
01:10,"TURNOVER  by JOHNSON,MICHAEL",,,,,,,"TURNOVER  by JOHNSON,MICHAEL",1
00:59,"FOUL  by CRAFT,JAKE",,,,,,,"FOUL  by CRAFT,JAKE",1
00:59,,36,,40 (+4),"GOOD FT by STEWART,CHRISTIAN",BSC 36-40 (+4),,"GOOD FT by STEWART,CHRISTIAN",1
00:59,,,,,"SUB OUT by TOULIATOS,LUKE",,,"SUB OUT by TOULIATOS,LUKE",1
00:59,,,,,"SUB IN by GILLISPIE,JAY",,,"SUB IN by GILLISPIE,JAY",1
00:59,,,,,"MISS FT by STEWART,CHRISTIAN",,,"MISS FT by STEWART,CHRISTIAN",1
--,"REBOUND DEF by JOHNSON,MICHAEL",,,,,,,"REBOUND DEF by JOHNSON,MICHAEL",1
00:47,,,,,"FOUL  by GILLISPIE,JAY",,,"FOUL  by GILLISPIE,JAY",1
00:47,,,,,"SUB OUT by GILLISPIE,JAY",,,"SUB OUT by GILLISPIE,JAY",1
00:47,,,,,"SUB IN by TOULIATOS,LUKE",,,"SUB IN by TOULIATOS,LUKE",1
00:47,"SUB OUT by MCEWEN,DEVAN",,,,,,,"SUB OUT by MCEWEN,DEVAN",1
00:47,"SUB IN by BENHAM,BRAXTON",,,,,,,"SUB IN by BENHAM,BRAXTON",1
00:47,"MISS FT by CRAFT,JAKE",,,,,,,"MISS FT by CRAFT,JAKE",1
--,,,,,"REBOUND DEF by GLOVER,CAMERON",,,"REBOUND DEF by GLOVER,CAMERON",1
