Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,EU,Game Score,Team Indicator,Play,Period
06:21,"GOOD FT by GLOVER,CAMERON(fastbreak)",57,,71 (+14),,BSC 57-71 (-14),,"GOOD FT by GLOVER,CAMERON(fastbreak)",2
06:08,,57,,74 (+17),"GOOD 3PTR by FALLAS,ALBERT",EU 57-74 (-17),,"GOOD 3PTR by FALLAS,ALBERT",2
--,,,,,"ASSIST  by SCHNER,MATTHEW",,,"ASSIST  by SCHNER,MATTHEW",2
05:51,"MISS JUMPER by CHILDERS,JOSH(in the paint)",,,,,,,"MISS JUMPER by CHILDERS,JOSH(in the paint)",2
--,,,,,"REBOUND DEF by FRIED,MAX",,,"REBOUND DEF by FRIED,MAX",2
05:40,,57,,76 (+19),"GOOD JUMPER by WILLIAMS,ROMIN(in the paint)",EU 57-76 (-19),,"GOOD JUMPER by WILLIAMS,ROMIN(in the paint)",2
05:40,"FOUL  by GLOVER,CAMERON",,,,,,,"FOUL  by GLOVER,CAMERON",2
05:40,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",2
05:40,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",2
05:40,,57,,77 (+20),"GOOD FT by WILLIAMS,ROMIN",EU 57-77 (-20),,"GOOD FT by WILLIAMS,ROMIN",2
05:31,,,,,"FOUL  by BARBER,JAXSON",,,"FOUL  by BARBER,JAXSON",2
05:31,"MISS FT by STEWART,CHRISTIAN",,,,,,,"MISS FT by STEWART,CHRISTIAN",2
--,,,,,"REBOUND DEF by FRIED,MAX",,,"REBOUND DEF by FRIED,MAX",2
05:21,,,,,"MISS JUMPER by BARBER,JAXSON",,,"MISS JUMPER by BARBER,JAXSON",2
--,"REBOUND DEF by WILLIAMS,JU'QUAN",,,,,,,"REBOUND DEF by WILLIAMS,JU'QUAN",2
05:12,"MISS 3PTR by FITZGERALD,PAUL",,,,,,,"MISS 3PTR by FITZGERALD,PAUL",2
--,,,,,"REBOUND DEF by BARBER,JAXSON",,,"REBOUND DEF by BARBER,JAXSON",2
05:03,,57,,79 (+22),"GOOD JUMPER by BARBER,JAXSON(in the paint)",EU 57-79 (-22),,"GOOD JUMPER by BARBER,JAXSON(in the paint)",2
04:50,"MISS JUMPER by WILLIAMS,JU'QUAN(in the paint)",,,,,,,"MISS JUMPER by WILLIAMS,JU'QUAN(in the paint)",2
--,,,,,"REBOUND DEF by SCHNER,MATTHEW",,,"REBOUND DEF by SCHNER,MATTHEW",2
04:40,"FOUL  by FITZGERALD,PAUL",,,,,,,"FOUL  by FITZGERALD,PAUL",2
04:38,,,,,"SUB OUT by BARBER,JAXSON",,,"SUB OUT by BARBER,JAXSON",2
04:38,,,,,"SUB OUT by SCHNER,MATTHEW",,,"SUB OUT by SCHNER,MATTHEW",2
04:38,,,,,"SUB IN by STUCK,NICK",,,"SUB IN by STUCK,NICK",2
04:38,,,,,"SUB IN by MARTENS,CALE",,,"SUB IN by MARTENS,CALE",2
04:38,"SUB OUT by TOULIATOS,LUKE",,,,,,,"SUB OUT by TOULIATOS,LUKE",2
04:38,"SUB IN by JACKSON,MARTISE",,,,,,,"SUB IN by JACKSON,MARTISE",2
04:37,,,,,"MISS FT by WILLIAMS,ROMIN",,,"MISS FT by WILLIAMS,ROMIN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
04:37,,57,,80 (+23),"GOOD FT by WILLIAMS,ROMIN",EU 57-80 (-23),,"GOOD FT by WILLIAMS,ROMIN",2
04:36,"GOOD JUMPER by STEWART,CHRISTIAN(in the paint)",59,,80 (+21),,BSC 59-80 (-21),,"GOOD JUMPER by STEWART,CHRISTIAN(in the paint)",2
04:33,,59,,83 (+24),"GOOD 3PTR by FALLAS,ALBERT",EU 59-83 (-24),,"GOOD 3PTR by FALLAS,ALBERT",2
--,,,,,"ASSIST  by WILLIAMS,ROMIN",,,"ASSIST  by WILLIAMS,ROMIN",2
04:30,,,,,"FOUL  by FRIED,MAX",,,"FOUL  by FRIED,MAX",2
04:30,"GOOD FT by WILLIAMS,JU'QUAN",60,,83 (+23),,BSC 60-83 (-23),,"GOOD FT by WILLIAMS,JU'QUAN",2
04:30,"GOOD FT by WILLIAMS,JU'QUAN",61,,83 (+22),,BSC 61-83 (-22),,"GOOD FT by WILLIAMS,JU'QUAN",2
04:29,,,,,"MISS 3PTR by WILLIAMS,ROMIN",,,"MISS 3PTR by WILLIAMS,ROMIN",2
--,,,,,"REBOUND OFF by FRIED,MAX",,,"REBOUND OFF by FRIED,MAX",2
04:28,,61,,86 (+25),"GOOD 3PTR by FALLAS,ALBERT",EU 61-86 (-25),,"GOOD 3PTR by FALLAS,ALBERT",2
--,,,,,"ASSIST  by STUCK,NICK",,,"ASSIST  by STUCK,NICK",2
04:23,"GOOD LAYUP by STEWART,CHRISTIAN(fastbreak)(in the paint)",63,,86 (+23),,BSC 63-86 (-23),,"GOOD LAYUP by STEWART,CHRISTIAN(fastbreak)(in the paint)",2
04:15,,,,,"TURNOVER  by WILLIAMS,ROMIN",,,"TURNOVER  by WILLIAMS,ROMIN",2
04:09,"MISS JUMPER by GREEN,KALEB",,,,,,,"MISS JUMPER by GREEN,KALEB",2
--,,,,,"REBOUND DEF by FALLAS,ALBERT",,,"REBOUND DEF by FALLAS,ALBERT",2
04:09,"SUB OUT by GLOVER,CAMERON",,,,,,,"SUB OUT by GLOVER,CAMERON",2
04:09,"SUB IN by GREEN,KALEB",,,,,,,"SUB IN by GREEN,KALEB",2
04:06,,,,,"SUB OUT by STUCK,NICK",,,"SUB OUT by STUCK,NICK",2
04:06,,,,,"SUB IN by JOHNSON,MASON",,,"SUB IN by JOHNSON,MASON",2
04:06,"SUB OUT by FITZGERALD,PAUL",,,,,,,"SUB OUT by FITZGERALD,PAUL",2
04:06,"SUB OUT by WILLIAMS,JU'QUAN",,,,,,,"SUB OUT by WILLIAMS,JU'QUAN",2
04:06,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",2
04:06,"SUB IN by KANE,DENMAN",,,,,,,"SUB IN by KANE,DENMAN",2
04:06,"SUB IN by GLOVER,COLIN",,,,,,,"SUB IN by GLOVER,COLIN",2
04:06,"SUB IN by DAVIS,BRODY",,,,,,,"SUB IN by DAVIS,BRODY",2
04:06,,,,,"SUB OUT by WILLIAMS,ROMIN",,,"SUB OUT by WILLIAMS,ROMIN",2
04:06,,,,,"SUB IN by BARBER,JAXSON",,,"SUB IN by BARBER,JAXSON",2
02:54,,63,,88 (+25),"GOOD JUMPER by JOHNSON,MASON",EU 63-88 (-25),,"GOOD JUMPER by JOHNSON,MASON",2
--,,,,,"ASSIST  by FALLAS,ALBERT",,,"ASSIST  by FALLAS,ALBERT",2
02:27,"MISS JUMPER by GLOVER,COLIN",,,,,,,"MISS JUMPER by GLOVER,COLIN",2
--,"REBOUND OFF by DAVIS,BRODY",,,,,,,"REBOUND OFF by DAVIS,BRODY",2
02:17,"GOOD LAYUP by DAVIS,BRODY(in the paint)",65,,88 (+23),,BSC 65-88 (-23),,"GOOD LAYUP by DAVIS,BRODY(in the paint)",2
02:14,,65,,90 (+25),"GOOD LAYUP by JOHNSON,MASON(in the paint)",EU 65-90 (-25),,"GOOD LAYUP by JOHNSON,MASON(in the paint)",2
01:59,"MISS 3PTR by GLOVER,COLIN",,,,,,,"MISS 3PTR by GLOVER,COLIN",2
--,,,,,"REBOUND DEF by JOHNSON,MASON",,,"REBOUND DEF by JOHNSON,MASON",2
01:46,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
01:46,,,,,"SUB OUT by BARBER,JAXSON",,,"SUB OUT by BARBER,JAXSON",2
01:46,,,,,"SUB OUT by FALLAS,ALBERT",,,"SUB OUT by FALLAS,ALBERT",2
01:46,,,,,"SUB OUT by FRIED,MAX",,,"SUB OUT by FRIED,MAX",2
01:46,,,,,"SUB OUT by JOHNSON,MASON",,,"SUB OUT by JOHNSON,MASON",2
01:46,,,,,"SUB OUT by MARTENS,CALE",,,"SUB OUT by MARTENS,CALE",2
01:46,,,,,"SUB IN by HALABY,JJ",,,"SUB IN by HALABY,JJ",2
01:46,,,,,"SUB IN by WHELTON,MATTEO",,,"SUB IN by WHELTON,MATTEO",2
01:46,,,,,"SUB IN by LAWRENCE,GREG",,,"SUB IN by LAWRENCE,GREG",2
01:46,,,,,"SUB IN by PORTIS,LONZIE",,,"SUB IN by PORTIS,LONZIE",2
01:46,,,,,"SUB IN by NNAKE,DUBEM",,,"SUB IN by NNAKE,DUBEM",2
01:29,"FOUL  by DAVIS,BRODY",,,,,,,"FOUL  by DAVIS,BRODY",2
01:27,,,,,"MISS FT by HALABY,JJ",,,"MISS FT by HALABY,JJ",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
01:27,"SUB OUT by KANE,DENMAN",,,,,,,"SUB OUT by KANE,DENMAN",2
01:27,"SUB OUT by JACKSON,MARTISE",,,,,,,"SUB OUT by JACKSON,MARTISE",2
01:27,"SUB OUT by GLOVER,COLIN",,,,,,,"SUB OUT by GLOVER,COLIN",2
01:27,"SUB OUT by GREEN,KALEB",,,,,,,"SUB OUT by GREEN,KALEB",2
01:27,"SUB IN by BARNETT,CHARLIE",,,,,,,"SUB IN by BARNETT,CHARLIE",2
01:27,"SUB IN by DEAN,NOLAN",,,,,,,"SUB IN by DEAN,NOLAN",2
01:27,"SUB IN by DAVIS,RANDALL",,,,,,,"SUB IN by DAVIS,RANDALL",2
01:27,"SUB IN by ANDREWS,TYLER",,,,,,,"SUB IN by ANDREWS,TYLER",2
01:27,,65,,91 (+26),"GOOD FT by HALABY,JJ",EU 65-91 (-26),,"GOOD FT by HALABY,JJ",2
01:14,"GOOD JUMPER by DEAN,NOLAN(in the paint)",67,,91 (+24),,BSC 67-91 (-24),,"GOOD JUMPER by DEAN,NOLAN(in the paint)",2
01:14,,,,,"FOUL  by PORTIS,LONZIE",,,"FOUL  by PORTIS,LONZIE",2
01:14,"MISS FT by DEAN,NOLAN",,,,,,,"MISS FT by DEAN,NOLAN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
01:12,,,,,"MISS LAYUP by NNAKE,DUBEM(in the paint)",,,"MISS LAYUP by NNAKE,DUBEM(in the paint)",2
--,"REBOUND DEF by ANDREWS,TYLER",,,,,,,"REBOUND DEF by ANDREWS,TYLER",2
00:32,"MISS LAYUP by BARNETT,CHARLIE(in the paint)",,,,,,,"MISS LAYUP by BARNETT,CHARLIE(in the paint)",2
--,,,,,"REBOUND DEF by WHELTON,MATTEO",,,"REBOUND DEF by WHELTON,MATTEO",2
