Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,EU,Game Score,Team Indicator,Play,Period
13:21,,,,,"MISS 3PTR by SCHNER,MATTHEW",,,"MISS 3PTR by SCHNER,MATTHEW",1
--,,,,,"REBOUND OFF by JOHNSON,MASON",,,"REBOUND OFF by JOHNSON,MASON",1
13:11,,,,,"MISS 3PTR by WILLIAMS,ROMIN",,,"MISS 3PTR by WILLIAMS,ROMIN",1
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",1
12:52,"TURNOVER  by TOULIATOS,LUKE",,,,,,,"TURNOVER  by TOULIATOS,LUKE",1
12:52,,,,,"STEAL  by SCHNER,MATTHEW",,,"STEAL  by SCHNER,MATTHEW",1
12:44,,,,,"MISS 3PTR by FALLAS,ALBERT",,,"MISS 3PTR by FALLAS,ALBERT",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
12:39,"FOUL  by JACKSON,MARTISE",,,,,,,"FOUL  by JACKSON,MARTISE",1
12:39,,11 (+3),,8,"GOOD 3PTR by SHANAHAN,LOGAN",EU 11-8 (+3),,"GOOD 3PTR by SHANAHAN,LOGAN",1
--,,,,,"ASSIST  by FALLAS,ALBERT",,,"ASSIST  by FALLAS,ALBERT",1
12:39,,,,,"SUB OUT by FRIED,MAX",,,"SUB OUT by FRIED,MAX",1
12:39,,,,,"SUB IN by SHANAHAN,LOGAN",,,"SUB IN by SHANAHAN,LOGAN",1
12:39,"SUB OUT by TOULIATOS,LUKE",,,,,,,"SUB OUT by TOULIATOS,LUKE",1
12:39,"SUB IN by GILLISPIE,JAY",,,,,,,"SUB IN by GILLISPIE,JAY",1
12:36,,,,,"FOUL  by SHANAHAN,LOGAN",,,"FOUL  by SHANAHAN,LOGAN",1
12:18,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",13 (+5),,8,,BSC 13-8 (+5),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
12:10,,13 (+3),,10,"GOOD LAYUP by JOHNSON,MASON(fastbreak)(in the paint)",EU 13-10 (+3),,"GOOD LAYUP by JOHNSON,MASON(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by WILLIAMS,ROMIN",,,"ASSIST  by WILLIAMS,ROMIN",1
11:51,"MISS 3PTR by KANE,DENMAN",,,,,,,"MISS 3PTR by KANE,DENMAN",1
--,,,,,"REBOUND DEF by SHANAHAN,LOGAN",,,"REBOUND DEF by SHANAHAN,LOGAN",1
11:40,,,,,"MISS 3PTR by SHANAHAN,LOGAN",,,"MISS 3PTR by SHANAHAN,LOGAN",1
--,,,,,"REBOUND OFF by SCHNER,MATTHEW",,,"REBOUND OFF by SCHNER,MATTHEW",1
11:18,,13 (+1),,12,"GOOD JUMPER by WILLIAMS,ROMIN(in the paint)",EU 13-12 (+1),,"GOOD JUMPER by WILLIAMS,ROMIN(in the paint)",1
11:01,"MISS JUMPER by GILLISPIE,JAY",,,,,,,"MISS JUMPER by GILLISPIE,JAY",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
10:51,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
10:51,"SUB OUT by JACKSON,MARTISE",,,,,,,"SUB OUT by JACKSON,MARTISE",1
10:51,"SUB IN by STEPHENS,TROY",,,,,,,"SUB IN by STEPHENS,TROY",1
10:39,,13,,14 (+1),"GOOD JUMPER by SCHNER,MATTHEW(in the paint)",EU 13-14 (-1),,"GOOD JUMPER by SCHNER,MATTHEW(in the paint)",1
--,,,,,"ASSIST  by WILLIAMS,ROMIN",,,"ASSIST  by WILLIAMS,ROMIN",1
10:22,"GOOD 3PTR by KANE,DENMAN",16 (+2),,14,,BSC 16-14 (+2),,"GOOD 3PTR by KANE,DENMAN",1
--,"ASSIST  by STEPHENS,TROY",,,,,,,"ASSIST  by STEPHENS,TROY",1
10:08,,,,,"MISS JUMPER by JOHNSON,MASON",,,"MISS JUMPER by JOHNSON,MASON",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
10:00,,,,,"SUB OUT by FALLAS,ALBERT",,,"SUB OUT by FALLAS,ALBERT",1
10:00,,,,,"SUB OUT by JOHNSON,MASON",,,"SUB OUT by JOHNSON,MASON",1
10:00,,,,,"SUB IN by STUCK,NICK",,,"SUB IN by STUCK,NICK",1
10:00,,,,,"SUB IN by MARTENS,CALE",,,"SUB IN by MARTENS,CALE",1
10:00,"SUB OUT by GARRIDO,BRANDAN",,,,,,,"SUB OUT by GARRIDO,BRANDAN",1
10:00,"SUB IN by GLOVER,CAMERON",,,,,,,"SUB IN by GLOVER,CAMERON",1
10:00,,16,,16,"GOOD LAYUP by MARTENS,CALE(in the paint)",EU 16-16 (0),,"GOOD LAYUP by MARTENS,CALE(in the paint)",1
--,,,,,"ASSIST  by STUCK,NICK",,,"ASSIST  by STUCK,NICK",1
09:47,"MISS LAYUP by STEWART,CHRISTIAN(in the paint)",,,,,,,"MISS LAYUP by STEWART,CHRISTIAN(in the paint)",1
--,"REBOUND OFF by GILLISPIE,JAY",,,,,,,"REBOUND OFF by GILLISPIE,JAY",1
09:40,,,,,"FOUL  by SHANAHAN,LOGAN",,,"FOUL  by SHANAHAN,LOGAN",1
09:40,"GOOD FT by GILLISPIE,JAY",17 (+1),,16,,BSC 17-16 (+1),,"GOOD FT by GILLISPIE,JAY",1
09:40,,,,,"SUB OUT by SHANAHAN,LOGAN",,,"SUB OUT by SHANAHAN,LOGAN",1
09:40,,,,,"SUB IN by BARBER,JAXSON",,,"SUB IN by BARBER,JAXSON",1
09:40,"GOOD FT by GILLISPIE,JAY",18 (+2),,16,,BSC 18-16 (+2),,"GOOD FT by GILLISPIE,JAY",1
09:13,,,,,"MISS JUMPER by STUCK,NICK(in the paint)",,,"MISS JUMPER by STUCK,NICK(in the paint)",1
--,,,,,"REBOUND OFF by STUCK,NICK",,,"REBOUND OFF by STUCK,NICK",1
09:06,,18,,18,"GOOD LAYUP by STUCK,NICK(in the paint)",EU 18-18 (0),,"GOOD LAYUP by STUCK,NICK(in the paint)",1
08:50,"MISS JUMPER by STEWART,CHRISTIAN(in the paint)",,,,,,,"MISS JUMPER by STEWART,CHRISTIAN(in the paint)",1
--,,,,,"REBOUND DEF by BARBER,JAXSON",,,"REBOUND DEF by BARBER,JAXSON",1
08:41,,,,,"MISS 3PTR by BARBER,JAXSON",,,"MISS 3PTR by BARBER,JAXSON",1
--,,,,,"REBOUND OFF by WILLIAMS,ROMIN",,,"REBOUND OFF by WILLIAMS,ROMIN",1
08:31,,,,,"TURNOVER  by SCHNER,MATTHEW",,,"TURNOVER  by SCHNER,MATTHEW",1
08:26,"SUB OUT by KANE,DENMAN",,,,,,,"SUB OUT by KANE,DENMAN",1
08:26,"SUB OUT by GILLISPIE,JAY",,,,,,,"SUB OUT by GILLISPIE,JAY",1
08:26,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",1
08:26,"SUB IN by WILLIAMS,JU'QUAN",,,,,,,"SUB IN by WILLIAMS,JU'QUAN",1
08:26,"SUB IN by TOULIATOS,LUKE",,,,,,,"SUB IN by TOULIATOS,LUKE",1
08:26,"SUB IN by DAVIS,BRODY",,,,,,,"SUB IN by DAVIS,BRODY",1
08:23,"MISS 3PTR by GLOVER,CAMERON",,,,,,,"MISS 3PTR by GLOVER,CAMERON",1
--,,,,,"REBOUND DEF by BARBER,JAXSON",,,"REBOUND DEF by BARBER,JAXSON",1
08:15,,18,,21 (+3),"GOOD 3PTR by MARTENS,CALE(fastbreak)",EU 18-21 (-3),,"GOOD 3PTR by MARTENS,CALE(fastbreak)",1
--,,,,,"ASSIST  by STUCK,NICK",,,"ASSIST  by STUCK,NICK",1
08:14,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
08:10,,,,,"SUB OUT by WILLIAMS,ROMIN",,,"SUB OUT by WILLIAMS,ROMIN",1
08:10,,,,,"SUB IN by FALLAS,ALBERT",,,"SUB IN by FALLAS,ALBERT",1
08:00,"MISS LAYUP by TOULIATOS,LUKE(in the paint)",,,,,,,"MISS LAYUP by TOULIATOS,LUKE(in the paint)",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
07:51,,18,,23 (+5),"GOOD JUMPER by STUCK,NICK(in the paint)",EU 18-23 (-5),,"GOOD JUMPER by STUCK,NICK(in the paint)",1
07:46,"FOUL  by WILLIAMS,JU'QUAN",,,,,,,"FOUL  by WILLIAMS,JU'QUAN",1
