Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,Lips,Game Score,Team Indicator,Play,Period
15:56,,6,,10 (+4),"GOOD 3PTR by JOHNSON,KJ",Lips 6-10 (-4),,"GOOD 3PTR by JOHNSON,KJ",1
--,,,,,"ASSIST  by PRUITT,WILL",,,"ASSIST  by PRUITT,WILL",1
15:45,"MISS 3PTR by TOULIATOS,LUKE",,,,,,,"MISS 3PTR by TOULIATOS,LUKE",1
--,"REBOUND OFF by TOULIATOS,LUKE",,,,,,,"REBOUND OFF by TOULIATOS,LUKE",1
15:38,"MISS JUMPER by STEPHENS,TROY(in the paint)",,,,,,,"MISS JUMPER by STEPHENS,TROY(in the paint)",1
--,,,,,"REBOUND DEF by PRUITT,WILL",,,"REBOUND DEF by PRUITT,WILL",1
15:32,,6,,13 (+7),"GOOD 3PTR by JOHNSON,KJ(fastbreak)",Lips 6-13 (-7),,"GOOD 3PTR by JOHNSON,KJ(fastbreak)",1
--,,,,,"ASSIST  by PRUITT,WILL",,,"ASSIST  by PRUITT,WILL",1
15:29,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
15:29,,,,,"SUB OUT by PRUITT,WILL",,,"SUB OUT by PRUITT,WILL",1
15:29,,,,,"SUB OUT by HAZEN,PARKER",,,"SUB OUT by HAZEN,PARKER",1
15:29,,,,,"SUB IN by MURR,TOMMY",,,"SUB IN by MURR,TOMMY",1
15:29,,,,,"SUB IN by ASADULLAH,AHSAN",,,"SUB IN by ASADULLAH,AHSAN",1
15:14,"TURNOVER  by GARRIDO,BRANDAN",,,,,,,"TURNOVER  by GARRIDO,BRANDAN",1
15:14,,,,,"STEAL  by JOHNSON,KJ",,,"STEAL  by JOHNSON,KJ",1
15:08,,,,,"MISS 3PTR by JONES,GREG",,,"MISS 3PTR by JONES,GREG",1
--,"REBOUND DEF by STEPHENS,TROY",,,,,,,"REBOUND DEF by STEPHENS,TROY",1
14:58,"TURNOVER  by GARRIDO,BRANDAN",,,,,,,"TURNOVER  by GARRIDO,BRANDAN",1
14:41,,,,,"MISS 3PTR by JOHNSON,KJ",,,"MISS 3PTR by JOHNSON,KJ",1
--,,,,,"REBOUND OFF by OGNACEVIC,JACOB",,,"REBOUND OFF by OGNACEVIC,JACOB",1
14:38,"FOUL  by STEPHENS,TROY",,,,,,,"FOUL  by STEPHENS,TROY",1
14:38,,6,,14 (+8),"GOOD FT by OGNACEVIC,JACOB",Lips 6-14 (-8),,"GOOD FT by OGNACEVIC,JACOB",1
14:38,,,,,"SUB OUT by JONES,GREG",,,"SUB OUT by JONES,GREG",1
14:38,,,,,"SUB IN by CLARK,QUINCY",,,"SUB IN by CLARK,QUINCY",1
14:38,,6,,15 (+9),"GOOD FT by OGNACEVIC,JACOB",Lips 6-15 (-9),,"GOOD FT by OGNACEVIC,JACOB",1
14:23,"GOOD 3PTR by TOULIATOS,LUKE",9,,15 (+6),,BSC 9-15 (-6),,"GOOD 3PTR by TOULIATOS,LUKE",1
--,"ASSIST  by GARRIDO,BRANDAN",,,,,,,"ASSIST  by GARRIDO,BRANDAN",1
14:08,"FOUL  by KANE,DENMAN",,,,,,,"FOUL  by KANE,DENMAN",1
14:08,"SUB OUT by STEPHENS,TROY",,,,,,,"SUB OUT by STEPHENS,TROY",1
14:08,"SUB IN by JACKSON,MARTISE",,,,,,,"SUB IN by JACKSON,MARTISE",1
14:00,,9,,17 (+8),"GOOD JUMPER by MURR,TOMMY(in the paint)",Lips 9-17 (-8),,"GOOD JUMPER by MURR,TOMMY(in the paint)",1
13:35,"GOOD JUMPER by TOULIATOS,LUKE",11,,17 (+6),,BSC 11-17 (-6),,"GOOD JUMPER by TOULIATOS,LUKE",1
13:24,,,,,"MISS LAYUP by ASADULLAH,AHSAN(in the paint)",,,"MISS LAYUP by ASADULLAH,AHSAN(in the paint)",1
--,"REBOUND DEF by JACKSON,MARTISE",,,,,,,"REBOUND DEF by JACKSON,MARTISE",1
13:18,,,,,"FOUL  by CLARK,QUINCY",,,"FOUL  by CLARK,QUINCY",1
13:18,"GOOD FT by JACKSON,MARTISE(fastbreak)",12,,17 (+5),,BSC 12-17 (-5),,"GOOD FT by JACKSON,MARTISE(fastbreak)",1
13:18,,,,,"SUB OUT by JOHNSON,KJ",,,"SUB OUT by JOHNSON,KJ",1
13:18,,,,,"SUB IN by SHULMAN,TANNER",,,"SUB IN by SHULMAN,TANNER",1
13:18,"SUB OUT by KANE,DENMAN",,,,,,,"SUB OUT by KANE,DENMAN",1
13:18,"SUB OUT by GARRIDO,BRANDAN",,,,,,,"SUB OUT by GARRIDO,BRANDAN",1
13:18,"SUB OUT by TOULIATOS,LUKE",,,,,,,"SUB OUT by TOULIATOS,LUKE",1
13:18,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",1
13:18,"SUB IN by WILLIAMS,JU'QUAN",,,,,,,"SUB IN by WILLIAMS,JU'QUAN",1
13:18,"SUB IN by GLOVER,COLIN",,,,,,,"SUB IN by GLOVER,COLIN",1
13:18,"SUB IN by SPENCE,SAM",,,,,,,"SUB IN by SPENCE,SAM",1
13:18,"SUB IN by DAVIS,BRODY",,,,,,,"SUB IN by DAVIS,BRODY",1
13:18,"GOOD FT by JACKSON,MARTISE(fastbreak)",13,,17 (+4),,BSC 13-17 (-4),,"GOOD FT by JACKSON,MARTISE(fastbreak)",1
13:17,"FOUL  by JACKSON,MARTISE",,,,,,,"FOUL  by JACKSON,MARTISE",1
13:04,,13,,19 (+6),"GOOD JUMPER by MURR,TOMMY(in the paint)",Lips 13-19 (-6),,"GOOD JUMPER by MURR,TOMMY(in the paint)",1
12:48,"TURNOVER  by JACKSON,MARTISE",,,,,,,"TURNOVER  by JACKSON,MARTISE",1
12:40,,13,,21 (+8),"GOOD DUNK by OGNACEVIC,JACOB(fastbreak)(in the paint)",Lips 13-21 (-8),,"GOOD DUNK by OGNACEVIC,JACOB(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by SHULMAN,TANNER",,,"ASSIST  by SHULMAN,TANNER",1
12:27,"GOOD JUMPER by DAVIS,BRODY(in the paint)",15,,21 (+6),,BSC 15-21 (-6),,"GOOD JUMPER by DAVIS,BRODY(in the paint)",1
--,"ASSIST  by WILLIAMS,JU'QUAN",,,,,,,"ASSIST  by WILLIAMS,JU'QUAN",1
12:17,,,,,"MISS 3PTR by SHULMAN,TANNER",,,"MISS 3PTR by SHULMAN,TANNER",1
--,"REBOUND DEF by SPENCE,SAM",,,,,,,"REBOUND DEF by SPENCE,SAM",1
12:10,"GOOD 3PTR by WILLIAMS,JU'QUAN(fastbreak)",18,,21 (+3),,BSC 18-21 (-3),,"GOOD 3PTR by WILLIAMS,JU'QUAN(fastbreak)",1
--,"ASSIST  by JACKSON,MARTISE",,,,,,,"ASSIST  by JACKSON,MARTISE",1
11:53,,,,,"MISS 3PTR by ASADULLAH,AHSAN",,,"MISS 3PTR by ASADULLAH,AHSAN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
11:49,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:49,,,,,"SUB OUT by OGNACEVIC,JACOB",,,"SUB OUT by OGNACEVIC,JACOB",1
11:49,,,,,"SUB IN by HAZEN,PARKER",,,"SUB IN by HAZEN,PARKER",1
11:39,"MISS 3PTR by WILLIAMS,JU'QUAN",,,,,,,"MISS 3PTR by WILLIAMS,JU'QUAN",1
--,,,,,"REBOUND DEF by ASADULLAH,AHSAN",,,"REBOUND DEF by ASADULLAH,AHSAN",1
11:31,"FOUL  by SPENCE,SAM",,,,,,,"FOUL  by SPENCE,SAM",1
11:31,,18,,22 (+4),"GOOD FT by CLARK,QUINCY(fastbreak)",Lips 18-22 (-4),,"GOOD FT by CLARK,QUINCY(fastbreak)",1
11:31,,,,,"SUB OUT by MURR,TOMMY",,,"SUB OUT by MURR,TOMMY",1
11:31,,,,,"SUB IN by JOHNSON,KJ",,,"SUB IN by JOHNSON,KJ",1
11:31,,,,,"MISS FT by CLARK,QUINCY(fastbreak)",,,"MISS FT by CLARK,QUINCY(fastbreak)",1
--,"REBOUND DEF by SPENCE,SAM",,,,,,,"REBOUND DEF by SPENCE,SAM",1
11:30,,,,,"FOUL  by HAZEN,PARKER",,,"FOUL  by HAZEN,PARKER",1
11:27,,,,,"FOUL  by HAZEN,PARKER",,,"FOUL  by HAZEN,PARKER",1
11:19,"GOOD JUMPER by GLOVER,COLIN",20,,22 (+2),,BSC 20-22 (-2),,"GOOD JUMPER by GLOVER,COLIN",1
11:09,"FOUL  by GLOVER,COLIN",,,,,,,"FOUL  by GLOVER,COLIN",1
11:06,"SUB OUT by WILLIAMS,JU'QUAN",,,,,,,"SUB OUT by WILLIAMS,JU'QUAN",1
11:06,"SUB OUT by JACKSON,MARTISE",,,,,,,"SUB OUT by JACKSON,MARTISE",1
11:06,"SUB OUT by GLOVER,COLIN",,,,,,,"SUB OUT by GLOVER,COLIN",1
11:06,"SUB OUT by SPENCE,SAM",,,,,,,"SUB OUT by SPENCE,SAM",1
11:06,"SUB OUT by DAVIS,BRODY",,,,,,,"SUB OUT by DAVIS,BRODY",1
11:06,"SUB IN by FITZGERALD,PAUL",,,,,,,"SUB IN by FITZGERALD,PAUL",1
11:06,"SUB IN by GLOVER,CAMERON",,,,,,,"SUB IN by GLOVER,CAMERON",1
11:06,"SUB IN by GILLISPIE,JAY",,,,,,,"SUB IN by GILLISPIE,JAY",1
11:06,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",1
11:06,"SUB IN by SIGLER,EVAN",,,,,,,"SUB IN by SIGLER,EVAN",1
10:53,,20,,24 (+4),"GOOD LAYUP by SHULMAN,TANNER(in the paint)",Lips 20-24 (-4),,"GOOD LAYUP by SHULMAN,TANNER(in the paint)",1
10:40,"MISS LAYUP by STEWART,CHRISTIAN(in the paint)",,,,,,,"MISS LAYUP by STEWART,CHRISTIAN(in the paint)",1
--,,,,,"REBOUND DEF by ASADULLAH,AHSAN",,,"REBOUND DEF by ASADULLAH,AHSAN",1
10:33,"FOUL  by FITZGERALD,PAUL",,,,,,,"FOUL  by FITZGERALD,PAUL",1
10:33,,20,,25 (+5),"GOOD FT by CLARK,QUINCY(fastbreak)",Lips 20-25 (-5),,"GOOD FT by CLARK,QUINCY(fastbreak)",1
10:33,,,,,"SUB OUT by HAZEN,PARKER",,,"SUB OUT by HAZEN,PARKER",1
10:33,,,,,"SUB IN by OGNACEVIC,JACOB",,,"SUB IN by OGNACEVIC,JACOB",1
10:33,,20,,26 (+6),"GOOD FT by CLARK,QUINCY(fastbreak)",Lips 20-26 (-6),,"GOOD FT by CLARK,QUINCY(fastbreak)",1
10:33,,,,,"SUB OUT by CLARK,QUINCY",,,"SUB OUT by CLARK,QUINCY",1
10:33,,,,,"SUB IN by PRUITT,WILL",,,"SUB IN by PRUITT,WILL",1
10:07,"MISS LAYUP by STEWART,CHRISTIAN(in the paint)",,,,,,,"MISS LAYUP by STEWART,CHRISTIAN(in the paint)",1
10:07,,,,,"BLOCK  by ASADULLAH,AHSAN",,,"BLOCK  by ASADULLAH,AHSAN",1
--,,,,,"REBOUND DEF by ASADULLAH,AHSAN",,,"REBOUND DEF by ASADULLAH,AHSAN",1
10:01,,,,,"MISS LAYUP by JOHNSON,KJ(in the paint)",,,"MISS LAYUP by JOHNSON,KJ(in the paint)",1
--,"REBOUND DEF by FITZGERALD,PAUL",,,,,,,"REBOUND DEF by FITZGERALD,PAUL",1
09:55,"MISS 3PTR by GLOVER,CAMERON",,,,,,,"MISS 3PTR by GLOVER,CAMERON",1
--,"REBOUND OFF by GILLISPIE,JAY",,,,,,,"REBOUND OFF by GILLISPIE,JAY",1
09:50,"MISS 3PTR by SIGLER,EVAN",,,,,,,"MISS 3PTR by SIGLER,EVAN",1
--,"REBOUND OFF by STEWART,CHRISTIAN",,,,,,,"REBOUND OFF by STEWART,CHRISTIAN",1
09:43,"GOOD DUNK by STEWART,CHRISTIAN(in the paint)",22,,26 (+4),,BSC 22-26 (-4),,"GOOD DUNK by STEWART,CHRISTIAN(in the paint)",1
09:28,,22,,28 (+6),"GOOD LAYUP by JOHNSON,KJ(in the paint)",Lips 22-28 (-6),,"GOOD LAYUP by JOHNSON,KJ(in the paint)",1
09:09,"GOOD JUMPER by GILLISPIE,JAY(in the paint)",24,,28 (+4),,BSC 24-28 (-4),,"GOOD JUMPER by GILLISPIE,JAY(in the paint)",1
08:52,,,,,"MISS 3PTR by SHULMAN,TANNER",,,"MISS 3PTR by SHULMAN,TANNER",1
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",1
08:29,"GOOD JUMPER by STEWART,CHRISTIAN(in the paint)",26,,28 (+2),,BSC 26-28 (-2),,"GOOD JUMPER by STEWART,CHRISTIAN(in the paint)",1
08:13,,26,,30 (+4),"GOOD LAYUP by ASADULLAH,AHSAN(in the paint)",Lips 26-30 (-4),,"GOOD LAYUP by ASADULLAH,AHSAN(in the paint)",1
08:00,"TURNOVER  by FITZGERALD,PAUL",,,,,,,"TURNOVER  by FITZGERALD,PAUL",1
08:00,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
08:00,,,,,"SUB OUT by SHULMAN,TANNER",,,"SUB OUT by SHULMAN,TANNER",1
08:00,,,,,"SUB OUT by ASADULLAH,AHSAN",,,"SUB OUT by ASADULLAH,AHSAN",1
08:00,,,,,"SUB IN by JONES,GREG",,,"SUB IN by JONES,GREG",1
08:00,,,,,"SUB IN by BENHAM,TRAE",,,"SUB IN by BENHAM,TRAE",1
08:00,"SUB OUT by FITZGERALD,PAUL",,,,,,,"SUB OUT by FITZGERALD,PAUL",1
08:00,"SUB OUT by GLOVER,CAMERON",,,,,,,"SUB OUT by GLOVER,CAMERON",1
08:00,"SUB OUT by GILLISPIE,JAY",,,,,,,"SUB OUT by GILLISPIE,JAY",1
08:00,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",1
08:00,"SUB OUT by SIGLER,EVAN",,,,,,,"SUB OUT by SIGLER,EVAN",1
08:00,"SUB IN by KANE,DENMAN",,,,,,,"SUB IN by KANE,DENMAN",1
08:00,"SUB IN by GARRIDO,BRANDAN",,,,,,,"SUB IN by GARRIDO,BRANDAN",1
08:00,"SUB IN by STEPHENS,TROY",,,,,,,"SUB IN by STEPHENS,TROY",1
08:00,"SUB IN by TOULIATOS,LUKE",,,,,,,"SUB IN by TOULIATOS,LUKE",1
08:00,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",1
07:48,,,,,"MISS 3PTR by PRUITT,WILL",,,"MISS 3PTR by PRUITT,WILL",1
--,,,,,"REBOUND OFF by BENHAM,TRAE",,,"REBOUND OFF by BENHAM,TRAE",1
07:37,,,,,"MISS JUMPER by OGNACEVIC,JACOB",,,"MISS JUMPER by OGNACEVIC,JACOB",1
--,"REBOUND DEF by STEPHENS,TROY",,,,,,,"REBOUND DEF by STEPHENS,TROY",1
07:29,"MISS 3PTR by TOULIATOS,LUKE",,,,,,,"MISS 3PTR by TOULIATOS,LUKE",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
07:22,"MISS 3PTR by KANE,DENMAN",,,,,,,"MISS 3PTR by KANE,DENMAN",1
--,,,,,"REBOUND DEF by JONES,GREG",,,"REBOUND DEF by JONES,GREG",1
07:12,"FOUL  by GARRIDO,BRANDAN",,,,,,,"FOUL  by GARRIDO,BRANDAN",1
07:12,,,,,"MISS FT by JOHNSON,KJ",,,"MISS FT by JOHNSON,KJ",1
--,,,,,"REBOUND OFF by OGNACEVIC,JACOB",,,"REBOUND OFF by OGNACEVIC,JACOB",1
07:12,"FOUL  by CHILDERS,JOSH",,,,,,,"FOUL  by CHILDERS,JOSH",1
07:11,,26,,31 (+5),"GOOD FT by OGNACEVIC,JACOB",Lips 26-31 (-5),,"GOOD FT by OGNACEVIC,JACOB",1
07:11,,26,,32 (+6),"GOOD FT by OGNACEVIC,JACOB",Lips 26-32 (-6),,"GOOD FT by OGNACEVIC,JACOB",1
06:58,"MISS LAYUP by GARRIDO,BRANDAN(in the paint)",,,,,,,"MISS LAYUP by GARRIDO,BRANDAN(in the paint)",1
--,,,,,"REBOUND DEF by BENHAM,TRAE",,,"REBOUND DEF by BENHAM,TRAE",1
06:46,,26,,34 (+8),"GOOD JUMPER by JOHNSON,KJ(in the paint)",Lips 26-34 (-8),,"GOOD JUMPER by JOHNSON,KJ(in the paint)",1
06:37,"MISS 3PTR by STEPHENS,TROY",,,,,,,"MISS 3PTR by STEPHENS,TROY",1
--,,,,,"REBOUND DEF by JOHNSON,KJ",,,"REBOUND DEF by JOHNSON,KJ",1
06:29,,26,,36 (+10),"GOOD LAYUP by PRUITT,WILL(fastbreak)(in the paint)",Lips 26-36 (-10),,"GOOD LAYUP by PRUITT,WILL(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by JOHNSON,KJ",,,"ASSIST  by JOHNSON,KJ",1
06:18,"GOOD JUMPER by TOULIATOS,LUKE(in the paint)",28,,36 (+8),,BSC 28-36 (-8),,"GOOD JUMPER by TOULIATOS,LUKE(in the paint)",1
06:02,"FOUL  by CHILDERS,JOSH",,,,,,,"FOUL  by CHILDERS,JOSH",1
06:02,,,,,"MISS FT by OGNACEVIC,JACOB",,,"MISS FT by OGNACEVIC,JACOB",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:02,,,,,"SUB OUT by BENHAM,TRAE",,,"SUB OUT by BENHAM,TRAE",1
06:02,,,,,"SUB IN by ASADULLAH,AHSAN",,,"SUB IN by ASADULLAH,AHSAN",1
06:02,"SUB OUT by KANE,DENMAN",,,,,,,"SUB OUT by KANE,DENMAN",1
06:02,"SUB OUT by GARRIDO,BRANDAN",,,,,,,"SUB OUT by GARRIDO,BRANDAN",1
06:02,"SUB OUT by STEPHENS,TROY",,,,,,,"SUB OUT by STEPHENS,TROY",1
06:02,"SUB OUT by TOULIATOS,LUKE",,,,,,,"SUB OUT by TOULIATOS,LUKE",1
06:02,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",1
06:02,"SUB IN by WILLIAMS,JU'QUAN",,,,,,,"SUB IN by WILLIAMS,JU'QUAN",1
06:02,"SUB IN by GLOVER,CAMERON",,,,,,,"SUB IN by GLOVER,CAMERON",1
06:02,"SUB IN by JACKSON,MARTISE",,,,,,,"SUB IN by JACKSON,MARTISE",1
06:02,"SUB IN by GILLISPIE,JAY",,,,,,,"SUB IN by GILLISPIE,JAY",1
06:02,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",1
06:02,,28,,37 (+9),"GOOD FT by OGNACEVIC,JACOB",Lips 28-37 (-9),,"GOOD FT by OGNACEVIC,JACOB",1
05:45,,,,,"FOUL  by JOHNSON,KJ",,,"FOUL  by JOHNSON,KJ",1
05:45,"GOOD FT by WILLIAMS,JU'QUAN",29,,37 (+8),,BSC 29-37 (-8),,"GOOD FT by WILLIAMS,JU'QUAN",1
05:45,"GOOD FT by WILLIAMS,JU'QUAN",30,,37 (+7),,BSC 30-37 (-7),,"GOOD FT by WILLIAMS,JU'QUAN",1
05:45,,,,,"SUB OUT by OGNACEVIC,JACOB",,,"SUB OUT by OGNACEVIC,JACOB",1
05:45,,,,,"SUB IN by MURR,TOMMY",,,"SUB IN by MURR,TOMMY",1
05:45,"MISS FT by WILLIAMS,JU'QUAN",,,,,,,"MISS FT by WILLIAMS,JU'QUAN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
05:30,,,,,"MISS LAYUP by MURR,TOMMY(in the paint)",,,"MISS LAYUP by MURR,TOMMY(in the paint)",1
05:30,"BLOCK  by STEWART,CHRISTIAN",,,,,,,"BLOCK  by STEWART,CHRISTIAN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
05:24,,,,,"MISS JUMPER by ASADULLAH,AHSAN(in the paint)",,,"MISS JUMPER by ASADULLAH,AHSAN(in the paint)",1
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",1
05:20,"TURNOVER  by STEWART,CHRISTIAN",,,,,,,"TURNOVER  by STEWART,CHRISTIAN",1
05:20,,,,,"STEAL  by PRUITT,WILL",,,"STEAL  by PRUITT,WILL",1
05:20,,30,,39 (+9),"GOOD LAYUP by PRUITT,WILL(fastbreak)(in the paint)",Lips 30-39 (-9),,"GOOD LAYUP by PRUITT,WILL(fastbreak)(in the paint)",1
04:56,"GOOD 3PTR by JACKSON,MARTISE",33,,39 (+6),,BSC 33-39 (-6),,"GOOD 3PTR by JACKSON,MARTISE",1
--,"ASSIST  by STEWART,CHRISTIAN",,,,,,,"ASSIST  by STEWART,CHRISTIAN",1
04:55,"FOUL  by JACKSON,MARTISE",,,,,,,"FOUL  by JACKSON,MARTISE",1
04:55,,33,,40 (+7),"GOOD FT by PRUITT,WILL(fastbreak)",Lips 33-40 (-7),,"GOOD FT by PRUITT,WILL(fastbreak)",1
04:55,,33,,41 (+8),"GOOD FT by PRUITT,WILL(fastbreak)",Lips 33-41 (-8),,"GOOD FT by PRUITT,WILL(fastbreak)",1
04:50,,,,,"FOUL  by JONES,GREG",,,"FOUL  by JONES,GREG",1
04:44,"MISS JUMPER by GLOVER,CAMERON(in the paint)",,,,,,,"MISS JUMPER by GLOVER,CAMERON(in the paint)",1
--,"REBOUND OFF by JACKSON,MARTISE",,,,,,,"REBOUND OFF by JACKSON,MARTISE",1
04:35,"GOOD LAYUP by JACKSON,MARTISE(in the paint)",35,,41 (+6),,BSC 35-41 (-6),,"GOOD LAYUP by JACKSON,MARTISE(in the paint)",1
04:32,,,,,"TURNOVER  by JOHNSON,KJ",,,"TURNOVER  by JOHNSON,KJ",1
04:13,,,,,"FOUL  by ASADULLAH,AHSAN",,,"FOUL  by ASADULLAH,AHSAN",1
04:13,"GOOD FT by STEWART,CHRISTIAN",36,,41 (+5),,BSC 36-41 (-5),,"GOOD FT by STEWART,CHRISTIAN",1
04:13,"MISS FT by STEWART,CHRISTIAN",,,,,,,"MISS FT by STEWART,CHRISTIAN",1
--,,,,,"REBOUND DEF by ASADULLAH,AHSAN",,,"REBOUND DEF by ASADULLAH,AHSAN",1
04:02,,,,,"MISS LAYUP by PRUITT,WILL(in the paint)",,,"MISS LAYUP by PRUITT,WILL(in the paint)",1
04:02,"BLOCK  by STEWART,CHRISTIAN",,,,,,,"BLOCK  by STEWART,CHRISTIAN",1
--,"REBOUND DEF by GILLISPIE,JAY",,,,,,,"REBOUND DEF by GILLISPIE,JAY",1
03:55,"GOOD LAYUP by GILLISPIE,JAY(fastbreak)(in the paint)",38,,41 (+3),,BSC 38-41 (-3),,"GOOD LAYUP by GILLISPIE,JAY(fastbreak)(in the paint)",1
