Time Remaining,BIRMINGH,Away Team Score,Play Team Indicator,Home Team Score,TREVECCA,Game Score,Team Indicator,Play,Period
17:07,"GOOD 3PTR by GLOVER,CAMERON",14 (+12),,2,,BIRMINGH 14-2 (+12),,"GOOD 3PTR by GLOVER,CAMERON",1
--,"ASSIST  by FITZGERALD,PAUL",,,,,,,"ASSIST  by FITZGERALD,PAUL",1
16:56,,14 (+10),,4,"GOOD JUMPER by WILLIAMS,MIGUEL(in the paint)",TREVECCA 14-4 (+10),,"GOOD JUMPER by WILLIAMS,MIGUEL(in the paint)",1
16:41,"FOUL  by GILLISPIE,JAY",,,,,,,"FOUL  by GILLISPIE,JAY",1
16:41,"TURNOVER  by GILLISPIE,JAY",,,,,,,"TURNOVER  by GILLISPIE,JAY",1
16:27,,14 (+8),,6,"GOOD JUMPER by WILLIAMS,MIGUEL(in the paint)",TREVECCA 14-6 (+8),,"GOOD JUMPER by WILLIAMS,MIGUEL(in the paint)",1
16:14,"TURNOVER  by STEWART,CHRISTIAN",,,,,,,"TURNOVER  by STEWART,CHRISTIAN",1
16:04,,,,,"MISS 3PTR by WILLIAMS,MIGUEL",,,"MISS 3PTR by WILLIAMS,MIGUEL",1
--,"REBOUND DEF by SIGLER,EVAN",,,,,,,"REBOUND DEF by SIGLER,EVAN",1
15:59,"MISS 3PTR by GILLISPIE,JAY",,,,,,,"MISS 3PTR by GILLISPIE,JAY",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
15:55,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
15:55,"SUB IN by KANE,DENMAN",,,,,,,"SUB IN by KANE,DENMAN",1
15:55,"SUB IN by JACKSON,MARTISE",,,,,,,"SUB IN by JACKSON,MARTISE",1
15:55,"SUB IN by STEPHENS,TROY",,,,,,,"SUB IN by STEPHENS,TROY",1
15:55,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",1
15:55,"SUB IN by TOULIATOS,LUKE",,,,,,,"SUB IN by TOULIATOS,LUKE",1
15:55,"SUB OUT by SIGLER,EVAN",,,,,,,"SUB OUT by SIGLER,EVAN",1
15:55,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",1
15:55,"SUB OUT by GILLISPIE,JAY",,,,,,,"SUB OUT by GILLISPIE,JAY",1
15:55,"SUB OUT by GLOVER,CAMERON",,,,,,,"SUB OUT by GLOVER,CAMERON",1
15:55,"SUB OUT by FITZGERALD,PAUL",,,,,,,"SUB OUT by FITZGERALD,PAUL",1
15:55,,,,,"SUB IN by ROGERS,CHRIS",,,"SUB IN by ROGERS,CHRIS",1
15:55,,,,,"SUB IN by TERRY,CALEB",,,"SUB IN by TERRY,CALEB",1
15:55,,,,,"SUB OUT by NEWTON,BRENDAN",,,"SUB OUT by NEWTON,BRENDAN",1
15:55,,,,,"SUB OUT by THARPE,JAYLON",,,"SUB OUT by THARPE,JAYLON",1
15:42,,14 (+6),,8,"GOOD LAYUP by PRICE,JOSH(in the paint)",TREVECCA 14-8 (+6),,"GOOD LAYUP by PRICE,JOSH(in the paint)",1
15:11,"MISS JUMPER by CHILDERS,JOSH",,,,,,,"MISS JUMPER by CHILDERS,JOSH",1
15:11,,,,,"BLOCK  by TERRY,CALEB",,,"BLOCK  by TERRY,CALEB",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
14:55,,14 (+3),,11,"GOOD 3PTR by PRICE,JOSH",TREVECCA 14-11 (+3),,"GOOD 3PTR by PRICE,JOSH",1
--,,,,,"ASSIST  by TERRY,CALEB",,,"ASSIST  by TERRY,CALEB",1
14:36,"MISS 3PTR by KANE,DENMAN",,,,,,,"MISS 3PTR by KANE,DENMAN",1
--,,,,,"REBOUND DEF by TERRY,CALEB",,,"REBOUND DEF by TERRY,CALEB",1
14:26,,,,,"MISS 3PTR by ROGERS,CHRIS",,,"MISS 3PTR by ROGERS,CHRIS",1
--,"REBOUND DEF by STEPHENS,TROY",,,,,,,"REBOUND DEF by STEPHENS,TROY",1
14:10,"TURNOVER  by TOULIATOS,LUKE",,,,,,,"TURNOVER  by TOULIATOS,LUKE",1
14:10,,,,,"SUB IN by THARPE,JAYLON",,,"SUB IN by THARPE,JAYLON",1
14:10,,,,,"SUB OUT by PENHA,CJ",,,"SUB OUT by PENHA,CJ",1
14:02,"FOUL  by KANE,DENMAN",,,,,,,"FOUL  by KANE,DENMAN",1
14:02,,,,,"MISS FT by WILLIAMS,MIGUEL",,,"MISS FT by WILLIAMS,MIGUEL",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
14:02,,14 (+2),,12,"GOOD FT by WILLIAMS,MIGUEL",TREVECCA 14-12 (+2),,"GOOD FT by WILLIAMS,MIGUEL",1
13:53,"TURNOVER  by JACKSON,MARTISE",,,,,,,"TURNOVER  by JACKSON,MARTISE",1
13:40,,,,,"MISS LAYUP by TERRY,CALEB",,,"MISS LAYUP by TERRY,CALEB",1
--,,,,,"REBOUND OFF by THARPE,JAYLON",,,"REBOUND OFF by THARPE,JAYLON",1
13:32,,14,,14,"GOOD TIPIN by THARPE,JAYLON(in the paint)",TREVECCA 14-14 (0),,"GOOD TIPIN by THARPE,JAYLON(in the paint)",1
13:11,"MISS LAYUP by CHILDERS,JOSH",,,,,,,"MISS LAYUP by CHILDERS,JOSH",1
13:11,,,,,"BLOCK  by TERRY,CALEB",,,"BLOCK  by TERRY,CALEB",1
--,,,,,"REBOUND DEF by TERRY,CALEB",,,"REBOUND DEF by TERRY,CALEB",1
13:03,,,,,"FOUL  by PRICE,JOSH",,,"FOUL  by PRICE,JOSH",1
13:03,,,,,"TURNOVER  by PRICE,JOSH",,,"TURNOVER  by PRICE,JOSH",1
13:03,"SUB IN by GILLISPIE,JAY",,,,,,,"SUB IN by GILLISPIE,JAY",1
13:03,"SUB IN by GLOVER,CAMERON",,,,,,,"SUB IN by GLOVER,CAMERON",1
13:03,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",1
13:03,"SUB IN by FITZGERALD,PAUL",,,,,,,"SUB IN by FITZGERALD,PAUL",1
13:03,"SUB IN by SIGLER,EVAN",,,,,,,"SUB IN by SIGLER,EVAN",1
13:03,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",1
13:03,"SUB OUT by TOULIATOS,LUKE",,,,,,,"SUB OUT by TOULIATOS,LUKE",1
13:03,"SUB OUT by STEPHENS,TROY",,,,,,,"SUB OUT by STEPHENS,TROY",1
13:03,"SUB OUT by JACKSON,MARTISE",,,,,,,"SUB OUT by JACKSON,MARTISE",1
13:03,"SUB OUT by KANE,DENMAN",,,,,,,"SUB OUT by KANE,DENMAN",1
13:03,,,,,"SUB IN by ZAPP,BRADEN",,,"SUB IN by ZAPP,BRADEN",1
13:03,,,,,"SUB OUT by PRICE,JOSH",,,"SUB OUT by PRICE,JOSH",1
12:42,"TURNOVER  by FITZGERALD,PAUL",,,,,,,"TURNOVER  by FITZGERALD,PAUL",1
12:42,,,,,"SUB IN by PENHA,CJ",,,"SUB IN by PENHA,CJ",1
12:42,,,,,"SUB IN by NEWTON,BRENDAN",,,"SUB IN by NEWTON,BRENDAN",1
12:42,,,,,"SUB OUT by TERRY,CALEB",,,"SUB OUT by TERRY,CALEB",1
12:42,,,,,"SUB OUT by WILLIAMS,MIGUEL",,,"SUB OUT by WILLIAMS,MIGUEL",1
12:24,,,,,"MISS JUMPER by NEWTON,BRENDAN",,,"MISS JUMPER by NEWTON,BRENDAN",1
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",1
12:17,"GOOD 3PTR by SIGLER,EVAN",17 (+3),,14,,BIRMINGH 17-14 (+3),,"GOOD 3PTR by SIGLER,EVAN",1
--,"ASSIST  by STEWART,CHRISTIAN",,,,,,,"ASSIST  by STEWART,CHRISTIAN",1
11:53,,17 (+1),,16,"GOOD JUMPER by ROGERS,CHRIS(in the paint)",TREVECCA 17-16 (+1),,"GOOD JUMPER by ROGERS,CHRIS(in the paint)",1
11:29,"MISS JUMPER by STEWART,CHRISTIAN",,,,,,,"MISS JUMPER by STEWART,CHRISTIAN",1
--,,,,,"REBOUND DEF by NEWTON,BRENDAN",,,"REBOUND DEF by NEWTON,BRENDAN",1
11:13,,,,,"TURNOVER  by ROGERS,CHRIS",,,"TURNOVER  by ROGERS,CHRIS",1
11:11,"STEAL  by STEWART,CHRISTIAN",,,,,,,"STEAL  by STEWART,CHRISTIAN",1
11:03,"MISS JUMPER by GILLISPIE,JAY",,,,,,,"MISS JUMPER by GILLISPIE,JAY",1
--,,,,,"REBOUND DEF by THARPE,JAYLON",,,"REBOUND DEF by THARPE,JAYLON",1
10:56,,,,,"MISS JUMPER by ROGERS,CHRIS",,,"MISS JUMPER by ROGERS,CHRIS",1
--,,,,,"REBOUND OFF by NEWTON,BRENDAN",,,"REBOUND OFF by NEWTON,BRENDAN",1
10:42,,17,,18 (+1),"GOOD LAYUP by NEWTON,BRENDAN(in the paint)",TREVECCA 17-18 (-1),,"GOOD LAYUP by NEWTON,BRENDAN(in the paint)",1
--,,,,,"ASSIST  by THARPE,JAYLON",,,"ASSIST  by THARPE,JAYLON",1
10:24,"MISS JUMPER by STEWART,CHRISTIAN",,,,,,,"MISS JUMPER by STEWART,CHRISTIAN",1
--,,,,,"REBOUND DEF by NEWTON,BRENDAN",,,"REBOUND DEF by NEWTON,BRENDAN",1
10:18,,,,,"MISS 3PTR by ZAPP,BRADEN",,,"MISS 3PTR by ZAPP,BRADEN",1
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",1
09:58,,,,,"FOUL  by ROGERS,CHRIS",,,"FOUL  by ROGERS,CHRIS",1
09:58,"SUB IN by GREEN,KALEB",,,,,,,"SUB IN by GREEN,KALEB",1
09:58,"SUB IN by WILLIAMS,JU'QUAN",,,,,,,"SUB IN by WILLIAMS,JU'QUAN",1
09:58,"SUB IN by GLOVER,COLIN",,,,,,,"SUB IN by GLOVER,COLIN",1
09:58,"SUB IN by SPENCE,SAM",,,,,,,"SUB IN by SPENCE,SAM",1
09:58,"SUB OUT by SIGLER,EVAN",,,,,,,"SUB OUT by SIGLER,EVAN",1
09:58,"SUB OUT by GILLISPIE,JAY",,,,,,,"SUB OUT by GILLISPIE,JAY",1
09:58,"SUB OUT by GLOVER,CAMERON",,,,,,,"SUB OUT by GLOVER,CAMERON",1
09:58,"SUB OUT by FITZGERALD,PAUL",,,,,,,"SUB OUT by FITZGERALD,PAUL",1
09:58,,,,,"SUB IN by WILLIAMS,MIGUEL",,,"SUB IN by WILLIAMS,MIGUEL",1
09:58,,,,,"SUB OUT by ZAPP,BRADEN",,,"SUB OUT by ZAPP,BRADEN",1
09:53,"MISS 3PTR by GLOVER,COLIN",,,,,,,"MISS 3PTR by GLOVER,COLIN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
09:49,"MISS JUMPER by DAVIS,BRODY",,,,,,,"MISS JUMPER by DAVIS,BRODY",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
09:30,,17,,20 (+3),"GOOD JUMPER by PENHA,CJ(in the paint)",TREVECCA 17-20 (-3),,"GOOD JUMPER by PENHA,CJ(in the paint)",1
09:06,"GOOD 3PTR by SPENCE,SAM",20,,20,,BIRMINGH 20-20 (0),,"GOOD 3PTR by SPENCE,SAM",1
08:49,,20,,22 (+2),"GOOD LAYUP by THARPE,JAYLON(in the paint)",TREVECCA 20-22 (-2),,"GOOD LAYUP by THARPE,JAYLON(in the paint)",1
08:48,"FOUL  by DAVIS,BRODY",,,,,,,"FOUL  by DAVIS,BRODY",1
08:48,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",1
08:48,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",1
08:48,,,,,"SUB IN by ZAPP,BRADEN",,,"SUB IN by ZAPP,BRADEN",1
08:48,,,,,"SUB OUT by NEWTON,BRENDAN",,,"SUB OUT by NEWTON,BRENDAN",1
08:46,,20,,23 (+3),"GOOD FT by THARPE,JAYLON",TREVECCA 20-23 (-3),,"GOOD FT by THARPE,JAYLON",1
08:35,"MISS 3PTR by GLOVER,COLIN",,,,,,,"MISS 3PTR by GLOVER,COLIN",1
--,,,,,"REBOUND DEF by PENHA,CJ",,,"REBOUND DEF by PENHA,CJ",1
08:16,,,,,"MISS 3PTR by THARPE,JAYLON",,,"MISS 3PTR by THARPE,JAYLON",1
--,"REBOUND DEF by GREEN,KALEB",,,,,,,"REBOUND DEF by GREEN,KALEB",1
08:02,"MISS LAYUP by CHILDERS,JOSH",,,,,,,"MISS LAYUP by CHILDERS,JOSH",1
08:02,,,,,"BLOCK  by PENHA,CJ",,,"BLOCK  by PENHA,CJ",1
--,,,,,"REBOUND DEF by WILLIAMS,MIGUEL",,,"REBOUND DEF by WILLIAMS,MIGUEL",1
07:57,"FOUL  by WILLIAMS,JU'QUAN",,,,,,,"FOUL  by WILLIAMS,JU'QUAN",1
07:53,,20,,26 (+6),"GOOD 3PTR by PENHA,CJ",TREVECCA 20-26 (-6),,"GOOD 3PTR by PENHA,CJ",1
07:32,"GOOD JUMPER by GREEN,KALEB",22,,26 (+4),,BIRMINGH 22-26 (-4),,"GOOD JUMPER by GREEN,KALEB",1
07:02,,22,,28 (+6),"GOOD LAYUP by ROGERS,CHRIS(in the paint)",TREVECCA 22-28 (-6),,"GOOD LAYUP by ROGERS,CHRIS(in the paint)",1
06:55,,,,,"FOUL  by THARPE,JAYLON",,,"FOUL  by THARPE,JAYLON",1
06:35,"GOOD 3PTR by WILLIAMS,JU'QUAN",25,,28 (+3),,BIRMINGH 25-28 (-3),,"GOOD 3PTR by WILLIAMS,JU'QUAN",1
--,"ASSIST  by GREEN,KALEB",,,,,,,"ASSIST  by GREEN,KALEB",1
06:19,,,,,"MISS 3PTR by PENHA,CJ",,,"MISS 3PTR by PENHA,CJ",1
--,"REBOUND DEF by WILLIAMS,JU'QUAN",,,,,,,"REBOUND DEF by WILLIAMS,JU'QUAN",1
06:12,"MISS 3PTR by GREEN,KALEB",,,,,,,"MISS 3PTR by GREEN,KALEB",1
--,,,,,"REBOUND DEF by PENHA,CJ",,,"REBOUND DEF by PENHA,CJ",1
06:04,,25,,30 (+5),"GOOD LAYUP by WILLIAMS,MIGUEL(fastbreak)(in the paint)",TREVECCA 25-30 (-5),,"GOOD LAYUP by WILLIAMS,MIGUEL(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by ROGERS,CHRIS",,,"ASSIST  by ROGERS,CHRIS",1
05:46,"TURNOVER  by BARNETT,CHARLIE",,,,,,,"TURNOVER  by BARNETT,CHARLIE",1
05:46,"SUB IN by TOULIATOS,LUKE",,,,,,,"SUB IN by TOULIATOS,LUKE",1
05:46,"SUB IN by JACKSON,MARTISE",,,,,,,"SUB IN by JACKSON,MARTISE",1
05:46,"SUB OUT by SPENCE,SAM",,,,,,,"SUB OUT by SPENCE,SAM",1
05:46,"SUB OUT by GLOVER,COLIN",,,,,,,"SUB OUT by GLOVER,COLIN",1
05:46,,,,,"SUB IN by NEWTON,BRENDAN",,,"SUB IN by NEWTON,BRENDAN",1
05:46,,,,,"SUB OUT by PENHA,CJ",,,"SUB OUT by PENHA,CJ",1
05:36,,,,,"MISS 3PTR by NEWTON,BRENDAN",,,"MISS 3PTR by NEWTON,BRENDAN",1
--,"REBOUND DEF by JACKSON,MARTISE",,,,,,,"REBOUND DEF by JACKSON,MARTISE",1
05:16,"GOOD 3PTR by GREEN,KALEB",28,,30 (+2),,BIRMINGH 28-30 (-2),,"GOOD 3PTR by GREEN,KALEB",1
--,"ASSIST  by CHILDERS,JOSH",,,,,,,"ASSIST  by CHILDERS,JOSH",1
05:00,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",1
05:00,"SUB IN by GLOVER,CAMERON",,,,,,,"SUB IN by GLOVER,CAMERON",1
05:00,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",1
05:00,"SUB OUT by GREEN,KALEB",,,,,,,"SUB OUT by GREEN,KALEB",1
04:38,,28,,32 (+4),"GOOD LAYUP by ZAPP,BRADEN(in the paint)",TREVECCA 28-32 (-4),,"GOOD LAYUP by ZAPP,BRADEN(in the paint)",1
--,,,,,"ASSIST  by NEWTON,BRENDAN",,,"ASSIST  by NEWTON,BRENDAN",1
04:24,"TURNOVER  by STEWART,CHRISTIAN",,,,,,,"TURNOVER  by STEWART,CHRISTIAN",1
04:15,,28,,34 (+6),"GOOD DUNK by NEWTON,BRENDAN(in the paint)",TREVECCA 28-34 (-6),,"GOOD DUNK by NEWTON,BRENDAN(in the paint)",1
--,,,,,"ASSIST  by THARPE,JAYLON",,,"ASSIST  by THARPE,JAYLON",1
04:01,"GOOD 3PTR by WILLIAMS,JU'QUAN",31,,34 (+3),,BIRMINGH 31-34 (-3),,"GOOD 3PTR by WILLIAMS,JU'QUAN",1
--,"ASSIST  by TOULIATOS,LUKE",,,,,,,"ASSIST  by TOULIATOS,LUKE",1
03:31,,,,,"MISS JUMPER by THARPE,JAYLON",,,"MISS JUMPER by THARPE,JAYLON",1
--,,,,,"REBOUND OFF by NEWTON,BRENDAN",,,"REBOUND OFF by NEWTON,BRENDAN",1
03:24,,,,,"MISS TIPIN by NEWTON,BRENDAN",,,"MISS TIPIN by NEWTON,BRENDAN",1
--,"REBOUND DEF by WILLIAMS,JU'QUAN",,,,,,,"REBOUND DEF by WILLIAMS,JU'QUAN",1
03:15,"TURNOVER  by GLOVER,CAMERON",,,,,,,"TURNOVER  by GLOVER,CAMERON",1
03:15,"FOUL  by GLOVER,CAMERON",,,,,,,"FOUL  by GLOVER,CAMERON",1
03:15,"SUB IN by GILLISPIE,JAY",,,,,,,"SUB IN by GILLISPIE,JAY",1
03:15,"SUB IN by SIGLER,EVAN",,,,,,,"SUB IN by SIGLER,EVAN",1
03:15,"SUB OUT by TOULIATOS,LUKE",,,,,,,"SUB OUT by TOULIATOS,LUKE",1
03:15,"SUB OUT by JACKSON,MARTISE",,,,,,,"SUB OUT by JACKSON,MARTISE",1
03:15,,,,,"SUB IN by PENHA,CJ",,,"SUB IN by PENHA,CJ",1
03:15,,,,,"SUB IN by PRICE,JOSH",,,"SUB IN by PRICE,JOSH",1
03:15,,,,,"SUB OUT by NEWTON,BRENDAN",,,"SUB OUT by NEWTON,BRENDAN",1
03:15,,,,,"SUB OUT by ZAPP,BRADEN",,,"SUB OUT by ZAPP,BRADEN",1
03:02,,31,,36 (+5),"GOOD JUMPER by PENHA,CJ",TREVECCA 31-36 (-5),,"GOOD JUMPER by PENHA,CJ",1
02:41,"MISS JUMPER by GLOVER,CAMERON",,,,,,,"MISS JUMPER by GLOVER,CAMERON",1
--,"REBOUND OFF by GLOVER,CAMERON",,,,,,,"REBOUND OFF by GLOVER,CAMERON",1
02:37,,,,,"FOUL  by ROGERS,CHRIS",,,"FOUL  by ROGERS,CHRIS",1
02:37,"GOOD FT by GLOVER,CAMERON",32,,36 (+4),,BIRMINGH 32-36 (-4),,"GOOD FT by GLOVER,CAMERON",1
02:37,"MISS FT by GLOVER,CAMERON",,,,,,,"MISS FT by GLOVER,CAMERON",1
--,"REBOUND OFF by GILLISPIE,JAY",,,,,,,"REBOUND OFF by GILLISPIE,JAY",1
02:37,,,,,"SUB IN by TERRY,CALEB",,,"SUB IN by TERRY,CALEB",1
02:37,,,,,"SUB OUT by ROGERS,CHRIS",,,"SUB OUT by ROGERS,CHRIS",1
02:34,"MISS 3PTR by GLOVER,CAMERON",,,,,,,"MISS 3PTR by GLOVER,CAMERON",1
--,,,,,"REBOUND DEF by TERRY,CALEB",,,"REBOUND DEF by TERRY,CALEB",1
02:21,,32,,38 (+6),"GOOD JUMPER by WILLIAMS,MIGUEL(in the paint)",TREVECCA 32-38 (-6),,"GOOD JUMPER by WILLIAMS,MIGUEL(in the paint)",1
02:02,"MISS JUMPER by STEWART,CHRISTIAN",,,,,,,"MISS JUMPER by STEWART,CHRISTIAN",1
02:02,,,,,"BLOCK  by TERRY,CALEB",,,"BLOCK  by TERRY,CALEB",1
--,"REBOUND OFF by STEWART,CHRISTIAN",,,,,,,"REBOUND OFF by STEWART,CHRISTIAN",1
01:58,"MISS 3PTR by WILLIAMS,JU'QUAN",,,,,,,"MISS 3PTR by WILLIAMS,JU'QUAN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
01:55,"SUB IN by FITZGERALD,PAUL",,,,,,,"SUB IN by FITZGERALD,PAUL",1
01:55,"SUB OUT by WILLIAMS,JU'QUAN",,,,,,,"SUB OUT by WILLIAMS,JU'QUAN",1
01:30,,,,,"TURNOVER  by WILLIAMS,MIGUEL",,,"TURNOVER  by WILLIAMS,MIGUEL",1
01:06,"GOOD 3PTR by GLOVER,CAMERON",35,,38 (+3),,BIRMINGH 35-38 (-3),,"GOOD 3PTR by GLOVER,CAMERON",1
00:38,,35,,41 (+6),"GOOD 3PTR by THARPE,JAYLON",TREVECCA 35-41 (-6),,"GOOD 3PTR by THARPE,JAYLON",1
--,,,,,"ASSIST  by PRICE,JOSH",,,"ASSIST  by PRICE,JOSH",1
00:26,"GOOD JUMPER by STEWART,CHRISTIAN(in the paint)",37,,41 (+4),,BIRMINGH 37-41 (-4),,"GOOD JUMPER by STEWART,CHRISTIAN(in the paint)",1
--,"ASSIST  by FITZGERALD,PAUL",,,,,,,"ASSIST  by FITZGERALD,PAUL",1
00:22,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:22,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",1
00:22,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",1
00:22,,,,,"SUB IN by ZAPP,BRADEN",,,"SUB IN by ZAPP,BRADEN",1
00:22,,,,,"SUB OUT by TERRY,CALEB",,,"SUB OUT by TERRY,CALEB",1
00:12,,,,,"TURNOVER  by PENHA,CJ",,,"TURNOVER  by PENHA,CJ",1
00:11,"STEAL  by CHILDERS,JOSH",,,,,,,"STEAL  by CHILDERS,JOSH",1
00:06,"GOOD LAYUP by GLOVER,CAMERON(fastbreak)(in the paint)",39,,41 (+2),,BIRMINGH 39-41 (-2),,"GOOD LAYUP by GLOVER,CAMERON(fastbreak)(in the paint)",1
00:00,,,,,"MISS 3PTR by ZAPP,BRADEN",,,"MISS 3PTR by ZAPP,BRADEN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
19:34,"GOOD JUMPER by GLOVER,CAMERON",41,,41,,BIRMINGH 41-41 (0),,"GOOD JUMPER by GLOVER,CAMERON",2
18:50,,,,,"MISS LAYUP by PRICE,JOSH",,,"MISS LAYUP by PRICE,JOSH",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
18:47,"FOUL  by STEWART,CHRISTIAN",,,,,,,"FOUL  by STEWART,CHRISTIAN",2
18:47,,,,,"TURNOVER  by ROGERS,CHRIS",,,"TURNOVER  by ROGERS,CHRIS",2
18:47,"MISS JUMPER by GLOVER,CAMERON",,,,,,,"MISS JUMPER by GLOVER,CAMERON",2
--,,,,,"REBOUND DEF by PENHA,CJ",,,"REBOUND DEF by PENHA,CJ",2
18:33,,41,,43 (+2),"GOOD JUMPER by ROGERS,CHRIS",TREVECCA 41-43 (-2),,"GOOD JUMPER by ROGERS,CHRIS",2
18:19,"GOOD 3PTR by SIGLER,EVAN",44 (+1),,43,,BIRMINGH 44-43 (+1),,"GOOD 3PTR by SIGLER,EVAN",2
--,"ASSIST  by GLOVER,CAMERON",,,,,,,"ASSIST  by GLOVER,CAMERON",2
18:04,,44,,45 (+1),"GOOD LAYUP by NEWTON,BRENDAN(in the paint)",TREVECCA 44-45 (-1),,"GOOD LAYUP by NEWTON,BRENDAN(in the paint)",2
--,,,,,"ASSIST  by PRICE,JOSH",,,"ASSIST  by PRICE,JOSH",2
17:37,"MISS 3PTR by GILLISPIE,JAY",,,,,,,"MISS 3PTR by GILLISPIE,JAY",2
