Time Remaining,CENTREM,Away Team Score,Play Team Indicator,Home Team Score,TMC,Game Score,Team Indicator,Play,Period
--,"ASSIST  by WALKER,ART",,,,,,,"ASSIST  by WALKER,ART",1
13:27,,,,,"MISS LAYUP by STOCKWELL,JUNIOR",,,"MISS LAYUP by STOCKWELL,JUNIOR",1
--,"REBOUND DEF by SPITZER,JAKOB",,,,,,,"REBOUND DEF by SPITZER,JAKOB",1
13:17,"MISS 3PTR by GRUBER,SAM",,,,,,,"MISS 3PTR by GRUBER,SAM",1
--,,,,,"REBOUND DEF by PAULY,SAWYER",,,"REBOUND DEF by PAULY,SAWYER",1
13:01,,,,,"SUB IN by CALLAHAN,RYNE",,,"SUB IN by CALLAHAN,RYNE",1
13:01,,,,,"SUB IN by KING,DAMION",,,"SUB IN by KING,DAMION",1
13:01,,,,,"SUB OUT by WILLIAMS,DANIEL",,,"SUB OUT by WILLIAMS,DANIEL",1
13:01,,,,,"SUB OUT by GRIFFIN,MICHAEL",,,"SUB OUT by GRIFFIN,MICHAEL",1
12:48,,,,,"MISS JUMPER by CALLAHAN,RYNE",,,"MISS JUMPER by CALLAHAN,RYNE",1
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",1
12:27,"MISS LAYUP by AYERS,PERRY",,,,,,,"MISS LAYUP by AYERS,PERRY",1
--,,,,,"REBOUND DEF by STONE,RALPH",,,"REBOUND DEF by STONE,RALPH",1
12:14,,12,,13 (+1),"GOOD LAYUP by CALLAHAN,RYNE(in the paint)",TMC 12-13 (-1),,"GOOD LAYUP by CALLAHAN,RYNE(in the paint)",1
--,,,,,"ASSIST  by KING,DAMION",,,"ASSIST  by KING,DAMION",1
11:59,"GOOD 3PTR by WALKER,ART",15 (+2),,13,,CENTREM 15-13 (+2),,"GOOD 3PTR by WALKER,ART",1
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",1
11:41,,15,,16 (+1),"GOOD 3PTR by KING,DAMION",TMC 15-16 (-1),,"GOOD 3PTR by KING,DAMION",1
--,,,,,"ASSIST  by STONE,RALPH",,,"ASSIST  by STONE,RALPH",1
11:20,"TURNOVER  by GRIFFIN,JAROD",,,,,,,"TURNOVER  by GRIFFIN,JAROD",1
11:19,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
11:19,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
11:19,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
11:19,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
11:19,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
11:19,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",1
11:19,,,,,"SUB IN by CLIFFORD,SIMON",,,"SUB IN by CLIFFORD,SIMON",1
11:19,,,,,"SUB OUT by STOCKWELL,JUNIOR",,,"SUB OUT by STOCKWELL,JUNIOR",1
11:11,,15,,19 (+4),"GOOD 3PTR by CALLAHAN,RYNE",TMC 15-19 (-4),,"GOOD 3PTR by CALLAHAN,RYNE",1
--,,,,,"ASSIST  by KING,DAMION",,,"ASSIST  by KING,DAMION",1
10:51,"GOOD JUMPER by GRIFFIN,JAROD",17,,19 (+2),,CENTREM 17-19 (-2),,"GOOD JUMPER by GRIFFIN,JAROD",1
--,"ASSIST  by WALKER,ART",,,,,,,"ASSIST  by WALKER,ART",1
10:38,,17,,21 (+4),"GOOD LAYUP by CLIFFORD,SIMON(in the paint)",TMC 17-21 (-4),,"GOOD LAYUP by CLIFFORD,SIMON(in the paint)",1
--,,,,,"ASSIST  by PAULY,SAWYER",,,"ASSIST  by PAULY,SAWYER",1
10:34,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
10:34,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
10:34,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
10:29,"GOOD 3PTR by WALKER,ART",20,,21 (+1),,CENTREM 20-21 (-1),,"GOOD 3PTR by WALKER,ART",1
--,"ASSIST  by BATES,JACOB",,,,,,,"ASSIST  by BATES,JACOB",1
10:17,,,,,"MISS LAYUP by CLIFFORD,SIMON",,,"MISS LAYUP by CLIFFORD,SIMON",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
10:04,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",1
--,,,,,"REBOUND DEF by PAULY,SAWYER",,,"REBOUND DEF by PAULY,SAWYER",1
09:48,,,,,"MISS LAYUP by CLIFFORD,SIMON",,,"MISS LAYUP by CLIFFORD,SIMON",1
--,"REBOUND DEF by GRIFFIN,JAROD",,,,,,,"REBOUND DEF by GRIFFIN,JAROD",1
09:39,"GOOD 3PTR by GUMP,MATT",23 (+2),,21,,CENTREM 23-21 (+2),,"GOOD 3PTR by GUMP,MATT",1
--,"ASSIST  by RAKES,BAILEY",,,,,,,"ASSIST  by RAKES,BAILEY",1
09:22,,,,,"MISS 3PTR by KING,DAMION",,,"MISS 3PTR by KING,DAMION",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
08:53,"GOOD JUMPER by GUMP,MATT",25 (+4),,21,,CENTREM 25-21 (+4),,"GOOD JUMPER by GUMP,MATT",1
08:33,,,,,"MISS JUMPER by PAULY,SAWYER",,,"MISS JUMPER by PAULY,SAWYER",1
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",1
08:16,"GOOD 3PTR by GUMP,MATT",28 (+7),,21,,CENTREM 28-21 (+7),,"GOOD 3PTR by GUMP,MATT",1
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",1
08:14,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
08:14,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
08:14,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
08:14,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
08:14,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
08:14,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
08:14,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
08:14,,,,,"SUB IN by GRIFFIN,MICHAEL",,,"SUB IN by GRIFFIN,MICHAEL",1
08:14,,,,,"SUB IN by HORNE,BRANDON",,,"SUB IN by HORNE,BRANDON",1
08:14,,,,,"SUB OUT by PAULY,SAWYER",,,"SUB OUT by PAULY,SAWYER",1
08:14,,,,,"SUB OUT by STONE,RALPH",,,"SUB OUT by STONE,RALPH",1
08:02,,,,,"MISS LAYUP by GRIFFIN,MICHAEL",,,"MISS LAYUP by GRIFFIN,MICHAEL",1
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",1
07:50,"MISS JUMPER by GRIFFIN,JAROD",,,,,,,"MISS JUMPER by GRIFFIN,JAROD",1
--,,,,,"REBOUND DEF by KING,DAMION",,,"REBOUND DEF by KING,DAMION",1
07:36,,,,,"MISS JUMPER by GRIFFIN,MICHAEL",,,"MISS JUMPER by GRIFFIN,MICHAEL",1
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",1
07:24,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
07:23,"FOUL  by SCHMUCKER,ZACH",,,,,,,"FOUL  by SCHMUCKER,ZACH",1
07:23,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
07:23,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
07:09,,28 (+5),,23,"GOOD JUMPER by WILLIAMS,DANIEL",TMC 28-23 (+5),,"GOOD JUMPER by WILLIAMS,DANIEL",1
--,,,,,"ASSIST  by KING,DAMION",,,"ASSIST  by KING,DAMION",1
06:48,"GOOD 3PTR by GRIFFIN,JAROD",31 (+8),,23,,CENTREM 31-23 (+8),,"GOOD 3PTR by GRIFFIN,JAROD",1
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",1
06:30,,,,,"MISS LAYUP by HORNE,BRANDON",,,"MISS LAYUP by HORNE,BRANDON",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
06:13,"MISS JUMPER by GRIFFIN,JAROD",,,,,,,"MISS JUMPER by GRIFFIN,JAROD",1
--,,,,,"REBOUND DEF by HORNE,BRANDON",,,"REBOUND DEF by HORNE,BRANDON",1
05:57,"FOUL  by SCHMUCKER,ZACH",,,,,,,"FOUL  by SCHMUCKER,ZACH",1
05:57,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
05:57,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
05:57,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
05:57,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
05:35,,,,,"MISS 3PTR by WILLIAMS,DANIEL",,,"MISS 3PTR by WILLIAMS,DANIEL",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
05:08,"MISS 3PTR by RAKES,BAILEY",,,,,,,"MISS 3PTR by RAKES,BAILEY",1
--,,,,,"REBOUND DEF by HORNE,BRANDON",,,"REBOUND DEF by HORNE,BRANDON",1
04:53,,31 (+6),,25,"GOOD JUMPER by KING,DAMION",TMC 31-25 (+6),,"GOOD JUMPER by KING,DAMION",1
04:25,"GOOD 3PTR by WALKER,ART",34 (+9),,25,,CENTREM 34-25 (+9),,"GOOD 3PTR by WALKER,ART",1
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",1
03:59,,,,,"TURNOVER  by CLIFFORD,SIMON",,,"TURNOVER  by CLIFFORD,SIMON",1
03:59,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
03:59,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
03:59,,,,,"SUB IN by STOCKWELL,JUNIOR",,,"SUB IN by STOCKWELL,JUNIOR",1
03:59,,,,,"SUB IN by WILLIAMS,DANIEL",,,"SUB IN by WILLIAMS,DANIEL",1
03:59,,,,,"SUB OUT by CLIFFORD,SIMON",,,"SUB OUT by CLIFFORD,SIMON",1
03:59,,,,,"SUB OUT by CALLAHAN,RYNE",,,"SUB OUT by CALLAHAN,RYNE",1
03:47,"GOOD 3PTR by AYERS,PERRY",37 (+12),,25,,CENTREM 37-25 (+12),,"GOOD 3PTR by AYERS,PERRY",1
--,"ASSIST  by WALKER,ART",,,,,,,"ASSIST  by WALKER,ART",1
03:35,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",1
03:35,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
03:35,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
03:35,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
03:35,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
03:20,"FOUL  by AYERS,PERRY",,,,,,,"FOUL  by AYERS,PERRY",1
03:20,,37 (+11),,26,"GOOD FT by STOCKWELL,JUNIOR",TMC 37-26 (+11),,"GOOD FT by STOCKWELL,JUNIOR",1
03:20,,,,,"MISS FT by STOCKWELL,JUNIOR",,,"MISS FT by STOCKWELL,JUNIOR",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
03:05,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",1
--,,,,,"REBOUND DEF by KING,DAMION",,,"REBOUND DEF by KING,DAMION",1
02:52,,37 (+9),,28,"GOOD LAYUP by STOCKWELL,JUNIOR(in the paint)",TMC 37-28 (+9),,"GOOD LAYUP by STOCKWELL,JUNIOR(in the paint)",1
--,,,,,"ASSIST  by KING,DAMION",,,"ASSIST  by KING,DAMION",1
02:37,,,,,"FOUL  by WILLIAMS,DANIEL",,,"FOUL  by WILLIAMS,DANIEL",1
02:37,"MISS FT by BATES,JACOB",,,,,,,"MISS FT by BATES,JACOB",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
02:37,"GOOD FT by BATES,JACOB",38 (+10),,28,,CENTREM 38-28 (+10),,"GOOD FT by BATES,JACOB",1
02:37,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
02:37,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
02:37,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
02:37,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
02:37,,,,,"SUB IN by YOUNG,AUSTIN",,,"SUB IN by YOUNG,AUSTIN",1
02:37,,,,,"SUB OUT by GRIFFIN,MICHAEL",,,"SUB OUT by GRIFFIN,MICHAEL",1
02:12,,38 (+8),,30,"GOOD JUMPER by KING,DAMION",TMC 38-30 (+8),,"GOOD JUMPER by KING,DAMION",1
01:57,"FOUL  by SINE,TUCKER",,,,,,,"FOUL  by SINE,TUCKER",1
01:57,"TURNOVER  by SINE,TUCKER",,,,,,,"TURNOVER  by SINE,TUCKER",1
01:37,,,,,"TURNOVER  by STOCKWELL,JUNIOR",,,"TURNOVER  by STOCKWELL,JUNIOR",1
01:37,,,,,"SUB IN by PAULY,SAWYER",,,"SUB IN by PAULY,SAWYER",1
01:37,,,,,"SUB OUT by YOUNG,AUSTIN",,,"SUB OUT by YOUNG,AUSTIN",1
01:12,"MISS 3PTR by RAKES,BAILEY",,,,,,,"MISS 3PTR by RAKES,BAILEY",1
--,,,,,"REBOUND DEF by HORNE,BRANDON",,,"REBOUND DEF by HORNE,BRANDON",1
01:10,"FOUL  by SCHMUCKER,ZACH",,,,,,,"FOUL  by SCHMUCKER,ZACH",1
01:10,,38 (+7),,31,"GOOD FT by HORNE,BRANDON",TMC 38-31 (+7),,"GOOD FT by HORNE,BRANDON",1
01:10,,38 (+6),,32,"GOOD FT by HORNE,BRANDON",TMC 38-32 (+6),,"GOOD FT by HORNE,BRANDON",1
01:10,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
01:10,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
01:10,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
01:10,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
01:10,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
01:10,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
00:48,"GOOD JUMPER by GRIFFIN,JAROD(in the paint)",40 (+8),,32,,CENTREM 40-32 (+8),,"GOOD JUMPER by GRIFFIN,JAROD(in the paint)",1
00:31,,,,,"MISS 3PTR by WILLIAMS,DANIEL",,,"MISS 3PTR by WILLIAMS,DANIEL",1
--,,,,,"REBOUND OFF by STOCKWELL,JUNIOR",,,"REBOUND OFF by STOCKWELL,JUNIOR",1
00:27,,,,,"FOUL  by STOCKWELL,JUNIOR",,,"FOUL  by STOCKWELL,JUNIOR",1
00:27,,,,,"TURNOVER  by STOCKWELL,JUNIOR",,,"TURNOVER  by STOCKWELL,JUNIOR",1
00:27,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
00:27,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
00:27,,,,,"SUB IN by HALL,JACOB",,,"SUB IN by HALL,JACOB",1
00:27,,,,,"SUB IN by CLIFFORD,SIMON",,,"SUB IN by CLIFFORD,SIMON",1
00:27,,,,,"SUB OUT by WILLIAMS,DANIEL",,,"SUB OUT by WILLIAMS,DANIEL",1
00:27,,,,,"SUB OUT by STOCKWELL,JUNIOR",,,"SUB OUT by STOCKWELL,JUNIOR",1
00:09,"MISS JUMPER by RAKES,BAILEY",,,,,,,"MISS JUMPER by RAKES,BAILEY",1
--,,,,,"REBOUND DEF by HALL,JACOB",,,"REBOUND DEF by HALL,JACOB",1
00:02,,,,,"MISS LAYUP by HALL,JACOB",,,"MISS LAYUP by HALL,JACOB",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
19:49,,,,,"MISS JUMPER by YOUNG,AUSTIN",,,"MISS JUMPER by YOUNG,AUSTIN",2
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",2
19:33,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",2
--,,,,,"REBOUND DEF by CLIFFORD,SIMON",,,"REBOUND DEF by CLIFFORD,SIMON",2
19:12,,,,,"MISS 3PTR by YOUNG,AUSTIN",,,"MISS 3PTR by YOUNG,AUSTIN",2
--,"REBOUND DEF by SPITZER,JAKOB",,,,,,,"REBOUND DEF by SPITZER,JAKOB",2
18:49,"MISS JUMPER by SINE,TUCKER",,,,,,,"MISS JUMPER by SINE,TUCKER",2
--,,,,,"REBOUND DEF by HORNE,BRANDON",,,"REBOUND DEF by HORNE,BRANDON",2
18:31,,,,,"MISS 3PTR by WILLIAMS,DANIEL",,,"MISS 3PTR by WILLIAMS,DANIEL",2
--,"REBOUND DEF by SPITZER,JAKOB",,,,,,,"REBOUND DEF by SPITZER,JAKOB",2
18:24,"GOOD 3PTR by RAKES,BAILEY(fastbreak)",43 (+11),,32,,CENTREM 43-32 (+11),,"GOOD 3PTR by RAKES,BAILEY(fastbreak)",2
--,"ASSIST  by SPITZER,JAKOB",,,,,,,"ASSIST  by SPITZER,JAKOB",2
17:54,"FOUL  by GRIFFIN,JAROD",,,,,,,"FOUL  by GRIFFIN,JAROD",2
17:54,,,,,"MISS FT by HORNE,BRANDON",,,"MISS FT by HORNE,BRANDON",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
17:54,,43 (+10),,33,"GOOD FT by HORNE,BRANDON",TMC 43-33 (+10),,"GOOD FT by HORNE,BRANDON",2
17:31,"MISS JUMPER by GUMP,MATT",,,,,,,"MISS JUMPER by GUMP,MATT",2
--,"REBOUND OFF by SINE,TUCKER",,,,,,,"REBOUND OFF by SINE,TUCKER",2
17:26,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",2
--,"REBOUND OFF by GUMP,MATT",,,,,,,"REBOUND OFF by GUMP,MATT",2
17:12,"MISS JUMPER by GRIFFIN,JAROD",,,,,,,"MISS JUMPER by GRIFFIN,JAROD",2
--,,,,,"REBOUND DEF by HORNE,BRANDON",,,"REBOUND DEF by HORNE,BRANDON",2
16:57,,43 (+8),,35,"GOOD JUMPER by KING,DAMION(in the paint)",TMC 43-35 (+8),,"GOOD JUMPER by KING,DAMION(in the paint)",2
16:54,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
16:54,,,,,"SUB IN by STONE,RALPH",,,"SUB IN by STONE,RALPH",2
16:54,,,,,"SUB OUT by YOUNG,AUSTIN",,,"SUB OUT by YOUNG,AUSTIN",2
16:40,"GOOD 3PTR by SINE,TUCKER",46 (+11),,35,,CENTREM 46-35 (+11),,"GOOD 3PTR by SINE,TUCKER",2
--,"ASSIST  by SPITZER,JAKOB",,,,,,,"ASSIST  by SPITZER,JAKOB",2
16:16,,,,,"TURNOVER  by CLIFFORD,SIMON",,,"TURNOVER  by CLIFFORD,SIMON",2
16:16,"STEAL  by GUMP,MATT",,,,,,,"STEAL  by GUMP,MATT",2
