Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,16BSC-M,Game Score,Team Indicator,Play,Period
10:49,,,,,"SUB OUT by MOORE,KADEN",,,"SUB OUT by MOORE,KADEN",1
10:49,,,,,"SUB OUT by GRAHAM,CHRIS",,,"SUB OUT by GRAHAM,CHRIS",1
10:49,,,,,"SUB OUT by PERKINS,ALEX",,,"SUB OUT by PERKINS,ALEX",1
10:49,,,,,"SUB OUT by MCLEAN,JAMES",,,"SUB OUT by MCLEAN,JAMES",1
10:29,"GOOD 3PTR by GRIFFIN,JAROD",30 (+11),,19,,CENTRE-M 30-19 (+11),,"GOOD 3PTR by GRIFFIN,JAROD",1
09:57,,,,,"MISS LAYUP by THOM,IAN",,,"MISS LAYUP by THOM,IAN",1
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",1
09:49,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",1
--,,,,,"REBOUND DEF by LEWIS,EVAN",,,"REBOUND DEF by LEWIS,EVAN",1
09:40,,30 (+8),,22,"GOOD 3PTR by BAK,CALVIN",16BSC-M 30-22 (+8),,"GOOD 3PTR by BAK,CALVIN",1
--,,,,,"ASSIST  by RUDAK,MATTY",,,"ASSIST  by RUDAK,MATTY",1
09:40,"FOUL  by GRUBER,SAM",,,,,,,"FOUL  by GRUBER,SAM",1
09:40,,30 (+7),,23,"GOOD FT by BAK,CALVIN",16BSC-M 30-23 (+7),,"GOOD FT by BAK,CALVIN",1
09:40,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
09:40,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
09:40,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
09:40,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
09:40,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
09:40,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",1
09:12,"GOOD 3PTR by AYERS,PERRY",33 (+10),,23,,CENTRE-M 33-23 (+10),,"GOOD 3PTR by AYERS,PERRY",1
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",1
09:00,,,,,"TURNOVER  by LEWIS,EVAN",,,"TURNOVER  by LEWIS,EVAN",1
08:58,"STEAL  by AYERS,PERRY",,,,,,,"STEAL  by AYERS,PERRY",1
08:55,"MISS LAYUP by AYERS,PERRY",,,,,,,"MISS LAYUP by AYERS,PERRY",1
--,"REBOUND OFF by SPITZER,JAKOB",,,,,,,"REBOUND OFF by SPITZER,JAKOB",1
08:53,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",35 (+12),,23,,CENTRE-M 35-23 (+12),,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",1
08:34,,,,,"MISS LAYUP by DENEKA,HARRISON",,,"MISS LAYUP by DENEKA,HARRISON",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
08:28,"TURNOVER  by AYERS,PERRY",,,,,,,"TURNOVER  by AYERS,PERRY",1
