Time Remaining,GENESEO,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-M,Game Score,Team Indicator,Play,Period
16:43,"GOOD 3PTR by CROCKETT,KEVIN",57 (+25),,32,,GENESEO 57-32 (-25),,"GOOD 3PTR by CROCKETT,KEVIN",2
--,"ASSIST  by DECKER,JOHN",,,,,,,"ASSIST  by DECKER,JOHN",2
16:27,,57 (+22),,35,"GOOD 3PTR by RAKES,BAILEY",CENTRE-M 57-35 (-22),,"GOOD 3PTR by RAKES,BAILEY",2
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",2
16:15,"GOOD 3PTR by RINGEN,JUSTIN",60 (+25),,35,,GENESEO 60-35 (-25),,"GOOD 3PTR by RINGEN,JUSTIN",2
--,"ASSIST  by EISENBERG,JACK",,,,,,,"ASSIST  by EISENBERG,JACK",2
15:53,,,,,"TURNOVER  by SINE,TUCKER",,,"TURNOVER  by SINE,TUCKER",2
15:52,"STEAL  by RINGEN,JUSTIN",,,,,,,"STEAL  by RINGEN,JUSTIN",2
15:38,"MISS 3PTR by RINGEN,JUSTIN",,,,,,,"MISS 3PTR by RINGEN,JUSTIN",2
--,"REBOUND OFF by CROCKETT,KEVIN",,,,,,,"REBOUND OFF by CROCKETT,KEVIN",2
15:33,"GOOD LAYUP by EISENBERG,JACK(in the paint)",62 (+27),,35,,GENESEO 62-35 (-27),,"GOOD LAYUP by EISENBERG,JACK(in the paint)",2
15:30,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
15:30,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",2
15:30,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",2
15:30,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",2
15:30,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",2
15:30,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",2
15:30,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",2
15:13,,62 (+25),,37,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",CENTRE-M 62-37 (-25),,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",2
--,,,,,"ASSIST  by RAKES,BAILEY",,,"ASSIST  by RAKES,BAILEY",2
14:51,"GOOD LAYUP by MANKE,JACK(in the paint)",64 (+27),,37,,GENESEO 64-37 (-27),,"GOOD LAYUP by MANKE,JACK(in the paint)",2
--,"ASSIST  by CROCKETT,KEVIN",,,,,,,"ASSIST  by CROCKETT,KEVIN",2
14:39,"FOUL  by MANKE,JACK",,,,,,,"FOUL  by MANKE,JACK",2
14:39,,,,,"MISS FT by AYERS,PERRY",,,"MISS FT by AYERS,PERRY",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
14:39,,64 (+26),,38,"GOOD FT by AYERS,PERRY",CENTRE-M 64-38 (-26),,"GOOD FT by AYERS,PERRY",2
14:39,"SUB IN by NICHOLS,TERRANCE",,,,,,,"SUB IN by NICHOLS,TERRANCE",2
14:39,"SUB OUT by EISENBERG,JACK",,,,,,,"SUB OUT by EISENBERG,JACK",2
14:28,"TURNOVER  by CROCKETT,KEVIN",,,,,,,"TURNOVER  by CROCKETT,KEVIN",2
14:27,,,,,"STEAL  by AYERS,PERRY",,,"STEAL  by AYERS,PERRY",2
14:25,,,,,"MISS LAYUP by AYERS,PERRY",,,"MISS LAYUP by AYERS,PERRY",2
--,"REBOUND DEF by CROCKETT,KEVIN",,,,,,,"REBOUND DEF by CROCKETT,KEVIN",2
14:09,"GOOD 3PTR by CROCKETT,KEVIN",67 (+29),,38,,GENESEO 67-38 (-29),,"GOOD 3PTR by CROCKETT,KEVIN",2
--,"ASSIST  by RINGEN,JUSTIN",,,,,,,"ASSIST  by RINGEN,JUSTIN",2
13:47,,,,,"MISS LAYUP by SCHMUCKER,ZACH",,,"MISS LAYUP by SCHMUCKER,ZACH",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
13:47,"SUB IN by EASTMAN,TOMMY",,,,,,,"SUB IN by EASTMAN,TOMMY",2
13:47,"SUB IN by MENKHORST,JORDI",,,,,,,"SUB IN by MENKHORST,JORDI",2
13:47,"SUB OUT by MANKE,JACK",,,,,,,"SUB OUT by MANKE,JACK",2
13:47,"SUB OUT by RINGEN,JUSTIN",,,,,,,"SUB OUT by RINGEN,JUSTIN",2
13:29,,,,,"FOUL  by GRUBER,SAM",,,"FOUL  by GRUBER,SAM",2
13:29,"GOOD FT by CROCKETT,KEVIN",68 (+30),,38,,GENESEO 68-38 (-30),,"GOOD FT by CROCKETT,KEVIN",2
13:29,"GOOD FT by CROCKETT,KEVIN",69 (+31),,38,,GENESEO 69-38 (-31),,"GOOD FT by CROCKETT,KEVIN",2
13:29,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",2
13:29,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",2
13:11,,,,,"MISS 3PTR by GRUBER,SAM",,,"MISS 3PTR by GRUBER,SAM",2
--,"REBOUND DEF by MENKHORST,JORDI",,,,,,,"REBOUND DEF by MENKHORST,JORDI",2
13:02,"TURNOVER  by DECKER,JOHN",,,,,,,"TURNOVER  by DECKER,JOHN",2
13:02,"FOUL  by DECKER,JOHN",,,,,,,"FOUL  by DECKER,JOHN",2
13:02,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",2
13:02,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",2
12:54,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",2
--,,,,,"REBOUND OFF by AYERS,PERRY",,,"REBOUND OFF by AYERS,PERRY",2
12:46,,,,,"MISS 3PTR by AYERS,PERRY",,,"MISS 3PTR by AYERS,PERRY",2
--,,,,,"REBOUND OFF by WALKER,ART",,,"REBOUND OFF by WALKER,ART",2
12:38,,,,,"MISS LAYUP by AYERS,PERRY",,,"MISS LAYUP by AYERS,PERRY",2
--,"REBOUND DEF by CROCKETT,KEVIN",,,,,,,"REBOUND DEF by CROCKETT,KEVIN",2
12:26,"GOOD 3PTR by NICHOLS,TERRANCE",72 (+34),,38,,GENESEO 72-38 (-34),,"GOOD 3PTR by NICHOLS,TERRANCE",2
--,"ASSIST  by CROCKETT,KEVIN",,,,,,,"ASSIST  by CROCKETT,KEVIN",2
12:10,,,,,"MISS LAYUP by BATES,JACOB",,,"MISS LAYUP by BATES,JACOB",2
12:10,"BLOCK  by NICHOLS,TERRANCE",,,,,,,"BLOCK  by NICHOLS,TERRANCE",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
12:10,"SUB IN by COHEN,JONATHAN",,,,,,,"SUB IN by COHEN,JONATHAN",2
12:10,"SUB OUT by DECKER,JOHN",,,,,,,"SUB OUT by DECKER,JOHN",2
12:07,,,,,"MISS JUMPER by BATES,JACOB",,,"MISS JUMPER by BATES,JACOB",2
--,"REBOUND DEF by EASTMAN,TOMMY",,,,,,,"REBOUND DEF by EASTMAN,TOMMY",2
11:40,,,,,"FOUL  by GRUBER,SAM",,,"FOUL  by GRUBER,SAM",2
11:40,"GOOD FT by CROCKETT,KEVIN",73 (+35),,38,,GENESEO 73-38 (-35),,"GOOD FT by CROCKETT,KEVIN",2
11:40,"GOOD FT by CROCKETT,KEVIN",74 (+36),,38,,GENESEO 74-38 (-36),,"GOOD FT by CROCKETT,KEVIN",2
11:40,"SUB IN by RINGEN,JUSTIN",,,,,,,"SUB IN by RINGEN,JUSTIN",2
11:40,"SUB OUT by CROCKETT,KEVIN",,,,,,,"SUB OUT by CROCKETT,KEVIN",2
11:32,,,,,"MISS JUMPER by AYERS,PERRY",,,"MISS JUMPER by AYERS,PERRY",2
--,"REBOUND DEF by EASTMAN,TOMMY",,,,,,,"REBOUND DEF by EASTMAN,TOMMY",2
11:05,"GOOD 3PTR by RINGEN,JUSTIN",77 (+39),,38,,GENESEO 77-38 (-39),,"GOOD 3PTR by RINGEN,JUSTIN",2
--,"ASSIST  by NICHOLS,TERRANCE",,,,,,,"ASSIST  by NICHOLS,TERRANCE",2
10:56,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
10:56,,,,,"SUB IN by JONES,BRETT",,,"SUB IN by JONES,BRETT",2
10:56,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",2
10:47,,77 (+36),,41,"GOOD 3PTR by WALKER,ART",CENTRE-M 77-41 (-36),,"GOOD 3PTR by WALKER,ART",2
--,,,,,"ASSIST  by JONES,BRETT",,,"ASSIST  by JONES,BRETT",2
10:20,"GOOD 3PTR by RINGEN,JUSTIN",80 (+39),,41,,GENESEO 80-41 (-39),,"GOOD 3PTR by RINGEN,JUSTIN",2
--,"ASSIST  by COHEN,JONATHAN",,,,,,,"ASSIST  by COHEN,JONATHAN",2
09:58,,80 (+36),,44,"GOOD 3PTR by GUMP,MATT",CENTRE-M 80-44 (-36),,"GOOD 3PTR by GUMP,MATT",2
--,,,,,"ASSIST  by BATES,JACOB",,,"ASSIST  by BATES,JACOB",2
09:42,"TURNOVER  by RINGEN,JUSTIN",,,,,,,"TURNOVER  by RINGEN,JUSTIN",2
09:40,,,,,"STEAL  by BATES,JACOB",,,"STEAL  by BATES,JACOB",2
09:37,,80 (+33),,47,"GOOD 3PTR by JONES,BRETT",CENTRE-M 80-47 (-33),,"GOOD 3PTR by JONES,BRETT",2
--,,,,,"ASSIST  by BATES,JACOB",,,"ASSIST  by BATES,JACOB",2
09:17,"GOOD JUMPER by MENKHORST,JORDI(in the paint)",82 (+35),,47,,GENESEO 82-47 (-35),,"GOOD JUMPER by MENKHORST,JORDI(in the paint)",2
--,"ASSIST  by RINGEN,JUSTIN",,,,,,,"ASSIST  by RINGEN,JUSTIN",2
09:00,,,,,"TURNOVER  by JONES,BRETT",,,"TURNOVER  by JONES,BRETT",2
09:00,"SUB IN by BURKE,CJ",,,,,,,"SUB IN by BURKE,CJ",2
09:00,"SUB IN by ROGERS,TERENCE",,,,,,,"SUB IN by ROGERS,TERENCE",2
09:00,"SUB OUT by EASTMAN,TOMMY",,,,,,,"SUB OUT by EASTMAN,TOMMY",2
09:00,"SUB OUT by NICHOLS,TERRANCE",,,,,,,"SUB OUT by NICHOLS,TERRANCE",2
09:00,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",2
09:00,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",2
08:53,"GOOD LAYUP by BURKE,CJ(in the paint)",84 (+37),,47,,GENESEO 84-47 (-37),,"GOOD LAYUP by BURKE,CJ(in the paint)",2
--,"ASSIST  by MENKHORST,JORDI",,,,,,,"ASSIST  by MENKHORST,JORDI",2
08:44,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
08:43,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",2
08:43,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",2
08:35,"MISS 3PTR by COHEN,JONATHAN",,,,,,,"MISS 3PTR by COHEN,JONATHAN",2
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",2
08:29,,,,,"MISS 3PTR by JONES,BRETT",,,"MISS 3PTR by JONES,BRETT",2
--,"REBOUND DEF by ROGERS,TERENCE",,,,,,,"REBOUND DEF by ROGERS,TERENCE",2
08:14,"GOOD 3PTR by COHEN,JONATHAN",87 (+40),,47,,GENESEO 87-47 (-40),,"GOOD 3PTR by COHEN,JONATHAN",2
--,"ASSIST  by BURKE,CJ",,,,,,,"ASSIST  by BURKE,CJ",2
07:58,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
07:58,"SUB IN by CROWLEY,SEAN",,,,,,,"SUB IN by CROWLEY,SEAN",2
07:58,"SUB IN by EASTMAN,TOMMY",,,,,,,"SUB IN by EASTMAN,TOMMY",2
07:58,"SUB OUT by MENKHORST,JORDI",,,,,,,"SUB OUT by MENKHORST,JORDI",2
07:58,"SUB OUT by RINGEN,JUSTIN",,,,,,,"SUB OUT by RINGEN,JUSTIN",2
07:46,,,,,"MISS JUMPER by WALKER,ART",,,"MISS JUMPER by WALKER,ART",2
--,"REBOUND DEF by COHEN,JONATHAN",,,,,,,"REBOUND DEF by COHEN,JONATHAN",2
07:32,"MISS 3PTR by EASTMAN,TOMMY",,,,,,,"MISS 3PTR by EASTMAN,TOMMY",2
--,,,,,"REBOUND DEF by SPITZER,JAKOB",,,"REBOUND DEF by SPITZER,JAKOB",2
07:15,,,,,"MISS LAYUP by SINE,TUCKER",,,"MISS LAYUP by SINE,TUCKER",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
07:13,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",2
07:13,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",2
06:49,"TURNOVER  by CROWLEY,SEAN",,,,,,,"TURNOVER  by CROWLEY,SEAN",2
06:48,,,,,"STEAL  by JONES,BRETT",,,"STEAL  by JONES,BRETT",2
06:44,,87 (+37),,50,"GOOD 3PTR by JONES,BRETT",CENTRE-M 87-50 (-37),,"GOOD 3PTR by JONES,BRETT",2
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",2
06:21,"TURNOVER  by ROGERS,TERENCE",,,,,,,"TURNOVER  by ROGERS,TERENCE",2
06:19,,,,,"STEAL  by GRIFFIN,JAROD",,,"STEAL  by GRIFFIN,JAROD",2
06:08,"FOUL  by CROWLEY,SEAN",,,,,,,"FOUL  by CROWLEY,SEAN",2
06:08,,87 (+36),,51,"GOOD FT by SPITZER,JAKOB",CENTRE-M 87-51 (-36),,"GOOD FT by SPITZER,JAKOB",2
06:08,,,,,"MISS FT by SPITZER,JAKOB",,,"MISS FT by SPITZER,JAKOB",2
--,,,,,"REBOUND OFF by SINE,TUCKER",,,"REBOUND OFF by SINE,TUCKER",2
05:50,,87 (+34),,53,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",CENTRE-M 87-53 (-34),,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",2
05:20,"TURNOVER  by BURKE,CJ",,,,,,,"TURNOVER  by BURKE,CJ",2
05:20,,,,,"STEAL  by GRIFFIN,JAROD",,,"STEAL  by GRIFFIN,JAROD",2
05:20,"FOUL  by BURKE,CJ",,,,,,,"FOUL  by BURKE,CJ",2
05:20,"SUB OUT by CROWLEY,SEAN",,,,,,,"SUB OUT by CROWLEY,SEAN",2
05:20,"SUB OUT by BURKE,CJ",,,,,,,"SUB OUT by BURKE,CJ",2
05:20,"SUB OUT by ROGERS,TERENCE",,,,,,,"SUB OUT by ROGERS,TERENCE",2
05:20,,,,,"SUB IN by MERCER,DUNCAN",,,"SUB IN by MERCER,DUNCAN",2
05:20,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",2
05:20,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",2
05:20,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",2
05:18,,87 (+32),,55,"GOOD JUMPER by JONES,BRETT(in the paint)",CENTRE-M 87-55 (-32),,"GOOD JUMPER by JONES,BRETT(in the paint)",2
05:04,"GOOD LAYUP by EASTMAN,TOMMY(in the paint)",89 (+34),,55,,GENESEO 89-55 (-34),,"GOOD LAYUP by EASTMAN,TOMMY(in the paint)",2
--,"ASSIST  by CROWLEY,SEAN",,,,,,,"ASSIST  by CROWLEY,SEAN",2
04:47,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
04:47,"SUB IN by CROWLEY,SEAN",,,,,,,"SUB IN by CROWLEY,SEAN",2
04:47,"SUB IN by ZAEPFEL,CHARLIE",,,,,,,"SUB IN by ZAEPFEL,CHARLIE",2
04:47,"SUB IN by BURKE,CJ",,,,,,,"SUB IN by BURKE,CJ",2
04:47,,,,,"SUB IN by CAVANAUGH,CHASE",,,"SUB IN by CAVANAUGH,CHASE",2
04:47,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",2
04:28,,,,,"TURNOVER  by CAVANAUGH,CHASE",,,"TURNOVER  by CAVANAUGH,CHASE",2
04:26,"STEAL  by EASTMAN,TOMMY",,,,,,,"STEAL  by EASTMAN,TOMMY",2
04:15,,,,,"FOUL  by CAVANAUGH,CHASE",,,"FOUL  by CAVANAUGH,CHASE",2
04:15,"SUB IN by AVERY,SEAN",,,,,,,"SUB IN by AVERY,SEAN",2
04:15,"SUB IN by NICHOLS,TERRANCE",,,,,,,"SUB IN by NICHOLS,TERRANCE",2
04:15,"SUB OUT by CROWLEY,SEAN",,,,,,,"SUB OUT by CROWLEY,SEAN",2
04:15,"SUB OUT by COHEN,JONATHAN",,,,,,,"SUB OUT by COHEN,JONATHAN",2
03:47,"MISS 3PTR by BURKE,CJ",,,,,,,"MISS 3PTR by BURKE,CJ",2
--,"REBOUND OFF by AVERY,SEAN",,,,,,,"REBOUND OFF by AVERY,SEAN",2
03:29,"TURNOVER  by AVERY,SEAN",,,,,,,"TURNOVER  by AVERY,SEAN",2
03:29,,,,,"STEAL  by JONES,BRETT",,,"STEAL  by JONES,BRETT",2
03:29,"FOUL  by AVERY,SEAN",,,,,,,"FOUL  by AVERY,SEAN",2
03:18,,89 (+32),,57,"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",CENTRE-M 89-57 (-32),,"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",2
02:59,"MISS LAYUP by ZAEPFEL,CHARLIE",,,,,,,"MISS LAYUP by ZAEPFEL,CHARLIE",2
--,,,,,"REBOUND DEF by MERCER,DUNCAN",,,"REBOUND DEF by MERCER,DUNCAN",2
02:43,,89 (+30),,59,"GOOD LAYUP by MERCER,DUNCAN(in the paint)",CENTRE-M 89-59 (-30),,"GOOD LAYUP by MERCER,DUNCAN(in the paint)",2
--,,,,,"ASSIST  by GRUBER,SAM",,,"ASSIST  by GRUBER,SAM",2
02:19,,,,,"FOUL  by GRUBER,SAM",,,"FOUL  by GRUBER,SAM",2
02:19,"MISS FT by EASTMAN,TOMMY",,,,,,,"MISS FT by EASTMAN,TOMMY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
02:19,"GOOD FT by EASTMAN,TOMMY",90 (+31),,59,,GENESEO 90-59 (-31),,"GOOD FT by EASTMAN,TOMMY",2
02:19,"SUB IN by MCVEETY,CHRIS",,,,,,,"SUB IN by MCVEETY,CHRIS",2
02:19,"SUB IN by MURPHY,CONNOR",,,,,,,"SUB IN by MURPHY,CONNOR",2
02:19,"SUB IN by ROGERS,TERENCE",,,,,,,"SUB IN by ROGERS,TERENCE",2
02:19,"SUB OUT by EASTMAN,TOMMY",,,,,,,"SUB OUT by EASTMAN,TOMMY",2
02:19,"SUB OUT by BURKE,CJ",,,,,,,"SUB OUT by BURKE,CJ",2
02:19,"SUB OUT by NICHOLS,TERRANCE",,,,,,,"SUB OUT by NICHOLS,TERRANCE",2
02:19,,,,,"SUB IN by MORETTE,MATT",,,"SUB IN by MORETTE,MATT",2
02:19,,,,,"SUB IN by DUNAWAY,MICHAEL",,,"SUB IN by DUNAWAY,MICHAEL",2
02:19,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",2
02:19,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",2
02:08,,,,,"TURNOVER  by CAVANAUGH,CHASE",,,"TURNOVER  by CAVANAUGH,CHASE",2
02:07,"STEAL  by ZAEPFEL,CHARLIE",,,,,,,"STEAL  by ZAEPFEL,CHARLIE",2
01:47,"MISS LAYUP by AVERY,SEAN",,,,,,,"MISS LAYUP by AVERY,SEAN",2
--,,,,,"REBOUND DEF by MORETTE,MATT",,,"REBOUND DEF by MORETTE,MATT",2
01:31,,90 (+29),,61,"GOOD LAYUP by DUNAWAY,MICHAEL(in the paint)",CENTRE-M 90-61 (-29),,"GOOD LAYUP by DUNAWAY,MICHAEL(in the paint)",2
--,,,,,"ASSIST  by MORETTE,MATT",,,"ASSIST  by MORETTE,MATT",2
01:21,"MISS LAYUP by ZAEPFEL,CHARLIE",,,,,,,"MISS LAYUP by ZAEPFEL,CHARLIE",2
--,"REBOUND OFF by MCVEETY,CHRIS",,,,,,,"REBOUND OFF by MCVEETY,CHRIS",2
01:17,"MISS 3PTR by MURPHY,CONNOR",,,,,,,"MISS 3PTR by MURPHY,CONNOR",2
--,"REBOUND OFF by AVERY,SEAN",,,,,,,"REBOUND OFF by AVERY,SEAN",2
01:07,"TURNOVER  by MCVEETY,CHRIS",,,,,,,"TURNOVER  by MCVEETY,CHRIS",2
01:06,,,,,"STEAL  by CAVANAUGH,CHASE",,,"STEAL  by CAVANAUGH,CHASE",2
01:04,,90 (+27),,63,"GOOD LAYUP by CAVANAUGH,CHASE(fastbreak)(in the paint)",CENTRE-M 90-63 (-27),,"GOOD LAYUP by CAVANAUGH,CHASE(fastbreak)(in the paint)",2
00:42,"GOOD LAYUP by ZAEPFEL,CHARLIE(in the paint)",92 (+29),,63,,GENESEO 92-63 (-29),,"GOOD LAYUP by ZAEPFEL,CHARLIE(in the paint)",2
00:16,,,,,"TURNOVER  by DUNAWAY,MICHAEL",,,"TURNOVER  by DUNAWAY,MICHAEL",2
00:15,"STEAL  by MURPHY,CONNOR",,,,,,,"STEAL  by MURPHY,CONNOR",2
00:11,"GOOD LAYUP by ROGERS,TERENCE(fastbreak)(in the paint)",94 (+31),,63,,GENESEO 94-63 (-31),,"GOOD LAYUP by ROGERS,TERENCE(fastbreak)(in the paint)",2
--,"ASSIST  by MURPHY,CONNOR",,,,,,,"ASSIST  by MURPHY,CONNOR",2
00:04,,94 (+28),,66,"GOOD 3PTR by DUNAWAY,MICHAEL",CENTRE-M 94-66 (-28),,"GOOD 3PTR by DUNAWAY,MICHAEL",2
