Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,CWR-M,Game Score,Team Indicator,Play,Period
16:28,,,,,"TURNOVER  by SINACOLA,JON PAUL",,,"TURNOVER  by SINACOLA,JON PAUL",1
16:27,"STEAL  by SINE,TUCKER",,,,,,,"STEAL  by SINE,TUCKER",1
16:26,"GOOD LAYUP by SINE,TUCKER(fastbreak)(in the paint)",9 (+4),,5,,CENTRE-M 9-5 (+4),,"GOOD LAYUP by SINE,TUCKER(fastbreak)(in the paint)",1
16:04,,,,,"TURNOVER  by LAVIS,JAKE",,,"TURNOVER  by LAVIS,JAKE",1
16:04,,,,,"SUB IN by DUCKETT,TJ",,,"SUB IN by DUCKETT,TJ",1
16:04,,,,,"SUB IN by HANSEN,SAM",,,"SUB IN by HANSEN,SAM",1
16:04,,,,,"SUB IN by ZUCKER,COLIN",,,"SUB IN by ZUCKER,COLIN",1
16:04,,,,,"SUB IN by ALVAREZ,JAVIER",,,"SUB IN by ALVAREZ,JAVIER",1
16:04,,,,,"SUB OUT by NALLY,CONNOR",,,"SUB OUT by NALLY,CONNOR",1
16:04,,,,,"SUB OUT by SINACOLA,JON PAUL",,,"SUB OUT by SINACOLA,JON PAUL",1
16:04,,,,,"SUB OUT by ALOI,NICK",,,"SUB OUT by ALOI,NICK",1
16:04,,,,,"SUB OUT by LAVIS,JAKE",,,"SUB OUT by LAVIS,JAKE",1
15:52,"GOOD 3PTR by SINE,TUCKER",12 (+7),,5,,CENTRE-M 12-5 (+7),,"GOOD 3PTR by SINE,TUCKER",1
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",1
15:31,,,,,"MISS JUMPER by ZUCKER,COLIN",,,"MISS JUMPER by ZUCKER,COLIN",1
--,,,,,"REBOUND OFF by DUCKETT,TJ",,,"REBOUND OFF by DUCKETT,TJ",1
15:27,,12 (+5),,7,"GOOD LAYUP by DUCKETT,TJ(in the paint)",CWR-M 12-7 (+5),,"GOOD LAYUP by DUCKETT,TJ(in the paint)",1
15:27,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",1
15:27,,12 (+4),,8,"GOOD FT by DUCKETT,TJ",CWR-M 12-8 (+4),,"GOOD FT by DUCKETT,TJ",1
15:27,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
15:27,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
15:09,"MISS LAYUP by GUMP,MATT",,,,,,,"MISS LAYUP by GUMP,MATT",1
15:09,,,,,"BLOCK  by DUCKETT,TJ",,,"BLOCK  by DUCKETT,TJ",1
--,"REBOUND OFF by GUMP,MATT",,,,,,,"REBOUND OFF by GUMP,MATT",1
15:01,"GOOD JUMPER by RAKES,BAILEY",14 (+6),,8,,CENTRE-M 14-8 (+6),,"GOOD JUMPER by RAKES,BAILEY",1
14:33,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
14:33,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
14:33,"SUB IN by JONES,BRETT",,,,,,,"SUB IN by JONES,BRETT",1
14:33,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
14:33,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
14:33,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
14:24,,,,,"MISS LAYUP by BLACK,ERIC",,,"MISS LAYUP by BLACK,ERIC",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
14:18,"GOOD 3PTR by SINE,TUCKER",17 (+9),,8,,CENTRE-M 17-8 (+9),,"GOOD 3PTR by SINE,TUCKER",1
13:58,,,,,"MISS LAYUP by BLACK,ERIC",,,"MISS LAYUP by BLACK,ERIC",1
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",1
13:51,"TURNOVER  by AYERS,PERRY",,,,,,,"TURNOVER  by AYERS,PERRY",1
13:37,,,,,"MISS LAYUP by BLACK,ERIC",,,"MISS LAYUP by BLACK,ERIC",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
13:35,,,,,"SUB IN by BLACK,DAVID",,,"SUB IN by BLACK,DAVID",1
13:35,,,,,"SUB OUT by BLACK,ERIC",,,"SUB OUT by BLACK,ERIC",1
13:17,"GOOD 3PTR by SINE,TUCKER",20 (+12),,8,,CENTRE-M 20-8 (+12),,"GOOD 3PTR by SINE,TUCKER",1
13:00,,20 (+10),,10,"GOOD DUNK by DUCKETT,TJ(in the paint)",CWR-M 20-10 (+10),,"GOOD DUNK by DUCKETT,TJ(in the paint)",1
--,,,,,"ASSIST  by ALVAREZ,JAVIER",,,"ASSIST  by ALVAREZ,JAVIER",1
12:41,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",1
--,,,,,"REBOUND DEF by ZUCKER,COLIN",,,"REBOUND DEF by ZUCKER,COLIN",1
12:33,,20 (+7),,13,"GOOD 3PTR by BLACK,DAVID",CWR-M 20-13 (+7),,"GOOD 3PTR by BLACK,DAVID",1
--,,,,,"ASSIST  by ZUCKER,COLIN",,,"ASSIST  by ZUCKER,COLIN",1
12:08,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",1
--,,,,,"REBOUND DEF by HANSEN,SAM",,,"REBOUND DEF by HANSEN,SAM",1
11:56,,20 (+5),,15,"GOOD LAYUP by DUCKETT,TJ(in the paint)",CWR-M 20-15 (+5),,"GOOD LAYUP by DUCKETT,TJ(in the paint)",1
--,,,,,"ASSIST  by HANSEN,SAM",,,"ASSIST  by HANSEN,SAM",1
11:35,"GOOD LAYUP by AYERS,PERRY(in the paint)",22 (+7),,15,,CENTRE-M 22-15 (+7),,"GOOD LAYUP by AYERS,PERRY(in the paint)",1
11:23,,22 (+5),,17,"GOOD JUMPER by BLACK,DAVID",CWR-M 22-17 (+5),,"GOOD JUMPER by BLACK,DAVID",1
--,,,,,"ASSIST  by HANSEN,SAM",,,"ASSIST  by HANSEN,SAM",1
11:03,"GOOD JUMPER by SINE,TUCKER",24 (+7),,17,,CENTRE-M 24-17 (+7),,"GOOD JUMPER by SINE,TUCKER",1
10:47,,,,,"MISS LAYUP by DUCKETT,TJ",,,"MISS LAYUP by DUCKETT,TJ",1
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",1
10:23,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",1
--,,,,,"REBOUND DEF by ZUCKER,COLIN",,,"REBOUND DEF by ZUCKER,COLIN",1
10:10,,24 (+4),,20,"GOOD 3PTR by ZUCKER,COLIN",CWR-M 24-20 (+4),,"GOOD 3PTR by ZUCKER,COLIN",1
--,,,,,"ASSIST  by ALVAREZ,JAVIER",,,"ASSIST  by ALVAREZ,JAVIER",1
09:46,"MISS LAYUP by SCHMUCKER,ZACH",,,,,,,"MISS LAYUP by SCHMUCKER,ZACH",1
09:46,,,,,"BLOCK  by BLACK,DAVID",,,"BLOCK  by BLACK,DAVID",1
--,,,,,"REBOUND DEF by DUCKETT,TJ",,,"REBOUND DEF by DUCKETT,TJ",1
09:35,,24 (+1),,23,"GOOD 3PTR by HANSEN,SAM",CWR-M 24-23 (+1),,"GOOD 3PTR by HANSEN,SAM",1
--,,,,,"ASSIST  by BLACK,DAVID",,,"ASSIST  by BLACK,DAVID",1
09:35,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
09:35,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
09:35,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
09:35,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
09:35,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
09:35,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
09:35,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
09:35,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
09:35,"SUB OUT by JONES,BRETT",,,,,,,"SUB OUT by JONES,BRETT",1
09:08,"MISS JUMPER by WALKER,ART",,,,,,,"MISS JUMPER by WALKER,ART",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
08:59,"MISS JUMPER by GUMP,MATT",,,,,,,"MISS JUMPER by GUMP,MATT",1
--,,,,,"REBOUND DEF by BLACK,DAVID",,,"REBOUND DEF by BLACK,DAVID",1
08:48,,,,,"MISS JUMPER by BLACK,DAVID",,,"MISS JUMPER by BLACK,DAVID",1
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",1
08:25,"TURNOVER  by RAKES,BAILEY",,,,,,,"TURNOVER  by RAKES,BAILEY",1
08:24,,,,,"STEAL  by HANSEN,SAM",,,"STEAL  by HANSEN,SAM",1
08:08,,24,,25 (+1),"GOOD LAYUP by DUCKETT,TJ(in the paint)",CWR-M 24-25 (-1),,"GOOD LAYUP by DUCKETT,TJ(in the paint)",1
--,,,,,"ASSIST  by BLACK,DAVID",,,"ASSIST  by BLACK,DAVID",1
07:52,"GOOD 3PTR by GRIFFIN,JAROD",27 (+2),,25,,CENTRE-M 27-25 (+2),,"GOOD 3PTR by GRIFFIN,JAROD",1
--,"ASSIST  by RAKES,BAILEY",,,,,,,"ASSIST  by RAKES,BAILEY",1
07:32,,27,,28 (+1),"GOOD 3PTR by HANSEN,SAM",CWR-M 27-28 (-1),,"GOOD 3PTR by HANSEN,SAM",1
--,,,,,"ASSIST  by BLACK,DAVID",,,"ASSIST  by BLACK,DAVID",1
07:17,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",1
--,,,,,"REBOUND DEF by DUCKETT,TJ",,,"REBOUND DEF by DUCKETT,TJ",1
07:03,,27,,30 (+3),"GOOD LAYUP by BLACK,DAVID(in the paint)",CWR-M 27-30 (-3),,"GOOD LAYUP by BLACK,DAVID(in the paint)",1
--,,,,,"ASSIST  by ALVAREZ,JAVIER",,,"ASSIST  by ALVAREZ,JAVIER",1
06:36,"MISS JUMPER by RAKES,BAILEY",,,,,,,"MISS JUMPER by RAKES,BAILEY",1
--,,,,,"REBOUND DEF by HANSEN,SAM",,,"REBOUND DEF by HANSEN,SAM",1
06:23,,,,,"MISS LAYUP by BLACK,DAVID",,,"MISS LAYUP by BLACK,DAVID",1
06:23,"BLOCK  by BATES,JACOB",,,,,,,"BLOCK  by BATES,JACOB",1
--,"REBOUND DEF by GRIFFIN,JAROD",,,,,,,"REBOUND DEF by GRIFFIN,JAROD",1
06:15,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",1
--,,,,,"REBOUND DEF by BLACK,DAVID",,,"REBOUND DEF by BLACK,DAVID",1
06:11,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
06:11,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
06:11,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",1
06:11,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
06:11,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
06:11,,,,,"SUB IN by MCINTOSH,KYLE",,,"SUB IN by MCINTOSH,KYLE",1
06:11,,,,,"SUB IN by BLACK,ERIC",,,"SUB IN by BLACK,ERIC",1
06:11,,,,,"SUB IN by ALOI,NICK",,,"SUB IN by ALOI,NICK",1
06:11,,,,,"SUB IN by LAVIS,JAKE",,,"SUB IN by LAVIS,JAKE",1
06:11,,,,,"SUB OUT by DUCKETT,TJ",,,"SUB OUT by DUCKETT,TJ",1
06:11,,,,,"SUB OUT by BLACK,DAVID",,,"SUB OUT by BLACK,DAVID",1
06:11,,,,,"SUB OUT by ZUCKER,COLIN",,,"SUB OUT by ZUCKER,COLIN",1
06:11,,,,,"SUB OUT by ALVAREZ,JAVIER",,,"SUB OUT by ALVAREZ,JAVIER",1
05:52,,,,,"MISS 3PTR by HANSEN,SAM",,,"MISS 3PTR by HANSEN,SAM",1
--,,,,,"REBOUND OFF by LAVIS,JAKE",,,"REBOUND OFF by LAVIS,JAKE",1
05:23,,,,,"TURNOVER  by ALOI,NICK",,,"TURNOVER  by ALOI,NICK",1
05:23,,,,,"FOUL  by ALOI,NICK",,,"FOUL  by ALOI,NICK",1
04:53,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",1
--,,,,,"REBOUND DEF by BLACK,ERIC",,,"REBOUND DEF by BLACK,ERIC",1
04:41,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",1
04:41,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
04:41,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
04:41,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
04:41,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
04:23,,27,,32 (+5),"GOOD JUMPER by LAVIS,JAKE",CWR-M 27-32 (-5),,"GOOD JUMPER by LAVIS,JAKE",1
04:02,"GOOD 3PTR by GRUBER,SAM",30,,32 (+2),,CENTRE-M 30-32 (-2),,"GOOD 3PTR by GRUBER,SAM",1
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",1
03:48,,,,,"MISS 3PTR by LAVIS,JAKE",,,"MISS 3PTR by LAVIS,JAKE",1
--,"REBOUND DEF by SCHMUCKER,ZACH",,,,,,,"REBOUND DEF by SCHMUCKER,ZACH",1
03:35,"MISS LAYUP by GRIFFIN,JAROD",,,,,,,"MISS LAYUP by GRIFFIN,JAROD",1
--,,,,,"REBOUND DEF by ALOI,NICK",,,"REBOUND DEF by ALOI,NICK",1
03:07,,30,,34 (+4),"GOOD LAYUP by LAVIS,JAKE(in the paint)",CWR-M 30-34 (-4),,"GOOD LAYUP by LAVIS,JAKE(in the paint)",1
02:49,"MISS 3PTR by GRUBER,SAM",,,,,,,"MISS 3PTR by GRUBER,SAM",1
--,,,,,"REBOUND DEF by MCINTOSH,KYLE",,,"REBOUND DEF by MCINTOSH,KYLE",1
02:35,,30,,36 (+6),"GOOD LAYUP by BLACK,ERIC(in the paint)",CWR-M 30-36 (-6),,"GOOD LAYUP by BLACK,ERIC(in the paint)",1
--,,,,,"ASSIST  by LAVIS,JAKE",,,"ASSIST  by LAVIS,JAKE",1
02:34,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
02:34,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
02:34,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
02:34,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
02:34,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
02:34,,,,,"SUB IN by ZUCKER,COLIN",,,"SUB IN by ZUCKER,COLIN",1
02:34,,,,,"SUB OUT by HANSEN,SAM",,,"SUB OUT by HANSEN,SAM",1
02:15,"MISS LAYUP by AYERS,PERRY",,,,,,,"MISS LAYUP by AYERS,PERRY",1
--,"REBOUND OFF by AYERS,PERRY",,,,,,,"REBOUND OFF by AYERS,PERRY",1
02:13,"GOOD LAYUP by AYERS,PERRY(in the paint)",32,,36 (+4),,CENTRE-M 32-36 (-4),,"GOOD LAYUP by AYERS,PERRY(in the paint)",1
01:59,,32,,38 (+6),"GOOD JUMPER by ALOI,NICK",CWR-M 32-38 (-6),,"GOOD JUMPER by ALOI,NICK",1
01:40,"MISS 3PTR by AYERS,PERRY",,,,,,,"MISS 3PTR by AYERS,PERRY",1
--,,,,,"REBOUND DEF by LAVIS,JAKE",,,"REBOUND DEF by LAVIS,JAKE",1
01:30,,,,,"TURNOVER  by BLACK,ERIC",,,"TURNOVER  by BLACK,ERIC",1
01:30,,,,,"FOUL  by BLACK,ERIC",,,"FOUL  by BLACK,ERIC",1
01:30,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
01:30,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
01:30,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
01:30,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",1
01:30,,,,,"SUB IN by ALVAREZ,JAVIER",,,"SUB IN by ALVAREZ,JAVIER",1
01:30,,,,,"SUB OUT by MCINTOSH,KYLE",,,"SUB OUT by MCINTOSH,KYLE",1
01:17,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",1
--,,,,,"REBOUND DEF by BLACK,ERIC",,,"REBOUND DEF by BLACK,ERIC",1
01:10,,32,,41 (+9),"GOOD 3PTR by ZUCKER,COLIN",CWR-M 32-41 (-9),,"GOOD 3PTR by ZUCKER,COLIN",1
--,,,,,"ASSIST  by ALOI,NICK",,,"ASSIST  by ALOI,NICK",1
00:43,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
00:43,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
00:38,,,,,"FOUL  by LAVIS,JAKE",,,"FOUL  by LAVIS,JAKE",1
00:38,"GOOD FT by GRIFFIN,JAROD",33,,41 (+8),,CENTRE-M 33-41 (-8),,"GOOD FT by GRIFFIN,JAROD",1
00:38,"MISS FT by GRIFFIN,JAROD",,,,,,,"MISS FT by GRIFFIN,JAROD",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
00:38,"GOOD FT by GRIFFIN,JAROD",34,,41 (+7),,CENTRE-M 34-41 (-7),,"GOOD FT by GRIFFIN,JAROD",1
00:38,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
00:38,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
00:38,,,,,"SUB IN by BLACK,DAVID",,,"SUB IN by BLACK,DAVID",1
00:38,,,,,"SUB OUT by LAVIS,JAKE",,,"SUB OUT by LAVIS,JAKE",1
00:10,,34,,44 (+10),"GOOD 3PTR by BLACK,DAVID",CWR-M 34-44 (-10),,"GOOD 3PTR by BLACK,DAVID",1
--,,,,,"ASSIST  by ALVAREZ,JAVIER",,,"ASSIST  by ALVAREZ,JAVIER",1
00:02,"GOOD 3PTR by SINE,TUCKER",37,,44 (+7),,CENTRE-M 37-44 (-7),,"GOOD 3PTR by SINE,TUCKER",1
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",1
19:45,"GOOD 3PTR by SINE,TUCKER",40,,44 (+4),,CENTRE-M 40-44 (-4),,"GOOD 3PTR by SINE,TUCKER",2
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",2
19:26,,,,,"MISS LAYUP by DUCKETT,TJ",,,"MISS LAYUP by DUCKETT,TJ",2
--,,,,,"REBOUND OFF by DUCKETT,TJ",,,"REBOUND OFF by DUCKETT,TJ",2
19:23,,40,,46 (+6),"GOOD LAYUP by DUCKETT,TJ(in the paint)",CWR-M 40-46 (-6),,"GOOD LAYUP by DUCKETT,TJ(in the paint)",2
19:23,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",2
19:23,,40,,47 (+7),"GOOD FT by DUCKETT,TJ",CWR-M 40-47 (-7),,"GOOD FT by DUCKETT,TJ",2
19:15,"MISS JUMPER by SINE,TUCKER",,,,,,,"MISS JUMPER by SINE,TUCKER",2
--,,,,,"REBOUND DEF by ALVAREZ,JAVIER",,,"REBOUND DEF by ALVAREZ,JAVIER",2
19:05,,,,,"MISS 3PTR by BLACK,DAVID",,,"MISS 3PTR by BLACK,DAVID",2
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",2
18:45,"MISS LAYUP by SPITZER,JAKOB",,,,,,,"MISS LAYUP by SPITZER,JAKOB",2
18:45,,,,,"BLOCK  by BLACK,DAVID",,,"BLOCK  by BLACK,DAVID",2
--,,,,,"REBOUND DEF by DUCKETT,TJ",,,"REBOUND DEF by DUCKETT,TJ",2
18:26,,,,,"MISS 3PTR by HANSEN,SAM",,,"MISS 3PTR by HANSEN,SAM",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
17:56,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",42,,47 (+5),,CENTRE-M 42-47 (-5),,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",2
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",2
17:37,,42,,50 (+8),"GOOD 3PTR by ALVAREZ,JAVIER",CWR-M 42-50 (-8),,"GOOD 3PTR by ALVAREZ,JAVIER",2
--,,,,,"ASSIST  by ZUCKER,COLIN",,,"ASSIST  by ZUCKER,COLIN",2
17:17,"GOOD 3PTR by GRIFFIN,JAROD",45,,50 (+5),,CENTRE-M 45-50 (-5),,"GOOD 3PTR by GRIFFIN,JAROD",2
--,"ASSIST  by SINE,TUCKER",,,,,,,"ASSIST  by SINE,TUCKER",2
17:00,,,,,"MISS LAYUP by ALVAREZ,JAVIER",,,"MISS LAYUP by ALVAREZ,JAVIER",2
--,"REBOUND DEF by SPITZER,JAKOB",,,,,,,"REBOUND DEF by SPITZER,JAKOB",2
16:47,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",2
--,,,,,"REBOUND DEF by DUCKETT,TJ",,,"REBOUND DEF by DUCKETT,TJ",2
16:32,,,,,"MISS 3PTR by ZUCKER,COLIN",,,"MISS 3PTR by ZUCKER,COLIN",2
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",2
16:27,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",2
16:27,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",2
16:16,"GOOD JUMPER by SINE,TUCKER",47,,50 (+3),,CENTRE-M 47-50 (-3),,"GOOD JUMPER by SINE,TUCKER",2
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",2
16:01,,47,,53 (+6),"GOOD 3PTR by BLACK,DAVID",CWR-M 47-53 (-6),,"GOOD 3PTR by BLACK,DAVID",2
--,,,,,"ASSIST  by ALVAREZ,JAVIER",,,"ASSIST  by ALVAREZ,JAVIER",2
15:38,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",2
--,,,,,"REBOUND DEF by HANSEN,SAM",,,"REBOUND DEF by HANSEN,SAM",2
15:21,,,,,"MISS 3PTR by HANSEN,SAM",,,"MISS 3PTR by HANSEN,SAM",2
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",2
15:01,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",49,,53 (+4),,CENTRE-M 49-53 (-4),,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",2
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",2
14:40,,,,,"MISS JUMPER by BLACK,DAVID",,,"MISS JUMPER by BLACK,DAVID",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
14:38,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",2
14:38,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",2
14:38,"SUB IN by JONES,BRETT",,,,,,,"SUB IN by JONES,BRETT",2
14:38,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",2
