Time Remaining,FCMBB,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-M,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by SPITZER,JAKOB",,,"REBOUND DEF by SPITZER,JAKOB",1
15:49,,5,,12 (+7),"GOOD 3PTR by GRIFFIN,JAROD(fastbreak)",CENTRE-M 5-12 (+7),,"GOOD 3PTR by GRIFFIN,JAROD(fastbreak)",1
15:41,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
15:41,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",1
15:41,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
15:41,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",1
15:41,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",1
15:41,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",1
15:41,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",1
15:39,"MISS 3PTR by PRATHER,ROBBIE",,,,,,,"MISS 3PTR by PRATHER,ROBBIE",1
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",1
15:19,,5,,14 (+9),"GOOD JUMPER by RAKES,BAILEY",CENTRE-M 5-14 (+9),,"GOOD JUMPER by RAKES,BAILEY",1
15:07,"GOOD JUMPER by BEINEKE,JOHN(in the paint)",7,,14 (+7),,FCMBB 7-14 (+7),,"GOOD JUMPER by BEINEKE,JOHN(in the paint)",1
14:50,,7,,16 (+9),"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",CENTRE-M 7-16 (+9),,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",1
--,,,,,"ASSIST  by BATES,JACOB",,,"ASSIST  by BATES,JACOB",1
14:31,"TURNOVER  by MANN,AARON",,,,,,,"TURNOVER  by MANN,AARON",1
14:29,,,,,"STEAL  by RAKES,BAILEY",,,"STEAL  by RAKES,BAILEY",1
14:27,,,,,"MISS 3PTR by GRIFFIN,JAROD",,,"MISS 3PTR by GRIFFIN,JAROD",1
--,"REBOUND DEF by BEINEKE,JOHN",,,,,,,"REBOUND DEF by BEINEKE,JOHN",1
14:07,"GOOD JUMPER by OAKLEY,BLAKE(in the paint)",9,,16 (+7),,FCMBB 9-16 (+7),,"GOOD JUMPER by OAKLEY,BLAKE(in the paint)",1
--,"ASSIST  by MANN,AARON",,,,,,,"ASSIST  by MANN,AARON",1
13:48,"FOUL  by PRATHER,ROBBIE",,,,,,,"FOUL  by PRATHER,ROBBIE",1
13:48,"SUB IN by MORRIS,KALE",,,,,,,"SUB IN by MORRIS,KALE",1
13:48,"SUB IN by BOLES,TREY",,,,,,,"SUB IN by BOLES,TREY",1
13:48,"SUB OUT by MCCORY,BRETT",,,,,,,"SUB OUT by MCCORY,BRETT",1
13:48,"SUB OUT by MANN,AARON",,,,,,,"SUB OUT by MANN,AARON",1
13:48,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",1
13:48,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",1
13:48,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",1
13:48,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
13:26,,,,,"TURNOVER  by AYERS,PERRY",,,"TURNOVER  by AYERS,PERRY",1
13:13,"MISS JUMPER by PRATHER,ROBBIE",,,,,,,"MISS JUMPER by PRATHER,ROBBIE",1
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",1
13:02,,9,,19 (+10),"GOOD 3PTR by GRUBER,SAM",CENTRE-M 9-19 (+10),,"GOOD 3PTR by GRUBER,SAM",1
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",1
12:47,"GOOD LAYUP by BEINEKE,JOHN(in the paint)",11,,19 (+8),,FCMBB 11-19 (+8),,"GOOD LAYUP by BEINEKE,JOHN(in the paint)",1
12:24,,,,,"MISS 3PTR by GRUBER,SAM",,,"MISS 3PTR by GRUBER,SAM",1
--,"REBOUND DEF by BOLES,TREY",,,,,,,"REBOUND DEF by BOLES,TREY",1
12:11,,,,,"FOUL  by WALKER,ART",,,"FOUL  by WALKER,ART",1
12:11,"SUB IN by MEYER,KYLE",,,,,,,"SUB IN by MEYER,KYLE",1
12:11,"SUB OUT by BEINEKE,JOHN",,,,,,,"SUB OUT by BEINEKE,JOHN",1
12:11,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
12:11,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
12:08,"TURNOVER  by MORRIS,KALE",,,,,,,"TURNOVER  by MORRIS,KALE",1
11:54,"FOUL  by BOLES,TREY",,,,,,,"FOUL  by BOLES,TREY",1
11:54,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
11:54,,11,,20 (+9),"GOOD FT by WALKER,ART",CENTRE-M 11-20 (+9),,"GOOD FT by WALKER,ART",1
11:54,,,,,"MISS FT by WALKER,ART",,,"MISS FT by WALKER,ART",1
--,,,,,"REBOUND OFF by AYERS,PERRY",,,"REBOUND OFF by AYERS,PERRY",1
11:31,,,,,"MISS LAYUP by WALKER,ART",,,"MISS LAYUP by WALKER,ART",1
11:31,"BLOCK  by MEYER,KYLE",,,,,,,"BLOCK  by MEYER,KYLE",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
11:31,"SUB IN by MCCORY,BRETT",,,,,,,"SUB IN by MCCORY,BRETT",1
11:31,"SUB IN by MANN,AARON",,,,,,,"SUB IN by MANN,AARON",1
11:31,"SUB OUT by MORRIS,KALE",,,,,,,"SUB OUT by MORRIS,KALE",1
11:31,"SUB OUT by BOLES,TREY",,,,,,,"SUB OUT by BOLES,TREY",1
11:08,"TURNOVER  by MCCORY,BRETT",,,,,,,"TURNOVER  by MCCORY,BRETT",1
11:08,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",1
11:08,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",1
10:50,,,,,"TURNOVER  by AYERS,PERRY",,,"TURNOVER  by AYERS,PERRY",1
10:50,"SUB IN by DAY,BRAXTON",,,,,,,"SUB IN by DAY,BRAXTON",1
10:50,"SUB OUT by PRATHER,ROBBIE",,,,,,,"SUB OUT by PRATHER,ROBBIE",1
10:50,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",1
10:50,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",1
10:26,"MISS 3PTR by OAKLEY,BLAKE",,,,,,,"MISS 3PTR by OAKLEY,BLAKE",1
--,"REBOUND OFF by MANN,AARON",,,,,,,"REBOUND OFF by MANN,AARON",1
10:23,,,,,"FOUL  by RAKES,BAILEY",,,"FOUL  by RAKES,BAILEY",1
10:23,"MISS FT by MANN,AARON",,,,,,,"MISS FT by MANN,AARON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
10:23,"MISS FT by MANN,AARON",,,,,,,"MISS FT by MANN,AARON",1
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",1
10:23,"SUB IN by BEINEKE,JOHN",,,,,,,"SUB IN by BEINEKE,JOHN",1
10:23,"SUB OUT by MEYER,KYLE",,,,,,,"SUB OUT by MEYER,KYLE",1
10:23,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",1
10:23,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",1
10:06,,,,,"MISS JUMPER by GUMP,MATT",,,"MISS JUMPER by GUMP,MATT",1
--,,,,,"REBOUND OFF by WALKER,ART",,,"REBOUND OFF by WALKER,ART",1
10:03,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",1
--,,,,,"REBOUND OFF by WALKER,ART",,,"REBOUND OFF by WALKER,ART",1
09:47,,,,,"TURNOVER  by GRIFFIN,JAROD",,,"TURNOVER  by GRIFFIN,JAROD",1
09:47,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",1
09:47,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",1
09:27,"GOOD JUMPER by MANN,AARON(in the paint)",13,,20 (+7),,FCMBB 13-20 (+7),,"GOOD JUMPER by MANN,AARON(in the paint)",1
09:09,,,,,"MISS LAYUP by RAKES,BAILEY",,,"MISS LAYUP by RAKES,BAILEY",1
--,,,,,"REBOUND OFF by SPITZER,JAKOB",,,"REBOUND OFF by SPITZER,JAKOB",1
09:09,"FOUL  by BEINEKE,JOHN",,,,,,,"FOUL  by BEINEKE,JOHN",1
08:55,,,,,"TURNOVER  by SPITZER,JAKOB",,,"TURNOVER  by SPITZER,JAKOB",1
08:55,,,,,"FOUL  by SPITZER,JAKOB",,,"FOUL  by SPITZER,JAKOB",1
08:55,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
08:55,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",1
08:38,"GOOD LAYUP by BEINEKE,JOHN(in the paint)",15,,20 (+5),,FCMBB 15-20 (+5),,"GOOD LAYUP by BEINEKE,JOHN(in the paint)",1
--,"ASSIST  by MCCORY,BRETT",,,,,,,"ASSIST  by MCCORY,BRETT",1
08:22,"FOUL  by MCCORY,BRETT",,,,,,,"FOUL  by MCCORY,BRETT",1
08:22,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
08:22,"SUB IN by DITTRICH,GUNNAR",,,,,,,"SUB IN by DITTRICH,GUNNAR",1
08:22,"SUB IN by BEINEKE,JOHN",,,,,,,"SUB IN by BEINEKE,JOHN",1
08:22,"SUB IN by MANN,AARON",,,,,,,"SUB IN by MANN,AARON",1
08:22,"SUB IN by PRATHER,ROBBIE",,,,,,,"SUB IN by PRATHER,ROBBIE",1
08:22,"SUB IN by DAY,BRAXTON",,,,,,,"SUB IN by DAY,BRAXTON",1
08:22,"SUB OUT by BEINEKE,JOHN",,,,,,,"SUB OUT by BEINEKE,JOHN",1
08:22,"SUB OUT by MCCORY,BRETT",,,,,,,"SUB OUT by MCCORY,BRETT",1
08:22,"SUB OUT by MANN,AARON",,,,,,,"SUB OUT by MANN,AARON",1
08:22,"SUB OUT by OAKLEY,BLAKE",,,,,,,"SUB OUT by OAKLEY,BLAKE",1
08:22,"SUB OUT by DAY,BRAXTON",,,,,,,"SUB OUT by DAY,BRAXTON",1
08:18,,15,,22 (+7),"GOOD DUNK by BATES,JACOB(in the paint)",CENTRE-M 15-22 (+7),,"GOOD DUNK by BATES,JACOB(in the paint)",1
--,,,,,"ASSIST  by GRIFFIN,JAROD",,,"ASSIST  by GRIFFIN,JAROD",1
07:50,"MISS JUMPER by DAY,BRAXTON",,,,,,,"MISS JUMPER by DAY,BRAXTON",1
--,,,,,"REBOUND DEF by SINE,TUCKER",,,"REBOUND DEF by SINE,TUCKER",1
07:35,,,,,"MISS 3PTR by RAKES,BAILEY",,,"MISS 3PTR by RAKES,BAILEY",1
--,"REBOUND DEF by BEINEKE,JOHN",,,,,,,"REBOUND DEF by BEINEKE,JOHN",1
07:19,"TURNOVER  by BEINEKE,JOHN",,,,,,,"TURNOVER  by BEINEKE,JOHN",1
07:18,,,,,"STEAL  by SINE,TUCKER",,,"STEAL  by SINE,TUCKER",1
07:15,,15,,24 (+9),"GOOD LAYUP by SINE,TUCKER(fastbreak)(in the paint)",CENTRE-M 15-24 (+9),,"GOOD LAYUP by SINE,TUCKER(fastbreak)(in the paint)",1
06:54,"TURNOVER  by BEINEKE,JOHN",,,,,,,"TURNOVER  by BEINEKE,JOHN",1
06:53,,,,,"STEAL  by GRIFFIN,JAROD",,,"STEAL  by GRIFFIN,JAROD",1
06:43,,,,,"MISS LAYUP by GRIFFIN,JAROD",,,"MISS LAYUP by GRIFFIN,JAROD",1
--,"REBOUND DEF by DAY,BRAXTON",,,,,,,"REBOUND DEF by DAY,BRAXTON",1
06:36,"GOOD LAYUP by PRATHER,ROBBIE(in the paint)",17,,24 (+7),,FCMBB 17-24 (+7),,"GOOD LAYUP by PRATHER,ROBBIE(in the paint)",1
06:12,"FOUL  by BEINEKE,JOHN",,,,,,,"FOUL  by BEINEKE,JOHN",1
06:12,,17,,25 (+8),"GOOD FT by BATES,JACOB",CENTRE-M 17-25 (+8),,"GOOD FT by BATES,JACOB",1
06:12,,17,,26 (+9),"GOOD FT by BATES,JACOB",CENTRE-M 17-26 (+9),,"GOOD FT by BATES,JACOB",1
06:12,"SUB IN by MEYER,KYLE",,,,,,,"SUB IN by MEYER,KYLE",1
06:12,"SUB IN by OAKLEY,BLAKE",,,,,,,"SUB IN by OAKLEY,BLAKE",1
06:12,"SUB OUT by BEINEKE,JOHN",,,,,,,"SUB OUT by BEINEKE,JOHN",1
06:12,"SUB OUT by DAY,BRAXTON",,,,,,,"SUB OUT by DAY,BRAXTON",1
06:12,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",1
06:12,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",1
06:12,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",1
06:12,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
06:12,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",1
06:12,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",1
05:58,"MISS 3PTR by PRATHER,ROBBIE",,,,,,,"MISS 3PTR by PRATHER,ROBBIE",1
05:58,,,,,"BLOCK  by GRUBER,SAM",,,"BLOCK  by GRUBER,SAM",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
05:48,,,,,"MISS 3PTR by GRUBER,SAM",,,"MISS 3PTR by GRUBER,SAM",1
--,"REBOUND DEF by DITTRICH,GUNNAR",,,,,,,"REBOUND DEF by DITTRICH,GUNNAR",1
05:47,,,,,"FOUL  by SCHMUCKER,ZACH",,,"FOUL  by SCHMUCKER,ZACH",1
05:23,"GOOD 3PTR by MANN,AARON",20,,26 (+6),,FCMBB 20-26 (+6),,"GOOD 3PTR by MANN,AARON",1
05:09,,,,,"TURNOVER  by GRUBER,SAM",,,"TURNOVER  by GRUBER,SAM",1
05:07,"STEAL  by MANN,AARON",,,,,,,"STEAL  by MANN,AARON",1
05:05,"GOOD LAYUP by MANN,AARON(fastbreak)(in the paint)",22,,26 (+4),,FCMBB 22-26 (+4),,"GOOD LAYUP by MANN,AARON(fastbreak)(in the paint)",1
04:44,,,,,"MISS LAYUP by AYERS,PERRY",,,"MISS LAYUP by AYERS,PERRY",1
--,"REBOUND DEF by KENNEDY,BORDEN",,,,,,,"REBOUND DEF by KENNEDY,BORDEN",1
04:37,"MISS 3PTR by MANN,AARON",,,,,,,"MISS 3PTR by MANN,AARON",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
04:35,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",1
04:35,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
04:35,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",1
04:35,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",1
04:21,,22,,29 (+7),"GOOD 3PTR by GRUBER,SAM",CENTRE-M 22-29 (+7),,"GOOD 3PTR by GRUBER,SAM",1
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",1
04:12,,,,,"FOUL  by GRUBER,SAM",,,"FOUL  by GRUBER,SAM",1
04:05,"MISS JUMPER by OAKLEY,BLAKE",,,,,,,"MISS JUMPER by OAKLEY,BLAKE",1
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",1
03:54,"FOUL  by DITTRICH,GUNNAR",,,,,,,"FOUL  by DITTRICH,GUNNAR",1
03:54,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
03:54,,22,,30 (+8),"GOOD FT by AYERS,PERRY",CENTRE-M 22-30 (+8),,"GOOD FT by AYERS,PERRY",1
03:54,,22,,31 (+9),"GOOD FT by AYERS,PERRY",CENTRE-M 22-31 (+9),,"GOOD FT by AYERS,PERRY",1
03:54,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",1
03:54,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",1
03:41,"GOOD JUMPER by PRATHER,ROBBIE(in the paint)",24,,31 (+7),,FCMBB 24-31 (+7),,"GOOD JUMPER by PRATHER,ROBBIE(in the paint)",1
03:30,,,,,"MISS LAYUP by GUMP,MATT",,,"MISS LAYUP by GUMP,MATT",1
--,"REBOUND DEF by MANN,AARON",,,,,,,"REBOUND DEF by MANN,AARON",1
02:57,"MISS 3PTR by PRATHER,ROBBIE",,,,,,,"MISS 3PTR by PRATHER,ROBBIE",1
--,"REBOUND OFF by MANN,AARON",,,,,,,"REBOUND OFF by MANN,AARON",1
02:45,"GOOD JUMPER by KENNEDY,BORDEN",26,,31 (+5),,FCMBB 26-31 (+5),,"GOOD JUMPER by KENNEDY,BORDEN",1
--,"ASSIST  by PRATHER,ROBBIE",,,,,,,"ASSIST  by PRATHER,ROBBIE",1
02:32,,26,,34 (+8),"GOOD 3PTR by WALKER,ART",CENTRE-M 26-34 (+8),,"GOOD 3PTR by WALKER,ART",1
--,,,,,"ASSIST  by GRIFFIN,JAROD",,,"ASSIST  by GRIFFIN,JAROD",1
02:14,"GOOD 3PTR by MANN,AARON",29,,34 (+5),,FCMBB 29-34 (+5),,"GOOD 3PTR by MANN,AARON",1
--,"ASSIST  by MEYER,KYLE",,,,,,,"ASSIST  by MEYER,KYLE",1
01:49,,29,,37 (+8),"GOOD 3PTR by WALKER,ART",CENTRE-M 29-37 (+8),,"GOOD 3PTR by WALKER,ART",1
--,,,,,"ASSIST  by RAKES,BAILEY",,,"ASSIST  by RAKES,BAILEY",1
01:20,"MISS LAYUP by OAKLEY,BLAKE",,,,,,,"MISS LAYUP by OAKLEY,BLAKE",1
--,,,,,"REBOUND DEF by GRIFFIN,JAROD",,,"REBOUND DEF by GRIFFIN,JAROD",1
01:13,,,,,"MISS JUMPER by GRIFFIN,JAROD",,,"MISS JUMPER by GRIFFIN,JAROD",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
01:11,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",1
01:11,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",1
01:11,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",1
01:11,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
00:51,"MISS 3PTR by PRATHER,ROBBIE",,,,,,,"MISS 3PTR by PRATHER,ROBBIE",1
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",1
00:50,"FOUL  by MEYER,KYLE",,,,,,,"FOUL  by MEYER,KYLE",1
00:50,,29,,38 (+9),"GOOD FT by GUMP,MATT",CENTRE-M 29-38 (+9),,"GOOD FT by GUMP,MATT",1
00:50,,29,,39 (+10),"GOOD FT by GUMP,MATT",CENTRE-M 29-39 (+10),,"GOOD FT by GUMP,MATT",1
00:39,"GOOD JUMPER by PRATHER,ROBBIE",31,,39 (+8),,FCMBB 31-39 (+8),,"GOOD JUMPER by PRATHER,ROBBIE",1
00:07,,,,,"TURNOVER  by RAKES,BAILEY",,,"TURNOVER  by RAKES,BAILEY",1
00:03,"MISS LAYUP by MANN,AARON",,,,,,,"MISS LAYUP by MANN,AARON",1
--,,,,,"REBOUND DEF by RAKES,BAILEY",,,"REBOUND DEF by RAKES,BAILEY",1
19:37,,,,,"TURNOVER  by GUMP,MATT",,,"TURNOVER  by GUMP,MATT",2
19:18,"GOOD LAYUP by MCCORY,BRETT(in the paint)",33,,39 (+6),,FCMBB 33-39 (+6),,"GOOD LAYUP by MCCORY,BRETT(in the paint)",2
19:04,"FOUL  by BEINEKE,JOHN",,,,,,,"FOUL  by BEINEKE,JOHN",2
19:04,,33,,40 (+7),"GOOD FT by SPITZER,JAKOB",CENTRE-M 33-40 (+7),,"GOOD FT by SPITZER,JAKOB",2
19:04,,,,,"MISS FT by SPITZER,JAKOB",,,"MISS FT by SPITZER,JAKOB",2
--,"REBOUND DEF by MEYER,KYLE",,,,,,,"REBOUND DEF by MEYER,KYLE",2
19:04,"SUB IN by MEYER,KYLE",,,,,,,"SUB IN by MEYER,KYLE",2
19:04,"SUB OUT by BEINEKE,JOHN",,,,,,,"SUB OUT by BEINEKE,JOHN",2
18:49,"MISS LAYUP by MCCORY,BRETT",,,,,,,"MISS LAYUP by MCCORY,BRETT",2
--,,,,,"REBOUND DEF by SPITZER,JAKOB",,,"REBOUND DEF by SPITZER,JAKOB",2
18:37,,,,,"MISS JUMPER by GUMP,MATT",,,"MISS JUMPER by GUMP,MATT",2
--,"REBOUND DEF by MEYER,KYLE",,,,,,,"REBOUND DEF by MEYER,KYLE",2
18:19,"GOOD JUMPER by MEYER,KYLE(in the paint)",35,,40 (+5),,FCMBB 35-40 (+5),,"GOOD JUMPER by MEYER,KYLE(in the paint)",2
--,"ASSIST  by OAKLEY,BLAKE",,,,,,,"ASSIST  by OAKLEY,BLAKE",2
17:59,,,,,"MISS 3PTR by GUMP,MATT",,,"MISS 3PTR by GUMP,MATT",2
--,"REBOUND DEF by MCCORY,BRETT",,,,,,,"REBOUND DEF by MCCORY,BRETT",2
17:52,"MISS LAYUP by MANN,AARON",,,,,,,"MISS LAYUP by MANN,AARON",2
--,"REBOUND OFF by MANN,AARON",,,,,,,"REBOUND OFF by MANN,AARON",2
17:50,"GOOD LAYUP by MANN,AARON(in the paint)",37,,40 (+3),,FCMBB 37-40 (+3),,"GOOD LAYUP by MANN,AARON(in the paint)",2
17:20,,37,,43 (+6),"GOOD 3PTR by SINE,TUCKER",CENTRE-M 37-43 (+6),,"GOOD 3PTR by SINE,TUCKER",2
--,,,,,"ASSIST  by GRIFFIN,JAROD",,,"ASSIST  by GRIFFIN,JAROD",2
17:10,,,,,"FOUL  by GUMP,MATT",,,"FOUL  by GUMP,MATT",2
17:06,"GOOD LAYUP by MANN,AARON(in the paint)",39,,43 (+4),,FCMBB 39-43 (+4),,"GOOD LAYUP by MANN,AARON(in the paint)",2
--,"ASSIST  by OAKLEY,BLAKE",,,,,,,"ASSIST  by OAKLEY,BLAKE",2
16:53,,,,,"TURNOVER  by RAKES,BAILEY",,,"TURNOVER  by RAKES,BAILEY",2
16:36,"GOOD JUMPER by MANN,AARON(in the paint)",41,,43 (+2),,FCMBB 41-43 (+2),,"GOOD JUMPER by MANN,AARON(in the paint)",2
16:16,,,,,"MISS JUMPER by BATES,JACOB",,,"MISS JUMPER by BATES,JACOB",2
16:16,"BLOCK  by MEYER,KYLE",,,,,,,"BLOCK  by MEYER,KYLE",2
--,"REBOUND DEF by MEYER,KYLE",,,,,,,"REBOUND DEF by MEYER,KYLE",2
16:10,"MISS LAYUP by OAKLEY,BLAKE",,,,,,,"MISS LAYUP by OAKLEY,BLAKE",2
--,,,,,"REBOUND DEF by GRIFFIN,JAROD",,,"REBOUND DEF by GRIFFIN,JAROD",2
16:02,"FOUL  by OAKLEY,BLAKE",,,,,,,"FOUL  by OAKLEY,BLAKE",2
16:02,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",2
16:02,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",2
15:53,,,,,"TURNOVER  by GUMP,MATT",,,"TURNOVER  by GUMP,MATT",2
15:52,"STEAL  by MCCORY,BRETT",,,,,,,"STEAL  by MCCORY,BRETT",2
15:38,,,,,"FOUL  by GUMP,MATT",,,"FOUL  by GUMP,MATT",2
