Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,BEREA,Game Score,Team Indicator,Play,Period
15:10,,,,,"TURNOVER  by MILLER,TERIQUE",,,"TURNOVER  by MILLER,TERIQUE",1
15:10,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
15:10,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
15:10,,,,,"SUB IN by BUTTS,STEPHEN",,,"SUB IN by BUTTS,STEPHEN",1
15:10,,,,,"SUB OUT by BIZZLE-BROWN,DYONTA",,,"SUB OUT by BIZZLE-BROWN,DYONTA",1
14:48,,,,,"FOUL  by WISE,COREY",,,"FOUL  by WISE,COREY",1
14:48,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
14:48,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
14:39,"MISS JUMPER by RAKES,BAILEY",,,,,,,"MISS JUMPER by RAKES,BAILEY",1
--,,,,,"REBOUND DEF by WISE,COREY",,,"REBOUND DEF by WISE,COREY",1
14:10,"MISS JUMPER by WALKER,ART",,,,,,,"MISS JUMPER by WALKER,ART",1
--,,,,,"REBOUND DEF by PARKER,RICHARD",,,"REBOUND DEF by PARKER,RICHARD",1
13:56,,,,,"MISS JUMPER by JACKSON,JAIR",,,"MISS JUMPER by JACKSON,JAIR",1
--,"REBOUND DEF by SCHMUCKER,ZACH",,,,,,,"REBOUND DEF by SCHMUCKER,ZACH",1
13:43,"GOOD 3PTR by SCHMUCKER,ZACH",12,,13 (+1),,CENTRE 12-13 (-1),,"GOOD 3PTR by SCHMUCKER,ZACH",1
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",1
13:29,,,,,"MISS JUMPER by JACKSON,JAIR",,,"MISS JUMPER by JACKSON,JAIR",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
13:23,"GOOD 3PTR by WALKER,ART",15 (+2),,13,,CENTRE 15-13 (+2),,"GOOD 3PTR by WALKER,ART",1
--,"ASSIST  by RAKES,BAILEY",,,,,,,"ASSIST  by RAKES,BAILEY",1
13:14,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
13:14,,,,,"SUB IN by BIZZLE-BROWN,DYONTA",,,"SUB IN by BIZZLE-BROWN,DYONTA",1
13:14,,,,,"SUB IN by MYRKS,ANTHONY",,,"SUB IN by MYRKS,ANTHONY",1
13:14,,,,,"SUB OUT by JACKSON,JAIR",,,"SUB OUT by JACKSON,JAIR",1
13:14,,,,,"SUB OUT by MILLER,TERIQUE",,,"SUB OUT by MILLER,TERIQUE",1
12:56,,15,,16 (+1),"GOOD 3PTR by PARKER,RICHARD",BEREA 15-16 (-1),,"GOOD 3PTR by PARKER,RICHARD",1
--,,,,,"ASSIST  by WISE,COREY",,,"ASSIST  by WISE,COREY",1
12:30,"GOOD JUMPER by RAKES,BAILEY(in the paint)",17 (+1),,16,,CENTRE 17-16 (+1),,"GOOD JUMPER by RAKES,BAILEY(in the paint)",1
12:17,,,,,"MISS JUMPER by WISE,COREY",,,"MISS JUMPER by WISE,COREY",1
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",1
12:08,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",19 (+3),,16,,CENTRE 19-16 (+3),,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",1
--,"ASSIST  by WALKER,ART",,,,,,,"ASSIST  by WALKER,ART",1
11:48,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
11:48,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
11:48,,,,,"SUB IN by MCCOLLUM,NICK",,,"SUB IN by MCCOLLUM,NICK",1
11:48,,,,,"SUB IN by MILLER,TERIQUE",,,"SUB IN by MILLER,TERIQUE",1
11:48,,,,,"SUB OUT by BUTTS,STEPHEN",,,"SUB OUT by BUTTS,STEPHEN",1
11:48,,,,,"SUB OUT by WISE,COREY",,,"SUB OUT by WISE,COREY",1
11:42,,19,,19,"GOOD 3PTR by PARKER,RICHARD",BEREA 19-19 (0),,"GOOD 3PTR by PARKER,RICHARD",1
--,,,,,"ASSIST  by MYRKS,ANTHONY",,,"ASSIST  by MYRKS,ANTHONY",1
11:25,,,,,"FOUL  by MYRKS,ANTHONY",,,"FOUL  by MYRKS,ANTHONY",1
11:05,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",1
--,,,,,"REBOUND DEF by MYRKS,ANTHONY",,,"REBOUND DEF by MYRKS,ANTHONY",1
10:59,,,,,"MISS LAYUP by MYRKS,ANTHONY",,,"MISS LAYUP by MYRKS,ANTHONY",1
--,"REBOUND DEF by GRIFFIN,JAROD",,,,,,,"REBOUND DEF by GRIFFIN,JAROD",1
10:43,,,,,"FOUL  by MYRKS,ANTHONY",,,"FOUL  by MYRKS,ANTHONY",1
10:43,,,,,"SUB IN by WISE,COREY",,,"SUB IN by WISE,COREY",1
10:43,,,,,"SUB OUT by MYRKS,ANTHONY",,,"SUB OUT by MYRKS,ANTHONY",1
10:27,,,,,"FOUL  by MCCOLLUM,NICK",,,"FOUL  by MCCOLLUM,NICK",1
10:27,"MISS FT by WALKER,ART",,,,,,,"MISS FT by WALKER,ART",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
10:27,"GOOD FT by WALKER,ART",20 (+1),,19,,CENTRE 20-19 (+1),,"GOOD FT by WALKER,ART",1
10:27,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
10:27,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
10:06,"FOUL  by GRIFFIN,JAROD",,,,,,,"FOUL  by GRIFFIN,JAROD",1
10:06,,20,,20,"GOOD FT by WISE,COREY",BEREA 20-20 (0),,"GOOD FT by WISE,COREY",1
10:06,,,,,"MISS FT by WISE,COREY",,,"MISS FT by WISE,COREY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
09:49,"MISS JUMPER by AYERS,PERRY",,,,,,,"MISS JUMPER by AYERS,PERRY",1
--,,,,,"REBOUND DEF by WISE,COREY",,,"REBOUND DEF by WISE,COREY",1
09:33,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
09:33,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
09:33,,,,,"SUB IN by HINTON,GABE",,,"SUB IN by HINTON,GABE",1
09:33,,,,,"SUB OUT by MCCOLLUM,NICK",,,"SUB OUT by MCCOLLUM,NICK",1
09:19,,20,,23 (+3),"GOOD 3PTR by MILLER,TERIQUE",BEREA 20-23 (-3),,"GOOD 3PTR by MILLER,TERIQUE",1
--,,,,,"ASSIST  by PARKER,RICHARD",,,"ASSIST  by PARKER,RICHARD",1
09:05,"GOOD 3PTR by WALKER,ART",23,,23,,CENTRE 23-23 (0),,"GOOD 3PTR by WALKER,ART",1
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",1
08:57,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
08:57,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",1
08:38,,23,,25 (+2),"GOOD JUMPER by WISE,COREY(in the paint)",BEREA 23-25 (-2),,"GOOD JUMPER by WISE,COREY(in the paint)",1
08:20,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",1
--,,,,,"REBOUND DEF by BIZZLE-BROWN,DYONTA",,,"REBOUND DEF by BIZZLE-BROWN,DYONTA",1
08:10,,23,,28 (+5),"GOOD 3PTR by PARKER,RICHARD",BEREA 23-28 (-5),,"GOOD 3PTR by PARKER,RICHARD",1
--,,,,,"ASSIST  by WISE,COREY",,,"ASSIST  by WISE,COREY",1
08:06,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
07:43,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",1
--,,,,,"REBOUND DEF by BIZZLE-BROWN,DYONTA",,,"REBOUND DEF by BIZZLE-BROWN,DYONTA",1
07:28,"FOUL  by RAKES,BAILEY",,,,,,,"FOUL  by RAKES,BAILEY",1
07:28,,23,,29 (+6),"GOOD FT by WISE,COREY",BEREA 23-29 (-6),,"GOOD FT by WISE,COREY",1
07:28,,,,,"MISS FT by WISE,COREY",,,"MISS FT by WISE,COREY",1
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",1
07:28,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
07:28,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
07:28,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
07:28,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
07:20,"GOOD 3PTR by WALKER,ART",26,,29 (+3),,CENTRE 26-29 (-3),,"GOOD 3PTR by WALKER,ART",1
--,"ASSIST  by RAKES,BAILEY",,,,,,,"ASSIST  by RAKES,BAILEY",1
07:06,,,,,"TURNOVER  by PARKER,RICHARD",,,"TURNOVER  by PARKER,RICHARD",1
07:03,,,,,"SUB IN by JACKSON,JAIR",,,"SUB IN by JACKSON,JAIR",1
07:03,,,,,"SUB IN by BUTTS,STEPHEN",,,"SUB IN by BUTTS,STEPHEN",1
07:03,,,,,"SUB OUT by HINTON,GABE",,,"SUB OUT by HINTON,GABE",1
07:03,,,,,"SUB OUT by WISE,COREY",,,"SUB OUT by WISE,COREY",1
06:42,"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",28,,29 (+1),,CENTRE 28-29 (-1),,"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",1
06:30,,,,,"MISS 3PTR by PARKER,RICHARD",,,"MISS 3PTR by PARKER,RICHARD",1
06:30,"BLOCK  by GRIFFIN,JAROD",,,,,,,"BLOCK  by GRIFFIN,JAROD",1
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",1
06:28,,,,,"FOUL  by MILLER,TERIQUE",,,"FOUL  by MILLER,TERIQUE",1
06:17,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",1
06:17,,,,,"BLOCK  by BIZZLE-BROWN,DYONTA",,,"BLOCK  by BIZZLE-BROWN,DYONTA",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
06:17,,,,,"SUB IN by WISE,COREY",,,"SUB IN by WISE,COREY",1
06:17,,,,,"SUB OUT by BUTTS,STEPHEN",,,"SUB OUT by BUTTS,STEPHEN",1
06:02,"MISS JUMPER by WALKER,ART",,,,,,,"MISS JUMPER by WALKER,ART",1
--,,,,,"REBOUND DEF by MILLER,TERIQUE",,,"REBOUND DEF by MILLER,TERIQUE",1
05:52,,,,,"MISS 3PTR by BIZZLE-BROWN,DYONTA",,,"MISS 3PTR by BIZZLE-BROWN,DYONTA",1
--,,,,,"REBOUND OFF by JACKSON,JAIR",,,"REBOUND OFF by JACKSON,JAIR",1
05:46,,28,,32 (+4),"GOOD 3PTR by MILLER,TERIQUE",BEREA 28-32 (-4),,"GOOD 3PTR by MILLER,TERIQUE",1
--,,,,,"ASSIST  by JACKSON,JAIR",,,"ASSIST  by JACKSON,JAIR",1
05:32,"MISS 3PTR by SCHMUCKER,ZACH",,,,,,,"MISS 3PTR by SCHMUCKER,ZACH",1
--,,,,,"REBOUND DEF by WISE,COREY",,,"REBOUND DEF by WISE,COREY",1
05:04,"FOUL  by SCHMUCKER,ZACH",,,,,,,"FOUL  by SCHMUCKER,ZACH",1
05:02,,28,,33 (+5),"GOOD FT by WISE,COREY",BEREA 28-33 (-5),,"GOOD FT by WISE,COREY",1
05:02,,28,,34 (+6),"GOOD FT by WISE,COREY",BEREA 28-34 (-6),,"GOOD FT by WISE,COREY",1
05:02,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
05:02,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",1
05:02,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
05:02,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
05:02,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
05:02,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
05:02,,,,,"SUB IN by MYRKS,ANTHONY",,,"SUB IN by MYRKS,ANTHONY",1
05:02,,,,,"SUB OUT by MILLER,TERIQUE",,,"SUB OUT by MILLER,TERIQUE",1
04:48,,,,,"FOUL  by BIZZLE-BROWN,DYONTA",,,"FOUL  by BIZZLE-BROWN,DYONTA",1
04:48,"GOOD FT by AYERS,PERRY",29,,34 (+5),,CENTRE 29-34 (-5),,"GOOD FT by AYERS,PERRY",1
04:48,"GOOD FT by AYERS,PERRY",30,,34 (+4),,CENTRE 30-34 (-4),,"GOOD FT by AYERS,PERRY",1
04:48,,,,,"SUB IN by HINTON,GABE",,,"SUB IN by HINTON,GABE",1
04:48,,,,,"SUB OUT by BIZZLE-BROWN,DYONTA",,,"SUB OUT by BIZZLE-BROWN,DYONTA",1
04:30,,,,,"MISS 3PTR by PARKER,RICHARD",,,"MISS 3PTR by PARKER,RICHARD",1
--,,,,,"REBOUND OFF by HINTON,GABE",,,"REBOUND OFF by HINTON,GABE",1
04:23,,30,,36 (+6),"GOOD JUMPER by HINTON,GABE(in the paint)",BEREA 30-36 (-6),,"GOOD JUMPER by HINTON,GABE(in the paint)",1
04:16,"GOOD 3PTR by GUMP,MATT",33,,36 (+3),,CENTRE 33-36 (-3),,"GOOD 3PTR by GUMP,MATT",1
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",1
04:03,,,,,"MISS 3PTR by WISE,COREY",,,"MISS 3PTR by WISE,COREY",1
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",1
03:50,"MISS JUMPER by AYERS,PERRY",,,,,,,"MISS JUMPER by AYERS,PERRY",1
--,,,,,"REBOUND DEF by JACKSON,JAIR",,,"REBOUND DEF by JACKSON,JAIR",1
03:40,"FOUL  by SCHMUCKER,ZACH",,,,,,,"FOUL  by SCHMUCKER,ZACH",1
03:40,,33,,37 (+4),"GOOD FT by PARKER,RICHARD",BEREA 33-37 (-4),,"GOOD FT by PARKER,RICHARD",1
03:40,,33,,38 (+5),"GOOD FT by PARKER,RICHARD",BEREA 33-38 (-5),,"GOOD FT by PARKER,RICHARD",1
03:40,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
03:40,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
03:40,,,,,"SUB IN by MCCOLLUM,NICK",,,"SUB IN by MCCOLLUM,NICK",1
03:40,,,,,"SUB IN by MILLER,TERIQUE",,,"SUB IN by MILLER,TERIQUE",1
03:40,,,,,"SUB OUT by HINTON,GABE",,,"SUB OUT by HINTON,GABE",1
03:40,,,,,"SUB OUT by MYRKS,ANTHONY",,,"SUB OUT by MYRKS,ANTHONY",1
03:23,"GOOD JUMPER by GUMP,MATT(in the paint)",35,,38 (+3),,CENTRE 35-38 (-3),,"GOOD JUMPER by GUMP,MATT(in the paint)",1
03:23,,,,,"FOUL  by JACKSON,JAIR",,,"FOUL  by JACKSON,JAIR",1
03:23,"GOOD FT by GUMP,MATT",36,,38 (+2),,CENTRE 36-38 (-2),,"GOOD FT by GUMP,MATT",1
02:59,"GOOD LAYUP by AYERS,PERRY(in the paint)",38,,38,,CENTRE 38-38 (0),,"GOOD LAYUP by AYERS,PERRY(in the paint)",1
02:49,,,,,"MISS JUMPER by WISE,COREY",,,"MISS JUMPER by WISE,COREY",1
--,,,,,"REBOUND OFF by JACKSON,JAIR",,,"REBOUND OFF by JACKSON,JAIR",1
02:41,,,,,"MISS JUMPER by JACKSON,JAIR",,,"MISS JUMPER by JACKSON,JAIR",1
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",1
02:41,"GOOD LAYUP by AYERS,PERRY(in the paint)",40 (+2),,38,,CENTRE 40-38 (+2),,"GOOD LAYUP by AYERS,PERRY(in the paint)",1
02:41,,,,,"FOUL  by WISE,COREY",,,"FOUL  by WISE,COREY",1
02:41,"GOOD FT by AYERS,PERRY",41 (+3),,38,,CENTRE 41-38 (+3),,"GOOD FT by AYERS,PERRY",1
02:41,,,,,"SUB IN by BIZZLE-BROWN,DYONTA",,,"SUB IN by BIZZLE-BROWN,DYONTA",1
02:41,,,,,"SUB OUT by WISE,COREY",,,"SUB OUT by WISE,COREY",1
02:29,,41 (+1),,40,"GOOD LAYUP by BIZZLE-BROWN,DYONTA(in the paint)",BEREA 41-40 (+1),,"GOOD LAYUP by BIZZLE-BROWN,DYONTA(in the paint)",1
--,,,,,"ASSIST  by JACKSON,JAIR",,,"ASSIST  by JACKSON,JAIR",1
02:05,"MISS 3PTR by GRUBER,SAM",,,,,,,"MISS 3PTR by GRUBER,SAM",1
--,,,,,"REBOUND DEF by MCCOLLUM,NICK",,,"REBOUND DEF by MCCOLLUM,NICK",1
01:52,,41,,42 (+1),"GOOD JUMPER by JACKSON,JAIR(in the paint)",BEREA 41-42 (-1),,"GOOD JUMPER by JACKSON,JAIR(in the paint)",1
--,,,,,"ASSIST  by PARKER,RICHARD",,,"ASSIST  by PARKER,RICHARD",1
01:32,"GOOD 3PTR by RAKES,BAILEY",44 (+2),,42,,CENTRE 44-42 (+2),,"GOOD 3PTR by RAKES,BAILEY",1
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",1
01:09,,,,,"MISS LAYUP by PARKER,RICHARD",,,"MISS LAYUP by PARKER,RICHARD",1
--,,,,,"REBOUND OFF by JACKSON,JAIR",,,"REBOUND OFF by JACKSON,JAIR",1
01:02,,,,,"MISS JUMPER by JACKSON,JAIR",,,"MISS JUMPER by JACKSON,JAIR",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
00:58,"MISS 3PTR by AYERS,PERRY",,,,,,,"MISS 3PTR by AYERS,PERRY",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
00:58,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
00:58,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
00:57,,,,,"SUB IN by BUTTS,STEPHEN",,,"SUB IN by BUTTS,STEPHEN",1
00:57,,,,,"SUB OUT by JACKSON,JAIR",,,"SUB OUT by JACKSON,JAIR",1
00:47,"FOUL  by RAKES,BAILEY",,,,,,,"FOUL  by RAKES,BAILEY",1
00:40,,44 (+1),,43,"GOOD FT by MCCOLLUM,NICK",BEREA 44-43 (+1),,"GOOD FT by MCCOLLUM,NICK",1
00:40,,44,,44,"GOOD FT by MCCOLLUM,NICK",BEREA 44-44 (0),,"GOOD FT by MCCOLLUM,NICK",1
00:40,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
00:40,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
00:40,,,,,"SUB IN by JACKSON,JAIR",,,"SUB IN by JACKSON,JAIR",1
00:40,,,,,"SUB IN by HINTON,GABE",,,"SUB IN by HINTON,GABE",1
00:40,,,,,"SUB OUT by BIZZLE-BROWN,DYONTA",,,"SUB OUT by BIZZLE-BROWN,DYONTA",1
00:40,,,,,"SUB OUT by PARKER,RICHARD",,,"SUB OUT by PARKER,RICHARD",1
00:03,"MISS JUMPER by GUMP,MATT",,,,,,,"MISS JUMPER by GUMP,MATT",1
--,,,,,"REBOUND DEF by JACKSON,JAIR",,,"REBOUND DEF by JACKSON,JAIR",1
00:02,,,,,"MISS 3PTR by MCCOLLUM,NICK",,,"MISS 3PTR by MCCOLLUM,NICK",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
00:01,,44,,47 (+3),"GOOD 3PTR by MILLER,TERIQUE",BEREA 44-47 (-3),,"GOOD 3PTR by MILLER,TERIQUE",1
--,,,,,"ASSIST  by BUTTS,STEPHEN",,,"ASSIST  by BUTTS,STEPHEN",1
19:44,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",2
--,,,,,"REBOUND DEF by BIZZLE-BROWN,DYONTA",,,"REBOUND DEF by BIZZLE-BROWN,DYONTA",2
19:31,,44,,49 (+5),"GOOD JUMPER by WISE,COREY(in the paint)",BEREA 44-49 (-5),,"GOOD JUMPER by WISE,COREY(in the paint)",2
19:05,"GOOD JUMPER by SPITZER,JAKOB(in the paint)",46,,49 (+3),,CENTRE 46-49 (-3),,"GOOD JUMPER by SPITZER,JAKOB(in the paint)",2
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",2
19:05,,,,,"FOUL  by BIZZLE-BROWN,DYONTA",,,"FOUL  by BIZZLE-BROWN,DYONTA",2
19:05,"GOOD FT by SPITZER,JAKOB",47,,49 (+2),,CENTRE 47-49 (-2),,"GOOD FT by SPITZER,JAKOB",2
19:05,,,,,"SUB IN by JACKSON,JAIR",,,"SUB IN by JACKSON,JAIR",2
