Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,MVCM,Game Score,Team Indicator,Play,Period
15:06,,,,,"MISS 3PTR by GARCIA,EMANUELLE",,,"MISS 3PTR by GARCIA,EMANUELLE",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
15:04,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
15:04,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
15:04,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
15:04,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",1
15:04,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
15:04,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
15:04,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
15:04,,,,,"SUB IN by BOWMAN,EMIER",,,"SUB IN by BOWMAN,EMIER",1
15:04,,,,,"SUB IN by HOPPA,DANTE",,,"SUB IN by HOPPA,DANTE",1
15:04,,,,,"SUB OUT by SPICER,TYLER",,,"SUB OUT by SPICER,TYLER",1
15:04,,,,,"SUB OUT by GARCIA,EMANUELLE",,,"SUB OUT by GARCIA,EMANUELLE",1
14:51,"MISS LAYUP by SCHMUCKER,ZACH",,,,,,,"MISS LAYUP by SCHMUCKER,ZACH",1
14:51,,,,,"BLOCK  by NOKES,COLT",,,"BLOCK  by NOKES,COLT",1
--,,,,,"REBOUND DEF by BOWMAN,EMIER",,,"REBOUND DEF by BOWMAN,EMIER",1
14:39,,,,,"MISS JUMPER by NOKES,COLT",,,"MISS JUMPER by NOKES,COLT",1
14:39,"BLOCK  by WALKER,ART",,,,,,,"BLOCK  by WALKER,ART",1
--,,,,,"REBOUND OFF by HOPPA,DANTE",,,"REBOUND OFF by HOPPA,DANTE",1
14:33,,8,,12 (+4),"GOOD 3PTR by SONGSTER,CALVIN",MVCM 8-12 (-4),,"GOOD 3PTR by SONGSTER,CALVIN",1
--,,,,,"ASSIST  by BOWYER,JAY",,,"ASSIST  by BOWYER,JAY",1
14:10,"TURNOVER  by AYERS,PERRY",,,,,,,"TURNOVER  by AYERS,PERRY",1
14:09,,,,,"STEAL  by BOWYER,JAY",,,"STEAL  by BOWYER,JAY",1
13:57,,,,,"TURNOVER  by HOPPA,DANTE",,,"TURNOVER  by HOPPA,DANTE",1
13:56,"STEAL  by WALKER,ART",,,,,,,"STEAL  by WALKER,ART",1
13:42,"GOOD LAYUP by AYERS,PERRY(in the paint)",10,,12 (+2),,CENTRE-M 10-12 (-2),,"GOOD LAYUP by AYERS,PERRY(in the paint)",1
13:42,,,,,"FOUL  by BOWYER,JAY",,,"FOUL  by BOWYER,JAY",1
13:42,"GOOD FT by AYERS,PERRY",11,,12 (+1),,CENTRE-M 11-12 (-1),,"GOOD FT by AYERS,PERRY",1
13:42,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
13:42,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
13:42,,,,,"SUB IN by BROOKS,JOSHUA",,,"SUB IN by BROOKS,JOSHUA",1
13:42,,,,,"SUB IN by ESTES,KALEB",,,"SUB IN by ESTES,KALEB",1
13:42,,,,,"SUB OUT by SONGSTER,CALVIN",,,"SUB OUT by SONGSTER,CALVIN",1
13:42,,,,,"SUB OUT by BOWYER,JAY",,,"SUB OUT by BOWYER,JAY",1
13:32,,,,,"MISS 3PTR by BOWMAN,EMIER",,,"MISS 3PTR by BOWMAN,EMIER",1
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",1
13:21,,,,,"FOUL  by NOKES,COLT",,,"FOUL  by NOKES,COLT",1
13:21,,,,,"SUB IN by WATSON,CHRIS",,,"SUB IN by WATSON,CHRIS",1
13:21,,,,,"SUB OUT by NOKES,COLT",,,"SUB OUT by NOKES,COLT",1
13:04,"MISS LAYUP by BATES,JACOB",,,,,,,"MISS LAYUP by BATES,JACOB",1
--,,,,,"REBOUND DEF by BOWMAN,EMIER",,,"REBOUND DEF by BOWMAN,EMIER",1
12:51,"FOUL  by GRUBER,SAM",,,,,,,"FOUL  by GRUBER,SAM",1
12:35,,11,,14 (+3),"GOOD JUMPER by ESTES,KALEB",MVCM 11-14 (-3),,"GOOD JUMPER by ESTES,KALEB",1
12:15,"GOOD 3PTR by WALKER,ART",14,,14,,CENTRE-M 14-14 (0),,"GOOD 3PTR by WALKER,ART",1
12:00,"FOUL  by BATES,JACOB",,,,,,,"FOUL  by BATES,JACOB",1
12:00,,,,,"MISS FT by BROOKS,JOSHUA",,,"MISS FT by BROOKS,JOSHUA",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:00,,14,,15 (+1),"GOOD FT by BROOKS,JOSHUA",MVCM 14-15 (-1),,"GOOD FT by BROOKS,JOSHUA",1
12:00,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
12:00,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
11:48,,,,,"FOUL  by ESTES,KALEB",,,"FOUL  by ESTES,KALEB",1
11:48,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
11:36,"GOOD LAYUP by BATES,JACOB(in the paint)",16 (+1),,15,,CENTRE-M 16-15 (+1),,"GOOD LAYUP by BATES,JACOB(in the paint)",1
11:23,,,,,"MISS JUMPER by WATSON,CHRIS",,,"MISS JUMPER by WATSON,CHRIS",1
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",1
10:58,"FOUL  by RAKES,BAILEY",,,,,,,"FOUL  by RAKES,BAILEY",1
10:58,"TURNOVER  by RAKES,BAILEY",,,,,,,"TURNOVER  by RAKES,BAILEY",1
10:58,,,,,"STEAL  by ESTES,KALEB",,,"STEAL  by ESTES,KALEB",1
10:58,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
10:58,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
10:58,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
10:58,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
10:58,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
10:58,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
10:58,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",1
10:58,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
10:58,,,,,"SUB IN by NOKES,COLT",,,"SUB IN by NOKES,COLT",1
10:58,,,,,"SUB IN by SPICER,TYLER",,,"SUB IN by SPICER,TYLER",1
10:58,,,,,"SUB IN by SONGSTER,CALVIN",,,"SUB IN by SONGSTER,CALVIN",1
10:58,,,,,"SUB IN by BOWYER,JAY",,,"SUB IN by BOWYER,JAY",1
10:58,,,,,"SUB OUT by BOWMAN,EMIER",,,"SUB OUT by BOWMAN,EMIER",1
10:58,,,,,"SUB OUT by HOPPA,DANTE",,,"SUB OUT by HOPPA,DANTE",1
10:58,,,,,"SUB OUT by WATSON,CHRIS",,,"SUB OUT by WATSON,CHRIS",1
10:58,,,,,"SUB OUT by ESTES,KALEB",,,"SUB OUT by ESTES,KALEB",1
10:48,,,,,"MISS JUMPER by SONGSTER,CALVIN",,,"MISS JUMPER by SONGSTER,CALVIN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
10:28,,,,,"MISS 3PTR by BOWYER,JAY",,,"MISS 3PTR by BOWYER,JAY",1
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",1
10:05,"GOOD JUMPER by SPITZER,JAKOB",18 (+3),,15,,CENTRE-M 18-15 (+3),,"GOOD JUMPER by SPITZER,JAKOB",1
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",1
09:50,,,,,"TURNOVER  by NOKES,COLT",,,"TURNOVER  by NOKES,COLT",1
09:48,"STEAL  by GRIFFIN,JAROD",,,,,,,"STEAL  by GRIFFIN,JAROD",1
09:43,"MISS LAYUP by GRIFFIN,JAROD",,,,,,,"MISS LAYUP by GRIFFIN,JAROD",1
--,"REBOUND OFF by SPITZER,JAKOB",,,,,,,"REBOUND OFF by SPITZER,JAKOB",1
09:39,"GOOD TIPIN by SPITZER,JAKOB(in the paint)",20 (+5),,15,,CENTRE-M 20-15 (+5),,"GOOD TIPIN by SPITZER,JAKOB(in the paint)",1
09:25,,,,,"MISS JUMPER by BROOKS,JOSHUA",,,"MISS JUMPER by BROOKS,JOSHUA",1
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",1
09:13,"GOOD 3PTR by GUMP,MATT",23 (+8),,15,,CENTRE-M 23-15 (+8),,"GOOD 3PTR by GUMP,MATT",1
--,"ASSIST  by SINE,TUCKER",,,,,,,"ASSIST  by SINE,TUCKER",1
09:07,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
09:07,,,,,"SUB IN by GARCIA,EMANUELLE",,,"SUB IN by GARCIA,EMANUELLE",1
09:07,,,,,"SUB OUT by BROOKS,JOSHUA",,,"SUB OUT by BROOKS,JOSHUA",1
08:54,,23 (+5),,18,"GOOD 3PTR by GARCIA,EMANUELLE",MVCM 23-18 (+5),,"GOOD 3PTR by GARCIA,EMANUELLE",1
--,,,,,"ASSIST  by BOWYER,JAY",,,"ASSIST  by BOWYER,JAY",1
08:29,"MISS JUMPER by GRIFFIN,JAROD",,,,,,,"MISS JUMPER by GRIFFIN,JAROD",1
--,,,,,"REBOUND DEF by NOKES,COLT",,,"REBOUND DEF by NOKES,COLT",1
08:15,,,,,"TURNOVER  by NOKES,COLT",,,"TURNOVER  by NOKES,COLT",1
08:04,"GOOD LAYUP by AYERS,PERRY(in the paint)",25 (+7),,18,,CENTRE-M 25-18 (+7),,"GOOD LAYUP by AYERS,PERRY(in the paint)",1
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",1
07:54,"FOUL  by AYERS,PERRY",,,,,,,"FOUL  by AYERS,PERRY",1
07:54,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
07:54,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
07:54,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
07:41,,,,,"TURNOVER  by NOKES,COLT",,,"TURNOVER  by NOKES,COLT",1
07:25,"GOOD JUMPER by SPITZER,JAKOB(in the paint)",27 (+9),,18,,CENTRE-M 27-18 (+9),,"GOOD JUMPER by SPITZER,JAKOB(in the paint)",1
--,"ASSIST  by SINE,TUCKER",,,,,,,"ASSIST  by SINE,TUCKER",1
07:25,,,,,"SUB IN by ESTES,KALEB",,,"SUB IN by ESTES,KALEB",1
07:25,,,,,"SUB OUT by BOWYER,JAY",,,"SUB OUT by BOWYER,JAY",1
07:08,,,,,"MISS JUMPER by SONGSTER,CALVIN",,,"MISS JUMPER by SONGSTER,CALVIN",1
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",1
06:59,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",1
--,,,,,"REBOUND DEF by SONGSTER,CALVIN",,,"REBOUND DEF by SONGSTER,CALVIN",1
06:49,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",1
06:49,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
06:49,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
06:49,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
06:49,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
06:49,,,,,"SUB IN by HOPPA,DANTE",,,"SUB IN by HOPPA,DANTE",1
06:49,,,,,"SUB OUT by SONGSTER,CALVIN",,,"SUB OUT by SONGSTER,CALVIN",1
06:47,,,,,"TURNOVER  by HOPPA,DANTE",,,"TURNOVER  by HOPPA,DANTE",1
06:45,"STEAL  by RAKES,BAILEY",,,,,,,"STEAL  by RAKES,BAILEY",1
06:41,"MISS LAYUP by SINE,TUCKER",,,,,,,"MISS LAYUP by SINE,TUCKER",1
06:41,,,,,"BLOCK  by SPICER,TYLER",,,"BLOCK  by SPICER,TYLER",1
--,"REBOUND OFF by BATES,JACOB",,,,,,,"REBOUND OFF by BATES,JACOB",1
06:37,"GOOD JUMPER by BATES,JACOB(in the paint)",29 (+11),,18,,CENTRE-M 29-18 (+11),,"GOOD JUMPER by BATES,JACOB(in the paint)",1
06:26,,,,,"MISS JUMPER by SPICER,TYLER",,,"MISS JUMPER by SPICER,TYLER",1
--,,,,,"REBOUND OFF by NOKES,COLT",,,"REBOUND OFF by NOKES,COLT",1
06:23,,29 (+9),,20,"GOOD JUMPER by NOKES,COLT(in the paint)",MVCM 29-20 (+9),,"GOOD JUMPER by NOKES,COLT(in the paint)",1
06:03,"MISS JUMPER by RAKES,BAILEY",,,,,,,"MISS JUMPER by RAKES,BAILEY",1
--,,,,,"REBOUND DEF by HOPPA,DANTE",,,"REBOUND DEF by HOPPA,DANTE",1
05:51,,,,,"TURNOVER  by HOPPA,DANTE",,,"TURNOVER  by HOPPA,DANTE",1
05:50,"STEAL  by BATES,JACOB",,,,,,,"STEAL  by BATES,JACOB",1
05:48,"MISS LAYUP by BATES,JACOB",,,,,,,"MISS LAYUP by BATES,JACOB",1
--,,,,,"REBOUND DEF by HOPPA,DANTE",,,"REBOUND DEF by HOPPA,DANTE",1
05:39,,29 (+6),,23,"GOOD 3PTR by GARCIA,EMANUELLE(fastbreak)",MVCM 29-23 (+6),,"GOOD 3PTR by GARCIA,EMANUELLE(fastbreak)",1
--,,,,,"ASSIST  by ESTES,KALEB",,,"ASSIST  by ESTES,KALEB",1
05:20,"FOUL  by SCHMUCKER,ZACH",,,,,,,"FOUL  by SCHMUCKER,ZACH",1
05:20,"TURNOVER  by SCHMUCKER,ZACH",,,,,,,"TURNOVER  by SCHMUCKER,ZACH",1
05:20,,,,,"MISS 3PTR by GARCIA,EMANUELLE",,,"MISS 3PTR by GARCIA,EMANUELLE",1
--,,,,,"REBOUND OFF by WATSON,CHRIS",,,"REBOUND OFF by WATSON,CHRIS",1
05:20,,29 (+4),,25,"GOOD JUMPER by WATSON,CHRIS(in the paint)",MVCM 29-25 (+4),,"GOOD JUMPER by WATSON,CHRIS(in the paint)",1
05:20,"TURNOVER  by BATES,JACOB",,,,,,,"TURNOVER  by BATES,JACOB",1
05:20,,,,,"STEAL  by GARCIA,EMANUELLE",,,"STEAL  by GARCIA,EMANUELLE",1
05:20,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
05:20,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",1
05:20,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
05:20,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
05:20,,,,,"SUB IN by SONGSTER,CALVIN",,,"SUB IN by SONGSTER,CALVIN",1
05:20,,,,,"SUB IN by WATSON,CHRIS",,,"SUB IN by WATSON,CHRIS",1
05:20,,,,,"SUB IN by BROOKS,JOSHUA",,,"SUB IN by BROOKS,JOSHUA",1
05:20,,,,,"SUB OUT by SONGSTER,CALVIN",,,"SUB OUT by SONGSTER,CALVIN",1
05:20,,,,,"SUB OUT by HOPPA,DANTE",,,"SUB OUT by HOPPA,DANTE",1
05:20,,,,,"SUB OUT by NOKES,COLT",,,"SUB OUT by NOKES,COLT",1
05:17,,,,,"TURNOVER  by ESTES,KALEB",,,"TURNOVER  by ESTES,KALEB",1
05:17,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
05:17,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
05:17,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
05:17,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
05:17,,,,,"SUB IN by BOWMAN,EMIER",,,"SUB IN by BOWMAN,EMIER",1
05:17,,,,,"SUB IN by BOWYER,JAY",,,"SUB IN by BOWYER,JAY",1
05:17,,,,,"SUB OUT by SPICER,TYLER",,,"SUB OUT by SPICER,TYLER",1
05:17,,,,,"SUB OUT by ESTES,KALEB",,,"SUB OUT by ESTES,KALEB",1
03:55,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
03:52,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",1
--,,,,,"REBOUND DEF by BOWMAN,EMIER",,,"REBOUND DEF by BOWMAN,EMIER",1
03:36,,29 (+2),,27,"GOOD DUNK by WATSON,CHRIS(in the paint)",MVCM 29-27 (+2),,"GOOD DUNK by WATSON,CHRIS(in the paint)",1
03:23,"TURNOVER  by GUMP,MATT",,,,,,,"TURNOVER  by GUMP,MATT",1
03:22,,,,,"STEAL  by GARCIA,EMANUELLE",,,"STEAL  by GARCIA,EMANUELLE",1
03:19,,,,,"MISS DUNK by BOWMAN,EMIER",,,"MISS DUNK by BOWMAN,EMIER",1
--,"REBOUND DEF by SCHMUCKER,ZACH",,,,,,,"REBOUND DEF by SCHMUCKER,ZACH",1
03:05,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
03:05,,,,,"SUB IN by SONGSTER,CALVIN",,,"SUB IN by SONGSTER,CALVIN",1
03:05,,,,,"SUB OUT by GARCIA,EMANUELLE",,,"SUB OUT by GARCIA,EMANUELLE",1
02:50,"TURNOVER  by GUMP,MATT",,,,,,,"TURNOVER  by GUMP,MATT",1
02:49,,,,,"STEAL  by BROOKS,JOSHUA",,,"STEAL  by BROOKS,JOSHUA",1
02:45,"FOUL  by GUMP,MATT",,,,,,,"FOUL  by GUMP,MATT",1
02:45,,,,,"MISS FT by BROOKS,JOSHUA",,,"MISS FT by BROOKS,JOSHUA",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
02:45,,,,,"MISS FT by BROOKS,JOSHUA",,,"MISS FT by BROOKS,JOSHUA",1
--,"REBOUND DEF by SCHMUCKER,ZACH",,,,,,,"REBOUND DEF by SCHMUCKER,ZACH",1
02:45,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
02:45,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
02:45,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
02:45,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",1
02:39,,,,,"FOUL  by SONGSTER,CALVIN",,,"FOUL  by SONGSTER,CALVIN",1
02:15,"MISS LAYUP by AYERS,PERRY",,,,,,,"MISS LAYUP by AYERS,PERRY",1
--,,,,,"REBOUND DEF by BOWMAN,EMIER",,,"REBOUND DEF by BOWMAN,EMIER",1
02:10,,29,,30 (+1),"GOOD 3PTR by SONGSTER,CALVIN(fastbreak)",MVCM 29-30 (-1),,"GOOD 3PTR by SONGSTER,CALVIN(fastbreak)",1
--,,,,,"ASSIST  by BROOKS,JOSHUA",,,"ASSIST  by BROOKS,JOSHUA",1
01:49,"MISS LAYUP by GRIFFIN,JAROD",,,,,,,"MISS LAYUP by GRIFFIN,JAROD",1
01:49,,,,,"BLOCK  by BOWMAN,EMIER",,,"BLOCK  by BOWMAN,EMIER",1
--,,,,,"REBOUND DEF by BOWYER,JAY",,,"REBOUND DEF by BOWYER,JAY",1
01:42,,29,,32 (+3),"GOOD LAYUP by BOWYER,JAY(fastbreak)(in the paint)",MVCM 29-32 (-3),,"GOOD LAYUP by BOWYER,JAY(fastbreak)(in the paint)",1
01:42,"FOUL  by SINE,TUCKER",,,,,,,"FOUL  by SINE,TUCKER",1
01:42,,,,,"MISS FT by BOWYER,JAY",,,"MISS FT by BOWYER,JAY",1
--,"REBOUND DEF by SCHMUCKER,ZACH",,,,,,,"REBOUND DEF by SCHMUCKER,ZACH",1
01:28,,,,,"FOUL  by BOWYER,JAY",,,"FOUL  by BOWYER,JAY",1
01:28,"GOOD FT by AYERS,PERRY",30,,32 (+2),,CENTRE-M 30-32 (-2),,"GOOD FT by AYERS,PERRY",1
01:28,"GOOD FT by AYERS,PERRY",31,,32 (+1),,CENTRE-M 31-32 (-1),,"GOOD FT by AYERS,PERRY",1
01:28,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
01:28,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
01:28,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
01:28,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
01:28,,,,,"SUB IN by GARCIA,EMANUELLE",,,"SUB IN by GARCIA,EMANUELLE",1
01:28,,,,,"SUB IN by ESTES,KALEB",,,"SUB IN by ESTES,KALEB",1
01:28,,,,,"SUB OUT by BROOKS,JOSHUA",,,"SUB OUT by BROOKS,JOSHUA",1
01:28,,,,,"SUB OUT by BOWYER,JAY",,,"SUB OUT by BOWYER,JAY",1
01:03,,31,,35 (+4),"GOOD 3PTR by GARCIA,EMANUELLE",MVCM 31-35 (-4),,"GOOD 3PTR by GARCIA,EMANUELLE",1
--,,,,,"ASSIST  by BOWMAN,EMIER",,,"ASSIST  by BOWMAN,EMIER",1
00:36,,,,,"FOUL  by GARCIA,EMANUELLE",,,"FOUL  by GARCIA,EMANUELLE",1
00:36,"GOOD FT by BATES,JACOB",32,,35 (+3),,CENTRE-M 32-35 (-3),,"GOOD FT by BATES,JACOB",1
00:36,"MISS FT by BATES,JACOB",,,,,,,"MISS FT by BATES,JACOB",1
--,,,,,"REBOUND DEF by SONGSTER,CALVIN",,,"REBOUND DEF by SONGSTER,CALVIN",1
00:36,,,,,"SUB IN by SPICER,TYLER",,,"SUB IN by SPICER,TYLER",1
00:36,,,,,"SUB OUT by BOWMAN,EMIER",,,"SUB OUT by BOWMAN,EMIER",1
00:21,"FOUL  by RAKES,BAILEY",,,,,,,"FOUL  by RAKES,BAILEY",1
00:21,,,,,"MISS FT by ESTES,KALEB",,,"MISS FT by ESTES,KALEB",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
00:21,,32,,36 (+4),"GOOD FT by ESTES,KALEB",MVCM 32-36 (-4),,"GOOD FT by ESTES,KALEB",1
