Time Remaining,SUMB,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-M,Game Score,Team Indicator,Play,Period
07:45,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
07:45,"SUB IN by RAINEY,WILL",,,,,,,"SUB IN by RAINEY,WILL",1
07:45,"SUB OUT by ELLIS,DOMINIQUE",,,,,,,"SUB OUT by ELLIS,DOMINIQUE",1
07:45,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",1
07:45,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",1
07:34,,,,,"TURNOVER  by AYERS,PERRY",,,"TURNOVER  by AYERS,PERRY",1
07:19,"TURNOVER  by TURNER,JAMES",,,,,,,"TURNOVER  by TURNER,JAMES",1
07:18,,,,,"STEAL  by BATES,JACOB",,,"STEAL  by BATES,JACOB",1
07:18,"FOUL  by TURNER,JAMES",,,,,,,"FOUL  by TURNER,JAMES",1
07:18,"SUB IN by ELLIS,DOMINIQUE",,,,,,,"SUB IN by ELLIS,DOMINIQUE",1
07:18,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",1
07:02,,,,,"MISS JUMPER by BATES,JACOB",,,"MISS JUMPER by BATES,JACOB",1
--,"REBOUND DEF by ELLIS,DOMINIQUE",,,,,,,"REBOUND DEF by ELLIS,DOMINIQUE",1
06:44,"TURNOVER  by ROWE,RYLAN",,,,,,,"TURNOVER  by ROWE,RYLAN",1
06:43,,,,,"STEAL  by BATES,JACOB",,,"STEAL  by BATES,JACOB",1
06:30,,,,,"MISS JUMPER by GRIFFIN,JAROD",,,"MISS JUMPER by GRIFFIN,JAROD",1
--,"REBOUND DEF by ELLIS,DOMINIQUE",,,,,,,"REBOUND DEF by ELLIS,DOMINIQUE",1
06:11,"GOOD JUMPER by ELLIS,DOMINIQUE",21 (+12),,9,,SUMB 21-9 (-12),,"GOOD JUMPER by ELLIS,DOMINIQUE",1
05:56,,21 (+9),,12,"GOOD 3PTR by BATES,JACOB",CENTRE-M 21-12 (-9),,"GOOD 3PTR by BATES,JACOB",1
--,,,,,"ASSIST  by GRIFFIN,JAROD",,,"ASSIST  by GRIFFIN,JAROD",1
05:36,,,,,"FOUL  by BATES,JACOB",,,"FOUL  by BATES,JACOB",1
05:36,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",1
05:36,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",1
05:36,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",1
05:36,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
05:33,"TURNOVER  by TRISKO,NICK",,,,,,,"TURNOVER  by TRISKO,NICK",1
05:21,"FOUL  by ROWE,RYLAN",,,,,,,"FOUL  by ROWE,RYLAN",1
05:10,,,,,"TURNOVER  by BATES,JACOB",,,"TURNOVER  by BATES,JACOB",1
05:10,,,,,"FOUL  by BATES,JACOB",,,"FOUL  by BATES,JACOB",1
05:10,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",1
05:10,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
05:01,"GOOD JUMPER by ROWE,RYLAN",23 (+11),,12,,SUMB 23-12 (-11),,"GOOD JUMPER by ROWE,RYLAN",1
04:46,,,,,"TURNOVER  by SINE,TUCKER",,,"TURNOVER  by SINE,TUCKER",1
04:27,"MISS 3PTR by ELLIS,DOMINIQUE",,,,,,,"MISS 3PTR by ELLIS,DOMINIQUE",1
--,,,,,"REBOUND DEF by SCHMUCKER,ZACH",,,"REBOUND DEF by SCHMUCKER,ZACH",1
04:17,,,,,"MISS LAYUP by AYERS,PERRY",,,"MISS LAYUP by AYERS,PERRY",1
--,"REBOUND DEF by ELLIS,DOMINIQUE",,,,,,,"REBOUND DEF by ELLIS,DOMINIQUE",1
03:57,"MISS JUMPER by ROWE,RYLAN",,,,,,,"MISS JUMPER by ROWE,RYLAN",1
--,,,,,"REBOUND DEF by SCHMUCKER,ZACH",,,"REBOUND DEF by SCHMUCKER,ZACH",1
03:41,,,,,"MISS 3PTR by SCHMUCKER,ZACH",,,"MISS 3PTR by SCHMUCKER,ZACH",1
--,"REBOUND DEF by ELLIS,DOMINIQUE",,,,,,,"REBOUND DEF by ELLIS,DOMINIQUE",1
03:18,"GOOD 3PTR by RAINEY,WILL",26 (+14),,12,,SUMB 26-12 (-14),,"GOOD 3PTR by RAINEY,WILL",1
--,"ASSIST  by ROWE,RYLAN",,,,,,,"ASSIST  by ROWE,RYLAN",1
02:58,,26 (+11),,15,"GOOD 3PTR by SINE,TUCKER",CENTRE-M 26-15 (-11),,"GOOD 3PTR by SINE,TUCKER",1
--,,,,,"ASSIST  by GRIFFIN,JAROD",,,"ASSIST  by GRIFFIN,JAROD",1
02:35,"GOOD 3PTR by ELLIS,DOMINIQUE",29 (+14),,15,,SUMB 29-15 (-14),,"GOOD 3PTR by ELLIS,DOMINIQUE",1
--,"ASSIST  by ROWE,RYLAN",,,,,,,"ASSIST  by ROWE,RYLAN",1
02:04,,,,,"MISS 3PTR by SINE,TUCKER",,,"MISS 3PTR by SINE,TUCKER",1
--,"REBOUND DEF by WALLACE,KEITH",,,,,,,"REBOUND DEF by WALLACE,KEITH",1
01:41,"GOOD JUMPER by WALLACE,KEITH(in the paint)",31 (+16),,15,,SUMB 31-15 (-16),,"GOOD JUMPER by WALLACE,KEITH(in the paint)",1
--,"ASSIST  by RAINEY,WILL",,,,,,,"ASSIST  by RAINEY,WILL",1
01:09,,31 (+14),,17,"GOOD LAYUP by AYERS,PERRY(in the paint)",CENTRE-M 31-17 (-14),,"GOOD LAYUP by AYERS,PERRY(in the paint)",1
00:46,"GOOD 3PTR by ELLIS,DOMINIQUE",34 (+17),,17,,SUMB 34-17 (-17),,"GOOD 3PTR by ELLIS,DOMINIQUE",1
00:34,,34 (+15),,19,"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",CENTRE-M 34-19 (-15),,"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",1
00:12,"GOOD 3PTR by ROWE,RYLAN",37 (+18),,19,,SUMB 37-19 (-18),,"GOOD 3PTR by ROWE,RYLAN",1
--,"ASSIST  by RAINEY,WILL",,,,,,,"ASSIST  by RAINEY,WILL",1
00:00,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",1
--,"REBOUND DEF by RAINEY,WILL",,,,,,,"REBOUND DEF by RAINEY,WILL",1
19:40,"TURNOVER  by TURNER,JAMES",,,,,,,"TURNOVER  by TURNER,JAMES",2
19:40,,,,,"STEAL  by SINE,TUCKER",,,"STEAL  by SINE,TUCKER",2
19:40,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
19:18,,,,,"TURNOVER  by GRIFFIN,JAROD",,,"TURNOVER  by GRIFFIN,JAROD",2
19:15,"STEAL  by ROWE,RYLAN",,,,,,,"STEAL  by ROWE,RYLAN",2
18:58,"MISS 3PTR by ROWE,RYLAN",,,,,,,"MISS 3PTR by ROWE,RYLAN",2
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",2
18:40,,,,,"TURNOVER  by SPITZER,JAKOB",,,"TURNOVER  by SPITZER,JAKOB",2
18:20,"GOOD JUMPER by ROWE,RYLAN",39 (+20),,19,,SUMB 39-19 (-20),,"GOOD JUMPER by ROWE,RYLAN",2
--,"ASSIST  by TURNER,JAMES",,,,,,,"ASSIST  by TURNER,JAMES",2
18:00,,,,,"TURNOVER  by GUMP,MATT",,,"TURNOVER  by GUMP,MATT",2
17:44,"MISS 3PTR by TURNER,JAMES",,,,,,,"MISS 3PTR by TURNER,JAMES",2
--,,,,,"REBOUND DEF by RAKES,BAILEY",,,"REBOUND DEF by RAKES,BAILEY",2
17:37,,39 (+18),,21,"GOOD LAYUP by RAKES,BAILEY(fastbreak)(in the paint)",CENTRE-M 39-21 (-18),,"GOOD LAYUP by RAKES,BAILEY(fastbreak)(in the paint)",2
17:22,"MISS 3PTR by ROWE,RYLAN",,,,,,,"MISS 3PTR by ROWE,RYLAN",2
--,"REBOUND OFF by TRISKO,NICK",,,,,,,"REBOUND OFF by TRISKO,NICK",2
17:11,"MISS JUMPER by WALLACE,KEITH",,,,,,,"MISS JUMPER by WALLACE,KEITH",2
--,,,,,"REBOUND DEF by SINE,TUCKER",,,"REBOUND DEF by SINE,TUCKER",2
17:04,"SUB IN by KENNEDY,DEMARCUS",,,,,,,"SUB IN by KENNEDY,DEMARCUS",2
17:04,"SUB OUT by WALLACE,KEITH",,,,,,,"SUB OUT by WALLACE,KEITH",2
16:45,,,,,"TURNOVER  by SINE,TUCKER",,,"TURNOVER  by SINE,TUCKER",2
16:44,"STEAL  by TRISKO,NICK",,,,,,,"STEAL  by TRISKO,NICK",2
16:36,"GOOD 3PTR by ELLIS,DOMINIQUE",42 (+21),,21,,SUMB 42-21 (-21),,"GOOD 3PTR by ELLIS,DOMINIQUE",2
--,"ASSIST  by ROWE,RYLAN",,,,,,,"ASSIST  by ROWE,RYLAN",2
16:15,,42 (+19),,23,"GOOD JUMPER by RAKES,BAILEY",CENTRE-M 42-23 (-19),,"GOOD JUMPER by RAKES,BAILEY",2
15:56,"GOOD 3PTR by ELLIS,DOMINIQUE",45 (+22),,23,,SUMB 45-23 (-22),,"GOOD 3PTR by ELLIS,DOMINIQUE",2
--,"ASSIST  by ROWE,RYLAN",,,,,,,"ASSIST  by ROWE,RYLAN",2
15:38,,,,,"MISS JUMPER by RAKES,BAILEY",,,"MISS JUMPER by RAKES,BAILEY",2
--,,,,,"REBOUND OFF by RAKES,BAILEY",,,"REBOUND OFF by RAKES,BAILEY",2
15:25,"FOUL  by KENNEDY,DEMARCUS",,,,,,,"FOUL  by KENNEDY,DEMARCUS",2
15:25,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
15:25,"SUB IN by RAINEY,WILL",,,,,,,"SUB IN by RAINEY,WILL",2
15:25,"SUB IN by MUMPHREY,OWEN",,,,,,,"SUB IN by MUMPHREY,OWEN",2
15:25,"SUB OUT by ROWE,RYLAN",,,,,,,"SUB OUT by ROWE,RYLAN",2
15:25,"SUB OUT by ELLIS,DOMINIQUE",,,,,,,"SUB OUT by ELLIS,DOMINIQUE",2
15:25,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",2
15:25,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",2
15:25,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",2
15:25,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",2
15:25,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",2
15:25,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",2
15:25,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",2
15:25,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",2
15:25,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",2
15:25,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",2
15:11,,45 (+19),,26,"GOOD 3PTR by GRUBER,SAM",CENTRE-M 45-26 (-19),,"GOOD 3PTR by GRUBER,SAM",2
--,,,,,"ASSIST  by WALKER,ART",,,"ASSIST  by WALKER,ART",2
14:57,,,,,"FOUL  by GRUBER,SAM",,,"FOUL  by GRUBER,SAM",2
14:32,"GOOD JUMPER by TRISKO,NICK",47 (+21),,26,,SUMB 47-26 (-21),,"GOOD JUMPER by TRISKO,NICK",2
--,"ASSIST  by MUMPHREY,OWEN",,,,,,,"ASSIST  by MUMPHREY,OWEN",2
14:22,"FOUL  by TURNER,JAMES",,,,,,,"FOUL  by TURNER,JAMES",2
14:22,"SUB IN by ELLIS,DOMINIQUE",,,,,,,"SUB IN by ELLIS,DOMINIQUE",2
14:22,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",2
14:13,,47 (+19),,28,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",CENTRE-M 47-28 (-19),,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",2
--,,,,,"ASSIST  by BATES,JACOB",,,"ASSIST  by BATES,JACOB",2
13:59,"GOOD LAYUP by TRISKO,NICK(in the paint)",49 (+21),,28,,SUMB 49-28 (-21),,"GOOD LAYUP by TRISKO,NICK(in the paint)",2
--,"ASSIST  by KENNEDY,DEMARCUS",,,,,,,"ASSIST  by KENNEDY,DEMARCUS",2
13:45,,,,,"MISS JUMPER by AYERS,PERRY",,,"MISS JUMPER by AYERS,PERRY",2
