Time Remaining,BER,Away Team Score,Play Team Indicator,Home Team Score,CEN,Game Score,Team Indicator,Play,Period
14:22,,,,,"MISS 3PTR by RAKES,BAILEY",,,"MISS 3PTR by RAKES,BAILEY",1
14:22,"BLOCK  by JOHNSON,CALEB",,,,,,,"BLOCK  by JOHNSON,CALEB",1
--,"REBOUND DEF by MCCLOUD,ALTON",,,,,,,"REBOUND DEF by MCCLOUD,ALTON",1
14:14,"MISS LAYUP by JOHNSON,CORY",,,,,,,"MISS LAYUP by JOHNSON,CORY",1
--,,,,,"REBOUND DEF by SCHMUCKER,ZACH",,,"REBOUND DEF by SCHMUCKER,ZACH",1
14:06,,,,,"TURNOVER  by SINE,TUCKER",,,"TURNOVER  by SINE,TUCKER",1
14:05,"STEAL  by MCCLOUD,ALTON",,,,,,,"STEAL  by MCCLOUD,ALTON",1
13:52,"MISS LAYUP by JOHNSON,CALEB",,,,,,,"MISS LAYUP by JOHNSON,CALEB",1
--,,,,,"REBOUND DEF by SCHMUCKER,ZACH",,,"REBOUND DEF by SCHMUCKER,ZACH",1
13:26,,,,,"MISS 3PTR by SINE,TUCKER",,,"MISS 3PTR by SINE,TUCKER",1
--,"REBOUND DEF by JOHNSON,CALEB",,,,,,,"REBOUND DEF by JOHNSON,CALEB",1
13:07,"GOOD LAYUP by MCCLOUD,ALTON(in the paint)",6 (+4),,2,,BER 6-2 (-4),,"GOOD LAYUP by MCCLOUD,ALTON(in the paint)",1
12:44,,,,,"MISS LAYUP by RAKES,BAILEY",,,"MISS LAYUP by RAKES,BAILEY",1
--,"REBOUND DEF by MCCLOUD,ALTON",,,,,,,"REBOUND DEF by MCCLOUD,ALTON",1
12:28,"GOOD JUMPER by JONES,BLAKE(in the paint)",8 (+6),,2,,BER 8-2 (-6),,"GOOD JUMPER by JONES,BLAKE(in the paint)",1
12:27,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
12:27,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
12:27,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",1
12:27,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",1
12:27,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",1
12:27,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
12:27,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",1
12:27,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",1
12:27,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",1
12:27,,,,,"SUB OUT by JONES,BRETT",,,"SUB OUT by JONES,BRETT",1
12:27,,,,,"SUB OUT by CAVANAUGH,CHASE",,,"SUB OUT by CAVANAUGH,CHASE",1
12:27,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",1
12:03,,,,,"MISS LAYUP by GRUBER,SAM",,,"MISS LAYUP by GRUBER,SAM",1
12:03,"BLOCK  by JOHNSON,CORY",,,,,,,"BLOCK  by JOHNSON,CORY",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
11:57,,,,,"MISS JUMPER by AYERS,PERRY",,,"MISS JUMPER by AYERS,PERRY",1
--,"REBOUND DEF by ELLINGSWORTH,COLEMAN",,,,,,,"REBOUND DEF by ELLINGSWORTH,COLEMAN",1
11:45,,,,,"FOUL  by GRUBER,SAM",,,"FOUL  by GRUBER,SAM",1
11:29,"GOOD LAYUP by ELLINGSWORTH,COLEMAN(in the paint)",10 (+8),,2,,BER 10-2 (-8),,"GOOD LAYUP by ELLINGSWORTH,COLEMAN(in the paint)",1
--,"ASSIST  by MCCLOUD,ALTON",,,,,,,"ASSIST  by MCCLOUD,ALTON",1
11:29,,,,,"FOUL  by SPITZER,JAKOB",,,"FOUL  by SPITZER,JAKOB",1
11:29,"GOOD FT by MCCLOUD,ALTON",11 (+9),,2,,BER 11-2 (-9),,"GOOD FT by MCCLOUD,ALTON",1
11:29,"SUB IN by FORTE,MCCARTY",,,,,,,"SUB IN by FORTE,MCCARTY",1
11:29,"SUB IN by SPALDING,TANNER",,,,,,,"SUB IN by SPALDING,TANNER",1
11:29,"SUB IN by CLARK,ETHAN",,,,,,,"SUB IN by CLARK,ETHAN",1
11:29,"SUB IN by MARDER,NICK",,,,,,,"SUB IN by MARDER,NICK",1
11:29,"SUB IN by DENBESTEN,COLE",,,,,,,"SUB IN by DENBESTEN,COLE",1
11:29,"SUB OUT by ELLINGSWORTH,COLEMAN",,,,,,,"SUB OUT by ELLINGSWORTH,COLEMAN",1
11:29,"SUB OUT by CLARK,ETHAN",,,,,,,"SUB OUT by CLARK,ETHAN",1
11:29,"SUB OUT by MCCLOUD,ALTON",,,,,,,"SUB OUT by MCCLOUD,ALTON",1
11:29,"SUB OUT by JONES,BLAKE",,,,,,,"SUB OUT by JONES,BLAKE",1
11:29,"SUB OUT by JOHNSON,CALEB",,,,,,,"SUB OUT by JOHNSON,CALEB",1
11:29,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
11:29,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",1
11:12,,11 (+7),,4,"GOOD LAYUP by BATES,JACOB(in the paint)",CEN 11-4 (-7),,"GOOD LAYUP by BATES,JACOB(in the paint)",1
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",1
11:12,"FOUL  by SPALDING,TANNER",,,,,,,"FOUL  by SPALDING,TANNER",1
11:12,,,,,"MISS FT by BATES,JACOB",,,"MISS FT by BATES,JACOB",1
--,"REBOUND DEF by MARDER,NICK",,,,,,,"REBOUND DEF by MARDER,NICK",1
11:12,"SUB IN by SHARPE,DALTON",,,,,,,"SUB IN by SHARPE,DALTON",1
11:12,"SUB OUT by SPALDING,TANNER",,,,,,,"SUB OUT by SPALDING,TANNER",1
11:10,,,,,"FOUL  by BATES,JACOB",,,"FOUL  by BATES,JACOB",1
11:09,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",1
11:09,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
11:04,"TURNOVER  by MARDER,NICK",,,,,,,"TURNOVER  by MARDER,NICK",1
11:04,"FOUL  by MARDER,NICK",,,,,,,"FOUL  by MARDER,NICK",1
10:51,,,,,"TURNOVER  by AYERS,PERRY",,,"TURNOVER  by AYERS,PERRY",1
10:50,"STEAL  by MARDER,NICK",,,,,,,"STEAL  by MARDER,NICK",1
10:45,"MISS 3PTR by FORTE,MCCARTY",,,,,,,"MISS 3PTR by FORTE,MCCARTY",1
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",1
10:36,,11 (+5),,6,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",CEN 11-6 (-5),,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",1
--,,,,,"ASSIST  by GRUBER,SAM",,,"ASSIST  by GRUBER,SAM",1
10:22,"MISS 3PTR by CLARK,ETHAN",,,,,,,"MISS 3PTR by CLARK,ETHAN",1
--,"REBOUND OFF by DENBESTEN,COLE",,,,,,,"REBOUND OFF by DENBESTEN,COLE",1
10:04,"MISS JUMPER by MARDER,NICK",,,,,,,"MISS JUMPER by MARDER,NICK",1
--,,,,,"REBOUND DEF by GRIFFIN,JAROD",,,"REBOUND DEF by GRIFFIN,JAROD",1
09:51,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",1
09:51,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",1
09:47,,,,,"TURNOVER  by GRUBER,SAM",,,"TURNOVER  by GRUBER,SAM",1
09:45,"STEAL  by MARDER,NICK",,,,,,,"STEAL  by MARDER,NICK",1
09:45,,,,,"FOUL  by AYERS,PERRY",,,"FOUL  by AYERS,PERRY",1
09:45,"GOOD FT by MARDER,NICK",12 (+6),,6,,BER 12-6 (-6),,"GOOD FT by MARDER,NICK",1
09:45,"GOOD FT by MCCLOUD,ALTON",13 (+7),,6,,BER 13-6 (-7),,"GOOD FT by MCCLOUD,ALTON",1
09:45,"SUB IN by MCCLOUD,ALTON",,,,,,,"SUB IN by MCCLOUD,ALTON",1
09:45,"SUB IN by ELLINGSWORTH,COLEMAN",,,,,,,"SUB IN by ELLINGSWORTH,COLEMAN",1
09:45,"SUB IN by MARDER,NICK",,,,,,,"SUB IN by MARDER,NICK",1
09:45,"SUB IN by JONES,BLAKE",,,,,,,"SUB IN by JONES,BLAKE",1
09:45,"SUB IN by JOHNSON,CORY",,,,,,,"SUB IN by JOHNSON,CORY",1
09:45,"SUB IN by JOHNSON,CALEB",,,,,,,"SUB IN by JOHNSON,CALEB",1
09:45,"SUB OUT by MARDER,NICK",,,,,,,"SUB OUT by MARDER,NICK",1
09:45,"SUB OUT by ELLINGSWORTH,COLEMAN",,,,,,,"SUB OUT by ELLINGSWORTH,COLEMAN",1
09:45,"SUB OUT by CLARK,ETHAN",,,,,,,"SUB OUT by CLARK,ETHAN",1
09:45,"SUB OUT by MCCLOUD,ALTON",,,,,,,"SUB OUT by MCCLOUD,ALTON",1
09:45,"SUB OUT by JONES,BLAKE",,,,,,,"SUB OUT by JONES,BLAKE",1
09:45,"SUB OUT by JOHNSON,CALEB",,,,,,,"SUB OUT by JOHNSON,CALEB",1
09:45,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",1
09:45,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",1
09:36,,,,,"MISS JUMPER by GRIFFIN,JAROD",,,"MISS JUMPER by GRIFFIN,JAROD",1
--,"REBOUND DEF by JOHNSON,CALEB",,,,,,,"REBOUND DEF by JOHNSON,CALEB",1
09:26,"MISS 3PTR by MCCLOUD,ALTON",,,,,,,"MISS 3PTR by MCCLOUD,ALTON",1
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",1
09:19,,,,,"MISS 3PTR by SINE,TUCKER",,,"MISS 3PTR by SINE,TUCKER",1
--,"REBOUND DEF by ELLINGSWORTH,COLEMAN",,,,,,,"REBOUND DEF by ELLINGSWORTH,COLEMAN",1
09:01,"TURNOVER  by JONES,BLAKE",,,,,,,"TURNOVER  by JONES,BLAKE",1
09:01,,,,,"STEAL  by GRIFFIN,JAROD",,,"STEAL  by GRIFFIN,JAROD",1
08:49,,13 (+5),,8,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",CEN 13-8 (-5),,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",1
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",1
08:43,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
08:43,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",1
08:43,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",1
08:34,,,,,"FOUL  by WALKER,ART",,,"FOUL  by WALKER,ART",1
08:34,"MISS FT by JOHNSON,CALEB",,,,,,,"MISS FT by JOHNSON,CALEB",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
08:34,"GOOD FT by JOHNSON,CALEB",14 (+6),,8,,BER 14-8 (-6),,"GOOD FT by JOHNSON,CALEB",1
08:34,"SUB IN by MARDER,NICK",,,,,,,"SUB IN by MARDER,NICK",1
08:34,"SUB OUT by JONES,BLAKE",,,,,,,"SUB OUT by JONES,BLAKE",1
08:34,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",1
08:34,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",1
08:26,,14 (+4),,10,"GOOD LAYUP by SINE,TUCKER(fastbreak)(in the paint)",CEN 14-10 (-4),,"GOOD LAYUP by SINE,TUCKER(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by RAKES,BAILEY",,,"ASSIST  by RAKES,BAILEY",1
08:07,"GOOD JUMPER by JOHNSON,CORY",16 (+6),,10,,BER 16-10 (-6),,"GOOD JUMPER by JOHNSON,CORY",1
07:48,,16 (+3),,13,"GOOD 3PTR by SINE,TUCKER",CEN 16-13 (-3),,"GOOD 3PTR by SINE,TUCKER",1
--,,,,,"ASSIST  by SCHMUCKER,ZACH",,,"ASSIST  by SCHMUCKER,ZACH",1
07:31,"MISS LAYUP by MCCLOUD,ALTON",,,,,,,"MISS LAYUP by MCCLOUD,ALTON",1
07:31,,,,,"BLOCK  by WALKER,ART",,,"BLOCK  by WALKER,ART",1
--,,,,,"REBOUND DEF by RAKES,BAILEY",,,"REBOUND DEF by RAKES,BAILEY",1
07:22,,16,,16,"GOOD 3PTR by SINE,TUCKER",CEN 16-16 (0),,"GOOD 3PTR by SINE,TUCKER",1
--,,,,,"ASSIST  by GRIFFIN,JAROD",,,"ASSIST  by GRIFFIN,JAROD",1
07:18,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
07:18,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
07:18,"SUB IN by JONES,BLAKE",,,,,,,"SUB IN by JONES,BLAKE",1
07:18,"SUB OUT by MARDER,NICK",,,,,,,"SUB OUT by MARDER,NICK",1
07:04,"TURNOVER  by JOHNSON,CALEB",,,,,,,"TURNOVER  by JOHNSON,CALEB",1
07:03,,,,,"STEAL  by SINE,TUCKER",,,"STEAL  by SINE,TUCKER",1
06:44,,16,,19 (+3),"GOOD 3PTR by RAKES,BAILEY",CEN 16-19 (+3),,"GOOD 3PTR by RAKES,BAILEY",1
--,,,,,"ASSIST  by WALKER,ART",,,"ASSIST  by WALKER,ART",1
06:21,"GOOD JUMPER by MCCLOUD,ALTON(in the paint)",18,,19 (+1),,BER 18-19 (+1),,"GOOD JUMPER by MCCLOUD,ALTON(in the paint)",1
05:54,,,,,"TURNOVER  by GRIFFIN,JAROD",,,"TURNOVER  by GRIFFIN,JAROD",1
05:54,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",1
05:54,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
05:39,"MISS JUMPER by JONES,BLAKE",,,,,,,"MISS JUMPER by JONES,BLAKE",1
--,"REBOUND OFF by JOHNSON,CALEB",,,,,,,"REBOUND OFF by JOHNSON,CALEB",1
05:31,"MISS JUMPER by JONES,BLAKE",,,,,,,"MISS JUMPER by JONES,BLAKE",1
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",1
05:23,,18,,21 (+3),"GOOD JUMPER by SCHMUCKER,ZACH",CEN 18-21 (+3),,"GOOD JUMPER by SCHMUCKER,ZACH",1
--,,,,,"ASSIST  by SINE,TUCKER",,,"ASSIST  by SINE,TUCKER",1
04:58,"GOOD 3PTR by JOHNSON,CALEB",21,,21,,BER 21-21 (0),,"GOOD 3PTR by JOHNSON,CALEB",1
--,"ASSIST  by JONES,BLAKE",,,,,,,"ASSIST  by JONES,BLAKE",1
04:23,,,,,"MISS JUMPER by SINE,TUCKER",,,"MISS JUMPER by SINE,TUCKER",1
--,"REBOUND DEF by MCCLOUD,ALTON",,,,,,,"REBOUND DEF by MCCLOUD,ALTON",1
04:15,"MISS LAYUP by MCCLOUD,ALTON",,,,,,,"MISS LAYUP by MCCLOUD,ALTON",1
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",1
03:59,,,,,"TURNOVER  by AYERS,PERRY",,,"TURNOVER  by AYERS,PERRY",1
