Time Remaining,CENTREM,Away Team Score,Play Team Indicator,Home Team Score,OGL-M,Game Score,Team Indicator,Play,Period
16:05,"FOUL  by WILSON,DREW",,,,,,,"FOUL  by WILSON,DREW",1
16:05,,7,,11 (+4),"GOOD FT by JAMES,JORDAN",OGL-M 7-11 (-4),,"GOOD FT by JAMES,JORDAN",1
15:43,"MISS 3PTR by BAUGHMAN,CARTER",,,,,,,"MISS 3PTR by BAUGHMAN,CARTER",1
--,,,,,"REBOUND DEF by EZIGBO,UBA",,,"REBOUND DEF by EZIGBO,UBA",1
15:32,,7,,13 (+6),"GOOD JUMPER by JAMES,JORDAN(in the paint)",OGL-M 7-13 (-6),,"GOOD JUMPER by JAMES,JORDAN(in the paint)",1
15:09,"MISS 3PTR by WILSON,DREW",,,,,,,"MISS 3PTR by WILSON,DREW",1
--,,,,,"REBOUND DEF by KEMP,JACKSON",,,"REBOUND DEF by KEMP,JACKSON",1
14:56,,,,,"MISS LAYUP by JAMES,JORDAN",,,"MISS LAYUP by JAMES,JORDAN",1
14:56,"BLOCK  by RING,NOAH",,,,,,,"BLOCK  by RING,NOAH",1
--,"REBOUND DEF by TAYLOR,MARSHALL",,,,,,,"REBOUND DEF by TAYLOR,MARSHALL",1
14:46,"MISS 3PTR by STINNETT,CADE",,,,,,,"MISS 3PTR by STINNETT,CADE",1
--,,,,,"REBOUND DEF by EZIGBO,UBA",,,"REBOUND DEF by EZIGBO,UBA",1
14:37,,,,,"MISS 3PTR by DOOLEY,MALACHI",,,"MISS 3PTR by DOOLEY,MALACHI",1
--,,,,,"REBOUND OFF by JAMES,JORDAN",,,"REBOUND OFF by JAMES,JORDAN",1
14:31,,,,,"MISS 3PTR by JENEI,RYAN",,,"MISS 3PTR by JENEI,RYAN",1
--,"REBOUND DEF by STINNETT,CADE",,,,,,,"REBOUND DEF by STINNETT,CADE",1
14:15,"MISS 3PTR by BAUGHMAN,CARTER",,,,,,,"MISS 3PTR by BAUGHMAN,CARTER",1
--,,,,,"REBOUND DEF by KEMP,JACKSON",,,"REBOUND DEF by KEMP,JACKSON",1
14:06,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
14:06,"SUB IN by MOORE,CHEZ",,,,,,,"SUB IN by MOORE,CHEZ",1
14:06,"SUB IN by COLEMAN,HUNTER",,,,,,,"SUB IN by COLEMAN,HUNTER",1
14:06,"SUB OUT by TAYLOR,MARSHALL",,,,,,,"SUB OUT by TAYLOR,MARSHALL",1
14:06,"SUB OUT by RING,NOAH",,,,,,,"SUB OUT by RING,NOAH",1
14:06,,,,,"SUB IN by SMITH,BRENT",,,"SUB IN by SMITH,BRENT",1
14:06,,,,,"SUB IN by REISMAN,ROBERT",,,"SUB IN by REISMAN,ROBERT",1
14:06,,,,,"SUB IN by HARRIS,TREY",,,"SUB IN by HARRIS,TREY",1
14:06,,,,,"SUB IN by BENNIFIELD,DYLAN",,,"SUB IN by BENNIFIELD,DYLAN",1
14:06,,,,,"SUB IN by KEMP,MASON",,,"SUB IN by KEMP,MASON",1
14:06,,,,,"SUB OUT by EZIGBO,UBA",,,"SUB OUT by EZIGBO,UBA",1
14:06,,,,,"SUB OUT by DOOLEY,MALACHI",,,"SUB OUT by DOOLEY,MALACHI",1
14:06,,,,,"SUB OUT by JAMES,JORDAN",,,"SUB OUT by JAMES,JORDAN",1
14:06,,,,,"SUB OUT by JENEI,RYAN",,,"SUB OUT by JENEI,RYAN",1
14:06,,,,,"SUB OUT by KEMP,JACKSON",,,"SUB OUT by KEMP,JACKSON",1
13:45,,,,,"MISS JUMPER by REISMAN,ROBERT",,,"MISS JUMPER by REISMAN,ROBERT",1
--,"REBOUND DEF by BAUGHMAN,CARTER",,,,,,,"REBOUND DEF by BAUGHMAN,CARTER",1
13:22,,,,,"FOUL  by SMITH,BRENT",,,"FOUL  by SMITH,BRENT",1
13:22,"MISS FT by MOORE,CHEZ",,,,,,,"MISS FT by MOORE,CHEZ",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
13:22,"MISS FT by MOORE,CHEZ",,,,,,,"MISS FT by MOORE,CHEZ",1
--,,,,,"REBOUND DEF by SMITH,BRENT",,,"REBOUND DEF by SMITH,BRENT",1
13:22,"SUB IN by RAYMER,COLBY",,,,,,,"SUB IN by RAYMER,COLBY",1
13:22,"SUB IN by MARKHAM,DRU",,,,,,,"SUB IN by MARKHAM,DRU",1
13:22,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",1
13:22,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",1
13:02,,,,,"MISS LAYUP by SMITH,BRENT",,,"MISS LAYUP by SMITH,BRENT",1
--,,,,,"REBOUND OFF by REISMAN,ROBERT",,,"REBOUND OFF by REISMAN,ROBERT",1
13:00,,7,,15 (+8),"GOOD TIPIN by REISMAN,ROBERT(in the paint)",OGL-M 7-15 (-8),,"GOOD TIPIN by REISMAN,ROBERT(in the paint)",1
12:37,"MISS 3PTR by COLEMAN,HUNTER",,,,,,,"MISS 3PTR by COLEMAN,HUNTER",1
--,"REBOUND OFF by STINNETT,CADE",,,,,,,"REBOUND OFF by STINNETT,CADE",1
12:34,,,,,"FOUL  by SMITH,BRENT",,,"FOUL  by SMITH,BRENT",1
12:34,"GOOD FT by STINNETT,CADE",8,,15 (+7),,CENTREM 8-15 (-7),,"GOOD FT by STINNETT,CADE",1
12:34,"GOOD FT by STINNETT,CADE",9,,15 (+6),,CENTREM 9-15 (-6),,"GOOD FT by STINNETT,CADE",1
12:34,"SUB IN by JONES,KAM",,,,,,,"SUB IN by JONES,KAM",1
12:34,"SUB OUT by STINNETT,CADE",,,,,,,"SUB OUT by STINNETT,CADE",1
12:34,,,,,"SUB IN by JENEI,RYAN",,,"SUB IN by JENEI,RYAN",1
12:34,,,,,"SUB IN by O'DONOGHUE,TYLER",,,"SUB IN by O'DONOGHUE,TYLER",1
12:34,,,,,"SUB OUT by SMITH,BRENT",,,"SUB OUT by SMITH,BRENT",1
12:34,,,,,"SUB OUT by REISMAN,ROBERT",,,"SUB OUT by REISMAN,ROBERT",1
12:12,,9,,18 (+9),"GOOD 3PTR by HARRIS,TREY",OGL-M 9-18 (-9),,"GOOD 3PTR by HARRIS,TREY",1
--,,,,,"ASSIST  by O'DONOGHUE,TYLER",,,"ASSIST  by O'DONOGHUE,TYLER",1
11:40,"GOOD 3PTR by JONES,KAM",12,,18 (+6),,CENTREM 12-18 (-6),,"GOOD 3PTR by JONES,KAM",1
--,"ASSIST  by MARKHAM,DRU",,,,,,,"ASSIST  by MARKHAM,DRU",1
11:24,,12,,21 (+9),"GOOD 3PTR by HARRIS,TREY",OGL-M 12-21 (-9),,"GOOD 3PTR by HARRIS,TREY",1
--,,,,,"ASSIST  by BENNIFIELD,DYLAN",,,"ASSIST  by BENNIFIELD,DYLAN",1
10:52,"MISS LAYUP by MOORE,CHEZ",,,,,,,"MISS LAYUP by MOORE,CHEZ",1
--,,,,,"REBOUND DEF by KEMP,MASON",,,"REBOUND DEF by KEMP,MASON",1
10:49,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
10:49,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",1
10:49,"SUB IN by BAUGHMAN,CARTER",,,,,,,"SUB IN by BAUGHMAN,CARTER",1
10:49,"SUB IN by RING,NOAH",,,,,,,"SUB IN by RING,NOAH",1
10:49,"SUB OUT by RAYMER,COLBY",,,,,,,"SUB OUT by RAYMER,COLBY",1
10:49,"SUB OUT by MOORE,CHEZ",,,,,,,"SUB OUT by MOORE,CHEZ",1
10:49,"SUB OUT by MARKHAM,DRU",,,,,,,"SUB OUT by MARKHAM,DRU",1
10:37,,,,,"MISS 3PTR by KEMP,MASON",,,"MISS 3PTR by KEMP,MASON",1
--,,,,,"REBOUND OFF by O'DONOGHUE,TYLER",,,"REBOUND OFF by O'DONOGHUE,TYLER",1
10:33,,,,,"MISS LAYUP by O'DONOGHUE,TYLER",,,"MISS LAYUP by O'DONOGHUE,TYLER",1
--,"REBOUND DEF by JONES,KAM",,,,,,,"REBOUND DEF by JONES,KAM",1
10:18,"GOOD LAYUP by WILSON,DREW(in the paint)",14,,21 (+7),,CENTREM 14-21 (-7),,"GOOD LAYUP by WILSON,DREW(in the paint)",1
10:02,,,,,"MISS LAYUP by BENNIFIELD,DYLAN",,,"MISS LAYUP by BENNIFIELD,DYLAN",1
--,"REBOUND DEF by COLEMAN,HUNTER",,,,,,,"REBOUND DEF by COLEMAN,HUNTER",1
09:55,"GOOD 3PTR by WILSON,DREW",17,,21 (+4),,CENTREM 17-21 (-4),,"GOOD 3PTR by WILSON,DREW",1
--,"ASSIST  by COLEMAN,HUNTER",,,,,,,"ASSIST  by COLEMAN,HUNTER",1
09:29,,,,,"MISS LAYUP by KEMP,MASON",,,"MISS LAYUP by KEMP,MASON",1
--,"REBOUND DEF by RING,NOAH",,,,,,,"REBOUND DEF by RING,NOAH",1
09:13,"GOOD 3PTR by COLEMAN,HUNTER",20,,21 (+1),,CENTREM 20-21 (-1),,"GOOD 3PTR by COLEMAN,HUNTER",1
--,"ASSIST  by WILSON,DREW",,,,,,,"ASSIST  by WILSON,DREW",1
08:55,,20,,23 (+3),"GOOD LAYUP by O'DONOGHUE,TYLER(in the paint)",OGL-M 20-23 (-3),,"GOOD LAYUP by O'DONOGHUE,TYLER(in the paint)",1
08:27,,,,,"FOUL  by BENNIFIELD,DYLAN",,,"FOUL  by BENNIFIELD,DYLAN",1
08:27,,,,,"SUB IN by KEMP,JACKSON",,,"SUB IN by KEMP,JACKSON",1
08:27,,,,,"SUB IN by CHERRY,GRIFFIN",,,"SUB IN by CHERRY,GRIFFIN",1
08:27,,,,,"SUB IN by JAMES,JORDAN",,,"SUB IN by JAMES,JORDAN",1
08:27,,,,,"SUB IN by EZIGBO,UBA",,,"SUB IN by EZIGBO,UBA",1
08:27,,,,,"SUB OUT by O'DONOGHUE,TYLER",,,"SUB OUT by O'DONOGHUE,TYLER",1
08:27,,,,,"SUB OUT by HARRIS,TREY",,,"SUB OUT by HARRIS,TREY",1
08:27,,,,,"SUB OUT by BENNIFIELD,DYLAN",,,"SUB OUT by BENNIFIELD,DYLAN",1
08:27,,,,,"SUB OUT by KEMP,MASON",,,"SUB OUT by KEMP,MASON",1
08:23,"MISS 3PTR by BAUGHMAN,CARTER",,,,,,,"MISS 3PTR by BAUGHMAN,CARTER",1
--,,,,,"REBOUND DEF by KEMP,JACKSON",,,"REBOUND DEF by KEMP,JACKSON",1
08:03,"SUB IN by STINNETT,CADE",,,,,,,"SUB IN by STINNETT,CADE",1
08:03,"SUB OUT by JONES,KAM",,,,,,,"SUB OUT by JONES,KAM",1
07:53,,,,,"TURNOVER  by KEMP,JACKSON",,,"TURNOVER  by KEMP,JACKSON",1
07:53,"STEAL  by STINNETT,CADE",,,,,,,"STEAL  by STINNETT,CADE",1
07:47,"GOOD JUMPER by COLEMAN,HUNTER(fastbreak)",22,,23 (+1),,CENTREM 22-23 (-1),,"GOOD JUMPER by COLEMAN,HUNTER(fastbreak)",1
07:32,,22,,25 (+3),"GOOD JUMPER by JAMES,JORDAN(in the paint)",OGL-M 22-25 (-3),,"GOOD JUMPER by JAMES,JORDAN(in the paint)",1
--,,,,,"ASSIST  by CHERRY,GRIFFIN",,,"ASSIST  by CHERRY,GRIFFIN",1
07:08,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,1
07:08,"SUB IN by MOORE,CHEZ",,,,,,,"SUB IN by MOORE,CHEZ",1
07:08,"SUB IN by TAYLOR,MARSHALL",,,,,,,"SUB IN by TAYLOR,MARSHALL",1
07:08,"SUB OUT by RING,NOAH",,,,,,,"SUB OUT by RING,NOAH",1
07:08,"SUB OUT by COLEMAN,HUNTER",,,,,,,"SUB OUT by COLEMAN,HUNTER",1
07:05,,,,,"FOUL  by JENEI,RYAN",,,"FOUL  by JENEI,RYAN",1
07:05,"GOOD FT by STINNETT,CADE",23,,25 (+2),,CENTREM 23-25 (-2),,"GOOD FT by STINNETT,CADE",1
07:05,"GOOD FT by STINNETT,CADE",24,,25 (+1),,CENTREM 24-25 (-1),,"GOOD FT by STINNETT,CADE",1
07:05,"SUB IN by RAYMER,COLBY",,,,,,,"SUB IN by RAYMER,COLBY",1
07:05,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",1
06:51,,24,,28 (+4),"GOOD 3PTR by EZIGBO,UBA",OGL-M 24-28 (-4),,"GOOD 3PTR by EZIGBO,UBA",1
06:27,"TURNOVER  by WILSON,DREW",,,,,,,"TURNOVER  by WILSON,DREW",1
06:27,,,,,"SUB IN by HARRIS,TREY",,,"SUB IN by HARRIS,TREY",1
06:27,,,,,"SUB OUT by JENEI,RYAN",,,"SUB OUT by JENEI,RYAN",1
06:14,,,,,"MISS 3PTR by CHERRY,GRIFFIN",,,"MISS 3PTR by CHERRY,GRIFFIN",1
--,"REBOUND DEF by STINNETT,CADE",,,,,,,"REBOUND DEF by STINNETT,CADE",1
06:03,"GOOD LAYUP by MOORE,CHEZ(in the paint)",26,,28 (+2),,CENTREM 26-28 (-2),,"GOOD LAYUP by MOORE,CHEZ(in the paint)",1
05:45,,26,,30 (+4),"GOOD LAYUP by JAMES,JORDAN(in the paint)",OGL-M 26-30 (-4),,"GOOD LAYUP by JAMES,JORDAN(in the paint)",1
05:43,"FOUL  by MOORE,CHEZ",,,,,,,"FOUL  by MOORE,CHEZ",1
05:43,,26,,31 (+5),"GOOD FT by JAMES,JORDAN",OGL-M 26-31 (-5),,"GOOD FT by JAMES,JORDAN",1
05:43,"SUB IN by MARKHAM,DRU",,,,,,,"SUB IN by MARKHAM,DRU",1
05:43,"SUB IN by BAUGHMAN,CARTER",,,,,,,"SUB IN by BAUGHMAN,CARTER",1
05:43,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",1
05:43,"SUB OUT by RAYMER,COLBY",,,,,,,"SUB OUT by RAYMER,COLBY",1
05:43,,,,,"SUB IN by DOOLEY,MALACHI",,,"SUB IN by DOOLEY,MALACHI",1
05:43,,,,,"SUB OUT by CHERRY,GRIFFIN",,,"SUB OUT by CHERRY,GRIFFIN",1
05:35,,,,,"FOUL  by JAMES,JORDAN",,,"FOUL  by JAMES,JORDAN",1
05:16,"MISS 3PTR by BAUGHMAN,CARTER",,,,,,,"MISS 3PTR by BAUGHMAN,CARTER",1
--,,,,,"REBOUND DEF by HARRIS,TREY",,,"REBOUND DEF by HARRIS,TREY",1
05:05,"FOUL  by BAUGHMAN,CARTER",,,,,,,"FOUL  by BAUGHMAN,CARTER",1
05:05,,26,,32 (+6),"GOOD FT by KEMP,JACKSON",OGL-M 26-32 (-6),,"GOOD FT by KEMP,JACKSON",1
05:05,,26,,33 (+7),"GOOD FT by KEMP,JACKSON",OGL-M 26-33 (-7),,"GOOD FT by KEMP,JACKSON",1
05:05,"SUB IN by RING,NOAH",,,,,,,"SUB IN by RING,NOAH",1
05:05,"SUB OUT by MOORE,CHEZ",,,,,,,"SUB OUT by MOORE,CHEZ",1
04:37,"TURNOVER  by STINNETT,CADE",,,,,,,"TURNOVER  by STINNETT,CADE",1
04:36,,,,,"STEAL  by DOOLEY,MALACHI",,,"STEAL  by DOOLEY,MALACHI",1
04:34,"FOUL  by TAYLOR,MARSHALL",,,,,,,"FOUL  by TAYLOR,MARSHALL",1
04:34,,,,,"MISS FT by DOOLEY,MALACHI",,,"MISS FT by DOOLEY,MALACHI",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
04:34,,,,,"MISS FT by DOOLEY,MALACHI",,,"MISS FT by DOOLEY,MALACHI",1
--,"REBOUND DEF by RING,NOAH",,,,,,,"REBOUND DEF by RING,NOAH",1
04:34,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",1
04:34,"SUB IN by COLEMAN,HUNTER",,,,,,,"SUB IN by COLEMAN,HUNTER",1
04:34,"SUB IN by JONES,KAM",,,,,,,"SUB IN by JONES,KAM",1
04:34,"SUB OUT by MARKHAM,DRU",,,,,,,"SUB OUT by MARKHAM,DRU",1
04:34,"SUB OUT by STINNETT,CADE",,,,,,,"SUB OUT by STINNETT,CADE",1
04:34,"SUB OUT by TAYLOR,MARSHALL",,,,,,,"SUB OUT by TAYLOR,MARSHALL",1
04:15,"MISS LAYUP by WILSON,DREW",,,,,,,"MISS LAYUP by WILSON,DREW",1
--,"REBOUND OFF by JONES,KAM",,,,,,,"REBOUND OFF by JONES,KAM",1
04:08,"MISS 3PTR by COLEMAN,HUNTER",,,,,,,"MISS 3PTR by COLEMAN,HUNTER",1
--,,,,,"REBOUND DEF by EZIGBO,UBA",,,"REBOUND DEF by EZIGBO,UBA",1
03:54,,,,,"FOUL  by EZIGBO,UBA",,,"FOUL  by EZIGBO,UBA",1
03:54,,,,,"TURNOVER  by EZIGBO,UBA",,,"TURNOVER  by EZIGBO,UBA",1
03:54,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,1
03:54,"SUB IN by STINNETT,CADE",,,,,,,"SUB IN by STINNETT,CADE",1
03:54,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",1
03:32,"GOOD LAYUP by WILSON,DREW(in the paint)",28,,33 (+5),,CENTREM 28-33 (-5),,"GOOD LAYUP by WILSON,DREW(in the paint)",1
03:05,,28,,35 (+7),"GOOD JUMPER by JAMES,JORDAN(in the paint)",OGL-M 28-35 (-7),,"GOOD JUMPER by JAMES,JORDAN(in the paint)",1
--,,,,,"ASSIST  by DOOLEY,MALACHI",,,"ASSIST  by DOOLEY,MALACHI",1
02:33,"GOOD 3PTR by WILSON,DREW",31,,35 (+4),,CENTREM 31-35 (-4),,"GOOD 3PTR by WILSON,DREW",1
--,"ASSIST  by STINNETT,CADE",,,,,,,"ASSIST  by STINNETT,CADE",1
02:11,,,,,"MISS LAYUP by KEMP,JACKSON",,,"MISS LAYUP by KEMP,JACKSON",1
02:11,"BLOCK  by RING,NOAH",,,,,,,"BLOCK  by RING,NOAH",1
--,"REBOUND DEF by JONES,KAM",,,,,,,"REBOUND DEF by JONES,KAM",1
02:04,"MISS 3PTR by WILSON,DREW",,,,,,,"MISS 3PTR by WILSON,DREW",1
--,,,,,"REBOUND DEF by JAMES,JORDAN",,,"REBOUND DEF by JAMES,JORDAN",1
01:53,,31,,37 (+6),"GOOD JUMPER by EZIGBO,UBA",OGL-M 31-37 (-6),,"GOOD JUMPER by EZIGBO,UBA",1
01:36,"TURNOVER  by JONES,KAM",,,,,,,"TURNOVER  by JONES,KAM",1
01:35,,,,,"STEAL  by DOOLEY,MALACHI",,,"STEAL  by DOOLEY,MALACHI",1
01:33,,31,,39 (+8),"GOOD LAYUP by DOOLEY,MALACHI(fastbreak)(in the paint)",OGL-M 31-39 (-8),,"GOOD LAYUP by DOOLEY,MALACHI(fastbreak)(in the paint)",1
01:29,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
01:29,"SUB IN by BAUGHMAN,CARTER",,,,,,,"SUB IN by BAUGHMAN,CARTER",1
01:29,"SUB OUT by JONES,KAM",,,,,,,"SUB OUT by JONES,KAM",1
01:29,,,,,"SUB IN by KEMP,MASON",,,"SUB IN by KEMP,MASON",1
01:29,,,,,"SUB OUT by KEMP,JACKSON",,,"SUB OUT by KEMP,JACKSON",1
00:59,"GOOD 3PTR by COLEMAN,HUNTER",34,,39 (+5),,CENTREM 34-39 (-5),,"GOOD 3PTR by COLEMAN,HUNTER",1
00:38,"FOUL  by RING,NOAH",,,,,,,"FOUL  by RING,NOAH",1
00:38,,34,,40 (+6),"GOOD FT by HARRIS,TREY",OGL-M 34-40 (-6),,"GOOD FT by HARRIS,TREY",1
00:38,,34,,41 (+7),"GOOD FT by HARRIS,TREY",OGL-M 34-41 (-7),,"GOOD FT by HARRIS,TREY",1
00:38,"SUB IN by MOORE,CHEZ",,,,,,,"SUB IN by MOORE,CHEZ",1
00:38,"SUB OUT by RING,NOAH",,,,,,,"SUB OUT by RING,NOAH",1
00:28,"TURNOVER  by MOORE,CHEZ",,,,,,,"TURNOVER  by MOORE,CHEZ",1
00:27,,,,,"STEAL  by DOOLEY,MALACHI",,,"STEAL  by DOOLEY,MALACHI",1
00:22,,,,,"TURNOVER  by JAMES,JORDAN",,,"TURNOVER  by JAMES,JORDAN",1
00:22,"SUB IN by MARKHAM,DRU",,,,,,,"SUB IN by MARKHAM,DRU",1
00:22,"SUB OUT by MOORE,CHEZ",,,,,,,"SUB OUT by MOORE,CHEZ",1
00:05,"GOOD 3PTR by COLEMAN,HUNTER",37,,41 (+4),,CENTREM 37-41 (-4),,"GOOD 3PTR by COLEMAN,HUNTER",1
20:00,,,,,"SUB IN by BENNIFIELD,DYLAN",,,"SUB IN by BENNIFIELD,DYLAN",2
20:00,,,,,"SUB OUT by DOOLEY,MALACHI",,,"SUB OUT by DOOLEY,MALACHI",2
19:39,"GOOD LAYUP by STINNETT,CADE(in the paint)",39,,41 (+2),,CENTREM 39-41 (-2),,"GOOD LAYUP by STINNETT,CADE(in the paint)",2
--,"ASSIST  by WILSON,DREW",,,,,,,"ASSIST  by WILSON,DREW",2
19:12,,,,,"FOUL  by BENNIFIELD,DYLAN",,,"FOUL  by BENNIFIELD,DYLAN",2
19:12,,,,,"TURNOVER  by BENNIFIELD,DYLAN",,,"TURNOVER  by BENNIFIELD,DYLAN",2
18:52,"MISS 3PTR by RING,NOAH",,,,,,,"MISS 3PTR by RING,NOAH",2
--,,,,,"REBOUND DEF by EZIGBO,UBA",,,"REBOUND DEF by EZIGBO,UBA",2
18:43,,,,,"MISS LAYUP by EZIGBO,UBA",,,"MISS LAYUP by EZIGBO,UBA",2
--,,,,,"REBOUND OFF by EZIGBO,UBA",,,"REBOUND OFF by EZIGBO,UBA",2
18:41,"FOUL  by WILSON,DREW",,,,,,,"FOUL  by WILSON,DREW",2
18:28,,,,,"TURNOVER  by JAMES,JORDAN",,,"TURNOVER  by JAMES,JORDAN",2
18:14,"GOOD 3PTR by TAYLOR,MARSHALL",42 (+1),,41,,CENTREM 42-41 (+1),,"GOOD 3PTR by TAYLOR,MARSHALL",2
--,"ASSIST  by BAUGHMAN,CARTER",,,,,,,"ASSIST  by BAUGHMAN,CARTER",2
17:52,,,,,"MISS 3PTR by KEMP,JACKSON",,,"MISS 3PTR by KEMP,JACKSON",2
--,"REBOUND DEF by STINNETT,CADE",,,,,,,"REBOUND DEF by STINNETT,CADE",2
17:40,"MISS 3PTR by BAUGHMAN,CARTER",,,,,,,"MISS 3PTR by BAUGHMAN,CARTER",2
--,,,,,"REBOUND DEF by EZIGBO,UBA",,,"REBOUND DEF by EZIGBO,UBA",2
17:32,,,,,"MISS LAYUP by EZIGBO,UBA",,,"MISS LAYUP by EZIGBO,UBA",2
17:32,"BLOCK  by RING,NOAH",,,,,,,"BLOCK  by RING,NOAH",2
--,"REBOUND DEF by WILSON,DREW",,,,,,,"REBOUND DEF by WILSON,DREW",2
17:12,"MISS 3PTR by RING,NOAH",,,,,,,"MISS 3PTR by RING,NOAH",2
--,,,,,"REBOUND DEF by KEMP,JACKSON",,,"REBOUND DEF by KEMP,JACKSON",2
17:05,,,,,"MISS JUMPER by EZIGBO,UBA",,,"MISS JUMPER by EZIGBO,UBA",2
--,"REBOUND DEF by RING,NOAH",,,,,,,"REBOUND DEF by RING,NOAH",2
16:48,,,,,"FOUL  by JAMES,JORDAN",,,"FOUL  by JAMES,JORDAN",2
16:48,"GOOD FT by WILSON,DREW",43 (+2),,41,,CENTREM 43-41 (+2),,"GOOD FT by WILSON,DREW",2
16:48,"MISS FT by WILSON,DREW",,,,,,,"MISS FT by WILSON,DREW",2
--,"REBOUND OFF by MOORE,CHEZ",,,,,,,"REBOUND OFF by MOORE,CHEZ",2
16:48,"SUB IN by MOORE,CHEZ",,,,,,,"SUB IN by MOORE,CHEZ",2
16:48,"SUB OUT by RING,NOAH",,,,,,,"SUB OUT by RING,NOAH",2
16:41,"GOOD 3PTR by STINNETT,CADE",46 (+5),,41,,CENTREM 46-41 (+5),,"GOOD 3PTR by STINNETT,CADE",2
--,"ASSIST  by BAUGHMAN,CARTER",,,,,,,"ASSIST  by BAUGHMAN,CARTER",2
16:26,,,,,"TURNOVER  by EZIGBO,UBA",,,"TURNOVER  by EZIGBO,UBA",2
