Time Remaining,Centre,Away Team Score,Play Team Indicator,Home Team Score,GC,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by PROCTOR,LUKE",,,"REBOUND DEF by PROCTOR,LUKE",2
15:44,,,,,"MISS LAYUP by DAVIS,JORDEN(in the paint)",,,"MISS LAYUP by DAVIS,JORDEN(in the paint)",2
--,,,,,"REBOUND OFF by BURCH,JULIUS",,,"REBOUND OFF by BURCH,JULIUS",2
15:41,,25,,39 (+14),"GOOD LAYUP by BURCH,JULIUS(in the paint)",GC 25-39 (-14),,"GOOD LAYUP by BURCH,JULIUS(in the paint)",2
15:25,"MISS 3PTR by TAYLOR,MARSHALL",,,,,,,"MISS 3PTR by TAYLOR,MARSHALL",2
15:25,,,,,"BLOCK  by PROCTOR,LUKE",,,"BLOCK  by PROCTOR,LUKE",2
--,,,,,"REBOUND DEF by DAVIS,JORDEN",,,"REBOUND DEF by DAVIS,JORDEN",2
15:11,,25,,41 (+16),"GOOD LAYUP by DEARMAN,TYLER(in the paint)",GC 25-41 (-16),,"GOOD LAYUP by DEARMAN,TYLER(in the paint)",2
15:11,"FOUL  by RING,NOAH",,,,,,,"FOUL  by RING,NOAH",2
15:11,,,,,"SUB OUT by DAVIS,JORDEN",,,"SUB OUT by DAVIS,JORDEN",2
15:11,,,,,"SUB OUT by BURCH,JULIUS",,,"SUB OUT by BURCH,JULIUS",2
15:11,,,,,"SUB IN by LITTLEJOHN,ROB",,,"SUB IN by LITTLEJOHN,ROB",2
15:11,,,,,"SUB IN by BOWENS,ELIJAH",,,"SUB IN by BOWENS,ELIJAH",2
15:11,"SUB OUT by TAYLOR,MARSHALL",,,,,,,"SUB OUT by TAYLOR,MARSHALL",2
15:11,"SUB OUT by RING,NOAH",,,,,,,"SUB OUT by RING,NOAH",2
15:11,"SUB IN by COLEMAN,HUNTER",,,,,,,"SUB IN by COLEMAN,HUNTER",2
15:11,"SUB IN by MAUL,CALEB",,,,,,,"SUB IN by MAUL,CALEB",2
15:11,,25,,42 (+17),"GOOD FT by DEARMAN,TYLER",GC 25-42 (-17),,"GOOD FT by DEARMAN,TYLER",2
15:11,,,,,"SUB OUT by DEARMAN,TYLER",,,"SUB OUT by DEARMAN,TYLER",2
15:11,,,,,"SUB IN by PROCTOR,GABE",,,"SUB IN by PROCTOR,GABE",2
15:03,,,,,"FOUL  by PROCTOR,LUKE",,,"FOUL  by PROCTOR,LUKE",2
14:57,"TURNOVER  by STINNETT,CADE",,,,,,,"TURNOVER  by STINNETT,CADE",2
14:57,,,,,"STEAL  by BOWENS,ELIJAH",,,"STEAL  by BOWENS,ELIJAH",2
14:53,,,,,"TURNOVER  by BOWENS,ELIJAH",,,"TURNOVER  by BOWENS,ELIJAH",2
14:53,"STEAL  by BAUGHMAN,CARTER",,,,,,,"STEAL  by BAUGHMAN,CARTER",2
14:49,,,,,"FOUL  by WASHINGTON,MYLES",,,"FOUL  by WASHINGTON,MYLES",2
14:41,"GOOD 3PTR by STINNETT,CADE",28,,42 (+14),,Centre 28-42 (-14),,"GOOD 3PTR by STINNETT,CADE",2
--,"ASSIST  by COLEMAN,HUNTER",,,,,,,"ASSIST  by COLEMAN,HUNTER",2
14:38,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",2
14:38,"SUB IN by RAYMER,COLBY",,,,,,,"SUB IN by RAYMER,COLBY",2
14:32,,28,,45 (+17),"GOOD 3PTR by PROCTOR,GABE",GC 28-45 (-17),,"GOOD 3PTR by PROCTOR,GABE",2
--,,,,,"ASSIST  by LITTLEJOHN,ROB",,,"ASSIST  by LITTLEJOHN,ROB",2
14:17,"MISS 3PTR by STINNETT,CADE",,,,,,,"MISS 3PTR by STINNETT,CADE",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
13:52,,,,,"TURNOVER  by BOWENS,ELIJAH",,,"TURNOVER  by BOWENS,ELIJAH",2
13:52,"STEAL  by MAUL,CALEB",,,,,,,"STEAL  by MAUL,CALEB",2
13:31,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
13:31,,,,,"SUB OUT by PROCTOR,LUKE",,,"SUB OUT by PROCTOR,LUKE",2
13:31,,,,,"SUB IN by DEARMAN,TYLER",,,"SUB IN by DEARMAN,TYLER",2
13:22,"MISS 3PTR by STINNETT,CADE",,,,,,,"MISS 3PTR by STINNETT,CADE",2
--,,,,,"REBOUND DEF by PROCTOR,GABE",,,"REBOUND DEF by PROCTOR,GABE",2
13:09,,28,,47 (+19),"GOOD JUMPER by BOWENS,ELIJAH",GC 28-47 (-19),,"GOOD JUMPER by BOWENS,ELIJAH",2
12:39,"MISS 3PTR by COLEMAN,HUNTER",,,,,,,"MISS 3PTR by COLEMAN,HUNTER",2
--,,,,,"REBOUND DEF by BOWENS,ELIJAH",,,"REBOUND DEF by BOWENS,ELIJAH",2
12:24,,,,,"MISS 3PTR by WASHINGTON,MYLES",,,"MISS 3PTR by WASHINGTON,MYLES",2
--,,,,,"REBOUND OFF by PROCTOR,GABE",,,"REBOUND OFF by PROCTOR,GABE",2
12:18,"FOUL  by MAUL,CALEB",,,,,,,"FOUL  by MAUL,CALEB",2
12:18,,28,,48 (+20),"GOOD FT by WASHINGTON,MYLES",GC 28-48 (-20),,"GOOD FT by WASHINGTON,MYLES",2
12:18,"SUB OUT by MAUL,CALEB",,,,,,,"SUB OUT by MAUL,CALEB",2
12:18,"SUB IN by RING,NOAH",,,,,,,"SUB IN by RING,NOAH",2
12:18,,28,,49 (+21),"GOOD FT by WASHINGTON,MYLES",GC 28-49 (-21),,"GOOD FT by WASHINGTON,MYLES",2
12:18,"SUB OUT by COLEMAN,HUNTER",,,,,,,"SUB OUT by COLEMAN,HUNTER",2
12:18,"SUB IN by JONES,KAM",,,,,,,"SUB IN by JONES,KAM",2
11:55,,,,,"FOUL  by BOWENS,ELIJAH",,,"FOUL  by BOWENS,ELIJAH",2
11:39,"MISS 3PTR by RING,NOAH",,,,,,,"MISS 3PTR by RING,NOAH",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
11:36,,,,,"FOUL  by PROCTOR,GABE",,,"FOUL  by PROCTOR,GABE",2
11:36,,,,,"FOUL  by DEARMAN,TYLER",,,"FOUL  by DEARMAN,TYLER",2
11:36,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",2
11:36,"SUB IN by MOORE,CHEZ",,,,,,,"SUB IN by MOORE,CHEZ",2
11:36,"GOOD FT by STINNETT,CADE",29,,49 (+20),,Centre 29-49 (-20),,"GOOD FT by STINNETT,CADE",2
11:36,"GOOD FT by STINNETT,CADE",30,,49 (+19),,Centre 30-49 (-19),,"GOOD FT by STINNETT,CADE",2
11:23,,,,,"TURNOVER  by BOWENS,ELIJAH",,,"TURNOVER  by BOWENS,ELIJAH",2
11:07,"TURNOVER  by MOORE,CHEZ",,,,,,,"TURNOVER  by MOORE,CHEZ",2
11:07,,,,,"SUB OUT by LITTLEJOHN,ROB",,,"SUB OUT by LITTLEJOHN,ROB",2
11:07,,,,,"SUB OUT by WASHINGTON,MYLES",,,"SUB OUT by WASHINGTON,MYLES",2
11:07,,,,,"SUB IN by DAVIS,JORDEN",,,"SUB IN by DAVIS,JORDEN",2
11:07,,,,,"SUB IN by BURCH,JULIUS",,,"SUB IN by BURCH,JULIUS",2
10:50,"FOUL  by MOORE,CHEZ",,,,,,,"FOUL  by MOORE,CHEZ",2
10:50,"SUB OUT by JONES,KAM",,,,,,,"SUB OUT by JONES,KAM",2
10:50,"SUB IN by BAUGHMAN,CARTER",,,,,,,"SUB IN by BAUGHMAN,CARTER",2
10:48,,30,,52 (+22),"GOOD 3PTR by PROCTOR,GABE",GC 30-52 (-22),,"GOOD 3PTR by PROCTOR,GABE",2
--,,,,,"ASSIST  by BOWENS,ELIJAH",,,"ASSIST  by BOWENS,ELIJAH",2
10:24,,,,,"FOUL  by BOWENS,ELIJAH",,,"FOUL  by BOWENS,ELIJAH",2
10:24,"MISS FT by BAUGHMAN,CARTER",,,,,,,"MISS FT by BAUGHMAN,CARTER",2
--,,,,,"REBOUND DEF by PROCTOR,GABE",,,"REBOUND DEF by PROCTOR,GABE",2
10:08,,30,,54 (+24),"GOOD JUMPER by BOWENS,ELIJAH(in the paint)",GC 30-54 (-24),,"GOOD JUMPER by BOWENS,ELIJAH(in the paint)",2
09:54,"GOOD LAYUP by STINNETT,CADE(in the paint)",32,,54 (+22),,Centre 32-54 (-22),,"GOOD LAYUP by STINNETT,CADE(in the paint)",2
09:44,"FOUL  by RAYMER,COLBY",,,,,,,"FOUL  by RAYMER,COLBY",2
09:44,,32,,55 (+23),"GOOD FT by DAVIS,JORDEN",GC 32-55 (-23),,"GOOD FT by DAVIS,JORDEN",2
09:44,,,,,"SUB OUT by BOWENS,ELIJAH",,,"SUB OUT by BOWENS,ELIJAH",2
09:44,,,,,"SUB IN by PROCTOR,LUKE",,,"SUB IN by PROCTOR,LUKE",2
09:44,"SUB OUT by RAYMER,COLBY",,,,,,,"SUB OUT by RAYMER,COLBY",2
09:44,"SUB IN by LOVELL,TREY",,,,,,,"SUB IN by LOVELL,TREY",2
09:44,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
09:44,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
09:44,"SUB OUT by MOORE,CHEZ",,,,,,,"SUB OUT by MOORE,CHEZ",2
09:44,"SUB IN by KNOCHELMANN,PETE",,,,,,,"SUB IN by KNOCHELMANN,PETE",2
09:44,,32,,56 (+24),"GOOD FT by DAVIS,JORDEN",GC 32-56 (-24),,"GOOD FT by DAVIS,JORDEN",2
09:22,"MISS 3PTR by RING,NOAH",,,,,,,"MISS 3PTR by RING,NOAH",2
--,,,,,"REBOUND DEF by PROCTOR,LUKE",,,"REBOUND DEF by PROCTOR,LUKE",2
09:03,,,,,"TURNOVER  by PROCTOR,GABE",,,"TURNOVER  by PROCTOR,GABE",2
08:52,,,,,"FOUL  by PROCTOR,LUKE",,,"FOUL  by PROCTOR,LUKE",2
08:52,"GOOD FT by STINNETT,CADE",33,,56 (+23),,Centre 33-56 (-23),,"GOOD FT by STINNETT,CADE",2
08:52,,,,,"SUB OUT by PROCTOR,GABE",,,"SUB OUT by PROCTOR,GABE",2
08:52,,,,,"SUB IN by LITTLEJOHN,ROB",,,"SUB IN by LITTLEJOHN,ROB",2
08:52,"GOOD FT by STINNETT,CADE",34,,56 (+22),,Centre 34-56 (-22),,"GOOD FT by STINNETT,CADE",2
08:42,,34,,59 (+25),"GOOD 3PTR by PROCTOR,LUKE",GC 34-59 (-25),,"GOOD 3PTR by PROCTOR,LUKE",2
--,,,,,"ASSIST  by DAVIS,JORDEN",,,"ASSIST  by DAVIS,JORDEN",2
08:25,"TURNOVER  by LOVELL,TREY",,,,,,,"TURNOVER  by LOVELL,TREY",2
08:25,,,,,"STEAL  by DEARMAN,TYLER",,,"STEAL  by DEARMAN,TYLER",2
08:18,,34,,62 (+28),"GOOD 3PTR by DAVIS,JORDEN",GC 34-62 (-28),,"GOOD 3PTR by DAVIS,JORDEN",2
--,,,,,"ASSIST  by PROCTOR,LUKE",,,"ASSIST  by PROCTOR,LUKE",2
07:48,"MISS LAYUP by STINNETT,CADE(in the paint)",,,,,,,"MISS LAYUP by STINNETT,CADE(in the paint)",2
--,,,,,"REBOUND DEF by BURCH,JULIUS",,,"REBOUND DEF by BURCH,JULIUS",2
07:29,,34,,64 (+30),"GOOD LAYUP by LITTLEJOHN,ROB(in the paint)",GC 34-64 (-30),,"GOOD LAYUP by LITTLEJOHN,ROB(in the paint)",2
--,,,,,"ASSIST  by BURCH,JULIUS",,,"ASSIST  by BURCH,JULIUS",2
07:24,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
07:24,"SUB OUT by RING,NOAH",,,,,,,"SUB OUT by RING,NOAH",2
07:24,"SUB OUT by STINNETT,CADE",,,,,,,"SUB OUT by STINNETT,CADE",2
07:24,"SUB OUT by LOVELL,TREY",,,,,,,"SUB OUT by LOVELL,TREY",2
07:24,"SUB OUT by KNOCHELMANN,PETE",,,,,,,"SUB OUT by KNOCHELMANN,PETE",2
07:24,"SUB IN by TAYLOR,MARSHALL",,,,,,,"SUB IN by TAYLOR,MARSHALL",2
07:24,"SUB IN by MOORE,CHEZ",,,,,,,"SUB IN by MOORE,CHEZ",2
07:24,"SUB IN by MARKHAM,DRU",,,,,,,"SUB IN by MARKHAM,DRU",2
07:24,"SUB IN by MAUL,CALEB",,,,,,,"SUB IN by MAUL,CALEB",2
07:03,"MISS 3PTR by MOORE,CHEZ",,,,,,,"MISS 3PTR by MOORE,CHEZ",2
--,,,,,"REBOUND DEF by PROCTOR,LUKE",,,"REBOUND DEF by PROCTOR,LUKE",2
06:39,,34,,66 (+32),"GOOD JUMPER by BURCH,JULIUS(in the paint)",GC 34-66 (-32),,"GOOD JUMPER by BURCH,JULIUS(in the paint)",2
06:26,"TURNOVER  by MARKHAM,DRU",,,,,,,"TURNOVER  by MARKHAM,DRU",2
06:26,,,,,"STEAL  by DAVIS,JORDEN",,,"STEAL  by DAVIS,JORDEN",2
06:09,,,,,"MISS LAYUP by LITTLEJOHN,ROB(in the paint)",,,"MISS LAYUP by LITTLEJOHN,ROB(in the paint)",2
06:09,"BLOCK  by MOORE,CHEZ",,,,,,,"BLOCK  by MOORE,CHEZ",2
--,"REBOUND DEF by MAUL,CALEB",,,,,,,"REBOUND DEF by MAUL,CALEB",2
05:54,"TURNOVER  by MOORE,CHEZ",,,,,,,"TURNOVER  by MOORE,CHEZ",2
05:54,,,,,"STEAL  by BURCH,JULIUS",,,"STEAL  by BURCH,JULIUS",2
05:42,"FOUL  by BAUGHMAN,CARTER",,,,,,,"FOUL  by BAUGHMAN,CARTER",2
05:42,,,,,"SUB OUT by LITTLEJOHN,ROB",,,"SUB OUT by LITTLEJOHN,ROB",2
05:42,,,,,"SUB OUT by BURCH,JULIUS",,,"SUB OUT by BURCH,JULIUS",2
05:42,,,,,"SUB OUT by DEARMAN,TYLER",,,"SUB OUT by DEARMAN,TYLER",2
05:42,,,,,"SUB IN by EDWARDS,DAWSON",,,"SUB IN by EDWARDS,DAWSON",2
05:42,,,,,"SUB IN by WASHINGTON,MYLES",,,"SUB IN by WASHINGTON,MYLES",2
05:42,,,,,"SUB IN by FARRISH,CALEB",,,"SUB IN by FARRISH,CALEB",2
05:42,"SUB OUT by MOORE,CHEZ",,,,,,,"SUB OUT by MOORE,CHEZ",2
05:42,"SUB IN by BUSH,TYLER",,,,,,,"SUB IN by BUSH,TYLER",2
05:33,,,,,"MISS LAYUP by EDWARDS,DAWSON(in the paint)",,,"MISS LAYUP by EDWARDS,DAWSON(in the paint)",2
05:33,"BLOCK  by MAUL,CALEB",,,,,,,"BLOCK  by MAUL,CALEB",2
--,"REBOUND DEF by BUSH,TYLER",,,,,,,"REBOUND DEF by BUSH,TYLER",2
05:26,"MISS DUNK by MAUL,CALEB(in the paint)",,,,,,,"MISS DUNK by MAUL,CALEB(in the paint)",2
--,,,,,"REBOUND DEF by FARRISH,CALEB",,,"REBOUND DEF by FARRISH,CALEB",2
05:01,,,,,"MISS JUMPER by WASHINGTON,MYLES",,,"MISS JUMPER by WASHINGTON,MYLES",2
--,,,,,"REBOUND OFF by DAVIS,JORDEN",,,"REBOUND OFF by DAVIS,JORDEN",2
04:55,,34,,69 (+35),"GOOD 3PTR by DAVIS,JORDEN",GC 34-69 (-35),,"GOOD 3PTR by DAVIS,JORDEN",2
04:44,"GOOD LAYUP by MARKHAM,DRU(in the paint)",36,,69 (+33),,Centre 36-69 (-33),,"GOOD LAYUP by MARKHAM,DRU(in the paint)",2
04:44,,,,,"FOUL  by FARRISH,CALEB",,,"FOUL  by FARRISH,CALEB",2
04:43,,,,,"SUB OUT by FARRISH,CALEB",,,"SUB OUT by FARRISH,CALEB",2
04:43,,,,,"SUB IN by BLEYNAT,LUKE",,,"SUB IN by BLEYNAT,LUKE",2
04:43,"SUB OUT by TAYLOR,MARSHALL",,,,,,,"SUB OUT by TAYLOR,MARSHALL",2
04:43,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",2
04:43,"SUB IN by COLEMAN,HUNTER",,,,,,,"SUB IN by COLEMAN,HUNTER",2
04:43,"SUB IN by RAYMER,COLBY",,,,,,,"SUB IN by RAYMER,COLBY",2
04:43,"MISS FT by MARKHAM,DRU",,,,,,,"MISS FT by MARKHAM,DRU",2
--,,,,,"REBOUND DEF by BLEYNAT,LUKE",,,"REBOUND DEF by BLEYNAT,LUKE",2
04:28,,,,,"MISS LAYUP by BLEYNAT,LUKE(in the paint)",,,"MISS LAYUP by BLEYNAT,LUKE(in the paint)",2
--,"REBOUND DEF by MARKHAM,DRU",,,,,,,"REBOUND DEF by MARKHAM,DRU",2
04:14,"TURNOVER  by RAYMER,COLBY",,,,,,,"TURNOVER  by RAYMER,COLBY",2
04:14,,,,,"STEAL  by PROCTOR,LUKE",,,"STEAL  by PROCTOR,LUKE",2
04:09,,,,,"MISS JUMPER by WASHINGTON,MYLES(in the paint)",,,"MISS JUMPER by WASHINGTON,MYLES(in the paint)",2
--,,,,,"REBOUND OFF by EDWARDS,DAWSON",,,"REBOUND OFF by EDWARDS,DAWSON",2
04:03,,,,,"MISS LAYUP by BLEYNAT,LUKE(in the paint)",,,"MISS LAYUP by BLEYNAT,LUKE(in the paint)",2
04:03,"BLOCK  by MARKHAM,DRU",,,,,,,"BLOCK  by MARKHAM,DRU",2
--,,,,,"REBOUND OFF by EDWARDS,DAWSON",,,"REBOUND OFF by EDWARDS,DAWSON",2
03:50,,,,,"MISS 3PTR by DAVIS,JORDEN",,,"MISS 3PTR by DAVIS,JORDEN",2
--,"REBOUND DEF by MARKHAM,DRU",,,,,,,"REBOUND DEF by MARKHAM,DRU",2
03:38,"GOOD 3PTR by RAYMER,COLBY",39,,69 (+30),,Centre 39-69 (-30),,"GOOD 3PTR by RAYMER,COLBY",2
--,"ASSIST  by COLEMAN,HUNTER",,,,,,,"ASSIST  by COLEMAN,HUNTER",2
03:34,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
03:34,,,,,"SUB OUT by DAVIS,JORDEN",,,"SUB OUT by DAVIS,JORDEN",2
03:34,,,,,"SUB OUT by WASHINGTON,MYLES",,,"SUB OUT by WASHINGTON,MYLES",2
03:34,,,,,"SUB OUT by PROCTOR,LUKE",,,"SUB OUT by PROCTOR,LUKE",2
03:34,,,,,"SUB IN by BOWENS,ELIJAH",,,"SUB IN by BOWENS,ELIJAH",2
03:34,,,,,"SUB IN by JAWORSKI,RYAN",,,"SUB IN by JAWORSKI,RYAN",2
03:34,,,,,"SUB IN by BRODY,AUGIE",,,"SUB IN by BRODY,AUGIE",2
03:15,"FOUL  by MARKHAM,DRU",,,,,,,"FOUL  by MARKHAM,DRU",2
03:15,,,,,"MISS FT by BRODY,AUGIE",,,"MISS FT by BRODY,AUGIE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
03:14,,,,,"MISS FT by BRODY,AUGIE",,,"MISS FT by BRODY,AUGIE",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
02:55,,,,,"SUB OUT by BOWENS,ELIJAH",,,"SUB OUT by BOWENS,ELIJAH",2
02:55,,,,,"SUB OUT by BLEYNAT,LUKE",,,"SUB OUT by BLEYNAT,LUKE",2
02:55,,,,,"SUB IN by CLAYTON,KODY",,,"SUB IN by CLAYTON,KODY",2
02:55,,,,,"SUB IN by FORD,NOLAN",,,"SUB IN by FORD,NOLAN",2
02:50,"TURNOVER  by COLEMAN,HUNTER",,,,,,,"TURNOVER  by COLEMAN,HUNTER",2
02:50,"SUB OUT by COLEMAN,HUNTER",,,,,,,"SUB OUT by COLEMAN,HUNTER",2
02:50,"SUB OUT by BUSH,TYLER",,,,,,,"SUB OUT by BUSH,TYLER",2
02:50,"SUB OUT by MARKHAM,DRU",,,,,,,"SUB OUT by MARKHAM,DRU",2
02:50,"SUB OUT by RAYMER,COLBY",,,,,,,"SUB OUT by RAYMER,COLBY",2
02:50,"SUB IN by STEWART,BLAKE",,,,,,,"SUB IN by STEWART,BLAKE",2
02:50,"SUB IN by WOOLDRIDGE,CARSON",,,,,,,"SUB IN by WOOLDRIDGE,CARSON",2
02:50,"SUB IN by SIZEMORE,CLAY",,,,,,,"SUB IN by SIZEMORE,CLAY",2
02:50,"SUB IN by MAGEE,NOAH",,,,,,,"SUB IN by MAGEE,NOAH",2
02:32,,39,,72 (+33),"GOOD 3PTR by FORD,NOLAN",GC 39-72 (-33),,"GOOD 3PTR by FORD,NOLAN",2
--,,,,,"ASSIST  by CLAYTON,KODY",,,"ASSIST  by CLAYTON,KODY",2
02:09,"MISS 3PTR by MAGEE,NOAH",,,,,,,"MISS 3PTR by MAGEE,NOAH",2
--,,,,,"REBOUND DEF by FORD,NOLAN",,,"REBOUND DEF by FORD,NOLAN",2
01:56,,39,,74 (+35),"GOOD LAYUP by BRODY,AUGIE(in the paint)",GC 39-74 (-35),,"GOOD LAYUP by BRODY,AUGIE(in the paint)",2
01:42,"TURNOVER  by STEWART,BLAKE",,,,,,,"TURNOVER  by STEWART,BLAKE",2
01:42,,,,,"STEAL  by EDWARDS,DAWSON",,,"STEAL  by EDWARDS,DAWSON",2
01:35,,39,,76 (+37),"GOOD LAYUP by EDWARDS,DAWSON(in the paint)",GC 39-76 (-37),,"GOOD LAYUP by EDWARDS,DAWSON(in the paint)",2
01:20,"MISS 3PTR by MAGEE,NOAH",,,,,,,"MISS 3PTR by MAGEE,NOAH",2
--,,,,,"REBOUND DEF by CLAYTON,KODY",,,"REBOUND DEF by CLAYTON,KODY",2
01:08,,,,,"TURNOVER  by CLAYTON,KODY",,,"TURNOVER  by CLAYTON,KODY",2
01:08,,,,,"SUB OUT by JAWORSKI,RYAN",,,"SUB OUT by JAWORSKI,RYAN",2
01:08,,,,,"SUB IN by BLEYNAT,LUKE",,,"SUB IN by BLEYNAT,LUKE",2
00:52,"MISS 3PTR by SIZEMORE,CLAY",,,,,,,"MISS 3PTR by SIZEMORE,CLAY",2
--,,,,,"REBOUND DEF by CLAYTON,KODY",,,"REBOUND DEF by CLAYTON,KODY",2
00:40,,,,,"MISS LAYUP by CLAYTON,KODY(in the paint)",,,"MISS LAYUP by CLAYTON,KODY(in the paint)",2
--,"REBOUND DEF by STEWART,BLAKE",,,,,,,"REBOUND DEF by STEWART,BLAKE",2
00:34,"MISS 3PTR by SIZEMORE,CLAY",,,,,,,"MISS 3PTR by SIZEMORE,CLAY",2
--,,,,,"REBOUND DEF by BLEYNAT,LUKE",,,"REBOUND DEF by BLEYNAT,LUKE",2
