Time Remaining,WPU,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
16:32,"SUB IN by PARTON,TYLER",,,,,,,"SUB IN by PARTON,TYLER",1
16:32,"GOOD FT by PETTIFORD,TIMOTHY",5,,8 (+3),,WPU 5-8 (+3),,"GOOD FT by PETTIFORD,TIMOTHY",1
16:32,"SUB OUT by PETTIFORD,TIMOTHY",,,,,,,"SUB OUT by PETTIFORD,TIMOTHY",1
16:32,"SUB IN by JONES,SHAWN",,,,,,,"SUB IN by JONES,SHAWN",1
16:12,"FOUL  by PARTON,TYLER",,,,,,,"FOUL  by PARTON,TYLER",1
16:12,,5,,9 (+4),"GOOD FT by MOORE,CHEZ",Centre 5-9 (+4),,"GOOD FT by MOORE,CHEZ",1
16:12,,,,,"SUB OUT by STINNETT,CADE",,,"SUB OUT by STINNETT,CADE",1
16:12,,,,,"SUB IN by TAYLOR,MARSHALL",,,"SUB IN by TAYLOR,MARSHALL",1
16:12,,5,,10 (+5),"GOOD FT by MOORE,CHEZ",Centre 5-10 (+5),,"GOOD FT by MOORE,CHEZ",1
16:07,"TURNOVER  by JONES,SHAWN",,,,,,,"TURNOVER  by JONES,SHAWN",1
15:57,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:57,,,,,"SUB OUT by COLEMAN,HUNTER",,,"SUB OUT by COLEMAN,HUNTER",1
15:57,,,,,"SUB IN by STINNETT,CADE",,,"SUB IN by STINNETT,CADE",1
15:57,"SUB OUT by BORDERS,MALACHI",,,,,,,"SUB OUT by BORDERS,MALACHI",1
15:57,"SUB OUT by BRYANT,BEAU",,,,,,,"SUB OUT by BRYANT,BEAU",1
15:57,"SUB IN by PETTIFORD,TIMOTHY",,,,,,,"SUB IN by PETTIFORD,TIMOTHY",1
15:57,"SUB IN by VAN STAALDUINEN,MATT",,,,,,,"SUB IN by VAN STAALDUINEN,MATT",1
15:45,,5,,12 (+7),"GOOD LAYUP by STINNETT,CADE(in the paint)",Centre 5-12 (+7),,"GOOD LAYUP by STINNETT,CADE(in the paint)",1
--,,,,,"ASSIST  by MOORE,CHEZ",,,"ASSIST  by MOORE,CHEZ",1
15:37,"GOOD 3PTR by DULIN,MICHAEL",8,,12 (+4),,WPU 8-12 (+4),,"GOOD 3PTR by DULIN,MICHAEL",1
--,"ASSIST  by PARTON,TYLER",,,,,,,"ASSIST  by PARTON,TYLER",1
15:21,,,,,"MISS JUMPER by STINNETT,CADE",,,"MISS JUMPER by STINNETT,CADE",1
--,"REBOUND DEF by PETTIFORD,TIMOTHY",,,,,,,"REBOUND DEF by PETTIFORD,TIMOTHY",1
15:03,"GOOD LAYUP by JONES,SHAWN(in the paint)",10,,12 (+2),,WPU 10-12 (+2),,"GOOD LAYUP by JONES,SHAWN(in the paint)",1
--,"ASSIST  by VAN STAALDUINEN,MATT",,,,,,,"ASSIST  by VAN STAALDUINEN,MATT",1
14:45,,,,,"MISS 3PTR by TAYLOR,MARSHALL",,,"MISS 3PTR by TAYLOR,MARSHALL",1
--,"REBOUND DEF by PETTIFORD,TIMOTHY",,,,,,,"REBOUND DEF by PETTIFORD,TIMOTHY",1
14:32,"TURNOVER  by PARTON,TYLER",,,,,,,"TURNOVER  by PARTON,TYLER",1
14:32,,,,,"STEAL  by TAYLOR,MARSHALL",,,"STEAL  by TAYLOR,MARSHALL",1
14:26,,,,,"MISS LAYUP by TAYLOR,MARSHALL(in the paint)",,,"MISS LAYUP by TAYLOR,MARSHALL(in the paint)",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
14:22,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",1
14:22,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",1
14:22,,,,,"SUB OUT by STINNETT,CADE",,,"SUB OUT by STINNETT,CADE",1
14:22,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",1
14:22,,,,,"SUB IN by MARKHAM,DRU",,,"SUB IN by MARKHAM,DRU",1
14:22,,,,,"SUB IN by BANKS,JAXSON",,,"SUB IN by BANKS,JAXSON",1
14:22,"SUB OUT by VAN STAALDUINEN,MATT",,,,,,,"SUB OUT by VAN STAALDUINEN,MATT",1
14:22,"SUB IN by TYRELL,DONOLIQUE",,,,,,,"SUB IN by TYRELL,DONOLIQUE",1
14:20,"GOOD 3PTR by DULIN,MICHAEL",13 (+1),,12,,WPU 13-12 (-1),,"GOOD 3PTR by DULIN,MICHAEL",1
--,"ASSIST  by TYRELL,DONOLIQUE",,,,,,,"ASSIST  by TYRELL,DONOLIQUE",1
14:17,,,,,"TURNOVER  by MOORE,CHEZ",,,"TURNOVER  by MOORE,CHEZ",1
14:03,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",1
14:03,,,,,"SUB IN by WOOLDRIDGE,CARSON",,,"SUB IN by WOOLDRIDGE,CARSON",1
14:03,"SUB OUT by JONES,SHAWN",,,,,,,"SUB OUT by JONES,SHAWN",1
14:03,"SUB OUT by DULIN,MICHAEL",,,,,,,"SUB OUT by DULIN,MICHAEL",1
14:03,"SUB IN by VAN STAALDUINEN,MATT",,,,,,,"SUB IN by VAN STAALDUINEN,MATT",1
14:03,"SUB IN by BRYANT,BEAU",,,,,,,"SUB IN by BRYANT,BEAU",1
13:32,"MISS JUMPER by BRYANT,BEAU",,,,,,,"MISS JUMPER by BRYANT,BEAU",1
--,"REBOUND OFF by TYRELL,DONOLIQUE",,,,,,,"REBOUND OFF by TYRELL,DONOLIQUE",1
13:29,,,,,"FOUL  by WOOLDRIDGE,CARSON",,,"FOUL  by WOOLDRIDGE,CARSON",1
13:23,"GOOD FT by TYRELL,DONOLIQUE",14 (+2),,12,,WPU 14-12 (-2),,"GOOD FT by TYRELL,DONOLIQUE",1
13:16,"GOOD FT by TYRELL,DONOLIQUE",15 (+3),,12,,WPU 15-12 (-3),,"GOOD FT by TYRELL,DONOLIQUE",1
12:59,,,,,"MISS 3PTR by BANKS,JAXSON",,,"MISS 3PTR by BANKS,JAXSON",1
--,"REBOUND DEF by PETTIFORD,TIMOTHY",,,,,,,"REBOUND DEF by PETTIFORD,TIMOTHY",1
12:45,"MISS 3PTR by VAN STAALDUINEN,MATT",,,,,,,"MISS 3PTR by VAN STAALDUINEN,MATT",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:43,"SUB OUT by TYRELL,DONOLIQUE",,,,,,,"SUB OUT by TYRELL,DONOLIQUE",1
12:43,"SUB IN by DULIN,MICHAEL",,,,,,,"SUB IN by DULIN,MICHAEL",1
12:43,"TURNOVER  by VAN STAALDUINEN,MATT",,,,,,,"TURNOVER  by VAN STAALDUINEN,MATT",1
12:29,,15 (+1),,14,"GOOD JUMPER by MARKHAM,DRU(in the paint)",Centre 15-14 (-1),,"GOOD JUMPER by MARKHAM,DRU(in the paint)",1
--,,,,,"ASSIST  by BANKS,JAXSON",,,"ASSIST  by BANKS,JAXSON",1
12:29,"FOUL  by DULIN,MICHAEL",,,,,,,"FOUL  by DULIN,MICHAEL",1
12:29,,,,,"MISS FT by MARKHAM,DRU",,,"MISS FT by MARKHAM,DRU",1
--,"REBOUND DEF by BRYANT,BEAU",,,,,,,"REBOUND DEF by BRYANT,BEAU",1
12:19,"GOOD 3PTR by DULIN,MICHAEL",18 (+4),,14,,WPU 18-14 (-4),,"GOOD 3PTR by DULIN,MICHAEL",1
--,"ASSIST  by BRYANT,BEAU",,,,,,,"ASSIST  by BRYANT,BEAU",1
11:59,,,,,"MISS 3PTR by BANKS,JAXSON",,,"MISS 3PTR by BANKS,JAXSON",1
--,"REBOUND DEF by PARTON,TYLER",,,,,,,"REBOUND DEF by PARTON,TYLER",1
11:45,"MISS 3PTR by PETTIFORD,TIMOTHY",,,,,,,"MISS 3PTR by PETTIFORD,TIMOTHY",1
--,,,,,"REBOUND DEF by TAYLOR,MARSHALL",,,"REBOUND DEF by TAYLOR,MARSHALL",1
11:29,,,,,"MISS 3PTR by MARKHAM,DRU",,,"MISS 3PTR by MARKHAM,DRU",1
--,"REBOUND DEF by BRYANT,BEAU",,,,,,,"REBOUND DEF by BRYANT,BEAU",1
11:13,"MISS 3PTR by PARTON,TYLER",,,,,,,"MISS 3PTR by PARTON,TYLER",1
--,,,,,"REBOUND DEF by WOOLDRIDGE,CARSON",,,"REBOUND DEF by WOOLDRIDGE,CARSON",1
11:03,,,,,"MISS 3PTR by WOOLDRIDGE,CARSON",,,"MISS 3PTR by WOOLDRIDGE,CARSON",1
--,"REBOUND DEF by DULIN,MICHAEL",,,,,,,"REBOUND DEF by DULIN,MICHAEL",1
10:49,,,,,"FOUL  by MARKHAM,DRU",,,"FOUL  by MARKHAM,DRU",1
10:42,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
10:42,,,,,"SUB OUT by TAYLOR,MARSHALL",,,"SUB OUT by TAYLOR,MARSHALL",1
10:42,,,,,"SUB OUT by MARKHAM,DRU",,,"SUB OUT by MARKHAM,DRU",1
10:42,,,,,"SUB OUT by WOOLDRIDGE,CARSON",,,"SUB OUT by WOOLDRIDGE,CARSON",1
10:42,,,,,"SUB OUT by BANKS,JAXSON",,,"SUB OUT by BANKS,JAXSON",1
10:42,,,,,"SUB IN by COLEMAN,HUNTER",,,"SUB IN by COLEMAN,HUNTER",1
10:42,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",1
10:42,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",1
10:42,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",1
10:42,"SUB OUT by PARTON,TYLER",,,,,,,"SUB OUT by PARTON,TYLER",1
10:42,"SUB OUT by VAN STAALDUINEN,MATT",,,,,,,"SUB OUT by VAN STAALDUINEN,MATT",1
10:42,"SUB IN by JONES,SHAWN",,,,,,,"SUB IN by JONES,SHAWN",1
10:42,"SUB IN by BORDERS,MALACHI",,,,,,,"SUB IN by BORDERS,MALACHI",1
10:42,"MISS FT by PETTIFORD,TIMOTHY",,,,,,,"MISS FT by PETTIFORD,TIMOTHY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
10:42,"GOOD FT by PETTIFORD,TIMOTHY",19 (+5),,14,,WPU 19-14 (-5),,"GOOD FT by PETTIFORD,TIMOTHY",1
10:25,,,,,"MISS 3PTR by BAUGHMAN,CARTER",,,"MISS 3PTR by BAUGHMAN,CARTER",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
10:02,,,,,"MISS LAYUP by MOORE,CHEZ(in the paint)",,,"MISS LAYUP by MOORE,CHEZ(in the paint)",1
--,"REBOUND DEF by DULIN,MICHAEL",,,,,,,"REBOUND DEF by DULIN,MICHAEL",1
09:45,"TURNOVER  by DULIN,MICHAEL",,,,,,,"TURNOVER  by DULIN,MICHAEL",1
09:45,,,,,"STEAL  by WILSON,DREW",,,"STEAL  by WILSON,DREW",1
09:32,,19 (+3),,16,"GOOD JUMPER by WILSON,DREW(in the paint)",Centre 19-16 (-3),,"GOOD JUMPER by WILSON,DREW(in the paint)",1
09:13,"GOOD 3PTR by DULIN,MICHAEL",22 (+6),,16,,WPU 22-16 (-6),,"GOOD 3PTR by DULIN,MICHAEL",1
09:11,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
09:11,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",1
09:11,,,,,"SUB IN by STINNETT,CADE",,,"SUB IN by STINNETT,CADE",1
08:53,"FOUL  by DULIN,MICHAEL",,,,,,,"FOUL  by DULIN,MICHAEL",1
08:53,,22 (+5),,17,"GOOD FT by STINNETT,CADE",Centre 22-17 (-5),,"GOOD FT by STINNETT,CADE",1
08:53,"SUB OUT by PETTIFORD,TIMOTHY",,,,,,,"SUB OUT by PETTIFORD,TIMOTHY",1
08:53,"SUB IN by PARTON,TYLER",,,,,,,"SUB IN by PARTON,TYLER",1
08:53,,22 (+4),,18,"GOOD FT by STINNETT,CADE",Centre 22-18 (-4),,"GOOD FT by STINNETT,CADE",1
08:53,,,,,"SUB OUT by STINNETT,CADE",,,"SUB OUT by STINNETT,CADE",1
08:53,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",1
08:24,"MISS LAYUP by BRYANT,BEAU(in the paint)",,,,,,,"MISS LAYUP by BRYANT,BEAU(in the paint)",1
--,"REBOUND OFF by JONES,SHAWN",,,,,,,"REBOUND OFF by JONES,SHAWN",1
08:13,"MISS 3PTR by PARTON,TYLER",,,,,,,"MISS 3PTR by PARTON,TYLER",1
--,,,,,"REBOUND DEF by BAUGHMAN,CARTER",,,"REBOUND DEF by BAUGHMAN,CARTER",1
08:03,,,,,"TURNOVER  by WILSON,DREW",,,"TURNOVER  by WILSON,DREW",1
08:03,"STEAL  by DULIN,MICHAEL",,,,,,,"STEAL  by DULIN,MICHAEL",1
07:44,"GOOD JUMPER by JONES,SHAWN(in the paint)",24 (+6),,18,,WPU 24-18 (-6),,"GOOD JUMPER by JONES,SHAWN(in the paint)",1
--,"ASSIST  by BORDERS,MALACHI",,,,,,,"ASSIST  by BORDERS,MALACHI",1
07:42,"FOUL  by PARTON,TYLER",,,,,,,"FOUL  by PARTON,TYLER",1
07:42,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:42,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",1
07:42,,,,,"SUB IN by STINNETT,CADE",,,"SUB IN by STINNETT,CADE",1
07:42,"SUB OUT by JONES,SHAWN",,,,,,,"SUB OUT by JONES,SHAWN",1
07:42,"SUB OUT by BORDERS,MALACHI",,,,,,,"SUB OUT by BORDERS,MALACHI",1
07:42,"SUB IN by PETTIFORD,TIMOTHY",,,,,,,"SUB IN by PETTIFORD,TIMOTHY",1
07:42,"SUB IN by VAN STAALDUINEN,MATT",,,,,,,"SUB IN by VAN STAALDUINEN,MATT",1
07:32,,24 (+4),,20,"GOOD JUMPER by MOORE,CHEZ(in the paint)",Centre 24-20 (-4),,"GOOD JUMPER by MOORE,CHEZ(in the paint)",1
07:16,"MISS 3PTR by PETTIFORD,TIMOTHY",,,,,,,"MISS 3PTR by PETTIFORD,TIMOTHY",1
--,,,,,"REBOUND DEF by COLEMAN,HUNTER",,,"REBOUND DEF by COLEMAN,HUNTER",1
07:06,,24 (+2),,22,"GOOD JUMPER by STINNETT,CADE(in the paint)",Centre 24-22 (-2),,"GOOD JUMPER by STINNETT,CADE(in the paint)",1
06:48,"MISS JUMPER by BRYANT,BEAU",,,,,,,"MISS JUMPER by BRYANT,BEAU",1
--,,,,,"REBOUND DEF by MOORE,CHEZ",,,"REBOUND DEF by MOORE,CHEZ",1
06:34,,,,,"MISS 3PTR by MOORE,CHEZ",,,"MISS 3PTR by MOORE,CHEZ",1
--,"REBOUND DEF by BRYANT,BEAU",,,,,,,"REBOUND DEF by BRYANT,BEAU",1
06:13,"MISS JUMPER by PARTON,TYLER(in the paint)",,,,,,,"MISS JUMPER by PARTON,TYLER(in the paint)",1
--,,,,,"REBOUND DEF by RING,NOAH",,,"REBOUND DEF by RING,NOAH",1
06:06,,24,,24,"GOOD JUMPER by STINNETT,CADE(fastbreak)(in the paint)",Centre 24-24 (0),,"GOOD JUMPER by STINNETT,CADE(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by RING,NOAH",,,"ASSIST  by RING,NOAH",1
05:51,"TURNOVER  by DULIN,MICHAEL",,,,,,,"TURNOVER  by DULIN,MICHAEL",1
05:51,,,,,"STEAL  by BAUGHMAN,CARTER",,,"STEAL  by BAUGHMAN,CARTER",1
05:42,,24,,26 (+2),"GOOD LAYUP by MOORE,CHEZ(in the paint)",Centre 24-26 (+2),,"GOOD LAYUP by MOORE,CHEZ(in the paint)",1
05:41,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
05:41,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",1
05:41,,,,,"SUB IN by MARKHAM,DRU",,,"SUB IN by MARKHAM,DRU",1
05:41,"SUB OUT by PARTON,TYLER",,,,,,,"SUB OUT by PARTON,TYLER",1
05:41,"SUB OUT by VAN STAALDUINEN,MATT",,,,,,,"SUB OUT by VAN STAALDUINEN,MATT",1
05:41,"SUB IN by TYRELL,DONOLIQUE",,,,,,,"SUB IN by TYRELL,DONOLIQUE",1
05:41,"SUB IN by BORDERS,MALACHI",,,,,,,"SUB IN by BORDERS,MALACHI",1
05:27,"MISS LAYUP by BORDERS,MALACHI(in the paint)",,,,,,,"MISS LAYUP by BORDERS,MALACHI(in the paint)",1
--,,,,,"REBOUND DEF by RING,NOAH",,,"REBOUND DEF by RING,NOAH",1
05:17,,24,,28 (+4),"GOOD JUMPER by STINNETT,CADE(in the paint)",Centre 24-28 (+4),,"GOOD JUMPER by STINNETT,CADE(in the paint)",1
--,,,,,"ASSIST  by RING,NOAH",,,"ASSIST  by RING,NOAH",1
05:08,"TURNOVER  by BRYANT,BEAU",,,,,,,"TURNOVER  by BRYANT,BEAU",1
05:08,,,,,"STEAL  by BAUGHMAN,CARTER",,,"STEAL  by BAUGHMAN,CARTER",1
05:00,"FOUL  by BRYANT,BEAU",,,,,,,"FOUL  by BRYANT,BEAU",1
05:00,,,,,"MISS FT by BAUGHMAN,CARTER(fastbreak)",,,"MISS FT by BAUGHMAN,CARTER(fastbreak)",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
05:00,,,,,"SUB OUT by STINNETT,CADE",,,"SUB OUT by STINNETT,CADE",1
05:00,,,,,"SUB IN by TAYLOR,MARSHALL",,,"SUB IN by TAYLOR,MARSHALL",1
05:00,"SUB OUT by PETTIFORD,TIMOTHY",,,,,,,"SUB OUT by PETTIFORD,TIMOTHY",1
05:00,"SUB IN by JONES,SHAWN",,,,,,,"SUB IN by JONES,SHAWN",1
05:00,,24,,29 (+5),"GOOD FT by BAUGHMAN,CARTER(fastbreak)",Centre 24-29 (+5),,"GOOD FT by BAUGHMAN,CARTER(fastbreak)",1
04:46,"MISS 3PTR by DULIN,MICHAEL",,,,,,,"MISS 3PTR by DULIN,MICHAEL",1
--,"REBOUND OFF by BRYANT,BEAU",,,,,,,"REBOUND OFF by BRYANT,BEAU",1
04:38,"GOOD LAYUP by BRYANT,BEAU(in the paint)",26,,29 (+3),,WPU 26-29 (+3),,"GOOD LAYUP by BRYANT,BEAU(in the paint)",1
04:22,,26,,31 (+5),"GOOD LAYUP by COLEMAN,HUNTER(in the paint)",Centre 26-31 (+5),,"GOOD LAYUP by COLEMAN,HUNTER(in the paint)",1
04:05,"MISS 3PTR by BRYANT,BEAU",,,,,,,"MISS 3PTR by BRYANT,BEAU",1
--,"REBOUND OFF by TYRELL,DONOLIQUE",,,,,,,"REBOUND OFF by TYRELL,DONOLIQUE",1
03:54,"TURNOVER  by JONES,SHAWN",,,,,,,"TURNOVER  by JONES,SHAWN",1
03:48,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:48,,,,,"SUB OUT by COLEMAN,HUNTER",,,"SUB OUT by COLEMAN,HUNTER",1
03:48,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",1
03:48,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",1
03:48,,,,,"SUB IN by STINNETT,CADE",,,"SUB IN by STINNETT,CADE",1
03:48,"SUB OUT by BRYANT,BEAU",,,,,,,"SUB OUT by BRYANT,BEAU",1
03:48,"SUB IN by PETTIFORD,TIMOTHY",,,,,,,"SUB IN by PETTIFORD,TIMOTHY",1
03:48,,,,,"TURNOVER  by MOORE,CHEZ",,,"TURNOVER  by MOORE,CHEZ",1
03:48,"STEAL  by PETTIFORD,TIMOTHY",,,,,,,"STEAL  by PETTIFORD,TIMOTHY",1
03:17,"MISS 3PTR by BORDERS,MALACHI",,,,,,,"MISS 3PTR by BORDERS,MALACHI",1
--,"REBOUND OFF by DULIN,MICHAEL",,,,,,,"REBOUND OFF by DULIN,MICHAEL",1
03:09,"MISS LAYUP by DULIN,MICHAEL(in the paint)",,,,,,,"MISS LAYUP by DULIN,MICHAEL(in the paint)",1
--,,,,,"REBOUND DEF by MOORE,CHEZ",,,"REBOUND DEF by MOORE,CHEZ",1
03:06,"FOUL  by BORDERS,MALACHI",,,,,,,"FOUL  by BORDERS,MALACHI",1
03:06,,26,,32 (+6),"GOOD FT by STINNETT,CADE(fastbreak)",Centre 26-32 (+6),,"GOOD FT by STINNETT,CADE(fastbreak)",1
03:06,,,,,"MISS FT by STINNETT,CADE(fastbreak)",,,"MISS FT by STINNETT,CADE(fastbreak)",1
--,"REBOUND DEF by BORDERS,MALACHI",,,,,,,"REBOUND DEF by BORDERS,MALACHI",1
02:48,"GOOD 3PTR by PETTIFORD,TIMOTHY",29,,32 (+3),,WPU 29-32 (+3),,"GOOD 3PTR by PETTIFORD,TIMOTHY",1
--,"ASSIST  by BORDERS,MALACHI",,,,,,,"ASSIST  by BORDERS,MALACHI",1
02:22,,,,,"MISS 3PTR by TAYLOR,MARSHALL",,,"MISS 3PTR by TAYLOR,MARSHALL",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
02:12,,,,,"SUB OUT by TAYLOR,MARSHALL",,,"SUB OUT by TAYLOR,MARSHALL",1
02:12,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",1
02:12,,,,,"SUB IN by COLEMAN,HUNTER",,,"SUB IN by COLEMAN,HUNTER",1
02:12,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",1
01:55,"GOOD LAYUP by JONES,SHAWN(in the paint)",31,,32 (+1),,WPU 31-32 (+1),,"GOOD LAYUP by JONES,SHAWN(in the paint)",1
01:26,,,,,"MISS LAYUP by COLEMAN,HUNTER(in the paint)",,,"MISS LAYUP by COLEMAN,HUNTER(in the paint)",1
--,"REBOUND DEF by JONES,SHAWN",,,,,,,"REBOUND DEF by JONES,SHAWN",1
00:58,"MISS JUMPER by BORDERS,MALACHI",,,,,,,"MISS JUMPER by BORDERS,MALACHI",1
--,"REBOUND OFF by JONES,SHAWN",,,,,,,"REBOUND OFF by JONES,SHAWN",1
00:56,,,,,"FOUL  by MARKHAM,DRU",,,"FOUL  by MARKHAM,DRU",1
00:56,"MISS FT by TYRELL,DONOLIQUE",,,,,,,"MISS FT by TYRELL,DONOLIQUE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
00:56,,,,,"SUB OUT by MARKHAM,DRU",,,"SUB OUT by MARKHAM,DRU",1
00:56,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",1
00:56,"SUB OUT by BORDERS,MALACHI",,,,,,,"SUB OUT by BORDERS,MALACHI",1
00:56,"SUB IN by PARTON,TYLER",,,,,,,"SUB IN by PARTON,TYLER",1
00:56,"GOOD FT by TYRELL,DONOLIQUE",32,,32,,WPU 32-32 (0),,"GOOD FT by TYRELL,DONOLIQUE",1
00:56,"SUB OUT by TYRELL,DONOLIQUE",,,,,,,"SUB OUT by TYRELL,DONOLIQUE",1
00:56,"SUB IN by BRYANT,BEAU",,,,,,,"SUB IN by BRYANT,BEAU",1
00:36,,32,,34 (+2),"GOOD JUMPER by MOORE,CHEZ(in the paint)",Centre 32-34 (+2),,"GOOD JUMPER by MOORE,CHEZ(in the paint)",1
--,,,,,"ASSIST  by RING,NOAH",,,"ASSIST  by RING,NOAH",1
00:06,"GOOD JUMPER by PETTIFORD,TIMOTHY",34,,34,,WPU 34-34 (0),,"GOOD JUMPER by PETTIFORD,TIMOTHY",1
--,"ASSIST  by BRYANT,BEAU",,,,,,,"ASSIST  by BRYANT,BEAU",1
00:01,,34,,36 (+2),"GOOD LAYUP by STINNETT,CADE(fastbreak)(in the paint)",Centre 34-36 (+2),,"GOOD LAYUP by STINNETT,CADE(fastbreak)(in the paint)",1
20:00,"SUB OUT by JONES,SHAWN",,,,,,,"SUB OUT by JONES,SHAWN",2
