Time Remaining,BEREA,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
19:35,"MISS LAYUP by MACKEY,MARQUIS(in the paint)",,,,,,,"MISS LAYUP by MACKEY,MARQUIS(in the paint)",2
--,,,,,"REBOUND DEF by STINNETT,CADE",,,"REBOUND DEF by STINNETT,CADE",2
19:23,,,,,"MISS LAYUP by RING,NOAH(in the paint)",,,"MISS LAYUP by RING,NOAH(in the paint)",2
--,"REBOUND DEF by JONES,ANDREW",,,,,,,"REBOUND DEF by JONES,ANDREW",2
19:12,"MISS 3PTR by MINTER,TREY",,,,,,,"MISS 3PTR by MINTER,TREY",2
--,,,,,"REBOUND DEF by MOORE,CHEZ",,,"REBOUND DEF by MOORE,CHEZ",2
18:50,,34 (+8),,26,"GOOD JUMPER by MOORE,CHEZ(in the paint)",Centre 34-26 (-8),,"GOOD JUMPER by MOORE,CHEZ(in the paint)",2
18:21,"MISS JUMPER by MINTER,TREY",,,,,,,"MISS JUMPER by MINTER,TREY",2
--,"REBOUND OFF by MONTGOMERY,JAREL",,,,,,,"REBOUND OFF by MONTGOMERY,JAREL",2
18:13,"GOOD LAYUP by MINTER,TREY(in the paint)",36 (+10),,26,,BEREA 36-26 (-10),,"GOOD LAYUP by MINTER,TREY(in the paint)",2
17:53,,36 (+8),,28,"GOOD JUMPER by STINNETT,CADE(in the paint)",Centre 36-28 (-8),,"GOOD JUMPER by STINNETT,CADE(in the paint)",2
17:31,"GOOD 3PTR by JONES,ANDREW",39 (+11),,28,,BEREA 39-28 (-11),,"GOOD 3PTR by JONES,ANDREW",2
--,"ASSIST  by MINTER,TREY",,,,,,,"ASSIST  by MINTER,TREY",2
17:09,,39 (+9),,30,"GOOD JUMPER by TAYLOR,MARSHALL",Centre 39-30 (-9),,"GOOD JUMPER by TAYLOR,MARSHALL",2
16:53,"GOOD LAYUP by CAUDILL,ISAAC(in the paint)",41 (+11),,30,,BEREA 41-30 (-11),,"GOOD LAYUP by CAUDILL,ISAAC(in the paint)",2
--,"ASSIST  by JONES,ANDREW",,,,,,,"ASSIST  by JONES,ANDREW",2
16:33,,41 (+9),,32,"GOOD JUMPER by MOORE,CHEZ(in the paint)",Centre 41-32 (-9),,"GOOD JUMPER by MOORE,CHEZ(in the paint)",2
16:27,"FOUL  by MONTGOMERY,JAREL",,,,,,,"FOUL  by MONTGOMERY,JAREL",2
16:27,"TURNOVER  by MONTGOMERY,JAREL",,,,,,,"TURNOVER  by MONTGOMERY,JAREL",2
16:22,,,,,"SUB OUT by TAYLOR,MARSHALL",,,"SUB OUT by TAYLOR,MARSHALL",2
16:22,,,,,"SUB IN by COLEMAN,HUNTER",,,"SUB IN by COLEMAN,HUNTER",2
16:22,"SUB OUT by MONTGOMERY,JAREL",,,,,,,"SUB OUT by MONTGOMERY,JAREL",2
16:22,"SUB IN by BLACK,JAYLEN",,,,,,,"SUB IN by BLACK,JAYLEN",2
16:13,"FOUL  by CAUDILL,ISAAC",,,,,,,"FOUL  by CAUDILL,ISAAC",2
16:12,"SUB OUT by MACKEY,MARQUIS",,,,,,,"SUB OUT by MACKEY,MARQUIS",2
16:12,"SUB IN by HAMM,ANTHONY",,,,,,,"SUB IN by HAMM,ANTHONY",2
16:00,,,,,"MISS 3PTR by STINNETT,CADE",,,"MISS 3PTR by STINNETT,CADE",2
--,"REBOUND DEF by BLACK,JAYLEN",,,,,,,"REBOUND DEF by BLACK,JAYLEN",2
15:37,"TURNOVER  by MINTER,TREY",,,,,,,"TURNOVER  by MINTER,TREY",2
15:37,,,,,"STEAL  by MOORE,CHEZ",,,"STEAL  by MOORE,CHEZ",2
15:33,"FOUL  by JONES,ANDREW",,,,,,,"FOUL  by JONES,ANDREW",2
15:33,,,,,"MISS FT by MOORE,CHEZ(fastbreak)",,,"MISS FT by MOORE,CHEZ(fastbreak)",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
15:33,"SUB OUT by JONES,ANDREW",,,,,,,"SUB OUT by JONES,ANDREW",2
15:33,"SUB IN by BOGGS,TYLER",,,,,,,"SUB IN by BOGGS,TYLER",2
15:18,,,,,"MISS FT by MOORE,CHEZ(fastbreak)",,,"MISS FT by MOORE,CHEZ(fastbreak)",2
--,,,,,"REBOUND OFF by RING,NOAH",,,"REBOUND OFF by RING,NOAH",2
15:07,,,,,"MISS LAYUP by STINNETT,CADE(in the paint)",,,"MISS LAYUP by STINNETT,CADE(in the paint)",2
--,"REBOUND DEF by MINTER,TREY",,,,,,,"REBOUND DEF by MINTER,TREY",2
15:05,,,,,"FOUL  by COLEMAN,HUNTER",,,"FOUL  by COLEMAN,HUNTER",2
15:05,"MISS FT by MINTER,TREY(fastbreak)",,,,,,,"MISS FT by MINTER,TREY(fastbreak)",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
15:05,"GOOD FT by MINTER,TREY(fastbreak)",42 (+10),,32,,BEREA 42-32 (-10),,"GOOD FT by MINTER,TREY(fastbreak)",2
14:44,,42 (+7),,35,"GOOD 3PTR by STINNETT,CADE",Centre 42-35 (-7),,"GOOD 3PTR by STINNETT,CADE",2
--,,,,,"ASSIST  by COLEMAN,HUNTER",,,"ASSIST  by COLEMAN,HUNTER",2
14:20,,,,,"FOUL  by COLEMAN,HUNTER",,,"FOUL  by COLEMAN,HUNTER",2
14:20,"GOOD FT by CAUDILL,ISAAC",43 (+8),,35,,BEREA 43-35 (-8),,"GOOD FT by CAUDILL,ISAAC",2
14:20,"MISS FT by CAUDILL,ISAAC",,,,,,,"MISS FT by CAUDILL,ISAAC",2
--,,,,,"REBOUND DEF by BAUGHMAN,CARTER",,,"REBOUND DEF by BAUGHMAN,CARTER",2
14:20,,,,,"MISS LAYUP by BAUGHMAN,CARTER(in the paint)",,,"MISS LAYUP by BAUGHMAN,CARTER(in the paint)",2
--,"REBOUND DEF by MINTER,TREY",,,,,,,"REBOUND DEF by MINTER,TREY",2
14:20,"GOOD 3PTR by MINTER,TREY",46 (+11),,35,,BEREA 46-35 (-11),,"GOOD 3PTR by MINTER,TREY",2
14:20,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",2
14:20,,,,,"SUB IN by MARKHAM,DRU",,,"SUB IN by MARKHAM,DRU",2
14:18,"FOUL  by BLACK,JAYLEN",,,,,,,"FOUL  by BLACK,JAYLEN",2
14:08,,,,,"MISS JUMPER by STINNETT,CADE(in the paint)",,,"MISS JUMPER by STINNETT,CADE(in the paint)",2
--,"REBOUND DEF by MINTER,TREY",,,,,,,"REBOUND DEF by MINTER,TREY",2
14:00,"SUB OUT by CAUDILL,ISAAC",,,,,,,"SUB OUT by CAUDILL,ISAAC",2
14:00,"SUB IN by RILEY,BRYCE",,,,,,,"SUB IN by RILEY,BRYCE",2
13:52,"MISS 3PTR by MINTER,TREY",,,,,,,"MISS 3PTR by MINTER,TREY",2
--,,,,,"REBOUND DEF by MOORE,CHEZ",,,"REBOUND DEF by MOORE,CHEZ",2
13:44,,,,,"MISS 3PTR by BAUGHMAN,CARTER",,,"MISS 3PTR by BAUGHMAN,CARTER",2
--,"REBOUND DEF by MINTER,TREY",,,,,,,"REBOUND DEF by MINTER,TREY",2
13:32,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",2
13:32,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",2
13:32,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",2
13:32,,,,,"SUB IN by BUSH,TYLER",,,"SUB IN by BUSH,TYLER",2
13:32,"SUB OUT by BLACK,JAYLEN",,,,,,,"SUB OUT by BLACK,JAYLEN",2
13:32,"SUB OUT by BOGGS,TYLER",,,,,,,"SUB OUT by BOGGS,TYLER",2
13:32,"SUB IN by MONTGOMERY,JAREL",,,,,,,"SUB IN by MONTGOMERY,JAREL",2
13:32,"SUB IN by JONES,ANDREW",,,,,,,"SUB IN by JONES,ANDREW",2
12:58,"MISS LAYUP by MONTGOMERY,JAREL(in the paint)",,,,,,,"MISS LAYUP by MONTGOMERY,JAREL(in the paint)",2
--,,,,,"REBOUND DEF by STINNETT,CADE",,,"REBOUND DEF by STINNETT,CADE",2
12:49,,,,,"MISS LAYUP by MARKHAM,DRU(in the paint)",,,"MISS LAYUP by MARKHAM,DRU(in the paint)",2
--,"REBOUND DEF by MONTGOMERY,JAREL",,,,,,,"REBOUND DEF by MONTGOMERY,JAREL",2
12:43,"MISS LAYUP by MONTGOMERY,JAREL(in the paint)",,,,,,,"MISS LAYUP by MONTGOMERY,JAREL(in the paint)",2
12:43,,,,,"BLOCK  by MARKHAM,DRU",,,"BLOCK  by MARKHAM,DRU",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
12:34,"MISS LAYUP by MINTER,TREY(in the paint)",,,,,,,"MISS LAYUP by MINTER,TREY(in the paint)",2
--,,,,,"REBOUND DEF by BUSH,TYLER",,,"REBOUND DEF by BUSH,TYLER",2
12:24,,,,,"MISS LAYUP by BUSH,TYLER(in the paint)",,,"MISS LAYUP by BUSH,TYLER(in the paint)",2
--,"REBOUND DEF by HAMM,ANTHONY",,,,,,,"REBOUND DEF by HAMM,ANTHONY",2
12:17,"MISS LAYUP by MINTER,TREY(in the paint)",,,,,,,"MISS LAYUP by MINTER,TREY(in the paint)",2
--,"REBOUND OFF by MONTGOMERY,JAREL",,,,,,,"REBOUND OFF by MONTGOMERY,JAREL",2
11:58,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:40,,,,,"SUB OUT by STINNETT,CADE",,,"SUB OUT by STINNETT,CADE",2
11:40,,,,,"SUB IN by BANKS,JAXSON",,,"SUB IN by BANKS,JAXSON",2
11:00,"SUB OUT by MINTER,TREY",,,,,,,"SUB OUT by MINTER,TREY",2
11:00,"SUB OUT by HAMM,ANTHONY",,,,,,,"SUB OUT by HAMM,ANTHONY",2
11:00,"SUB IN by BLACK,JAYLEN",,,,,,,"SUB IN by BLACK,JAYLEN",2
11:00,"SUB IN by MACKEY,MARQUIS",,,,,,,"SUB IN by MACKEY,MARQUIS",2
10:49,"GOOD LAYUP by MACKEY,MARQUIS(in the paint)",48 (+13),,35,,BEREA 48-35 (-13),,"GOOD LAYUP by MACKEY,MARQUIS(in the paint)",2
10:46,,48 (+11),,37,"GOOD LAYUP by MARKHAM,DRU(in the paint)",Centre 48-37 (-11),,"GOOD LAYUP by MARKHAM,DRU(in the paint)",2
10:46,"TURNOVER  by BLACK,JAYLEN",,,,,,,"TURNOVER  by BLACK,JAYLEN",2
10:46,,,,,"STEAL  by COLEMAN,HUNTER",,,"STEAL  by COLEMAN,HUNTER",2
10:43,"FOUL  by BLACK,JAYLEN",,,,,,,"FOUL  by BLACK,JAYLEN",2
10:30,,,,,"SUB OUT by BUSH,TYLER",,,"SUB OUT by BUSH,TYLER",2
10:30,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",2
10:30,"SUB OUT by JONES,ANDREW",,,,,,,"SUB OUT by JONES,ANDREW",2
10:30,"SUB IN by BOGGS,TYLER",,,,,,,"SUB IN by BOGGS,TYLER",2
09:52,,,,,"MISS JUMPER by COLEMAN,HUNTER(in the paint)",,,"MISS JUMPER by COLEMAN,HUNTER(in the paint)",2
--,"REBOUND DEF by BLACK,JAYLEN",,,,,,,"REBOUND DEF by BLACK,JAYLEN",2
09:43,"MISS JUMPER by RILEY,BRYCE",,,,,,,"MISS JUMPER by RILEY,BRYCE",2
--,,,,,"REBOUND DEF by BANKS,JAXSON",,,"REBOUND DEF by BANKS,JAXSON",2
09:43,,,,,"TURNOVER  by MOORE,CHEZ",,,"TURNOVER  by MOORE,CHEZ",2
09:43,"STEAL  by BLACK,JAYLEN",,,,,,,"STEAL  by BLACK,JAYLEN",2
09:39,"GOOD LAYUP by MONTGOMERY,JAREL(fastbreak)(in the paint)",50 (+13),,37,,BEREA 50-37 (-13),,"GOOD LAYUP by MONTGOMERY,JAREL(fastbreak)(in the paint)",2
09:26,,,,,"MISS JUMPER by MARKHAM,DRU",,,"MISS JUMPER by MARKHAM,DRU",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
09:05,"GOOD JUMPER by MACKEY,MARQUIS",52 (+15),,37,,BEREA 52-37 (-15),,"GOOD JUMPER by MACKEY,MARQUIS",2
09:00,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
09:00,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",2
09:00,,,,,"SUB OUT by MARKHAM,DRU",,,"SUB OUT by MARKHAM,DRU",2
09:00,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",2
09:00,,,,,"SUB IN by STINNETT,CADE",,,"SUB IN by STINNETT,CADE",2
09:00,"SUB OUT by RILEY,BRYCE",,,,,,,"SUB OUT by RILEY,BRYCE",2
09:00,"SUB IN by CAUDILL,ISAAC",,,,,,,"SUB IN by CAUDILL,ISAAC",2
09:00,,,,,"MISS 3PTR by STINNETT,CADE",,,"MISS 3PTR by STINNETT,CADE",2
--,"REBOUND DEF by BOGGS,TYLER",,,,,,,"REBOUND DEF by BOGGS,TYLER",2
08:37,"MISS JUMPER by MACKEY,MARQUIS(in the paint)",,,,,,,"MISS JUMPER by MACKEY,MARQUIS(in the paint)",2
08:37,,,,,"BLOCK  by COLEMAN,HUNTER",,,"BLOCK  by COLEMAN,HUNTER",2
--,,,,,"REBOUND DEF by RING,NOAH",,,"REBOUND DEF by RING,NOAH",2
08:26,,,,,"MISS JUMPER by COLEMAN,HUNTER(in the paint)",,,"MISS JUMPER by COLEMAN,HUNTER(in the paint)",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
08:25,"SUB OUT by BOGGS,TYLER",,,,,,,"SUB OUT by BOGGS,TYLER",2
08:25,"SUB IN by JONES,ANDREW",,,,,,,"SUB IN by JONES,ANDREW",2
08:12,"MISS 3PTR by CAUDILL,ISAAC",,,,,,,"MISS 3PTR by CAUDILL,ISAAC",2
--,,,,,"REBOUND DEF by RING,NOAH",,,"REBOUND DEF by RING,NOAH",2
08:02,,52 (+13),,39,"GOOD LAYUP by MOORE,CHEZ(in the paint)",Centre 52-39 (-13),,"GOOD LAYUP by MOORE,CHEZ(in the paint)",2
07:44,"MISS 3PTR by JONES,ANDREW",,,,,,,"MISS 3PTR by JONES,ANDREW",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
07:36,,,,,"SUB OUT by COLEMAN,HUNTER",,,"SUB OUT by COLEMAN,HUNTER",2
07:36,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",2
07:36,"SUB OUT by BLACK,JAYLEN",,,,,,,"SUB OUT by BLACK,JAYLEN",2
07:36,"SUB OUT by MACKEY,MARQUIS",,,,,,,"SUB OUT by MACKEY,MARQUIS",2
07:36,"SUB OUT by MONTGOMERY,JAREL",,,,,,,"SUB OUT by MONTGOMERY,JAREL",2
07:36,"SUB IN by MINTER,TREY",,,,,,,"SUB IN by MINTER,TREY",2
07:36,"SUB IN by HAMM,ANTHONY",,,,,,,"SUB IN by HAMM,ANTHONY",2
07:36,"SUB IN by BOGGS,TYLER",,,,,,,"SUB IN by BOGGS,TYLER",2
07:16,,,,,"MISS 3PTR by RING,NOAH",,,"MISS 3PTR by RING,NOAH",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
07:15,"FOUL  by CAUDILL,ISAAC",,,,,,,"FOUL  by CAUDILL,ISAAC",2
07:08,,52 (+11),,41,"GOOD JUMPER by MOORE,CHEZ(in the paint)",Centre 52-41 (-11),,"GOOD JUMPER by MOORE,CHEZ(in the paint)",2
06:35,"SUB OUT by JONES,ANDREW",,,,,,,"SUB OUT by JONES,ANDREW",2
06:35,"SUB IN by MONTGOMERY,JAREL",,,,,,,"SUB IN by MONTGOMERY,JAREL",2
06:28,"GOOD LAYUP by MONTGOMERY,JAREL(in the paint)",54 (+13),,41,,BEREA 54-41 (-13),,"GOOD LAYUP by MONTGOMERY,JAREL(in the paint)",2
06:18,,54 (+10),,44,"GOOD 3PTR by RING,NOAH",Centre 54-44 (-10),,"GOOD 3PTR by RING,NOAH",2
06:01,"MISS 3PTR by MINTER,TREY",,,,,,,"MISS 3PTR by MINTER,TREY",2
--,,,,,"REBOUND DEF by STINNETT,CADE",,,"REBOUND DEF by STINNETT,CADE",2
05:54,"FOUL  by BOGGS,TYLER",,,,,,,"FOUL  by BOGGS,TYLER",2
05:50,,54 (+9),,45,"GOOD FT by MOORE,CHEZ(fastbreak)",Centre 54-45 (-9),,"GOOD FT by MOORE,CHEZ(fastbreak)",2
05:50,,,,,"SUB OUT by BANKS,JAXSON",,,"SUB OUT by BANKS,JAXSON",2
05:50,,,,,"SUB IN by COLEMAN,HUNTER",,,"SUB IN by COLEMAN,HUNTER",2
05:50,"SUB OUT by HAMM,ANTHONY",,,,,,,"SUB OUT by HAMM,ANTHONY",2
05:50,"SUB OUT by BOGGS,TYLER",,,,,,,"SUB OUT by BOGGS,TYLER",2
05:50,"SUB IN by MACKEY,MARQUIS",,,,,,,"SUB IN by MACKEY,MARQUIS",2
05:50,"SUB IN by JONES,ANDREW",,,,,,,"SUB IN by JONES,ANDREW",2
05:50,,54 (+8),,46,"GOOD FT by MOORE,CHEZ(fastbreak)",Centre 54-46 (-8),,"GOOD FT by MOORE,CHEZ(fastbreak)",2
05:43,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
05:42,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
05:28,"SUB OUT by JONES,ANDREW",,,,,,,"SUB OUT by JONES,ANDREW",2
05:28,"SUB IN by TWIGGS,KAEDEN",,,,,,,"SUB IN by TWIGGS,KAEDEN",2
05:28,"FOUL  by TWIGGS,KAEDEN",,,,,,,"FOUL  by TWIGGS,KAEDEN",2
05:27,"SUB OUT by TWIGGS,KAEDEN",,,,,,,"SUB OUT by TWIGGS,KAEDEN",2
05:27,"SUB IN by JONES,ANDREW",,,,,,,"SUB IN by JONES,ANDREW",2
05:24,,,,,"MISS FT by MOORE,CHEZ",,,"MISS FT by MOORE,CHEZ",2
--,"REBOUND DEF by JONES,ANDREW",,,,,,,"REBOUND DEF by JONES,ANDREW",2
05:16,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
05:07,,,,,"MISS 3PTR by RING,NOAH",,,"MISS 3PTR by RING,NOAH",2
--,,,,,"REBOUND OFF by MOORE,CHEZ",,,"REBOUND OFF by MOORE,CHEZ",2
04:57,,,,,"MISS 3PTR by BAUGHMAN,CARTER",,,"MISS 3PTR by BAUGHMAN,CARTER",2
--,,,,,"REBOUND OFF by RING,NOAH",,,"REBOUND OFF by RING,NOAH",2
04:51,,,,,"MISS LAYUP by RING,NOAH(in the paint)",,,"MISS LAYUP by RING,NOAH(in the paint)",2
--,"REBOUND DEF by MONTGOMERY,JAREL",,,,,,,"REBOUND DEF by MONTGOMERY,JAREL",2
04:42,,,,,"FOUL  by STINNETT,CADE",,,"FOUL  by STINNETT,CADE",2
04:37,"SUB OUT by MACKEY,MARQUIS",,,,,,,"SUB OUT by MACKEY,MARQUIS",2
04:37,"SUB IN by BLACK,JAYLEN",,,,,,,"SUB IN by BLACK,JAYLEN",2
04:27,"GOOD JUMPER by CAUDILL,ISAAC(in the paint)",56 (+10),,46,,BEREA 56-46 (-10),,"GOOD JUMPER by CAUDILL,ISAAC(in the paint)",2
04:05,,56 (+8),,48,"GOOD LAYUP by MOORE,CHEZ(in the paint)",Centre 56-48 (-8),,"GOOD LAYUP by MOORE,CHEZ(in the paint)",2
03:57,"TURNOVER  by MINTER,TREY",,,,,,,"TURNOVER  by MINTER,TREY",2
03:57,,,,,"STEAL  by BAUGHMAN,CARTER",,,"STEAL  by BAUGHMAN,CARTER",2
03:51,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
03:51,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",2
03:51,,,,,"SUB IN by MARKHAM,DRU",,,"SUB IN by MARKHAM,DRU",2
03:51,"SUB OUT by JONES,ANDREW",,,,,,,"SUB OUT by JONES,ANDREW",2
03:51,"SUB IN by MACKEY,MARQUIS",,,,,,,"SUB IN by MACKEY,MARQUIS",2
03:32,,,,,"MISS JUMPER by STINNETT,CADE(in the paint)",,,"MISS JUMPER by STINNETT,CADE(in the paint)",2
--,,,,,"REBOUND OFF by STINNETT,CADE",,,"REBOUND OFF by STINNETT,CADE",2
03:30,"FOUL  by MINTER,TREY",,,,,,,"FOUL  by MINTER,TREY",2
03:30,,56 (+7),,49,"GOOD FT by STINNETT,CADE",Centre 56-49 (-7),,"GOOD FT by STINNETT,CADE",2
03:30,,56 (+6),,50,"GOOD FT by STINNETT,CADE",Centre 56-50 (-6),,"GOOD FT by STINNETT,CADE",2
03:06,"GOOD JUMPER by BLACK,JAYLEN(in the paint)",58 (+8),,50,,BEREA 58-50 (-8),,"GOOD JUMPER by BLACK,JAYLEN(in the paint)",2
03:01,,,,,"FOUL  by MOORE,CHEZ",,,"FOUL  by MOORE,CHEZ",2
03:01,,,,,"TURNOVER  by MOORE,CHEZ",,,"TURNOVER  by MOORE,CHEZ",2
02:53,,,,,"SUB OUT by MARKHAM,DRU",,,"SUB OUT by MARKHAM,DRU",2
02:53,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",2
02:53,"SUB OUT by MONTGOMERY,JAREL",,,,,,,"SUB OUT by MONTGOMERY,JAREL",2
02:53,"SUB IN by JONES,ANDREW",,,,,,,"SUB IN by JONES,ANDREW",2
02:37,,,,,"FOUL  by RING,NOAH",,,"FOUL  by RING,NOAH",2
02:37,"GOOD FT by JONES,ANDREW",59 (+9),,50,,BEREA 59-50 (-9),,"GOOD FT by JONES,ANDREW",2
02:37,"SUB OUT by MINTER,TREY",,,,,,,"SUB OUT by MINTER,TREY",2
02:37,"SUB IN by MONTGOMERY,JAREL",,,,,,,"SUB IN by MONTGOMERY,JAREL",2
02:37,"MISS FT by JONES,ANDREW",,,,,,,"MISS FT by JONES,ANDREW",2
--,,,,,"REBOUND DEF by MOORE,CHEZ",,,"REBOUND DEF by MOORE,CHEZ",2
02:32,"SUB OUT by MACKEY,MARQUIS",,,,,,,"SUB OUT by MACKEY,MARQUIS",2
02:32,"SUB OUT by JONES,ANDREW",,,,,,,"SUB OUT by JONES,ANDREW",2
02:32,"SUB IN by MINTER,TREY",,,,,,,"SUB IN by MINTER,TREY",2
02:32,"SUB IN by BOGGS,TYLER",,,,,,,"SUB IN by BOGGS,TYLER",2
02:20,"FOUL  by MONTGOMERY,JAREL",,,,,,,"FOUL  by MONTGOMERY,JAREL",2
02:03,,59 (+8),,51,"GOOD FT by COLEMAN,HUNTER",Centre 59-51 (-8),,"GOOD FT by COLEMAN,HUNTER",2
02:03,"SUB OUT by BOGGS,TYLER",,,,,,,"SUB OUT by BOGGS,TYLER",2
02:03,"SUB IN by MACKEY,MARQUIS",,,,,,,"SUB IN by MACKEY,MARQUIS",2
02:03,,59 (+7),,52,"GOOD FT by COLEMAN,HUNTER",Centre 59-52 (-7),,"GOOD FT by COLEMAN,HUNTER",2
02:03,,,,,"FOUL  by BAUGHMAN,CARTER",,,"FOUL  by BAUGHMAN,CARTER",2
02:03,"SUB OUT by BLACK,JAYLEN",,,,,,,"SUB OUT by BLACK,JAYLEN",2
02:03,"SUB IN by JONES,ANDREW",,,,,,,"SUB IN by JONES,ANDREW",2
02:03,"GOOD LAYUP by JONES,ANDREW(in the paint)",61 (+9),,52,,BEREA 61-52 (-9),,"GOOD LAYUP by JONES,ANDREW(in the paint)",2
--,"ASSIST  by MINTER,TREY",,,,,,,"ASSIST  by MINTER,TREY",2
01:44,,61 (+7),,54,"GOOD LAYUP by MOORE,CHEZ(in the paint)",Centre 61-54 (-7),,"GOOD LAYUP by MOORE,CHEZ(in the paint)",2
--,,,,,"ASSIST  by STINNETT,CADE",,,"ASSIST  by STINNETT,CADE",2
01:42,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
01:42,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",2
01:42,,,,,"SUB IN by MARKHAM,DRU",,,"SUB IN by MARKHAM,DRU",2
01:42,"SUB OUT by JONES,ANDREW",,,,,,,"SUB OUT by JONES,ANDREW",2
01:42,"SUB IN by BLACK,JAYLEN",,,,,,,"SUB IN by BLACK,JAYLEN",2
01:37,,,,,"FOUL  by MARKHAM,DRU",,,"FOUL  by MARKHAM,DRU",2
01:36,,,,,"SUB OUT by MARKHAM,DRU",,,"SUB OUT by MARKHAM,DRU",2
01:36,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",2
01:36,"MISS FT by MACKEY,MARQUIS(fastbreak)",,,,,,,"MISS FT by MACKEY,MARQUIS(fastbreak)",2
--,,,,,"REBOUND DEF by MOORE,CHEZ",,,"REBOUND DEF by MOORE,CHEZ",2
01:36,,,,,"TURNOVER  by MOORE,CHEZ",,,"TURNOVER  by MOORE,CHEZ",2
01:36,"STEAL  by MINTER,TREY",,,,,,,"STEAL  by MINTER,TREY",2
01:34,"TURNOVER  by BLACK,JAYLEN",,,,,,,"TURNOVER  by BLACK,JAYLEN",2
01:34,,,,,"STEAL  by COLEMAN,HUNTER",,,"STEAL  by COLEMAN,HUNTER",2
01:21,,61 (+5),,56,"GOOD DUNK by MOORE,CHEZ(in the paint)",Centre 61-56 (-5),,"GOOD DUNK by MOORE,CHEZ(in the paint)",2
--,,,,,"ASSIST  by COLEMAN,HUNTER",,,"ASSIST  by COLEMAN,HUNTER",2
01:11,,,,,"FOUL  by BAUGHMAN,CARTER",,,"FOUL  by BAUGHMAN,CARTER",2
00:57,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",2
00:57,,,,,"SUB IN by BANKS,JAXSON",,,"SUB IN by BANKS,JAXSON",2
00:57,"SUB OUT by MINTER,TREY",,,,,,,"SUB OUT by MINTER,TREY",2
00:57,"SUB IN by BOGGS,TYLER",,,,,,,"SUB IN by BOGGS,TYLER",2
00:57,"GOOD FT by CAUDILL,ISAAC",62 (+6),,56,,BEREA 62-56 (-6),,"GOOD FT by CAUDILL,ISAAC",2
00:57,"MISS FT by CAUDILL,ISAAC",,,,,,,"MISS FT by CAUDILL,ISAAC",2
--,,,,,"REBOUND DEF by MOORE,CHEZ",,,"REBOUND DEF by MOORE,CHEZ",2
00:46,,,,,"MISS 3PTR by BANKS,JAXSON",,,"MISS 3PTR by BANKS,JAXSON",2
--,"REBOUND DEF by MACKEY,MARQUIS",,,,,,,"REBOUND DEF by MACKEY,MARQUIS",2
00:34,,,,,"FOUL  by BAUGHMAN,CARTER",,,"FOUL  by BAUGHMAN,CARTER",2
00:31,,,,,"SUB OUT by BANKS,JAXSON",,,"SUB OUT by BANKS,JAXSON",2
00:31,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",2
00:31,"SUB OUT by MACKEY,MARQUIS",,,,,,,"SUB OUT by MACKEY,MARQUIS",2
00:31,"SUB IN by RILEY,BRYCE",,,,,,,"SUB IN by RILEY,BRYCE",2
00:31,"GOOD FT by BLACK,JAYLEN",63 (+7),,56,,BEREA 63-56 (-7),,"GOOD FT by BLACK,JAYLEN",2
00:31,"GOOD FT by BLACK,JAYLEN",64 (+8),,56,,BEREA 64-56 (-8),,"GOOD FT by BLACK,JAYLEN",2
