Time Remaining,GBORO,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
--,"REBOUND OFF by SERGI,MASON",,,,,,,"REBOUND OFF by SERGI,MASON",2
19:18,,,,,"FOUL  by RING,NOAH",,,"FOUL  by RING,NOAH",2
19:02,"MISS JUMPER by BOULWARE,TIM(in the paint)",,,,,,,"MISS JUMPER by BOULWARE,TIM(in the paint)",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
19:02,"FOUL  by BROWN,MATTHEW",,,,,,,"FOUL  by BROWN,MATTHEW",2
18:46,,31,,32 (+1),"GOOD LAYUP by MOORE,CHEZ(in the paint)",Centre 31-32 (+1),,"GOOD LAYUP by MOORE,CHEZ(in the paint)",2
18:28,"MISS 3PTR by BROWN,MATTHEW",,,,,,,"MISS 3PTR by BROWN,MATTHEW",2
--,,,,,"REBOUND DEF by STINNETT,CADE",,,"REBOUND DEF by STINNETT,CADE",2
18:21,,,,,"MISS LAYUP by STINNETT,CADE(in the paint)",,,"MISS LAYUP by STINNETT,CADE(in the paint)",2
--,,,,,"REBOUND OFF by TAYLOR,MARSHALL",,,"REBOUND OFF by TAYLOR,MARSHALL",2
18:17,,,,,"MISS LAYUP by BAUGHMAN,CARTER(in the paint)",,,"MISS LAYUP by BAUGHMAN,CARTER(in the paint)",2
--,"REBOUND DEF by BROWN,MATTHEW",,,,,,,"REBOUND DEF by BROWN,MATTHEW",2
18:11,"GOOD LAYUP by SERGI,MASON(fastbreak)(in the paint)",33 (+1),,32,,GBORO 33-32 (-1),,"GOOD LAYUP by SERGI,MASON(fastbreak)(in the paint)",2
17:58,,,,,"MISS 3PTR by TAYLOR,MARSHALL",,,"MISS 3PTR by TAYLOR,MARSHALL",2
--,"REBOUND DEF by SERGI,MASON",,,,,,,"REBOUND DEF by SERGI,MASON",2
17:47,"MISS 3PTR by PRUETT,ISAIAH",,,,,,,"MISS 3PTR by PRUETT,ISAIAH",2
--,"REBOUND OFF by BROWN,MATTHEW",,,,,,,"REBOUND OFF by BROWN,MATTHEW",2
17:42,"GOOD 3PTR by HILL,TY",36 (+4),,32,,GBORO 36-32 (-4),,"GOOD 3PTR by HILL,TY",2
--,"ASSIST  by BROWN,MATTHEW",,,,,,,"ASSIST  by BROWN,MATTHEW",2
17:26,"FOUL  by PRUETT,ISAIAH",,,,,,,"FOUL  by PRUETT,ISAIAH",2
17:26,"SUB OUT by BROWN,MATTHEW",,,,,,,"SUB OUT by BROWN,MATTHEW",2
17:26,"SUB IN by THOMPSON,GRANT",,,,,,,"SUB IN by THOMPSON,GRANT",2
17:17,"FOUL  by THOMPSON,GRANT",,,,,,,"FOUL  by THOMPSON,GRANT",2
17:17,,,,,"MISS FT by MOORE,CHEZ",,,"MISS FT by MOORE,CHEZ",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
17:17,"SUB OUT by THOMPSON,GRANT",,,,,,,"SUB OUT by THOMPSON,GRANT",2
17:17,"SUB IN by MCQUINN,JOSHUA",,,,,,,"SUB IN by MCQUINN,JOSHUA",2
17:17,,36 (+3),,33,"GOOD FT by MOORE,CHEZ",Centre 36-33 (-3),,"GOOD FT by MOORE,CHEZ",2
17:05,"MISS 3PTR by PRUETT,ISAIAH",,,,,,,"MISS 3PTR by PRUETT,ISAIAH",2
--,"REBOUND OFF by MCQUINN,JOSHUA",,,,,,,"REBOUND OFF by MCQUINN,JOSHUA",2
17:01,"MISS LAYUP by MCQUINN,JOSHUA(in the paint)",,,,,,,"MISS LAYUP by MCQUINN,JOSHUA(in the paint)",2
--,"REBOUND OFF by SERGI,MASON",,,,,,,"REBOUND OFF by SERGI,MASON",2
16:59,,,,,"FOUL  by MOORE,CHEZ",,,"FOUL  by MOORE,CHEZ",2
16:59,"GOOD FT by SERGI,MASON",37 (+4),,33,,GBORO 37-33 (-4),,"GOOD FT by SERGI,MASON",2
16:59,"GOOD FT by SERGI,MASON",38 (+5),,33,,GBORO 38-33 (-5),,"GOOD FT by SERGI,MASON",2
16:49,,,,,"MISS LAYUP by STINNETT,CADE(in the paint)",,,"MISS LAYUP by STINNETT,CADE(in the paint)",2
--,"REBOUND DEF by MCQUINN,JOSHUA",,,,,,,"REBOUND DEF by MCQUINN,JOSHUA",2
16:42,"MISS LAYUP by PRUETT,ISAIAH(in the paint)",,,,,,,"MISS LAYUP by PRUETT,ISAIAH(in the paint)",2
--,,,,,"REBOUND DEF by BAUGHMAN,CARTER",,,"REBOUND DEF by BAUGHMAN,CARTER",2
16:40,"FOUL  by PRUETT,ISAIAH",,,,,,,"FOUL  by PRUETT,ISAIAH",2
16:25,,,,,"MISS LAYUP by MOORE,CHEZ(in the paint)",,,"MISS LAYUP by MOORE,CHEZ(in the paint)",2
16:25,"BLOCK  by MCQUINN,JOSHUA",,,,,,,"BLOCK  by MCQUINN,JOSHUA",2
--,,,,,"REBOUND OFF by MOORE,CHEZ",,,"REBOUND OFF by MOORE,CHEZ",2
16:20,,38 (+2),,36,"GOOD 3PTR by BAUGHMAN,CARTER",Centre 38-36 (-2),,"GOOD 3PTR by BAUGHMAN,CARTER",2
--,,,,,"ASSIST  by STINNETT,CADE",,,"ASSIST  by STINNETT,CADE",2
16:04,"GOOD 3PTR by HILL,TY",41 (+5),,36,,GBORO 41-36 (-5),,"GOOD 3PTR by HILL,TY",2
--,"ASSIST  by PRUETT,ISAIAH",,,,,,,"ASSIST  by PRUETT,ISAIAH",2
15:43,,,,,"MISS JUMPER by STINNETT,CADE(in the paint)",,,"MISS JUMPER by STINNETT,CADE(in the paint)",2
--,,,,,"REBOUND OFF by RING,NOAH",,,"REBOUND OFF by RING,NOAH",2
15:39,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",2
15:39,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",2
15:39,"SUB OUT by SERGI,MASON",,,,,,,"SUB OUT by SERGI,MASON",2
15:39,"SUB IN by ALVEY,ERIK",,,,,,,"SUB IN by ALVEY,ERIK",2
15:34,,,,,"MISS LAYUP by STINNETT,CADE(in the paint)",,,"MISS LAYUP by STINNETT,CADE(in the paint)",2
--,"REBOUND DEF by PRUETT,ISAIAH",,,,,,,"REBOUND DEF by PRUETT,ISAIAH",2
15:25,"GOOD 3PTR by HILL,TY",44 (+8),,36,,GBORO 44-36 (-8),,"GOOD 3PTR by HILL,TY",2
--,"ASSIST  by PRUETT,ISAIAH",,,,,,,"ASSIST  by PRUETT,ISAIAH",2
15:22,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
15:22,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:22,"SUB OUT by PRUETT,ISAIAH",,,,,,,"SUB OUT by PRUETT,ISAIAH",2
15:22,"SUB IN by SERGI,MASON",,,,,,,"SUB IN by SERGI,MASON",2
15:09,,,,,"TURNOVER  by STINNETT,CADE",,,"TURNOVER  by STINNETT,CADE",2
15:09,"STEAL  by HILL,TY",,,,,,,"STEAL  by HILL,TY",2
15:05,"TURNOVER  by ALVEY,ERIK",,,,,,,"TURNOVER  by ALVEY,ERIK",2
14:53,"FOUL  by MCQUINN,JOSHUA",,,,,,,"FOUL  by MCQUINN,JOSHUA",2
14:53,,,,,"MISS FT by STINNETT,CADE",,,"MISS FT by STINNETT,CADE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
14:53,,,,,"MISS FT by STINNETT,CADE",,,"MISS FT by STINNETT,CADE",2
--,"REBOUND DEF by SERGI,MASON",,,,,,,"REBOUND DEF by SERGI,MASON",2
14:34,"MISS 3PTR by SERGI,MASON",,,,,,,"MISS 3PTR by SERGI,MASON",2
--,,,,,"REBOUND DEF by STINNETT,CADE",,,"REBOUND DEF by STINNETT,CADE",2
14:28,,,,,"TURNOVER  by STINNETT,CADE",,,"TURNOVER  by STINNETT,CADE",2
14:28,"STEAL  by ALVEY,ERIK",,,,,,,"STEAL  by ALVEY,ERIK",2
14:24,"TURNOVER  by ALVEY,ERIK",,,,,,,"TURNOVER  by ALVEY,ERIK",2
14:24,,,,,"SUB OUT by STINNETT,CADE",,,"SUB OUT by STINNETT,CADE",2
14:24,,,,,"SUB IN by BUSH,TYLER",,,"SUB IN by BUSH,TYLER",2
14:24,"SUB OUT by HILL,TY",,,,,,,"SUB OUT by HILL,TY",2
14:24,"SUB OUT by MCQUINN,JOSHUA",,,,,,,"SUB OUT by MCQUINN,JOSHUA",2
14:24,"SUB IN by PRUETT,ISAIAH",,,,,,,"SUB IN by PRUETT,ISAIAH",2
14:24,"SUB IN by BROWN,MATTHEW",,,,,,,"SUB IN by BROWN,MATTHEW",2
14:12,,,,,"MISS 3PTR by BUSH,TYLER",,,"MISS 3PTR by BUSH,TYLER",2
--,"REBOUND DEF by PRUETT,ISAIAH",,,,,,,"REBOUND DEF by PRUETT,ISAIAH",2
14:00,"GOOD 3PTR by BOULWARE,TIM",47 (+11),,36,,GBORO 47-36 (-11),,"GOOD 3PTR by BOULWARE,TIM",2
--,"ASSIST  by PRUETT,ISAIAH",,,,,,,"ASSIST  by PRUETT,ISAIAH",2
13:45,,47 (+8),,39,"GOOD 3PTR by TAYLOR,MARSHALL",Centre 47-39 (-8),,"GOOD 3PTR by TAYLOR,MARSHALL",2
13:45,"FOUL  by ALVEY,ERIK",,,,,,,"FOUL  by ALVEY,ERIK",2
13:45,,47 (+7),,40,"GOOD FT by TAYLOR,MARSHALL",Centre 47-40 (-7),,"GOOD FT by TAYLOR,MARSHALL",2
13:45,"SUB OUT by ALVEY,ERIK",,,,,,,"SUB OUT by ALVEY,ERIK",2
13:45,"SUB IN by POWELL,GRIFFIN",,,,,,,"SUB IN by POWELL,GRIFFIN",2
13:45,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",2
13:45,,,,,"SUB IN by KNOCHELMANN,PETE",,,"SUB IN by KNOCHELMANN,PETE",2
13:22,"GOOD JUMPER by PRUETT,ISAIAH",49 (+9),,40,,GBORO 49-40 (-9),,"GOOD JUMPER by PRUETT,ISAIAH",2
13:11,,,,,"MISS 3PTR by TAYLOR,MARSHALL",,,"MISS 3PTR by TAYLOR,MARSHALL",2
--,"REBOUND DEF by POWELL,GRIFFIN",,,,,,,"REBOUND DEF by POWELL,GRIFFIN",2
12:58,,,,,"FOUL  by TAYLOR,MARSHALL",,,"FOUL  by TAYLOR,MARSHALL",2
12:58,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",2
12:58,,,,,"SUB IN by COLEMAN,HUNTER",,,"SUB IN by COLEMAN,HUNTER",2
12:50,"MISS 3PTR by POWELL,GRIFFIN",,,,,,,"MISS 3PTR by POWELL,GRIFFIN",2
--,,,,,"REBOUND DEF by COLEMAN,HUNTER",,,"REBOUND DEF by COLEMAN,HUNTER",2
12:39,"FOUL  by POWELL,GRIFFIN",,,,,,,"FOUL  by POWELL,GRIFFIN",2
12:39,,49 (+8),,41,"GOOD FT by TAYLOR,MARSHALL",Centre 49-41 (-8),,"GOOD FT by TAYLOR,MARSHALL",2
12:39,,49 (+7),,42,"GOOD FT by TAYLOR,MARSHALL",Centre 49-42 (-7),,"GOOD FT by TAYLOR,MARSHALL",2
12:22,"MISS 3PTR by BROWN,MATTHEW",,,,,,,"MISS 3PTR by BROWN,MATTHEW",2
--,,,,,"REBOUND DEF by TAYLOR,MARSHALL",,,"REBOUND DEF by TAYLOR,MARSHALL",2
12:12,,49 (+5),,44,"GOOD LAYUP by TAYLOR,MARSHALL(in the paint)",Centre 49-44 (-5),,"GOOD LAYUP by TAYLOR,MARSHALL(in the paint)",2
11:50,"TURNOVER  by BOULWARE,TIM",,,,,,,"TURNOVER  by BOULWARE,TIM",2
11:50,,,,,"SUB OUT by BUSH,TYLER",,,"SUB OUT by BUSH,TYLER",2
11:50,,,,,"SUB OUT by KNOCHELMANN,PETE",,,"SUB OUT by KNOCHELMANN,PETE",2
11:50,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",2
11:50,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",2
11:34,"FOUL  by POWELL,GRIFFIN",,,,,,,"FOUL  by POWELL,GRIFFIN",2
11:34,,49 (+4),,45,"GOOD FT by MOORE,CHEZ",Centre 49-45 (-4),,"GOOD FT by MOORE,CHEZ",2
11:34,"SUB OUT by POWELL,GRIFFIN",,,,,,,"SUB OUT by POWELL,GRIFFIN",2
11:34,"SUB IN by HILL,TY",,,,,,,"SUB IN by HILL,TY",2
11:34,,49 (+3),,46,"GOOD FT by MOORE,CHEZ",Centre 49-46 (-3),,"GOOD FT by MOORE,CHEZ",2
11:17,,,,,"FOUL  by RING,NOAH",,,"FOUL  by RING,NOAH",2
11:17,"MISS FT by BROWN,MATTHEW",,,,,,,"MISS FT by BROWN,MATTHEW",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
11:17,,,,,"SUB OUT by COLEMAN,HUNTER",,,"SUB OUT by COLEMAN,HUNTER",2
11:17,,,,,"SUB OUT by TAYLOR,MARSHALL",,,"SUB OUT by TAYLOR,MARSHALL",2
11:17,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",2
11:17,,,,,"SUB IN by STINNETT,CADE",,,"SUB IN by STINNETT,CADE",2
11:17,"SUB OUT by BOULWARE,TIM",,,,,,,"SUB OUT by BOULWARE,TIM",2
11:17,"SUB IN by THOMPSON,GRANT",,,,,,,"SUB IN by THOMPSON,GRANT",2
11:17,"GOOD FT by BROWN,MATTHEW",50 (+4),,46,,GBORO 50-46 (-4),,"GOOD FT by BROWN,MATTHEW",2
10:58,,,,,"MISS JUMPER by BAUGHMAN,CARTER",,,"MISS JUMPER by BAUGHMAN,CARTER",2
--,"REBOUND DEF by THOMPSON,GRANT",,,,,,,"REBOUND DEF by THOMPSON,GRANT",2
10:52,"TURNOVER  by BROWN,MATTHEW",,,,,,,"TURNOVER  by BROWN,MATTHEW",2
10:52,,,,,"STEAL  by BAUGHMAN,CARTER",,,"STEAL  by BAUGHMAN,CARTER",2
10:48,,50 (+2),,48,"GOOD LAYUP by BAUGHMAN,CARTER(fastbreak)(in the paint)",Centre 50-48 (-2),,"GOOD LAYUP by BAUGHMAN,CARTER(fastbreak)(in the paint)",2
10:27,"GOOD LAYUP by THOMPSON,GRANT(in the paint)",52 (+4),,48,,GBORO 52-48 (-4),,"GOOD LAYUP by THOMPSON,GRANT(in the paint)",2
--,"ASSIST  by BROWN,MATTHEW",,,,,,,"ASSIST  by BROWN,MATTHEW",2
09:59,,52 (+1),,51,"GOOD 3PTR by RING,NOAH",Centre 52-51 (-1),,"GOOD 3PTR by RING,NOAH",2
--,,,,,"ASSIST  by BAUGHMAN,CARTER",,,"ASSIST  by BAUGHMAN,CARTER",2
09:26,"GOOD JUMPER by BROWN,MATTHEW",54 (+3),,51,,GBORO 54-51 (-3),,"GOOD JUMPER by BROWN,MATTHEW",2
09:04,,,,,"TURNOVER  by RING,NOAH",,,"TURNOVER  by RING,NOAH",2
09:04,"STEAL  by BROWN,MATTHEW",,,,,,,"STEAL  by BROWN,MATTHEW",2
09:00,"GOOD LAYUP by PRUETT,ISAIAH(fastbreak)(in the paint)",56 (+5),,51,,GBORO 56-51 (-5),,"GOOD LAYUP by PRUETT,ISAIAH(fastbreak)(in the paint)",2
08:40,,,,,"MISS 3PTR by WILSON,DREW",,,"MISS 3PTR by WILSON,DREW",2
--,"REBOUND DEF by BROWN,MATTHEW",,,,,,,"REBOUND DEF by BROWN,MATTHEW",2
08:34,,,,,"FOUL  by WILSON,DREW",,,"FOUL  by WILSON,DREW",2
08:34,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",2
08:34,,,,,"SUB IN by TAYLOR,MARSHALL",,,"SUB IN by TAYLOR,MARSHALL",2
08:34,"SUB OUT by BROWN,MATTHEW",,,,,,,"SUB OUT by BROWN,MATTHEW",2
08:34,"SUB IN by BOULWARE,TIM",,,,,,,"SUB IN by BOULWARE,TIM",2
08:25,"GOOD LAYUP by SERGI,MASON(in the paint)",58 (+7),,51,,GBORO 58-51 (-7),,"GOOD LAYUP by SERGI,MASON(in the paint)",2
--,"ASSIST  by PRUETT,ISAIAH",,,,,,,"ASSIST  by PRUETT,ISAIAH",2
08:08,,,,,"TURNOVER  by BAUGHMAN,CARTER",,,"TURNOVER  by BAUGHMAN,CARTER",2
08:08,"STEAL  by HILL,TY",,,,,,,"STEAL  by HILL,TY",2
08:02,"MISS 3PTR by PRUETT,ISAIAH",,,,,,,"MISS 3PTR by PRUETT,ISAIAH",2
--,"REBOUND OFF by THOMPSON,GRANT",,,,,,,"REBOUND OFF by THOMPSON,GRANT",2
08:00,,,,,"FOUL  by RING,NOAH",,,"FOUL  by RING,NOAH",2
08:00,"MISS FT by THOMPSON,GRANT",,,,,,,"MISS FT by THOMPSON,GRANT",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
08:00,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",2
08:00,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",2
08:00,"SUB OUT by HILL,TY",,,,,,,"SUB OUT by HILL,TY",2
08:00,"SUB IN by ALVEY,ERIK",,,,,,,"SUB IN by ALVEY,ERIK",2
08:00,"GOOD FT by THOMPSON,GRANT",59 (+8),,51,,GBORO 59-51 (-8),,"GOOD FT by THOMPSON,GRANT",2
07:46,,59 (+6),,53,"GOOD LAYUP by STINNETT,CADE(in the paint)",Centre 59-53 (-6),,"GOOD LAYUP by STINNETT,CADE(in the paint)",2
07:33,"MISS 3PTR by SERGI,MASON",,,,,,,"MISS 3PTR by SERGI,MASON",2
--,"REBOUND OFF by ALVEY,ERIK",,,,,,,"REBOUND OFF by ALVEY,ERIK",2
07:30,"GOOD LAYUP by ALVEY,ERIK(in the paint)",61 (+8),,53,,GBORO 61-53 (-8),,"GOOD LAYUP by ALVEY,ERIK(in the paint)",2
07:29,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
07:09,,61 (+6),,55,"GOOD LAYUP by MOORE,CHEZ(in the paint)",Centre 61-55 (-6),,"GOOD LAYUP by MOORE,CHEZ(in the paint)",2
06:50,"MISS LAYUP by THOMPSON,GRANT(in the paint)",,,,,,,"MISS LAYUP by THOMPSON,GRANT(in the paint)",2
06:50,,,,,"BLOCK  by MOORE,CHEZ",,,"BLOCK  by MOORE,CHEZ",2
--,,,,,"REBOUND DEF by STINNETT,CADE",,,"REBOUND DEF by STINNETT,CADE",2
06:41,,,,,"MISS 3PTR by STINNETT,CADE",,,"MISS 3PTR by STINNETT,CADE",2
--,"REBOUND DEF by ALVEY,ERIK",,,,,,,"REBOUND DEF by ALVEY,ERIK",2
06:24,"MISS JUMPER by BOULWARE,TIM(in the paint)",,,,,,,"MISS JUMPER by BOULWARE,TIM(in the paint)",2
--,,,,,"REBOUND DEF by MOORE,CHEZ",,,"REBOUND DEF by MOORE,CHEZ",2
06:15,,,,,"MISS LAYUP by BAUGHMAN,CARTER(in the paint)",,,"MISS LAYUP by BAUGHMAN,CARTER(in the paint)",2
--,"REBOUND DEF by ALVEY,ERIK",,,,,,,"REBOUND DEF by ALVEY,ERIK",2
05:48,"MISS 3PTR by ALVEY,ERIK",,,,,,,"MISS 3PTR by ALVEY,ERIK",2
--,"REBOUND OFF by THOMPSON,GRANT",,,,,,,"REBOUND OFF by THOMPSON,GRANT",2
05:44,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
05:44,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
05:44,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",2
05:44,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",2
05:44,"SUB OUT by SERGI,MASON",,,,,,,"SUB OUT by SERGI,MASON",2
05:44,"SUB OUT by THOMPSON,GRANT",,,,,,,"SUB OUT by THOMPSON,GRANT",2
05:44,"SUB IN by HILL,TY",,,,,,,"SUB IN by HILL,TY",2
05:44,"SUB IN by BROWN,MATTHEW",,,,,,,"SUB IN by BROWN,MATTHEW",2
05:23,,,,,"MISS LAYUP by BAUGHMAN,CARTER(in the paint)",,,"MISS LAYUP by BAUGHMAN,CARTER(in the paint)",2
05:23,"BLOCK  by BROWN,MATTHEW",,,,,,,"BLOCK  by BROWN,MATTHEW",2
--,"REBOUND DEF by PRUETT,ISAIAH",,,,,,,"REBOUND DEF by PRUETT,ISAIAH",2
05:14,"MISS LAYUP by ALVEY,ERIK(in the paint)",,,,,,,"MISS LAYUP by ALVEY,ERIK(in the paint)",2
--,,,,,"REBOUND DEF by MOORE,CHEZ",,,"REBOUND DEF by MOORE,CHEZ",2
04:51,"FOUL  by HILL,TY",,,,,,,"FOUL  by HILL,TY",2
04:51,,61 (+5),,56,"GOOD FT by TAYLOR,MARSHALL",Centre 61-56 (-5),,"GOOD FT by TAYLOR,MARSHALL",2
04:51,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",2
04:51,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",2
04:51,"SUB OUT by ALVEY,ERIK",,,,,,,"SUB OUT by ALVEY,ERIK",2
04:51,"SUB IN by SERGI,MASON",,,,,,,"SUB IN by SERGI,MASON",2
04:51,,,,,"MISS FT by TAYLOR,MARSHALL",,,"MISS FT by TAYLOR,MARSHALL",2
--,"REBOUND DEF by BROWN,MATTHEW",,,,,,,"REBOUND DEF by BROWN,MATTHEW",2
04:32,"GOOD LAYUP by SERGI,MASON(in the paint)",63 (+7),,56,,GBORO 63-56 (-7),,"GOOD LAYUP by SERGI,MASON(in the paint)",2
--,"ASSIST  by PRUETT,ISAIAH",,,,,,,"ASSIST  by PRUETT,ISAIAH",2
04:32,,,,,"FOUL  by RING,NOAH",,,"FOUL  by RING,NOAH",2
04:32,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",2
04:32,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",2
04:32,"GOOD FT by SERGI,MASON",64 (+8),,56,,GBORO 64-56 (-8),,"GOOD FT by SERGI,MASON",2
04:24,"FOUL  by SERGI,MASON",,,,,,,"FOUL  by SERGI,MASON",2
04:24,,,,,"MISS FT by STINNETT,CADE",,,"MISS FT by STINNETT,CADE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
04:24,,64 (+7),,57,"GOOD FT by STINNETT,CADE",Centre 64-57 (-7),,"GOOD FT by STINNETT,CADE",2
04:11,,,,,"FOUL  by BAUGHMAN,CARTER",,,"FOUL  by BAUGHMAN,CARTER",2
04:11,"MISS FT by PRUETT,ISAIAH",,,,,,,"MISS FT by PRUETT,ISAIAH",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
04:11,"GOOD FT by PRUETT,ISAIAH",65 (+8),,57,,GBORO 65-57 (-8),,"GOOD FT by PRUETT,ISAIAH",2
04:01,"FOUL  by BROWN,MATTHEW",,,,,,,"FOUL  by BROWN,MATTHEW",2
04:01,,65 (+7),,58,"GOOD FT by STINNETT,CADE",Centre 65-58 (-7),,"GOOD FT by STINNETT,CADE",2
04:01,,,,,"MISS FT by STINNETT,CADE",,,"MISS FT by STINNETT,CADE",2
--,"REBOUND DEF by BROWN,MATTHEW",,,,,,,"REBOUND DEF by BROWN,MATTHEW",2
03:40,"GOOD LAYUP by BOULWARE,TIM(in the paint)",67 (+9),,58,,GBORO 67-58 (-9),,"GOOD LAYUP by BOULWARE,TIM(in the paint)",2
03:27,,,,,"MISS JUMPER by TAYLOR,MARSHALL",,,"MISS JUMPER by TAYLOR,MARSHALL",2
--,"REBOUND DEF by BROWN,MATTHEW",,,,,,,"REBOUND DEF by BROWN,MATTHEW",2
03:07,"MISS LAYUP by BROWN,MATTHEW(in the paint)",,,,,,,"MISS LAYUP by BROWN,MATTHEW(in the paint)",2
--,,,,,"REBOUND DEF by TAYLOR,MARSHALL",,,"REBOUND DEF by TAYLOR,MARSHALL",2
03:04,,,,,"TURNOVER  by TAYLOR,MARSHALL",,,"TURNOVER  by TAYLOR,MARSHALL",2
02:56,"TURNOVER  by BROWN,MATTHEW",,,,,,,"TURNOVER  by BROWN,MATTHEW",2
02:56,,,,,"STEAL  by WILSON,DREW",,,"STEAL  by WILSON,DREW",2
02:52,"FOUL  by BROWN,MATTHEW",,,,,,,"FOUL  by BROWN,MATTHEW",2
02:52,,67 (+8),,59,"GOOD FT by WILSON,DREW(fastbreak)",Centre 67-59 (-8),,"GOOD FT by WILSON,DREW(fastbreak)",2
02:52,,67 (+7),,60,"GOOD FT by WILSON,DREW(fastbreak)",Centre 67-60 (-7),,"GOOD FT by WILSON,DREW(fastbreak)",2
02:42,"GOOD 3PTR by PRUETT,ISAIAH",70 (+10),,60,,GBORO 70-60 (-10),,"GOOD 3PTR by PRUETT,ISAIAH",2
--,"ASSIST  by SERGI,MASON",,,,,,,"ASSIST  by SERGI,MASON",2
02:40,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
02:31,"FOUL  by SERGI,MASON",,,,,,,"FOUL  by SERGI,MASON",2
02:31,,,,,"MISS FT by STINNETT,CADE",,,"MISS FT by STINNETT,CADE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
02:31,,70 (+9),,61,"GOOD FT by STINNETT,CADE",Centre 70-61 (-9),,"GOOD FT by STINNETT,CADE",2
02:19,,,,,"FOUL  by BAUGHMAN,CARTER",,,"FOUL  by BAUGHMAN,CARTER",2
02:19,"GOOD FT by PRUETT,ISAIAH",71 (+10),,61,,GBORO 71-61 (-10),,"GOOD FT by PRUETT,ISAIAH",2
02:19,"GOOD FT by PRUETT,ISAIAH",72 (+11),,61,,GBORO 72-61 (-11),,"GOOD FT by PRUETT,ISAIAH",2
02:07,,,,,"MISS 3PTR by TAYLOR,MARSHALL",,,"MISS 3PTR by TAYLOR,MARSHALL",2
--,,,,,"REBOUND OFF by STINNETT,CADE",,,"REBOUND OFF by STINNETT,CADE",2
02:03,,72 (+9),,63,"GOOD LAYUP by STINNETT,CADE(in the paint)",Centre 72-63 (-9),,"GOOD LAYUP by STINNETT,CADE(in the paint)",2
02:03,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:03,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",2
02:03,,,,,"SUB IN by BUSH,TYLER",,,"SUB IN by BUSH,TYLER",2
01:57,,,,,"FOUL  by STINNETT,CADE",,,"FOUL  by STINNETT,CADE",2
01:57,"MISS FT by PRUETT,ISAIAH",,,,,,,"MISS FT by PRUETT,ISAIAH",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
01:57,,,,,"SUB OUT by BUSH,TYLER",,,"SUB OUT by BUSH,TYLER",2
01:57,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",2
01:57,"GOOD FT by PRUETT,ISAIAH",73 (+10),,63,,GBORO 73-63 (-10),,"GOOD FT by PRUETT,ISAIAH",2
01:46,,,,,"MISS LAYUP by STINNETT,CADE(in the paint)",,,"MISS LAYUP by STINNETT,CADE(in the paint)",2
--,,,,,"REBOUND OFF by MOORE,CHEZ",,,"REBOUND OFF by MOORE,CHEZ",2
