Time Remaining,Centre,Away Team Score,Play Team Indicator,Home Team Score,SU,Game Score,Team Indicator,Play,Period
11:58,,9,,14 (+5),"GOOD LAYUP by MCCAMPBELL,DEVONTE(in the paint)",SU 9-14 (-5),,"GOOD LAYUP by MCCAMPBELL,DEVONTE(in the paint)",1
--,,,,,"ASSIST  by BRADFORD,CADEN",,,"ASSIST  by BRADFORD,CADEN",1
11:24,"MISS JUMPER by TAYLOR,MARSHALL",,,,,,,"MISS JUMPER by TAYLOR,MARSHALL",1
--,,,,,"REBOUND DEF by DILLARD,ANTHONY",,,"REBOUND DEF by DILLARD,ANTHONY",1
11:09,,,,,"MISS 3PTR by BYRON,MARLIN",,,"MISS 3PTR by BYRON,MARLIN",1
--,"REBOUND DEF by TAYLOR,MARSHALL",,,,,,,"REBOUND DEF by TAYLOR,MARSHALL",1
11:04,"GOOD JUMPER by KNOCHELMANN,PETE(fastbreak)(in the paint)",11,,14 (+3),,Centre 11-14 (-3),,"GOOD JUMPER by KNOCHELMANN,PETE(fastbreak)(in the paint)",1
--,"ASSIST  by TAYLOR,MARSHALL",,,,,,,"ASSIST  by TAYLOR,MARSHALL",1
10:49,,,,,"MISS 3PTR by STORM,CHARLIE",,,"MISS 3PTR by STORM,CHARLIE",1
--,"REBOUND DEF by WILSON,DREW",,,,,,,"REBOUND DEF by WILSON,DREW",1
10:40,"MISS 3PTR by TAYLOR,MARSHALL",,,,,,,"MISS 3PTR by TAYLOR,MARSHALL",1
--,,,,,"REBOUND DEF by DILLARD,ANTHONY",,,"REBOUND DEF by DILLARD,ANTHONY",1
10:18,,,,,"TURNOVER  by STORM,CHARLIE",,,"TURNOVER  by STORM,CHARLIE",1
10:18,,,,,"SUB OUT by DILLARD,ANTHONY",,,"SUB OUT by DILLARD,ANTHONY",1
10:18,,,,,"SUB OUT by MCCAMPBELL,DEVONTE",,,"SUB OUT by MCCAMPBELL,DEVONTE",1
10:18,,,,,"SUB OUT by BYRON,MARLIN",,,"SUB OUT by BYRON,MARLIN",1
10:18,,,,,"SUB IN by JOHNSON,JACOBY",,,"SUB IN by JOHNSON,JACOBY",1
10:18,,,,,"SUB IN by CAMPBELL,MAXTON",,,"SUB IN by CAMPBELL,MAXTON",1
10:18,,,,,"SUB IN by HARGROVE,KOBE",,,"SUB IN by HARGROVE,KOBE",1
10:18,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",1
10:18,"SUB OUT by LOVELL,TREY",,,,,,,"SUB OUT by LOVELL,TREY",1
10:18,"SUB IN by BAUGHMAN,CARTER",,,,,,,"SUB IN by BAUGHMAN,CARTER",1
10:18,"SUB IN by MOORE,CHEZ",,,,,,,"SUB IN by MOORE,CHEZ",1
09:58,"GOOD LAYUP by KNOCHELMANN,PETE(in the paint)",13,,14 (+1),,Centre 13-14 (-1),,"GOOD LAYUP by KNOCHELMANN,PETE(in the paint)",1
--,"ASSIST  by MARKHAM,DRU",,,,,,,"ASSIST  by MARKHAM,DRU",1
09:58,,,,,"FOUL  by JOHNSON,JACOBY",,,"FOUL  by JOHNSON,JACOBY",1
09:58,,,,,"SUB OUT by STORM,CHARLIE",,,"SUB OUT by STORM,CHARLIE",1
09:58,,,,,"SUB IN by HENSON,JONATHAN",,,"SUB IN by HENSON,JONATHAN",1
09:58,"GOOD FT by KNOCHELMANN,PETE",14,,14,,Centre 14-14 (0),,"GOOD FT by KNOCHELMANN,PETE",1
09:45,,,,,"MISS JUMPER by HARGROVE,KOBE",,,"MISS JUMPER by HARGROVE,KOBE",1
--,,,,,"REBOUND OFF by CAMPBELL,MAXTON",,,"REBOUND OFF by CAMPBELL,MAXTON",1
09:39,,14,,16 (+2),"GOOD LAYUP by CAMPBELL,MAXTON(in the paint)",SU 14-16 (-2),,"GOOD LAYUP by CAMPBELL,MAXTON(in the paint)",1
09:22,"SUB OUT by MARKHAM,DRU",,,,,,,"SUB OUT by MARKHAM,DRU",1
09:22,"SUB IN by STINNETT,CADE",,,,,,,"SUB IN by STINNETT,CADE",1
09:11,"MISS LAYUP by STINNETT,CADE(in the paint)",,,,,,,"MISS LAYUP by STINNETT,CADE(in the paint)",1
09:11,,,,,"BLOCK  by CAMPBELL,MAXTON",,,"BLOCK  by CAMPBELL,MAXTON",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
09:05,"MISS LAYUP by MOORE,CHEZ(in the paint)",,,,,,,"MISS LAYUP by MOORE,CHEZ(in the paint)",1
--,,,,,"REBOUND DEF by JOHNSON,JACOBY",,,"REBOUND DEF by JOHNSON,JACOBY",1
08:48,,,,,"MISS JUMPER by CAMPBELL,MAXTON(in the paint)",,,"MISS JUMPER by CAMPBELL,MAXTON(in the paint)",1
--,"REBOUND DEF by STINNETT,CADE",,,,,,,"REBOUND DEF by STINNETT,CADE",1
08:38,,,,,"FOUL  by HARGROVE,KOBE",,,"FOUL  by HARGROVE,KOBE",1
08:38,"GOOD FT by KNOCHELMANN,PETE",15,,16 (+1),,Centre 15-16 (-1),,"GOOD FT by KNOCHELMANN,PETE",1
08:38,"GOOD FT by KNOCHELMANN,PETE",16,,16,,Centre 16-16 (0),,"GOOD FT by KNOCHELMANN,PETE",1
08:38,"SUB OUT by TAYLOR,MARSHALL",,,,,,,"SUB OUT by TAYLOR,MARSHALL",1
08:38,"SUB OUT by KNOCHELMANN,PETE",,,,,,,"SUB OUT by KNOCHELMANN,PETE",1
08:38,"SUB IN by RING,NOAH",,,,,,,"SUB IN by RING,NOAH",1
08:38,"SUB IN by MARKHAM,DRU",,,,,,,"SUB IN by MARKHAM,DRU",1
08:23,,,,,"MISS 3PTR by JOHNSON,JACOBY",,,"MISS 3PTR by JOHNSON,JACOBY",1
--,"REBOUND DEF by MOORE,CHEZ",,,,,,,"REBOUND DEF by MOORE,CHEZ",1
08:11,"MISS LAYUP by MOORE,CHEZ(in the paint)",,,,,,,"MISS LAYUP by MOORE,CHEZ(in the paint)",1
--,,,,,"REBOUND DEF by JOHNSON,JACOBY",,,"REBOUND DEF by JOHNSON,JACOBY",1
07:59,,,,,"FOUL  by CAMPBELL,MAXTON",,,"FOUL  by CAMPBELL,MAXTON",1
07:59,,,,,"TURNOVER  by CAMPBELL,MAXTON",,,"TURNOVER  by CAMPBELL,MAXTON",1
07:47,"TURNOVER  by MOORE,CHEZ",,,,,,,"TURNOVER  by MOORE,CHEZ",1
07:47,,,,,"STEAL  by CAMPBELL,MAXTON",,,"STEAL  by CAMPBELL,MAXTON",1
07:35,,,,,"MISS 3PTR by HENSON,JONATHAN",,,"MISS 3PTR by HENSON,JONATHAN",1
--,,,,,"REBOUND OFF by HARGROVE,KOBE",,,"REBOUND OFF by HARGROVE,KOBE",1
07:30,,,,,"TURNOVER  by HARGROVE,KOBE",,,"TURNOVER  by HARGROVE,KOBE",1
07:30,"STEAL  by BAUGHMAN,CARTER",,,,,,,"STEAL  by BAUGHMAN,CARTER",1
07:29,,,,,"FOUL  by BRADFORD,CADEN",,,"FOUL  by BRADFORD,CADEN",1
07:29,,,,,"SUB OUT by HENSON,JONATHAN",,,"SUB OUT by HENSON,JONATHAN",1
07:29,,,,,"SUB OUT by HARGROVE,KOBE",,,"SUB OUT by HARGROVE,KOBE",1
07:29,,,,,"SUB IN by STORM,CHARLIE",,,"SUB IN by STORM,CHARLIE",1
07:29,,,,,"SUB IN by DILLARD,ANTHONY",,,"SUB IN by DILLARD,ANTHONY",1
07:20,"TURNOVER  by STINNETT,CADE",,,,,,,"TURNOVER  by STINNETT,CADE",1
07:01,,16,,19 (+3),"GOOD 3PTR by BRADFORD,CADEN",SU 16-19 (-3),,"GOOD 3PTR by BRADFORD,CADEN",1
--,,,,,"ASSIST  by DILLARD,ANTHONY",,,"ASSIST  by DILLARD,ANTHONY",1
06:27,"MISS JUMPER by STINNETT,CADE",,,,,,,"MISS JUMPER by STINNETT,CADE",1
06:23,,,,,"FOUL  by DILLARD,ANTHONY",,,"FOUL  by DILLARD,ANTHONY",1
--,"REBOUND OFF by STINNETT,CADE",,,,,,,"REBOUND OFF by STINNETT,CADE",1
06:10,"FOUL  by MARKHAM,DRU",,,,,,,"FOUL  by MARKHAM,DRU",1
06:10,"TURNOVER  by MARKHAM,DRU",,,,,,,"TURNOVER  by MARKHAM,DRU",1
06:10,,,,,"SUB OUT by CAMPBELL,MAXTON",,,"SUB OUT by CAMPBELL,MAXTON",1
06:10,,,,,"SUB IN by MCCAMPBELL,DEVONTE",,,"SUB IN by MCCAMPBELL,DEVONTE",1
06:10,"SUB OUT by MARKHAM,DRU",,,,,,,"SUB OUT by MARKHAM,DRU",1
06:10,"SUB IN by TAYLOR,MARSHALL",,,,,,,"SUB IN by TAYLOR,MARSHALL",1
05:39,,,,,"MISS JUMPER by STORM,CHARLIE",,,"MISS JUMPER by STORM,CHARLIE",1
--,"REBOUND DEF by STINNETT,CADE",,,,,,,"REBOUND DEF by STINNETT,CADE",1
05:25,"GOOD 3PTR by BAUGHMAN,CARTER",19,,19,,Centre 19-19 (0),,"GOOD 3PTR by BAUGHMAN,CARTER",1
--,"ASSIST  by RING,NOAH",,,,,,,"ASSIST  by RING,NOAH",1
05:07,,,,,"MISS 3PTR by JOHNSON,JACOBY",,,"MISS 3PTR by JOHNSON,JACOBY",1
--,"REBOUND DEF by MOORE,CHEZ",,,,,,,"REBOUND DEF by MOORE,CHEZ",1
04:47,"TURNOVER  by MOORE,CHEZ",,,,,,,"TURNOVER  by MOORE,CHEZ",1
04:47,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",1
04:47,"SUB OUT by MOORE,CHEZ",,,,,,,"SUB OUT by MOORE,CHEZ",1
04:47,"SUB IN by COLEMAN,HUNTER",,,,,,,"SUB IN by COLEMAN,HUNTER",1
04:47,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",1
04:36,,,,,"TURNOVER  by STORM,CHARLIE",,,"TURNOVER  by STORM,CHARLIE",1
04:36,"STEAL  by TAYLOR,MARSHALL",,,,,,,"STEAL  by TAYLOR,MARSHALL",1
04:21,"MISS LAYUP by WILSON,DREW(in the paint)",,,,,,,"MISS LAYUP by WILSON,DREW(in the paint)",1
--,,,,,"REBOUND DEF by MCCAMPBELL,DEVONTE",,,"REBOUND DEF by MCCAMPBELL,DEVONTE",1
04:13,,19,,22 (+3),"GOOD 3PTR by STORM,CHARLIE(fastbreak)",SU 19-22 (-3),,"GOOD 3PTR by STORM,CHARLIE(fastbreak)",1
--,,,,,"ASSIST  by JOHNSON,JACOBY",,,"ASSIST  by JOHNSON,JACOBY",1
04:09,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
04:09,,,,,"SUB OUT by BRADFORD,CADEN",,,"SUB OUT by BRADFORD,CADEN",1
04:09,,,,,"SUB IN by CRAWFORD,ANDRE",,,"SUB IN by CRAWFORD,ANDRE",1
03:56,"MISS JUMPER by STINNETT,CADE(in the paint)",,,,,,,"MISS JUMPER by STINNETT,CADE(in the paint)",1
--,,,,,"REBOUND DEF by DILLARD,ANTHONY",,,"REBOUND DEF by DILLARD,ANTHONY",1
03:28,,,,,"TURNOVER  by MCCAMPBELL,DEVONTE",,,"TURNOVER  by MCCAMPBELL,DEVONTE",1
03:28,"STEAL  by TAYLOR,MARSHALL",,,,,,,"STEAL  by TAYLOR,MARSHALL",1
03:22,"TURNOVER  by TAYLOR,MARSHALL",,,,,,,"TURNOVER  by TAYLOR,MARSHALL",1
03:22,"SUB OUT by TAYLOR,MARSHALL",,,,,,,"SUB OUT by TAYLOR,MARSHALL",1
03:22,"SUB IN by BAUGHMAN,CARTER",,,,,,,"SUB IN by BAUGHMAN,CARTER",1
03:02,,,,,"MISS 3PTR by STORM,CHARLIE",,,"MISS 3PTR by STORM,CHARLIE",1
--,,,,,"REBOUND OFF by MCCAMPBELL,DEVONTE",,,"REBOUND OFF by MCCAMPBELL,DEVONTE",1
02:46,,,,,"MISS 3PTR by CRAWFORD,ANDRE",,,"MISS 3PTR by CRAWFORD,ANDRE",1
--,"REBOUND DEF by STINNETT,CADE",,,,,,,"REBOUND DEF by STINNETT,CADE",1
02:39,"MISS LAYUP by STINNETT,CADE(in the paint)",,,,,,,"MISS LAYUP by STINNETT,CADE(in the paint)",1
02:39,,,,,"BLOCK  by CRAWFORD,ANDRE",,,"BLOCK  by CRAWFORD,ANDRE",1
--,,,,,"REBOUND DEF by MCCAMPBELL,DEVONTE",,,"REBOUND DEF by MCCAMPBELL,DEVONTE",1
02:29,,,,,"MISS 3PTR by STORM,CHARLIE",,,"MISS 3PTR by STORM,CHARLIE",1
--,"REBOUND DEF by STINNETT,CADE",,,,,,,"REBOUND DEF by STINNETT,CADE",1
02:18,"FOUL  by BAUGHMAN,CARTER",,,,,,,"FOUL  by BAUGHMAN,CARTER",1
02:18,"TURNOVER  by BAUGHMAN,CARTER",,,,,,,"TURNOVER  by BAUGHMAN,CARTER",1
02:18,,,,,"SUB OUT by JOHNSON,JACOBY",,,"SUB OUT by JOHNSON,JACOBY",1
02:18,,,,,"SUB OUT by CRAWFORD,ANDRE",,,"SUB OUT by CRAWFORD,ANDRE",1
02:18,,,,,"SUB OUT by STORM,CHARLIE",,,"SUB OUT by STORM,CHARLIE",1
02:18,,,,,"SUB OUT by DILLARD,ANTHONY",,,"SUB OUT by DILLARD,ANTHONY",1
02:18,,,,,"SUB OUT by MCCAMPBELL,DEVONTE",,,"SUB OUT by MCCAMPBELL,DEVONTE",1
02:18,,,,,"SUB IN by BRADFORD,CADEN",,,"SUB IN by BRADFORD,CADEN",1
02:18,,,,,"SUB IN by BYRON,MARLIN",,,"SUB IN by BYRON,MARLIN",1
02:18,,,,,"SUB IN by HENSON,JONATHAN",,,"SUB IN by HENSON,JONATHAN",1
02:18,,,,,"SUB IN by CAMPBELL,MAXTON",,,"SUB IN by CAMPBELL,MAXTON",1
02:18,,,,,"SUB IN by HARGROVE,KOBE",,,"SUB IN by HARGROVE,KOBE",1
02:18,"SUB OUT by RING,NOAH",,,,,,,"SUB OUT by RING,NOAH",1
02:18,"SUB IN by KNOCHELMANN,PETE",,,,,,,"SUB IN by KNOCHELMANN,PETE",1
02:03,,,,,"TURNOVER  by BRADFORD,CADEN",,,"TURNOVER  by BRADFORD,CADEN",1
01:54,"MISS 3PTR by BAUGHMAN,CARTER",,,,,,,"MISS 3PTR by BAUGHMAN,CARTER",1
--,,,,,"REBOUND DEF by BYRON,MARLIN",,,"REBOUND DEF by BYRON,MARLIN",1
01:40,,,,,"MISS LAYUP by CAMPBELL,MAXTON(in the paint)",,,"MISS LAYUP by CAMPBELL,MAXTON(in the paint)",1
--,"REBOUND DEF by KNOCHELMANN,PETE",,,,,,,"REBOUND DEF by KNOCHELMANN,PETE",1
01:19,"GOOD 3PTR by BAUGHMAN,CARTER",22,,22,,Centre 22-22 (0),,"GOOD 3PTR by BAUGHMAN,CARTER",1
--,"ASSIST  by STINNETT,CADE",,,,,,,"ASSIST  by STINNETT,CADE",1
01:06,,,,,"SUB OUT by HARGROVE,KOBE",,,"SUB OUT by HARGROVE,KOBE",1
01:06,,,,,"SUB IN by HOLT,JACKSON",,,"SUB IN by HOLT,JACKSON",1
00:47,,,,,"MISS 3PTR by HENSON,JONATHAN",,,"MISS 3PTR by HENSON,JONATHAN",1
--,,,,,"REBOUND OFF by CAMPBELL,MAXTON",,,"REBOUND OFF by CAMPBELL,MAXTON",1
00:43,,,,,"TURNOVER  by CAMPBELL,MAXTON",,,"TURNOVER  by CAMPBELL,MAXTON",1
00:38,"GOOD 3PTR by BAUGHMAN,CARTER(fastbreak)",25 (+3),,22,,Centre 25-22 (+3),,"GOOD 3PTR by BAUGHMAN,CARTER(fastbreak)",1
00:18,,,,,"MISS 3PTR by HOLT,JACKSON",,,"MISS 3PTR by HOLT,JACKSON",1
--,"REBOUND DEF by WILSON,DREW",,,,,,,"REBOUND DEF by WILSON,DREW",1
00:01,"MISS 3PTR by STINNETT,CADE",,,,,,,"MISS 3PTR by STINNETT,CADE",1
--,,,,,"REBOUND DEF by CAMPBELL,MAXTON",,,"REBOUND DEF by CAMPBELL,MAXTON",1
20:00,,,,,"SUB OUT by BRADFORD,CADEN",,,"SUB OUT by BRADFORD,CADEN",2
20:00,,,,,"SUB OUT by BYRON,MARLIN",,,"SUB OUT by BYRON,MARLIN",2
20:00,,,,,"SUB OUT by HOLT,JACKSON",,,"SUB OUT by HOLT,JACKSON",2
20:00,,,,,"SUB IN by JOHNSON,JACOBY",,,"SUB IN by JOHNSON,JACOBY",2
20:00,,,,,"SUB IN by CRAWFORD,ANDRE",,,"SUB IN by CRAWFORD,ANDRE",2
20:00,,,,,"SUB IN by DILLARD,ANTHONY",,,"SUB IN by DILLARD,ANTHONY",2
20:00,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",2
20:00,"SUB OUT by KNOCHELMANN,PETE",,,,,,,"SUB OUT by KNOCHELMANN,PETE",2
20:00,"SUB IN by RING,NOAH",,,,,,,"SUB IN by RING,NOAH",2
20:00,"SUB IN by MOORE,CHEZ",,,,,,,"SUB IN by MOORE,CHEZ",2
19:35,,25 (+1),,24,"GOOD JUMPER by HENSON,JONATHAN",SU 25-24 (+1),,"GOOD JUMPER by HENSON,JONATHAN",2
--,,,,,"ASSIST  by JOHNSON,JACOBY",,,"ASSIST  by JOHNSON,JACOBY",2
19:03,"MISS 3PTR by COLEMAN,HUNTER",,,,,,,"MISS 3PTR by COLEMAN,HUNTER",2
--,"REBOUND OFF by STINNETT,CADE",,,,,,,"REBOUND OFF by STINNETT,CADE",2
18:57,"GOOD LAYUP by STINNETT,CADE(in the paint)",27 (+3),,24,,Centre 27-24 (+3),,"GOOD LAYUP by STINNETT,CADE(in the paint)",2
18:31,,,,,"MISS 3PTR by JOHNSON,JACOBY",,,"MISS 3PTR by JOHNSON,JACOBY",2
--,"REBOUND DEF by MOORE,CHEZ",,,,,,,"REBOUND DEF by MOORE,CHEZ",2
