Time Remaining,LOR,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
16:04,,4,,6 (+2),"GOOD JUMPER by STINNETT,CADE(in the paint)",Centre 4-6 (+2),,"GOOD JUMPER by STINNETT,CADE(in the paint)",1
15:39,"MISS JUMPER by DEERING,ZACH",,,,,,,"MISS JUMPER by DEERING,ZACH",1
--,,,,,"REBOUND DEF by COLEMAN,HUNTER",,,"REBOUND DEF by COLEMAN,HUNTER",1
15:32,,,,,"MISS 3PTR by COLEMAN,HUNTER",,,"MISS 3PTR by COLEMAN,HUNTER",1
--,,,,,"REBOUND OFF by MOORE,CHEZ",,,"REBOUND OFF by MOORE,CHEZ",1
15:28,,,,,"MISS LAYUP by MOORE,CHEZ(in the paint)",,,"MISS LAYUP by MOORE,CHEZ(in the paint)",1
--,"REBOUND DEF by BASS,TYLER",,,,,,,"REBOUND DEF by BASS,TYLER",1
15:13,"MISS LAYUP by CIURLIK,DECLAN(in the paint)",,,,,,,"MISS LAYUP by CIURLIK,DECLAN(in the paint)",1
--,"REBOUND OFF by BASS,TYLER",,,,,,,"REBOUND OFF by BASS,TYLER",1
15:11,"MISS LAYUP by BASS,TYLER(in the paint)",,,,,,,"MISS LAYUP by BASS,TYLER(in the paint)",1
15:11,,,,,"BLOCK  by RING,NOAH",,,"BLOCK  by RING,NOAH",1
--,,,,,"REBOUND DEF by RING,NOAH",,,"REBOUND DEF by RING,NOAH",1
15:03,,4,,9 (+5),"GOOD 3PTR by BAUGHMAN,CARTER",Centre 4-9 (+5),,"GOOD 3PTR by BAUGHMAN,CARTER",1
--,,,,,"ASSIST  by MOORE,CHEZ",,,"ASSIST  by MOORE,CHEZ",1
14:45,"GOOD JUMPER by BASS,TYLER(in the paint)",6,,9 (+3),,LOR 6-9 (+3),,"GOOD JUMPER by BASS,TYLER(in the paint)",1
--,"ASSIST  by SABET,ALI",,,,,,,"ASSIST  by SABET,ALI",1
14:25,,,,,"MISS JUMPER by STINNETT,CADE(in the paint)",,,"MISS JUMPER by STINNETT,CADE(in the paint)",1
--,"REBOUND DEF by DEERING,ZACH",,,,,,,"REBOUND DEF by DEERING,ZACH",1
14:07,"GOOD JUMPER by BASS,TYLER(in the paint)",8,,9 (+1),,LOR 8-9 (+1),,"GOOD JUMPER by BASS,TYLER(in the paint)",1
13:47,,8,,12 (+4),"GOOD 3PTR by BAUGHMAN,CARTER",Centre 8-12 (+4),,"GOOD 3PTR by BAUGHMAN,CARTER",1
--,,,,,"ASSIST  by RING,NOAH",,,"ASSIST  by RING,NOAH",1
13:27,"MISS 3PTR by SABET,ALI",,,,,,,"MISS 3PTR by SABET,ALI",1
--,,,,,"REBOUND DEF by COLEMAN,HUNTER",,,"REBOUND DEF by COLEMAN,HUNTER",1
13:26,"FOUL  by DEERING,ZACH",,,,,,,"FOUL  by DEERING,ZACH",1
13:26,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
13:26,,,,,"SUB OUT by COLEMAN,HUNTER",,,"SUB OUT by COLEMAN,HUNTER",1
13:26,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",1
13:26,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",1
13:26,,,,,"SUB IN by MARKHAM,DRU",,,"SUB IN by MARKHAM,DRU",1
13:26,"SUB OUT by BASS,TYLER",,,,,,,"SUB OUT by BASS,TYLER",1
13:26,"SUB OUT by SABET,ALI",,,,,,,"SUB OUT by SABET,ALI",1
13:26,"SUB OUT by CIURLIK,DECLAN",,,,,,,"SUB OUT by CIURLIK,DECLAN",1
13:26,"SUB IN by SARVIS,GAVIN",,,,,,,"SUB IN by SARVIS,GAVIN",1
13:26,"SUB IN by BARRY,MYLES",,,,,,,"SUB IN by BARRY,MYLES",1
13:26,"SUB IN by SINGLETON,ALEX",,,,,,,"SUB IN by SINGLETON,ALEX",1
13:09,,,,,"TURNOVER  by RING,NOAH",,,"TURNOVER  by RING,NOAH",1
12:45,"TURNOVER  by SINGLETON,ALEX",,,,,,,"TURNOVER  by SINGLETON,ALEX",1
12:45,,,,,"STEAL  by MARKHAM,DRU",,,"STEAL  by MARKHAM,DRU",1
12:38,"FOUL  by PEARSON,JARED",,,,,,,"FOUL  by PEARSON,JARED",1
12:38,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",1
12:38,,,,,"SUB IN by RAYMER,COLBY",,,"SUB IN by RAYMER,COLBY",1
12:34,"FOUL  by BARRY,MYLES",,,,,,,"FOUL  by BARRY,MYLES",1
12:21,,8,,14 (+6),"GOOD LAYUP by STINNETT,CADE(in the paint)",Centre 8-14 (+6),,"GOOD LAYUP by STINNETT,CADE(in the paint)",1
12:06,"TURNOVER  by BARRY,MYLES",,,,,,,"TURNOVER  by BARRY,MYLES",1
12:06,"SUB OUT by SARVIS,GAVIN",,,,,,,"SUB OUT by SARVIS,GAVIN",1
12:06,"SUB OUT by PEARSON,JARED",,,,,,,"SUB OUT by PEARSON,JARED",1
12:06,"SUB OUT by DEERING,ZACH",,,,,,,"SUB OUT by DEERING,ZACH",1
12:06,"SUB IN by BASS,TYLER",,,,,,,"SUB IN by BASS,TYLER",1
12:06,"SUB IN by SABET,ALI",,,,,,,"SUB IN by SABET,ALI",1
12:06,"SUB IN by CIURLIK,DECLAN",,,,,,,"SUB IN by CIURLIK,DECLAN",1
11:56,,,,,"MISS LAYUP by STINNETT,CADE(in the paint)",,,"MISS LAYUP by STINNETT,CADE(in the paint)",1
--,"REBOUND DEF by BARRY,MYLES",,,,,,,"REBOUND DEF by BARRY,MYLES",1
11:43,"GOOD JUMPER by BASS,TYLER(in the paint)",10,,14 (+4),,LOR 10-14 (+4),,"GOOD JUMPER by BASS,TYLER(in the paint)",1
11:25,,,,,"TURNOVER  by WILSON,DREW",,,"TURNOVER  by WILSON,DREW",1
11:23,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:23,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",1
11:23,,,,,"SUB IN by KNOCHELMANN,PETE",,,"SUB IN by KNOCHELMANN,PETE",1
11:12,"GOOD 3PTR by BARRY,MYLES",13,,14 (+1),,LOR 13-14 (+1),,"GOOD 3PTR by BARRY,MYLES",1
--,"ASSIST  by SABET,ALI",,,,,,,"ASSIST  by SABET,ALI",1
10:48,"FOUL  by CIURLIK,DECLAN",,,,,,,"FOUL  by CIURLIK,DECLAN",1
10:48,,,,,"SUB OUT by STINNETT,CADE",,,"SUB OUT by STINNETT,CADE",1
10:48,,,,,"SUB OUT by RAYMER,COLBY",,,"SUB OUT by RAYMER,COLBY",1
10:48,,,,,"SUB IN by COLEMAN,HUNTER",,,"SUB IN by COLEMAN,HUNTER",1
10:48,,,,,"SUB IN by TAYLOR,MARSHALL",,,"SUB IN by TAYLOR,MARSHALL",1
10:39,,,,,"MISS LAYUP by MARKHAM,DRU(in the paint)",,,"MISS LAYUP by MARKHAM,DRU(in the paint)",1
--,"REBOUND DEF by BASS,TYLER",,,,,,,"REBOUND DEF by BASS,TYLER",1
10:26,"MISS 3PTR by BASS,TYLER",,,,,,,"MISS 3PTR by BASS,TYLER",1
--,,,,,"REBOUND DEF by MARKHAM,DRU",,,"REBOUND DEF by MARKHAM,DRU",1
10:15,,,,,"FOUL  by TAYLOR,MARSHALL",,,"FOUL  by TAYLOR,MARSHALL",1
10:15,,,,,"TURNOVER  by TAYLOR,MARSHALL",,,"TURNOVER  by TAYLOR,MARSHALL",1
10:01,"MISS 3PTR by SABET,ALI",,,,,,,"MISS 3PTR by SABET,ALI",1
--,,,,,"REBOUND DEF by MARKHAM,DRU",,,"REBOUND DEF by MARKHAM,DRU",1
09:52,,,,,"MISS 3PTR by WILSON,DREW",,,"MISS 3PTR by WILSON,DREW",1
--,"REBOUND DEF by SINGLETON,ALEX",,,,,,,"REBOUND DEF by SINGLETON,ALEX",1
09:41,"TURNOVER  by BARRY,MYLES",,,,,,,"TURNOVER  by BARRY,MYLES",1
09:22,,,,,"MISS 3PTR by TAYLOR,MARSHALL",,,"MISS 3PTR by TAYLOR,MARSHALL",1
--,"REBOUND DEF by BASS,TYLER",,,,,,,"REBOUND DEF by BASS,TYLER",1
09:13,"FOUL  by BASS,TYLER",,,,,,,"FOUL  by BASS,TYLER",1
09:13,"TURNOVER  by BASS,TYLER",,,,,,,"TURNOVER  by BASS,TYLER",1
09:13,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",1
09:13,,,,,"SUB OUT by KNOCHELMANN,PETE",,,"SUB OUT by KNOCHELMANN,PETE",1
09:13,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",1
09:13,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",1
09:13,"SUB OUT by BARRY,MYLES",,,,,,,"SUB OUT by BARRY,MYLES",1
09:13,"SUB OUT by SINGLETON,ALEX",,,,,,,"SUB OUT by SINGLETON,ALEX",1
09:13,"SUB IN by PEARSON,JARED",,,,,,,"SUB IN by PEARSON,JARED",1
09:13,"SUB IN by DEERING,ZACH",,,,,,,"SUB IN by DEERING,ZACH",1
08:56,,,,,"TURNOVER  by COLEMAN,HUNTER",,,"TURNOVER  by COLEMAN,HUNTER",1
08:56,,,,,"SUB OUT by COLEMAN,HUNTER",,,"SUB OUT by COLEMAN,HUNTER",1
08:56,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",1
08:34,"TURNOVER  by SABET,ALI",,,,,,,"TURNOVER  by SABET,ALI",1
08:34,,,,,"STEAL  by RING,NOAH",,,"STEAL  by RING,NOAH",1
08:26,,,,,"TURNOVER  by BAUGHMAN,CARTER",,,"TURNOVER  by BAUGHMAN,CARTER",1
08:26,"STEAL  by CIURLIK,DECLAN",,,,,,,"STEAL  by CIURLIK,DECLAN",1
08:22,,,,,"FOUL  by MARKHAM,DRU",,,"FOUL  by MARKHAM,DRU",1
08:22,"GOOD FT by CIURLIK,DECLAN",14,,14,,LOR 14-14 (0),,"GOOD FT by CIURLIK,DECLAN",1
08:22,,,,,"SUB OUT by MARKHAM,DRU",,,"SUB OUT by MARKHAM,DRU",1
08:22,,,,,"SUB IN by STINNETT,CADE",,,"SUB IN by STINNETT,CADE",1
08:22,"SUB OUT by SABET,ALI",,,,,,,"SUB OUT by SABET,ALI",1
08:22,"SUB IN by BARRY,MYLES",,,,,,,"SUB IN by BARRY,MYLES",1
08:21,"MISS FT by CIURLIK,DECLAN",,,,,,,"MISS FT by CIURLIK,DECLAN",1
--,,,,,"REBOUND DEF by RING,NOAH",,,"REBOUND DEF by RING,NOAH",1
08:02,,14,,17 (+3),"GOOD 3PTR by TAYLOR,MARSHALL",Centre 14-17 (+3),,"GOOD 3PTR by TAYLOR,MARSHALL",1
--,,,,,"ASSIST  by STINNETT,CADE",,,"ASSIST  by STINNETT,CADE",1
07:39,"TURNOVER  by CIURLIK,DECLAN",,,,,,,"TURNOVER  by CIURLIK,DECLAN",1
07:39,,,,,"STEAL  by STINNETT,CADE",,,"STEAL  by STINNETT,CADE",1
07:39,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
07:39,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:39,"SUB OUT by DEERING,ZACH",,,,,,,"SUB OUT by DEERING,ZACH",1
07:39,"SUB OUT by CIURLIK,DECLAN",,,,,,,"SUB OUT by CIURLIK,DECLAN",1
07:39,"SUB IN by SARVIS,GAVIN",,,,,,,"SUB IN by SARVIS,GAVIN",1
07:39,"SUB IN by SINGLETON,ALEX",,,,,,,"SUB IN by SINGLETON,ALEX",1
07:17,,,,,"MISS LAYUP by MOORE,CHEZ(in the paint)",,,"MISS LAYUP by MOORE,CHEZ(in the paint)",1
07:17,"BLOCK  by SINGLETON,ALEX",,,,,,,"BLOCK  by SINGLETON,ALEX",1
--,,,,,"REBOUND OFF by MOORE,CHEZ",,,"REBOUND OFF by MOORE,CHEZ",1
07:10,,,,,"MISS 3PTR by BAUGHMAN,CARTER",,,"MISS 3PTR by BAUGHMAN,CARTER",1
--,"REBOUND DEF by BASS,TYLER",,,,,,,"REBOUND DEF by BASS,TYLER",1
07:02,"TURNOVER  by SARVIS,GAVIN",,,,,,,"TURNOVER  by SARVIS,GAVIN",1
07:02,,,,,"STEAL  by RING,NOAH",,,"STEAL  by RING,NOAH",1
06:57,,14,,19 (+5),"GOOD LAYUP by STINNETT,CADE(fastbreak)(in the paint)",Centre 14-19 (+5),,"GOOD LAYUP by STINNETT,CADE(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by TAYLOR,MARSHALL",,,"ASSIST  by TAYLOR,MARSHALL",1
06:39,"GOOD JUMPER by BASS,TYLER(in the paint)",16,,19 (+3),,LOR 16-19 (+3),,"GOOD JUMPER by BASS,TYLER(in the paint)",1
--,"ASSIST  by BARRY,MYLES",,,,,,,"ASSIST  by BARRY,MYLES",1
06:10,,,,,"MISS LAYUP by MOORE,CHEZ(in the paint)",,,"MISS LAYUP by MOORE,CHEZ(in the paint)",1
--,"REBOUND DEF by PEARSON,JARED",,,,,,,"REBOUND DEF by PEARSON,JARED",1
06:05,,,,,"FOUL  by TAYLOR,MARSHALL",,,"FOUL  by TAYLOR,MARSHALL",1
06:05,,,,,"SUB OUT by TAYLOR,MARSHALL",,,"SUB OUT by TAYLOR,MARSHALL",1
06:05,,,,,"SUB IN by MARKHAM,DRU",,,"SUB IN by MARKHAM,DRU",1
06:05,"SUB OUT by BASS,TYLER",,,,,,,"SUB OUT by BASS,TYLER",1
06:05,"SUB IN by DEERING,ZACH",,,,,,,"SUB IN by DEERING,ZACH",1
06:03,"GOOD LAYUP by DEERING,ZACH(in the paint)",18,,19 (+1),,LOR 18-19 (+1),,"GOOD LAYUP by DEERING,ZACH(in the paint)",1
--,"ASSIST  by BARRY,MYLES",,,,,,,"ASSIST  by BARRY,MYLES",1
05:41,"FOUL  by SINGLETON,ALEX",,,,,,,"FOUL  by SINGLETON,ALEX",1
05:41,,,,,"MISS FT by RING,NOAH",,,"MISS FT by RING,NOAH",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
05:41,"SUB OUT by SARVIS,GAVIN",,,,,,,"SUB OUT by SARVIS,GAVIN",1
05:41,"SUB OUT by SINGLETON,ALEX",,,,,,,"SUB OUT by SINGLETON,ALEX",1
05:41,"SUB IN by BASS,TYLER",,,,,,,"SUB IN by BASS,TYLER",1
05:41,"SUB IN by CIURLIK,DECLAN",,,,,,,"SUB IN by CIURLIK,DECLAN",1
05:41,,18,,20 (+2),"GOOD FT by RING,NOAH",Centre 18-20 (+2),,"GOOD FT by RING,NOAH",1
05:41,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",1
05:41,,,,,"SUB IN by RAYMER,COLBY",,,"SUB IN by RAYMER,COLBY",1
05:29,"MISS 3PTR by BARRY,MYLES",,,,,,,"MISS 3PTR by BARRY,MYLES",1
--,,,,,"REBOUND DEF by MARKHAM,DRU",,,"REBOUND DEF by MARKHAM,DRU",1
05:10,"FOUL  by PEARSON,JARED",,,,,,,"FOUL  by PEARSON,JARED",1
05:10,"SUB OUT by PEARSON,JARED",,,,,,,"SUB OUT by PEARSON,JARED",1
05:10,"SUB IN by SABET,ALI",,,,,,,"SUB IN by SABET,ALI",1
05:10,,18,,21 (+3),"GOOD FT by MARKHAM,DRU",Centre 18-21 (+3),,"GOOD FT by MARKHAM,DRU",1
05:10,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",1
05:10,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",1
05:10,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",1
05:10,,,,,"SUB IN by KNOCHELMANN,PETE",,,"SUB IN by KNOCHELMANN,PETE",1
05:10,,18,,22 (+4),"GOOD FT by MARKHAM,DRU",Centre 18-22 (+4),,"GOOD FT by MARKHAM,DRU",1
05:10,,,,,"SUB OUT by MARKHAM,DRU",,,"SUB OUT by MARKHAM,DRU",1
05:10,,,,,"SUB IN by COLEMAN,HUNTER",,,"SUB IN by COLEMAN,HUNTER",1
04:48,"MISS 3PTR by BARRY,MYLES",,,,,,,"MISS 3PTR by BARRY,MYLES",1
--,"REBOUND OFF by BASS,TYLER",,,,,,,"REBOUND OFF by BASS,TYLER",1
04:48,,,,,"FOUL  by KNOCHELMANN,PETE",,,"FOUL  by KNOCHELMANN,PETE",1
04:46,"GOOD LAYUP by DEERING,ZACH(in the paint)",20,,22 (+2),,LOR 20-22 (+2),,"GOOD LAYUP by DEERING,ZACH(in the paint)",1
--,"ASSIST  by BARRY,MYLES",,,,,,,"ASSIST  by BARRY,MYLES",1
04:27,,,,,"MISS LAYUP by KNOCHELMANN,PETE(in the paint)",,,"MISS LAYUP by KNOCHELMANN,PETE(in the paint)",1
--,,,,,"REBOUND OFF by STINNETT,CADE",,,"REBOUND OFF by STINNETT,CADE",1
04:23,,20,,24 (+4),"GOOD LAYUP by STINNETT,CADE(in the paint)",Centre 20-24 (+4),,"GOOD LAYUP by STINNETT,CADE(in the paint)",1
04:02,"MISS JUMPER by DEERING,ZACH",,,,,,,"MISS JUMPER by DEERING,ZACH",1
--,,,,,"REBOUND DEF by WILSON,DREW",,,"REBOUND DEF by WILSON,DREW",1
04:01,"FOUL  by BASS,TYLER",,,,,,,"FOUL  by BASS,TYLER",1
04:01,,,,,"SUB OUT by RAYMER,COLBY",,,"SUB OUT by RAYMER,COLBY",1
04:01,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",1
04:01,"SUB OUT by BASS,TYLER",,,,,,,"SUB OUT by BASS,TYLER",1
04:01,"SUB IN by SARVIS,GAVIN",,,,,,,"SUB IN by SARVIS,GAVIN",1
04:01,,,,,"MISS FT by WILSON,DREW",,,"MISS FT by WILSON,DREW",1
--,"REBOUND DEF by SARVIS,GAVIN",,,,,,,"REBOUND DEF by SARVIS,GAVIN",1
04:00,,,,,"FOUL  by KNOCHELMANN,PETE",,,"FOUL  by KNOCHELMANN,PETE",1
04:00,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:47,"MISS LAYUP by DEERING,ZACH(in the paint)",,,,,,,"MISS LAYUP by DEERING,ZACH(in the paint)",1
--,"REBOUND OFF by DEERING,ZACH",,,,,,,"REBOUND OFF by DEERING,ZACH",1
03:46,,,,,"SUB OUT by KNOCHELMANN,PETE",,,"SUB OUT by KNOCHELMANN,PETE",1
03:46,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",1
03:42,"GOOD JUMPER by SABET,ALI(in the paint)",22,,24 (+2),,LOR 22-24 (+2),,"GOOD JUMPER by SABET,ALI(in the paint)",1
--,"ASSIST  by BARRY,MYLES",,,,,,,"ASSIST  by BARRY,MYLES",1
03:26,,,,,"MISS 3PTR by STINNETT,CADE",,,"MISS 3PTR by STINNETT,CADE",1
--,"REBOUND DEF by SABET,ALI",,,,,,,"REBOUND DEF by SABET,ALI",1
03:12,"MISS LAYUP by SARVIS,GAVIN(in the paint)",,,,,,,"MISS LAYUP by SARVIS,GAVIN(in the paint)",1
--,,,,,"REBOUND DEF by RING,NOAH",,,"REBOUND DEF by RING,NOAH",1
03:11,"FOUL  by DEERING,ZACH",,,,,,,"FOUL  by DEERING,ZACH",1
03:11,,,,,"MISS FT by RING,NOAH",,,"MISS FT by RING,NOAH",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
03:11,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",1
03:11,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",1
03:11,,22,,25 (+3),"GOOD FT by RING,NOAH",Centre 22-25 (+3),,"GOOD FT by RING,NOAH",1
03:00,"TURNOVER  by SABET,ALI",,,,,,,"TURNOVER  by SABET,ALI",1
02:33,,,,,"MISS 3PTR by BAUGHMAN,CARTER",,,"MISS 3PTR by BAUGHMAN,CARTER",1
--,"REBOUND DEF by SARVIS,GAVIN",,,,,,,"REBOUND DEF by SARVIS,GAVIN",1
02:31,,,,,"FOUL  by RING,NOAH",,,"FOUL  by RING,NOAH",1
02:31,"GOOD FT by SARVIS,GAVIN",23,,25 (+2),,LOR 23-25 (+2),,"GOOD FT by SARVIS,GAVIN",1
02:31,"GOOD FT by SARVIS,GAVIN",24,,25 (+1),,LOR 24-25 (+1),,"GOOD FT by SARVIS,GAVIN",1
02:09,"SUB OUT by SARVIS,GAVIN",,,,,,,"SUB OUT by SARVIS,GAVIN",1
02:09,"SUB IN by MAYBRUN,KYLE",,,,,,,"SUB IN by MAYBRUN,KYLE",1
02:07,,,,,"TURNOVER  by MOORE,CHEZ",,,"TURNOVER  by MOORE,CHEZ",1
01:44,"MISS JUMPER by DEERING,ZACH(in the paint)",,,,,,,"MISS JUMPER by DEERING,ZACH(in the paint)",1
--,,,,,"REBOUND DEF by RING,NOAH",,,"REBOUND DEF by RING,NOAH",1
01:25,,24,,27 (+3),"GOOD JUMPER by COLEMAN,HUNTER",Centre 24-27 (+3),,"GOOD JUMPER by COLEMAN,HUNTER",1
00:59,"MISS LAYUP by MAYBRUN,KYLE(in the paint)",,,,,,,"MISS LAYUP by MAYBRUN,KYLE(in the paint)",1
--,"REBOUND OFF by DEERING,ZACH",,,,,,,"REBOUND OFF by DEERING,ZACH",1
00:58,,,,,"FOUL  by COLEMAN,HUNTER",,,"FOUL  by COLEMAN,HUNTER",1
00:58,"MISS FT by DEERING,ZACH",,,,,,,"MISS FT by DEERING,ZACH",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
00:58,"GOOD FT by DEERING,ZACH",25,,27 (+2),,LOR 25-27 (+2),,"GOOD FT by DEERING,ZACH",1
00:58,"SUB OUT by DEERING,ZACH",,,,,,,"SUB OUT by DEERING,ZACH",1
00:58,"SUB IN by LARSEN,COOPER",,,,,,,"SUB IN by LARSEN,COOPER",1
00:43,,,,,"TURNOVER  by MOORE,CHEZ",,,"TURNOVER  by MOORE,CHEZ",1
00:43,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",1
00:43,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",1
00:31,"MISS LAYUP by LARSEN,COOPER(in the paint)",,,,,,,"MISS LAYUP by LARSEN,COOPER(in the paint)",1
00:31,,,,,"BLOCK  by WILSON,DREW",,,"BLOCK  by WILSON,DREW",1
--,,,,,"REBOUND DEF by RING,NOAH",,,"REBOUND DEF by RING,NOAH",1
00:04,"FOUL  by MAYBRUN,KYLE",,,,,,,"FOUL  by MAYBRUN,KYLE",1
00:04,,,,,"MISS FT by STINNETT,CADE",,,"MISS FT by STINNETT,CADE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
00:04,,25,,28 (+3),"GOOD FT by STINNETT,CADE",Centre 25-28 (+3),,"GOOD FT by STINNETT,CADE",1
00:04,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",1
00:04,,,,,"SUB IN by TAYLOR,MARSHALL",,,"SUB IN by TAYLOR,MARSHALL",1
20:00,,,,,"SUB OUT by TAYLOR,MARSHALL",,,"SUB OUT by TAYLOR,MARSHALL",2
20:00,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",2
20:00,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",2
