Time Remaining,Centre,Away Team Score,Play Team Indicator,Home Team Score,Transy,Game Score,Team Indicator,Play,Period
14:25,,,,,"SUB OUT by TEAGUE,MATTHEW",,,"SUB OUT by TEAGUE,MATTHEW",1
14:25,,,,,"SUB OUT by CAPPS,DAKOTA",,,"SUB OUT by CAPPS,DAKOTA",1
14:25,,,,,"SUB IN by MADSON,ALEX",,,"SUB IN by MADSON,ALEX",1
14:25,,,,,"SUB IN by SMITH,SIMON",,,"SUB IN by SMITH,SIMON",1
14:25,,,,,"TURNOVER  by GREEN,JAYLAN",,,"TURNOVER  by GREEN,JAYLAN",1
14:17,,,,,"FOUL  by PENN,HUNTER",,,"FOUL  by PENN,HUNTER",1
14:05,"GOOD LAYUP by MOORE,CHEZ(in the paint)",9,,18 (+9),,Centre 9-18 (-9),,"GOOD LAYUP by MOORE,CHEZ(in the paint)",1
--,"ASSIST  by WILSON,DREW",,,,,,,"ASSIST  by WILSON,DREW",1
13:51,,,,,"TURNOVER  by GREEN,JAYLAN",,,"TURNOVER  by GREEN,JAYLAN",1
13:51,"STEAL  by WILSON,DREW",,,,,,,"STEAL  by WILSON,DREW",1
13:44,"MISS 3PTR by BAUGHMAN,CARTER",,,,,,,"MISS 3PTR by BAUGHMAN,CARTER",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
13:43,,,,,"SUB OUT by PENN,HUNTER",,,"SUB OUT by PENN,HUNTER",1
13:43,,,,,"SUB IN by SCHROEDER,LUKE",,,"SUB IN by SCHROEDER,LUKE",1
13:29,,,,,"MISS JUMPER by SMITH,SIMON(in the paint)",,,"MISS JUMPER by SMITH,SIMON(in the paint)",1
--,"REBOUND DEF by WILSON,DREW",,,,,,,"REBOUND DEF by WILSON,DREW",1
13:15,"TURNOVER  by MOORE,CHEZ",,,,,,,"TURNOVER  by MOORE,CHEZ",1
13:15,,,,,"STEAL  by GREEN,JAYLAN",,,"STEAL  by GREEN,JAYLAN",1
13:09,"FOUL  by BAUGHMAN,CARTER",,,,,,,"FOUL  by BAUGHMAN,CARTER",1
13:09,,,,,"SUB OUT by GREEN,JAYLAN",,,"SUB OUT by GREEN,JAYLAN",1
13:09,,,,,"SUB IN by CAPPS,DAKOTA",,,"SUB IN by CAPPS,DAKOTA",1
13:09,"SUB OUT by MOORE,CHEZ",,,,,,,"SUB OUT by MOORE,CHEZ",1
13:09,"SUB OUT by STINNETT,CADE",,,,,,,"SUB OUT by STINNETT,CADE",1
13:09,"SUB IN by COLEMAN,HUNTER",,,,,,,"SUB IN by COLEMAN,HUNTER",1
13:09,"SUB IN by MARKHAM,DRU",,,,,,,"SUB IN by MARKHAM,DRU",1
12:51,"FOUL  by COLEMAN,HUNTER",,,,,,,"FOUL  by COLEMAN,HUNTER",1
12:51,,9,,19 (+10),"GOOD FT by NAPIER,COLBY",Transy 9-19 (-10),,"GOOD FT by NAPIER,COLBY",1
12:51,,9,,20 (+11),"GOOD FT by NAPIER,COLBY",Transy 9-20 (-11),,"GOOD FT by NAPIER,COLBY",1
12:31,"MISS 3PTR by RING,NOAH",,,,,,,"MISS 3PTR by RING,NOAH",1
--,,,,,"REBOUND DEF by SCHROEDER,LUKE",,,"REBOUND DEF by SCHROEDER,LUKE",1
12:20,,9,,22 (+13),"GOOD LAYUP by SMITH,SIMON(in the paint)",Transy 9-22 (-13),,"GOOD LAYUP by SMITH,SIMON(in the paint)",1
--,,,,,"ASSIST  by MADSON,ALEX",,,"ASSIST  by MADSON,ALEX",1
12:19,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
12:19,,,,,"SUB OUT by NAPIER,COLBY",,,"SUB OUT by NAPIER,COLBY",1
12:19,,,,,"SUB IN by GREEN,JAYLAN",,,"SUB IN by GREEN,JAYLAN",1
12:19,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",1
12:19,"SUB IN by RING,NOAH",,,,,,,"SUB IN by RING,NOAH",1
12:11,"MISS 3PTR by COLEMAN,HUNTER",,,,,,,"MISS 3PTR by COLEMAN,HUNTER",1
--,,,,,"REBOUND DEF by SMITH,SIMON",,,"REBOUND DEF by SMITH,SIMON",1
12:02,,,,,"MISS JUMPER by GREEN,JAYLAN",,,"MISS JUMPER by GREEN,JAYLAN",1
--,"REBOUND DEF by MARKHAM,DRU",,,,,,,"REBOUND DEF by MARKHAM,DRU",1
11:45,"MISS JUMPER by COLEMAN,HUNTER(in the paint)",,,,,,,"MISS JUMPER by COLEMAN,HUNTER(in the paint)",1
--,,,,,"REBOUND DEF by SCHROEDER,LUKE",,,"REBOUND DEF by SCHROEDER,LUKE",1
11:22,,9,,25 (+16),"GOOD 3PTR by SMITH,SIMON",Transy 9-25 (-16),,"GOOD 3PTR by SMITH,SIMON",1
--,,,,,"ASSIST  by GREEN,JAYLAN",,,"ASSIST  by GREEN,JAYLAN",1
11:00,"TURNOVER  by RING,NOAH",,,,,,,"TURNOVER  by RING,NOAH",1
11:00,,,,,"STEAL  by CAPPS,DAKOTA",,,"STEAL  by CAPPS,DAKOTA",1
10:55,,9,,27 (+18),"GOOD LAYUP by CAPPS,DAKOTA(fastbreak)(in the paint)",Transy 9-27 (-18),,"GOOD LAYUP by CAPPS,DAKOTA(fastbreak)(in the paint)",1
10:30,"TURNOVER  by COLEMAN,HUNTER",,,,,,,"TURNOVER  by COLEMAN,HUNTER",1
10:30,,,,,"STEAL  by MADSON,ALEX",,,"STEAL  by MADSON,ALEX",1
10:30,,,,,"SUB OUT by SMITH,SIMON",,,"SUB OUT by SMITH,SIMON",1
10:30,,,,,"SUB IN by PENN,HUNTER",,,"SUB IN by PENN,HUNTER",1
10:30,"SUB OUT by TAYLOR,MARSHALL",,,,,,,"SUB OUT by TAYLOR,MARSHALL",1
10:30,"SUB OUT by RING,NOAH",,,,,,,"SUB OUT by RING,NOAH",1
10:30,"SUB IN by BAUGHMAN,CARTER",,,,,,,"SUB IN by BAUGHMAN,CARTER",1
10:30,"SUB IN by MOORE,CHEZ",,,,,,,"SUB IN by MOORE,CHEZ",1
10:25,,9,,29 (+20),"GOOD JUMPER by PENN,HUNTER(in the paint)",Transy 9-29 (-20),,"GOOD JUMPER by PENN,HUNTER(in the paint)",1
--,,,,,"ASSIST  by CAPPS,DAKOTA",,,"ASSIST  by CAPPS,DAKOTA",1
10:07,"FOUL  by MOORE,CHEZ",,,,,,,"FOUL  by MOORE,CHEZ",1
10:07,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",1
10:07,"SUB OUT by MARKHAM,DRU",,,,,,,"SUB OUT by MARKHAM,DRU",1
10:07,"SUB IN by STINNETT,CADE",,,,,,,"SUB IN by STINNETT,CADE",1
10:07,"SUB IN by MAUL,CALEB",,,,,,,"SUB IN by MAUL,CALEB",1
09:34,,,,,"MISS JUMPER by PENN,HUNTER(in the paint)",,,"MISS JUMPER by PENN,HUNTER(in the paint)",1
--,"REBOUND DEF by MOORE,CHEZ",,,,,,,"REBOUND DEF by MOORE,CHEZ",1
09:18,,,,,"FOUL  by SCHROEDER,LUKE",,,"FOUL  by SCHROEDER,LUKE",1
09:18,"GOOD FT by STINNETT,CADE",10,,29 (+19),,Centre 10-29 (-19),,"GOOD FT by STINNETT,CADE",1
09:18,,,,,"SUB OUT by MADSON,ALEX",,,"SUB OUT by MADSON,ALEX",1
09:18,,,,,"SUB OUT by SCHROEDER,LUKE",,,"SUB OUT by SCHROEDER,LUKE",1
09:18,,,,,"SUB IN by TEAGUE,MATTHEW",,,"SUB IN by TEAGUE,MATTHEW",1
09:18,,,,,"SUB IN by NAPIER,COLBY",,,"SUB IN by NAPIER,COLBY",1
09:18,"GOOD FT by STINNETT,CADE",11,,29 (+18),,Centre 11-29 (-18),,"GOOD FT by STINNETT,CADE",1
08:55,,,,,"MISS JUMPER by TEAGUE,MATTHEW(in the paint)",,,"MISS JUMPER by TEAGUE,MATTHEW(in the paint)",1
08:55,"BLOCK  by MAUL,CALEB",,,,,,,"BLOCK  by MAUL,CALEB",1
--,"REBOUND DEF by STINNETT,CADE",,,,,,,"REBOUND DEF by STINNETT,CADE",1
08:47,,,,,"FOUL  by GREEN,JAYLAN",,,"FOUL  by GREEN,JAYLAN",1
08:47,"GOOD FT by MOORE,CHEZ",12,,29 (+17),,Centre 12-29 (-17),,"GOOD FT by MOORE,CHEZ",1
08:47,,,,,"SUB OUT by GREEN,JAYLAN",,,"SUB OUT by GREEN,JAYLAN",1
08:47,,,,,"SUB IN by MADSON,ALEX",,,"SUB IN by MADSON,ALEX",1
08:47,"GOOD FT by MOORE,CHEZ",13,,29 (+16),,Centre 13-29 (-16),,"GOOD FT by MOORE,CHEZ",1
08:30,,,,,"TURNOVER  by TEAGUE,MATTHEW",,,"TURNOVER  by TEAGUE,MATTHEW",1
08:19,"MISS LAYUP by BAUGHMAN,CARTER(in the paint)",,,,,,,"MISS LAYUP by BAUGHMAN,CARTER(in the paint)",1
--,,,,,"REBOUND DEF by TEAGUE,MATTHEW",,,"REBOUND DEF by TEAGUE,MATTHEW",1
08:10,,,,,"TURNOVER  by CAPPS,DAKOTA",,,"TURNOVER  by CAPPS,DAKOTA",1
08:10,"STEAL  by MOORE,CHEZ",,,,,,,"STEAL  by MOORE,CHEZ",1
08:03,"MISS LAYUP by STINNETT,CADE(in the paint)",,,,,,,"MISS LAYUP by STINNETT,CADE(in the paint)",1
--,"REBOUND OFF by MAUL,CALEB",,,,,,,"REBOUND OFF by MAUL,CALEB",1
08:00,,,,,"FOUL  by PENN,HUNTER",,,"FOUL  by PENN,HUNTER",1
08:00,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:57,,,,,"SUB OUT by PENN,HUNTER",,,"SUB OUT by PENN,HUNTER",1
07:57,,,,,"SUB IN by SMITH,SIMON",,,"SUB IN by SMITH,SIMON",1
07:57,"MISS FT by MAUL,CALEB",,,,,,,"MISS FT by MAUL,CALEB",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
07:57,"GOOD FT by MAUL,CALEB",14,,29 (+15),,Centre 14-29 (-15),,"GOOD FT by MAUL,CALEB",1
07:27,,,,,"MISS 3PTR by MADSON,ALEX",,,"MISS 3PTR by MADSON,ALEX",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
07:12,,,,,"FOUL  by MADSON,ALEX",,,"FOUL  by MADSON,ALEX",1
07:12,"GOOD FT by MAUL,CALEB",15,,29 (+14),,Centre 15-29 (-14),,"GOOD FT by MAUL,CALEB",1
07:12,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",1
07:12,"SUB IN by TAYLOR,MARSHALL",,,,,,,"SUB IN by TAYLOR,MARSHALL",1
07:12,"MISS FT by MAUL,CALEB",,,,,,,"MISS FT by MAUL,CALEB",1
--,,,,,"REBOUND DEF by SMITH,SIMON",,,"REBOUND DEF by SMITH,SIMON",1
06:50,,,,,"TURNOVER  by CAPPS,DAKOTA",,,"TURNOVER  by CAPPS,DAKOTA",1
06:50,"STEAL  by MOORE,CHEZ",,,,,,,"STEAL  by MOORE,CHEZ",1
06:43,"GOOD LAYUP by MOORE,CHEZ(fastbreak)(in the paint)",17,,29 (+12),,Centre 17-29 (-12),,"GOOD LAYUP by MOORE,CHEZ(fastbreak)(in the paint)",1
06:21,"FOUL  by STINNETT,CADE",,,,,,,"FOUL  by STINNETT,CADE",1
06:21,,17,,30 (+13),"GOOD FT by TEAGUE,MATTHEW",Transy 17-30 (-13),,"GOOD FT by TEAGUE,MATTHEW",1
06:21,"SUB OUT by MAUL,CALEB",,,,,,,"SUB OUT by MAUL,CALEB",1
06:21,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",1
06:21,,17,,31 (+14),"GOOD FT by TEAGUE,MATTHEW",Transy 17-31 (-14),,"GOOD FT by TEAGUE,MATTHEW",1
06:09,"GOOD JUMPER by STINNETT,CADE",19,,31 (+12),,Centre 19-31 (-12),,"GOOD JUMPER by STINNETT,CADE",1
05:53,,,,,"TURNOVER  by NAPIER,COLBY",,,"TURNOVER  by NAPIER,COLBY",1
05:53,"STEAL  by MOORE,CHEZ",,,,,,,"STEAL  by MOORE,CHEZ",1
05:44,"MISS LAYUP by MOORE,CHEZ(in the paint)",,,,,,,"MISS LAYUP by MOORE,CHEZ(in the paint)",1
--,,,,,"REBOUND DEF by TEAGUE,MATTHEW",,,"REBOUND DEF by TEAGUE,MATTHEW",1
05:35,,19,,34 (+15),"GOOD 3PTR by NAPIER,COLBY",Transy 19-34 (-15),,"GOOD 3PTR by NAPIER,COLBY",1
--,,,,,"ASSIST  by TEAGUE,MATTHEW",,,"ASSIST  by TEAGUE,MATTHEW",1
05:12,"MISS LAYUP by MOORE,CHEZ(in the paint)",,,,,,,"MISS LAYUP by MOORE,CHEZ(in the paint)",1
--,,,,,"REBOUND DEF by TEAGUE,MATTHEW",,,"REBOUND DEF by TEAGUE,MATTHEW",1
05:06,,,,,"MISS LAYUP by MADSON,ALEX(in the paint)",,,"MISS LAYUP by MADSON,ALEX(in the paint)",1
--,,,,,"REBOUND OFF by CAPPS,DAKOTA",,,"REBOUND OFF by CAPPS,DAKOTA",1
04:59,,19,,36 (+17),"GOOD LAYUP by TEAGUE,MATTHEW(in the paint)",Transy 19-36 (-17),,"GOOD LAYUP by TEAGUE,MATTHEW(in the paint)",1
--,,,,,"ASSIST  by CAPPS,DAKOTA",,,"ASSIST  by CAPPS,DAKOTA",1
04:41,"MISS LAYUP by STINNETT,CADE(in the paint)",,,,,,,"MISS LAYUP by STINNETT,CADE(in the paint)",1
--,,,,,"REBOUND DEF by TEAGUE,MATTHEW",,,"REBOUND DEF by TEAGUE,MATTHEW",1
04:34,,,,,"MISS 3PTR by NAPIER,COLBY",,,"MISS 3PTR by NAPIER,COLBY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
04:33,,,,,"FOUL  by MADSON,ALEX",,,"FOUL  by MADSON,ALEX",1
04:33,"SUB OUT by COLEMAN,HUNTER",,,,,,,"SUB OUT by COLEMAN,HUNTER",1
04:33,"SUB IN by BAUGHMAN,CARTER",,,,,,,"SUB IN by BAUGHMAN,CARTER",1
04:33,"GOOD FT by MOORE,CHEZ",20,,36 (+16),,Centre 20-36 (-16),,"GOOD FT by MOORE,CHEZ",1
04:33,"GOOD FT by MOORE,CHEZ",21,,36 (+15),,Centre 21-36 (-15),,"GOOD FT by MOORE,CHEZ",1
04:33,,,,,"SUB OUT by TEAGUE,MATTHEW",,,"SUB OUT by TEAGUE,MATTHEW",1
04:33,,,,,"SUB OUT by SMITH,SIMON",,,"SUB OUT by SMITH,SIMON",1
04:33,,,,,"SUB IN by MULLINS,DANIEL",,,"SUB IN by MULLINS,DANIEL",1
04:33,,,,,"SUB IN by SCHROEDER,LUKE",,,"SUB IN by SCHROEDER,LUKE",1
04:33,"SUB OUT by MOORE,CHEZ",,,,,,,"SUB OUT by MOORE,CHEZ",1
04:33,"SUB OUT by STINNETT,CADE",,,,,,,"SUB OUT by STINNETT,CADE",1
04:33,"SUB IN by RING,NOAH",,,,,,,"SUB IN by RING,NOAH",1
04:33,"SUB IN by MARKHAM,DRU",,,,,,,"SUB IN by MARKHAM,DRU",1
04:30,,,,,"TURNOVER  by SCHROEDER,LUKE",,,"TURNOVER  by SCHROEDER,LUKE",1
04:18,,,,,"FOUL  by SCHROEDER,LUKE",,,"FOUL  by SCHROEDER,LUKE",1
03:58,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:58,"GOOD FT by MARKHAM,DRU",22,,36 (+14),,Centre 22-36 (-14),,"GOOD FT by MARKHAM,DRU",1
03:58,"GOOD FT by MARKHAM,DRU",23,,36 (+13),,Centre 23-36 (-13),,"GOOD FT by MARKHAM,DRU",1
03:33,,,,,"MISS 3PTR by MULLINS,DANIEL",,,"MISS 3PTR by MULLINS,DANIEL",1
--,"REBOUND DEF by TAYLOR,MARSHALL",,,,,,,"REBOUND DEF by TAYLOR,MARSHALL",1
03:25,"MISS 3PTR by MARKHAM,DRU",,,,,,,"MISS 3PTR by MARKHAM,DRU",1
--,,,,,"REBOUND DEF by MADSON,ALEX",,,"REBOUND DEF by MADSON,ALEX",1
02:56,,,,,"MISS JUMPER by SCHROEDER,LUKE(in the paint)",,,"MISS JUMPER by SCHROEDER,LUKE(in the paint)",1
--,"REBOUND DEF by BAUGHMAN,CARTER",,,,,,,"REBOUND DEF by BAUGHMAN,CARTER",1
02:38,"GOOD LAYUP by TAYLOR,MARSHALL(in the paint)",25,,36 (+11),,Centre 25-36 (-11),,"GOOD LAYUP by TAYLOR,MARSHALL(in the paint)",1
02:38,,,,,"FOUL  by NAPIER,COLBY",,,"FOUL  by NAPIER,COLBY",1
02:38,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",1
02:38,"SUB IN by MOORE,CHEZ",,,,,,,"SUB IN by MOORE,CHEZ",1
02:38,"MISS FT by TAYLOR,MARSHALL",,,,,,,"MISS FT by TAYLOR,MARSHALL",1
--,,,,,"REBOUND DEF by NAPIER,COLBY",,,"REBOUND DEF by NAPIER,COLBY",1
02:22,,25,,38 (+13),"GOOD JUMPER by NAPIER,COLBY(in the paint)",Transy 25-38 (-13),,"GOOD JUMPER by NAPIER,COLBY(in the paint)",1
--,,,,,"ASSIST  by CAPPS,DAKOTA",,,"ASSIST  by CAPPS,DAKOTA",1
02:06,"GOOD LAYUP by MARKHAM,DRU(in the paint)",27,,38 (+11),,Centre 27-38 (-11),,"GOOD LAYUP by MARKHAM,DRU(in the paint)",1
--,"ASSIST  by TAYLOR,MARSHALL",,,,,,,"ASSIST  by TAYLOR,MARSHALL",1
01:51,,,,,"TURNOVER  by CAPPS,DAKOTA",,,"TURNOVER  by CAPPS,DAKOTA",1
01:51,,,,,"SUB OUT by CAPPS,DAKOTA",,,"SUB OUT by CAPPS,DAKOTA",1
01:51,,,,,"SUB OUT by MULLINS,DANIEL",,,"SUB OUT by MULLINS,DANIEL",1
01:51,,,,,"SUB IN by TEAGUE,MATTHEW",,,"SUB IN by TEAGUE,MATTHEW",1
01:51,,,,,"SUB IN by SMITH,SIMON",,,"SUB IN by SMITH,SIMON",1
01:51,"SUB OUT by TAYLOR,MARSHALL",,,,,,,"SUB OUT by TAYLOR,MARSHALL",1
01:51,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",1
01:51,"SUB IN by COLEMAN,HUNTER",,,,,,,"SUB IN by COLEMAN,HUNTER",1
01:51,"SUB IN by STINNETT,CADE",,,,,,,"SUB IN by STINNETT,CADE",1
01:44,,,,,"FOUL  by SCHROEDER,LUKE",,,"FOUL  by SCHROEDER,LUKE",1
01:38,"GOOD FT by MOORE,CHEZ",28,,38 (+10),,Centre 28-38 (-10),,"GOOD FT by MOORE,CHEZ",1
01:38,"GOOD FT by MOORE,CHEZ",29,,38 (+9),,Centre 29-38 (-9),,"GOOD FT by MOORE,CHEZ",1
01:18,,29,,41 (+12),"GOOD 3PTR by NAPIER,COLBY",Transy 29-41 (-12),,"GOOD 3PTR by NAPIER,COLBY",1
--,,,,,"ASSIST  by MADSON,ALEX",,,"ASSIST  by MADSON,ALEX",1
00:56,"TURNOVER  by MOORE,CHEZ",,,,,,,"TURNOVER  by MOORE,CHEZ",1
00:56,"SUB OUT by COLEMAN,HUNTER",,,,,,,"SUB OUT by COLEMAN,HUNTER",1
00:56,"SUB OUT by RING,NOAH",,,,,,,"SUB OUT by RING,NOAH",1
00:56,"SUB IN by TAYLOR,MARSHALL",,,,,,,"SUB IN by TAYLOR,MARSHALL",1
00:56,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",1
00:48,,29,,44 (+15),"GOOD 3PTR by SMITH,SIMON",Transy 29-44 (-15),,"GOOD 3PTR by SMITH,SIMON",1
--,,,,,"ASSIST  by MADSON,ALEX",,,"ASSIST  by MADSON,ALEX",1
00:32,,,,,"FOUL  by NAPIER,COLBY",,,"FOUL  by NAPIER,COLBY",1
00:32,"MISS FT by MARKHAM,DRU",,,,,,,"MISS FT by MARKHAM,DRU",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
00:32,"SUB OUT by STINNETT,CADE",,,,,,,"SUB OUT by STINNETT,CADE",1
00:32,"SUB IN by RING,NOAH",,,,,,,"SUB IN by RING,NOAH",1
00:32,"GOOD FT by MARKHAM,DRU",30,,44 (+14),,Centre 30-44 (-14),,"GOOD FT by MARKHAM,DRU",1
00:24,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:24,,,,,"SUB OUT by TEAGUE,MATTHEW",,,"SUB OUT by TEAGUE,MATTHEW",1
00:24,,,,,"SUB OUT by SCHROEDER,LUKE",,,"SUB OUT by SCHROEDER,LUKE",1
00:24,,,,,"SUB IN by GREEN,JAYLAN",,,"SUB IN by GREEN,JAYLAN",1
00:24,,,,,"SUB IN by PENN,HUNTER",,,"SUB IN by PENN,HUNTER",1
00:05,,,,,"MISS JUMPER by MADSON,ALEX",,,"MISS JUMPER by MADSON,ALEX",1
--,"REBOUND DEF by MOORE,CHEZ",,,,,,,"REBOUND DEF by MOORE,CHEZ",1
20:00,,,,,"SUB OUT by MADSON,ALEX",,,"SUB OUT by MADSON,ALEX",2
20:00,,,,,"SUB OUT by SMITH,SIMON",,,"SUB OUT by SMITH,SIMON",2
20:00,,,,,"SUB IN by TEAGUE,MATTHEW",,,"SUB IN by TEAGUE,MATTHEW",2
20:00,,,,,"SUB IN by CAPPS,DAKOTA",,,"SUB IN by CAPPS,DAKOTA",2
20:00,"SUB OUT by TAYLOR,MARSHALL",,,,,,,"SUB OUT by TAYLOR,MARSHALL",2
20:00,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",2
20:00,"SUB OUT by MARKHAM,DRU",,,,,,,"SUB OUT by MARKHAM,DRU",2
