Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,THEWMBB,Game Score,Team Indicator,Play,Period
16:42,,,,,"MISS LAYUP by WILKERSON,CARLOS",,,"MISS LAYUP by WILKERSON,CARLOS",1
--,"REBOUND DEF by WILEY,KOKI",,,,,,,"REBOUND DEF by WILEY,KOKI",1
16:37,"GOOD LAYUP by WEATHERFORD,MITCH(in the paint)",6 (+3),,3,,RHODES 6-3 (+3),,"GOOD LAYUP by WEATHERFORD,MITCH(in the paint)",1
16:20,,6 (+1),,5,"GOOD JUMPER by HARRIS,KEITH",THEWMBB 6-5 (+1),,"GOOD JUMPER by HARRIS,KEITH",1
16:02,"GOOD JUMPER by WEATHERFORD,MITCH",8 (+3),,5,,RHODES 8-5 (+3),,"GOOD JUMPER by WEATHERFORD,MITCH",1
--,"ASSIST  by FERIA,NICK DE",,,,,,,"ASSIST  by FERIA,NICK DE",1
15:59,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
15:52,,8,,8,"GOOD 3PTR by PINKSTON,TRE",THEWMBB 8-8 (0),,"GOOD 3PTR by PINKSTON,TRE",1
15:32,"MISS LAYUP by GIROUX,PRESTON",,,,,,,"MISS LAYUP by GIROUX,PRESTON",1
15:32,,,,,"BLOCK  by HARRIS,KEITH",,,"BLOCK  by HARRIS,KEITH",1
--,,,,,"REBOUND DEF by HARRIS,KEITH",,,"REBOUND DEF by HARRIS,KEITH",1
15:24,,,,,"MISS LAYUP by WILKERSON,CARLOS",,,"MISS LAYUP by WILKERSON,CARLOS",1
15:24,"BLOCK  by WEATHERFORD,MITCH",,,,,,,"BLOCK  by WEATHERFORD,MITCH",1
--,"REBOUND DEF by WILEY,KOKI",,,,,,,"REBOUND DEF by WILEY,KOKI",1
15:18,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",10 (+2),,8,,RHODES 10-8 (+2),,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",1
14:55,,,,,"MISS 3PTR by JONES,TAVONTA",,,"MISS 3PTR by JONES,TAVONTA",1
--,"REBOUND DEF by GIROUX,PRESTON",,,,,,,"REBOUND DEF by GIROUX,PRESTON",1
14:51,"SUB IN by JAMES,MAC",,,,,,,"SUB IN by JAMES,MAC",1
14:51,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
14:51,,,,,"SUB IN by TAYLOR,AUSTIN",,,"SUB IN by TAYLOR,AUSTIN",1
14:51,,,,,"SUB OUT by WILKERSON,CARLOS",,,"SUB OUT by WILKERSON,CARLOS",1
14:35,"GOOD 3PTR by ESSICK,JALEN",13 (+5),,8,,RHODES 13-8 (+5),,"GOOD 3PTR by ESSICK,JALEN",1
--,"ASSIST  by WILEY,KOKI",,,,,,,"ASSIST  by WILEY,KOKI",1
14:07,"FOUL  by FERIA,NICK DE",,,,,,,"FOUL  by FERIA,NICK DE",1
14:07,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
14:07,"SUB OUT by FERIA,NICK DE",,,,,,,"SUB OUT by FERIA,NICK DE",1
14:07,,,,,"SUB IN by ZERADJANIN,MILOS",,,"SUB IN by ZERADJANIN,MILOS",1
14:07,,,,,"SUB OUT by JONES,TAVONTA",,,"SUB OUT by JONES,TAVONTA",1
13:56,"FOUL  by NESTLEHUTT,JAKE",,,,,,,"FOUL  by NESTLEHUTT,JAKE",1
13:56,,,,,"MISS FT by HARRIS,KEITH",,,"MISS FT by HARRIS,KEITH",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
13:56,,13 (+4),,9,"GOOD FT by HARRIS,KEITH",THEWMBB 13-9 (+4),,"GOOD FT by HARRIS,KEITH",1
13:30,"MISS 3PTR by ESSICK,JALEN",,,,,,,"MISS 3PTR by ESSICK,JALEN",1
--,,,,,"REBOUND DEF by ZERADJANIN,MILOS",,,"REBOUND DEF by ZERADJANIN,MILOS",1
13:23,,,,,"MISS LAYUP by PINKSTON,TRE",,,"MISS LAYUP by PINKSTON,TRE",1
--,"REBOUND DEF by GIROUX,PRESTON",,,,,,,"REBOUND DEF by GIROUX,PRESTON",1
13:05,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",15 (+6),,9,,RHODES 15-9 (+6),,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",1
12:35,,,,,"MISS 3PTR by HARRIS,KEITH",,,"MISS 3PTR by HARRIS,KEITH",1
--,,,,,"REBOUND OFF by HARRIS,KEITH",,,"REBOUND OFF by HARRIS,KEITH",1
12:31,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
12:31,"SUB IN by SHEN,KEVIN",,,,,,,"SUB IN by SHEN,KEVIN",1
12:31,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
12:31,"SUB OUT by ESSICK,JALEN",,,,,,,"SUB OUT by ESSICK,JALEN",1
12:25,,,,,"TURNOVER  by MOULTRIE,JONTE",,,"TURNOVER  by MOULTRIE,JONTE",1
12:24,"STEAL  by JAMES,MAC",,,,,,,"STEAL  by JAMES,MAC",1
12:21,"TURNOVER  by SHEN,KEVIN",,,,,,,"TURNOVER  by SHEN,KEVIN",1
12:20,,,,,"STEAL  by TAYLOR,AUSTIN",,,"STEAL  by TAYLOR,AUSTIN",1
12:05,,,,,"MISS 3PTR by HARRIS,KEITH",,,"MISS 3PTR by HARRIS,KEITH",1
--,"REBOUND DEF by GALVIN,OWEN",,,,,,,"REBOUND DEF by GALVIN,OWEN",1
11:54,"TURNOVER  by JAMES,MAC",,,,,,,"TURNOVER  by JAMES,MAC",1
11:54,,,,,"SUB IN by CLARK,DETAVIOUS",,,"SUB IN by CLARK,DETAVIOUS",1
11:54,,,,,"SUB OUT by HARRIS,KEITH",,,"SUB OUT by HARRIS,KEITH",1
11:45,,15 (+4),,11,"GOOD LAYUP by TAYLOR,AUSTIN(in the paint)",THEWMBB 15-11 (+4),,"GOOD LAYUP by TAYLOR,AUSTIN(in the paint)",1
--,,,,,"ASSIST  by ZERADJANIN,MILOS",,,"ASSIST  by ZERADJANIN,MILOS",1
11:33,"TURNOVER  by NESTLEHUTT,JAKE",,,,,,,"TURNOVER  by NESTLEHUTT,JAKE",1
11:33,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
11:33,"SUB OUT by WILEY,KOKI",,,,,,,"SUB OUT by WILEY,KOKI",1
11:33,,,,,"SUB IN by WILKERSON,CARLOS",,,"SUB IN by WILKERSON,CARLOS",1
11:33,,,,,"SUB OUT by MOULTRIE,JONTE",,,"SUB OUT by MOULTRIE,JONTE",1
11:18,,,,,"MISS 3PTR by PINKSTON,TRE",,,"MISS 3PTR by PINKSTON,TRE",1
--,"REBOUND DEF by SHEN,KEVIN",,,,,,,"REBOUND DEF by SHEN,KEVIN",1
10:56,"MISS 3PTR by JAMES,MAC",,,,,,,"MISS 3PTR by JAMES,MAC",1
--,,,,,"REBOUND DEF by WILKERSON,CARLOS",,,"REBOUND DEF by WILKERSON,CARLOS",1
10:43,,,,,"MISS LAYUP by WILKERSON,CARLOS",,,"MISS LAYUP by WILKERSON,CARLOS",1
10:43,"BLOCK  by NESTLEHUTT,JAKE",,,,,,,"BLOCK  by NESTLEHUTT,JAKE",1
--,"REBOUND DEF by NESTLEHUTT,JAKE",,,,,,,"REBOUND DEF by NESTLEHUTT,JAKE",1
10:37,,,,,"FOUL  by TAYLOR,AUSTIN",,,"FOUL  by TAYLOR,AUSTIN",1
10:37,,,,,"SUB IN by KIMMONS,BRIEN",,,"SUB IN by KIMMONS,BRIEN",1
10:37,,,,,"SUB OUT by PINKSTON,TRE",,,"SUB OUT by PINKSTON,TRE",1
10:35,"MISS LAYUP by GALVIN,OWEN",,,,,,,"MISS LAYUP by GALVIN,OWEN",1
10:35,,,,,"BLOCK  by CLARK,DETAVIOUS",,,"BLOCK  by CLARK,DETAVIOUS",1
--,,,,,"REBOUND DEF by TAYLOR,AUSTIN",,,"REBOUND DEF by TAYLOR,AUSTIN",1
10:13,,,,,"FOUL  by KIMMONS,BRIEN",,,"FOUL  by KIMMONS,BRIEN",1
09:49,"MISS 3PTR by JAMES,MAC",,,,,,,"MISS 3PTR by JAMES,MAC",1
--,,,,,"REBOUND DEF by TAYLOR,AUSTIN",,,"REBOUND DEF by TAYLOR,AUSTIN",1
09:40,,,,,"MISS 3PTR by WILKERSON,CARLOS",,,"MISS 3PTR by WILKERSON,CARLOS",1
--,"REBOUND DEF by GALVIN,OWEN",,,,,,,"REBOUND DEF by GALVIN,OWEN",1
09:33,"MISS LAYUP by SHEN,KEVIN",,,,,,,"MISS LAYUP by SHEN,KEVIN",1
--,,,,,"REBOUND DEF by TAYLOR,AUSTIN",,,"REBOUND DEF by TAYLOR,AUSTIN",1
09:11,,,,,"FOUL  by ZERADJANIN,MILOS",,,"FOUL  by ZERADJANIN,MILOS",1
09:11,,,,,"TURNOVER  by ZERADJANIN,MILOS",,,"TURNOVER  by ZERADJANIN,MILOS",1
09:11,"SUB IN by ESSICK,JALEN",,,,,,,"SUB IN by ESSICK,JALEN",1
09:11,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
09:11,,,,,"SUB IN by JONES,TAVONTA",,,"SUB IN by JONES,TAVONTA",1
09:11,,,,,"SUB IN by HARRIS,KEITH",,,"SUB IN by HARRIS,KEITH",1
09:11,,,,,"SUB OUT by TAYLOR,AUSTIN",,,"SUB OUT by TAYLOR,AUSTIN",1
09:11,,,,,"SUB OUT by ZERADJANIN,MILOS",,,"SUB OUT by ZERADJANIN,MILOS",1
08:57,"TURNOVER  by GIROUX,PRESTON",,,,,,,"TURNOVER  by GIROUX,PRESTON",1
08:56,,,,,"STEAL  by HARRIS,KEITH",,,"STEAL  by HARRIS,KEITH",1
08:55,,,,,"TURNOVER  by HARRIS,KEITH",,,"TURNOVER  by HARRIS,KEITH",1
08:54,"STEAL  by WEATHERFORD,MITCH",,,,,,,"STEAL  by WEATHERFORD,MITCH",1
08:52,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",17 (+6),,11,,RHODES 17-11 (+6),,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",1
--,"ASSIST  by WEATHERFORD,MITCH",,,,,,,"ASSIST  by WEATHERFORD,MITCH",1
08:27,,,,,"MISS LAYUP by KIMMONS,BRIEN",,,"MISS LAYUP by KIMMONS,BRIEN",1
08:27,"BLOCK  by GIROUX,PRESTON",,,,,,,"BLOCK  by GIROUX,PRESTON",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
08:19,"MISS 3PTR by SHEN,KEVIN",,,,,,,"MISS 3PTR by SHEN,KEVIN",1
--,,,,,"REBOUND DEF by CLARK,DETAVIOUS",,,"REBOUND DEF by CLARK,DETAVIOUS",1
07:58,,,,,"TURNOVER  by JONES,TAVONTA",,,"TURNOVER  by JONES,TAVONTA",1
07:57,"STEAL  by WEATHERFORD,MITCH",,,,,,,"STEAL  by WEATHERFORD,MITCH",1
07:52,"MISS 3PTR by NESTLEHUTT,JAKE",,,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",1
--,"REBOUND OFF by SHEN,KEVIN",,,,,,,"REBOUND OFF by SHEN,KEVIN",1
07:48,"GOOD TIPIN by SHEN,KEVIN(in the paint)",19 (+8),,11,,RHODES 19-11 (+8),,"GOOD TIPIN by SHEN,KEVIN(in the paint)",1
07:21,,,,,"MISS 3PTR by CLARK,DETAVIOUS",,,"MISS 3PTR by CLARK,DETAVIOUS",1
--,,,,,"REBOUND OFF by HARRIS,KEITH",,,"REBOUND OFF by HARRIS,KEITH",1
07:17,,19 (+6),,13,"GOOD TIPIN by HARRIS,KEITH(in the paint)",THEWMBB 19-13 (+6),,"GOOD TIPIN by HARRIS,KEITH(in the paint)",1
07:08,,,,,"SUB IN by PINKSTON,TRE",,,"SUB IN by PINKSTON,TRE",1
07:08,,,,,"SUB OUT by CLARK,DETAVIOUS",,,"SUB OUT by CLARK,DETAVIOUS",1
07:02,"GOOD JUMPER by WEATHERFORD,MITCH",21 (+8),,13,,RHODES 21-13 (+8),,"GOOD JUMPER by WEATHERFORD,MITCH",1
06:31,,,,,"TURNOVER  by JONES,TAVONTA",,,"TURNOVER  by JONES,TAVONTA",1
06:31,"STEAL  by GIROUX,PRESTON",,,,,,,"STEAL  by GIROUX,PRESTON",1
06:15,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",23 (+10),,13,,RHODES 23-13 (+10),,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",1
--,"ASSIST  by NESTLEHUTT,JAKE",,,,,,,"ASSIST  by NESTLEHUTT,JAKE",1
05:46,,,,,"MISS 3PTR by JONES,TAVONTA",,,"MISS 3PTR by JONES,TAVONTA",1
--,"REBOUND DEF by WILEY,KOKI",,,,,,,"REBOUND DEF by WILEY,KOKI",1
05:35,"MISS 3PTR by WILEY,KOKI",,,,,,,"MISS 3PTR by WILEY,KOKI",1
--,,,,,"REBOUND DEF by JONES,TAVONTA",,,"REBOUND DEF by JONES,TAVONTA",1
05:28,,,,,"MISS 3PTR by HARRIS,KEITH",,,"MISS 3PTR by HARRIS,KEITH",1
--,"REBOUND DEF by WILEY,KOKI",,,,,,,"REBOUND DEF by WILEY,KOKI",1
05:09,"MISS JUMPER by ESSICK,JALEN",,,,,,,"MISS JUMPER by ESSICK,JALEN",1
--,,,,,"REBOUND DEF by HARRIS,KEITH",,,"REBOUND DEF by HARRIS,KEITH",1
04:54,,,,,"MISS 3PTR by PINKSTON,TRE",,,"MISS 3PTR by PINKSTON,TRE",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
04:51,,,,,"FOUL  by HARRIS,KEITH",,,"FOUL  by HARRIS,KEITH",1
04:51,,,,,"SUB IN by MOULTRIE,JONTE",,,"SUB IN by MOULTRIE,JONTE",1
04:51,,,,,"SUB OUT by JONES,TAVONTA",,,"SUB OUT by JONES,TAVONTA",1
04:41,"MISS 3PTR by WEATHERFORD,MITCH",,,,,,,"MISS 3PTR by WEATHERFORD,MITCH",1
--,,,,,"REBOUND DEF by MOULTRIE,JONTE",,,"REBOUND DEF by MOULTRIE,JONTE",1
04:33,,23 (+8),,15,"GOOD LAYUP by MOULTRIE,JONTE(in the paint)",THEWMBB 23-15 (+8),,"GOOD LAYUP by MOULTRIE,JONTE(in the paint)",1
--,,,,,"ASSIST  by PINKSTON,TRE",,,"ASSIST  by PINKSTON,TRE",1
04:24,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
04:24,"SUB IN by DIXON,TADDEUS",,,,,,,"SUB IN by DIXON,TADDEUS",1
04:24,"SUB IN by TEAL,AARON",,,,,,,"SUB IN by TEAL,AARON",1
04:24,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
04:24,"SUB IN by GRUBBS,COBY",,,,,,,"SUB IN by GRUBBS,COBY",1
04:24,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
04:24,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
04:24,"SUB OUT by JAMES,MAC",,,,,,,"SUB OUT by JAMES,MAC",1
04:24,"SUB OUT by SHEN,KEVIN",,,,,,,"SUB OUT by SHEN,KEVIN",1
04:07,"MISS 3PTR by FERIA,NICK DE",,,,,,,"MISS 3PTR by FERIA,NICK DE",1
--,,,,,"REBOUND DEF by HARRIS,KEITH",,,"REBOUND DEF by HARRIS,KEITH",1
03:45,,,,,"MISS LAYUP by TAYLOR,AUSTIN",,,"MISS LAYUP by TAYLOR,AUSTIN",1
--,"REBOUND DEF by ESSICK,JALEN",,,,,,,"REBOUND DEF by ESSICK,JALEN",1
03:32,"MISS LAYUP by GIROUX,PRESTON",,,,,,,"MISS LAYUP by GIROUX,PRESTON",1
--,,,,,"REBOUND DEF by MOULTRIE,JONTE",,,"REBOUND DEF by MOULTRIE,JONTE",1
03:24,,23 (+6),,17,"GOOD LAYUP by MOULTRIE,JONTE(in the paint)",THEWMBB 23-17 (+6),,"GOOD LAYUP by MOULTRIE,JONTE(in the paint)",1
--,,,,,"ASSIST  by PINKSTON,TRE",,,"ASSIST  by PINKSTON,TRE",1
03:23,"FOUL  by WEATHERFORD,MITCH",,,,,,,"FOUL  by WEATHERFORD,MITCH",1
03:23,,23 (+5),,18,"GOOD FT by MOULTRIE,JONTE",THEWMBB 23-18 (+5),,"GOOD FT by MOULTRIE,JONTE",1
03:23,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
03:23,"SUB OUT by ESSICK,JALEN",,,,,,,"SUB OUT by ESSICK,JALEN",1
03:12,"GOOD 3PTR by FERIA,NICK DE",26 (+8),,18,,RHODES 26-18 (+8),,"GOOD 3PTR by FERIA,NICK DE",1
--,"ASSIST  by WILEY,KOKI",,,,,,,"ASSIST  by WILEY,KOKI",1
02:41,,26 (+5),,21,"GOOD 3PTR by HARRIS,KEITH",THEWMBB 26-21 (+5),,"GOOD 3PTR by HARRIS,KEITH",1
--,,,,,"ASSIST  by PINKSTON,TRE",,,"ASSIST  by PINKSTON,TRE",1
02:21,"MISS 3PTR by NESTLEHUTT,JAKE",,,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",1
--,,,,,"REBOUND DEF by KIMMONS,BRIEN",,,"REBOUND DEF by KIMMONS,BRIEN",1
02:09,,26 (+2),,24,"GOOD 3PTR by MOULTRIE,JONTE",THEWMBB 26-24 (+2),,"GOOD 3PTR by MOULTRIE,JONTE",1
--,,,,,"ASSIST  by KIMMONS,BRIEN",,,"ASSIST  by KIMMONS,BRIEN",1
01:51,,,,,"FOUL  by TAYLOR,AUSTIN",,,"FOUL  by TAYLOR,AUSTIN",1
01:51,"MISS FT by GIROUX,PRESTON",,,,,,,"MISS FT by GIROUX,PRESTON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
01:51,"GOOD FT by GIROUX,PRESTON",27 (+3),,24,,RHODES 27-24 (+3),,"GOOD FT by GIROUX,PRESTON",1
01:51,,,,,"SUB IN by TAYLOR,AUSTIN",,,"SUB IN by TAYLOR,AUSTIN",1
01:51,,,,,"SUB OUT by WILKERSON,CARLOS",,,"SUB OUT by WILKERSON,CARLOS",1
01:41,,27,,27,"GOOD 3PTR by HARRIS,KEITH",THEWMBB 27-27 (0),,"GOOD 3PTR by HARRIS,KEITH",1
--,,,,,"ASSIST  by PINKSTON,TRE",,,"ASSIST  by PINKSTON,TRE",1
01:22,"MISS JUMPER by WILEY,KOKI",,,,,,,"MISS JUMPER by WILEY,KOKI",1
--,,,,,"REBOUND DEF by WILKERSON,CARLOS",,,"REBOUND DEF by WILKERSON,CARLOS",1
01:13,"FOUL  by FERIA,NICK DE",,,,,,,"FOUL  by FERIA,NICK DE",1
01:13,,27,,28 (+1),"GOOD FT by PINKSTON,TRE",THEWMBB 27-28 (-1),,"GOOD FT by PINKSTON,TRE",1
01:13,,,,,"MISS FT by PINKSTON,TRE",,,"MISS FT by PINKSTON,TRE",1
--,"REBOUND DEF by WEATHERFORD,MITCH",,,,,,,"REBOUND DEF by WEATHERFORD,MITCH",1
01:07,,,,,"SUB IN by WILKERSON,CARLOS",,,"SUB IN by WILKERSON,CARLOS",1
01:07,,,,,"SUB OUT by TAYLOR,AUSTIN",,,"SUB OUT by TAYLOR,AUSTIN",1
01:05,"MISS 3PTR by NESTLEHUTT,JAKE",,,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
00:42,,,,,"TURNOVER  by PINKSTON,TRE",,,"TURNOVER  by PINKSTON,TRE",1
00:32,"MISS JUMPER by WILEY,KOKI",,,,,,,"MISS JUMPER by WILEY,KOKI",1
--,"REBOUND OFF by GIROUX,PRESTON",,,,,,,"REBOUND OFF by GIROUX,PRESTON",1
00:28,"MISS LAYUP by GIROUX,PRESTON",,,,,,,"MISS LAYUP by GIROUX,PRESTON",1
00:28,,,,,"BLOCK  by MOULTRIE,JONTE",,,"BLOCK  by MOULTRIE,JONTE",1
--,,,,,"REBOUND DEF by WILKERSON,CARLOS",,,"REBOUND DEF by WILKERSON,CARLOS",1
00:04,"FOUL  by FERIA,NICK DE",,,,,,,"FOUL  by FERIA,NICK DE",1
00:04,"SUB IN by ESSICK,JALEN",,,,,,,"SUB IN by ESSICK,JALEN",1
00:04,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
00:04,"SUB IN by WILEY,KOKI",,,,,,,"SUB IN by WILEY,KOKI",1
00:04,"SUB IN by FERIA,NICK DE",,,,,,,"SUB IN by FERIA,NICK DE",1
00:04,"SUB IN by JAMES,MAC",,,,,,,"SUB IN by JAMES,MAC",1
00:04,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
00:04,"SUB OUT by DIXON,TADDEUS",,,,,,,"SUB OUT by DIXON,TADDEUS",1
00:04,"SUB OUT by TEAL,AARON",,,,,,,"SUB OUT by TEAL,AARON",1
00:04,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
00:04,"SUB OUT by GRUBBS,COBY",,,,,,,"SUB OUT by GRUBBS,COBY",1
00:02,,,,,"MISS JUMPER by WILKERSON,CARLOS",,,"MISS JUMPER by WILKERSON,CARLOS",1
--,"REBOUND DEF by GIROUX,PRESTON",,,,,,,"REBOUND DEF by GIROUX,PRESTON",1
19:46,"FOUL  by FERIA,NICK DE",,,,,,,"FOUL  by FERIA,NICK DE",2
19:46,,27,,29 (+2),"GOOD FT by HARRIS,KEITH",THEWMBB 27-29 (-2),,"GOOD FT by HARRIS,KEITH",2
19:46,,27,,30 (+3),"GOOD FT by HARRIS,KEITH",THEWMBB 27-30 (-3),,"GOOD FT by HARRIS,KEITH",2
19:46,"SUB IN by JAMES,MAC",,,,,,,"SUB IN by JAMES,MAC",2
19:46,"SUB OUT by FERIA,NICK DE",,,,,,,"SUB OUT by FERIA,NICK DE",2
19:20,"GOOD 3PTR by WILEY,KOKI",30,,30,,RHODES 30-30 (0),,"GOOD 3PTR by WILEY,KOKI",2
--,"ASSIST  by WEATHERFORD,MITCH",,,,,,,"ASSIST  by WEATHERFORD,MITCH",2
19:02,,30,,32 (+2),"GOOD LAYUP by HARRIS,KEITH(in the paint)",THEWMBB 30-32 (-2),,"GOOD LAYUP by HARRIS,KEITH(in the paint)",2
18:42,"MISS 3PTR by WILEY,KOKI",,,,,,,"MISS 3PTR by WILEY,KOKI",2
--,,,,,"REBOUND DEF by WILKERSON,CARLOS",,,"REBOUND DEF by WILKERSON,CARLOS",2
18:25,,,,,"TURNOVER  by JONES,TAVONTA",,,"TURNOVER  by JONES,TAVONTA",2
18:15,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",2
18:15,"SUB OUT by ESSICK,JALEN",,,,,,,"SUB OUT by ESSICK,JALEN",2
18:07,"MISS LAYUP by GIROUX,PRESTON",,,,,,,"MISS LAYUP by GIROUX,PRESTON",2
--,"REBOUND OFF by GIROUX,PRESTON",,,,,,,"REBOUND OFF by GIROUX,PRESTON",2
18:05,"GOOD TIPIN by GIROUX,PRESTON(in the paint)",32,,32,,RHODES 32-32 (0),,"GOOD TIPIN by GIROUX,PRESTON(in the paint)",2
17:42,"FOUL  by WILEY,KOKI",,,,,,,"FOUL  by WILEY,KOKI",2
17:42,,,,,"MISS FT by WILKERSON,CARLOS",,,"MISS FT by WILKERSON,CARLOS",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
17:42,,32,,33 (+1),"GOOD FT by WILKERSON,CARLOS",THEWMBB 32-33 (-1),,"GOOD FT by WILKERSON,CARLOS",2
17:25,,,,,"FOUL  by PINKSTON,TRE",,,"FOUL  by PINKSTON,TRE",2
17:25,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
17:05,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
16:39,,,,,"MISS 3PTR by HARRIS,KEITH",,,"MISS 3PTR by HARRIS,KEITH",2
--,"REBOUND DEF by GIROUX,PRESTON",,,,,,,"REBOUND DEF by GIROUX,PRESTON",2
16:21,"MISS 3PTR by NESTLEHUTT,JAKE",,,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",2
--,,,,,"REBOUND DEF by HARRIS,KEITH",,,"REBOUND DEF by HARRIS,KEITH",2
16:13,,,,,"TURNOVER  by HARRIS,KEITH",,,"TURNOVER  by HARRIS,KEITH",2
16:12,"STEAL  by GIROUX,PRESTON",,,,,,,"STEAL  by GIROUX,PRESTON",2
16:05,,,,,"FOUL  by WILKERSON,CARLOS",,,"FOUL  by WILKERSON,CARLOS",2
16:05,"GOOD FT by NESTLEHUTT,JAKE",33,,33,,RHODES 33-33 (0),,"GOOD FT by NESTLEHUTT,JAKE",2
16:05,"GOOD FT by NESTLEHUTT,JAKE",34 (+1),,33,,RHODES 34-33 (+1),,"GOOD FT by NESTLEHUTT,JAKE",2
