Time Remaining,Hend,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
13:38,"GOOD FT by STANLEY,SETH",18 (+4),,14,,Hend 18-14 (-4),,"GOOD FT by STANLEY,SETH",1
13:19,,18 (+1),,17,"GOOD 3PTR by DE FERIA,NICK",Rhodes 18-17 (-1),,"GOOD 3PTR by DE FERIA,NICK",1
--,,,,,"ASSIST  by PIPPENGER,WILEY",,,"ASSIST  by PIPPENGER,WILEY",1
12:51,"MISS JUMPER by COMAN,SEAN(in the paint)",,,,,,,"MISS JUMPER by COMAN,SEAN(in the paint)",1
--,,,,,"REBOUND DEF by PIPPENGER,WILEY",,,"REBOUND DEF by PIPPENGER,WILEY",1
12:43,,18,,19 (+1),"GOOD LAYUP by WILEY,KOKI(fastbreak)(in the paint)",Rhodes 18-19 (+1),,"GOOD LAYUP by WILEY,KOKI(fastbreak)(in the paint)",1
12:43,"FOUL  by STANLEY,SETH",,,,,,,"FOUL  by STANLEY,SETH",1
12:43,"SUB OUT by CARTWRIGHT,BROOKS",,,,,,,"SUB OUT by CARTWRIGHT,BROOKS",1
12:43,"SUB IN by PHILLIP,ADAM",,,,,,,"SUB IN by PHILLIP,ADAM",1
12:43,,18,,20 (+2),"GOOD FT by WILEY,KOKI(fastbreak)",Rhodes 18-20 (+2),,"GOOD FT by WILEY,KOKI(fastbreak)",1
12:32,"MISS JUMPER by PHILLIP,ADAM(in the paint)",,,,,,,"MISS JUMPER by PHILLIP,ADAM(in the paint)",1
--,,,,,"REBOUND DEF by ESSICK,JALEN",,,"REBOUND DEF by ESSICK,JALEN",1
12:05,,,,,"MISS JUMPER by JAMES,MAC(in the paint)",,,"MISS JUMPER by JAMES,MAC(in the paint)",1
--,"REBOUND DEF by JOHNSON,DAMECKO",,,,,,,"REBOUND DEF by JOHNSON,DAMECKO",1
11:50,"GOOD LAYUP by CONRAD,ALEX(in the paint)",20,,20,,Hend 20-20 (0),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
11:50,,,,,"FOUL  by PIPPENGER,WILEY",,,"FOUL  by PIPPENGER,WILEY",1
11:50,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:50,,,,,"SUB OUT by JAMES,MAC",,,"SUB OUT by JAMES,MAC",1
11:50,,,,,"SUB OUT by DE FERIA,NICK",,,"SUB OUT by DE FERIA,NICK",1
11:50,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
11:50,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
11:50,"GOOD FT by CONRAD,ALEX",21 (+1),,20,,Hend 21-20 (-1),,"GOOD FT by CONRAD,ALEX",1
11:34,,,,,"TURNOVER  by WEATHERFORD,MITCH",,,"TURNOVER  by WEATHERFORD,MITCH",1
11:21,"MISS LAYUP by STANLEY,SETH(in the paint)",,,,,,,"MISS LAYUP by STANLEY,SETH(in the paint)",1
--,,,,,"REBOUND DEF by PIPPENGER,WILEY",,,"REBOUND DEF by PIPPENGER,WILEY",1
11:09,,,,,"MISS LAYUP by WEATHERFORD,MITCH(in the paint)",,,"MISS LAYUP by WEATHERFORD,MITCH(in the paint)",1
--,,,,,"REBOUND OFF by ESSICK,JALEN",,,"REBOUND OFF by ESSICK,JALEN",1
11:05,,,,,"TURNOVER  by ESSICK,JALEN",,,"TURNOVER  by ESSICK,JALEN",1
11:05,"STEAL  by CONRAD,ALEX",,,,,,,"STEAL  by CONRAD,ALEX",1
10:51,,,,,"FOUL  by PIPPENGER,WILEY",,,"FOUL  by PIPPENGER,WILEY",1
10:51,"GOOD FT by STANLEY,SETH",22 (+2),,20,,Hend 22-20 (-2),,"GOOD FT by STANLEY,SETH",1
10:51,,,,,"SUB OUT by PIPPENGER,WILEY",,,"SUB OUT by PIPPENGER,WILEY",1
10:51,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
10:51,"SUB OUT by JOHNSON,DAMECKO",,,,,,,"SUB OUT by JOHNSON,DAMECKO",1
10:51,"SUB IN by CARTWRIGHT,BROOKS",,,,,,,"SUB IN by CARTWRIGHT,BROOKS",1
10:51,"GOOD FT by STANLEY,SETH",23 (+3),,20,,Hend 23-20 (-3),,"GOOD FT by STANLEY,SETH",1
10:32,,,,,"MISS JUMPER by WILEY,KOKI",,,"MISS JUMPER by WILEY,KOKI",1
--,"REBOUND DEF by CONRAD,ALEX",,,,,,,"REBOUND DEF by CONRAD,ALEX",1
10:23,"GOOD JUMPER by CARTWRIGHT,BROOKS(in the paint)",25 (+5),,20,,Hend 25-20 (-5),,"GOOD JUMPER by CARTWRIGHT,BROOKS(in the paint)",1
10:08,"FOUL  by CONRAD,ALEX",,,,,,,"FOUL  by CONRAD,ALEX",1
10:08,,25 (+4),,21,"GOOD FT by WEATHERFORD,MITCH",Rhodes 25-21 (-4),,"GOOD FT by WEATHERFORD,MITCH",1
10:08,,,,,"SUB OUT by ESSICK,JALEN",,,"SUB OUT by ESSICK,JALEN",1
10:08,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
10:08,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",1
10:08,"SUB IN by FITCH,CARL",,,,,,,"SUB IN by FITCH,CARL",1
10:08,,25 (+3),,22,"GOOD FT by WEATHERFORD,MITCH",Rhodes 25-22 (-3),,"GOOD FT by WEATHERFORD,MITCH",1
09:42,"GOOD 3PTR by STANLEY,SETH",28 (+6),,22,,Hend 28-22 (-6),,"GOOD 3PTR by STANLEY,SETH",1
--,"ASSIST  by COMAN,SEAN",,,,,,,"ASSIST  by COMAN,SEAN",1
09:28,,28 (+3),,25,"GOOD 3PTR by NESTLEHUTT,JAKE",Rhodes 28-25 (-3),,"GOOD 3PTR by NESTLEHUTT,JAKE",1
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",1
09:05,"GOOD JUMPER by STANLEY,SETH(in the paint)",30 (+5),,25,,Hend 30-25 (-5),,"GOOD JUMPER by STANLEY,SETH(in the paint)",1
08:50,,,,,"MISS 3PTR by WEATHERFORD,MITCH",,,"MISS 3PTR by WEATHERFORD,MITCH",1
--,"REBOUND DEF by PHILLIP,ADAM",,,,,,,"REBOUND DEF by PHILLIP,ADAM",1
08:38,"GOOD 3PTR by CARTWRIGHT,BROOKS",33 (+8),,25,,Hend 33-25 (-8),,"GOOD 3PTR by CARTWRIGHT,BROOKS",1
--,"ASSIST  by STANLEY,SETH",,,,,,,"ASSIST  by STANLEY,SETH",1
08:19,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",,,"MISS 3PTR by NESTLEHUTT,JAKE",1
--,,,,,"REBOUND OFF by GIROUX,PRESTON",,,"REBOUND OFF by GIROUX,PRESTON",1
08:11,,,,,"MISS JUMPER by WEATHERFORD,MITCH",,,"MISS JUMPER by WEATHERFORD,MITCH",1
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",1
08:01,"GOOD 3PTR by STANLEY,SETH",36 (+11),,25,,Hend 36-25 (-11),,"GOOD 3PTR by STANLEY,SETH",1
07:45,,,,,"MISS LAYUP by GALVIN,OWEN(in the paint)",,,"MISS LAYUP by GALVIN,OWEN(in the paint)",1
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",1
07:25,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
07:18,,36 (+9),,27,"GOOD LAYUP by WEATHERFORD,MITCH(fastbreak)(in the paint)",Rhodes 36-27 (-9),,"GOOD LAYUP by WEATHERFORD,MITCH(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",1
06:57,"GOOD JUMPER by STANLEY,SETH",38 (+11),,27,,Hend 38-27 (-11),,"GOOD JUMPER by STANLEY,SETH",1
06:41,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
06:41,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
06:41,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
06:41,,,,,"SUB IN by SHEN,KEVIN",,,"SUB IN by SHEN,KEVIN",1
06:41,,,,,"SUB IN by DE FERIA,NICK",,,"SUB IN by DE FERIA,NICK",1
06:41,"SUB OUT by PHILLIP,ADAM",,,,,,,"SUB OUT by PHILLIP,ADAM",1
06:41,"SUB IN by EATON,JACK",,,,,,,"SUB IN by EATON,JACK",1
06:33,,38 (+9),,29,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",Rhodes 38-29 (-9),,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",1
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",1
06:11,"GOOD LAYUP by FITCH,CARL(in the paint)",40 (+11),,29,,Hend 40-29 (-11),,"GOOD LAYUP by FITCH,CARL(in the paint)",1
--,"ASSIST  by STANLEY,SETH",,,,,,,"ASSIST  by STANLEY,SETH",1
05:45,,40 (+9),,31,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",Rhodes 40-31 (-9),,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",1
05:30,"MISS LAYUP by FITCH,CARL(in the paint)",,,,,,,"MISS LAYUP by FITCH,CARL(in the paint)",1
--,,,,,"REBOUND DEF by GIROUX,PRESTON",,,"REBOUND DEF by GIROUX,PRESTON",1
05:17,,,,,"MISS 3PTR by DE FERIA,NICK",,,"MISS 3PTR by DE FERIA,NICK",1
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",1
04:59,,,,,"FOUL  by SHEN,KEVIN",,,"FOUL  by SHEN,KEVIN",1
04:39,,,,,"FOUL  by WILEY,KOKI",,,"FOUL  by WILEY,KOKI",1
04:39,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
04:39,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
04:39,"GOOD FT by EATON,JACK",41 (+10),,31,,Hend 41-31 (-10),,"GOOD FT by EATON,JACK",1
04:39,"GOOD FT by EATON,JACK",42 (+11),,31,,Hend 42-31 (-11),,"GOOD FT by EATON,JACK",1
04:39,"SUB OUT by EATON,JACK",,,,,,,"SUB OUT by EATON,JACK",1
04:39,"SUB IN by CONRAD,ALEX",,,,,,,"SUB IN by CONRAD,ALEX",1
04:27,,,,,"MISS 3PTR by WILEY,KOKI",,,"MISS 3PTR by WILEY,KOKI",1
--,"REBOUND DEF by CARTWRIGHT,BROOKS",,,,,,,"REBOUND DEF by CARTWRIGHT,BROOKS",1
04:17,"GOOD JUMPER by FITCH,CARL(in the paint)",44 (+13),,31,,Hend 44-31 (-13),,"GOOD JUMPER by FITCH,CARL(in the paint)",1
03:47,,,,,"MISS 3PTR by WILEY,KOKI",,,"MISS 3PTR by WILEY,KOKI",1
--,,,,,"REBOUND OFF by SHEN,KEVIN",,,"REBOUND OFF by SHEN,KEVIN",1
03:34,,,,,"MISS 3PTR by DE FERIA,NICK",,,"MISS 3PTR by DE FERIA,NICK",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
03:31,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:31,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
03:31,,,,,"SUB OUT by DE FERIA,NICK",,,"SUB OUT by DE FERIA,NICK",1
03:31,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
03:31,,,,,"SUB IN by PIPPENGER,WILEY",,,"SUB IN by PIPPENGER,WILEY",1
03:18,"MISS JUMPER by STANLEY,SETH",,,,,,,"MISS JUMPER by STANLEY,SETH",1
--,,,,,"REBOUND DEF by PIPPENGER,WILEY",,,"REBOUND DEF by PIPPENGER,WILEY",1
02:50,,,,,"MISS 3PTR by SHEN,KEVIN",,,"MISS 3PTR by SHEN,KEVIN",1
--,"REBOUND DEF by COMAN,SEAN",,,,,,,"REBOUND DEF by COMAN,SEAN",1
02:38,"GOOD LAYUP by CONRAD,ALEX(in the paint)",46 (+15),,31,,Hend 46-31 (-15),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
02:12,,,,,"FOUL  by WEATHERFORD,MITCH",,,"FOUL  by WEATHERFORD,MITCH",1
02:12,,,,,"TURNOVER  by WEATHERFORD,MITCH",,,"TURNOVER  by WEATHERFORD,MITCH",1
02:08,"SUB OUT by FITCH,CARL",,,,,,,"SUB OUT by FITCH,CARL",1
02:08,"SUB IN by PHILLIP,ADAM",,,,,,,"SUB IN by PHILLIP,ADAM",1
01:46,"MISS 3PTR by CARTWRIGHT,BROOKS",,,,,,,"MISS 3PTR by CARTWRIGHT,BROOKS",1
--,,,,,"REBOUND DEF by SHEN,KEVIN",,,"REBOUND DEF by SHEN,KEVIN",1
01:39,,,,,"MISS LAYUP by SHEN,KEVIN(in the paint)",,,"MISS LAYUP by SHEN,KEVIN(in the paint)",1
--,"REBOUND DEF by PHILLIP,ADAM",,,,,,,"REBOUND DEF by PHILLIP,ADAM",1
01:28,"MISS JUMPER by COMAN,SEAN(in the paint)",,,,,,,"MISS JUMPER by COMAN,SEAN(in the paint)",1
--,,,,,"REBOUND DEF by GALVIN,OWEN",,,"REBOUND DEF by GALVIN,OWEN",1
01:23,,,,,"MISS LAYUP by WEATHERFORD,MITCH(in the paint)",,,"MISS LAYUP by WEATHERFORD,MITCH(in the paint)",1
--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",1
01:13,"TURNOVER  by CARTWRIGHT,BROOKS",,,,,,,"TURNOVER  by CARTWRIGHT,BROOKS",1
01:13,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
01:13,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
00:59,,46 (+13),,33,"GOOD LAYUP by WILEY,KOKI(in the paint)",Rhodes 46-33 (-13),,"GOOD LAYUP by WILEY,KOKI(in the paint)",1
00:51,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:36,,,,,"SUB OUT by WILEY,KOKI",,,"SUB OUT by WILEY,KOKI",1
00:36,,,,,"SUB IN by JAMES,MAC",,,"SUB IN by JAMES,MAC",1
00:34,"GOOD 3PTR by STANLEY,SETH",49 (+16),,33,,Hend 49-33 (-16),,"GOOD 3PTR by STANLEY,SETH",1
00:03,,,,,"TURNOVER  by WEATHERFORD,MITCH",,,"TURNOVER  by WEATHERFORD,MITCH",1
00:03,"STEAL  by COMAN,SEAN",,,,,,,"STEAL  by COMAN,SEAN",1
00:00,"GOOD 3PTR by STANLEY,SETH(fastbreak)",52 (+19),,33,,Hend 52-33 (-19),,"GOOD 3PTR by STANLEY,SETH(fastbreak)",1
20:00,,,,,"SUB OUT by SHEN,KEVIN",,,"SUB OUT by SHEN,KEVIN",2
20:00,,,,,"SUB OUT by JAMES,MAC",,,"SUB OUT by JAMES,MAC",2
20:00,,,,,"SUB OUT by PIPPENGER,WILEY",,,"SUB OUT by PIPPENGER,WILEY",2
20:00,,,,,"SUB IN by DE FERIA,NICK",,,"SUB IN by DE FERIA,NICK",2
20:00,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",2
20:00,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",2
20:00,"SUB OUT by PHILLIP,ADAM",,,,,,,"SUB OUT by PHILLIP,ADAM",2
20:00,"SUB OUT by CONRAD,ALEX",,,,,,,"SUB OUT by CONRAD,ALEX",2
20:00,"SUB IN by EATON,JACK",,,,,,,"SUB IN by EATON,JACK",2
20:00,"SUB IN by FITCH,CARL",,,,,,,"SUB IN by FITCH,CARL",2
19:47,,,,,"TURNOVER  by NESTLEHUTT,JAKE",,,"TURNOVER  by NESTLEHUTT,JAKE",2
19:47,"STEAL  by COMAN,SEAN",,,,,,,"STEAL  by COMAN,SEAN",2
19:42,"TURNOVER  by STANLEY,SETH",,,,,,,"TURNOVER  by STANLEY,SETH",2
19:42,,,,,"STEAL  by NESTLEHUTT,JAKE",,,"STEAL  by NESTLEHUTT,JAKE",2
19:34,,52 (+17),,35,"GOOD LAYUP by GALVIN,OWEN(fastbreak)(in the paint)",Rhodes 52-35 (-17),,"GOOD LAYUP by GALVIN,OWEN(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by WEATHERFORD,MITCH",,,"ASSIST  by WEATHERFORD,MITCH",2
19:20,"GOOD LAYUP by FITCH,CARL(in the paint)",54 (+19),,35,,Hend 54-35 (-19),,"GOOD LAYUP by FITCH,CARL(in the paint)",2
--,"ASSIST  by CARTWRIGHT,BROOKS",,,,,,,"ASSIST  by CARTWRIGHT,BROOKS",2
18:54,,,,,"MISS 3PTR by WEATHERFORD,MITCH",,,"MISS 3PTR by WEATHERFORD,MITCH",2
--,"REBOUND DEF by CARTWRIGHT,BROOKS",,,,,,,"REBOUND DEF by CARTWRIGHT,BROOKS",2
18:45,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",2
--,,,,,"REBOUND DEF by GIROUX,PRESTON",,,"REBOUND DEF by GIROUX,PRESTON",2
18:35,,54 (+17),,37,"GOOD JUMPER by NESTLEHUTT,JAKE(in the paint)",Rhodes 54-37 (-17),,"GOOD JUMPER by NESTLEHUTT,JAKE(in the paint)",2
18:20,"MISS 3PTR by CARTWRIGHT,BROOKS",,,,,,,"MISS 3PTR by CARTWRIGHT,BROOKS",2
--,,,,,"REBOUND DEF by WEATHERFORD,MITCH",,,"REBOUND DEF by WEATHERFORD,MITCH",2
17:53,,,,,"MISS JUMPER by WEATHERFORD,MITCH",,,"MISS JUMPER by WEATHERFORD,MITCH",2
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",2
17:46,,,,,"FOUL  by GALVIN,OWEN",,,"FOUL  by GALVIN,OWEN",2
17:46,"GOOD FT by STANLEY,SETH(fastbreak)",55 (+18),,37,,Hend 55-37 (-18),,"GOOD FT by STANLEY,SETH(fastbreak)",2
17:46,"GOOD FT by STANLEY,SETH(fastbreak)",56 (+19),,37,,Hend 56-37 (-19),,"GOOD FT by STANLEY,SETH(fastbreak)",2
17:46,"GOOD FT by STANLEY,SETH(fastbreak)",57 (+20),,37,,Hend 57-37 (-20),,"GOOD FT by STANLEY,SETH(fastbreak)",2
17:33,"FOUL  by COMAN,SEAN",,,,,,,"FOUL  by COMAN,SEAN",2
17:23,,,,,"MISS 3PTR by GALVIN,OWEN",,,"MISS 3PTR by GALVIN,OWEN",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
16:55,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",2
--,,,,,"REBOUND DEF by DE FERIA,NICK",,,"REBOUND DEF by DE FERIA,NICK",2
16:48,,,,,"TURNOVER  by DE FERIA,NICK",,,"TURNOVER  by DE FERIA,NICK",2
16:48,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",2
16:48,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",2
16:48,,,,,"SUB IN by WILEY,KOKI",,,"SUB IN by WILEY,KOKI",2
16:48,,,,,"SUB IN by ESSICK,JALEN",,,"SUB IN by ESSICK,JALEN",2
16:27,"GOOD JUMPER by STANLEY,SETH(in the paint)",59 (+22),,37,,Hend 59-37 (-22),,"GOOD JUMPER by STANLEY,SETH(in the paint)",2
16:14,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",2
16:14,,,,,"MISS FT by GIROUX,PRESTON",,,"MISS FT by GIROUX,PRESTON",2
