Time Remaining,Rhodes,Away Team Score,Play Team Indicator,Home Team Score,LC,Game Score,Team Indicator,Play,Period
16:40,,6 (+2),,4,"GOOD LAYUP by RHONE,JAYLEN(in the paint)",LC 6-4 (+2),,"GOOD LAYUP by RHONE,JAYLEN(in the paint)",1
16:40,,,,,"SUB OUT by WALLACE,K.D.",,,"SUB OUT by WALLACE,K.D.",1
16:40,,,,,"SUB IN by BLAKES,LOUIS",,,"SUB IN by BLAKES,LOUIS",1
16:32,"MISS JUMPER by BERRY,BRYCE(in the paint)",,,,,,,"MISS JUMPER by BERRY,BRYCE(in the paint)",1
16:32,,,,,"BLOCK  by BAKER,KAE'RON",,,"BLOCK  by BAKER,KAE'RON",1
--,,,,,"REBOUND DEF by RHONE,JAYLEN",,,"REBOUND DEF by RHONE,JAYLEN",1
16:15,,6,,6,"GOOD LAYUP by BLAKES,LOUIS(in the paint)",LC 6-6 (0),,"GOOD LAYUP by BLAKES,LOUIS(in the paint)",1
15:53,,,,,"TURNOVER  by BLAKES,LOUIS",,,"TURNOVER  by BLAKES,LOUIS",1
15:53,,,,,"SUB OUT by AUSTIN,DENZEL",,,"SUB OUT by AUSTIN,DENZEL",1
15:53,,,,,"SUB OUT by BAKER,KAE'RON",,,"SUB OUT by BAKER,KAE'RON",1
15:53,,,,,"SUB IN by BROUSSARD,KEANDRE",,,"SUB IN by BROUSSARD,KEANDRE",1
15:53,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
15:53,"SUB OUT by JAMES,MAC",,,,,,,"SUB OUT by JAMES,MAC",1
15:53,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
15:53,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
15:53,"SUB IN by WALKER,JEFFERSON",,,,,,,"SUB IN by WALKER,JEFFERSON",1
15:53,"SUB IN by WILEY,KOKI",,,,,,,"SUB IN by WILEY,KOKI",1
15:53,"SUB IN by ESSICK,JALEN",,,,,,,"SUB IN by ESSICK,JALEN",1
15:53,"SUB IN by PIPPENGER,WILEY",,,,,,,"SUB IN by PIPPENGER,WILEY",1
15:53,,,,,"SUB IN by WALLACE,K.D.",,,"SUB IN by WALLACE,K.D.",1
15:51,"TURNOVER  by ESSICK,JALEN",,,,,,,"TURNOVER  by ESSICK,JALEN",1
15:51,,,,,"SUB OUT by WALLACE,K.D.",,,"SUB OUT by WALLACE,K.D.",1
15:51,,,,,"SUB IN by BAKER,KAE'RON",,,"SUB IN by BAKER,KAE'RON",1
15:31,,,,,"MISS 3PTR by BAKER,KAE'RON",,,"MISS 3PTR by BAKER,KAE'RON",1
--,"REBOUND DEF by WILEY,KOKI",,,,,,,"REBOUND DEF by WILEY,KOKI",1
15:18,"MISS 3PTR by ESSICK,JALEN",,,,,,,"MISS 3PTR by ESSICK,JALEN",1
--,,,,,"REBOUND DEF by RHONE,JAYLEN",,,"REBOUND DEF by RHONE,JAYLEN",1
15:07,,,,,"MISS LAYUP by BROUSSARD,KEANDRE(in the paint)",,,"MISS LAYUP by BROUSSARD,KEANDRE(in the paint)",1
15:07,"BLOCK  by PIPPENGER,WILEY",,,,,,,"BLOCK  by PIPPENGER,WILEY",1
--,"REBOUND DEF by WALKER,JEFFERSON",,,,,,,"REBOUND DEF by WALKER,JEFFERSON",1
14:45,"MISS LAYUP by PIPPENGER,WILEY(in the paint)",,,,,,,"MISS LAYUP by PIPPENGER,WILEY(in the paint)",1
--,,,,,"REBOUND DEF by BAKER,KAE'RON",,,"REBOUND DEF by BAKER,KAE'RON",1
14:25,,6,,9 (+3),"GOOD 3PTR by BILBO,KJ",LC 6-9 (-3),,"GOOD 3PTR by BILBO,KJ",1
--,,,,,"ASSIST  by RHONE,JAYLEN",,,"ASSIST  by RHONE,JAYLEN",1
13:56,"MISS 3PTR by ESSICK,JALEN",,,,,,,"MISS 3PTR by ESSICK,JALEN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
13:56,,,,,"SUB OUT by RHONE,JAYLEN",,,"SUB OUT by RHONE,JAYLEN",1
13:56,,,,,"SUB IN by AUSTIN,DENZEL",,,"SUB IN by AUSTIN,DENZEL",1
13:56,"SUB OUT by WALKER,JEFFERSON",,,,,,,"SUB OUT by WALKER,JEFFERSON",1
13:56,"SUB OUT by WILEY,KOKI",,,,,,,"SUB OUT by WILEY,KOKI",1
13:56,"SUB IN by SHEN,KEVIN",,,,,,,"SUB IN by SHEN,KEVIN",1
13:56,"SUB IN by JAMES,MAC",,,,,,,"SUB IN by JAMES,MAC",1
13:51,"MISS JUMPER by SHEN,KEVIN(in the paint)",,,,,,,"MISS JUMPER by SHEN,KEVIN(in the paint)",1
--,,,,,"REBOUND DEF by BLAKES,LOUIS",,,"REBOUND DEF by BLAKES,LOUIS",1
13:45,,,,,"MISS 3PTR by BLAKES,LOUIS",,,"MISS 3PTR by BLAKES,LOUIS",1
--,"REBOUND DEF by PIPPENGER,WILEY",,,,,,,"REBOUND DEF by PIPPENGER,WILEY",1
13:34,"TURNOVER  by PIPPENGER,WILEY",,,,,,,"TURNOVER  by PIPPENGER,WILEY",1
13:34,,,,,"STEAL  by BLAKES,LOUIS",,,"STEAL  by BLAKES,LOUIS",1
13:15,,,,,"MISS 3PTR by BROUSSARD,KEANDRE",,,"MISS 3PTR by BROUSSARD,KEANDRE",1
--,"REBOUND DEF by PIPPENGER,WILEY",,,,,,,"REBOUND DEF by PIPPENGER,WILEY",1
13:15,,,,,"FOUL  by BLAKES,LOUIS",,,"FOUL  by BLAKES,LOUIS",1
13:15,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",8,,9 (+1),,Rhodes 8-9 (-1),,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",1
13:07,,,,,"MISS 3PTR by AUSTIN,DENZEL",,,"MISS 3PTR by AUSTIN,DENZEL",1
--,"REBOUND DEF by WILEY,KOKI",,,,,,,"REBOUND DEF by WILEY,KOKI",1
12:03,,,,,"FOUL  by BILBO,KJ",,,"FOUL  by BILBO,KJ",1
12:03,"SUB OUT by PIPPENGER,WILEY",,,,,,,"SUB OUT by PIPPENGER,WILEY",1
12:03,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
12:03,"MISS FT by GIROUX,PRESTON",,,,,,,"MISS FT by GIROUX,PRESTON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:03,"GOOD FT by GIROUX,PRESTON",9,,9,,Rhodes 9-9 (0),,"GOOD FT by GIROUX,PRESTON",1
11:52,,,,,"MISS 3PTR by MURPHY,C.J.",,,"MISS 3PTR by MURPHY,C.J.",1
--,,,,,"REBOUND OFF by WALLACE,K.D.",,,"REBOUND OFF by WALLACE,K.D.",1
11:40,,9,,11 (+2),"GOOD JUMPER by AMES,TREY(in the paint)",LC 9-11 (-2),,"GOOD JUMPER by AMES,TREY(in the paint)",1
--,,,,,"ASSIST  by MURPHY,C.J.",,,"ASSIST  by MURPHY,C.J.",1
11:40,"FOUL  by GIROUX,PRESTON",,,,,,,"FOUL  by GIROUX,PRESTON",1
11:40,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:36,,,,,"SUB OUT by BLAKES,LOUIS",,,"SUB OUT by BLAKES,LOUIS",1
11:36,,,,,"SUB OUT by BAKER,KAE'RON",,,"SUB OUT by BAKER,KAE'RON",1
11:36,,,,,"SUB OUT by BILBO,KJ",,,"SUB OUT by BILBO,KJ",1
11:36,,,,,"SUB IN by WALLACE,K.D.",,,"SUB IN by WALLACE,K.D.",1
11:36,,,,,"SUB IN by MURPHY,C.J.",,,"SUB IN by MURPHY,C.J.",1
11:36,,,,,"SUB IN by AMES,TREY",,,"SUB IN by AMES,TREY",1
11:36,"SUB OUT by ESSICK,JALEN",,,,,,,"SUB OUT by ESSICK,JALEN",1
11:36,"SUB IN by WILEY,KOKI",,,,,,,"SUB IN by WILEY,KOKI",1
11:36,,,,,"MISS FT by AMES,TREY",,,"MISS FT by AMES,TREY",1
--,"REBOUND DEF by WILEY,KOKI",,,,,,,"REBOUND DEF by WILEY,KOKI",1
11:24,"MISS 3PTR by SHEN,KEVIN",,,,,,,"MISS 3PTR by SHEN,KEVIN",1
--,,,,,"REBOUND DEF by MURPHY,C.J.",,,"REBOUND DEF by MURPHY,C.J.",1
11:05,,,,,"MISS JUMPER by BROUSSARD,KEANDRE",,,"MISS JUMPER by BROUSSARD,KEANDRE",1
--,"REBOUND DEF by WEATHERFORD,MITCH",,,,,,,"REBOUND DEF by WEATHERFORD,MITCH",1
11:01,"TURNOVER  by SHEN,KEVIN",,,,,,,"TURNOVER  by SHEN,KEVIN",1
11:01,,,,,"STEAL  by WALLACE,K.D.",,,"STEAL  by WALLACE,K.D.",1
10:49,,,,,"MISS JUMPER by BROUSSARD,KEANDRE(in the paint)",,,"MISS JUMPER by BROUSSARD,KEANDRE(in the paint)",1
--,"REBOUND DEF by WILEY,KOKI",,,,,,,"REBOUND DEF by WILEY,KOKI",1
10:38,"MISS JUMPER by WILEY,KOKI(in the paint)",,,,,,,"MISS JUMPER by WILEY,KOKI(in the paint)",1
--,"REBOUND OFF by GIROUX,PRESTON",,,,,,,"REBOUND OFF by GIROUX,PRESTON",1
10:33,"MISS 3PTR by SHEN,KEVIN",,,,,,,"MISS 3PTR by SHEN,KEVIN",1
--,,,,,"REBOUND DEF by AMES,TREY",,,"REBOUND DEF by AMES,TREY",1
10:22,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
10:22,,,,,"SUB OUT by BROUSSARD,KEANDRE",,,"SUB OUT by BROUSSARD,KEANDRE",1
10:22,,,,,"SUB IN by RHONE,JAYLEN",,,"SUB IN by RHONE,JAYLEN",1
10:22,"SUB OUT by SHEN,KEVIN",,,,,,,"SUB OUT by SHEN,KEVIN",1
10:22,"SUB OUT by JAMES,MAC",,,,,,,"SUB OUT by JAMES,MAC",1
10:22,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
10:22,"SUB IN by GRUBBS,COBY",,,,,,,"SUB IN by GRUBBS,COBY",1
10:22,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
10:22,"SUB IN by WALKER,JEFFERSON",,,,,,,"SUB IN by WALKER,JEFFERSON",1
10:03,,9,,13 (+4),"GOOD JUMPER by WALLACE,K.D.",LC 9-13 (-4),,"GOOD JUMPER by WALLACE,K.D.",1
--,,,,,"ASSIST  by AMES,TREY",,,"ASSIST  by AMES,TREY",1
09:39,"MISS 3PTR by GRUBBS,COBY",,,,,,,"MISS 3PTR by GRUBBS,COBY",1
--,,,,,"REBOUND DEF by AUSTIN,DENZEL",,,"REBOUND DEF by AUSTIN,DENZEL",1
09:23,,,,,"MISS JUMPER by RHONE,JAYLEN(in the paint)",,,"MISS JUMPER by RHONE,JAYLEN(in the paint)",1
--,,,,,"REBOUND OFF by AMES,TREY",,,"REBOUND OFF by AMES,TREY",1
09:08,"FOUL  by BERRY,BRYCE",,,,,,,"FOUL  by BERRY,BRYCE",1
09:08,,9,,14 (+5),"GOOD FT by RHONE,JAYLEN",LC 9-14 (-5),,"GOOD FT by RHONE,JAYLEN",1
09:08,,9,,15 (+6),"GOOD FT by RHONE,JAYLEN",LC 9-15 (-6),,"GOOD FT by RHONE,JAYLEN",1
09:08,,,,,"SUB OUT by MURPHY,C.J.",,,"SUB OUT by MURPHY,C.J.",1
09:08,,,,,"SUB OUT by AMES,TREY",,,"SUB OUT by AMES,TREY",1
09:08,,,,,"SUB IN by BAKER,KAE'RON",,,"SUB IN by BAKER,KAE'RON",1
09:08,,,,,"SUB IN by BILBO,KJ",,,"SUB IN by BILBO,KJ",1
09:08,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
09:08,"SUB IN by ESSICK,JALEN",,,,,,,"SUB IN by ESSICK,JALEN",1
09:08,,9,,16 (+7),"GOOD FT by RHONE,JAYLEN",LC 9-16 (-7),,"GOOD FT by RHONE,JAYLEN",1
08:45,"MISS JUMPER by BERRY,BRYCE(in the paint)",,,,,,,"MISS JUMPER by BERRY,BRYCE(in the paint)",1
--,"REBOUND OFF by ESSICK,JALEN",,,,,,,"REBOUND OFF by ESSICK,JALEN",1
08:45,,,,,"FOUL  by WALLACE,K.D.",,,"FOUL  by WALLACE,K.D.",1
08:45,"MISS FT by ESSICK,JALEN",,,,,,,"MISS FT by ESSICK,JALEN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
08:45,"GOOD FT by ESSICK,JALEN",10,,16 (+6),,Rhodes 10-16 (-6),,"GOOD FT by ESSICK,JALEN",1
08:29,"FOUL  by GRUBBS,COBY",,,,,,,"FOUL  by GRUBBS,COBY",1
08:29,"FOUL  by GRUBBS,COBY",,,,,,,"FOUL  by GRUBBS,COBY",1
08:25,,10,,18 (+8),"GOOD LAYUP by AUSTIN,DENZEL(in the paint)",LC 10-18 (-8),,"GOOD LAYUP by AUSTIN,DENZEL(in the paint)",1
--,,,,,"ASSIST  by BAKER,KAE'RON",,,"ASSIST  by BAKER,KAE'RON",1
08:14,,,,,"FOUL  by RHONE,JAYLEN",,,"FOUL  by RHONE,JAYLEN",1
08:14,,,,,"SUB OUT by RHONE,JAYLEN",,,"SUB OUT by RHONE,JAYLEN",1
08:14,,,,,"SUB IN by BLAKES,LOUIS",,,"SUB IN by BLAKES,LOUIS",1
08:14,"SUB OUT by GRUBBS,COBY",,,,,,,"SUB OUT by GRUBBS,COBY",1
08:14,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
07:57,"GOOD JUMPER by ESSICK,JALEN(in the paint)",12,,18 (+6),,Rhodes 12-18 (-6),,"GOOD JUMPER by ESSICK,JALEN(in the paint)",1
07:50,,12,,21 (+9),"GOOD 3PTR by BILBO,KJ",LC 12-21 (-9),,"GOOD 3PTR by BILBO,KJ",1
07:40,"MISS JUMPER by WALKER,JEFFERSON(in the paint)",,,,,,,"MISS JUMPER by WALKER,JEFFERSON(in the paint)",1
--,,,,,"REBOUND DEF by BILBO,KJ",,,"REBOUND DEF by BILBO,KJ",1
07:34,,12,,23 (+11),"GOOD LAYUP by BAKER,KAE'RON(in the paint)",LC 12-23 (-11),,"GOOD LAYUP by BAKER,KAE'RON(in the paint)",1
07:07,"GOOD LAYUP by ESSICK,JALEN(in the paint)",14,,23 (+9),,Rhodes 14-23 (-9),,"GOOD LAYUP by ESSICK,JALEN(in the paint)",1
06:58,,,,,"MISS JUMPER by AUSTIN,DENZEL(in the paint)",,,"MISS JUMPER by AUSTIN,DENZEL(in the paint)",1
--,"REBOUND DEF by BERRY,BRYCE",,,,,,,"REBOUND DEF by BERRY,BRYCE",1
06:34,"GOOD 3PTR by WILEY,KOKI",17,,23 (+6),,Rhodes 17-23 (-6),,"GOOD 3PTR by WILEY,KOKI",1
06:07,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
06:07,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
06:07,,,,,"SUB OUT by WALLACE,K.D.",,,"SUB OUT by WALLACE,K.D.",1
06:07,,,,,"SUB OUT by BILBO,KJ",,,"SUB OUT by BILBO,KJ",1
06:07,,,,,"SUB IN by RHONE,JAYLEN",,,"SUB IN by RHONE,JAYLEN",1
06:07,,,,,"SUB IN by AMES,TREY",,,"SUB IN by AMES,TREY",1
06:07,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
06:07,"SUB OUT by WALKER,JEFFERSON",,,,,,,"SUB OUT by WALKER,JEFFERSON",1
06:07,"SUB IN by JAMES,MAC",,,,,,,"SUB IN by JAMES,MAC",1
06:07,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
05:58,,,,,"TURNOVER  by AMES,TREY",,,"TURNOVER  by AMES,TREY",1
05:33,"MISS 3PTR by JAMES,MAC",,,,,,,"MISS 3PTR by JAMES,MAC",1
--,"REBOUND OFF by ESSICK,JALEN",,,,,,,"REBOUND OFF by ESSICK,JALEN",1
05:28,"GOOD LAYUP by ESSICK,JALEN(in the paint)",19,,23 (+4),,Rhodes 19-23 (-4),,"GOOD LAYUP by ESSICK,JALEN(in the paint)",1
05:12,,19,,26 (+7),"GOOD 3PTR by AUSTIN,DENZEL",LC 19-26 (-7),,"GOOD 3PTR by AUSTIN,DENZEL",1
--,,,,,"ASSIST  by BLAKES,LOUIS",,,"ASSIST  by BLAKES,LOUIS",1
04:58,"MISS 3PTR by GALVIN,OWEN",,,,,,,"MISS 3PTR by GALVIN,OWEN",1
--,,,,,"REBOUND DEF by BAKER,KAE'RON",,,"REBOUND DEF by BAKER,KAE'RON",1
04:20,,19,,28 (+9),"GOOD LAYUP by BAKER,KAE'RON(in the paint)",LC 19-28 (-9),,"GOOD LAYUP by BAKER,KAE'RON(in the paint)",1
--,,,,,"ASSIST  by AMES,TREY",,,"ASSIST  by AMES,TREY",1
04:03,"MISS JUMPER by WILEY,KOKI",,,,,,,"MISS JUMPER by WILEY,KOKI",1
--,,,,,"REBOUND DEF by BAKER,KAE'RON",,,"REBOUND DEF by BAKER,KAE'RON",1
03:49,,,,,"TURNOVER  by BLAKES,LOUIS",,,"TURNOVER  by BLAKES,LOUIS",1
03:49,"STEAL  by GALVIN,OWEN",,,,,,,"STEAL  by GALVIN,OWEN",1
03:33,"MISS 3PTR by ESSICK,JALEN",,,,,,,"MISS 3PTR by ESSICK,JALEN",1
--,,,,,"REBOUND DEF by RHONE,JAYLEN",,,"REBOUND DEF by RHONE,JAYLEN",1
03:11,,,,,"MISS 3PTR by BAKER,KAE'RON",,,"MISS 3PTR by BAKER,KAE'RON",1
--,"REBOUND DEF by WILEY,KOKI",,,,,,,"REBOUND DEF by WILEY,KOKI",1
03:07,"FOUL  by WILEY,KOKI",,,,,,,"FOUL  by WILEY,KOKI",1
03:07,"TURNOVER  by WILEY,KOKI",,,,,,,"TURNOVER  by WILEY,KOKI",1
03:07,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:07,,,,,"SUB OUT by AUSTIN,DENZEL",,,"SUB OUT by AUSTIN,DENZEL",1
03:07,,,,,"SUB IN by WALLACE,K.D.",,,"SUB IN by WALLACE,K.D.",1
03:07,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
03:07,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
02:58,,19,,30 (+11),"GOOD LAYUP by BLAKES,LOUIS(in the paint)",LC 19-30 (-11),,"GOOD LAYUP by BLAKES,LOUIS(in the paint)",1
02:44,"SUB OUT by ESSICK,JALEN",,,,,,,"SUB OUT by ESSICK,JALEN",1
02:44,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
02:39,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",21,,30 (+9),,Rhodes 21-30 (-9),,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",1
--,"ASSIST  by WILEY,KOKI",,,,,,,"ASSIST  by WILEY,KOKI",1
02:22,"FOUL  by NESTLEHUTT,JAKE",,,,,,,"FOUL  by NESTLEHUTT,JAKE",1
02:22,,21,,31 (+10),"GOOD FT by WALLACE,K.D.",LC 21-31 (-10),,"GOOD FT by WALLACE,K.D.",1
02:22,,21,,32 (+11),"GOOD FT by WALLACE,K.D.",LC 21-32 (-11),,"GOOD FT by WALLACE,K.D.",1
02:12,,,,,"FOUL  by AMES,TREY",,,"FOUL  by AMES,TREY",1
02:12,"MISS FT by WILEY,KOKI",,,,,,,"MISS FT by WILEY,KOKI",1
02:12,"GOOD FT by WILEY,KOKI",22,,32 (+10),,Rhodes 22-32 (-10),,"GOOD FT by WILEY,KOKI",1
02:12,,,,,"SUB OUT by AMES,TREY",,,"SUB OUT by AMES,TREY",1
02:12,,,,,"SUB IN by BILBO,KJ",,,"SUB IN by BILBO,KJ",1
02:12,"SUB OUT by WILEY,KOKI",,,,,,,"SUB OUT by WILEY,KOKI",1
02:12,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
01:45,,22,,35 (+13),"GOOD 3PTR by RHONE,JAYLEN",LC 22-35 (-13),,"GOOD 3PTR by RHONE,JAYLEN",1
--,,,,,"ASSIST  by BLAKES,LOUIS",,,"ASSIST  by BLAKES,LOUIS",1
01:27,"GOOD JUMPER by GIROUX,PRESTON(in the paint)",24,,35 (+11),,Rhodes 24-35 (-11),,"GOOD JUMPER by GIROUX,PRESTON(in the paint)",1
01:10,,,,,"MISS JUMPER by WALLACE,K.D.",,,"MISS JUMPER by WALLACE,K.D.",1
--,"REBOUND DEF by GIROUX,PRESTON",,,,,,,"REBOUND DEF by GIROUX,PRESTON",1
01:07,"TURNOVER  by GALVIN,OWEN",,,,,,,"TURNOVER  by GALVIN,OWEN",1
00:39,,,,,"MISS 3PTR by BLAKES,LOUIS",,,"MISS 3PTR by BLAKES,LOUIS",1
--,"REBOUND DEF by NESTLEHUTT,JAKE",,,,,,,"REBOUND DEF by NESTLEHUTT,JAKE",1
00:28,"GOOD LAYUP by GALVIN,OWEN(in the paint)",26,,35 (+9),,Rhodes 26-35 (-9),,"GOOD LAYUP by GALVIN,OWEN(in the paint)",1
--,"ASSIST  by WEATHERFORD,MITCH",,,,,,,"ASSIST  by WEATHERFORD,MITCH",1
00:02,,,,,"MISS JUMPER by BAKER,KAE'RON(in the paint)",,,"MISS JUMPER by BAKER,KAE'RON(in the paint)",1
--,,,,,"REBOUND OFF by BILBO,KJ",,,"REBOUND OFF by BILBO,KJ",1
00:00,,,,,"MISS JUMPER by BILBO,KJ",,,"MISS JUMPER by BILBO,KJ",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
20:00,,,,,"SUB OUT by BLAKES,LOUIS",,,"SUB OUT by BLAKES,LOUIS",2
20:00,,,,,"SUB IN by AUSTIN,DENZEL",,,"SUB IN by AUSTIN,DENZEL",2
20:00,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",2
20:00,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",2
20:00,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",2
20:00,"SUB IN by WILEY,KOKI",,,,,,,"SUB IN by WILEY,KOKI",2
19:51,"GOOD JUMPER by WEATHERFORD,MITCH(in the paint)",28,,35 (+7),,Rhodes 28-35 (-7),,"GOOD JUMPER by WEATHERFORD,MITCH(in the paint)",2
19:36,"FOUL  by WILEY,KOKI",,,,,,,"FOUL  by WILEY,KOKI",2
19:36,,28,,36 (+8),"GOOD FT by WALLACE,K.D.",LC 28-36 (-8),,"GOOD FT by WALLACE,K.D.",2
19:36,,,,,"MISS FT by WALLACE,K.D.",,,"MISS FT by WALLACE,K.D.",2
--,"REBOUND DEF by GIROUX,PRESTON",,,,,,,"REBOUND DEF by GIROUX,PRESTON",2
19:16,"GOOD JUMPER by WEATHERFORD,MITCH(in the paint)",30,,36 (+6),,Rhodes 30-36 (-6),,"GOOD JUMPER by WEATHERFORD,MITCH(in the paint)",2
--,"ASSIST  by WILEY,KOKI",,,,,,,"ASSIST  by WILEY,KOKI",2
19:00,,,,,"MISS 3PTR by RHONE,JAYLEN",,,"MISS 3PTR by RHONE,JAYLEN",2
--,"REBOUND DEF by JAMES,MAC",,,,,,,"REBOUND DEF by JAMES,MAC",2
18:50,"MISS JUMPER by WILEY,KOKI",,,,,,,"MISS JUMPER by WILEY,KOKI",2
--,,,,,"REBOUND DEF by BILBO,KJ",,,"REBOUND DEF by BILBO,KJ",2
18:29,,30,,38 (+8),"GOOD JUMPER by AUSTIN,DENZEL(in the paint)",LC 30-38 (-8),,"GOOD JUMPER by AUSTIN,DENZEL(in the paint)",2
--,,,,,"ASSIST  by RHONE,JAYLEN",,,"ASSIST  by RHONE,JAYLEN",2
18:25,"FOUL  by GIROUX,PRESTON",,,,,,,"FOUL  by GIROUX,PRESTON",2
18:25,,,,,"MISS FT by AUSTIN,DENZEL",,,"MISS FT by AUSTIN,DENZEL",2
--,"REBOUND DEF by WILEY,KOKI",,,,,,,"REBOUND DEF by WILEY,KOKI",2
18:11,"TURNOVER  by GIROUX,PRESTON",,,,,,,"TURNOVER  by GIROUX,PRESTON",2
18:11,,,,,"SUB IN by BLAKES,LOUIS",,,"SUB IN by BLAKES,LOUIS",2
18:11,,,,,"SUB OUT by BAKER,KAE'RON",,,"SUB OUT by BAKER,KAE'RON",2
17:53,,30,,40 (+10),"GOOD JUMPER by RHONE,JAYLEN(in the paint)",LC 30-40 (-10),,"GOOD JUMPER by RHONE,JAYLEN(in the paint)",2
