Time Remaining,MIL-U,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
16:52,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
16:39,"GOOD LAYUP by HAMPTON,JAKE(in the paint)",10 (+6),,4,,MIL-U 10-4 (-6),,"GOOD LAYUP by HAMPTON,JAKE(in the paint)",1
16:21,,10 (+4),,6,"GOOD LAYUP by GALVIN,OWEN(in the paint)",Rhodes 10-6 (-4),,"GOOD LAYUP by GALVIN,OWEN(in the paint)",1
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",1
15:59,"GOOD JUMPER by LAURENCE,COLE(in the paint)",12 (+6),,6,,MIL-U 12-6 (-6),,"GOOD JUMPER by LAURENCE,COLE(in the paint)",1
15:29,,,,,"MISS JUMPER by WILEY,KOKI",,,"MISS JUMPER by WILEY,KOKI",1
--,"REBOUND DEF by FARMER,KORBIN",,,,,,,"REBOUND DEF by FARMER,KORBIN",1
15:17,,,,,"FOUL  by GIROUX,PRESTON",,,"FOUL  by GIROUX,PRESTON",1
15:17,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:17,,,,,"SUB OUT by GIROUX,PRESTON",,,"SUB OUT by GIROUX,PRESTON",1
15:17,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
15:17,,,,,"SUB IN by ESSICK,JALEN",,,"SUB IN by ESSICK,JALEN",1
15:17,,,,,"SUB IN by PIPPENGER,WILEY",,,"SUB IN by PIPPENGER,WILEY",1
15:17,"SUB OUT by BURROWS,TROY",,,,,,,"SUB OUT by BURROWS,TROY",1
15:17,"SUB OUT by LAURENCE,COLE",,,,,,,"SUB OUT by LAURENCE,COLE",1
15:17,"SUB IN by MITCHELL,CEDRIC",,,,,,,"SUB IN by MITCHELL,CEDRIC",1
15:17,"SUB IN by AKINWUMI,MICHAEL",,,,,,,"SUB IN by AKINWUMI,MICHAEL",1
15:17,"MISS FT by FARMER,KORBIN",,,,,,,"MISS FT by FARMER,KORBIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
15:17,"MISS FT by FARMER,KORBIN",,,,,,,"MISS FT by FARMER,KORBIN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
15:10,,,,,"TURNOVER  by WALKER,JEFFERSON",,,"TURNOVER  by WALKER,JEFFERSON",1
15:10,"STEAL  by FARMER,KORBIN",,,,,,,"STEAL  by FARMER,KORBIN",1
15:06,"GOOD DUNK by FARMER,KORBIN(fastbreak)(in the paint)",14 (+8),,6,,MIL-U 14-6 (-8),,"GOOD DUNK by FARMER,KORBIN(fastbreak)(in the paint)",1
14:49,"FOUL  by AKINWUMI,MICHAEL",,,,,,,"FOUL  by AKINWUMI,MICHAEL",1
14:49,,,,,"SUB OUT by WALKER,JEFFERSON",,,"SUB OUT by WALKER,JEFFERSON",1
14:49,,,,,"SUB IN by JAMES,MAC",,,"SUB IN by JAMES,MAC",1
14:34,,14 (+5),,9,"GOOD 3PTR by NESTLEHUTT,JAKE",Rhodes 14-9 (-5),,"GOOD 3PTR by NESTLEHUTT,JAKE",1
--,,,,,"ASSIST  by JAMES,MAC",,,"ASSIST  by JAMES,MAC",1
14:02,"TURNOVER  by HAMPTON,JAKE",,,,,,,"TURNOVER  by HAMPTON,JAKE",1
14:02,,,,,"SUB OUT by WILEY,KOKI",,,"SUB OUT by WILEY,KOKI",1
14:02,,,,,"SUB IN by SHEN,KEVIN",,,"SUB IN by SHEN,KEVIN",1
13:48,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",,,"MISS 3PTR by NESTLEHUTT,JAKE",1
--,,,,,"REBOUND OFF by PIPPENGER,WILEY",,,"REBOUND OFF by PIPPENGER,WILEY",1
13:39,,14 (+2),,12,"GOOD 3PTR by SHEN,KEVIN",Rhodes 14-12 (-2),,"GOOD 3PTR by SHEN,KEVIN",1
--,,,,,"ASSIST  by ESSICK,JALEN",,,"ASSIST  by ESSICK,JALEN",1
13:21,"MISS LAYUP by AKINWUMI,MICHAEL(in the paint)",,,,,,,"MISS LAYUP by AKINWUMI,MICHAEL(in the paint)",1
13:21,,,,,"BLOCK  by PIPPENGER,WILEY",,,"BLOCK  by PIPPENGER,WILEY",1
--,"REBOUND OFF by AKINWUMI,MICHAEL",,,,,,,"REBOUND OFF by AKINWUMI,MICHAEL",1
13:15,"GOOD LAYUP by AKINWUMI,MICHAEL(in the paint)",16 (+4),,12,,MIL-U 16-12 (-4),,"GOOD LAYUP by AKINWUMI,MICHAEL(in the paint)",1
13:04,,16 (+1),,15,"GOOD 3PTR by ESSICK,JALEN",Rhodes 16-15 (-1),,"GOOD 3PTR by ESSICK,JALEN",1
--,,,,,"ASSIST  by JAMES,MAC",,,"ASSIST  by JAMES,MAC",1
12:40,"GOOD JUMPER by HAMPTON,JAKE(in the paint)",18 (+3),,15,,MIL-U 18-15 (-3),,"GOOD JUMPER by HAMPTON,JAKE(in the paint)",1
12:28,,,,,"TURNOVER  by ESSICK,JALEN",,,"TURNOVER  by ESSICK,JALEN",1
12:28,"STEAL  by FARMER,KORBIN",,,,,,,"STEAL  by FARMER,KORBIN",1
12:15,"MISS 3PTR by HAMPTON,JAKE",,,,,,,"MISS 3PTR by HAMPTON,JAKE",1
--,,,,,"REBOUND DEF by SHEN,KEVIN",,,"REBOUND DEF by SHEN,KEVIN",1
12:07,,18 (+1),,17,"GOOD JUMPER by JAMES,MAC(in the paint)",Rhodes 18-17 (-1),,"GOOD JUMPER by JAMES,MAC(in the paint)",1
11:37,,,,,"FOUL  by NESTLEHUTT,JAKE",,,"FOUL  by NESTLEHUTT,JAKE",1
11:37,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:37,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
11:37,,,,,"SUB OUT by ESSICK,JALEN",,,"SUB OUT by ESSICK,JALEN",1
11:37,,,,,"SUB OUT by PIPPENGER,WILEY",,,"SUB OUT by PIPPENGER,WILEY",1
11:37,,,,,"SUB IN by GRUBBS,COBY",,,"SUB IN by GRUBBS,COBY",1
11:37,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
11:37,,,,,"SUB IN by WILEY,KOKI",,,"SUB IN by WILEY,KOKI",1
11:37,"SUB OUT by MITCHELL,CEDRIC",,,,,,,"SUB OUT by MITCHELL,CEDRIC",1
11:37,"SUB OUT by AKINWUMI,MICHAEL",,,,,,,"SUB OUT by AKINWUMI,MICHAEL",1
11:37,"SUB OUT by HAMPTON,JAKE",,,,,,,"SUB OUT by HAMPTON,JAKE",1
11:37,"SUB IN by BURROWS,TROY",,,,,,,"SUB IN by BURROWS,TROY",1
11:37,"SUB IN by JONES,KELVIN",,,,,,,"SUB IN by JONES,KELVIN",1
11:37,"SUB IN by LAURENCE,COLE",,,,,,,"SUB IN by LAURENCE,COLE",1
11:37,"MISS FT by FARMER,KORBIN",,,,,,,"MISS FT by FARMER,KORBIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
11:37,"MISS FT by FARMER,KORBIN",,,,,,,"MISS FT by FARMER,KORBIN",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
11:23,,,,,"MISS 3PTR by GRUBBS,COBY",,,"MISS 3PTR by GRUBBS,COBY",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
11:21,"SUB OUT by FARMER,KORBIN",,,,,,,"SUB OUT by FARMER,KORBIN",1
11:21,"SUB IN by GRIFFEY,TREY",,,,,,,"SUB IN by GRIFFEY,TREY",1
11:18,,,,,"MISS 3PTR by WEATHERFORD,MITCH",,,"MISS 3PTR by WEATHERFORD,MITCH",1
--,"REBOUND DEF by STICHNOTE,SAM",,,,,,,"REBOUND DEF by STICHNOTE,SAM",1
10:59,"MISS 3PTR by BURROWS,TROY",,,,,,,"MISS 3PTR by BURROWS,TROY",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
10:59,,,,,"SUB OUT by JAMES,MAC",,,"SUB OUT by JAMES,MAC",1
10:59,,,,,"SUB IN by WALKER,JEFFERSON",,,"SUB IN by WALKER,JEFFERSON",1
10:46,,,,,"MISS JUMPER by SHEN,KEVIN(in the paint)",,,"MISS JUMPER by SHEN,KEVIN(in the paint)",1
--,"REBOUND DEF by STICHNOTE,SAM",,,,,,,"REBOUND DEF by STICHNOTE,SAM",1
10:29,"MISS 3PTR by GRIFFEY,TREY",,,,,,,"MISS 3PTR by GRIFFEY,TREY",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
10:25,,,,,"SUB OUT by SHEN,KEVIN",,,"SUB OUT by SHEN,KEVIN",1
10:25,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
10:24,"FOUL  by BURROWS,TROY",,,,,,,"FOUL  by BURROWS,TROY",1
10:24,"TURNOVER  by BURROWS,TROY",,,,,,,"TURNOVER  by BURROWS,TROY",1
10:18,,18,,19 (+1),"GOOD LAYUP by WILEY,KOKI(in the paint)",Rhodes 18-19 (+1),,"GOOD LAYUP by WILEY,KOKI(in the paint)",1
09:58,"MISS JUMPER by JONES,KELVIN(in the paint)",,,,,,,"MISS JUMPER by JONES,KELVIN(in the paint)",1
09:58,,,,,"BLOCK  by WILEY,KOKI",,,"BLOCK  by WILEY,KOKI",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
09:47,"MISS JUMPER by STICHNOTE,SAM(in the paint)",,,,,,,"MISS JUMPER by STICHNOTE,SAM(in the paint)",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
09:36,,,,,"MISS JUMPER by WILEY,KOKI(in the paint)",,,"MISS JUMPER by WILEY,KOKI(in the paint)",1
--,"REBOUND DEF by STICHNOTE,SAM",,,,,,,"REBOUND DEF by STICHNOTE,SAM",1
09:30,"TURNOVER  by STICHNOTE,SAM",,,,,,,"TURNOVER  by STICHNOTE,SAM",1
09:29,"SUB OUT by STICHNOTE,SAM",,,,,,,"SUB OUT by STICHNOTE,SAM",1
09:29,"SUB IN by MILLER,KEVIN",,,,,,,"SUB IN by MILLER,KEVIN",1
09:19,,,,,"MISS JUMPER by WALKER,JEFFERSON(in the paint)",,,"MISS JUMPER by WALKER,JEFFERSON(in the paint)",1
--,"REBOUND DEF by BURROWS,TROY",,,,,,,"REBOUND DEF by BURROWS,TROY",1
08:52,"MISS 3PTR by GRIFFEY,TREY",,,,,,,"MISS 3PTR by GRIFFEY,TREY",1
--,"REBOUND OFF by JONES,KELVIN",,,,,,,"REBOUND OFF by JONES,KELVIN",1
08:45,"MISS JUMPER by JONES,KELVIN(in the paint)",,,,,,,"MISS JUMPER by JONES,KELVIN(in the paint)",1
--,"REBOUND OFF by LAURENCE,COLE",,,,,,,"REBOUND OFF by LAURENCE,COLE",1
08:39,"GOOD JUMPER by LAURENCE,COLE(in the paint)",20 (+1),,19,,MIL-U 20-19 (-1),,"GOOD JUMPER by LAURENCE,COLE(in the paint)",1
08:35,,,,,"FOUL  by WEATHERFORD,MITCH",,,"FOUL  by WEATHERFORD,MITCH",1
08:24,,,,,"SUB OUT by GRUBBS,COBY",,,"SUB OUT by GRUBBS,COBY",1
08:24,,,,,"SUB IN by PIPPENGER,WILEY",,,"SUB IN by PIPPENGER,WILEY",1
08:21,"MISS FT by LAURENCE,COLE",,,,,,,"MISS FT by LAURENCE,COLE",1
--,,,,,"REBOUND DEF by GALVIN,OWEN",,,"REBOUND DEF by GALVIN,OWEN",1
08:14,,,,,"TURNOVER  by GALVIN,OWEN",,,"TURNOVER  by GALVIN,OWEN",1
08:14,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
08:14,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
08:14,,,,,"SUB IN by ESSICK,JALEN",,,"SUB IN by ESSICK,JALEN",1
08:14,"MISS LAYUP by LAURENCE,COLE(in the paint)",,,,,,,"MISS LAYUP by LAURENCE,COLE(in the paint)",1
08:14,,,,,"BLOCK  by GALVIN,OWEN",,,"BLOCK  by GALVIN,OWEN",1
--,"REBOUND OFF by LAURENCE,COLE",,,,,,,"REBOUND OFF by LAURENCE,COLE",1
08:14,"GOOD LAYUP by LAURENCE,COLE(in the paint)",22 (+3),,19,,MIL-U 22-19 (-3),,"GOOD LAYUP by LAURENCE,COLE(in the paint)",1
08:14,,,,,"FOUL  by ESSICK,JALEN",,,"FOUL  by ESSICK,JALEN",1
08:14,"GOOD FT by LAURENCE,COLE",23 (+4),,19,,MIL-U 23-19 (-4),,"GOOD FT by LAURENCE,COLE",1
08:05,,,,,"MISS 3PTR by GALVIN,OWEN",,,"MISS 3PTR by GALVIN,OWEN",1
--,"REBOUND DEF by LAURENCE,COLE",,,,,,,"REBOUND DEF by LAURENCE,COLE",1
07:54,"TURNOVER  by GRIFFEY,TREY",,,,,,,"TURNOVER  by GRIFFEY,TREY",1
07:50,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:50,,,,,"SUB OUT by WALKER,JEFFERSON",,,"SUB OUT by WALKER,JEFFERSON",1
07:50,,,,,"SUB OUT by WILEY,KOKI",,,"SUB OUT by WILEY,KOKI",1
07:50,,,,,"SUB IN by SHEN,KEVIN",,,"SUB IN by SHEN,KEVIN",1
07:50,,,,,"SUB IN by JAMES,MAC",,,"SUB IN by JAMES,MAC",1
07:50,"SUB OUT by JONES,KELVIN",,,,,,,"SUB OUT by JONES,KELVIN",1
07:50,"SUB OUT by GRIFFEY,TREY",,,,,,,"SUB OUT by GRIFFEY,TREY",1
07:50,"SUB IN by HAMPTON,JAKE",,,,,,,"SUB IN by HAMPTON,JAKE",1
07:50,"SUB IN by FARMER,KORBIN",,,,,,,"SUB IN by FARMER,KORBIN",1
07:42,,23 (+1),,22,"GOOD 3PTR by ESSICK,JALEN",Rhodes 23-22 (-1),,"GOOD 3PTR by ESSICK,JALEN",1
--,,,,,"ASSIST  by GALVIN,OWEN",,,"ASSIST  by GALVIN,OWEN",1
07:24,"MISS JUMPER by LAURENCE,COLE",,,,,,,"MISS JUMPER by LAURENCE,COLE",1
--,"REBOUND OFF by FARMER,KORBIN",,,,,,,"REBOUND OFF by FARMER,KORBIN",1
07:16,"MISS LAYUP by FARMER,KORBIN(in the paint)",,,,,,,"MISS LAYUP by FARMER,KORBIN(in the paint)",1
07:16,,,,,"BLOCK  by ESSICK,JALEN",,,"BLOCK  by ESSICK,JALEN",1
--,,,,,"REBOUND DEF by ESSICK,JALEN",,,"REBOUND DEF by ESSICK,JALEN",1
07:06,,,,,"MISS LAYUP by JAMES,MAC(in the paint)",,,"MISS LAYUP by JAMES,MAC(in the paint)",1
--,"REBOUND DEF by BURROWS,TROY",,,,,,,"REBOUND DEF by BURROWS,TROY",1
07:02,"TURNOVER  by FARMER,KORBIN",,,,,,,"TURNOVER  by FARMER,KORBIN",1
07:02,,,,,"STEAL  by PIPPENGER,WILEY",,,"STEAL  by PIPPENGER,WILEY",1
06:53,,,,,"TURNOVER  by SHEN,KEVIN",,,"TURNOVER  by SHEN,KEVIN",1
06:53,"STEAL  by MILLER,KEVIN",,,,,,,"STEAL  by MILLER,KEVIN",1
06:39,"TURNOVER  by LAURENCE,COLE",,,,,,,"TURNOVER  by LAURENCE,COLE",1
06:39,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",1
06:39,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
06:27,,,,,"MISS 3PTR by SHEN,KEVIN",,,"MISS 3PTR by SHEN,KEVIN",1
--,"REBOUND DEF by FARMER,KORBIN",,,,,,,"REBOUND DEF by FARMER,KORBIN",1
06:16,"GOOD JUMPER by BURROWS,TROY(in the paint)",25 (+3),,22,,MIL-U 25-22 (-3),,"GOOD JUMPER by BURROWS,TROY(in the paint)",1
06:01,"FOUL  by FARMER,KORBIN",,,,,,,"FOUL  by FARMER,KORBIN",1
06:01,,25 (+2),,23,"GOOD FT by PIPPENGER,WILEY",Rhodes 25-23 (-2),,"GOOD FT by PIPPENGER,WILEY",1
06:01,,,,,"SUB OUT by SHEN,KEVIN",,,"SUB OUT by SHEN,KEVIN",1
06:01,,,,,"SUB OUT by JAMES,MAC",,,"SUB OUT by JAMES,MAC",1
06:01,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
06:01,,,,,"SUB IN by WILEY,KOKI",,,"SUB IN by WILEY,KOKI",1
06:01,"SUB OUT by LAURENCE,COLE",,,,,,,"SUB OUT by LAURENCE,COLE",1
06:01,"SUB IN by JONES,DAWSON",,,,,,,"SUB IN by JONES,DAWSON",1
06:01,,,,,"MISS FT by PIPPENGER,WILEY",,,"MISS FT by PIPPENGER,WILEY",1
--,"REBOUND DEF by HAMPTON,JAKE",,,,,,,"REBOUND DEF by HAMPTON,JAKE",1
05:46,"MISS 3PTR by HAMPTON,JAKE",,,,,,,"MISS 3PTR by HAMPTON,JAKE",1
--,,,,,"REBOUND DEF by WEATHERFORD,MITCH",,,"REBOUND DEF by WEATHERFORD,MITCH",1
05:41,,,,,"MISS LAYUP by WILEY,KOKI(in the paint)",,,"MISS LAYUP by WILEY,KOKI(in the paint)",1
--,,,,,"REBOUND OFF by PIPPENGER,WILEY",,,"REBOUND OFF by PIPPENGER,WILEY",1
05:39,"FOUL  by JONES,DAWSON",,,,,,,"FOUL  by JONES,DAWSON",1
05:39,,25 (+1),,24,"GOOD FT by PIPPENGER,WILEY(fastbreak)",Rhodes 25-24 (-1),,"GOOD FT by PIPPENGER,WILEY(fastbreak)",1
05:39,,25,,25,"GOOD FT by PIPPENGER,WILEY(fastbreak)",Rhodes 25-25 (0),,"GOOD FT by PIPPENGER,WILEY(fastbreak)",1
05:39,"SUB OUT by BURROWS,TROY",,,,,,,"SUB OUT by BURROWS,TROY",1
05:39,"SUB IN by MITCHELL,CEDRIC",,,,,,,"SUB IN by MITCHELL,CEDRIC",1
05:28,"TURNOVER  by MILLER,KEVIN",,,,,,,"TURNOVER  by MILLER,KEVIN",1
05:28,,,,,"STEAL  by NESTLEHUTT,JAKE",,,"STEAL  by NESTLEHUTT,JAKE",1
05:19,,25,,27 (+2),"GOOD LAYUP by PIPPENGER,WILEY(in the paint)",Rhodes 25-27 (+2),,"GOOD LAYUP by PIPPENGER,WILEY(in the paint)",1
--,,,,,"ASSIST  by WEATHERFORD,MITCH",,,"ASSIST  by WEATHERFORD,MITCH",1
04:51,"MISS JUMPER by MITCHELL,CEDRIC",,,,,,,"MISS JUMPER by MITCHELL,CEDRIC",1
--,,,,,"REBOUND DEF by NESTLEHUTT,JAKE",,,"REBOUND DEF by NESTLEHUTT,JAKE",1
04:48,"FOUL  by JONES,DAWSON",,,,,,,"FOUL  by JONES,DAWSON",1
04:42,,,,,"SUB OUT by PIPPENGER,WILEY",,,"SUB OUT by PIPPENGER,WILEY",1
04:42,,,,,"SUB IN by GRUBBS,COBY",,,"SUB IN by GRUBBS,COBY",1
04:38,,,,,"MISS 3PTR by NESTLEHUTT,JAKE",,,"MISS 3PTR by NESTLEHUTT,JAKE",1
--,"REBOUND DEF by JONES,DAWSON",,,,,,,"REBOUND DEF by JONES,DAWSON",1
04:25,"MISS 3PTR by MILLER,KEVIN",,,,,,,"MISS 3PTR by MILLER,KEVIN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
04:06,"MISS 3PTR by HAMPTON,JAKE",,,,,,,"MISS 3PTR by HAMPTON,JAKE",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
04:03,"FOUL  by FARMER,KORBIN",,,,,,,"FOUL  by FARMER,KORBIN",1
04:03,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
04:03,"SUB OUT by MITCHELL,CEDRIC",,,,,,,"SUB OUT by MITCHELL,CEDRIC",1
04:03,"SUB OUT by MILLER,KEVIN",,,,,,,"SUB OUT by MILLER,KEVIN",1
04:03,"SUB OUT by FARMER,KORBIN",,,,,,,"SUB OUT by FARMER,KORBIN",1
04:03,"SUB IN by BURROWS,TROY",,,,,,,"SUB IN by BURROWS,TROY",1
04:03,"SUB IN by STICHNOTE,SAM",,,,,,,"SUB IN by STICHNOTE,SAM",1
04:03,"SUB IN by JOEST,TYLER",,,,,,,"SUB IN by JOEST,TYLER",1
04:03,,25,,28 (+3),"GOOD FT by ESSICK,JALEN(fastbreak)",Rhodes 25-28 (+3),,"GOOD FT by ESSICK,JALEN(fastbreak)",1
04:03,,25,,29 (+4),"GOOD FT by ESSICK,JALEN(fastbreak)",Rhodes 25-29 (+4),,"GOOD FT by ESSICK,JALEN(fastbreak)",1
03:51,"GOOD LAYUP by STICHNOTE,SAM(in the paint)",27,,29 (+2),,MIL-U 27-29 (+2),,"GOOD LAYUP by STICHNOTE,SAM(in the paint)",1
03:51,,,,,"FOUL  by GRUBBS,COBY",,,"FOUL  by GRUBBS,COBY",1
03:51,"GOOD FT by STICHNOTE,SAM",28,,29 (+1),,MIL-U 28-29 (+1),,"GOOD FT by STICHNOTE,SAM",1
03:38,,28,,32 (+4),"GOOD 3PTR by NESTLEHUTT,JAKE",Rhodes 28-32 (+4),,"GOOD 3PTR by NESTLEHUTT,JAKE",1
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",1
03:13,"TURNOVER  by JONES,DAWSON",,,,,,,"TURNOVER  by JONES,DAWSON",1
02:58,,,,,"MISS LAYUP by WILEY,KOKI(in the paint)",,,"MISS LAYUP by WILEY,KOKI(in the paint)",1
--,"REBOUND DEF by BURROWS,TROY",,,,,,,"REBOUND DEF by BURROWS,TROY",1
02:45,"MISS 3PTR by JOEST,TYLER",,,,,,,"MISS 3PTR by JOEST,TYLER",1
--,,,,,"REBOUND DEF by ESSICK,JALEN",,,"REBOUND DEF by ESSICK,JALEN",1
02:37,"FOUL  by JONES,DAWSON",,,,,,,"FOUL  by JONES,DAWSON",1
02:37,,,,,"MISS FT by ESSICK,JALEN(fastbreak)",,,"MISS FT by ESSICK,JALEN(fastbreak)",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
02:37,,,,,"SUB OUT by GRUBBS,COBY",,,"SUB OUT by GRUBBS,COBY",1
02:37,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
02:37,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
02:37,,,,,"SUB IN by SHEN,KEVIN",,,"SUB IN by SHEN,KEVIN",1
02:37,,,,,"SUB IN by JAMES,MAC",,,"SUB IN by JAMES,MAC",1
02:37,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
02:37,"SUB OUT by JONES,DAWSON",,,,,,,"SUB OUT by JONES,DAWSON",1
02:37,"SUB IN by LAURENCE,COLE",,,,,,,"SUB IN by LAURENCE,COLE",1
02:37,,,,,"MISS FT by ESSICK,JALEN(fastbreak)",,,"MISS FT by ESSICK,JALEN(fastbreak)",1
--,"REBOUND DEF by JOEST,TYLER",,,,,,,"REBOUND DEF by JOEST,TYLER",1
02:24,"GOOD JUMPER by JOEST,TYLER(in the paint)",30,,32 (+2),,MIL-U 30-32 (+2),,"GOOD JUMPER by JOEST,TYLER(in the paint)",1
02:08,,30,,35 (+5),"GOOD 3PTR by ESSICK,JALEN",Rhodes 30-35 (+5),,"GOOD 3PTR by ESSICK,JALEN",1
--,,,,,"ASSIST  by GALVIN,OWEN",,,"ASSIST  by GALVIN,OWEN",1
01:50,"GOOD 3PTR by STICHNOTE,SAM",33,,35 (+2),,MIL-U 33-35 (+2),,"GOOD 3PTR by STICHNOTE,SAM",1
--,"ASSIST  by LAURENCE,COLE",,,,,,,"ASSIST  by LAURENCE,COLE",1
01:33,,,,,"TURNOVER  by JAMES,MAC",,,"TURNOVER  by JAMES,MAC",1
