Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,WASHUM,Game Score,Team Indicator,Play,Period
08:22,,,,,"MISS 3PTR by HARDY,JUSTIN",,,"MISS 3PTR by HARDY,JUSTIN",1
--,"REBOUND DEF by BERRY,BRYCE",,,,,,,"REBOUND DEF by BERRY,BRYCE",1
08:15,"MISS LAYUP by BERRY,BRYCE",,,,,,,"MISS LAYUP by BERRY,BRYCE",1
--,,,,,"REBOUND DEF by HARDY,JUSTIN",,,"REBOUND DEF by HARDY,JUSTIN",1
07:54,,,,,"MISS LAYUP by HUNTER,HANK",,,"MISS LAYUP by HUNTER,HANK",1
--,"REBOUND DEF by PIPPENGER,WILEY",,,,,,,"REBOUND DEF by PIPPENGER,WILEY",1
07:52,,,,,"SUB IN by JACOB,CHARLIE",,,"SUB IN by JACOB,CHARLIE",1
07:52,,,,,"SUB OUT by WEBB,PAYDEN",,,"SUB OUT by WEBB,PAYDEN",1
07:38,"FOUL  by PIPPENGER,WILEY",,,,,,,"FOUL  by PIPPENGER,WILEY",1
07:38,"TURNOVER  by PIPPENGER,WILEY",,,,,,,"TURNOVER  by PIPPENGER,WILEY",1
07:30,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
07:30,"SUB IN by NESTLEHUTT,JAKE",,,,,,,"SUB IN by NESTLEHUTT,JAKE",1
07:30,"SUB IN by BERRY,BRYCE",,,,,,,"SUB IN by BERRY,BRYCE",1
07:30,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
07:30,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
07:30,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
07:30,"SUB OUT by PIPPENGER,WILEY",,,,,,,"SUB OUT by PIPPENGER,WILEY",1
07:30,"SUB OUT by ESSICK,JALEN",,,,,,,"SUB OUT by ESSICK,JALEN",1
07:30,"SUB OUT by WILEY,KOKI",,,,,,,"SUB OUT by WILEY,KOKI",1
07:30,"SUB OUT by JAMES,MAC",,,,,,,"SUB OUT by JAMES,MAC",1
07:30,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
07:30,,,,,"SUB IN by BLOEDORN,NATE",,,"SUB IN by BLOEDORN,NATE",1
07:30,,,,,"SUB IN by NOLAN,JACK",,,"SUB IN by NOLAN,JACK",1
07:30,,,,,"SUB OUT by HUNTER,HANK",,,"SUB OUT by HUNTER,HANK",1
07:30,,,,,"SUB OUT by JACOB,CHARLIE",,,"SUB OUT by JACOB,CHARLIE",1
07:15,,18,,26 (+8),"GOOD LAYUP by HARDY,JUSTIN(in the paint)",WASHUM 18-26 (-8),,"GOOD LAYUP by HARDY,JUSTIN(in the paint)",1
06:46,"GOOD 3PTR by BERRY,BRYCE",21,,26 (+5),,RHODES 21-26 (-5),,"GOOD 3PTR by BERRY,BRYCE",1
--,"ASSIST  by WEATHERFORD,MITCH",,,,,,,"ASSIST  by WEATHERFORD,MITCH",1
06:23,,,,,"MISS LAYUP by MACK,KAMERON",,,"MISS LAYUP by MACK,KAMERON",1
--,,,,,"REBOUND OFF by HARDY,JUSTIN",,,"REBOUND OFF by HARDY,JUSTIN",1
06:19,,,,,"MISS LAYUP by HARDY,JUSTIN",,,"MISS LAYUP by HARDY,JUSTIN",1
--,"REBOUND DEF by WEATHERFORD,MITCH",,,,,,,"REBOUND DEF by WEATHERFORD,MITCH",1
06:09,"TURNOVER  by GALVIN,OWEN",,,,,,,"TURNOVER  by GALVIN,OWEN",1
06:07,,,,,"STEAL  by MACK,KAMERON",,,"STEAL  by MACK,KAMERON",1
06:06,,21,,28 (+7),"GOOD DUNK by MACK,KAMERON(fastbreak)(in the paint)",WASHUM 21-28 (-7),,"GOOD DUNK by MACK,KAMERON(fastbreak)(in the paint)",1
05:40,"MISS LAYUP by WEATHERFORD,MITCH",,,,,,,"MISS LAYUP by WEATHERFORD,MITCH",1
--,"REBOUND OFF by GIROUX,PRESTON",,,,,,,"REBOUND OFF by GIROUX,PRESTON",1
05:35,,,,,"FOUL  by NESTER,MATT",,,"FOUL  by NESTER,MATT",1
05:35,"GOOD FT by GIROUX,PRESTON",22,,28 (+6),,RHODES 22-28 (-6),,"GOOD FT by GIROUX,PRESTON",1
05:35,"MISS FT by GIROUX,PRESTON",,,,,,,"MISS FT by GIROUX,PRESTON",1
--,,,,,"REBOUND DEF by ARENAS,JONATHAN",,,"REBOUND DEF by ARENAS,JONATHAN",1
05:35,,,,,"SUB IN by RUCKER,DEVAUGHN",,,"SUB IN by RUCKER,DEVAUGHN",1
05:35,,,,,"SUB IN by ARENAS,JONATHAN",,,"SUB IN by ARENAS,JONATHAN",1
05:35,,,,,"SUB IN by WEBB,PAYDEN",,,"SUB IN by WEBB,PAYDEN",1
05:35,,,,,"SUB OUT by MACK,KAMERON",,,"SUB OUT by MACK,KAMERON",1
05:35,,,,,"SUB OUT by HARDY,JUSTIN",,,"SUB OUT by HARDY,JUSTIN",1
05:35,,,,,"SUB OUT by NESTER,MATT",,,"SUB OUT by NESTER,MATT",1
05:34,"SUB IN by ESSICK,JALEN",,,,,,,"SUB IN by ESSICK,JALEN",1
05:34,"SUB OUT by GALVIN,OWEN",,,,,,,"SUB OUT by GALVIN,OWEN",1
05:26,,,,,"MISS 3PTR by RUCKER,DEVAUGHN",,,"MISS 3PTR by RUCKER,DEVAUGHN",1
--,"REBOUND DEF by NESTLEHUTT,JAKE",,,,,,,"REBOUND DEF by NESTLEHUTT,JAKE",1
05:17,"MISS 3PTR by BERRY,BRYCE",,,,,,,"MISS 3PTR by BERRY,BRYCE",1
--,,,,,"REBOUND DEF by RUCKER,DEVAUGHN",,,"REBOUND DEF by RUCKER,DEVAUGHN",1
05:05,,,,,"MISS JUMPER by NOLAN,JACK",,,"MISS JUMPER by NOLAN,JACK",1
--,,,,,"REBOUND OFF by RUCKER,DEVAUGHN",,,"REBOUND OFF by RUCKER,DEVAUGHN",1
05:01,,22,,30 (+8),"GOOD LAYUP by RUCKER,DEVAUGHN(in the paint)",WASHUM 22-30 (-8),,"GOOD LAYUP by RUCKER,DEVAUGHN(in the paint)",1
04:35,"SUB IN by GRUBBS,COBY",,,,,,,"SUB IN by GRUBBS,COBY",1
04:35,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
04:29,"MISS 3PTR by ESSICK,JALEN",,,,,,,"MISS 3PTR by ESSICK,JALEN",1
--,,,,,"REBOUND DEF by NOLAN,JACK",,,"REBOUND DEF by NOLAN,JACK",1
04:15,,22,,32 (+10),"GOOD LAYUP by BLOEDORN,NATE(in the paint)",WASHUM 22-32 (-10),,"GOOD LAYUP by BLOEDORN,NATE(in the paint)",1
04:01,"MISS LAYUP by BERRY,BRYCE",,,,,,,"MISS LAYUP by BERRY,BRYCE",1
--,,,,,"REBOUND DEF by RUCKER,DEVAUGHN",,,"REBOUND DEF by RUCKER,DEVAUGHN",1
03:53,,,,,"MISS 3PTR by WEBB,PAYDEN",,,"MISS 3PTR by WEBB,PAYDEN",1
--,"REBOUND DEF by NESTLEHUTT,JAKE",,,,,,,"REBOUND DEF by NESTLEHUTT,JAKE",1
03:45,"MISS LAYUP by ESSICK,JALEN",,,,,,,"MISS LAYUP by ESSICK,JALEN",1
--,,,,,"REBOUND DEF by BLOEDORN,NATE",,,"REBOUND DEF by BLOEDORN,NATE",1
03:33,,,,,"MISS LAYUP by ARENAS,JONATHAN",,,"MISS LAYUP by ARENAS,JONATHAN",1
03:33,"BLOCK  by ESSICK,JALEN",,,,,,,"BLOCK  by ESSICK,JALEN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
03:30,"SUB IN by WILEY,KOKI",,,,,,,"SUB IN by WILEY,KOKI",1
03:30,"SUB IN by SHEN,KEVIN",,,,,,,"SUB IN by SHEN,KEVIN",1
03:30,"SUB OUT by ESSICK,JALEN",,,,,,,"SUB OUT by ESSICK,JALEN",1
03:30,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
03:30,,,,,"SUB IN by HARDY,JUSTIN",,,"SUB IN by HARDY,JUSTIN",1
03:30,,,,,"SUB OUT by RUCKER,DEVAUGHN",,,"SUB OUT by RUCKER,DEVAUGHN",1
03:06,"MISS 3PTR by WEATHERFORD,MITCH",,,,,,,"MISS 3PTR by WEATHERFORD,MITCH",1
--,,,,,"REBOUND DEF by BLOEDORN,NATE",,,"REBOUND DEF by BLOEDORN,NATE",1
02:49,,22,,34 (+12),"GOOD LAYUP by BLOEDORN,NATE(in the paint)",WASHUM 22-34 (-12),,"GOOD LAYUP by BLOEDORN,NATE(in the paint)",1
--,,,,,"ASSIST  by HARDY,JUSTIN",,,"ASSIST  by HARDY,JUSTIN",1
02:40,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
02:40,,,,,"SUB IN by MACK,KAMERON",,,"SUB IN by MACK,KAMERON",1
02:40,,,,,"SUB OUT by ARENAS,JONATHAN",,,"SUB OUT by ARENAS,JONATHAN",1
02:26,"TURNOVER  by WILEY,KOKI",,,,,,,"TURNOVER  by WILEY,KOKI",1
02:25,,,,,"STEAL  by HARDY,JUSTIN",,,"STEAL  by HARDY,JUSTIN",1
02:25,,,,,"SUB IN by NESTER,MATT",,,"SUB IN by NESTER,MATT",1
02:25,,,,,"SUB OUT by WEBB,PAYDEN",,,"SUB OUT by WEBB,PAYDEN",1
02:10,,22,,37 (+15),"GOOD 3PTR by NESTER,MATT",WASHUM 22-37 (-15),,"GOOD 3PTR by NESTER,MATT",1
--,,,,,"ASSIST  by HARDY,JUSTIN",,,"ASSIST  by HARDY,JUSTIN",1
01:53,"MISS 3PTR by GRUBBS,COBY",,,,,,,"MISS 3PTR by GRUBBS,COBY",1
--,,,,,"REBOUND DEF by NESTER,MATT",,,"REBOUND DEF by NESTER,MATT",1
01:43,,22,,40 (+18),"GOOD 3PTR by NESTER,MATT",WASHUM 22-40 (-18),,"GOOD 3PTR by NESTER,MATT",1
01:26,"MISS 3PTR by JAMES,MAC",,,,,,,"MISS 3PTR by JAMES,MAC",1
--,,,,,"REBOUND DEF by BLOEDORN,NATE",,,"REBOUND DEF by BLOEDORN,NATE",1
01:04,,22,,42 (+20),"GOOD LAYUP by BLOEDORN,NATE(in the paint)",WASHUM 22-42 (-20),,"GOOD LAYUP by BLOEDORN,NATE(in the paint)",1
--,,,,,"ASSIST  by HARDY,JUSTIN",,,"ASSIST  by HARDY,JUSTIN",1
00:40,"GOOD LAYUP by GRUBBS,COBY(in the paint)",24,,42 (+18),,RHODES 24-42 (-18),,"GOOD LAYUP by GRUBBS,COBY(in the paint)",1
--,"ASSIST  by WILEY,KOKI",,,,,,,"ASSIST  by WILEY,KOKI",1
00:40,,,,,"FOUL  by BLOEDORN,NATE",,,"FOUL  by BLOEDORN,NATE",1
00:40,"MISS FT by GRUBBS,COBY",,,,,,,"MISS FT by GRUBBS,COBY",1
--,,,,,"REBOUND DEF by NESTER,MATT",,,"REBOUND DEF by NESTER,MATT",1
00:40,"SUB IN by ESSICK,JALEN",,,,,,,"SUB IN by ESSICK,JALEN",1
00:40,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
00:33,,,,,"MISS 3PTR by NESTER,MATT",,,"MISS 3PTR by NESTER,MATT",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
00:28,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
00:28,"SUB OUT by GRUBBS,COBY",,,,,,,"SUB OUT by GRUBBS,COBY",1
00:28,,,,,"SUB IN by WEBB,PAYDEN",,,"SUB IN by WEBB,PAYDEN",1
00:28,,,,,"SUB OUT by MACK,KAMERON",,,"SUB OUT by MACK,KAMERON",1
00:17,,,,,"MISS JUMPER by HARDY,JUSTIN",,,"MISS JUMPER by HARDY,JUSTIN",1
--,"REBOUND DEF by SHEN,KEVIN",,,,,,,"REBOUND DEF by SHEN,KEVIN",1
00:06,"GOOD LAYUP by WILEY,KOKI(in the paint)",26,,42 (+16),,RHODES 26-42 (-16),,"GOOD LAYUP by WILEY,KOKI(in the paint)",1
19:50,"GOOD JUMPER by GIROUX,PRESTON(in the paint)",28,,42 (+14),,RHODES 28-42 (-14),,"GOOD JUMPER by GIROUX,PRESTON(in the paint)",2
19:48,,28,,44 (+16),"GOOD LAYUP by HARDY,JUSTIN(in the paint)",WASHUM 28-44 (-16),,"GOOD LAYUP by HARDY,JUSTIN(in the paint)",2
--,,,,,"ASSIST  by NOLAN,JACK",,,"ASSIST  by NOLAN,JACK",2
