Time Remaining,UO,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
10:14,,19 (+11),,8,"GOOD LAYUP by PHILLIPS JR,RODNEY(fastbreak)(in the paint)",Mill 19-8 (-11),,"GOOD LAYUP by PHILLIPS JR,RODNEY(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by RUCKER,CAM",,,"ASSIST  by RUCKER,CAM",1
09:49,"FOUL TECH by JACKSON,TYLAN",,,,,,,"FOUL TECH by JACKSON,TYLAN",1
09:49,"TURNOVER  by JACKSON,TYLAN",,,,,,,"TURNOVER  by JACKSON,TYLAN",1
09:49,,19 (+10),,9,"GOOD FT by WATSON,DOUG(fastbreak)",Mill 19-9 (-10),,"GOOD FT by WATSON,DOUG(fastbreak)",1
09:49,,19 (+9),,10,"GOOD FT by WATSON,DOUG(fastbreak)",Mill 19-10 (-9),,"GOOD FT by WATSON,DOUG(fastbreak)",1
09:30,,19 (+7),,12,"GOOD LAYUP by PHILLIPS JR,RODNEY(in the paint)",Mill 19-12 (-7),,"GOOD LAYUP by PHILLIPS JR,RODNEY(in the paint)",1
09:30,"SUB OUT by JACKSON,TYLAN",,,,,,,"SUB OUT by JACKSON,TYLAN",1
09:30,"SUB IN by NIX,GRAYSON",,,,,,,"SUB IN by NIX,GRAYSON",1
09:15,"GOOD LAYUP by NIX,GRAYSON(in the paint)",21 (+9),,12,,UO 21-12 (-9),,"GOOD LAYUP by NIX,GRAYSON(in the paint)",1
08:58,,,,,"MISS LAYUP by WATSON,DOUG(in the paint)",,,"MISS LAYUP by WATSON,DOUG(in the paint)",1
08:58,"BLOCK  by UKPE,JOSH",,,,,,,"BLOCK  by UKPE,JOSH",1
--,"REBOUND DEF by NIX,GRAYSON",,,,,,,"REBOUND DEF by NIX,GRAYSON",1
08:48,"MISS 3PTR by NIX,GRAYSON",,,,,,,"MISS 3PTR by NIX,GRAYSON",1
--,,,,,"REBOUND DEF by WATSON,DOUG",,,"REBOUND DEF by WATSON,DOUG",1
08:42,,,,,"MISS JUMPER by WATSON,DOUG(in the paint)",,,"MISS JUMPER by WATSON,DOUG(in the paint)",1
08:42,"BLOCK  by NIX,GRAYSON",,,,,,,"BLOCK  by NIX,GRAYSON",1
--,,,,,"REBOUND OFF by PHILLIPS JR,RODNEY",,,"REBOUND OFF by PHILLIPS JR,RODNEY",1
08:36,,21 (+7),,14,"GOOD LAYUP by PHILLIPS JR,RODNEY(in the paint)",Mill 21-14 (-7),,"GOOD LAYUP by PHILLIPS JR,RODNEY(in the paint)",1
08:17,,,,,"SUB OUT by RUCKER,CAM",,,"SUB OUT by RUCKER,CAM",1
08:17,,,,,"SUB OUT by URSIN,AARON",,,"SUB OUT by URSIN,AARON",1
08:17,,,,,"SUB OUT by PHILLIPS JR,RODNEY",,,"SUB OUT by PHILLIPS JR,RODNEY",1
08:17,,,,,"SUB IN by BONNECAZE,STEWART",,,"SUB IN by BONNECAZE,STEWART",1
08:17,,,,,"SUB IN by UGHOVWA,NICHOLAS",,,"SUB IN by UGHOVWA,NICHOLAS",1
08:17,,,,,"SUB IN by GORTON,MACK",,,"SUB IN by GORTON,MACK",1
08:17,"SUB OUT by UKPE,JOSH",,,,,,,"SUB OUT by UKPE,JOSH",1
08:17,"SUB OUT by POWELL,KYRON",,,,,,,"SUB OUT by POWELL,KYRON",1
08:17,"SUB OUT by CHEATER,DILLON",,,,,,,"SUB OUT by CHEATER,DILLON",1
08:17,"SUB IN by ROELKE,KAMREN",,,,,,,"SUB IN by ROELKE,KAMREN",1
08:17,"SUB IN by LOPEZ,ADAM",,,,,,,"SUB IN by LOPEZ,ADAM",1
