Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,Miss,Game Score,Team Indicator,Play,Period
11:34,"SUB OUT by RUCKER,CAM",,,,,,,"SUB OUT by RUCKER,CAM",1
11:34,"SUB OUT by URSIN,AARON",,,,,,,"SUB OUT by URSIN,AARON",1
11:34,"SUB OUT by ROTH,DREW",,,,,,,"SUB OUT by ROTH,DREW",1
11:34,"SUB IN by STEPHEN,SETH",,,,,,,"SUB IN by STEPHEN,SETH",1
11:34,"SUB IN by UGHOVWA,NICHOLAS",,,,,,,"SUB IN by UGHOVWA,NICHOLAS",1
11:34,"SUB IN by BUSH,RODREEKAS",,,,,,,"SUB IN by BUSH,RODREEKAS",1
11:34,"FOUL  by BUSH,RODREEKAS",,,,,,,"FOUL  by BUSH,RODREEKAS",1
11:30,"FOUL  by UGHOVWA,NICHOLAS",,,,,,,"FOUL  by UGHOVWA,NICHOLAS",1
11:30,,,,,"MISS FT by REID,JUSTIN",,,"MISS FT by REID,JUSTIN",1
--,"REBOUND DEF by BUSH,RODREEKAS",,,,,,,"REBOUND DEF by BUSH,RODREEKAS",1
11:18,"TURNOVER  by HOGAN,TJ",,,,,,,"TURNOVER  by HOGAN,TJ",1
11:18,,,,,"STEAL  by THOMPSON,TRADAVIS",,,"STEAL  by THOMPSON,TRADAVIS",1
11:13,,9,,16 (+7),"GOOD LAYUP by THOMPSON,TRADAVIS(fastbreak)(in the paint)",Miss 9-16 (-7),,"GOOD LAYUP by THOMPSON,TRADAVIS(fastbreak)(in the paint)",1
11:01,"TURNOVER  by WATSON,DOUG",,,,,,,"TURNOVER  by WATSON,DOUG",1
11:01,,,,,"STEAL  by THOMPSON,TRADAVIS",,,"STEAL  by THOMPSON,TRADAVIS",1
10:43,"FOUL  by BUSH,RODREEKAS",,,,,,,"FOUL  by BUSH,RODREEKAS",1
10:43,,,,,"SUB OUT by FRANKLIN,JAMES",,,"SUB OUT by FRANKLIN,JAMES",1
10:43,,,,,"SUB OUT by MILLER,MILES",,,"SUB OUT by MILLER,MILES",1
10:43,,,,,"SUB OUT by REID,JUSTIN",,,"SUB OUT by REID,JUSTIN",1
10:43,,,,,"SUB IN by RATLIFF JR. ,ANTHONY",,,"SUB IN by RATLIFF JR. ,ANTHONY",1
10:43,,,,,"SUB IN by CLARK,DARRIUS",,,"SUB IN by CLARK,DARRIUS",1
10:43,,,,,"SUB IN by MCCRARY,BEE",,,"SUB IN by MCCRARY,BEE",1
10:43,"SUB OUT by HOGAN,TJ",,,,,,,"SUB OUT by HOGAN,TJ",1
10:43,"SUB IN by BONNECAZE,STEWART",,,,,,,"SUB IN by BONNECAZE,STEWART",1
10:43,,,,,"MISS FT by THOMPSON,TRADAVIS",,,"MISS FT by THOMPSON,TRADAVIS",1
--,"REBOUND DEF by UGHOVWA,NICHOLAS",,,,,,,"REBOUND DEF by UGHOVWA,NICHOLAS",1
10:38,"TURNOVER  by BUSH,RODREEKAS",,,,,,,"TURNOVER  by BUSH,RODREEKAS",1
10:38,,,,,"STEAL  by MCCRARY,BEE",,,"STEAL  by MCCRARY,BEE",1
10:21,,,,,"MISS JUMPER by MCCRARY,BEE",,,"MISS JUMPER by MCCRARY,BEE",1
--,"REBOUND DEF by WATSON,DOUG",,,,,,,"REBOUND DEF by WATSON,DOUG",1
10:15,"GOOD 3PTR by WATSON,DOUG(fastbreak)",12,,16 (+4),,Mill 12-16 (-4),,"GOOD 3PTR by WATSON,DOUG(fastbreak)",1
09:46,,,,,"SUB OUT by SMITH,GALEN",,,"SUB OUT by SMITH,GALEN",1
09:46,,,,,"SUB OUT by MCCRARY,BEE",,,"SUB OUT by MCCRARY,BEE",1
09:46,,,,,"SUB IN by SMITH,PAUL",,,"SUB IN by SMITH,PAUL",1
09:46,,,,,"SUB IN by BATES III,TREY",,,"SUB IN by BATES III,TREY",1
09:46,"SUB OUT by STEPHEN,SETH",,,,,,,"SUB OUT by STEPHEN,SETH",1
09:46,"SUB OUT by WATSON,DOUG",,,,,,,"SUB OUT by WATSON,DOUG",1
09:46,"SUB IN by RUCKER,CAM",,,,,,,"SUB IN by RUCKER,CAM",1
09:46,"SUB IN by URSIN,AARON",,,,,,,"SUB IN by URSIN,AARON",1
09:44,FOUL TECH by TEAM,,,,,,,FOUL TECH by TEAM,1
09:44,,,,,"MISS FT by BATES III,TREY",,,"MISS FT by BATES III,TREY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
09:44,,12,,17 (+5),"GOOD FT by BATES III,TREY",Miss 12-17 (-5),,"GOOD FT by BATES III,TREY",1
09:31,,12,,20 (+8),"GOOD 3PTR by BATES III,TREY",Miss 12-20 (-8),,"GOOD 3PTR by BATES III,TREY",1
--,,,,,"ASSIST  by THOMPSON,TRADAVIS",,,"ASSIST  by THOMPSON,TRADAVIS",1
09:05,"TURNOVER  by UGHOVWA,NICHOLAS",,,,,,,"TURNOVER  by UGHOVWA,NICHOLAS",1
09:05,,,,,"STEAL  by THOMPSON,TRADAVIS",,,"STEAL  by THOMPSON,TRADAVIS",1
08:53,,12,,23 (+11),"GOOD 3PTR by RATLIFF JR. ,ANTHONY",Miss 12-23 (-11),,"GOOD 3PTR by RATLIFF JR. ,ANTHONY",1
--,,,,,"ASSIST  by BATES III,TREY",,,"ASSIST  by BATES III,TREY",1
08:24,"FOUL  by URSIN,AARON",,,,,,,"FOUL  by URSIN,AARON",1
08:02,,,,,"SUB OUT by THOMPSON,TRADAVIS",,,"SUB OUT by THOMPSON,TRADAVIS",1
08:02,,,,,"SUB OUT by CLARK,DARRIUS",,,"SUB OUT by CLARK,DARRIUS",1
08:02,,,,,"SUB IN by MILLER,MILES",,,"SUB IN by MILLER,MILES",1
08:02,,,,,"SUB IN by JOHNSON,CALVIN",,,"SUB IN by JOHNSON,CALVIN",1
08:02,"SUB OUT by UGHOVWA,NICHOLAS",,,,,,,"SUB OUT by UGHOVWA,NICHOLAS",1
08:02,"SUB IN by PHILLIPS JR,RODNEY",,,,,,,"SUB IN by PHILLIPS JR,RODNEY",1
07:41,,,,,"MISS 3PTR by RATLIFF JR. ,ANTHONY",,,"MISS 3PTR by RATLIFF JR. ,ANTHONY",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
07:35,"FOUL  by URSIN,AARON",,,,,,,"FOUL  by URSIN,AARON",1
07:35,,12,,24 (+12),"GOOD FT by SMITH,PAUL(fastbreak)",Miss 12-24 (-12),,"GOOD FT by SMITH,PAUL(fastbreak)",1
07:35,"SUB OUT by URSIN,AARON",,,,,,,"SUB OUT by URSIN,AARON",1
07:35,"SUB IN by GORTON,MACK",,,,,,,"SUB IN by GORTON,MACK",1
07:35,,,,,"MISS FT by SMITH,PAUL(fastbreak)",,,"MISS FT by SMITH,PAUL(fastbreak)",1
--,"REBOUND DEF by BONNECAZE,STEWART",,,,,,,"REBOUND DEF by BONNECAZE,STEWART",1
07:29,"GOOD 3PTR by BUSH,RODREEKAS",15,,24 (+9),,Mill 15-24 (-9),,"GOOD 3PTR by BUSH,RODREEKAS",1
--,"ASSIST  by RUCKER,CAM",,,,,,,"ASSIST  by RUCKER,CAM",1
07:20,,15,,26 (+11),"GOOD LAYUP by SMITH,PAUL(in the paint)",Miss 15-26 (-11),,"GOOD LAYUP by SMITH,PAUL(in the paint)",1
--,,,,,"ASSIST  by MILLER,MILES",,,"ASSIST  by MILLER,MILES",1
07:03,"MISS 3PTR by RUCKER,CAM",,,,,,,"MISS 3PTR by RUCKER,CAM",1
--,"REBOUND OFF by GORTON,MACK",,,,,,,"REBOUND OFF by GORTON,MACK",1
06:58,"GOOD LAYUP by PHILLIPS JR,RODNEY(in the paint)",17,,26 (+9),,Mill 17-26 (-9),,"GOOD LAYUP by PHILLIPS JR,RODNEY(in the paint)",1
--,"ASSIST  by GORTON,MACK",,,,,,,"ASSIST  by GORTON,MACK",1
06:51,,,,,"MISS LAYUP by SMITH,PAUL(in the paint)",,,"MISS LAYUP by SMITH,PAUL(in the paint)",1
--,,,,,"REBOUND OFF by RATLIFF JR. ,ANTHONY",,,"REBOUND OFF by RATLIFF JR. ,ANTHONY",1
06:44,,17,,28 (+11),"GOOD LAYUP by RATLIFF JR. ,ANTHONY(in the paint)",Miss 17-28 (-11),,"GOOD LAYUP by RATLIFF JR. ,ANTHONY(in the paint)",1
06:31,"MISS 3PTR by BUSH,RODREEKAS",,,,,,,"MISS 3PTR by BUSH,RODREEKAS",1
06:30,,,,,"SUB OUT by JOHNSON,CALVIN",,,"SUB OUT by JOHNSON,CALVIN",1
06:30,,,,,"SUB OUT by SMITH,PAUL",,,"SUB OUT by SMITH,PAUL",1
06:30,,,,,"SUB OUT by RATLIFF JR. ,ANTHONY",,,"SUB OUT by RATLIFF JR. ,ANTHONY",1
06:30,,,,,"SUB OUT by BATES III,TREY",,,"SUB OUT by BATES III,TREY",1
06:30,,,,,"SUB IN by THOMPSON,TRADAVIS",,,"SUB IN by THOMPSON,TRADAVIS",1
06:30,,,,,"SUB IN by WILLIAMS,BLAYTON",,,"SUB IN by WILLIAMS,BLAYTON",1
06:30,,,,,"SUB IN by SMITH,GALEN",,,"SUB IN by SMITH,GALEN",1
06:30,,,,,"SUB IN by REID,JUSTIN",,,"SUB IN by REID,JUSTIN",1
06:30,"SUB OUT by GORTON,MACK",,,,,,,"SUB OUT by GORTON,MACK",1
06:30,"SUB IN by STEPHEN,SETH",,,,,,,"SUB IN by STEPHEN,SETH",1
06:28,"MISS LAYUP by PHILLIPS JR,RODNEY(in the paint)",,,,,,,"MISS LAYUP by PHILLIPS JR,RODNEY(in the paint)",1
--,,,,,"REBOUND DEF by RATLIFF JR. ,ANTHONY",,,"REBOUND DEF by RATLIFF JR. ,ANTHONY",1
--,,,,,"REBOUND DEF by MILLER,MILES",,,"REBOUND DEF by MILLER,MILES",1
06:19,"FOUL  by RUCKER,CAM",,,,,,,"FOUL  by RUCKER,CAM",1
06:19,,,,,"MISS FT by REID,JUSTIN",,,"MISS FT by REID,JUSTIN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:19,,,,,"SUB OUT by MILLER,MILES",,,"SUB OUT by MILLER,MILES",1
06:19,,,,,"SUB IN by MCCRARY,BEE",,,"SUB IN by MCCRARY,BEE",1
06:19,"SUB OUT by PHILLIPS JR,RODNEY",,,,,,,"SUB OUT by PHILLIPS JR,RODNEY",1
06:19,"SUB OUT by STEPHEN,SETH",,,,,,,"SUB OUT by STEPHEN,SETH",1
06:19,"SUB IN by GORTON,MACK",,,,,,,"SUB IN by GORTON,MACK",1
06:19,"SUB IN by ROTH,DREW",,,,,,,"SUB IN by ROTH,DREW",1
06:19,,17,,29 (+12),"GOOD FT by REID,JUSTIN",Miss 17-29 (-12),,"GOOD FT by REID,JUSTIN",1
05:59,"MISS LAYUP by RUCKER,CAM(in the paint)",,,,,,,"MISS LAYUP by RUCKER,CAM(in the paint)",1
--,,,,,"REBOUND DEF by REID,JUSTIN",,,"REBOUND DEF by REID,JUSTIN",1
05:41,"FOUL  by RUCKER,CAM",,,,,,,"FOUL  by RUCKER,CAM",1
05:41,,17,,30 (+13),"GOOD FT by MCCRARY,BEE",Miss 17-30 (-13),,"GOOD FT by MCCRARY,BEE",1
05:41,,,,,"SUB OUT by WILLIAMS,BLAYTON",,,"SUB OUT by WILLIAMS,BLAYTON",1
05:41,,,,,"SUB IN by CLARK,DARRIUS",,,"SUB IN by CLARK,DARRIUS",1
05:41,"SUB OUT by BONNECAZE,STEWART",,,,,,,"SUB OUT by BONNECAZE,STEWART",1
05:41,"SUB IN by GASCA,DAKOTA",,,,,,,"SUB IN by GASCA,DAKOTA",1
05:41,,,,,"MISS FT by MCCRARY,BEE",,,"MISS FT by MCCRARY,BEE",1
--,"REBOUND DEF by GASCA,DAKOTA",,,,,,,"REBOUND DEF by GASCA,DAKOTA",1
05:31,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
05:31,"SUB OUT by RUCKER,CAM",,,,,,,"SUB OUT by RUCKER,CAM",1
05:31,"SUB IN by WATSON,DOUG",,,,,,,"SUB IN by WATSON,DOUG",1
05:22,,17,,32 (+15),"GOOD LAYUP by THOMPSON,TRADAVIS(in the paint)",Miss 17-32 (-15),,"GOOD LAYUP by THOMPSON,TRADAVIS(in the paint)",1
04:51,"MISS JUMPER by WATSON,DOUG",,,,,,,"MISS JUMPER by WATSON,DOUG",1
--,,,,,"REBOUND DEF by MCCRARY,BEE",,,"REBOUND DEF by MCCRARY,BEE",1
04:44,,,,,"MISS 3PTR by THOMPSON,TRADAVIS",,,"MISS 3PTR by THOMPSON,TRADAVIS",1
--,"REBOUND DEF by ROTH,DREW",,,,,,,"REBOUND DEF by ROTH,DREW",1
04:41,,,,,"FOUL  by REID,JUSTIN",,,"FOUL  by REID,JUSTIN",1
04:41,,,,,"SUB OUT by REID,JUSTIN",,,"SUB OUT by REID,JUSTIN",1
04:41,,,,,"SUB IN by RATLIFF JR. ,ANTHONY",,,"SUB IN by RATLIFF JR. ,ANTHONY",1
04:41,"GOOD FT by ROTH,DREW(fastbreak)",18,,32 (+14),,Mill 18-32 (-14),,"GOOD FT by ROTH,DREW(fastbreak)",1
04:41,"GOOD FT by ROTH,DREW(fastbreak)",19,,32 (+13),,Mill 19-32 (-13),,"GOOD FT by ROTH,DREW(fastbreak)",1
04:28,,,,,"TURNOVER  by MCCRARY,BEE",,,"TURNOVER  by MCCRARY,BEE",1
04:28,,,,,"SUB OUT by THOMPSON,TRADAVIS",,,"SUB OUT by THOMPSON,TRADAVIS",1
04:28,,,,,"SUB IN by MILLER,MILES",,,"SUB IN by MILLER,MILES",1
04:15,"TURNOVER  by WATSON,DOUG",,,,,,,"TURNOVER  by WATSON,DOUG",1
04:15,,,,,"STEAL  by MCCRARY,BEE",,,"STEAL  by MCCRARY,BEE",1
04:08,,19,,34 (+15),"GOOD LAYUP by MCCRARY,BEE(fastbreak)(in the paint)",Miss 19-34 (-15),,"GOOD LAYUP by MCCRARY,BEE(fastbreak)(in the paint)",1
04:04,,,,,"SUB OUT by SMITH,GALEN",,,"SUB OUT by SMITH,GALEN",1
04:04,,,,,"SUB IN by SMITH,PAUL",,,"SUB IN by SMITH,PAUL",1
04:04,"SUB OUT by ROTH,DREW",,,,,,,"SUB OUT by ROTH,DREW",1
04:04,"SUB IN by PHILLIPS JR,RODNEY",,,,,,,"SUB IN by PHILLIPS JR,RODNEY",1
03:55,,,,,"SUB OUT by CLARK,DARRIUS",,,"SUB OUT by CLARK,DARRIUS",1
03:55,,,,,"SUB IN by FRANKLIN,JAMES",,,"SUB IN by FRANKLIN,JAMES",1
03:55,,19,,35 (+16),"GOOD FT by SMITH,PAUL",Miss 19-35 (-16),,"GOOD FT by SMITH,PAUL",1
03:55,,19,,36 (+17),"GOOD FT by SMITH,PAUL",Miss 19-36 (-17),,"GOOD FT by SMITH,PAUL",1
03:46,"FOUL  by WATSON,DOUG",,,,,,,"FOUL  by WATSON,DOUG",1
03:46,"TURNOVER  by WATSON,DOUG",,,,,,,"TURNOVER  by WATSON,DOUG",1
03:45,,,,,"FOUL  by FRANKLIN,JAMES",,,"FOUL  by FRANKLIN,JAMES",1
03:44,,,,,"SUB OUT by MILLER,MILES",,,"SUB OUT by MILLER,MILES",1
03:44,,,,,"SUB IN by JOHNSON,CALVIN",,,"SUB IN by JOHNSON,CALVIN",1
03:44,"GOOD FT by BONNECAZE,STEWART",20,,36 (+16),,Mill 20-36 (-16),,"GOOD FT by BONNECAZE,STEWART",1
03:44,"GOOD FT by BONNECAZE,STEWART",21,,36 (+15),,Mill 21-36 (-15),,"GOOD FT by BONNECAZE,STEWART",1
03:41,"SUB OUT by WATSON,DOUG",,,,,,,"SUB OUT by WATSON,DOUG",1
03:41,"SUB IN by BONNECAZE,STEWART",,,,,,,"SUB IN by BONNECAZE,STEWART",1
03:35,"FOUL  by GORTON,MACK",,,,,,,"FOUL  by GORTON,MACK",1
