Time Remaining,PIED,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
19:35,,,,,"FOUL  by BUSH,RODREEKAS",,,"FOUL  by BUSH,RODREEKAS",2
19:35,"GOOD FT by JOLLY,RYAN(fastbreak)",39 (+8),,31,,PIED 39-31 (-8),,"GOOD FT by JOLLY,RYAN(fastbreak)",2
19:19,,39 (+5),,34,"GOOD 3PTR by GASCA,DAKOTA",Mill 39-34 (-5),,"GOOD 3PTR by GASCA,DAKOTA",2
--,,,,,"ASSIST  by URSIN,AARON",,,"ASSIST  by URSIN,AARON",2
19:03,"TURNOVER  by CLEMENTS-OWENS,ORRY",,,,,,,"TURNOVER  by CLEMENTS-OWENS,ORRY",2
18:47,,,,,"MISS LAYUP by PHILLIPS JR,RODNEY(in the paint)",,,"MISS LAYUP by PHILLIPS JR,RODNEY(in the paint)",2
--,"REBOUND DEF by JOLLY,RYAN",,,,,,,"REBOUND DEF by JOLLY,RYAN",2
18:40,"MISS 3PTR by RICHTER,WILL",,,,,,,"MISS 3PTR by RICHTER,WILL",2
18:36,"FOUL  by STIMPSON,ANDREW",,,,,,,"FOUL  by STIMPSON,ANDREW",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
18:28,"FOUL  by CLEMENTS-OWENS,ORRY",,,,,,,"FOUL  by CLEMENTS-OWENS,ORRY",2
18:24,,,,,"TURNOVER  by WATSON,DOUG",,,"TURNOVER  by WATSON,DOUG",2
18:24,"STEAL  by JOLLY,RYAN",,,,,,,"STEAL  by JOLLY,RYAN",2
18:09,"TURNOVER  by BEAGLE,GARRETT",,,,,,,"TURNOVER  by BEAGLE,GARRETT",2
17:48,,,,,"MISS LAYUP by PHILLIPS JR,RODNEY(in the paint)",,,"MISS LAYUP by PHILLIPS JR,RODNEY(in the paint)",2
--,"REBOUND DEF by BEAGLE,GARRETT",,,,,,,"REBOUND DEF by BEAGLE,GARRETT",2
17:36,"MISS 3PTR by CLEMENTS-OWENS,ORRY",,,,,,,"MISS 3PTR by CLEMENTS-OWENS,ORRY",2
--,"REBOUND OFF by JOLLY,RYAN",,,,,,,"REBOUND OFF by JOLLY,RYAN",2
17:20,"MISS LAYUP by JOLLY,RYAN(in the paint)",,,,,,,"MISS LAYUP by JOLLY,RYAN(in the paint)",2
17:20,,,,,"BLOCK  by PHILLIPS JR,RODNEY",,,"BLOCK  by PHILLIPS JR,RODNEY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
17:20,,,,,"SUB OUT by PHILLIPS JR,RODNEY",,,"SUB OUT by PHILLIPS JR,RODNEY",2
17:20,,,,,"SUB IN by UGHOVWA,NICHOLAS",,,"SUB IN by UGHOVWA,NICHOLAS",2
17:20,"MISS LAYUP by RICHTER,WILL(in the paint)",,,,,,,"MISS LAYUP by RICHTER,WILL(in the paint)",2
--,"REBOUND OFF by STIMPSON,ANDREW",,,,,,,"REBOUND OFF by STIMPSON,ANDREW",2
17:20,"MISS LAYUP by STIMPSON,ANDREW(in the paint)",,,,,,,"MISS LAYUP by STIMPSON,ANDREW(in the paint)",2
17:20,,,,,"BLOCK  by URSIN,AARON",,,"BLOCK  by URSIN,AARON",2
--,,,,,"REBOUND DEF by URSIN,AARON",,,"REBOUND DEF by URSIN,AARON",2
17:20,,39 (+2),,37,"GOOD 3PTR by WATSON,DOUG",Mill 39-37 (-2),,"GOOD 3PTR by WATSON,DOUG",2
--,,,,,"ASSIST  by GASCA,DAKOTA",,,"ASSIST  by GASCA,DAKOTA",2
17:04,"MISS LAYUP by CLEMENTS-OWENS,ORRY(in the paint)",,,,,,,"MISS LAYUP by CLEMENTS-OWENS,ORRY(in the paint)",2
17:04,,,,,"BLOCK  by URSIN,AARON",,,"BLOCK  by URSIN,AARON",2
--,,,,,"REBOUND DEF by GASCA,DAKOTA",,,"REBOUND DEF by GASCA,DAKOTA",2
16:44,,,,,"MISS 3PTR by WATSON,DOUG",,,"MISS 3PTR by WATSON,DOUG",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
16:26,"SUB OUT by CLEMENTS-OWENS,ORRY",,,,,,,"SUB OUT by CLEMENTS-OWENS,ORRY",2
16:26,"SUB OUT by RICHTER,WILL",,,,,,,"SUB OUT by RICHTER,WILL",2
16:26,"SUB IN by REARDON,NOAH",,,,,,,"SUB IN by REARDON,NOAH",2
16:26,"SUB IN by NORMAN,HUNTER",,,,,,,"SUB IN by NORMAN,HUNTER",2
16:26,"GOOD 3PTR by NORMAN,HUNTER",42 (+5),,37,,PIED 42-37 (-5),,"GOOD 3PTR by NORMAN,HUNTER",2
--,"ASSIST  by STIMPSON,ANDREW",,,,,,,"ASSIST  by STIMPSON,ANDREW",2
16:26,,,,,"SUB OUT by GASCA,DAKOTA",,,"SUB OUT by GASCA,DAKOTA",2
16:26,,,,,"SUB IN by RUCKER,CAM",,,"SUB IN by RUCKER,CAM",2
16:21,,,,,"MISS 3PTR by WATSON,DOUG",,,"MISS 3PTR by WATSON,DOUG",2
--,"REBOUND DEF by BEAGLE,GARRETT",,,,,,,"REBOUND DEF by BEAGLE,GARRETT",2
16:11,"GOOD 3PTR by STIMPSON,ANDREW",45 (+8),,37,,PIED 45-37 (-8),,"GOOD 3PTR by STIMPSON,ANDREW",2
--,"ASSIST  by JOLLY,RYAN",,,,,,,"ASSIST  by JOLLY,RYAN",2
15:57,,,,,"TURNOVER  by URSIN,AARON",,,"TURNOVER  by URSIN,AARON",2
15:57,"STEAL  by REARDON,NOAH",,,,,,,"STEAL  by REARDON,NOAH",2
15:39,"TURNOVER  by REARDON,NOAH",,,,,,,"TURNOVER  by REARDON,NOAH",2
15:39,,,,,"STEAL  by WATSON,DOUG",,,"STEAL  by WATSON,DOUG",2
15:28,,45 (+6),,39,"GOOD LAYUP by WATSON,DOUG(fastbreak)(in the paint)",Mill 45-39 (-6),,"GOOD LAYUP by WATSON,DOUG(fastbreak)(in the paint)",2
15:06,"FOUL  by JOLLY,RYAN",,,,,,,"FOUL  by JOLLY,RYAN",2
15:06,,,,,"SUB OUT by UGHOVWA,NICHOLAS",,,"SUB OUT by UGHOVWA,NICHOLAS",2
15:06,,,,,"SUB OUT by BUSH,RODREEKAS",,,"SUB OUT by BUSH,RODREEKAS",2
15:06,,,,,"SUB OUT by URSIN,AARON",,,"SUB OUT by URSIN,AARON",2
15:06,,,,,"SUB IN by STEPHEN,SETH",,,"SUB IN by STEPHEN,SETH",2
15:06,,,,,"SUB IN by HOGAN,TJ",,,"SUB IN by HOGAN,TJ",2
15:06,,,,,"SUB IN by PHILLIPS JR,RODNEY",,,"SUB IN by PHILLIPS JR,RODNEY",2
15:06,,45 (+5),,40,"GOOD FT by WATSON,DOUG",Mill 45-40 (-5),,"GOOD FT by WATSON,DOUG",2
14:47,"GOOD JUMPER by STIMPSON,ANDREW",47 (+7),,40,,PIED 47-40 (-7),,"GOOD JUMPER by STIMPSON,ANDREW",2
--,"ASSIST  by JOLLY,RYAN",,,,,,,"ASSIST  by JOLLY,RYAN",2
14:25,,,,,"MISS LAYUP by PHILLIPS JR,RODNEY(in the paint)",,,"MISS LAYUP by PHILLIPS JR,RODNEY(in the paint)",2
--,,,,,"REBOUND OFF by PHILLIPS JR,RODNEY",,,"REBOUND OFF by PHILLIPS JR,RODNEY",2
14:16,"SUB OUT by BEAGLE,GARRETT",,,,,,,"SUB OUT by BEAGLE,GARRETT",2
14:16,"SUB IN by PALMER,AARON",,,,,,,"SUB IN by PALMER,AARON",2
14:12,,,,,"SUB OUT by PHILLIPS JR,RODNEY",,,"SUB OUT by PHILLIPS JR,RODNEY",2
14:12,,,,,"SUB IN by UGHOVWA,NICHOLAS",,,"SUB IN by UGHOVWA,NICHOLAS",2
14:12,,,,,"MISS 3PTR by RUCKER,CAM",,,"MISS 3PTR by RUCKER,CAM",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
13:53,,,,,"FOUL  by STEPHEN,SETH",,,"FOUL  by STEPHEN,SETH",2
13:53,"MISS FT by PALMER,AARON",,,,,,,"MISS FT by PALMER,AARON",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
13:53,,,,,"SUB OUT by STEPHEN,SETH",,,"SUB OUT by STEPHEN,SETH",2
13:53,,,,,"SUB OUT by WATSON,DOUG",,,"SUB OUT by WATSON,DOUG",2
13:53,,,,,"SUB IN by URSIN,AARON",,,"SUB IN by URSIN,AARON",2
13:53,,,,,"SUB IN by ROTH,DREW",,,"SUB IN by ROTH,DREW",2
13:53,"MISS FT by PALMER,AARON",,,,,,,"MISS FT by PALMER,AARON",2
--,,,,,"REBOUND DEF by HOGAN,TJ",,,"REBOUND DEF by HOGAN,TJ",2
13:42,,,,,"MISS 3PTR by HOGAN,TJ",,,"MISS 3PTR by HOGAN,TJ",2
--,"REBOUND DEF by STIMPSON,ANDREW",,,,,,,"REBOUND DEF by STIMPSON,ANDREW",2
13:29,"MISS JUMPER by NORMAN,HUNTER(in the paint)",,,,,,,"MISS JUMPER by NORMAN,HUNTER(in the paint)",2
--,,,,,"REBOUND DEF by URSIN,AARON",,,"REBOUND DEF by URSIN,AARON",2
13:15,,,,,"MISS 3PTR by URSIN,AARON",,,"MISS 3PTR by URSIN,AARON",2
--,"REBOUND DEF by STIMPSON,ANDREW",,,,,,,"REBOUND DEF by STIMPSON,ANDREW",2
12:57,"MISS LAYUP by REARDON,NOAH(in the paint)",,,,,,,"MISS LAYUP by REARDON,NOAH(in the paint)",2
--,,,,,"REBOUND DEF by URSIN,AARON",,,"REBOUND DEF by URSIN,AARON",2
12:46,,47 (+5),,42,"GOOD LAYUP by HOGAN,TJ(in the paint)",Mill 47-42 (-5),,"GOOD LAYUP by HOGAN,TJ(in the paint)",2
12:32,"GOOD JUMPER by NORMAN,HUNTER",49 (+7),,42,,PIED 49-42 (-7),,"GOOD JUMPER by NORMAN,HUNTER",2
12:15,,,,,"FOUL  by URSIN,AARON",,,"FOUL  by URSIN,AARON",2
12:15,,,,,"TURNOVER  by URSIN,AARON",,,"TURNOVER  by URSIN,AARON",2
12:15,"SUB OUT by PALMER,AARON",,,,,,,"SUB OUT by PALMER,AARON",2
12:15,"SUB IN by BEAGLE,GARRETT",,,,,,,"SUB IN by BEAGLE,GARRETT",2
11:58,"MISS 3PTR by NORMAN,HUNTER",,,,,,,"MISS 3PTR by NORMAN,HUNTER",2
--,,,,,"REBOUND DEF by HOGAN,TJ",,,"REBOUND DEF by HOGAN,TJ",2
11:40,,,,,"MISS 3PTR by HOGAN,TJ",,,"MISS 3PTR by HOGAN,TJ",2
--,"REBOUND DEF by NORMAN,HUNTER",,,,,,,"REBOUND DEF by NORMAN,HUNTER",2
11:12,"MISS LAYUP by BEAGLE,GARRETT(in the paint)",,,,,,,"MISS LAYUP by BEAGLE,GARRETT(in the paint)",2
--,"REBOUND OFF by REARDON,NOAH",,,,,,,"REBOUND OFF by REARDON,NOAH",2
11:05,"MISS LAYUP by REARDON,NOAH(in the paint)",,,,,,,"MISS LAYUP by REARDON,NOAH(in the paint)",2
11:05,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:05,,,,,"SUB OUT by RUCKER,CAM",,,"SUB OUT by RUCKER,CAM",2
11:05,,,,,"SUB OUT by HOGAN,TJ",,,"SUB OUT by HOGAN,TJ",2
11:05,,,,,"SUB IN by WATSON,DOUG",,,"SUB IN by WATSON,DOUG",2
11:05,,,,,"SUB IN by GASCA,DAKOTA",,,"SUB IN by GASCA,DAKOTA",2
11:05,"SUB OUT by NORMAN,HUNTER",,,,,,,"SUB OUT by NORMAN,HUNTER",2
11:05,"SUB IN by RICHTER,WILL",,,,,,,"SUB IN by RICHTER,WILL",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
10:46,,,,,"TURNOVER  by GASCA,DAKOTA",,,"TURNOVER  by GASCA,DAKOTA",2
10:46,"STEAL  by BEAGLE,GARRETT",,,,,,,"STEAL  by BEAGLE,GARRETT",2
10:31,"MISS 3PTR by RICHTER,WILL",,,,,,,"MISS 3PTR by RICHTER,WILL",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
10:21,,49 (+5),,44,"GOOD JUMPER by GASCA,DAKOTA(in the paint)",Mill 49-44 (-5),,"GOOD JUMPER by GASCA,DAKOTA(in the paint)",2
09:54,"MISS JUMPER by JOLLY,RYAN",,,,,,,"MISS JUMPER by JOLLY,RYAN",2
--,,,,,"REBOUND DEF by WATSON,DOUG",,,"REBOUND DEF by WATSON,DOUG",2
09:48,"FOUL  by RICHTER,WILL",,,,,,,"FOUL  by RICHTER,WILL",2
09:48,,49 (+4),,45,"GOOD FT by WATSON,DOUG(fastbreak)",Mill 49-45 (-4),,"GOOD FT by WATSON,DOUG(fastbreak)",2
09:48,,,,,"SUB OUT by UGHOVWA,NICHOLAS",,,"SUB OUT by UGHOVWA,NICHOLAS",2
09:48,,,,,"SUB IN by BUSH,RODREEKAS",,,"SUB IN by BUSH,RODREEKAS",2
09:48,"SUB OUT by REARDON,NOAH",,,,,,,"SUB OUT by REARDON,NOAH",2
09:48,"SUB OUT by STIMPSON,ANDREW",,,,,,,"SUB OUT by STIMPSON,ANDREW",2
09:48,"SUB IN by CLEMENTS-OWENS,ORRY",,,,,,,"SUB IN by CLEMENTS-OWENS,ORRY",2
09:48,"SUB IN by DEAN,DEVIN",,,,,,,"SUB IN by DEAN,DEVIN",2
09:48,,49 (+3),,46,"GOOD FT by WATSON,DOUG(fastbreak)",Mill 49-46 (-3),,"GOOD FT by WATSON,DOUG(fastbreak)",2
09:28,"MISS LAYUP by JOLLY,RYAN(in the paint)",,,,,,,"MISS LAYUP by JOLLY,RYAN(in the paint)",2
--,,,,,"REBOUND DEF by URSIN,AARON",,,"REBOUND DEF by URSIN,AARON",2
09:12,,49,,49,"GOOD 3PTR by GASCA,DAKOTA",Mill 49-49 (0),,"GOOD 3PTR by GASCA,DAKOTA",2
--,,,,,"ASSIST  by ROTH,DREW",,,"ASSIST  by ROTH,DREW",2
08:55,"GOOD LAYUP by BEAGLE,GARRETT(in the paint)",51 (+2),,49,,PIED 51-49 (-2),,"GOOD LAYUP by BEAGLE,GARRETT(in the paint)",2
--,"ASSIST  by JOLLY,RYAN",,,,,,,"ASSIST  by JOLLY,RYAN",2
08:38,,,,,"TURNOVER  by BUSH,RODREEKAS",,,"TURNOVER  by BUSH,RODREEKAS",2
08:38,"STEAL  by DEAN,DEVIN",,,,,,,"STEAL  by DEAN,DEVIN",2
08:29,"GOOD 3PTR by JOLLY,RYAN",54 (+5),,49,,PIED 54-49 (-5),,"GOOD 3PTR by JOLLY,RYAN",2
08:00,"FOUL  by BEAGLE,GARRETT",,,,,,,"FOUL  by BEAGLE,GARRETT",2
08:00,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
08:00,,,,,"SUB OUT by ROTH,DREW",,,"SUB OUT by ROTH,DREW",2
08:00,,,,,"SUB IN by HOGAN,TJ",,,"SUB IN by HOGAN,TJ",2
08:00,,,,,"MISS FT by URSIN,AARON",,,"MISS FT by URSIN,AARON",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
08:00,,54 (+4),,50,"GOOD FT by URSIN,AARON",Mill 54-50 (-4),,"GOOD FT by URSIN,AARON",2
08:00,,,,,"SUB OUT by URSIN,AARON",,,"SUB OUT by URSIN,AARON",2
08:00,,,,,"SUB IN by GORTON,MACK",,,"SUB IN by GORTON,MACK",2
07:40,"MISS LAYUP by BEAGLE,GARRETT(in the paint)",,,,,,,"MISS LAYUP by BEAGLE,GARRETT(in the paint)",2
--,,,,,"REBOUND DEF by BUSH,RODREEKAS",,,"REBOUND DEF by BUSH,RODREEKAS",2
07:26,,,,,"MISS 3PTR by GASCA,DAKOTA",,,"MISS 3PTR by GASCA,DAKOTA",2
--,"REBOUND DEF by DEAN,DEVIN",,,,,,,"REBOUND DEF by DEAN,DEVIN",2
07:01,"TURNOVER  by BEAGLE,GARRETT",,,,,,,"TURNOVER  by BEAGLE,GARRETT",2
06:51,,,,,"TURNOVER  by GASCA,DAKOTA",,,"TURNOVER  by GASCA,DAKOTA",2
06:51,"STEAL  by BEAGLE,GARRETT",,,,,,,"STEAL  by BEAGLE,GARRETT",2
06:41,"MISS 3PTR by RICHTER,WILL",,,,,,,"MISS 3PTR by RICHTER,WILL",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
06:40,"TURNOVER  by JOLLY,RYAN",,,,,,,"TURNOVER  by JOLLY,RYAN",2
06:22,,54 (+1),,53,"GOOD 3PTR by HOGAN,TJ",Mill 54-53 (-1),,"GOOD 3PTR by HOGAN,TJ",2
--,,,,,"ASSIST  by WATSON,DOUG",,,"ASSIST  by WATSON,DOUG",2
06:20,"FOUL  by CLEMENTS-OWENS,ORRY",,,,,,,"FOUL  by CLEMENTS-OWENS,ORRY",2
06:20,,54,,54,"GOOD FT by HOGAN,TJ",Mill 54-54 (0),,"GOOD FT by HOGAN,TJ",2
06:05,"MISS LAYUP by RICHTER,WILL(in the paint)",,,,,,,"MISS LAYUP by RICHTER,WILL(in the paint)",2
--,,,,,"REBOUND DEF by HOGAN,TJ",,,"REBOUND DEF by HOGAN,TJ",2
05:59,"FOUL  by DEAN,DEVIN",,,,,,,"FOUL  by DEAN,DEVIN",2
05:59,"SUB OUT by CLEMENTS-OWENS,ORRY",,,,,,,"SUB OUT by CLEMENTS-OWENS,ORRY",2
05:59,"SUB OUT by RICHTER,WILL",,,,,,,"SUB OUT by RICHTER,WILL",2
05:59,"SUB OUT by DEAN,DEVIN",,,,,,,"SUB OUT by DEAN,DEVIN",2
05:59,"SUB IN by REARDON,NOAH",,,,,,,"SUB IN by REARDON,NOAH",2
05:59,"SUB IN by NORMAN,HUNTER",,,,,,,"SUB IN by NORMAN,HUNTER",2
05:59,"SUB IN by STIMPSON,ANDREW",,,,,,,"SUB IN by STIMPSON,ANDREW",2
05:59,,54,,55 (+1),"GOOD FT by WATSON,DOUG(fastbreak)",Mill 54-55 (+1),,"GOOD FT by WATSON,DOUG(fastbreak)",2
05:59,,54,,56 (+2),"GOOD FT by WATSON,DOUG(fastbreak)",Mill 54-56 (+2),,"GOOD FT by WATSON,DOUG(fastbreak)",2
05:42,"GOOD LAYUP by NORMAN,HUNTER(in the paint)",56,,56,,PIED 56-56 (0),,"GOOD LAYUP by NORMAN,HUNTER(in the paint)",2
05:21,,,,,"MISS 3PTR by HOGAN,TJ",,,"MISS 3PTR by HOGAN,TJ",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
05:20,,,,,"SUB OUT by GORTON,MACK",,,"SUB OUT by GORTON,MACK",2
05:20,,,,,"SUB IN by URSIN,AARON",,,"SUB IN by URSIN,AARON",2
04:52,"GOOD LAYUP by BEAGLE,GARRETT(in the paint)",58 (+2),,56,,PIED 58-56 (-2),,"GOOD LAYUP by BEAGLE,GARRETT(in the paint)",2
04:37,,,,,"MISS LAYUP by URSIN,AARON(in the paint)",,,"MISS LAYUP by URSIN,AARON(in the paint)",2
--,"REBOUND DEF by JOLLY,RYAN",,,,,,,"REBOUND DEF by JOLLY,RYAN",2
04:15,"GOOD LAYUP by BEAGLE,GARRETT(in the paint)",60 (+4),,56,,PIED 60-56 (-4),,"GOOD LAYUP by BEAGLE,GARRETT(in the paint)",2
03:54,,,,,"FOUL  by GASCA,DAKOTA",,,"FOUL  by GASCA,DAKOTA",2
03:54,,,,,"TURNOVER  by GASCA,DAKOTA",,,"TURNOVER  by GASCA,DAKOTA",2
03:54,,,,,"SUB OUT by GASCA,DAKOTA",,,"SUB OUT by GASCA,DAKOTA",2
03:54,,,,,"SUB IN by RUCKER,CAM",,,"SUB IN by RUCKER,CAM",2
03:54,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
03:33,"MISS LAYUP by BEAGLE,GARRETT(in the paint)",,,,,,,"MISS LAYUP by BEAGLE,GARRETT(in the paint)",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
03:08,,,,,"MISS 3PTR by HOGAN,TJ",,,"MISS 3PTR by HOGAN,TJ",2
--,"REBOUND DEF by BEAGLE,GARRETT",,,,,,,"REBOUND DEF by BEAGLE,GARRETT",2
02:48,"GOOD LAYUP by STIMPSON,ANDREW(in the paint)",62 (+6),,56,,PIED 62-56 (-6),,"GOOD LAYUP by STIMPSON,ANDREW(in the paint)",2
--,"ASSIST  by JOLLY,RYAN",,,,,,,"ASSIST  by JOLLY,RYAN",2
02:35,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:35,,,,,"SUB OUT by HOGAN,TJ",,,"SUB OUT by HOGAN,TJ",2
02:35,,,,,"SUB IN by PHILLIPS JR,RODNEY",,,"SUB IN by PHILLIPS JR,RODNEY",2
02:21,,,,,"TURNOVER  by BUSH,RODREEKAS",,,"TURNOVER  by BUSH,RODREEKAS",2
02:21,"STEAL  by REARDON,NOAH",,,,,,,"STEAL  by REARDON,NOAH",2
02:21,,,,,"FOUL  by URSIN,AARON",,,"FOUL  by URSIN,AARON",2
02:21,"MISS FT by REARDON,NOAH(fastbreak)",,,,,,,"MISS FT by REARDON,NOAH(fastbreak)",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
02:21,,,,,"SUB OUT by BUSH,RODREEKAS",,,"SUB OUT by BUSH,RODREEKAS",2
02:21,,,,,"SUB IN by GASCA,DAKOTA",,,"SUB IN by GASCA,DAKOTA",2
02:21,"GOOD FT by REARDON,NOAH(fastbreak)",63 (+7),,56,,PIED 63-56 (-7),,"GOOD FT by REARDON,NOAH(fastbreak)",2
02:07,,63 (+4),,59,"GOOD 3PTR by RUCKER,CAM",Mill 63-59 (-4),,"GOOD 3PTR by RUCKER,CAM",2
--,,,,,"ASSIST  by WATSON,DOUG",,,"ASSIST  by WATSON,DOUG",2
02:06,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
02:06,,,,,"SUB OUT by GASCA,DAKOTA",,,"SUB OUT by GASCA,DAKOTA",2
02:06,,,,,"SUB OUT by PHILLIPS JR,RODNEY",,,"SUB OUT by PHILLIPS JR,RODNEY",2
02:06,,,,,"SUB IN by UGHOVWA,NICHOLAS",,,"SUB IN by UGHOVWA,NICHOLAS",2
02:06,,,,,"SUB IN by BUSH,RODREEKAS",,,"SUB IN by BUSH,RODREEKAS",2
01:50,"MISS JUMPER by NORMAN,HUNTER",,,,,,,"MISS JUMPER by NORMAN,HUNTER",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
01:47,"FOUL  by BEAGLE,GARRETT",,,,,,,"FOUL  by BEAGLE,GARRETT",2
01:47,,63 (+3),,60,"GOOD FT by URSIN,AARON",Mill 63-60 (-3),,"GOOD FT by URSIN,AARON",2
01:47,,,,,"MISS FT by URSIN,AARON",,,"MISS FT by URSIN,AARON",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
01:19,"TURNOVER  by NORMAN,HUNTER",,,,,,,"TURNOVER  by NORMAN,HUNTER",2
01:19,,,,,"STEAL  by WATSON,DOUG",,,"STEAL  by WATSON,DOUG",2
01:07,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
01:07,,,,,"SUB OUT by UGHOVWA,NICHOLAS",,,"SUB OUT by UGHOVWA,NICHOLAS",2
01:07,,,,,"SUB IN by PHILLIPS JR,RODNEY",,,"SUB IN by PHILLIPS JR,RODNEY",2
00:56,,,,,"MISS 3PTR by WATSON,DOUG",,,"MISS 3PTR by WATSON,DOUG",2
--,,,,,"REBOUND OFF by PHILLIPS JR,RODNEY",,,"REBOUND OFF by PHILLIPS JR,RODNEY",2
00:50,,,,,"SUB OUT by PHILLIPS JR,RODNEY",,,"SUB OUT by PHILLIPS JR,RODNEY",2
00:50,,,,,"SUB IN by GASCA,DAKOTA",,,"SUB IN by GASCA,DAKOTA",2
00:47,,,,,"MISS 3PTR by WATSON,DOUG",,,"MISS 3PTR by WATSON,DOUG",2
00:44,"FOUL  by STIMPSON,ANDREW",,,,,,,"FOUL  by STIMPSON,ANDREW",2
00:44,,63 (+2),,61,"GOOD FT by URSIN,AARON",Mill 63-61 (-2),,"GOOD FT by URSIN,AARON",2
00:44,,63 (+1),,62,"GOOD FT by URSIN,AARON",Mill 63-62 (-1),,"GOOD FT by URSIN,AARON",2
00:44,,,,,"SUB OUT by GASCA,DAKOTA",,,"SUB OUT by GASCA,DAKOTA",2
00:44,,,,,"SUB OUT by RUCKER,CAM",,,"SUB OUT by RUCKER,CAM",2
00:44,,,,,"SUB IN by UGHOVWA,NICHOLAS",,,"SUB IN by UGHOVWA,NICHOLAS",2
00:44,,,,,"SUB IN by HOGAN,TJ",,,"SUB IN by HOGAN,TJ",2
--,,,,,"REBOUND OFF by RUCKER,CAM",,,"REBOUND OFF by RUCKER,CAM",2
00:28,,,,,"FOUL  by BUSH,RODREEKAS",,,"FOUL  by BUSH,RODREEKAS",2
00:11,"MISS JUMPER by JOLLY,RYAN",,,,,,,"MISS JUMPER by JOLLY,RYAN",2
00:11,,,,,"BLOCK  by URSIN,AARON",,,"BLOCK  by URSIN,AARON",2
--,"REBOUND OFF by JOLLY,RYAN",,,,,,,"REBOUND OFF by JOLLY,RYAN",2
00:04,"MISS 3PTR by REARDON,NOAH",,,,,,,"MISS 3PTR by REARDON,NOAH",2
--,,,,,"REBOUND DEF by HOGAN,TJ",,,"REBOUND DEF by HOGAN,TJ",2
00:04,,,,,"SUB OUT by UGHOVWA,NICHOLAS",,,"SUB OUT by UGHOVWA,NICHOLAS",2
00:04,,,,,"SUB OUT by URSIN,AARON",,,"SUB OUT by URSIN,AARON",2
00:04,,,,,"SUB IN by GASCA,DAKOTA",,,"SUB IN by GASCA,DAKOTA",2
00:04,,,,,"SUB IN by PHILLIPS JR,RODNEY",,,"SUB IN by PHILLIPS JR,RODNEY",2
00:04,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:01,,,,,"MISS JUMPER by WATSON,DOUG",,,"MISS JUMPER by WATSON,DOUG",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
