Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,OGL-M,Game Score,Team Indicator,Play,Period
12:10,,,,,"STEAL  by HARRIS,TREY",,,"STEAL  by HARRIS,TREY",1
12:09,,,,,"TURNOVER  by HARRIS,TREY",,,"TURNOVER  by HARRIS,TREY",1
12:09,"SUB IN by BONNECAZE,STEWART",,,,,,,"SUB IN by BONNECAZE,STEWART",1
12:09,"SUB OUT by WATSON,DOUG",,,,,,,"SUB OUT by WATSON,DOUG",1
11:47,"GOOD JUMPER by GORTON,MACK(in the paint)",14,,15 (+1),,Mill 14-15 (-1),,"GOOD JUMPER by GORTON,MACK(in the paint)",1
--,"ASSIST  by BONNECAZE,STEWART",,,,,,,"ASSIST  by BONNECAZE,STEWART",1
11:33,"FOUL  by GORTON,MACK",,,,,,,"FOUL  by GORTON,MACK",1
11:33,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
11:33,"SUB IN by FORBES,TRACE",,,,,,,"SUB IN by FORBES,TRACE",1
11:33,"SUB IN by HAUPT,KYLE",,,,,,,"SUB IN by HAUPT,KYLE",1
11:33,"SUB OUT by GASCA,DAKOTA",,,,,,,"SUB OUT by GASCA,DAKOTA",1
11:33,"SUB OUT by JR,RODNEY PHILLIPS",,,,,,,"SUB OUT by JR,RODNEY PHILLIPS",1
11:24,"FOUL  by GORTON,MACK",,,,,,,"FOUL  by GORTON,MACK",1
11:24,,14,,16 (+2),"GOOD FT by AWOLEYE,JONATHAN",OGL-M 14-16 (-2),,"GOOD FT by AWOLEYE,JONATHAN",1
11:24,,,,,"MISS FT by AWOLEYE,JONATHAN",,,"MISS FT by AWOLEYE,JONATHAN",1
--,,,,,"REBOUND OFF by HARRIS,TREY",,,"REBOUND OFF by HARRIS,TREY",1
11:23,,,,,"MISS LAYUP by HARRIS,TREY",,,"MISS LAYUP by HARRIS,TREY",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
11:05,"MISS 3PTR by GASCA,DAKOTA",,,,,,,"MISS 3PTR by GASCA,DAKOTA",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
11:00,"SUB IN by STEPHEN,SETH",,,,,,,"SUB IN by STEPHEN,SETH",1
11:00,"SUB IN by WATSON,DOUG",,,,,,,"SUB IN by WATSON,DOUG",1
11:00,"SUB OUT by GORTON,MACK",,,,,,,"SUB OUT by GORTON,MACK",1
11:00,"SUB OUT by HAUPT,KYLE",,,,,,,"SUB OUT by HAUPT,KYLE",1
10:44,,,,,"TURNOVER  by REISMAN,ROBERT",,,"TURNOVER  by REISMAN,ROBERT",1
10:43,"STEAL  by STEPHEN,SETH",,,,,,,"STEAL  by STEPHEN,SETH",1
10:32,"MISS JUMPER by BONNECAZE,STEWART",,,,,,,"MISS JUMPER by BONNECAZE,STEWART",1
--,,,,,"REBOUND DEF by REISMAN,ROBERT",,,"REBOUND DEF by REISMAN,ROBERT",1
10:28,,,,,"TURNOVER  by REISMAN,ROBERT",,,"TURNOVER  by REISMAN,ROBERT",1
10:27,,,,,"FOUL  by REISMAN,ROBERT",,,"FOUL  by REISMAN,ROBERT",1
10:07,"MISS LAYUP by STEPHEN,SETH",,,,,,,"MISS LAYUP by STEPHEN,SETH",1
--,,,,,"REBOUND DEF by HARRIS,TREY",,,"REBOUND DEF by HARRIS,TREY",1
10:02,,14,,18 (+4),"GOOD LAYUP by DOOLEY,MALACHI(fastbreak)(in the paint)",OGL-M 14-18 (-4),,"GOOD LAYUP by DOOLEY,MALACHI(fastbreak)(in the paint)",1
09:50,"TURNOVER  by LITTLE,JAMES",,,,,,,"TURNOVER  by LITTLE,JAMES",1
09:49,,,,,"STEAL  by HARRIS,TREY",,,"STEAL  by HARRIS,TREY",1
09:46,,14,,20 (+6),"GOOD LAYUP by DOOLEY,MALACHI(fastbreak)(in the paint)",OGL-M 14-20 (-6),,"GOOD LAYUP by DOOLEY,MALACHI(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by HARRIS,TREY",,,"ASSIST  by HARRIS,TREY",1
09:45,"FOUL  by WATSON,DOUG",,,,,,,"FOUL  by WATSON,DOUG",1
09:45,,14,,21 (+7),"GOOD FT by DOOLEY,MALACHI",OGL-M 14-21 (-7),,"GOOD FT by DOOLEY,MALACHI",1
09:45,"SUB IN by URSIN,AARON",,,,,,,"SUB IN by URSIN,AARON",1
09:45,"SUB OUT by STEPHEN,SETH",,,,,,,"SUB OUT by STEPHEN,SETH",1
09:36,"TURNOVER  by FORBES,TRACE",,,,,,,"TURNOVER  by FORBES,TRACE",1
09:35,,,,,"STEAL  by REISMAN,ROBERT",,,"STEAL  by REISMAN,ROBERT",1
09:26,,14,,23 (+9),"GOOD DUNK by AWOLEYE,JONATHAN(in the paint)",OGL-M 14-23 (-9),,"GOOD DUNK by AWOLEYE,JONATHAN(in the paint)",1
--,,,,,"ASSIST  by HARRIS,TREY",,,"ASSIST  by HARRIS,TREY",1
09:14,"SUB IN by ROTH,DREW",,,,,,,"SUB IN by ROTH,DREW",1
09:14,"SUB OUT by FORBES,TRACE",,,,,,,"SUB OUT by FORBES,TRACE",1
09:08,"MISS 3PTR by LITTLE,JAMES",,,,,,,"MISS 3PTR by LITTLE,JAMES",1
--,,,,,"REBOUND DEF by REISMAN,ROBERT",,,"REBOUND DEF by REISMAN,ROBERT",1
08:58,,14,,26 (+12),"GOOD 3PTR by DOOLEY,MALACHI",OGL-M 14-26 (-12),,"GOOD 3PTR by DOOLEY,MALACHI",1
--,,,,,"ASSIST  by REISMAN,ROBERT",,,"ASSIST  by REISMAN,ROBERT",1
08:44,"MISS LAYUP by URSIN,AARON",,,,,,,"MISS LAYUP by URSIN,AARON",1
--,"REBOUND OFF by BONNECAZE,STEWART",,,,,,,"REBOUND OFF by BONNECAZE,STEWART",1
08:40,"GOOD LAYUP by BONNECAZE,STEWART(in the paint)",16,,26 (+10),,Mill 16-26 (-10),,"GOOD LAYUP by BONNECAZE,STEWART(in the paint)",1
08:28,,16,,28 (+12),"GOOD LAYUP by DOOLEY,MALACHI(in the paint)",OGL-M 16-28 (-12),,"GOOD LAYUP by DOOLEY,MALACHI(in the paint)",1
08:19,"GOOD JUMPER by URSIN,AARON(in the paint)",18,,28 (+10),,Mill 18-28 (-10),,"GOOD JUMPER by URSIN,AARON(in the paint)",1
--,"ASSIST  by WATSON,DOUG",,,,,,,"ASSIST  by WATSON,DOUG",1
08:07,,18,,31 (+13),"GOOD 3PTR by KEMP,MASON",OGL-M 18-31 (-13),,"GOOD 3PTR by KEMP,MASON",1
--,,,,,"ASSIST  by HARRIS,TREY",,,"ASSIST  by HARRIS,TREY",1
07:56,"MISS JUMPER by LITTLE,JAMES",,,,,,,"MISS JUMPER by LITTLE,JAMES",1
--,,,,,"REBOUND DEF by AWOLEYE,JONATHAN",,,"REBOUND DEF by AWOLEYE,JONATHAN",1
07:46,,,,,"TURNOVER  by KEMP,MASON",,,"TURNOVER  by KEMP,MASON",1
07:45,"STEAL  by BONNECAZE,STEWART",,,,,,,"STEAL  by BONNECAZE,STEWART",1
07:37,"MISS LAYUP by BONNECAZE,STEWART",,,,,,,"MISS LAYUP by BONNECAZE,STEWART",1
--,,,,,"REBOUND DEF by AWOLEYE,JONATHAN",,,"REBOUND DEF by AWOLEYE,JONATHAN",1
07:05,,,,,"MISS 3PTR by HARRIS,TREY",,,"MISS 3PTR by HARRIS,TREY",1
--,,,,,"REBOUND OFF by AWOLEYE,JONATHAN",,,"REBOUND OFF by AWOLEYE,JONATHAN",1
07:01,,18,,33 (+15),"GOOD LAYUP by AWOLEYE,JONATHAN(in the paint)",OGL-M 18-33 (-15),,"GOOD LAYUP by AWOLEYE,JONATHAN(in the paint)",1
06:40,"GOOD LAYUP by URSIN,AARON(in the paint)",20,,33 (+13),,Mill 20-33 (-13),,"GOOD LAYUP by URSIN,AARON(in the paint)",1
--,"ASSIST  by LITTLE,JAMES",,,,,,,"ASSIST  by LITTLE,JAMES",1
06:22,,,,,"MISS 3PTR by AWOLEYE,JONATHAN",,,"MISS 3PTR by AWOLEYE,JONATHAN",1
--,"REBOUND DEF by ROTH,DREW",,,,,,,"REBOUND DEF by ROTH,DREW",1
06:12,,,,,"FOUL  by AWOLEYE,JONATHAN",,,"FOUL  by AWOLEYE,JONATHAN",1
06:12,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
06:12,"GOOD FT by BONNECAZE,STEWART",21,,33 (+12),,Mill 21-33 (-12),,"GOOD FT by BONNECAZE,STEWART",1
06:12,"MISS FT by BONNECAZE,STEWART",,,,,,,"MISS FT by BONNECAZE,STEWART",1
--,,,,,"REBOUND DEF by EZIGBO,UBA",,,"REBOUND DEF by EZIGBO,UBA",1
06:12,"SUB IN by BUSH,RODREEKAS",,,,,,,"SUB IN by BUSH,RODREEKAS",1
06:12,"SUB IN by STEPHEN,SETH",,,,,,,"SUB IN by STEPHEN,SETH",1
06:12,"SUB OUT by LITTLE,JAMES",,,,,,,"SUB OUT by LITTLE,JAMES",1
06:12,"SUB OUT by URSIN,AARON",,,,,,,"SUB OUT by URSIN,AARON",1
06:12,,,,,"SUB IN by KEMP,JACKSON",,,"SUB IN by KEMP,JACKSON",1
06:12,,,,,"SUB IN by JAMES,JORDAN",,,"SUB IN by JAMES,JORDAN",1
06:12,,,,,"SUB IN by BENNIFIELD,DYLAN",,,"SUB IN by BENNIFIELD,DYLAN",1
06:12,,,,,"SUB IN by EZIGBO,UBA",,,"SUB IN by EZIGBO,UBA",1
06:12,,,,,"SUB IN by JENEI,RYAN",,,"SUB IN by JENEI,RYAN",1
06:12,,,,,"SUB OUT by AWOLEYE,JONATHAN",,,"SUB OUT by AWOLEYE,JONATHAN",1
06:12,,,,,"SUB OUT by REISMAN,ROBERT",,,"SUB OUT by REISMAN,ROBERT",1
06:12,,,,,"SUB OUT by DOOLEY,MALACHI",,,"SUB OUT by DOOLEY,MALACHI",1
06:12,,,,,"SUB OUT by HARRIS,TREY",,,"SUB OUT by HARRIS,TREY",1
06:12,,,,,"SUB OUT by KEMP,MASON",,,"SUB OUT by KEMP,MASON",1
06:00,,21,,35 (+14),"GOOD JUMPER by EZIGBO,UBA",OGL-M 21-35 (-14),,"GOOD JUMPER by EZIGBO,UBA",1
--,,,,,"ASSIST  by BENNIFIELD,DYLAN",,,"ASSIST  by BENNIFIELD,DYLAN",1
05:43,"MISS 3PTR by WATSON,DOUG",,,,,,,"MISS 3PTR by WATSON,DOUG",1
--,"REBOUND OFF by ROTH,DREW",,,,,,,"REBOUND OFF by ROTH,DREW",1
05:37,"MISS LAYUP by ROTH,DREW",,,,,,,"MISS LAYUP by ROTH,DREW",1
--,"REBOUND OFF by ROTH,DREW",,,,,,,"REBOUND OFF by ROTH,DREW",1
05:31,"SUB IN by GASCA,DAKOTA",,,,,,,"SUB IN by GASCA,DAKOTA",1
05:31,"SUB OUT by BONNECAZE,STEWART",,,,,,,"SUB OUT by BONNECAZE,STEWART",1
05:16,,,,,"FOUL  by JENEI,RYAN",,,"FOUL  by JENEI,RYAN",1
05:16,"MISS FT by ROTH,DREW",,,,,,,"MISS FT by ROTH,DREW",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
05:16,"GOOD FT by ROTH,DREW",22,,35 (+13),,Mill 22-35 (-13),,"GOOD FT by ROTH,DREW",1
05:06,,,,,"MISS 3PTR by EZIGBO,UBA",,,"MISS 3PTR by EZIGBO,UBA",1
--,,,,,"REBOUND OFF by KEMP,JACKSON",,,"REBOUND OFF by KEMP,JACKSON",1
05:00,,,,,"MISS 3PTR by JENEI,RYAN",,,"MISS 3PTR by JENEI,RYAN",1
--,"REBOUND DEF by GASCA,DAKOTA",,,,,,,"REBOUND DEF by GASCA,DAKOTA",1
04:55,,,,,"FOUL  by KEMP,JACKSON",,,"FOUL  by KEMP,JACKSON",1
04:45,"GOOD LAYUP by STEPHEN,SETH(in the paint)",24,,35 (+11),,Mill 24-35 (-11),,"GOOD LAYUP by STEPHEN,SETH(in the paint)",1
--,"ASSIST  by GASCA,DAKOTA",,,,,,,"ASSIST  by GASCA,DAKOTA",1
04:23,,,,,"TURNOVER  by JENEI,RYAN",,,"TURNOVER  by JENEI,RYAN",1
04:22,"STEAL  by ROTH,DREW",,,,,,,"STEAL  by ROTH,DREW",1
04:12,"GOOD LAYUP by GASCA,DAKOTA(in the paint)",26,,35 (+9),,Mill 26-35 (-9),,"GOOD LAYUP by GASCA,DAKOTA(in the paint)",1
04:09,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
04:09,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
03:59,,,,,"FOUL  by BENNIFIELD,DYLAN",,,"FOUL  by BENNIFIELD,DYLAN",1
03:59,,,,,"TURNOVER  by BENNIFIELD,DYLAN",,,"TURNOVER  by BENNIFIELD,DYLAN",1
03:48,"MISS LAYUP by WATSON,DOUG",,,,,,,"MISS LAYUP by WATSON,DOUG",1
--,"REBOUND OFF by STEPHEN,SETH",,,,,,,"REBOUND OFF by STEPHEN,SETH",1
03:43,"MISS LAYUP by STEPHEN,SETH",,,,,,,"MISS LAYUP by STEPHEN,SETH",1
--,"REBOUND OFF by ROTH,DREW",,,,,,,"REBOUND OFF by ROTH,DREW",1
03:41,"MISS LAYUP by ROTH,DREW",,,,,,,"MISS LAYUP by ROTH,DREW",1
03:41,,,,,"BLOCK  by EZIGBO,UBA",,,"BLOCK  by EZIGBO,UBA",1
--,"REBOUND OFF by STEPHEN,SETH",,,,,,,"REBOUND OFF by STEPHEN,SETH",1
03:37,"MISS 3PTR by BUSH,RODREEKAS",,,,,,,"MISS 3PTR by BUSH,RODREEKAS",1
--,,,,,"REBOUND DEF by KEMP,JACKSON",,,"REBOUND DEF by KEMP,JACKSON",1
03:25,"FOUL  by GASCA,DAKOTA",,,,,,,"FOUL  by GASCA,DAKOTA",1
03:25,,26,,36 (+10),"GOOD FT by KEMP,JACKSON",OGL-M 26-36 (-10),,"GOOD FT by KEMP,JACKSON",1
03:25,,26,,37 (+11),"GOOD FT by KEMP,JACKSON",OGL-M 26-37 (-11),,"GOOD FT by KEMP,JACKSON",1
03:03,"TURNOVER  by WATSON,DOUG",,,,,,,"TURNOVER  by WATSON,DOUG",1
03:02,,,,,"STEAL  by JAMES,JORDAN",,,"STEAL  by JAMES,JORDAN",1
02:57,"FOUL  by ROTH,DREW",,,,,,,"FOUL  by ROTH,DREW",1
02:57,,26,,38 (+12),"GOOD FT by JAMES,JORDAN",OGL-M 26-38 (-12),,"GOOD FT by JAMES,JORDAN",1
02:57,,26,,39 (+13),"GOOD FT by JAMES,JORDAN",OGL-M 26-39 (-13),,"GOOD FT by JAMES,JORDAN",1
02:57,"SUB IN by JR,RODNEY PHILLIPS",,,,,,,"SUB IN by JR,RODNEY PHILLIPS",1
02:57,"SUB OUT by WATSON,DOUG",,,,,,,"SUB OUT by WATSON,DOUG",1
02:44,"MISS LAYUP by STEPHEN,SETH",,,,,,,"MISS LAYUP by STEPHEN,SETH",1
--,"REBOUND OFF by JR,RODNEY PHILLIPS",,,,,,,"REBOUND OFF by JR,RODNEY PHILLIPS",1
02:39,"MISS LAYUP by JR,RODNEY PHILLIPS",,,,,,,"MISS LAYUP by JR,RODNEY PHILLIPS",1
--,,,,,"REBOUND DEF by KEMP,JACKSON",,,"REBOUND DEF by KEMP,JACKSON",1
02:31,,,,,"FOUL  by KEMP,JACKSON",,,"FOUL  by KEMP,JACKSON",1
02:31,,,,,"TURNOVER  by KEMP,JACKSON",,,"TURNOVER  by KEMP,JACKSON",1
02:31,"SUB IN by URSIN,AARON",,,,,,,"SUB IN by URSIN,AARON",1
02:31,"SUB OUT by STEPHEN,SETH",,,,,,,"SUB OUT by STEPHEN,SETH",1
02:31,,,,,"SUB IN by KEMP,MASON",,,"SUB IN by KEMP,MASON",1
02:31,,,,,"SUB OUT by KEMP,JACKSON",,,"SUB OUT by KEMP,JACKSON",1
02:14,"TURNOVER  by BUSH,RODREEKAS",,,,,,,"TURNOVER  by BUSH,RODREEKAS",1
02:14,"SUB IN by LITTLE,JAMES",,,,,,,"SUB IN by LITTLE,JAMES",1
02:14,"SUB OUT by ROTH,DREW",,,,,,,"SUB OUT by ROTH,DREW",1
02:03,,,,,"TURNOVER  by EZIGBO,UBA",,,"TURNOVER  by EZIGBO,UBA",1
02:03,"STEAL  by URSIN,AARON",,,,,,,"STEAL  by URSIN,AARON",1
01:58,"GOOD LAYUP by JR,RODNEY PHILLIPS(fastbreak)(in the paint)",28,,39 (+11),,Mill 28-39 (-11),,"GOOD LAYUP by JR,RODNEY PHILLIPS(fastbreak)(in the paint)",1
--,"ASSIST  by GASCA,DAKOTA",,,,,,,"ASSIST  by GASCA,DAKOTA",1
01:47,,28,,42 (+14),"GOOD 3PTR by EZIGBO,UBA",OGL-M 28-42 (-14),,"GOOD 3PTR by EZIGBO,UBA",1
01:26,"TURNOVER  by GASCA,DAKOTA",,,,,,,"TURNOVER  by GASCA,DAKOTA",1
01:25,,,,,"STEAL  by KEMP,MASON",,,"STEAL  by KEMP,MASON",1
01:22,,28,,45 (+17),"GOOD 3PTR by EZIGBO,UBA(fastbreak)",OGL-M 28-45 (-17),,"GOOD 3PTR by EZIGBO,UBA(fastbreak)",1
--,,,,,"ASSIST  by KEMP,MASON",,,"ASSIST  by KEMP,MASON",1
01:16,,,,,"FOUL  by BENNIFIELD,DYLAN",,,"FOUL  by BENNIFIELD,DYLAN",1
01:16,"MISS FT by URSIN,AARON",,,,,,,"MISS FT by URSIN,AARON",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
01:16,"SUB IN by BONNECAZE,STEWART",,,,,,,"SUB IN by BONNECAZE,STEWART",1
01:16,"SUB OUT by GASCA,DAKOTA",,,,,,,"SUB OUT by GASCA,DAKOTA",1
01:16,,,,,"SUB IN by DOOLEY,MALACHI",,,"SUB IN by DOOLEY,MALACHI",1
01:16,,,,,"SUB OUT by BENNIFIELD,DYLAN",,,"SUB OUT by BENNIFIELD,DYLAN",1
01:15,"SUB IN by WATSON,DOUG",,,,,,,"SUB IN by WATSON,DOUG",1
01:15,"SUB OUT by JR,RODNEY PHILLIPS",,,,,,,"SUB OUT by JR,RODNEY PHILLIPS",1
01:11,"MISS 3PTR by LITTLE,JAMES",,,,,,,"MISS 3PTR by LITTLE,JAMES",1
