Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,Whitm,Game Score,Team Indicator,Play,Period
15:38,"SUB IN by GASCA,DAKOTA",,,,,,,"SUB IN by GASCA,DAKOTA",1
15:38,,,,,"MISS LAYUP by CLINE,JANDER(in the paint)",,,"MISS LAYUP by CLINE,JANDER(in the paint)",1
--,,,,,"REBOUND OFF by CLINE,JANDER",,,"REBOUND OFF by CLINE,JANDER",1
15:26,,,,,"MISS LAYUP by CLINE,JANDER(in the paint)",,,"MISS LAYUP by CLINE,JANDER(in the paint)",1
--,"REBOUND DEF by LITTLE ,JAMES",,,,,,,"REBOUND DEF by LITTLE ,JAMES",1
15:23,"TURNOVER  by LITTLE ,JAMES",,,,,,,"TURNOVER  by LITTLE ,JAMES",1
15:23,"SUB OUT by URSIN,AARON",,,,,,,"SUB OUT by URSIN,AARON",1
15:23,"SUB IN by GORTON,MACK",,,,,,,"SUB IN by GORTON,MACK",1
15:16,,,,,"MISS 3PTR by TRIFUNOVIC,NIKOLA",,,"MISS 3PTR by TRIFUNOVIC,NIKOLA",1
--,"REBOUND DEF by LITTLE ,JAMES",,,,,,,"REBOUND DEF by LITTLE ,JAMES",1
15:07,"MISS 3PTR by LITTLE ,JAMES",,,,,,,"MISS 3PTR by LITTLE ,JAMES",1
--,,,,,"REBOUND DEF by CLINE,JANDER",,,"REBOUND DEF by CLINE,JANDER",1
14:59,,,,,"MISS 3PTR by LINO,XZAVIER",,,"MISS 3PTR by LINO,XZAVIER",1
--,"REBOUND DEF by LITTLE ,JAMES",,,,,,,"REBOUND DEF by LITTLE ,JAMES",1
14:46,"MISS JUMPER by LITTLE ,JAMES(in the paint)",,,,,,,"MISS JUMPER by LITTLE ,JAMES(in the paint)",1
--,,,,,"REBOUND DEF by LUM,WALTER",,,"REBOUND DEF by LUM,WALTER",1
14:28,,,,,"MISS 3PTR by LINO,XZAVIER",,,"MISS 3PTR by LINO,XZAVIER",1
--,,,,,"REBOUND OFF by TRIFUNOVIC,NIKOLA",,,"REBOUND OFF by TRIFUNOVIC,NIKOLA",1
14:25,"SUB OUT by ROTH,DREW",,,,,,,"SUB OUT by ROTH,DREW",1
14:25,"SUB IN by PHILLIPS JR,RODNEY",,,,,,,"SUB IN by PHILLIPS JR,RODNEY",1
14:25,,,,,"SUB OUT by LINO,XZAVIER",,,"SUB OUT by LINO,XZAVIER",1
14:25,,,,,"SUB IN by VON BUCHWALDT,AIDAN",,,"SUB IN by VON BUCHWALDT,AIDAN",1
14:21,,3,,14 (+11),"GOOD LAYUP by LUM,WALTER(in the paint)",Whitm 3-14 (-11),,"GOOD LAYUP by LUM,WALTER(in the paint)",1
14:21,"MISS JUMPER by PHILLIPS JR,RODNEY(in the paint)",,,,,,,"MISS JUMPER by PHILLIPS JR,RODNEY(in the paint)",1
--,,,,,"REBOUND DEF by CLINE,JANDER",,,"REBOUND DEF by CLINE,JANDER",1
14:20,"TURNOVER  by GASCA,DAKOTA",,,,,,,"TURNOVER  by GASCA,DAKOTA",1
14:20,,,,,"SUB OUT by LUM,WALTER",,,"SUB OUT by LUM,WALTER",1
14:20,,,,,"SUB IN by PAPE,ALEX",,,"SUB IN by PAPE,ALEX",1
14:19,,,,,"MISS 3PTR by DESHPANDE,JAI",,,"MISS 3PTR by DESHPANDE,JAI",1
--,,,,,"REBOUND OFF by PAPE,ALEX",,,"REBOUND OFF by PAPE,ALEX",1
14:18,,3,,16 (+13),"GOOD JUMPER by PAPE,ALEX(in the paint)",Whitm 3-16 (-13),,"GOOD JUMPER by PAPE,ALEX(in the paint)",1
14:17,"MISS JUMPER by LITTLE ,JAMES(in the paint)",,,,,,,"MISS JUMPER by LITTLE ,JAMES(in the paint)",1
--,,,,,"REBOUND DEF by VON BUCHWALDT,AIDAN",,,"REBOUND DEF by VON BUCHWALDT,AIDAN",1
14:16,,,,,"MISS 3PTR by PAPE,ALEX",,,"MISS 3PTR by PAPE,ALEX",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
14:16,,,,,"SUB OUT by CLINE,JANDER",,,"SUB OUT by CLINE,JANDER",1
14:16,,,,,"SUB IN by CAFFO,MURPHY",,,"SUB IN by CAFFO,MURPHY",1
14:16,"SUB OUT by HOGAN,TJ",,,,,,,"SUB OUT by HOGAN,TJ",1
14:16,"SUB IN by FORBES,TRACE",,,,,,,"SUB IN by FORBES,TRACE",1
12:53,"TURNOVER  by GORTON,MACK",,,,,,,"TURNOVER  by GORTON,MACK",1
12:53,,,,,"STEAL  by DESHPANDE,JAI",,,"STEAL  by DESHPANDE,JAI",1
12:46,,3,,18 (+15),"GOOD LAYUP by DESHPANDE,JAI(fastbreak)(in the paint)",Whitm 3-18 (-15),,"GOOD LAYUP by DESHPANDE,JAI(fastbreak)(in the paint)",1
12:40,,,,,"FOUL  by DESHPANDE,JAI",,,"FOUL  by DESHPANDE,JAI",1
12:35,"FOUL  by PHILLIPS JR,RODNEY",,,,,,,"FOUL  by PHILLIPS JR,RODNEY",1
12:35,"TURNOVER  by PHILLIPS JR,RODNEY",,,,,,,"TURNOVER  by PHILLIPS JR,RODNEY",1
12:33,"SUB OUT by PHILLIPS JR,RODNEY",,,,,,,"SUB OUT by PHILLIPS JR,RODNEY",1
12:33,"SUB IN by ROTH,DREW",,,,,,,"SUB IN by ROTH,DREW",1
12:26,,3,,20 (+17),"GOOD LAYUP by CAFFO,MURPHY(in the paint)",Whitm 3-20 (-17),,"GOOD LAYUP by CAFFO,MURPHY(in the paint)",1
12:10,"MISS JUMPER by LITTLE ,JAMES(in the paint)",,,,,,,"MISS JUMPER by LITTLE ,JAMES(in the paint)",1
--,,,,,"REBOUND DEF by CAFFO,MURPHY",,,"REBOUND DEF by CAFFO,MURPHY",1
11:57,,,,,"TURNOVER  by VON BUCHWALDT,AIDAN",,,"TURNOVER  by VON BUCHWALDT,AIDAN",1
11:57,"STEAL  by LITTLE ,JAMES",,,,,,,"STEAL  by LITTLE ,JAMES",1
11:53,"GOOD DUNK by LITTLE ,JAMES(fastbreak)(in the paint)",5,,20 (+15),,Mill 5-20 (-15),,"GOOD DUNK by LITTLE ,JAMES(fastbreak)(in the paint)",1
11:53,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
11:53,"SUB OUT by LITTLE ,JAMES",,,,,,,"SUB OUT by LITTLE ,JAMES",1
11:53,"SUB OUT by GORTON,MACK",,,,,,,"SUB OUT by GORTON,MACK",1
11:53,"SUB IN by WATSON,DOUG",,,,,,,"SUB IN by WATSON,DOUG",1
11:53,"SUB IN by RUCKER,CAM",,,,,,,"SUB IN by RUCKER,CAM",1
11:53,"SUB IN by URSIN,AARON",,,,,,,"SUB IN by URSIN,AARON",1
11:53,"SUB OUT by ROTH,DREW",,,,,,,"SUB OUT by ROTH,DREW",1
11:53,,,,,"SUB OUT by DESHPANDE,JAI",,,"SUB OUT by DESHPANDE,JAI",1
11:53,,,,,"SUB OUT by VON BUCHWALDT,AIDAN",,,"SUB OUT by VON BUCHWALDT,AIDAN",1
11:53,,,,,"SUB OUT by CAFFO,MURPHY",,,"SUB OUT by CAFFO,MURPHY",1
11:53,,,,,"SUB IN by LUM,WALTER",,,"SUB IN by LUM,WALTER",1
11:53,,,,,"SUB IN by HUNT,GRANT",,,"SUB IN by HUNT,GRANT",1
11:53,,,,,"SUB IN by LINO,XZAVIER",,,"SUB IN by LINO,XZAVIER",1
11:42,,,,,"TURNOVER  by PAPE,ALEX",,,"TURNOVER  by PAPE,ALEX",1
11:42,"STEAL  by RUCKER,CAM",,,,,,,"STEAL  by RUCKER,CAM",1
11:37,"MISS 3PTR by GASCA,DAKOTA",,,,,,,"MISS 3PTR by GASCA,DAKOTA",1
--,"REBOUND OFF by FORBES,TRACE",,,,,,,"REBOUND OFF by FORBES,TRACE",1
11:10,"GOOD LAYUP by URSIN,AARON(in the paint)",7,,20 (+13),,Mill 7-20 (-13),,"GOOD LAYUP by URSIN,AARON(in the paint)",1
11:03,,,,,"TURNOVER  by TRIFUNOVIC,NIKOLA",,,"TURNOVER  by TRIFUNOVIC,NIKOLA",1
11:03,,,,,"SUB OUT by CAFFO,MURPHY",,,"SUB OUT by CAFFO,MURPHY",1
11:03,,,,,"SUB IN by LINO,XZAVIER",,,"SUB IN by LINO,XZAVIER",1
11:03,,,,,"SUB OUT by LINO,XZAVIER",,,"SUB OUT by LINO,XZAVIER",1
11:03,,,,,"SUB IN by CAFFO,MURPHY",,,"SUB IN by CAFFO,MURPHY",1
11:03,,,,,"SUB IN by DESHPANDE,JAI",,,"SUB IN by DESHPANDE,JAI",1
11:03,,,,,"SUB OUT by LUM,WALTER",,,"SUB OUT by LUM,WALTER",1
11:03,,,,,"SUB OUT by HUNT,GRANT",,,"SUB OUT by HUNT,GRANT",1
11:03,,,,,"SUB IN by VON BUCHWALDT,AIDAN",,,"SUB IN by VON BUCHWALDT,AIDAN",1
11:03,,,,,"SUB OUT by VON BUCHWALDT,AIDAN",,,"SUB OUT by VON BUCHWALDT,AIDAN",1
11:03,,,,,"SUB OUT by PAPE,ALEX",,,"SUB OUT by PAPE,ALEX",1
11:03,,,,,"SUB IN by LUM,WALTER",,,"SUB IN by LUM,WALTER",1
11:03,,,,,"SUB IN by HUNT,GRANT",,,"SUB IN by HUNT,GRANT",1
10:53,"MISS 3PTR by FORBES,TRACE",,,,,,,"MISS 3PTR by FORBES,TRACE",1
10:53,,,,,"BLOCK  by DESHPANDE,JAI",,,"BLOCK  by DESHPANDE,JAI",1
--,,,,,"REBOUND DEF by DESHPANDE,JAI",,,"REBOUND DEF by DESHPANDE,JAI",1
10:40,"GOOD 3PTR by GASCA,DAKOTA",10,,20 (+10),,Mill 10-20 (-10),,"GOOD 3PTR by GASCA,DAKOTA",1
10:40,,,,,"MISS 3PTR by DESHPANDE,JAI",,,"MISS 3PTR by DESHPANDE,JAI",1
--,"REBOUND DEF by GASCA,DAKOTA",,,,,,,"REBOUND DEF by GASCA,DAKOTA",1
10:17,,,,,"TURNOVER  by DESHPANDE,JAI",,,"TURNOVER  by DESHPANDE,JAI",1
10:13,,,,,"SUB OUT by TRIFUNOVIC,NIKOLA",,,"SUB OUT by TRIFUNOVIC,NIKOLA",1
10:13,,,,,"SUB IN by EFE ISIK,ALI",,,"SUB IN by EFE ISIK,ALI",1
10:13,"SUB OUT by FORBES,TRACE",,,,,,,"SUB OUT by FORBES,TRACE",1
10:13,"SUB IN by ROTH,DREW",,,,,,,"SUB IN by ROTH,DREW",1
09:51,"TURNOVER  by GASCA,DAKOTA",,,,,,,"TURNOVER  by GASCA,DAKOTA",1
09:31,,,,,"TURNOVER  by LUM,WALTER",,,"TURNOVER  by LUM,WALTER",1
09:04,,,,,"FOUL  by LUM,WALTER",,,"FOUL  by LUM,WALTER",1
09:04,,,,,"SUB OUT by DESHPANDE,JAI",,,"SUB OUT by DESHPANDE,JAI",1
09:04,,,,,"SUB IN by CAFFO,MURPHY",,,"SUB IN by CAFFO,MURPHY",1
08:51,"MISS 3PTR by RUCKER,CAM",,,,,,,"MISS 3PTR by RUCKER,CAM",1
--,"REBOUND OFF by ROTH,DREW",,,,,,,"REBOUND OFF by ROTH,DREW",1
08:34,"GOOD 3PTR by WATSON,DOUG",13,,20 (+7),,Mill 13-20 (-7),,"GOOD 3PTR by WATSON,DOUG",1
08:19,"FOUL  by RUCKER,CAM",,,,,,,"FOUL  by RUCKER,CAM",1
08:11,"SUB OUT by URSIN,AARON",,,,,,,"SUB OUT by URSIN,AARON",1
08:11,"SUB IN by STEPHEN,SETH",,,,,,,"SUB IN by STEPHEN,SETH",1
07:59,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:56,,,,,"MISS 3PTR by LUM,WALTER",,,"MISS 3PTR by LUM,WALTER",1
--,"REBOUND DEF by STEPHEN,SETH",,,,,,,"REBOUND DEF by STEPHEN,SETH",1
07:47,"GOOD 3PTR by RUCKER,CAM",16,,20 (+4),,Mill 16-20 (-4),,"GOOD 3PTR by RUCKER,CAM",1
07:31,,,,,"TURNOVER  by CAFFO,MURPHY",,,"TURNOVER  by CAFFO,MURPHY",1
07:31,,,,,"SUB OUT by LUM,WALTER",,,"SUB OUT by LUM,WALTER",1
07:31,,,,,"SUB OUT by CAFFO,MURPHY",,,"SUB OUT by CAFFO,MURPHY",1
07:31,,,,,"SUB OUT by HUNT,GRANT",,,"SUB OUT by HUNT,GRANT",1
07:31,,,,,"SUB OUT by EFE ISIK,ALI",,,"SUB OUT by EFE ISIK,ALI",1
07:31,,,,,"SUB OUT by LINO,XZAVIER",,,"SUB OUT by LINO,XZAVIER",1
07:31,,,,,"SUB IN by DESHPANDE,JAI",,,"SUB IN by DESHPANDE,JAI",1
07:31,,,,,"SUB IN by PAPE,ALEX",,,"SUB IN by PAPE,ALEX",1
07:31,,,,,"SUB IN by CLINE,JANDER",,,"SUB IN by CLINE,JANDER",1
07:31,,,,,"SUB IN by VON BUCHWALDT,AIDAN",,,"SUB IN by VON BUCHWALDT,AIDAN",1
07:31,,,,,"SUB IN by TRIFUNOVIC,NIKOLA",,,"SUB IN by TRIFUNOVIC,NIKOLA",1
07:17,"MISS 3PTR by GASCA,DAKOTA",,,,,,,"MISS 3PTR by GASCA,DAKOTA",1
--,,,,,"REBOUND DEF by TRIFUNOVIC,NIKOLA",,,"REBOUND DEF by TRIFUNOVIC,NIKOLA",1
06:59,,,,,"MISS 3PTR by CLINE,JANDER",,,"MISS 3PTR by CLINE,JANDER",1
--,"REBOUND DEF by WATSON,DOUG",,,,,,,"REBOUND DEF by WATSON,DOUG",1
06:52,"FOUL  by WATSON,DOUG",,,,,,,"FOUL  by WATSON,DOUG",1
06:18,,,,,"MISS JUMPER by PAPE,ALEX(in the paint)",,,"MISS JUMPER by PAPE,ALEX(in the paint)",1
--,"REBOUND DEF by ROTH,DREW",,,,,,,"REBOUND DEF by ROTH,DREW",1
06:11,"TURNOVER  by GASCA,DAKOTA",,,,,,,"TURNOVER  by GASCA,DAKOTA",1
05:48,,,,,"MISS 3PTR by PAPE,ALEX",,,"MISS 3PTR by PAPE,ALEX",1
--,,,,,"REBOUND OFF by CLINE,JANDER",,,"REBOUND OFF by CLINE,JANDER",1
05:37,,,,,"MISS JUMPER by CLINE,JANDER(in the paint)",,,"MISS JUMPER by CLINE,JANDER(in the paint)",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
05:34,"SUB OUT by ROTH,DREW",,,,,,,"SUB OUT by ROTH,DREW",1
05:34,"SUB IN by LITTLE ,JAMES",,,,,,,"SUB IN by LITTLE ,JAMES",1
05:23,"MISS 3PTR by GASCA,DAKOTA",,,,,,,"MISS 3PTR by GASCA,DAKOTA",1
--,,,,,"REBOUND DEF by TRIFUNOVIC,NIKOLA",,,"REBOUND DEF by TRIFUNOVIC,NIKOLA",1
05:06,,16,,23 (+7),"GOOD 3PTR by TRIFUNOVIC,NIKOLA",Whitm 16-23 (-7),,"GOOD 3PTR by TRIFUNOVIC,NIKOLA",1
--,,,,,"ASSIST  by CLINE,JANDER",,,"ASSIST  by CLINE,JANDER",1
04:38,"MISS 3PTR by RUCKER,CAM",,,,,,,"MISS 3PTR by RUCKER,CAM",1
--,,,,,"REBOUND DEF by TRIFUNOVIC,NIKOLA",,,"REBOUND DEF by TRIFUNOVIC,NIKOLA",1
04:30,,16,,26 (+10),"GOOD 3PTR by TRIFUNOVIC,NIKOLA",Whitm 16-26 (-10),,"GOOD 3PTR by TRIFUNOVIC,NIKOLA",1
04:18,"MISS 3PTR by WATSON,DOUG",,,,,,,"MISS 3PTR by WATSON,DOUG",1
--,,,,,"REBOUND DEF by DESHPANDE,JAI",,,"REBOUND DEF by DESHPANDE,JAI",1
04:07,,16,,29 (+13),"GOOD 3PTR by VON BUCHWALDT,AIDAN(fastbreak)",Whitm 16-29 (-13),,"GOOD 3PTR by VON BUCHWALDT,AIDAN(fastbreak)",1
--,,,,,"ASSIST  by DESHPANDE,JAI",,,"ASSIST  by DESHPANDE,JAI",1
03:58,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
03:43,"TURNOVER  by WATSON,DOUG",,,,,,,"TURNOVER  by WATSON,DOUG",1
03:43,,,,,"STEAL  by VON BUCHWALDT,AIDAN",,,"STEAL  by VON BUCHWALDT,AIDAN",1
03:28,,,,,"MISS 3PTR by TRIFUNOVIC,NIKOLA",,,"MISS 3PTR by TRIFUNOVIC,NIKOLA",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
03:27,,,,,"SUB OUT by PAPE,ALEX",,,"SUB OUT by PAPE,ALEX",1
03:27,,,,,"SUB IN by CRUMP,WESTON",,,"SUB IN by CRUMP,WESTON",1
03:27,"SUB OUT by STEPHEN,SETH",,,,,,,"SUB OUT by STEPHEN,SETH",1
03:27,"SUB OUT by WATSON,DOUG",,,,,,,"SUB OUT by WATSON,DOUG",1
03:27,"SUB OUT by GASCA,DAKOTA",,,,,,,"SUB OUT by GASCA,DAKOTA",1
03:27,"SUB IN by ROTH,DREW",,,,,,,"SUB IN by ROTH,DREW",1
03:27,"SUB IN by URSIN,AARON",,,,,,,"SUB IN by URSIN,AARON",1
03:27,"SUB IN by BONNECAZE,STEWART",,,,,,,"SUB IN by BONNECAZE,STEWART",1
03:17,"MISS JUMPER by LITTLE ,JAMES",,,,,,,"MISS JUMPER by LITTLE ,JAMES",1
--,,,,,"REBOUND DEF by DESHPANDE,JAI",,,"REBOUND DEF by DESHPANDE,JAI",1
03:11,,,,,"MISS JUMPER by CLINE,JANDER(in the paint)",,,"MISS JUMPER by CLINE,JANDER(in the paint)",1
--,"REBOUND DEF by BONNECAZE,STEWART",,,,,,,"REBOUND DEF by BONNECAZE,STEWART",1
03:07,,,,,"FOUL  by TRIFUNOVIC,NIKOLA",,,"FOUL  by TRIFUNOVIC,NIKOLA",1
03:00,"MISS FT by BONNECAZE,STEWART",,,,,,,"MISS FT by BONNECAZE,STEWART",1
03:00,"MISS FT by BONNECAZE,STEWART",,,,,,,"MISS FT by BONNECAZE,STEWART",1
03:00,"SUB OUT by ROTH,DREW",,,,,,,"SUB OUT by ROTH,DREW",1
03:00,"SUB OUT by URSIN,AARON",,,,,,,"SUB OUT by URSIN,AARON",1
03:00,"SUB IN by STEPHEN,SETH",,,,,,,"SUB IN by STEPHEN,SETH",1
03:00,"SUB IN by WATSON,DOUG",,,,,,,"SUB IN by WATSON,DOUG",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
03:00,"GOOD FT by BONNECAZE,STEWART",17,,29 (+12),,Mill 17-29 (-12),,"GOOD FT by BONNECAZE,STEWART",1
02:45,,,,,"MISS 3PTR by CRUMP,WESTON",,,"MISS 3PTR by CRUMP,WESTON",1
--,"REBOUND DEF by LITTLE ,JAMES",,,,,,,"REBOUND DEF by LITTLE ,JAMES",1
02:38,"MISS LAYUP by BONNECAZE,STEWART(in the paint)",,,,,,,"MISS LAYUP by BONNECAZE,STEWART(in the paint)",1
--,,,,,"REBOUND DEF by CLINE,JANDER",,,"REBOUND DEF by CLINE,JANDER",1
02:26,"FOUL  by BONNECAZE,STEWART",,,,,,,"FOUL  by BONNECAZE,STEWART",1
02:25,,,,,"SUB OUT by DESHPANDE,JAI",,,"SUB OUT by DESHPANDE,JAI",1
02:25,,,,,"SUB IN by EFE ISIK,ALI",,,"SUB IN by EFE ISIK,ALI",1
02:06,,,,,"MISS JUMPER by CRUMP,WESTON(in the paint)",,,"MISS JUMPER by CRUMP,WESTON(in the paint)",1
--,"REBOUND DEF by LITTLE ,JAMES",,,,,,,"REBOUND DEF by LITTLE ,JAMES",1
01:59,"MISS JUMPER by LITTLE ,JAMES",,,,,,,"MISS JUMPER by LITTLE ,JAMES",1
--,"REBOUND OFF by BONNECAZE,STEWART",,,,,,,"REBOUND OFF by BONNECAZE,STEWART",1
01:55,"MISS JUMPER by BONNECAZE,STEWART(in the paint)",,,,,,,"MISS JUMPER by BONNECAZE,STEWART(in the paint)",1
--,"REBOUND OFF by BONNECAZE,STEWART",,,,,,,"REBOUND OFF by BONNECAZE,STEWART",1
01:47,"MISS 3PTR by RUCKER,CAM",,,,,,,"MISS 3PTR by RUCKER,CAM",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
01:37,"SUB OUT by RUCKER,CAM",,,,,,,"SUB OUT by RUCKER,CAM",1
01:37,"SUB IN by GASCA,DAKOTA",,,,,,,"SUB IN by GASCA,DAKOTA",1
01:09,,17,,32 (+15),"GOOD 3PTR by EFE ISIK,ALI",Whitm 17-32 (-15),,"GOOD 3PTR by EFE ISIK,ALI",1
--,,,,,"ASSIST  by CLINE,JANDER",,,"ASSIST  by CLINE,JANDER",1
00:48,"MISS LAYUP by GASCA,DAKOTA(in the paint)",,,,,,,"MISS LAYUP by GASCA,DAKOTA(in the paint)",1
00:48,,,,,"BLOCK  by VON BUCHWALDT,AIDAN",,,"BLOCK  by VON BUCHWALDT,AIDAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
00:42,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:42,"SUB OUT by STEPHEN,SETH",,,,,,,"SUB OUT by STEPHEN,SETH",1
00:42,"SUB OUT by WATSON,DOUG",,,,,,,"SUB OUT by WATSON,DOUG",1
00:42,"SUB IN by FORBES,TRACE",,,,,,,"SUB IN by FORBES,TRACE",1
00:42,"SUB IN by URSIN,AARON",,,,,,,"SUB IN by URSIN,AARON",1
00:22,,,,,"TURNOVER  by CRUMP,WESTON",,,"TURNOVER  by CRUMP,WESTON",1
00:22,"STEAL  by URSIN,AARON",,,,,,,"STEAL  by URSIN,AARON",1
00:06,"GOOD 3PTR by GASCA,DAKOTA",20,,32 (+12),,Mill 20-32 (-12),,"GOOD 3PTR by GASCA,DAKOTA",1
