Time Remaining,MC,Away Team Score,Play Team Indicator,Home Team Score,CCLA,Game Score,Team Indicator,Play,Period
17:04,"GOOD JUMPER by URSIN,AARON(in the paint)",8 (+8),,0,,MC 8-0 (+8),,"GOOD JUMPER by URSIN,AARON(in the paint)",1
17:03,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
17:03,,,,,"SUB IN by JACKSON,CHRYS",,,"SUB IN by JACKSON,CHRYS",1
17:03,,,,,"SUB OUT by BEVERLY,QUENTIN",,,"SUB OUT by BEVERLY,QUENTIN",1
16:41,,,,,"MISS 3PTR by BOARD,BRAEDEN",,,"MISS 3PTR by BOARD,BRAEDEN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
16:28,,,,,"MISS 3PTR by JACKSON,CHRYS",,,"MISS 3PTR by JACKSON,CHRYS",1
--,"REBOUND DEF by BUSH,RODREEKAS",,,,,,,"REBOUND DEF by BUSH,RODREEKAS",1
16:08,"GOOD JUMPER by URSIN,AARON(in the paint)",10 (+10),,0,,MC 10-0 (+10),,"GOOD JUMPER by URSIN,AARON(in the paint)",1
--,"ASSIST  by RUCKER,CAM",,,,,,,"ASSIST  by RUCKER,CAM",1
15:46,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
15:46,"SUB IN by FORBES,TRACE",,,,,,,"SUB IN by FORBES,TRACE",1
15:46,"SUB IN by BONNECAZE,STEWART",,,,,,,"SUB IN by BONNECAZE,STEWART",1
15:46,"SUB OUT by BUSH,RODREEKAS",,,,,,,"SUB OUT by BUSH,RODREEKAS",1
15:46,"SUB OUT by ,RODNEY PHILLIPS JR",,,,,,,"SUB OUT by ,RODNEY PHILLIPS JR",1
15:43,,,,,"MISS 3PTR by BEHR,JALEN",,,"MISS 3PTR by BEHR,JALEN",1
--,"REBOUND DEF by BONNECAZE,STEWART",,,,,,,"REBOUND DEF by BONNECAZE,STEWART",1
15:23,"MISS 3PTR by WATSON,DOUG",,,,,,,"MISS 3PTR by WATSON,DOUG",1
--,"REBOUND OFF by FORBES,TRACE",,,,,,,"REBOUND OFF by FORBES,TRACE",1
15:08,"MISS 3PTR by RUCKER,CAM",,,,,,,"MISS 3PTR by RUCKER,CAM",1
--,,,,,"REBOUND DEF by SINGLETON,TYKEEM",,,"REBOUND DEF by SINGLETON,TYKEEM",1
14:52,,,,,"MISS 3PTR by BAINES,JERRICK",,,"MISS 3PTR by BAINES,JERRICK",1
--,"REBOUND DEF by URSIN,AARON",,,,,,,"REBOUND DEF by URSIN,AARON",1
14:20,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
14:20,"SUB IN by STEHEN,SETH",,,,,,,"SUB IN by STEHEN,SETH",1
14:20,"SUB IN by GASCA,DAKOTA",,,,,,,"SUB IN by GASCA,DAKOTA",1
14:20,"SUB OUT by RUCKER,CAM",,,,,,,"SUB OUT by RUCKER,CAM",1
14:20,"SUB OUT by URSIN,AARON",,,,,,,"SUB OUT by URSIN,AARON",1
14:20,,,,,"SUB IN by MINGO,KILE",,,"SUB IN by MINGO,KILE",1
14:20,,,,,"SUB OUT by BAINES,JERRICK",,,"SUB OUT by BAINES,JERRICK",1
14:00,,10 (+8),,2,"GOOD LAYUP by BEHR,JALEN(in the paint)",CCLA 10-2 (+8),,"GOOD LAYUP by BEHR,JALEN(in the paint)",1
--,,,,,"ASSIST  by BOARD,BRAEDEN",,,"ASSIST  by BOARD,BRAEDEN",1
13:54,"TURNOVER  by GASCA,DAKOTA",,,,,,,"TURNOVER  by GASCA,DAKOTA",1
13:53,,,,,"STEAL  by BOARD,BRAEDEN",,,"STEAL  by BOARD,BRAEDEN",1
13:45,,,,,"MISS LAYUP by BEHR,JALEN",,,"MISS LAYUP by BEHR,JALEN",1
--,"REBOUND DEF by FORBES,TRACE",,,,,,,"REBOUND DEF by FORBES,TRACE",1
13:31,,,,,"FOUL  by BOARD,BRAEDEN",,,"FOUL  by BOARD,BRAEDEN",1
13:31,"SUB IN by UGHOVWA,NICHOLAS",,,,,,,"SUB IN by UGHOVWA,NICHOLAS",1
13:31,"SUB OUT by STEHEN,SETH",,,,,,,"SUB OUT by STEHEN,SETH",1
13:31,,,,,"SUB IN by WIGGINS,JOSEPH",,,"SUB IN by WIGGINS,JOSEPH",1
13:31,,,,,"SUB OUT by BOARD,BRAEDEN",,,"SUB OUT by BOARD,BRAEDEN",1
13:30,"TURNOVER  by UGHOVWA,NICHOLAS",,,,,,,"TURNOVER  by UGHOVWA,NICHOLAS",1
13:29,,,,,"STEAL  by BEHR,JALEN",,,"STEAL  by BEHR,JALEN",1
13:26,,10 (+6),,4,"GOOD DUNK by BEHR,JALEN(fastbreak)(in the paint)",CCLA 10-4 (+6),,"GOOD DUNK by BEHR,JALEN(fastbreak)(in the paint)",1
13:00,"TURNOVER  by GASCA,DAKOTA",,,,,,,"TURNOVER  by GASCA,DAKOTA",1
12:59,,,,,"STEAL  by SINGLETON,TYKEEM",,,"STEAL  by SINGLETON,TYKEEM",1
12:55,,10 (+4),,6,"GOOD LAYUP by SINGLETON,TYKEEM(fastbreak)(in the paint)",CCLA 10-6 (+4),,"GOOD LAYUP by SINGLETON,TYKEEM(fastbreak)(in the paint)",1
12:37,"MISS LAYUP by WATSON,DOUG",,,,,,,"MISS LAYUP by WATSON,DOUG",1
--,"REBOUND OFF by UGHOVWA,NICHOLAS",,,,,,,"REBOUND OFF by UGHOVWA,NICHOLAS",1
12:35,"GOOD TIPIN by UGHOVWA,NICHOLAS(in the paint)",12 (+6),,6,,MC 12-6 (+6),,"GOOD TIPIN by UGHOVWA,NICHOLAS(in the paint)",1
12:06,,,,,"MISS 3PTR by BEHR,JALEN",,,"MISS 3PTR by BEHR,JALEN",1
--,"REBOUND DEF by BONNECAZE,STEWART",,,,,,,"REBOUND DEF by BONNECAZE,STEWART",1
11:48,"MISS 3PTR by FORBES,TRACE",,,,,,,"MISS 3PTR by FORBES,TRACE",1
--,,,,,"REBOUND DEF by WIGGINS,JOSEPH",,,"REBOUND DEF by WIGGINS,JOSEPH",1
11:37,"FOUL  by WATSON,DOUG",,,,,,,"FOUL  by WATSON,DOUG",1
11:37,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
11:37,"SUB IN by BUSH,RODREEKAS",,,,,,,"SUB IN by BUSH,RODREEKAS",1
11:37,"SUB IN by RUCKER,CAM",,,,,,,"SUB IN by RUCKER,CAM",1
11:37,"SUB OUT by WATSON,DOUG",,,,,,,"SUB OUT by WATSON,DOUG",1
11:37,"SUB OUT by FORBES,TRACE",,,,,,,"SUB OUT by FORBES,TRACE",1
11:37,,,,,"SUB IN by THOMAS,SETH",,,"SUB IN by THOMAS,SETH",1
11:37,,,,,"SUB OUT by BEHR,JALEN",,,"SUB OUT by BEHR,JALEN",1
11:25,,12 (+4),,8,"GOOD JUMPER by WIGGINS,JOSEPH",CCLA 12-8 (+4),,"GOOD JUMPER by WIGGINS,JOSEPH",1
10:57,"MISS 3PTR by RUCKER,CAM",,,,,,,"MISS 3PTR by RUCKER,CAM",1
--,,,,,"REBOUND DEF by WIGGINS,JOSEPH",,,"REBOUND DEF by WIGGINS,JOSEPH",1
10:44,,,,,"MISS JUMPER by MINGO,KILE",,,"MISS JUMPER by MINGO,KILE",1
--,,,,,"REBOUND OFF by THOMAS,SETH",,,"REBOUND OFF by THOMAS,SETH",1
10:42,,12 (+2),,10,"GOOD LAYUP by THOMAS,SETH(in the paint)",CCLA 12-10 (+2),,"GOOD LAYUP by THOMAS,SETH(in the paint)",1
10:42,"FOUL  by BONNECAZE,STEWART",,,,,,,"FOUL  by BONNECAZE,STEWART",1
10:42,,12 (+1),,11,"GOOD FT by THOMAS,SETH",CCLA 12-11 (+1),,"GOOD FT by THOMAS,SETH",1
10:42,"SUB IN by ,RODNEY PHILLIPS JR",,,,,,,"SUB IN by ,RODNEY PHILLIPS JR",1
10:42,"SUB OUT by BONNECAZE,STEWART",,,,,,,"SUB OUT by BONNECAZE,STEWART",1
10:42,,,,,"SUB IN by BAINES,JERRICK",,,"SUB IN by BAINES,JERRICK",1
10:42,,,,,"SUB OUT by SINGLETON,TYKEEM",,,"SUB OUT by SINGLETON,TYKEEM",1
10:23,"MISS 3PTR by GASCA,DAKOTA",,,,,,,"MISS 3PTR by GASCA,DAKOTA",1
--,"REBOUND OFF by UGHOVWA,NICHOLAS",,,,,,,"REBOUND OFF by UGHOVWA,NICHOLAS",1
10:17,"MISS JUMPER by BUSH,RODREEKAS",,,,,,,"MISS JUMPER by BUSH,RODREEKAS",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
10:15,"FOUL  by ,RODNEY PHILLIPS JR",,,,,,,"FOUL  by ,RODNEY PHILLIPS JR",1
10:15,"SUB IN by URSIN,AARON",,,,,,,"SUB IN by URSIN,AARON",1
10:15,"SUB OUT by UGHOVWA,NICHOLAS",,,,,,,"SUB OUT by UGHOVWA,NICHOLAS",1
09:50,,,,,"MISS JUMPER by THOMAS,SETH",,,"MISS JUMPER by THOMAS,SETH",1
--,,,,,"REBOUND OFF by MINGO,KILE",,,"REBOUND OFF by MINGO,KILE",1
09:47,,12,,13 (+1),"GOOD JUMPER by MINGO,KILE",CCLA 12-13 (-1),,"GOOD JUMPER by MINGO,KILE",1
09:29,"MISS 3PTR by GASCA,DAKOTA",,,,,,,"MISS 3PTR by GASCA,DAKOTA",1
--,,,,,"REBOUND DEF by THOMAS,SETH",,,"REBOUND DEF by THOMAS,SETH",1
09:29,"FOUL TECH by GASCA,DAKOTA",,,,,,,"FOUL TECH by GASCA,DAKOTA",1
09:29,,,,,"MISS FT by THOMAS,SETH",,,"MISS FT by THOMAS,SETH",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
09:21,,,,,"MISS JUMPER by JACKSON,CHRYS",,,"MISS JUMPER by JACKSON,CHRYS",1
--,"REBOUND DEF by ,RODNEY PHILLIPS JR",,,,,,,"REBOUND DEF by ,RODNEY PHILLIPS JR",1
08:57,"SUB IN by WATSON,DOUG",,,,,,,"SUB IN by WATSON,DOUG",1
08:57,"SUB OUT by GASCA,DAKOTA",,,,,,,"SUB OUT by GASCA,DAKOTA",1
08:44,"MISS LAYUP by WATSON,DOUG",,,,,,,"MISS LAYUP by WATSON,DOUG",1
08:44,,,,,"BLOCK  by WIGGINS,JOSEPH",,,"BLOCK  by WIGGINS,JOSEPH",1
--,,,,,"REBOUND DEF by THOMAS,SETH",,,"REBOUND DEF by THOMAS,SETH",1
08:36,,12,,15 (+3),"GOOD JUMPER by JACKSON,CHRYS(in the paint)",CCLA 12-15 (-3),,"GOOD JUMPER by JACKSON,CHRYS(in the paint)",1
--,,,,,"ASSIST  by THOMAS,SETH",,,"ASSIST  by THOMAS,SETH",1
08:21,"MISS 3PTR by BUSH,RODREEKAS",,,,,,,"MISS 3PTR by BUSH,RODREEKAS",1
--,,,,,"REBOUND DEF by JACKSON,CHRYS",,,"REBOUND DEF by JACKSON,CHRYS",1
08:01,,12,,17 (+5),"GOOD JUMPER by WIGGINS,JOSEPH(in the paint)",CCLA 12-17 (-5),,"GOOD JUMPER by WIGGINS,JOSEPH(in the paint)",1
--,,,,,"ASSIST  by THOMAS,SETH",,,"ASSIST  by THOMAS,SETH",1
07:37,"TURNOVER  by ,RODNEY PHILLIPS JR",,,,,,,"TURNOVER  by ,RODNEY PHILLIPS JR",1
07:37,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
07:37,"SUB IN by FORBES,TRACE",,,,,,,"SUB IN by FORBES,TRACE",1
07:37,"SUB IN by ROTH,DREW",,,,,,,"SUB IN by ROTH,DREW",1
07:37,"SUB OUT by BUSH,RODREEKAS",,,,,,,"SUB OUT by BUSH,RODREEKAS",1
07:37,"SUB OUT by ,RODNEY PHILLIPS JR",,,,,,,"SUB OUT by ,RODNEY PHILLIPS JR",1
07:37,,,,,"SUB IN by JOHNSON,RALPH",,,"SUB IN by JOHNSON,RALPH",1
07:37,,,,,"SUB OUT by JACKSON,CHRYS",,,"SUB OUT by JACKSON,CHRYS",1
07:19,,,,,"MISS 3PTR by MINGO,KILE",,,"MISS 3PTR by MINGO,KILE",1
--,,,,,"REBOUND OFF by WIGGINS,JOSEPH",,,"REBOUND OFF by WIGGINS,JOSEPH",1
07:09,"FOUL  by FORBES,TRACE",,,,,,,"FOUL  by FORBES,TRACE",1
07:09,,12,,18 (+6),"GOOD FT by THOMAS,SETH",CCLA 12-18 (-6),,"GOOD FT by THOMAS,SETH",1
07:09,,,,,"MISS FT by THOMAS,SETH",,,"MISS FT by THOMAS,SETH",1
--,"REBOUND DEF by URSIN,AARON",,,,,,,"REBOUND DEF by URSIN,AARON",1
06:39,"GOOD 3PTR by WATSON,DOUG",15,,18 (+3),,MC 15-18 (-3),,"GOOD 3PTR by WATSON,DOUG",1
06:25,,,,,"MISS 3PTR by MINGO,KILE",,,"MISS 3PTR by MINGO,KILE",1
--,"REBOUND DEF by FORBES,TRACE",,,,,,,"REBOUND DEF by FORBES,TRACE",1
06:03,"GOOD JUMPER by RUCKER,CAM",17,,18 (+1),,MC 17-18 (-1),,"GOOD JUMPER by RUCKER,CAM",1
05:48,,,,,"TURNOVER  by WIGGINS,JOSEPH",,,"TURNOVER  by WIGGINS,JOSEPH",1
05:47,"STEAL  by RUCKER,CAM",,,,,,,"STEAL  by RUCKER,CAM",1
05:45,"MISS LAYUP by RUCKER,CAM",,,,,,,"MISS LAYUP by RUCKER,CAM",1
--,,,,,"REBOUND DEF by JOHNSON,RALPH",,,"REBOUND DEF by JOHNSON,RALPH",1
05:38,,17,,20 (+3),"GOOD LAYUP by BAINES,JERRICK(in the paint)",CCLA 17-20 (-3),,"GOOD LAYUP by BAINES,JERRICK(in the paint)",1
05:38,"FOUL  by FORBES,TRACE",,,,,,,"FOUL  by FORBES,TRACE",1
05:38,,17,,21 (+4),"GOOD FT by BAINES,JERRICK",CCLA 17-21 (-4),,"GOOD FT by BAINES,JERRICK",1
05:38,,,,,"SUB IN by SINGLETON,TYKEEM",,,"SUB IN by SINGLETON,TYKEEM",1
05:38,,,,,"SUB OUT by MINGO,KILE",,,"SUB OUT by MINGO,KILE",1
05:18,"MISS 3PTR by RUCKER,CAM",,,,,,,"MISS 3PTR by RUCKER,CAM",1
--,,,,,"REBOUND DEF by THOMAS,SETH",,,"REBOUND DEF by THOMAS,SETH",1
05:10,,,,,"MISS LAYUP by THOMAS,SETH",,,"MISS LAYUP by THOMAS,SETH",1
--,,,,,"REBOUND OFF by BAINES,JERRICK",,,"REBOUND OFF by BAINES,JERRICK",1
05:08,,,,,"MISS TIPIN by BAINES,JERRICK",,,"MISS TIPIN by BAINES,JERRICK",1
--,,,,,"REBOUND OFF by JOHNSON,RALPH",,,"REBOUND OFF by JOHNSON,RALPH",1
05:04,,17,,23 (+6),"GOOD JUMPER by BAINES,JERRICK",CCLA 17-23 (-6),,"GOOD JUMPER by BAINES,JERRICK",1
--,,,,,"ASSIST  by JOHNSON,RALPH",,,"ASSIST  by JOHNSON,RALPH",1
04:46,"TURNOVER  by WATSON,DOUG",,,,,,,"TURNOVER  by WATSON,DOUG",1
04:46,"SUB IN by ,RODNEY PHILLIPS JR",,,,,,,"SUB IN by ,RODNEY PHILLIPS JR",1
04:46,"SUB IN by BONNECAZE,STEWART",,,,,,,"SUB IN by BONNECAZE,STEWART",1
04:46,"SUB IN by HOGAN,TJ",,,,,,,"SUB IN by HOGAN,TJ",1
04:46,"SUB OUT by FORBES,TRACE",,,,,,,"SUB OUT by FORBES,TRACE",1
04:46,"SUB OUT by WATSON,DOUG",,,,,,,"SUB OUT by WATSON,DOUG",1
04:46,"SUB OUT by ROTH,DREW",,,,,,,"SUB OUT by ROTH,DREW",1
04:32,"FOUL  by HOGAN,TJ",,,,,,,"FOUL  by HOGAN,TJ",1
04:17,,,,,"MISS 3PTR by THOMAS,SETH",,,"MISS 3PTR by THOMAS,SETH",1
--,"REBOUND DEF by URSIN,AARON",,,,,,,"REBOUND DEF by URSIN,AARON",1
04:04,"MISS 3PTR by RUCKER,CAM",,,,,,,"MISS 3PTR by RUCKER,CAM",1
--,,,,,"REBOUND DEF by SINGLETON,TYKEEM",,,"REBOUND DEF by SINGLETON,TYKEEM",1
03:56,,,,,"MISS 3PTR by BAINES,JERRICK",,,"MISS 3PTR by BAINES,JERRICK",1
--,"REBOUND DEF by RUCKER,CAM",,,,,,,"REBOUND DEF by RUCKER,CAM",1
03:45,"MISS JUMPER by RUCKER,CAM",,,,,,,"MISS JUMPER by RUCKER,CAM",1
--,,,,,"REBOUND DEF by SINGLETON,TYKEEM",,,"REBOUND DEF by SINGLETON,TYKEEM",1
03:32,"FOUL  by RUCKER,CAM",,,,,,,"FOUL  by RUCKER,CAM",1
03:32,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
03:32,,,,,"MISS FT by JOHNSON,RALPH",,,"MISS FT by JOHNSON,RALPH",1
--,"REBOUND DEF by BONNECAZE,STEWART",,,,,,,"REBOUND DEF by BONNECAZE,STEWART",1
03:32,"SUB IN by GASCA,DAKOTA",,,,,,,"SUB IN by GASCA,DAKOTA",1
03:32,"SUB OUT by RUCKER,CAM",,,,,,,"SUB OUT by RUCKER,CAM",1
03:13,"MISS LAYUP by ,RODNEY PHILLIPS JR",,,,,,,"MISS LAYUP by ,RODNEY PHILLIPS JR",1
03:13,,,,,"BLOCK  by WIGGINS,JOSEPH",,,"BLOCK  by WIGGINS,JOSEPH",1
--,"REBOUND OFF by ,RODNEY PHILLIPS JR",,,,,,,"REBOUND OFF by ,RODNEY PHILLIPS JR",1
03:09,"GOOD LAYUP by URSIN,AARON(in the paint)",19,,23 (+4),,MC 19-23 (-4),,"GOOD LAYUP by URSIN,AARON(in the paint)",1
--,"ASSIST  by ,RODNEY PHILLIPS JR",,,,,,,"ASSIST  by ,RODNEY PHILLIPS JR",1
02:58,"FOUL  by ,RODNEY PHILLIPS JR",,,,,,,"FOUL  by ,RODNEY PHILLIPS JR",1
02:58,,19,,24 (+5),"GOOD FT by THOMAS,SETH",CCLA 19-24 (-5),,"GOOD FT by THOMAS,SETH",1
02:58,,19,,25 (+6),"GOOD FT by THOMAS,SETH",CCLA 19-25 (-6),,"GOOD FT by THOMAS,SETH",1
02:58,"SUB IN by ROTH,DREW",,,,,,,"SUB IN by ROTH,DREW",1
02:58,"SUB IN by GORTON,MACK",,,,,,,"SUB IN by GORTON,MACK",1
02:58,"SUB OUT by ,RODNEY PHILLIPS JR",,,,,,,"SUB OUT by ,RODNEY PHILLIPS JR",1
02:58,"SUB OUT by URSIN,AARON",,,,,,,"SUB OUT by URSIN,AARON",1
02:51,"GOOD JUMPER by GORTON,MACK(fastbreak)",21,,25 (+4),,MC 21-25 (-4),,"GOOD JUMPER by GORTON,MACK(fastbreak)",1
--,"ASSIST  by GASCA,DAKOTA",,,,,,,"ASSIST  by GASCA,DAKOTA",1
02:30,,,,,"MISS JUMPER by WIGGINS,JOSEPH",,,"MISS JUMPER by WIGGINS,JOSEPH",1
--,"REBOUND DEF by GORTON,MACK",,,,,,,"REBOUND DEF by GORTON,MACK",1
02:16,"MISS 3PTR by BONNECAZE,STEWART",,,,,,,"MISS 3PTR by BONNECAZE,STEWART",1
--,,,,,"REBOUND DEF by SINGLETON,TYKEEM",,,"REBOUND DEF by SINGLETON,TYKEEM",1
02:03,,,,,"MISS LAYUP by THOMAS,SETH",,,"MISS LAYUP by THOMAS,SETH",1
--,,,,,"REBOUND OFF by THOMAS,SETH",,,"REBOUND OFF by THOMAS,SETH",1
01:43,,,,,"MISS 3PTR by THOMAS,SETH",,,"MISS 3PTR by THOMAS,SETH",1
--,"REBOUND DEF by HOGAN,TJ",,,,,,,"REBOUND DEF by HOGAN,TJ",1
01:32,"GOOD 3PTR by HOGAN,TJ",24,,25 (+1),,MC 24-25 (-1),,"GOOD 3PTR by HOGAN,TJ",1
01:14,,,,,"MISS 3PTR by BAINES,JERRICK",,,"MISS 3PTR by BAINES,JERRICK",1
--,"REBOUND DEF by GORTON,MACK",,,,,,,"REBOUND DEF by GORTON,MACK",1
00:56,"MISS 3PTR by GASCA,DAKOTA",,,,,,,"MISS 3PTR by GASCA,DAKOTA",1
--,,,,,"REBOUND DEF by THOMAS,SETH",,,"REBOUND DEF by THOMAS,SETH",1
00:48,,,,,"TURNOVER  by JOHNSON,RALPH",,,"TURNOVER  by JOHNSON,RALPH",1
00:48,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:48,"SUB IN by WATSON,DOUG",,,,,,,"SUB IN by WATSON,DOUG",1
00:48,"SUB OUT by GASCA,DAKOTA",,,,,,,"SUB OUT by GASCA,DAKOTA",1
00:48,,,,,"SUB IN by BEHR,JALEN",,,"SUB IN by BEHR,JALEN",1
00:48,,,,,"SUB OUT by BAINES,JERRICK",,,"SUB OUT by BAINES,JERRICK",1
00:29,"FOUL  by WATSON,DOUG",,,,,,,"FOUL  by WATSON,DOUG",1
00:29,"TURNOVER  by WATSON,DOUG",,,,,,,"TURNOVER  by WATSON,DOUG",1
00:29,"SUB IN by RUCKER,CAM",,,,,,,"SUB IN by RUCKER,CAM",1
00:29,"SUB IN by BUSH,RODREEKAS",,,,,,,"SUB IN by BUSH,RODREEKAS",1
00:29,"SUB OUT by ROTH,DREW",,,,,,,"SUB OUT by ROTH,DREW",1
00:29,"SUB OUT by HOGAN,TJ",,,,,,,"SUB OUT by HOGAN,TJ",1
00:04,,,,,"MISS 3PTR by BEHR,JALEN",,,"MISS 3PTR by BEHR,JALEN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
00:03,"SUB IN by ROTH,DREW",,,,,,,"SUB IN by ROTH,DREW",1
00:03,"SUB OUT by GORTON,MACK",,,,,,,"SUB OUT by GORTON,MACK",1
19:44,,,,,"MISS 3PTR by BOARD,BRAEDEN",,,"MISS 3PTR by BOARD,BRAEDEN",2
--,,,,,"REBOUND OFF by THOMAS,SETH",,,"REBOUND OFF by THOMAS,SETH",2
19:41,,,,,"MISS TIPIN by THOMAS,SETH",,,"MISS TIPIN by THOMAS,SETH",2
--,,,,,"REBOUND OFF by THOMAS,SETH",,,"REBOUND OFF by THOMAS,SETH",2
19:39,,,,,"MISS TIPIN by THOMAS,SETH",,,"MISS TIPIN by THOMAS,SETH",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
19:23,,24,,27 (+3),"GOOD LAYUP by BAINES,JERRICK(in the paint)",CCLA 24-27 (-3),,"GOOD LAYUP by BAINES,JERRICK(in the paint)",2
18:50,"TURNOVER  by RUCKER,CAM",,,,,,,"TURNOVER  by RUCKER,CAM",2
18:30,,,,,"MISS JUMPER by BEVERLY,QUENTIN",,,"MISS JUMPER by BEVERLY,QUENTIN",2
--,"REBOUND DEF by ,RODNEY PHILLIPS JR",,,,,,,"REBOUND DEF by ,RODNEY PHILLIPS JR",2
18:15,"MISS JUMPER by URSIN,AARON",,,,,,,"MISS JUMPER by URSIN,AARON",2
--,,,,,"REBOUND DEF by BOARD,BRAEDEN",,,"REBOUND DEF by BOARD,BRAEDEN",2
18:01,,,,,"MISS 3PTR by THOMAS,SETH",,,"MISS 3PTR by THOMAS,SETH",2
--,,,,,"REBOUND OFF by SINGLETON,TYKEEM",,,"REBOUND OFF by SINGLETON,TYKEEM",2
17:52,,,,,"MISS JUMPER by THOMAS,SETH",,,"MISS JUMPER by THOMAS,SETH",2
--,"REBOUND DEF by ,RODNEY PHILLIPS JR",,,,,,,"REBOUND DEF by ,RODNEY PHILLIPS JR",2
17:48,"TURNOVER  by WATSON,DOUG",,,,,,,"TURNOVER  by WATSON,DOUG",2
17:48,,,,,"STEAL  by THOMAS,SETH",,,"STEAL  by THOMAS,SETH",2
17:46,,24,,29 (+5),"GOOD LAYUP by THOMAS,SETH(fastbreak)(in the paint)",CCLA 24-29 (-5),,"GOOD LAYUP by THOMAS,SETH(fastbreak)(in the paint)",2
17:21,"SUB IN by FORBES,TRACE",,,,,,,"SUB IN by FORBES,TRACE",2
17:21,"SUB IN by BONNECAZE,STEWART",,,,,,,"SUB IN by BONNECAZE,STEWART",2
17:21,"SUB OUT by WATSON,DOUG",,,,,,,"SUB OUT by WATSON,DOUG",2
17:21,"SUB OUT by ,RODNEY PHILLIPS JR",,,,,,,"SUB OUT by ,RODNEY PHILLIPS JR",2
17:08,"MISS 3PTR by RUCKER,CAM",,,,,,,"MISS 3PTR by RUCKER,CAM",2
--,,,,,"REBOUND DEF by THOMAS,SETH",,,"REBOUND DEF by THOMAS,SETH",2
17:00,,,,,"MISS 3PTR by BOARD,BRAEDEN",,,"MISS 3PTR by BOARD,BRAEDEN",2
--,"REBOUND DEF by FORBES,TRACE",,,,,,,"REBOUND DEF by FORBES,TRACE",2
