Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,PS,Game Score,Team Indicator,Play,Period
03:44,"MISS LAYUP by PHILLIPS JR,RODNEY(in the paint)",,,,,,,"MISS LAYUP by PHILLIPS JR,RODNEY(in the paint)",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
03:42,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
03:31,"MISS 3PTR by PHILLIPS JR,RODNEY",,,,,,,"MISS 3PTR by PHILLIPS JR,RODNEY",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
03:19,"FOUL  by URSIN,AARON",,,,,,,"FOUL  by URSIN,AARON",2
03:19,"SUB OUT by GASCA,DAKOTA",,,,,,,"SUB OUT by GASCA,DAKOTA",2
03:19,"SUB OUT by PHILLIPS JR,RODNEY",,,,,,,"SUB OUT by PHILLIPS JR,RODNEY",2
03:19,"SUB IN by UGHOVWA,NICHOLAS",,,,,,,"SUB IN by UGHOVWA,NICHOLAS",2
03:19,"SUB IN by RUCKER,CAM",,,,,,,"SUB IN by RUCKER,CAM",2
03:07,,,,,"MISS 3PTR by TECLEMARIAM,MUSSIE",,,"MISS 3PTR by TECLEMARIAM,MUSSIE",2
--,,,,,"REBOUND OFF by ERICKSON,GRANT",,,"REBOUND OFF by ERICKSON,GRANT",2
03:00,,,,,"MISS LAYUP by ERICKSON,GRANT(in the paint)",,,"MISS LAYUP by ERICKSON,GRANT(in the paint)",2
03:00,"BLOCK  by URSIN,AARON",,,,,,,"BLOCK  by URSIN,AARON",2
--,,,,,"REBOUND OFF by TECLEMARIAM,MUSSIE",,,"REBOUND OFF by TECLEMARIAM,MUSSIE",2
02:52,,,,,"MISS LAYUP by TECLEMARIAM,MUSSIE(in the paint)",,,"MISS LAYUP by TECLEMARIAM,MUSSIE(in the paint)",2
--,"REBOUND DEF by URSIN,AARON",,,,,,,"REBOUND DEF by URSIN,AARON",2
02:47,"FOUL  by URSIN,AARON",,,,,,,"FOUL  by URSIN,AARON",2
02:47,"TURNOVER  by URSIN,AARON",,,,,,,"TURNOVER  by URSIN,AARON",2
02:47,"SUB OUT by URSIN,AARON",,,,,,,"SUB OUT by URSIN,AARON",2
02:47,"SUB IN by GORTON,MACK",,,,,,,"SUB IN by GORTON,MACK",2
02:18,,,,,"MISS JUMPER by PHILLIPS,TAJ",,,"MISS JUMPER by PHILLIPS,TAJ",2
--,"REBOUND DEF by GORTON,MACK",,,,,,,"REBOUND DEF by GORTON,MACK",2
02:10,"MISS 3PTR by HOGAN,TJ",,,,,,,"MISS 3PTR by HOGAN,TJ",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
02:07,"SUB OUT by HOGAN,TJ",,,,,,,"SUB OUT by HOGAN,TJ",2
02:07,"SUB IN by BONNECAZE,STEWART",,,,,,,"SUB IN by BONNECAZE,STEWART",2
01:49,,,,,"MISS 3PTR by RUTTLEDGE,LIAM",,,"MISS 3PTR by RUTTLEDGE,LIAM",2
--,,,,,"REBOUND OFF by ERICKSON,GRANT",,,"REBOUND OFF by ERICKSON,GRANT",2
01:44,,67,,81 (+14),"GOOD LAYUP by ERICKSON,GRANT(in the paint)",PS 67-81 (-14),,"GOOD LAYUP by ERICKSON,GRANT(in the paint)",2
01:30,"MISS 3PTR by RUCKER,CAM",,,,,,,"MISS 3PTR by RUCKER,CAM",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
01:29,"SUB OUT by UGHOVWA,NICHOLAS",,,,,,,"SUB OUT by UGHOVWA,NICHOLAS",2
01:29,"SUB OUT by LITTLE ,JAMES",,,,,,,"SUB OUT by LITTLE ,JAMES",2
01:29,"SUB IN by GASCA,DAKOTA",,,,,,,"SUB IN by GASCA,DAKOTA",2
01:29,"SUB IN by PHILLIPS JR,RODNEY",,,,,,,"SUB IN by PHILLIPS JR,RODNEY",2
00:58,,,,,"MISS 3PTR by RUTTLEDGE,LIAM",,,"MISS 3PTR by RUTTLEDGE,LIAM",2
--,"REBOUND DEF by GORTON,MACK",,,,,,,"REBOUND DEF by GORTON,MACK",2
00:46,"MISS LAYUP by PHILLIPS JR,RODNEY(in the paint)",,,,,,,"MISS LAYUP by PHILLIPS JR,RODNEY(in the paint)",2
--,,,,,"REBOUND DEF by ERICKSON,GRANT",,,"REBOUND DEF by ERICKSON,GRANT",2
00:43,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:43,,,,,"SUB OUT by TECLEMARIAM,MUSSIE",,,"SUB OUT by TECLEMARIAM,MUSSIE",2
00:43,,,,,"SUB OUT by PHILLIPS,TAJ",,,"SUB OUT by PHILLIPS,TAJ",2
00:43,,,,,"SUB OUT by RUTTLEDGE,LIAM",,,"SUB OUT by RUTTLEDGE,LIAM",2
00:43,,,,,"SUB OUT by POHLAND,WILL",,,"SUB OUT by POHLAND,WILL",2
00:43,,,,,"SUB IN by SMITH,KOBE",,,"SUB IN by SMITH,KOBE",2
00:43,,,,,"SUB IN by TURNER,JADEN",,,"SUB IN by TURNER,JADEN",2
00:43,,,,,"SUB IN by WELLS,KYLE",,,"SUB IN by WELLS,KYLE",2
00:43,,,,,"SUB IN by GUY,JONATHAN",,,"SUB IN by GUY,JONATHAN",2
00:43,"SUB OUT by GORTON,MACK",,,,,,,"SUB OUT by GORTON,MACK",2
00:43,"SUB OUT by PHILLIPS JR,RODNEY",,,,,,,"SUB OUT by PHILLIPS JR,RODNEY",2
00:43,"SUB IN by STEPHEN,SETH",,,,,,,"SUB IN by STEPHEN,SETH",2
00:43,"SUB IN by HOGAN,TJ",,,,,,,"SUB IN by HOGAN,TJ",2
00:35,"FOUL  by HOGAN,TJ",,,,,,,"FOUL  by HOGAN,TJ",2
00:35,,,,,"MISS FT by TURNER,JADEN",,,"MISS FT by TURNER,JADEN",2
00:34,,,,,"SUB OUT by ERICKSON,GRANT",,,"SUB OUT by ERICKSON,GRANT",2
00:34,,,,,"SUB IN by BAILEY,JACK",,,"SUB IN by BAILEY,JACK",2
00:34,"SUB OUT by STEPHEN,SETH",,,,,,,"SUB OUT by STEPHEN,SETH",2
00:34,"SUB OUT by GASCA,DAKOTA",,,,,,,"SUB OUT by GASCA,DAKOTA",2
00:34,"SUB OUT by RUCKER,CAM",,,,,,,"SUB OUT by RUCKER,CAM",2
00:34,"SUB OUT by HOGAN,TJ",,,,,,,"SUB OUT by HOGAN,TJ",2
00:34,"SUB IN by WATSON,EVAN",,,,,,,"SUB IN by WATSON,EVAN",2
00:34,"SUB IN by ROTH,DREW",,,,,,,"SUB IN by ROTH,DREW",2
00:34,"SUB IN by MCNEES,ANDREW",,,,,,,"SUB IN by MCNEES,ANDREW",2
00:34,"SUB IN by VANBEBER ,RJ",,,,,,,"SUB IN by VANBEBER ,RJ",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
00:31,,,,,"MISS 3PTR by WELLS,KYLE",,,"MISS 3PTR by WELLS,KYLE",2
--,,,,,"REBOUND OFF by TURNER,JADEN",,,"REBOUND OFF by TURNER,JADEN",2
00:19,,,,,"TURNOVER  by TURNER,JADEN",,,"TURNOVER  by TURNER,JADEN",2
00:19,"STEAL  by MCNEES,ANDREW",,,,,,,"STEAL  by MCNEES,ANDREW",2
00:15,"TURNOVER  by MCNEES,ANDREW",,,,,,,"TURNOVER  by MCNEES,ANDREW",2
